Orthogroup	Mus_musculus	Microcebus_murinus
OG0000010	tr|Q8VFH3|Q8VFH3_MOUSE, tr|Q8VFH7|Q8VFH7_MOUSE, tr|Q8VGC2|Q8VGC2_MOUSE, tr|Q8VFH6|Q8VFH6_MOUSE, tr|F6VS78|F6VS78_MOUSE, tr|Q8VGC5|Q8VGC5_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE, tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8VFP2|Q8VFP2_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8K501|Q8K501_MOUSE	tr|A0A8C5XY24|A0A8C5XY24_MICMU
OG0000012	sp|Q7TRF3|OL867_MOUSE, tr|Q8VEY9|Q8VEY9_MOUSE, tr|E9PVX1|E9PVX1_MOUSE, tr|Q8VFF7|Q8VFF7_MOUSE, tr|Q7TRF5|Q7TRF5_MOUSE, tr|Q7TRF6|Q7TRF6_MOUSE, tr|A0A1L1SUS1|A0A1L1SUS1_MOUSE, tr|Q8VFJ1|Q8VFJ1_MOUSE, tr|E9PX82|E9PX82_MOUSE, tr|E9PVW2|E9PVW2_MOUSE, tr|A0A2I3BRV7|A0A2I3BRV7_MOUSE, tr|Q8VFI7|Q8VFI7_MOUSE, tr|Q8VFI8|Q8VFI8_MOUSE, sp|Q0VAX9|OLF18_MOUSE, tr|Q8VGG4|Q8VGG4_MOUSE, tr|Q7TRF0|Q7TRF0_MOUSE, sp|Q9JHB2|OLF19_MOUSE, tr|Q8VGU7|Q8VGU7_MOUSE, tr|Q8VGU6|Q8VGU6_MOUSE, tr|E9Q5G9|E9Q5G9_MOUSE, sp|Q60892|OLF8_MOUSE, tr|Q7TQU9|Q7TQU9_MOUSE, tr|Q8VGU8|Q8VGU8_MOUSE, tr|Q8VGX5|Q8VGX5_MOUSE, tr|Q7TQU8|Q7TQU8_MOUSE, tr|Q8VGB8|Q8VGB8_MOUSE, tr|Q7TRG0|Q7TRG0_MOUSE, tr|Q7TRG4|Q7TRG4_MOUSE, tr|Q8VET8|Q8VET8_MOUSE, tr|Q8VFF4|Q8VFF4_MOUSE, tr|Q8VFM8|Q8VFM8_MOUSE, tr|Q7TRG7|Q7TRG7_MOUSE, tr|Q8VFF6|Q8VFF6_MOUSE, tr|Q7TRF8|Q7TRF8_MOUSE, tr|A0A1D5RMH6|A0A1D5RMH6_MOUSE, tr|Q8VFJ5|Q8VFJ5_MOUSE, tr|Q8VFJ4|Q8VFJ4_MOUSE, tr|Q8VFJ3|Q8VFJ3_MOUSE, tr|Q8VGX1|Q8VGX1_MOUSE, tr|Q8VFF1|Q8VFF1_MOUSE, tr|Q8VFF2|Q8VFF2_MOUSE, tr|Q7TRG2|Q7TRG2_MOUSE, tr|A0A2I3BPT4|A0A2I3BPT4_MOUSE, tr|Q8VGG6|Q8VGG6_MOUSE, tr|Q7TRG9|Q7TRG9_MOUSE, tr|Q7TRG8|Q7TRG8_MOUSE	tr|A0A8C5UY02|A0A8C5UY02_MICMU
OG0000023	sp|Q8VFX2|O1444_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE	tr|A0A8C5XZS0|A0A8C5XZS0_MICMU
OG0000024	tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|K7N775|K7N775_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|K7N688|K7N688_MOUSE, tr|K7N778|K7N778_MOUSE	tr|A0A8C5XRE7|A0A8C5XRE7_MICMU
OG0000026	sp|P59529|T2R16_MOUSE, sp|Q7TQB9|TR143_MOUSE, sp|Q7TQB0|TR134_MOUSE, sp|P59532|T2R41_MOUSE, sp|Q7TQA9|TR135_MOUSE, sp|Q7M710|TR125_MOUSE, tr|Q7M719|Q7M719_MOUSE, sp|Q9JKA3|TR103_MOUSE, sp|Q7TQA4|TR140_MOUSE, sp|Q7M713|TR116_MOUSE, sp|Q7M711|TR113_MOUSE, sp|Q7M709|TR129_MOUSE, sp|Q7M707|TR109_MOUSE, sp|Q7M715|TR117_MOUSE, sp|Q7M712|TR110_MOUSE, sp|P59528|TR123_MOUSE, sp|Q7M717|TR102_MOUSE, sp|Q7M718|TR124_MOUSE, sp|Q7M720|T2R13_MOUSE, sp|Q7M725|TR107_MOUSE, sp|Q7M724|TR106_MOUSE, sp|Q7M722|TR114_MOUSE, sp|Q7M723|TR104_MOUSE, sp|Q9JKT4|TR105_MOUSE, sp|P59530|TA2R7_MOUSE, sp|Q7TQA7|TA2R3_MOUSE, tr|D3YU55|D3YU55_MOUSE, tr|Q7M708|Q7M708_MOUSE, sp|Q7TQA8|TR136_MOUSE, sp|Q7M721|TR120_MOUSE, sp|Q9JKT3|TA2R4_MOUSE, sp|Q7TQA6|T2R38_MOUSE, sp|Q9JKT2|TR119_MOUSE, sp|Q7TQA5|T2R39_MOUSE, sp|Q7TQB8|T2R40_MOUSE	tr|A0A8C5XNZ7|A0A8C5XNZ7_MICMU
OG0000028	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8B7WW15|A0A8B7WW15_MICMU
OG0000028	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8B7H2E9|A0A8B7H2E9_MICMU
OG0000028	sp|Q60585|ZFP30_MOUSE	tr|A0A8C5UTU2|A0A8C5UTU2_MICMU
OG0000028	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8B7H2D9|A0A8B7H2D9_MICMU
OG0000028	sp|P10755|ZFP14_MOUSE	tr|A0A8B7H2C6|A0A8B7H2C6_MICMU, tr|A0A8C5W0J1|A0A8C5W0J1_MICMU, tr|A0A8B7H2A0|A0A8B7H2A0_MICMU, tr|A0A8B7H2D3|A0A8B7H2D3_MICMU
OG0000028	tr|Q9D654|Q9D654_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A8C5W5S4|A0A8C5W5S4_MICMU
OG0000028	tr|Q5U406|Q5U406_MOUSE	tr|A0A8B7F5T5|A0A8B7F5T5_MICMU, tr|A0A8C5VQP5|A0A8C5VQP5_MICMU, tr|A0A8B7H284|A0A8B7H284_MICMU, tr|A0A8C5UZV2|A0A8C5UZV2_MICMU, tr|A0A8B7FWA8|A0A8B7FWA8_MICMU, tr|A0A8C5XKY9|A0A8C5XKY9_MICMU
OG0000028	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A8C5WB22|A0A8C5WB22_MICMU, tr|A0A8B7F8W9|A0A8B7F8W9_MICMU
OG0000031	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A8C5W0P3|A0A8C5W0P3_MICMU
OG0000031	tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE	tr|A0A8C5W588|A0A8C5W588_MICMU
OG0000033	sp|P01661|KV3A9_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01658|KV3A6_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE	tr|A0A8C5VUP8|A0A8C5VUP8_MICMU
OG0000034	tr|Q8VGW2|Q8VGW2_MOUSE, tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VG26|Q8VG26_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE	tr|A0A8C5V567|A0A8C5V567_MICMU
OG0000044	sp|Q9DCV7|K2C7_MOUSE	tr|A0A8B7G8I4|A0A8B7G8I4_MICMU
OG0000044	sp|Q8VED5|K2C79_MOUSE	tr|A0A8B7G8J5|A0A8B7G8J5_MICMU
OG0000044	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8B7G856|A0A8B7G856_MICMU
OG0000044	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8C5UTK5|A0A8C5UTK5_MICMU
OG0000044	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8C5XK54|A0A8C5XK54_MICMU
OG0000044	sp|Q6IME9|K2C72_MOUSE	tr|A0A8C5UM81|A0A8C5UM81_MICMU
OG0000044	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8C5UND9|A0A8C5UND9_MICMU, tr|A0A8C5UR56|A0A8C5UR56_MICMU, tr|A0A8C5UL28|A0A8C5UL28_MICMU
