Orthogroup	Mus_musculus	Molossus_molossus
OG0000007	tr|Q8VET1|Q8VET1_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q8VF34|Q8VF34_MOUSE, sp|Q60894|OLF12_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q7TR95|Q7TR95_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VES2|O1102_MOUSE, sp|Q8VF13|O1094_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, sp|Q60880|OL141_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, sp|Q8VGS3|O1019_MOUSE	tr|A0A7J8ET60|A0A7J8ET60_MOLMO
OG0000008	sp|Q60879|OLF3_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q7TRY6|Q7TRY6_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE, tr|Q8VEZ6|Q8VEZ6_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q8VGV7|Q8VGV7_MOUSE, tr|Q7TRY5|Q7TRY5_MOUSE, tr|Q8VF16|Q8VF16_MOUSE, tr|Q8VFP3|Q8VFP3_MOUSE, tr|Q8VFY0|Q8VFY0_MOUSE, tr|Q7TRX1|Q7TRX1_MOUSE, tr|Q7TRX2|Q7TRX2_MOUSE, tr|A0A140T8Q2|A0A140T8Q2_MOUSE, tr|Q8VFT2|Q8VFT2_MOUSE, tr|Q8VFP6|Q8VFP6_MOUSE, tr|Q7TRY4|Q7TRY4_MOUSE, tr|Q7TRW7|Q7TRW7_MOUSE, tr|A0A0N4SUP0|A0A0N4SUP0_MOUSE, tr|Q8VFE6|Q8VFE6_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, sp|Q8VFM9|OLF24_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|B9EHG2|B9EHG2_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|Q8VFP5|Q8VFP5_MOUSE, tr|Q8VGK1|Q8VGK1_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|B1ARL3|B1ARL3_MOUSE, tr|Q7TRX0|Q7TRX0_MOUSE	tr|A0A7J8EFQ3|A0A7J8EFQ3_MOLMO
OG0000010	sp|P11260|LORF1_MOUSE	tr|A0A7J8I8Q7|A0A7J8I8Q7_MOLMO, tr|A0A7J8BMV4|A0A7J8BMV4_MOLMO, tr|A0A7J8HH22|A0A7J8HH22_MOLMO, tr|A0A7J8J6L5|A0A7J8J6L5_MOLMO, tr|A0A7J8GPV9|A0A7J8GPV9_MOLMO, tr|A0A7J8HCG7|A0A7J8HCG7_MOLMO, tr|A0A7J8EEG9|A0A7J8EEG9_MOLMO, tr|A0A7J8HCB1|A0A7J8HCB1_MOLMO, tr|A0A7J8HHV6|A0A7J8HHV6_MOLMO, tr|A0A7J8I0W3|A0A7J8I0W3_MOLMO, tr|A0A7J8F9C2|A0A7J8F9C2_MOLMO, tr|A0A7J8HZU6|A0A7J8HZU6_MOLMO, tr|A0A7J8JWV2|A0A7J8JWV2_MOLMO, tr|A0A7J8ERK4|A0A7J8ERK4_MOLMO, tr|A0A7J8HC29|A0A7J8HC29_MOLMO, tr|A0A7J8JVR9|A0A7J8JVR9_MOLMO, tr|A0A7J8CRT4|A0A7J8CRT4_MOLMO, tr|A0A7J8HJ05|A0A7J8HJ05_MOLMO
OG0000010	sp|Q5GH66|XKR5_MOUSE	tr|A0A7J8FAG6|A0A7J8FAG6_MOLMO, tr|A0A7J8E335|A0A7J8E335_MOLMO, tr|A0A7J8CRU7|A0A7J8CRU7_MOLMO, tr|A0A7J8JWP0|A0A7J8JWP0_MOLMO, tr|A0A7J8JY61|A0A7J8JY61_MOLMO, tr|A0A7J8JVN1|A0A7J8JVN1_MOLMO, tr|A0A7J8J6P1|A0A7J8J6P1_MOLMO, tr|A0A7J8GQM7|A0A7J8GQM7_MOLMO, tr|A0A7J8I8W6|A0A7J8I8W6_MOLMO, tr|A0A7J8ERS2|A0A7J8ERS2_MOLMO, tr|A0A7J8JWB3|A0A7J8JWB3_MOLMO, tr|A0A7J8HCH6|A0A7J8HCH6_MOLMO, tr|A0A7J8ERT6|A0A7J8ERT6_MOLMO, tr|A0A7J8J0W3|A0A7J8J0W3_MOLMO, tr|A0A7J8J7Q2|A0A7J8J7Q2_MOLMO, tr|A0A7J8J0J9|A0A7J8J0J9_MOLMO, tr|A0A7J8C8Z6|A0A7J8C8Z6_MOLMO, tr|A0A7J8I836|A0A7J8I836_MOLMO, tr|A0A7J8J6T5|A0A7J8J6T5_MOLMO, tr|A0A7J8J0C1|A0A7J8J0C1_MOLMO, tr|A0A7J8HD07|A0A7J8HD07_MOLMO, tr|A0A7J8HH75|A0A7J8HH75_MOLMO, tr|A0A7J8B799|A0A7J8B799_MOLMO, tr|A0A7J8J6F2|A0A7J8J6F2_MOLMO, tr|A0A7J8FZ93|A0A7J8FZ93_MOLMO, tr|A0A7J8FYY0|A0A7J8FYY0_MOLMO, tr|A0A7J8ERE6|A0A7J8ERE6_MOLMO, tr|A0A7J8HBU7|A0A7J8HBU7_MOLMO, tr|A0A7J8HIX7|A0A7J8HIX7_MOLMO, tr|A0A7J8IZ46|A0A7J8IZ46_MOLMO, tr|A0A7J8J1B6|A0A7J8J1B6_MOLMO, tr|A0A7J8BJL0|A0A7J8BJL0_MOLMO, tr|A0A7J8I8J2|A0A7J8I8J2_MOLMO, tr|A0A7J8JWS0|A0A7J8JWS0_MOLMO, tr|A0A7J8GKV3|A0A7J8GKV3_MOLMO, tr|A0A7J8EE77|A0A7J8EE77_MOLMO, tr|A0A7J8ERM4|A0A7J8ERM4_MOLMO, tr|A0A7J8JVY0|A0A7J8JVY0_MOLMO, tr|A0A7J8F8S7|A0A7J8F8S7_MOLMO, tr|A0A7J8GNW8|A0A7J8GNW8_MOLMO
OG0000012	tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE	tr|A0A7J8CSS7|A0A7J8CSS7_MOLMO
OG0000033	tr|Q91XW9|Q91XW9_MOUSE	tr|A0A7J8IA18|A0A7J8IA18_MOLMO
OG0000033	tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE, sp|O88689|PCDA4_MOUSE, sp|Q91Y20|PCDAA_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y09|Q91Y09_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE	tr|A0A7J8IBR9|A0A7J8IBR9_MOLMO
OG0000046	sp|Q80YP6|ZIK1_MOUSE	tr|A0A7J8CCV5|A0A7J8CCV5_MOLMO, tr|A0A7J8C503|A0A7J8C503_MOLMO, tr|A0A7J8CCZ6|A0A7J8CCZ6_MOLMO, tr|A0A7J8C8B9|A0A7J8C8B9_MOLMO, tr|A0A7J8C8I1|A0A7J8C8I1_MOLMO, tr|A0A7J8C8L3|A0A7J8C8L3_MOLMO, tr|A0A7J8CCX7|A0A7J8CCX7_MOLMO, tr|A0A7J8C8B3|A0A7J8C8B3_MOLMO, tr|A0A7J8CCK8|A0A7J8CCK8_MOLMO, tr|A0A7J8CCY4|A0A7J8CCY4_MOLMO, tr|A0A7J8CCK5|A0A7J8CCK5_MOLMO, tr|A0A7J8CCC8|A0A7J8CCC8_MOLMO, tr|A0A7J8CCG5|A0A7J8CCG5_MOLMO, tr|A0A7J8C8C8|A0A7J8C8C8_MOLMO, tr|A0A7J8CD22|A0A7J8CD22_MOLMO, tr|A0A7J8CD35|A0A7J8CD35_MOLMO, tr|A0A7J8CCZ3|A0A7J8CCZ3_MOLMO, tr|A0A7J8CCN2|A0A7J8CCN2_MOLMO, tr|A0A7J8CCJ8|A0A7J8CCJ8_MOLMO, tr|A0A7J8CCI0|A0A7J8CCI0_MOLMO, tr|A0A7J8CCP2|A0A7J8CCP2_MOLMO, tr|A0A7J8C8F6|A0A7J8C8F6_MOLMO, tr|A0A7J8CD08|A0A7J8CD08_MOLMO, tr|A0A7J8CCY7|A0A7J8CCY7_MOLMO, tr|A0A7J8CCG1|A0A7J8CCG1_MOLMO, tr|A0A7J8CCM0|A0A7J8CCM0_MOLMO, tr|A0A7J8DTN0|A0A7J8DTN0_MOLMO
OG0000050	sp|P11679|K2C8_MOUSE	tr|A0A7J8FZZ0|A0A7J8FZZ0_MOLMO
OG0000050	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A7J8FYG9|A0A7J8FYG9_MOLMO
OG0000050	sp|Q6NXH9|K2C73_MOUSE	tr|A0A7J8FY19|A0A7J8FY19_MOLMO
OG0000050	sp|Q9R0H5|K2C71_MOUSE	tr|A0A7J8FYM0|A0A7J8FYM0_MOLMO
OG0000050	sp|Q6IME9|K2C72_MOUSE	tr|A0A7J8FZX1|A0A7J8FZX1_MOLMO
OG0000050	sp|Q8VED5|K2C79_MOUSE	tr|A0A7J8FZ70|A0A7J8FZ70_MOLMO, tr|A0A7J8FYC7|A0A7J8FYC7_MOLMO, tr|A0A7J8FYB5|A0A7J8FYB5_MOLMO, tr|A0A7J8FY42|A0A7J8FY42_MOLMO
OG0000052	tr|B2RVX8|B2RVX8_MOUSE	tr|A0A7J8K023|A0A7J8K023_MOLMO
OG0000052	tr|Q8VEU2|Q8VEU2_MOUSE	tr|A0A7J8BZ14|A0A7J8BZ14_MOLMO
OG0000052	tr|Q7TS18|Q7TS18_MOUSE	tr|A0A7J8EFB6|A0A7J8EFB6_MOLMO
OG0000052	tr|A2AM35|A2AM35_MOUSE	tr|A0A7J8EF09|A0A7J8EF09_MOLMO
OG0000060	sp|P27661|H2AX_MOUSE	tr|A0A7J8EQQ5|A0A7J8EQQ5_MOLMO
OG0000060	sp|Q64522|H2A2B_MOUSE	tr|A0A7J8CR80|A0A7J8CR80_MOLMO
OG0000060	sp|Q64523|H2A2C_MOUSE	tr|A0A7J8CQX1|A0A7J8CQX1_MOLMO
OG0000060	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A7J8FXT2|A0A7J8FXT2_MOLMO
OG0000060	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A7J8CR25|A0A7J8CR25_MOLMO
OG0000060	sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE5|H2A1G_MOUSE	tr|A0A7J8CRC6|A0A7J8CRC6_MOLMO, tr|A0A7J8CRB6|A0A7J8CRB6_MOLMO, tr|A0A7J8CR43|A0A7J8CR43_MOLMO
OG0000061	tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91V48|Q91V48_MOUSE, tr|Q91Y08|Q91Y08_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91Y06|Q91Y06_MOUSE	tr|A0A7J8IB22|A0A7J8IB22_MOLMO
OG0000063	tr|A0A140T8U4|A0A140T8U4_MOUSE	tr|A0A7J8DQB5|A0A7J8DQB5_MOLMO
OG0000063	tr|E9Q1A6|E9Q1A6_MOUSE	tr|A0A7J8FR05|A0A7J8FR05_MOLMO
OG0000063	sp|P47964|RL36_MOUSE	tr|A0A7J8CYH7|A0A7J8CYH7_MOLMO, tr|A0A7J8GRF6|A0A7J8GRF6_MOLMO
OG0000066	tr|Q8VGW2|Q8VGW2_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|Q8VG19|Q8VG19_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|Q9WU94|Q9WU94_MOUSE, tr|E9PX47|E9PX47_MOUSE, tr|E9PWI5|E9PWI5_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|E9Q549|E9Q549_MOUSE	tr|A0A7J8ESW7|A0A7J8ESW7_MOLMO
OG0000067	sp|P70458|IPSP_MOUSE	tr|A0A7J8K1T1|A0A7J8K1T1_MOLMO
OG0000067	tr|D3Z450|D3Z450_MOUSE, sp|Q80X76|SPA3F_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|P29621|SPA3C_MOUSE, sp|P07759|SPA3K_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|P07758|A1AT1_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|Q9D7D2|SPA9_MOUSE	tr|A0A7J8K0E2|A0A7J8K0E2_MOLMO
OG0000068	sp|P68134|ACTS_MOUSE	tr|A0A7J8BL15|A0A7J8BL15_MOLMO
OG0000068	sp|P68033|ACTC_MOUSE	tr|A0A7J8JR36|A0A7J8JR36_MOLMO
OG0000068	sp|P62737|ACTA_MOUSE	tr|A0A7J8DME2|A0A7J8DME2_MOLMO
OG0000068	sp|P63268|ACTH_MOUSE	tr|A0A7J8E133|A0A7J8E133_MOLMO
OG0000068	sp|P60710|ACTB_MOUSE	tr|A0A7J8FUM7|A0A7J8FUM7_MOLMO, tr|A0A7J8FZ33|A0A7J8FZ33_MOLMO, tr|A0A7J8J888|A0A7J8J888_MOLMO, tr|A0A7J8I8Z0|A0A7J8I8Z0_MOLMO
OG0000068	sp|P63260|ACTG_MOUSE	tr|A0A7J8CVI3|A0A7J8CVI3_MOLMO
OG0000068	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A7J8IWZ2|A0A7J8IWZ2_MOLMO
OG0000068	tr|D3YYH9|D3YYH9_MOUSE, sp|Q9D9J3|ACTT1_MOUSE, sp|Q9D9L5|ACTT2_MOUSE	tr|A0A7J8F5P5|A0A7J8F5P5_MOLMO
OG0000069	sp|O09127|EPHA8_MOUSE	tr|A0A7J8F7N8|A0A7J8F7N8_MOLMO
OG0000069	sp|Q60629|EPHA5_MOUSE	tr|A0A7J8JU02|A0A7J8JU02_MOLMO
OG0000069	sp|P29319|EPHA3_MOUSE	tr|A0A7J8HYN4|A0A7J8HYN4_MOLMO
OG0000069	sp|Q62413|EPHA6_MOUSE	tr|A0A7J8HZN8|A0A7J8HZN8_MOLMO
OG0000069	sp|Q61772|EPHA7_MOUSE	tr|A0A7J8GPB3|A0A7J8GPB3_MOLMO
OG0000069	sp|Q03137|EPHA4_MOUSE	tr|A0A7J8FRD8|A0A7J8FRD8_MOLMO
OG0000069	sp|P54763|EPHB2_MOUSE	tr|A0A7J8F8X5|A0A7J8F8X5_MOLMO
OG0000069	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A7J8DB02|A0A7J8DB02_MOLMO
