Orthogroup	Mus_musculus	Panthera_leo
OG0000010	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A8C8XKF2|A0A8C8XKF2_PANLE
OG0000010	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A8C8XB40|A0A8C8XB40_PANLE
OG0000016	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A8C8WKG2|A0A8C8WKG2_PANLE
OG0000016	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A8C8WM23|A0A8C8WM23_PANLE
OG0000016	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A8C8WJC2|A0A8C8WJC2_PANLE, tr|A0A8C8WJ87|A0A8C8WJ87_PANLE, tr|A0A8C8WKG3|A0A8C8WKG3_PANLE, tr|A0A8C8WL57|A0A8C8WL57_PANLE, tr|A0A8C8WKF2|A0A8C8WKF2_PANLE, tr|A0A8C8WK77|A0A8C8WK77_PANLE, tr|A0A8C8WJI9|A0A8C8WJI9_PANLE, tr|A0A8C9D032|A0A8C9D032_PANLE
OG0000016	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A8C8WKN0|A0A8C8WKN0_PANLE, tr|A0A8C8WKV0|A0A8C8WKV0_PANLE, tr|A0A8C8WJJ9|A0A8C8WJJ9_PANLE, tr|A0A8C8WLA8|A0A8C8WLA8_PANLE, tr|A0A8C9D048|A0A8C9D048_PANLE, tr|A0A8C9D013|A0A8C9D013_PANLE
OG0000016	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A8C8WLW9|A0A8C8WLW9_PANLE, tr|A0A8C8WLX8|A0A8C8WLX8_PANLE
OG0000016	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A8C8WK58|A0A8C8WK58_PANLE, tr|A0A8C8WM14|A0A8C8WM14_PANLE, tr|A0A8C8WK06|A0A8C8WK06_PANLE, tr|A0A8C8WKG8|A0A8C8WKG8_PANLE
OG0000018	tr|E9PWF9|E9PWF9_MOUSE	tr|A0A8C8W929|A0A8C8W929_PANLE
OG0000018	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A8C8XP11|A0A8C8XP11_PANLE, tr|A0A8C8Y3W4|A0A8C8Y3W4_PANLE, tr|A0A8C8XYD4|A0A8C8XYD4_PANLE, tr|A0A8C8XTE8|A0A8C8XTE8_PANLE, tr|A0A8C8XV83|A0A8C8XV83_PANLE
OG0000018	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A8C8XW26|A0A8C8XW26_PANLE, tr|A0A8C9DCH5|A0A8C9DCH5_PANLE, tr|A0A8C8XUV2|A0A8C8XUV2_PANLE, tr|A0A8C8Y6T3|A0A8C8Y6T3_PANLE, tr|A0A8C8XXI7|A0A8C8XXI7_PANLE, tr|A0A8C8YDQ0|A0A8C8YDQ0_PANLE, tr|A0A8C8XSC9|A0A8C8XSC9_PANLE
OG0000018	tr|Q8VF69|Q8VF69_MOUSE	tr|A0A8C8W9S6|A0A8C8W9S6_PANLE, tr|A0A8C9CUU3|A0A8C9CUU3_PANLE, tr|A0A8C8XGH8|A0A8C8XGH8_PANLE, tr|A0A8C8W9K4|A0A8C8W9K4_PANLE, tr|A0A8C8W9H8|A0A8C8W9H8_PANLE, tr|A0A8C8WSC2|A0A8C8WSC2_PANLE, tr|A0A8C8XE88|A0A8C8XE88_PANLE, tr|A0A8C9CUM5|A0A8C9CUM5_PANLE
OG0000020	sp|Q91W64|CP270_MOUSE	tr|A0A8C8XPL3|A0A8C8XPL3_PANLE
OG0000020	sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE	tr|A0A8C8XMS5|A0A8C8XMS5_PANLE, tr|A0A8C8XTZ9|A0A8C8XTZ9_PANLE
OG0000020	tr|Q9WV19|Q9WV19_MOUSE	tr|A0A8C8XLX6|A0A8C8XLX6_PANLE
OG0000020	sp|P12791|CP2BA_MOUSE, sp|O55071|CP2BJ_MOUSE, tr|E9Q593|E9Q593_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, sp|P12790|CP2B9_MOUSE, tr|E9PWV0|E9PWV0_MOUSE	tr|A0A8C8Y4A7|A0A8C8Y4A7_PANLE
OG0000020	sp|E9Q5K4|CP2CN_MOUSE, sp|Q05421|CP2E1_MOUSE	tr|A0A8C8YCG3|A0A8C8YCG3_PANLE
OG0000020	sp|P56656|CP239_MOUSE, sp|P56655|CP238_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56657|CP240_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, tr|Q569X9|Q569X9_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, sp|Q6XVG2|CP254_MOUSE, sp|Q91X77|CY250_MOUSE, sp|P56654|CP237_MOUSE	tr|A0A8C9D7V1|A0A8C9D7V1_PANLE
OG0000024	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A8C8Y6Z8|A0A8C8Y6Z8_PANLE
OG0000024	tr|Q8VFN6|Q8VFN6_MOUSE	tr|A0A8C8WS06|A0A8C8WS06_PANLE, tr|A0A8C8WRY9|A0A8C8WRY9_PANLE, tr|A0A8C8WUK0|A0A8C8WUK0_PANLE, tr|A0A8C8WR62|A0A8C8WR62_PANLE, tr|A0A8C9D1U9|A0A8C9D1U9_PANLE, tr|A0A8C8XP17|A0A8C8XP17_PANLE, tr|A0A8C8WR16|A0A8C8WR16_PANLE, tr|A0A8C8XV44|A0A8C8XV44_PANLE, tr|A0A8C8XUG9|A0A8C8XUG9_PANLE, tr|A0A8C8XS49|A0A8C8XS49_PANLE, tr|A0A8C8Y234|A0A8C8Y234_PANLE, tr|A0A8C9DA24|A0A8C9DA24_PANLE, tr|A0A8C8XUE7|A0A8C8XUE7_PANLE, tr|A0A8C8Y7F6|A0A8C8Y7F6_PANLE, tr|A0A8C8WRA3|A0A8C8WRA3_PANLE, tr|A0A8C8WUS4|A0A8C8WUS4_PANLE, tr|A0A8C8WRS6|A0A8C8WRS6_PANLE, tr|A0A8C8WT61|A0A8C8WT61_PANLE, tr|A0A8C8WRD6|A0A8C8WRD6_PANLE, tr|A0A8C8WR77|A0A8C8WR77_PANLE, tr|A0A8C8WUE5|A0A8C8WUE5_PANLE, tr|A0A8C8XGW4|A0A8C8XGW4_PANLE, tr|A0A8C8WV23|A0A8C8WV23_PANLE, tr|A0A8C8XEV9|A0A8C8XEV9_PANLE, tr|A0A8C8X2Z7|A0A8C8X2Z7_PANLE, tr|A0A8C8X2N8|A0A8C8X2N8_PANLE, tr|A0A8C9D3T1|A0A8C9D3T1_PANLE, tr|A0A8C9D6C8|A0A8C9D6C8_PANLE, tr|A0A8C8X0B7|A0A8C8X0B7_PANLE, tr|A0A8C8X1B6|A0A8C8X1B6_PANLE
OG0000025	sp|Q8VGI5|OL481_MOUSE, tr|L7N455|L7N455_MOUSE, sp|Q8VEZ0|OL480_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VFD2|OL490_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE	tr|A0A8C8WX62|A0A8C8WX62_PANLE
OG0000026	tr|A0A075B697|A0A075B697_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18531|HVM60_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE	tr|A0A8C8XRJ2|A0A8C8XRJ2_PANLE
OG0000028	sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE7|H2A1N_MOUSE	tr|A0A8C9D6F3|A0A8C9D6F3_PANLE
OG0000028	sp|Q64522|H2A2B_MOUSE	tr|A0A8C8XWP4|A0A8C8XWP4_PANLE
OG0000028	sp|P27661|H2AX_MOUSE	tr|A0A8C8YBK6|A0A8C8YBK6_PANLE, tr|A0A8C8WSV2|A0A8C8WSV2_PANLE
OG0000028	sp|Q64523|H2A2C_MOUSE	tr|A0A8C8XRC9|A0A8C8XRC9_PANLE
OG0000028	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A8C8WGR2|A0A8C8WGR2_PANLE
OG0000028	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A8C8Y333|A0A8C8Y333_PANLE
OG0000028	sp|Q8BFU2|H2A3_MOUSE	tr|A0A8C8W921|A0A8C8W921_PANLE
OG0000028	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A8C8XET6|A0A8C8XET6_PANLE, tr|A0A8C8Y0T8|A0A8C8Y0T8_PANLE
OG0000032	tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, tr|Q3TQ88|Q3TQ88_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, sp|Q925P2|CEAM2_MOUSE, sp|P31809|CEAM1_MOUSE	tr|A0A8C8WXZ3|A0A8C8WXZ3_PANLE
OG0000036	sp|P07744|K2C4_MOUSE	tr|A0A8C8WKG9|A0A8C8WKG9_PANLE
OG0000036	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8C8WHT9|A0A8C8WHT9_PANLE
OG0000036	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8C8WJA3|A0A8C8WJA3_PANLE
OG0000036	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8C8WI98|A0A8C8WI98_PANLE
OG0000036	sp|Q6IME9|K2C72_MOUSE	tr|A0A8C8WJ21|A0A8C8WJ21_PANLE
OG0000036	sp|Q3TTY5|K22E_MOUSE	tr|A0A8C9CZR5|A0A8C9CZR5_PANLE
OG0000036	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8C8WIF9|A0A8C8WIF9_PANLE, tr|A0A8C8WIP3|A0A8C8WIP3_PANLE
OG0000036	sp|Q8VED5|K2C79_MOUSE	tr|A0A8C8WIU4|A0A8C8WIU4_PANLE, tr|A0A8C9CZG1|A0A8C9CZG1_PANLE, tr|A0A8C9CZH3|A0A8C9CZH3_PANLE, tr|A0A8C8WHV1|A0A8C8WHV1_PANLE, tr|A0A8C8WHF1|A0A8C8WHF1_PANLE, tr|A0A8C8WJ88|A0A8C8WJ88_PANLE, tr|A0A8C8WIW5|A0A8C8WIW5_PANLE
OG0000039	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A8C8XTW4|A0A8C8XTW4_PANLE
OG0000039	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8C8WXA2|A0A8C8WXA2_PANLE
OG0000039	sp|Q07231|ZSC21_MOUSE	tr|A0A8C8XRX1|A0A8C8XRX1_PANLE, tr|A0A8C8XUY9|A0A8C8XUY9_PANLE, tr|A0A8C9D8D7|A0A8C9D8D7_PANLE, tr|A0A8C9DBQ3|A0A8C9DBQ3_PANLE
OG0000039	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A8C8XP67|A0A8C8XP67_PANLE, tr|A0A8C8WZX8|A0A8C8WZX8_PANLE, tr|A0A8C8XXQ5|A0A8C8XXQ5_PANLE, tr|A0A8C8WSS2|A0A8C8WSS2_PANLE, tr|A0A8C8Y6B3|A0A8C8Y6B3_PANLE, tr|A0A8C8XY21|A0A8C8XY21_PANLE, tr|A0A8C8XMI3|A0A8C8XMI3_PANLE, tr|A0A8C8WX28|A0A8C8WX28_PANLE, tr|A0A8C8WU56|A0A8C8WU56_PANLE, tr|A0A8C9D2C7|A0A8C9D2C7_PANLE
OG0000040	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A8C8X1P7|A0A8C8X1P7_PANLE
OG0000040	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A8C8X5N6|A0A8C8X5N6_PANLE, tr|A0A8C8X2G1|A0A8C8X2G1_PANLE, tr|A0A8C8X7A1|A0A8C8X7A1_PANLE, tr|A0A8C8X6K7|A0A8C8X6K7_PANLE, tr|A0A8C8X6E1|A0A8C8X6E1_PANLE, tr|A0A8C8X741|A0A8C8X741_PANLE, tr|A0A8C8X2B8|A0A8C8X2B8_PANLE, tr|A0A8C8X719|A0A8C8X719_PANLE, tr|A0A8C8X4M2|A0A8C8X4M2_PANLE, tr|A0A8C8X4Z1|A0A8C8X4Z1_PANLE, tr|A0A8C8X1X4|A0A8C8X1X4_PANLE, tr|A0A8C8X356|A0A8C8X356_PANLE, tr|A0A8C8X6T2|A0A8C8X6T2_PANLE, tr|A0A8C8X4P1|A0A8C8X4P1_PANLE, tr|A0A8C8X2P4|A0A8C8X2P4_PANLE, tr|A0A8C8X1J6|A0A8C8X1J6_PANLE, tr|A0A8C8X6D7|A0A8C8X6D7_PANLE, tr|A0A8C9D2U4|A0A8C9D2U4_PANLE, tr|A0A8C8X2H6|A0A8C8X2H6_PANLE, tr|A0A8C8X2F2|A0A8C8X2F2_PANLE, tr|A0A8C8X4B9|A0A8C8X4B9_PANLE
OG0000047	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE	tr|A0A8C8WBI6|A0A8C8WBI6_PANLE
OG0000050	tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZB7|MRGRE_MOUSE, sp|Q91ZB5|MRGRG_MOUSE	tr|A0A8C8XWJ0|A0A8C8XWJ0_PANLE
OG0000051	tr|Q7TRY4|Q7TRY4_MOUSE	tr|A0A8C8XR44|A0A8C8XR44_PANLE
OG0000051	sp|Q60879|OLF3_MOUSE	tr|A0A8C8XVG7|A0A8C8XVG7_PANLE, tr|A0A8C8XTJ9|A0A8C8XTJ9_PANLE, tr|A0A8C9D9F9|A0A8C9D9F9_PANLE
OG0000051	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A8C8XZE8|A0A8C8XZE8_PANLE, tr|A0A8C8XYD5|A0A8C8XYD5_PANLE
OG0000051	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8C8YD25|A0A8C8YD25_PANLE, tr|A0A8C8YBD7|A0A8C8YBD7_PANLE
OG0000051	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A8C8XVW2|A0A8C8XVW2_PANLE
OG0000052	tr|Q7TS01|Q7TS01_MOUSE	tr|A0A8C8W9J9|A0A8C8W9J9_PANLE
OG0000052	tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE	tr|A0A8C9DCD3|A0A8C9DCD3_PANLE
OG0000058	sp|Q60878|OL140_MOUSE	tr|A0A8C8X6J0|A0A8C8X6J0_PANLE
OG0000058	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A8C8X2P0|A0A8C8X2P0_PANLE, tr|A0A8C8X547|A0A8C8X547_PANLE, tr|A0A8C8XYU6|A0A8C8XYU6_PANLE, tr|A0A8C8XW69|A0A8C8XW69_PANLE, tr|A0A8C8X7S0|A0A8C8X7S0_PANLE, tr|A0A8C8X7V4|A0A8C8X7V4_PANLE, tr|A0A8C9D480|A0A8C9D480_PANLE, tr|A0A8C8Y1Q6|A0A8C8Y1Q6_PANLE, tr|A0A8C8Y2F4|A0A8C8Y2F4_PANLE, tr|A0A8C8XXT6|A0A8C8XXT6_PANLE, tr|A0A8C8Y008|A0A8C8Y008_PANLE, tr|A0A8C9D498|A0A8C9D498_PANLE, tr|A0A8C9D9G6|A0A8C9D9G6_PANLE, tr|A0A8C8X632|A0A8C8X632_PANLE
OG0000058	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A8C8X2P8|A0A8C8X2P8_PANLE
OG0000062	tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE	tr|A0A8C8Y3K5|A0A8C8Y3K5_PANLE
OG0000062	tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE	tr|A0A8C8Y166|A0A8C8Y166_PANLE
OG0000064	sp|P60710|ACTB_MOUSE	tr|A0A8C9D802|A0A8C9D802_PANLE
OG0000064	sp|P63260|ACTG_MOUSE	tr|A0A8C9D8N4|A0A8C9D8N4_PANLE
OG0000064	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A8C8WVQ2|A0A8C8WVQ2_PANLE
OG0000064	tr|Q9D5V1|Q9D5V1_MOUSE	tr|A0A8C8Y9A3|A0A8C8Y9A3_PANLE
OG0000064	tr|D3YYH9|D3YYH9_MOUSE	tr|A0A8C9D7Z7|A0A8C9D7Z7_PANLE
OG0000064	sp|P68134|ACTS_MOUSE	tr|A0A8C8Y8T7|A0A8C8Y8T7_PANLE
OG0000064	sp|P68033|ACTC_MOUSE	tr|A0A8C9CYV3|A0A8C9CYV3_PANLE
OG0000064	sp|P62737|ACTA_MOUSE	tr|A0A8C8XCI6|A0A8C8XCI6_PANLE
OG0000064	sp|P63268|ACTH_MOUSE	tr|A0A8C8WY43|A0A8C8WY43_PANLE
OG0000069	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A8C9D9D1|A0A8C9D9D1_PANLE, tr|A0A8C8Y0P1|A0A8C8Y0P1_PANLE, tr|A0A8C8XLG0|A0A8C8XLG0_PANLE
OG0000069	sp|P10854|H2B1M_MOUSE	tr|A0A8C9D6W6|A0A8C9D6W6_PANLE
OG0000069	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A8C8Y243|A0A8C8Y243_PANLE, tr|A0A8C8W8X0|A0A8C8W8X0_PANLE
OG0000069	sp|P70696|H2B1A_MOUSE	tr|A0A8C8Y152|A0A8C8Y152_PANLE, tr|A0A8C8WGT4|A0A8C8WGT4_PANLE, tr|A0A8C9D832|A0A8C9D832_PANLE, tr|A0A8C9DCQ2|A0A8C9DCQ2_PANLE
OG0000070	sp|Q3U4B4|LIPN_MOUSE	tr|A0A8C8XH56|A0A8C8XH56_PANLE
OG0000070	sp|Q8K2A6|LIPM_MOUSE	tr|A0A8C8XBQ5|A0A8C8XBQ5_PANLE
OG0000070	sp|Q9Z0M5|LICH_MOUSE	tr|A0A8C8XE49|A0A8C8XE49_PANLE
OG0000070	sp|Q8BM14|LIPK_MOUSE	tr|A0A8C8XGG9|A0A8C8XGG9_PANLE
OG0000070	sp|Q9CPP7|LIPG_MOUSE	tr|A0A8C9D618|A0A8C9D618_PANLE
