Orthogroup	Mus_musculus	Ursus_americanus
OG0000021	tr|E9QAW0|E9QAW0_MOUSE	tr|A0A452RNR6|A0A452RNR6_URSAM
OG0000021	sp|Q9Z1D9|ZN394_MOUSE	tr|A0A452QHK0|A0A452QHK0_URSAM
OG0000021	tr|E9PUD6|E9PUD6_MOUSE	tr|A0A452RZ94|A0A452RZ94_URSAM, tr|A0A452RZ93|A0A452RZ93_URSAM, tr|A0A452RZL7|A0A452RZL7_URSAM
OG0000021	tr|A2ALW2|A2ALW2_MOUSE	tr|A0A452S4Y9|A0A452S4Y9_URSAM, tr|A0A452SAB9|A0A452SAB9_URSAM
OG0000021	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A452S6A8|A0A452S6A8_URSAM, tr|A0A452SNJ8|A0A452SNJ8_URSAM, tr|A0A452QMQ4|A0A452QMQ4_URSAM
OG0000021	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A452S689|A0A452S689_URSAM, tr|A0A452S692|A0A452S692_URSAM
OG0000022	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A452S7S9|A0A452S7S9_URSAM, tr|A0A452QV00|A0A452QV00_URSAM, tr|A0A452QLS7|A0A452QLS7_URSAM
OG0000022	tr|Q8VF26|Q8VF26_MOUSE	tr|A0A452QHP0|A0A452QHP0_URSAM, tr|A0A452QER7|A0A452QER7_URSAM, tr|A0A452R9Z7|A0A452R9Z7_URSAM, tr|A0A452R6K6|A0A452R6K6_URSAM, tr|A0A452S1M8|A0A452S1M8_URSAM, tr|A0A452S1A4|A0A452S1A4_URSAM, tr|A0A452Q9I4|A0A452Q9I4_URSAM, tr|A0A452R6W1|A0A452R6W1_URSAM, tr|A0A452R705|A0A452R705_URSAM
OG0000022	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A452QL07|A0A452QL07_URSAM, tr|A0A452QY27|A0A452QY27_URSAM
OG0000022	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A452QB71|A0A452QB71_URSAM, tr|A0A452SWD8|A0A452SWD8_URSAM, tr|A0A452S7Q2|A0A452S7Q2_URSAM
OG0000026	sp|Q8BFU2|H2A3_MOUSE	tr|A0A452REH8|A0A452REH8_URSAM
OG0000026	sp|Q64522|H2A2B_MOUSE	tr|A0A452SA38|A0A452SA38_URSAM
OG0000026	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A452SMQ4|A0A452SMQ4_URSAM, tr|A0A452SA71|A0A452SA71_URSAM, tr|A0A452SA20|A0A452SA20_URSAM, tr|A0A452QF30|A0A452QF30_URSAM
OG0000026	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A452SML8|A0A452SML8_URSAM
OG0000026	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A452R741|A0A452R741_URSAM, tr|A0A452R763|A0A452R763_URSAM, tr|A0A452SA70|A0A452SA70_URSAM
OG0000029	tr|Q8VET2|Q8VET2_MOUSE	tr|A0A452QSD0|A0A452QSD0_URSAM, tr|A0A452RJM4|A0A452RJM4_URSAM
OG0000029	tr|Q8VGD7|Q8VGD7_MOUSE	tr|A0A452SP16|A0A452SP16_URSAM
OG0000029	tr|Q8VFG7|Q8VFG7_MOUSE	tr|A0A452Q9E2|A0A452Q9E2_URSAM, tr|A0A452SEX5|A0A452SEX5_URSAM, tr|A0A452R3M6|A0A452R3M6_URSAM
OG0000029	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|A0A452RT54|A0A452RT54_URSAM, tr|A0A452QN06|A0A452QN06_URSAM, tr|A0A452QEG4|A0A452QEG4_URSAM, tr|A0A452Q9E3|A0A452Q9E3_URSAM, tr|A0A452QL14|A0A452QL14_URSAM, tr|A0A452RJV1|A0A452RJV1_URSAM, tr|A0A452QB11|A0A452QB11_URSAM, tr|A0A452RIE1|A0A452RIE1_URSAM
OG0000035	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|A0A452RKC1|A0A452RKC1_URSAM, tr|A0A452QIQ6|A0A452QIQ6_URSAM, tr|A0A452QEW7|A0A452QEW7_URSAM, tr|A0A452QYR6|A0A452QYR6_URSAM, tr|A0A452QD09|A0A452QD09_URSAM, tr|A0A452QL81|A0A452QL81_URSAM, tr|A0A452QFD2|A0A452QFD2_URSAM, tr|A0A452QFC6|A0A452QFC6_URSAM, tr|A0A452R2F7|A0A452R2F7_URSAM, tr|A0A452RUM7|A0A452RUM7_URSAM, tr|A0A452RJP3|A0A452RJP3_URSAM, tr|A0A452QD21|A0A452QD21_URSAM, tr|A0A452RUR9|A0A452RUR9_URSAM, tr|A0A452RJR0|A0A452RJR0_URSAM, tr|A0A452QNZ2|A0A452QNZ2_URSAM, tr|A0A452RI02|A0A452RI02_URSAM, tr|A0A452Q8W7|A0A452Q8W7_URSAM, tr|A0A452QW05|A0A452QW05_URSAM, tr|A0A452QNW6|A0A452QNW6_URSAM, tr|A0A452QW25|A0A452QW25_URSAM, tr|A0A452QV56|A0A452QV56_URSAM, tr|A0A452QE86|A0A452QE86_URSAM
OG0000038	sp|Q8VHE6|DYH5_MOUSE	tr|A0A452SWI2|A0A452SWI2_URSAM
OG0000038	sp|Q91XQ0|DYH8_MOUSE	tr|A0A452Q8M5|A0A452Q8M5_URSAM
OG0000038	tr|D3YYQ8|D3YYQ8_MOUSE	tr|A0A452SER6|A0A452SER6_URSAM
OG0000038	sp|P0C6F1|DYH2_MOUSE	tr|A0A452QLK6|A0A452QLK6_URSAM
OG0000038	tr|E9Q0T8|E9Q0T8_MOUSE, tr|A0A087WR13|A0A087WR13_MOUSE, tr|L7N1Y0|L7N1Y0_MOUSE, sp|Q3V0Q1|DYH12_MOUSE, sp|Q8BW94|DYH3_MOUSE, sp|E9Q8T7|DYH1_MOUSE, tr|E9Q0B6|E9Q0B6_MOUSE, tr|A0A571BGC3|A0A571BGC3_MOUSE	tr|A0A452RLL5|A0A452RLL5_URSAM
OG0000038	sp|Q69Z23|DYH17_MOUSE, tr|B1AR51|B1AR51_MOUSE, tr|E9Q7N9|E9Q7N9_MOUSE	tr|A0A452RIN0|A0A452RIN0_URSAM, tr|A0A452RUB9|A0A452RUB9_URSAM
OG0000039	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VFD2|OL490_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE	tr|A0A452QV17|A0A452QV17_URSAM
OG0000040	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A452SJJ5|A0A452SJJ5_URSAM
OG0000040	tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A452SJI5|A0A452SJI5_URSAM
OG0000040	tr|Q7TRP3|Q7TRP3_MOUSE	tr|A0A452QFL0|A0A452QFL0_URSAM, tr|A0A452Q907|A0A452Q907_URSAM
OG0000040	tr|Q8VG28|Q8VG28_MOUSE	tr|A0A452QDQ7|A0A452QDQ7_URSAM, tr|A0A452R8W8|A0A452R8W8_URSAM
OG0000040	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A452Q851|A0A452Q851_URSAM, tr|A0A452QFS4|A0A452QFS4_URSAM, tr|A0A452S6B3|A0A452S6B3_URSAM
OG0000041	sp|Q05421|CP2E1_MOUSE	tr|A0A452SMK4|A0A452SMK4_URSAM
OG0000041	tr|E9PWV0|E9PWV0_MOUSE	tr|A0A452REZ9|A0A452REZ9_URSAM
OG0000041	sp|P33267|CP2F2_MOUSE	tr|A0A452RF42|A0A452RF42_URSAM
OG0000042	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A452QHG8|A0A452QHG8_URSAM, tr|A0A452QL80|A0A452QL80_URSAM, tr|A0A452QH67|A0A452QH67_URSAM, tr|A0A452QFF3|A0A452QFF3_URSAM
OG0000042	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A452QG09|A0A452QG09_URSAM, tr|A0A452QSD2|A0A452QSD2_URSAM, tr|A0A452QSA4|A0A452QSA4_URSAM, tr|A0A452QEM8|A0A452QEM8_URSAM, tr|A0A452QSA3|A0A452QSA3_URSAM, tr|A0A452QZB3|A0A452QZB3_URSAM, tr|A0A452S0M1|A0A452S0M1_URSAM, tr|A0A452QW87|A0A452QW87_URSAM, tr|A0A452QV06|A0A452QV06_URSAM, tr|A0A452RZ43|A0A452RZ43_URSAM, tr|A0A452S0T2|A0A452S0T2_URSAM, tr|A0A452QYH1|A0A452QYH1_URSAM, tr|A0A452QJY3|A0A452QJY3_URSAM, tr|A0A452QDI0|A0A452QDI0_URSAM, tr|A0A452QH26|A0A452QH26_URSAM
OG0000044	tr|G3UW88|G3UW88_MOUSE	tr|A0A452RVG8|A0A452RVG8_URSAM, tr|A0A452RVN4|A0A452RVN4_URSAM
OG0000044	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A452SL97|A0A452SL97_URSAM
OG0000044	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A452QK07|A0A452QK07_URSAM, tr|A0A452QF85|A0A452QF85_URSAM, tr|A0A452RAI8|A0A452RAI8_URSAM, tr|A0A452QGY9|A0A452QGY9_URSAM
OG0000044	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A452S7R7|A0A452S7R7_URSAM, tr|A0A452SAV4|A0A452SAV4_URSAM
OG0000045	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A452QH19|A0A452QH19_URSAM
OG0000045	tr|Q8VF62|Q8VF62_MOUSE	tr|A0A452REC6|A0A452REC6_URSAM, tr|A0A452RED9|A0A452RED9_URSAM, tr|A0A452QKX6|A0A452QKX6_URSAM, tr|A0A452REE4|A0A452REE4_URSAM, tr|A0A452S107|A0A452S107_URSAM, tr|A0A452RMN1|A0A452RMN1_URSAM, tr|A0A452RMM3|A0A452RMM3_URSAM, tr|A0A452RMG6|A0A452RMG6_URSAM, tr|A0A452SF36|A0A452SF36_URSAM, tr|A0A452RMJ3|A0A452RMJ3_URSAM, tr|A0A452RI65|A0A452RI65_URSAM, tr|A0A452QLW0|A0A452QLW0_URSAM, tr|A0A452SDL4|A0A452SDL4_URSAM, tr|A0A452QLS9|A0A452QLS9_URSAM, tr|A0A452RQW2|A0A452RQW2_URSAM, tr|A0A452RQY3|A0A452RQY3_URSAM, tr|A0A452RQV7|A0A452RQV7_URSAM, tr|A0A452RQY0|A0A452RQY0_URSAM
OG0000046	tr|Q8VFP8|Q8VFP8_MOUSE	tr|A0A452R890|A0A452R890_URSAM
OG0000046	sp|Q60879|OLF3_MOUSE	tr|A0A452R8R3|A0A452R8R3_URSAM
OG0000046	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A452SEJ3|A0A452SEJ3_URSAM, tr|A0A452R8B3|A0A452R8B3_URSAM
OG0000046	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A452SVR3|A0A452SVR3_URSAM, tr|A0A452SVV1|A0A452SVV1_URSAM, tr|A0A452SVC2|A0A452SVC2_URSAM, tr|A0A452RK17|A0A452RK17_URSAM, tr|A0A452QKP9|A0A452QKP9_URSAM, tr|A0A452RK47|A0A452RK47_URSAM, tr|A0A452RJT7|A0A452RJT7_URSAM, tr|A0A452R9T0|A0A452R9T0_URSAM, tr|A0A452QV26|A0A452QV26_URSAM, tr|A0A452R9V6|A0A452R9V6_URSAM
OG0000050	sp|Q60878|OL140_MOUSE	tr|A0A452QK91|A0A452QK91_URSAM
OG0000050	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A452RCD5|A0A452RCD5_URSAM, tr|A0A452RC97|A0A452RC97_URSAM, tr|A0A452RCB2|A0A452RCB2_URSAM, tr|A0A452QK95|A0A452QK95_URSAM, tr|A0A452QKB0|A0A452QKB0_URSAM, tr|A0A452SDI3|A0A452SDI3_URSAM, tr|A0A452QKA1|A0A452QKA1_URSAM, tr|A0A452S1U9|A0A452S1U9_URSAM, tr|A0A452S1W2|A0A452S1W2_URSAM, tr|A0A452S1H7|A0A452S1H7_URSAM, tr|A0A452SDB4|A0A452SDB4_URSAM, tr|A0A452SDA8|A0A452SDA8_URSAM, tr|A0A452RCC0|A0A452RCC0_URSAM, tr|A0A452RCE0|A0A452RCE0_URSAM, tr|A0A452RCB6|A0A452RCB6_URSAM
OG0000050	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A452QKA2|A0A452QKA2_URSAM
OG0000055	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A452SA54|A0A452SA54_URSAM, tr|A0A452SMW0|A0A452SMW0_URSAM, tr|A0A452SMU1|A0A452SMU1_URSAM, tr|A0A452QMF4|A0A452QMF4_URSAM, tr|A0A452SMP6|A0A452SMP6_URSAM, tr|A0A452R775|A0A452R775_URSAM, tr|A0A452SA62|A0A452SA62_URSAM, tr|A0A452QLX2|A0A452QLX2_URSAM
OG0000055	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A452SB50|A0A452SB50_URSAM, tr|A0A452Q7U9|A0A452Q7U9_URSAM, tr|A0A452SFQ7|A0A452SFQ7_URSAM, tr|A0A452SA79|A0A452SA79_URSAM, tr|A0A452REA7|A0A452REA7_URSAM, tr|A0A452RE89|A0A452RE89_URSAM
OG0000055	sp|P10854|H2B1M_MOUSE	tr|A0A452R7E6|A0A452R7E6_URSAM
OG0000058	tr|Q8VGA0|Q8VGA0_MOUSE	tr|A0A452RHT2|A0A452RHT2_URSAM
OG0000058	tr|Q8VG87|Q8VG87_MOUSE	tr|A0A452RHU2|A0A452RHU2_URSAM, tr|A0A452RHZ0|A0A452RHZ0_URSAM
OG0000058	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A452RHU9|A0A452RHU9_URSAM, tr|A0A452RHT9|A0A452RHT9_URSAM, tr|A0A452RHY7|A0A452RHY7_URSAM
OG0000062	sp|Q9QWL7|K1C17_MOUSE	tr|A0A452QW31|A0A452QW31_URSAM
OG0000062	sp|Q6IFX2|K1C42_MOUSE	tr|A0A452QW26|A0A452QW26_URSAM
OG0000062	sp|Q9Z2K1|K1C16_MOUSE	tr|A0A452QW00|A0A452QW00_URSAM
OG0000062	sp|Q61781|K1C14_MOUSE	tr|A0A452QW14|A0A452QW14_URSAM
OG0000062	sp|P08730|K1C13_MOUSE	tr|A0A452QVW4|A0A452QVW4_URSAM
OG0000062	sp|Q61414|K1C15_MOUSE	tr|A0A452QVW8|A0A452QVW8_URSAM
OG0000062	sp|P02535|K1C10_MOUSE, sp|Q6RHW0|K1C9_MOUSE	tr|A0A452QVX3|A0A452QVX3_URSAM
OG0000062	sp|P19001|K1C19_MOUSE	tr|A0A452QVX2|A0A452QVX2_URSAM
OG0000063	sp|P00757|K1KB4_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P15947|KLK1_MOUSE, sp|P00755|K1KB1_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P36369|K1B26_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P04071|K1B16_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P15948|K1B22_MOUSE, sp|P15946|K1B11_MOUSE, sp|Q61759|K1B21_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|Q61754|K1B24_MOUSE	tr|A0A452S8S7|A0A452S8S7_URSAM, tr|A0A452S8S4|A0A452S8S4_URSAM
OG0000064	sp|Q03137|EPHA4_MOUSE	tr|A0A452STZ3|A0A452STZ3_URSAM
OG0000064	sp|P29319|EPHA3_MOUSE	tr|A0A452RVY6|A0A452RVY6_URSAM
OG0000064	sp|Q61772|EPHA7_MOUSE	tr|A0A452QTN2|A0A452QTN2_URSAM
OG0000064	sp|O09127|EPHA8_MOUSE	tr|A0A452S2I5|A0A452S2I5_URSAM
OG0000064	sp|P54754|EPHB3_MOUSE	tr|A0A452RYG5|A0A452RYG5_URSAM
OG0000064	sp|P54763|EPHB2_MOUSE, sp|Q8CBF3|EPHB1_MOUSE	tr|A0A452SCM8|A0A452SCM8_URSAM
OG0000065	sp|Q62007|OLF16_MOUSE	tr|A0A452RJC6|A0A452RJC6_URSAM
OG0000065	tr|A0A140T8J6|A0A140T8J6_MOUSE	tr|A0A452SQW4|A0A452SQW4_URSAM, tr|A0A452SR08|A0A452SR08_URSAM
OG0000065	tr|E9Q848|E9Q848_MOUSE	tr|A0A452SQW0|A0A452SQW0_URSAM, tr|A0A452SQT4|A0A452SQT4_URSAM, tr|A0A452RLI7|A0A452RLI7_URSAM, tr|A0A452RLI3|A0A452RLI3_URSAM, tr|A0A452Q8H6|A0A452Q8H6_URSAM, tr|A0A452QEH2|A0A452QEH2_URSAM, tr|A0A452RLC3|A0A452RLC3_URSAM, tr|A0A452QKM1|A0A452QKM1_URSAM, tr|A0A452Q7V7|A0A452Q7V7_URSAM, tr|A0A452RLG6|A0A452RLG6_URSAM
OG0000066	sp|P55288|CAD11_MOUSE	tr|A0A452RXW9|A0A452RXW9_URSAM
OG0000066	sp|Q5RJH3|CAD12_MOUSE	tr|A0A452SF16|A0A452SF16_URSAM
OG0000066	sp|Q9Z0M3|CAD20_MOUSE	tr|A0A452SQ57|A0A452SQ57_URSAM
OG0000066	sp|Q8BM92|CADH7_MOUSE	tr|A0A452QD62|A0A452QD62_URSAM
OG0000066	sp|P70407|CADH9_MOUSE	tr|A0A452QJN1|A0A452QJN1_URSAM
OG0000066	sp|P97326|CADH6_MOUSE	tr|A0A452QCV4|A0A452QCV4_URSAM
OG0000066	sp|P97291|CADH8_MOUSE	tr|A0A452R5G1|A0A452R5G1_URSAM
OG0000068	sp|B1AQ75|KRT36_MOUSE	tr|A0A452QVV1|A0A452QVV1_URSAM, tr|A0A452QVX0|A0A452QVX0_URSAM
OG0000068	sp|Q497I4|KRT35_MOUSE	tr|A0A452QVW5|A0A452QVW5_URSAM
OG0000068	sp|Q6IFX4|K1C39_MOUSE	tr|A0A452RAX8|A0A452RAX8_URSAM
OG0000068	sp|Q6IFX3|K1C40_MOUSE	tr|A0A452RAE1|A0A452RAE1_URSAM
OG0000076	tr|Q8VFU9|Q8VFU9_MOUSE	tr|A0A452RZ85|A0A452RZ85_URSAM
OG0000076	tr|Q8VFV0|Q8VFV0_MOUSE	tr|A0A452R0H3|A0A452R0H3_URSAM
OG0000076	tr|Q0VDY1|Q0VDY1_MOUSE	tr|A0A452RYV4|A0A452RYV4_URSAM
OG0000076	tr|Q5SW48|Q5SW48_MOUSE	tr|A0A452QH98|A0A452QH98_URSAM, tr|A0A452QKW5|A0A452QKW5_URSAM, tr|A0A452QE49|A0A452QE49_URSAM, tr|A0A452RHF5|A0A452RHF5_URSAM, tr|A0A452RHE4|A0A452RHE4_URSAM
OG0000081	sp|Q99PP6|TR34A_MOUSE, tr|J3QNR8|J3QNR8_MOUSE	tr|A0A452R2E5|A0A452R2E5_URSAM
OG0000081	sp|Q8BGE7|TRIM6_MOUSE	tr|A0A452R283|A0A452R283_URSAM
OG0000081	tr|D3Z3L3|D3Z3L3_MOUSE, tr|E9PV98|E9PV98_MOUSE, sp|Q99PQ1|TR12A_MOUSE, tr|E9PVL6|E9PVL6_MOUSE, tr|D3YVI9|D3YVI9_MOUSE, sp|P15533|TR30A_MOUSE, tr|E9PWL0|E9PWL0_MOUSE	tr|A0A452R276|A0A452R276_URSAM, tr|A0A452R2H2|A0A452R2H2_URSAM
OG0000084	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A452R3P8|A0A452R3P8_URSAM
OG0000084	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A452QYN1|A0A452QYN1_URSAM
OG0000084	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A452QV70|A0A452QV70_URSAM
OG0000085	tr|Q8VF89|Q8VF89_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE	tr|A0A452REJ1|A0A452REJ1_URSAM, tr|A0A452QVU6|A0A452QVU6_URSAM
