Orthogroup	Mus_musculus	Neotoma_lepida
OG0001877	sp|Q91V57|CHIN_MOUSE	tr|A0A1A6GQQ4|A0A1A6GQQ4_NEOLE
OG0001877	sp|Q80XD1|CHIO_MOUSE	tr|A0A1A6H2K1|A0A1A6H2K1_NEOLE
OG0001878	sp|Q8QZY9|SF3B4_MOUSE	tr|A0A1A6H930|A0A1A6H930_NEOLE, tr|A0A1A6H069|A0A1A6H069_NEOLE, tr|A0A1A6H1E3|A0A1A6H1E3_NEOLE
OG0001879	sp|B1AZI6|THOC2_MOUSE, tr|E9Q5E2|E9Q5E2_MOUSE	tr|A0A1A6FYC6|A0A1A6FYC6_NEOLE, tr|A0A1A6GTF8|A0A1A6GTF8_NEOLE
OG0001880	sp|O35493|CLK4_MOUSE	tr|A0A1A6HY76|A0A1A6HY76_NEOLE
OG0001880	sp|P22518|CLK1_MOUSE	tr|A0A1A6H2F0|A0A1A6H2F0_NEOLE
OG0001881	sp|Q923W9|ADA33_MOUSE	tr|A0A1A6H2Z0|A0A1A6H2Z0_NEOLE
OG0001881	sp|O35674|ADA19_MOUSE	tr|A0A1A6GLB1|A0A1A6GLB1_NEOLE
OG0001882	sp|Q61001|LAMA5_MOUSE	tr|A0A1A6H509|A0A1A6H509_NEOLE
OG0001882	sp|Q61789|LAMA3_MOUSE	tr|A0A1A6HXJ9|A0A1A6HXJ9_NEOLE
OG0001883	tr|Q8VH17|Q8VH17_MOUSE	tr|A0A1A6HYT8|A0A1A6HYT8_NEOLE, tr|A0A1A6H4L7|A0A1A6H4L7_NEOLE, tr|A0A1A6H0F8|A0A1A6H0F8_NEOLE
OG0001884	sp|Q9Z185|PADI1_MOUSE	tr|A0A1A6GMX7|A0A1A6GMX7_NEOLE
OG0001884	sp|Q9Z183|PADI4_MOUSE	tr|A0A1A6GPK6|A0A1A6GPK6_NEOLE
OG0001885	sp|P58307|OX1R_MOUSE	tr|A0A1A6HCJ6|A0A1A6HCJ6_NEOLE
OG0001885	sp|P58308|OX2R_MOUSE	tr|A0A1A6HYU6|A0A1A6HYU6_NEOLE
OG0001886	sp|Q80TJ1|CAPS1_MOUSE, sp|Q8BYR5|CAPS2_MOUSE	tr|A0A1A6FYZ3|A0A1A6FYZ3_NEOLE, tr|A0A1A6HTV1|A0A1A6HTV1_NEOLE
OG0001887	sp|O88978|DAA11_MOUSE	tr|A0A1A6HMI8|A0A1A6HMI8_NEOLE
OG0001887	sp|P97822|AN32E_MOUSE	tr|A0A1A6H5U1|A0A1A6H5U1_NEOLE
OG0001888	sp|Q8K396|MND1_MOUSE	tr|A0A1A6FW08|A0A1A6FW08_NEOLE
OG0001888	tr|Q3TAQ9|Q3TAQ9_MOUSE	tr|A0A1A6GUD1|A0A1A6GUD1_NEOLE
OG0001889	tr|Q4TU83|Q4TU83_MOUSE	tr|A0A1A6HFQ9|A0A1A6HFQ9_NEOLE, tr|A0A1A6HD19|A0A1A6HD19_NEOLE, tr|A0A1A6GTG9|A0A1A6GTG9_NEOLE
OG0001890	tr|E9Q2S7|E9Q2S7_MOUSE, sp|P10076|ZFP26_MOUSE, sp|Q8R1D1|ZN426_MOUSE	tr|A0A1A6HLS9|A0A1A6HLS9_NEOLE
OG0001891	sp|Q62082|MYL10_MOUSE	tr|A0A1A6GWE6|A0A1A6GWE6_NEOLE
OG0001891	sp|P97457|MYL11_MOUSE	tr|A0A1A6GB38|A0A1A6GB38_NEOLE
OG0001892	tr|Q8BVR5|Q8BVR5_MOUSE, tr|Q3V0H9|Q3V0H9_MOUSE	tr|A0A1A6HQF1|A0A1A6HQF1_NEOLE, tr|A0A1A6HDB6|A0A1A6HDB6_NEOLE
OG0001893	sp|Q8BML1|MICA2_MOUSE	tr|A0A1A6HMC0|A0A1A6HMC0_NEOLE
OG0001893	sp|Q8CJ19|MICA3_MOUSE	tr|A0A1A6HG42|A0A1A6HG42_NEOLE
OG0001894	sp|O70306|TBX15_MOUSE	tr|A0A1A6GPI4|A0A1A6GPI4_NEOLE, tr|A0A1A6HYE4|A0A1A6HYE4_NEOLE, tr|A0A1A6GKF4|A0A1A6GKF4_NEOLE
OG0001895	sp|A2BFL2|ZY11A_MOUSE	tr|A0A1A6HZ21|A0A1A6HZ21_NEOLE
OG0001895	sp|Q3UFS0|ZY11B_MOUSE	tr|A0A1A6HXJ6|A0A1A6HXJ6_NEOLE
OG0001896	sp|P05784|K1C18_MOUSE	tr|A0A1A6GHX5|A0A1A6GHX5_NEOLE, tr|A0A1A6HD14|A0A1A6HD14_NEOLE, tr|A0A1A6HGI1|A0A1A6HGI1_NEOLE
OG0001897	sp|P98083|SHC1_MOUSE	tr|A0A1A6GJ77|A0A1A6GJ77_NEOLE, tr|A0A1A6GP89|A0A1A6GP89_NEOLE, tr|A0A1A6HXZ9|A0A1A6HXZ9_NEOLE
OG0001898	sp|Q7TSI3|PP6R1_MOUSE	tr|A0A1A6H381|A0A1A6H381_NEOLE, tr|A0A1A6HGD9|A0A1A6HGD9_NEOLE, tr|A0A1A6GKP2|A0A1A6GKP2_NEOLE
OG0001899	sp|B2RRD7|BRPF1_MOUSE	tr|A0A1A6HNU2|A0A1A6HNU2_NEOLE
OG0001899	sp|G5E8P1|BRD1_MOUSE	tr|A0A1A6H623|A0A1A6H623_NEOLE
OG0001900	sp|Q8BQP8|RFIP4_MOUSE	tr|A0A1A6GS33|A0A1A6GS33_NEOLE
OG0001900	sp|Q8CHD8|RFIP3_MOUSE	tr|A0A1A6HW39|A0A1A6HW39_NEOLE
OG0001901	sp|Q01965|LY9_MOUSE, sp|Q18PI6|SLAF5_MOUSE, sp|Q9D780|SLAF9_MOUSE	tr|A0A1A6GLX5|A0A1A6GLX5_NEOLE
OG0001902	sp|O88509|DNM3B_MOUSE	tr|A0A1A6H737|A0A1A6H737_NEOLE
OG0001902	sp|P0DOY1|DNM3C_MOUSE	tr|A0A1A6H9X6|A0A1A6H9X6_NEOLE
OG0001903	sp|Q6ZWQ0|SYNE2_MOUSE	tr|A0A1A6GVZ1|A0A1A6GVZ1_NEOLE
OG0001903	sp|Q6ZWR6|SYNE1_MOUSE	tr|A0A1A6GXF6|A0A1A6GXF6_NEOLE
OG0001904	sp|Q8CAA7|PGM2L_MOUSE	tr|A0A1A6HTB1|A0A1A6HTB1_NEOLE
OG0001904	sp|Q7TSV4|PGM2_MOUSE	tr|A0A1A6FV65|A0A1A6FV65_NEOLE
OG0001905	sp|Q9ER41|TOR1B_MOUSE	tr|A0A1A6GQP3|A0A1A6GQP3_NEOLE
OG0001905	sp|Q9ER39|TOR1A_MOUSE	tr|A0A1A6GRI7|A0A1A6GRI7_NEOLE
OG0001906	sp|Q9D024|CCD47_MOUSE	tr|A0A1A6GWL3|A0A1A6GWL3_NEOLE, tr|A0A1A6GV10|A0A1A6GV10_NEOLE, tr|A0A1A6HGI2|A0A1A6HGI2_NEOLE
OG0001907	sp|Q9WUH2|LHX9_MOUSE	tr|A0A1A6GE04|A0A1A6GE04_NEOLE
OG0001907	sp|Q9Z0S2|LHX2_MOUSE	tr|A0A1A6HK26|A0A1A6HK26_NEOLE
OG0001908	sp|P62267|RS23_MOUSE	tr|A0A1A6G0R2|A0A1A6G0R2_NEOLE, tr|A0A1A6G1D0|A0A1A6G1D0_NEOLE, tr|A0A1A6GG25|A0A1A6GG25_NEOLE
OG0001909	sp|P13864|DNMT1_MOUSE	tr|A0A1A6HN46|A0A1A6HN46_NEOLE, tr|A0A1A6HQM2|A0A1A6HQM2_NEOLE, tr|A0A1A6GT07|A0A1A6GT07_NEOLE
OG0001910	sp|Q60595|XL3A_MOUSE, sp|Q61806|XL3C_MOUSE, sp|Q6P205|XL3B_MOUSE	tr|A0A1A6HUQ0|A0A1A6HUQ0_NEOLE
OG0001911	sp|Q8HWE5|MILL2_MOUSE, sp|Q8HWE7|MILL1_MOUSE	tr|A0A1A6GKD9|A0A1A6GKD9_NEOLE, tr|A0A1A6GJ87|A0A1A6GJ87_NEOLE
OG0001912	sp|Q99LF1|AKIR1_MOUSE	tr|A0A1A6HTT5|A0A1A6HTT5_NEOLE
OG0001912	sp|B1AXD8|AKIR2_MOUSE	tr|A0A1A6GD32|A0A1A6GD32_NEOLE
OG0001913	sp|Q9JMC8|E41LB_MOUSE	tr|A0A1A6FXS0|A0A1A6FXS0_NEOLE
OG0001913	sp|Q8BGS1|E41L5_MOUSE	tr|A0A1A6GPB4|A0A1A6GPB4_NEOLE
OG0001914	sp|Q9QZI9|SERC3_MOUSE	tr|A0A1A6HB86|A0A1A6HB86_NEOLE
OG0001914	sp|Q9QZI8|SERC1_MOUSE	tr|A0A1A6GNX5|A0A1A6GNX5_NEOLE
OG0001915	sp|P0C0S6|H2AZ_MOUSE	tr|A0A1A6H7I9|A0A1A6H7I9_NEOLE, tr|A0A1A6GXL8|A0A1A6GXL8_NEOLE, tr|A0A1A6GZ20|A0A1A6GZ20_NEOLE
OG0001916	sp|Q2PZL6|FAT4_MOUSE	tr|A0A1A6HHT0|A0A1A6HHT0_NEOLE, tr|A0A1A6FYU9|A0A1A6FYU9_NEOLE, tr|A0A1A6HN15|A0A1A6HN15_NEOLE
OG0001917	sp|Q6P8J7|KCRS_MOUSE	tr|A0A1A6H019|A0A1A6H019_NEOLE
OG0001917	sp|P30275|KCRU_MOUSE	tr|A0A1A6HM46|A0A1A6HM46_NEOLE
OG0001918	sp|Q9CQL1|MGN2_MOUSE, sp|P61327|MGN_MOUSE	tr|A0A1A6HWY0|A0A1A6HWY0_NEOLE, tr|A0A1A6HDE0|A0A1A6HDE0_NEOLE
OG0001919	sp|Q8R2M2|TDIF2_MOUSE	tr|A0A1A6GDT0|A0A1A6GDT0_NEOLE, tr|A0A1A6FX66|A0A1A6FX66_NEOLE, tr|A0A1A6HEK2|A0A1A6HEK2_NEOLE
OG0001920	sp|Q9QXD6|F16P1_MOUSE	tr|A0A1A6H2Q3|A0A1A6H2Q3_NEOLE
OG0001920	sp|P70695|F16P2_MOUSE	tr|A0A1A6H1F1|A0A1A6H1F1_NEOLE
OG0001921	sp|P97377|CDK2_MOUSE	tr|A0A1A6GXH7|A0A1A6GXH7_NEOLE
OG0001921	sp|Q80YP0|CDK3_MOUSE	tr|A0A1A6H4Z4|A0A1A6H4Z4_NEOLE
OG0001922	sp|Q8C9R9|EFCB8_MOUSE	tr|A0A1A6H7X5|A0A1A6H7X5_NEOLE, tr|A0A1A6G5X1|A0A1A6G5X1_NEOLE, tr|A0A1A6GNL1|A0A1A6GNL1_NEOLE
OG0001923	sp|Q9CW42|MARC1_MOUSE	tr|A0A1A6H463|A0A1A6H463_NEOLE
OG0001923	sp|Q922Q1|MARC2_MOUSE	tr|A0A1A6H6A6|A0A1A6H6A6_NEOLE
OG0001924	sp|Q8R090|VMAT1_MOUSE	tr|A0A1A6HB62|A0A1A6HB62_NEOLE
OG0001924	sp|Q8BRU6|VMAT2_MOUSE	tr|A0A1A6GG82|A0A1A6GG82_NEOLE
OG0001925	tr|B1AWZ3|B1AWZ3_MOUSE, sp|Q9CQE1|NPS3B_MOUSE	tr|A0A1A6GZY8|A0A1A6GZY8_NEOLE, tr|A0A1A6H2R8|A0A1A6H2R8_NEOLE
OG0001926	sp|Q6PFY9|CC14B_MOUSE	tr|A0A1A6G1G3|A0A1A6G1G3_NEOLE
OG0001926	sp|Q6GQT0|CC14A_MOUSE	tr|A0A1A6FVT0|A0A1A6FVT0_NEOLE
OG0001927	sp|Q8BG84|LAIR1_MOUSE	tr|A0A1A6H1F9|A0A1A6H1F9_NEOLE, tr|A0A1A6H139|A0A1A6H139_NEOLE, tr|A0A1A6GF37|A0A1A6GF37_NEOLE
OG0001928	sp|Q9D1C1|UBE2C_MOUSE	tr|A0A1A6HSX6|A0A1A6HSX6_NEOLE, tr|A0A1A6GFX5|A0A1A6GFX5_NEOLE, tr|A0A1A6FTF9|A0A1A6FTF9_NEOLE
OG0001929	sp|P97927|LAMA4_MOUSE	tr|A0A1A6GK22|A0A1A6GK22_NEOLE, tr|A0A1A6HWV1|A0A1A6HWV1_NEOLE, tr|A0A1A6HW88|A0A1A6HW88_NEOLE
OG0001930	tr|A9C474|A9C474_MOUSE	tr|A0A1A6GJ02|A0A1A6GJ02_NEOLE, tr|A0A1A6HCL0|A0A1A6HCL0_NEOLE, tr|A0A1A6H325|A0A1A6H325_NEOLE
OG0001931	sp|P24547|IMDH2_MOUSE	tr|A0A1A6H0B2|A0A1A6H0B2_NEOLE
OG0001931	sp|P50096|IMDH1_MOUSE	tr|A0A1A6H2W4|A0A1A6H2W4_NEOLE
OG0001932	sp|Q2VWQ2|NELL1_MOUSE	tr|A0A1A6GZV3|A0A1A6GZV3_NEOLE
OG0001932	sp|Q61220|NELL2_MOUSE	tr|A0A1A6HNS6|A0A1A6HNS6_NEOLE
OG0001933	sp|Q8BPP1|MB212_MOUSE	tr|A0A1A6GTQ4|A0A1A6GTQ4_NEOLE
OG0001933	sp|O70299|MB211_MOUSE	tr|A0A1A6GIH3|A0A1A6GIH3_NEOLE
OG0001934	sp|P21460|CYTC_MOUSE	tr|A0A1A6FYJ0|A0A1A6FYJ0_NEOLE, tr|A0A1A6GIJ2|A0A1A6GIJ2_NEOLE, tr|A0A1A6GHS9|A0A1A6GHS9_NEOLE
OG0001935	sp|P84075|HPCA_MOUSE	tr|A0A1A6H9S1|A0A1A6H9S1_NEOLE, tr|A0A1A6HJ16|A0A1A6HJ16_NEOLE, tr|A0A1A6HUN0|A0A1A6HUN0_NEOLE
OG0001936	sp|Q9D2M8|UB2V2_MOUSE	tr|A0A1A6GGF5|A0A1A6GGF5_NEOLE, tr|A0A1A6HN08|A0A1A6HN08_NEOLE, tr|A0A1A6HR04|A0A1A6HR04_NEOLE
OG0001937	sp|Q64442|DHSO_MOUSE	tr|A0A1A6HX37|A0A1A6HX37_NEOLE, tr|A0A1A6GQX2|A0A1A6GQX2_NEOLE, tr|A0A1A6GR91|A0A1A6GR91_NEOLE
OG0001938	sp|Q8R4W6|PCOC2_MOUSE	tr|A0A1A6H895|A0A1A6H895_NEOLE
OG0001938	sp|Q8K480|MFRP_MOUSE	tr|A0A1A6FZ87|A0A1A6FZ87_NEOLE
OG0001939	sp|P46978|STT3A_MOUSE	tr|A0A1A6HR51|A0A1A6HR51_NEOLE
OG0001939	sp|Q3TDQ1|STT3B_MOUSE	tr|A0A1A6HT13|A0A1A6HT13_NEOLE
OG0001940	sp|Q7TNK1|RFX4_MOUSE	tr|A0A1A6GLP4|A0A1A6GLP4_NEOLE
OG0001940	sp|Q8C7R7|RFX6_MOUSE	tr|A0A1A6GKE0|A0A1A6GKE0_NEOLE
OG0001941	sp|P45376|ALDR_MOUSE	tr|A0A1A6H6J8|A0A1A6H6J8_NEOLE, tr|A0A1A6GLR8|A0A1A6GLR8_NEOLE, tr|A0A1A6FZC4|A0A1A6FZC4_NEOLE
OG0001942	tr|Q99MW5|Q99MW5_MOUSE	tr|A0A1A6HN41|A0A1A6HN41_NEOLE
OG0001942	tr|A2AFS9|A2AFS9_MOUSE	tr|A0A1A6HHQ1|A0A1A6HHQ1_NEOLE
OG0001943	sp|P21956|MFGM_MOUSE	tr|A0A1A6H4S6|A0A1A6H4S6_NEOLE
OG0001943	sp|O35474|EDIL3_MOUSE	tr|A0A1A6GWY8|A0A1A6GWY8_NEOLE
OG0001944	sp|Q91XB7|YIF1A_MOUSE	tr|A0A1A6GS11|A0A1A6GS11_NEOLE, tr|A0A1A6FZP1|A0A1A6FZP1_NEOLE, tr|A0A1A6HN34|A0A1A6HN34_NEOLE
OG0001945	sp|O35129|PHB2_MOUSE	tr|A0A1A6HCK9|A0A1A6HCK9_NEOLE, tr|A0A1A6HCB8|A0A1A6HCB8_NEOLE, tr|A0A1A6HNP1|A0A1A6HNP1_NEOLE
OG0001946	sp|P97368|MEIS3_MOUSE	tr|A0A1A6GEQ4|A0A1A6GEQ4_NEOLE, tr|A0A1A6HWB8|A0A1A6HWB8_NEOLE, tr|A0A1A6GQN1|A0A1A6GQN1_NEOLE
OG0001947	sp|Q8VIN1|PEBP2_MOUSE	tr|A0A1A6HS83|A0A1A6HS83_NEOLE, tr|A0A1A6HYM5|A0A1A6HYM5_NEOLE, tr|A0A1A6HHE5|A0A1A6HHE5_NEOLE
OG0001948	sp|Q9CPR8|NSE3_MOUSE	tr|A0A1A6FZV6|A0A1A6FZV6_NEOLE, tr|A0A1A6HYB4|A0A1A6HYB4_NEOLE, tr|A0A1A6HJ41|A0A1A6HJ41_NEOLE
OG0001949	sp|G5E8V9|ARFP1_MOUSE	tr|A0A1A6GWZ7|A0A1A6GWZ7_NEOLE
OG0001949	sp|Q8K221|ARFP2_MOUSE	tr|A0A1A6HRE6|A0A1A6HRE6_NEOLE
OG0001950	sp|Q9Z0Y9|NR1H3_MOUSE	tr|A0A1A6GGT4|A0A1A6GGT4_NEOLE, tr|A0A1A6GYP9|A0A1A6GYP9_NEOLE, tr|A0A1A6H7K9|A0A1A6H7K9_NEOLE
OG0001951	sp|P70460|VASP_MOUSE	tr|A0A1A6GG56|A0A1A6GG56_NEOLE, tr|A0A1A6FZF1|A0A1A6FZF1_NEOLE, tr|A0A1A6GZK7|A0A1A6GZK7_NEOLE
OG0001952	sp|Q8K2H1|PPHLN_MOUSE, tr|Q9CZ70|Q9CZ70_MOUSE	tr|A0A1A6H5M9|A0A1A6H5M9_NEOLE, tr|A0A1A6H0L3|A0A1A6H0L3_NEOLE
OG0001953	sp|Q60967|PAPS1_MOUSE	tr|A0A1A6G0H6|A0A1A6G0H6_NEOLE
OG0001953	sp|O88428|PAPS2_MOUSE	tr|A0A1A6GM69|A0A1A6GM69_NEOLE
OG0001954	sp|Q9JI13|SAS10_MOUSE	tr|A0A1A6H188|A0A1A6H188_NEOLE, tr|A0A1A6HFF1|A0A1A6HFF1_NEOLE, tr|A0A1A6HI48|A0A1A6HI48_NEOLE
OG0001955	sp|Q62448|IF4G2_MOUSE	tr|A0A1A6GKC5|A0A1A6GKC5_NEOLE, tr|A0A1A6GJ74|A0A1A6GJ74_NEOLE, tr|A0A1A6GST1|A0A1A6GST1_NEOLE
OG0001956	sp|Q6PDK2|KMT2D_MOUSE	tr|A0A1A6HG67|A0A1A6HG67_NEOLE, tr|A0A1A6FZV0|A0A1A6FZV0_NEOLE, tr|A0A1A6HM13|A0A1A6HM13_NEOLE
OG0001957	sp|Q9Z262|CLD6_MOUSE	tr|A0A1A6H9G0|A0A1A6H9G0_NEOLE, tr|A0A1A6HNT1|A0A1A6HNT1_NEOLE, tr|A0A1A6H7F6|A0A1A6H7F6_NEOLE
OG0001958	tr|D3YXE9|D3YXE9_MOUSE	tr|A0A1A6HE28|A0A1A6HE28_NEOLE, tr|A0A1A6HB71|A0A1A6HB71_NEOLE, tr|A0A1A6HD35|A0A1A6HD35_NEOLE
OG0001959	sp|Q8K1S3|UNC5B_MOUSE	tr|A0A1A6HSM6|A0A1A6HSM6_NEOLE, tr|A0A1A6HAE4|A0A1A6HAE4_NEOLE, tr|A0A1A6HN57|A0A1A6HN57_NEOLE
OG0001960	sp|Q91XQ0|DYH8_MOUSE	tr|A0A1A6G2H9|A0A1A6G2H9_NEOLE, tr|A0A1A6HG78|A0A1A6HG78_NEOLE, tr|A0A1A6FT27|A0A1A6FT27_NEOLE
OG0001961	sp|P63321|RALA_MOUSE	tr|A0A1A6GRF5|A0A1A6GRF5_NEOLE
OG0001961	sp|Q9JIW9|RALB_MOUSE	tr|A0A1A6G2Q8|A0A1A6G2Q8_NEOLE
OG0001962	sp|Q3MI99|CCBE1_MOUSE	tr|A0A1A6H1E9|A0A1A6H1E9_NEOLE, tr|A0A1A6HYZ7|A0A1A6HYZ7_NEOLE, tr|A0A1A6HKE8|A0A1A6HKE8_NEOLE
OG0001963	sp|Q8K3P5|CNOT6_MOUSE	tr|A0A1A6H105|A0A1A6H105_NEOLE
OG0001963	sp|Q8VEG6|CNO6L_MOUSE	tr|A0A1A6GQ31|A0A1A6GQ31_NEOLE
OG0001964	sp|P04441|HG2A_MOUSE	tr|A0A1A6HA19|A0A1A6HA19_NEOLE, tr|A0A1A6GG92|A0A1A6GG92_NEOLE, tr|A0A1A6GJP8|A0A1A6GJP8_NEOLE
OG0001965	sp|P62918|RL8_MOUSE	tr|A0A1A6GNB2|A0A1A6GNB2_NEOLE, tr|A0A1A6GGN2|A0A1A6GGN2_NEOLE, tr|A0A1A6GDP7|A0A1A6GDP7_NEOLE
OG0001966	sp|Q8BJ42|DLGP2_MOUSE	tr|A0A1A6HH25|A0A1A6HH25_NEOLE, tr|A0A1A6G340|A0A1A6G340_NEOLE, tr|A0A1A6FXX4|A0A1A6FXX4_NEOLE
OG0001967	sp|Q9D2L9|F111A_MOUSE	tr|A0A1A6HE67|A0A1A6HE67_NEOLE, tr|A0A1A6GU20|A0A1A6GU20_NEOLE, tr|A0A1A6GJM6|A0A1A6GJM6_NEOLE
OG0002019	sp|A2ANU3|SYNG1_MOUSE	tr|A0A1A6H0A1|A0A1A6H0A1_NEOLE, tr|A0A1A6H2H0|A0A1A6H2H0_NEOLE
OG0002020	sp|P12804|FGL2_MOUSE	tr|A0A1A6GQP7|A0A1A6GQP7_NEOLE, tr|A0A1A6GQW2|A0A1A6GQW2_NEOLE
OG0002021	sp|P47739|AL3A1_MOUSE, sp|P47740|AL3A2_MOUSE	tr|A0A1A6H151|A0A1A6H151_NEOLE
OG0002022	sp|Q14B25|PRS48_MOUSE	tr|A0A1A6GQK7|A0A1A6GQK7_NEOLE, tr|A0A1A6HQ81|A0A1A6HQ81_NEOLE
OG0002023	sp|Q504P2|CL12A_MOUSE, sp|Q149M0|CL12B_MOUSE	tr|A0A1A6FWI7|A0A1A6FWI7_NEOLE
OG0002024	sp|Q9JKJ9|CP39A_MOUSE, sp|Q60991|CP7B1_MOUSE	tr|A0A1A6GLI4|A0A1A6GLI4_NEOLE
OG0002025	sp|Q6QNU9|TLR12_MOUSE, sp|Q6R5P0|TLR11_MOUSE	tr|A0A1A6HAI5|A0A1A6HAI5_NEOLE
OG0002026	sp|Q99MR1|GGYF1_MOUSE, sp|Q6Y7W8|GGYF2_MOUSE	tr|A0A1A6G0W8|A0A1A6G0W8_NEOLE
OG0002027	sp|E9PZ36|PKHD1_MOUSE, sp|Q80ZA4|PKHL1_MOUSE	tr|A0A1A6GF60|A0A1A6GF60_NEOLE
OG0002028	sp|Q61655|DD19A_MOUSE, tr|Q8BZY3|Q8BZY3_MOUSE	tr|A0A1A6HUF5|A0A1A6HUF5_NEOLE
OG0002029	sp|Q3TWL2|PP4P1_MOUSE, sp|Q9CZX7|PP4P2_MOUSE	tr|A0A1A6G0N6|A0A1A6G0N6_NEOLE
OG0002031	sp|Q9WV32|ARC1B_MOUSE	tr|A0A1A6G454|A0A1A6G454_NEOLE, tr|A0A1A6GY49|A0A1A6GY49_NEOLE
OG0002032	sp|Q9Z1D1|EIF3G_MOUSE	tr|A0A1A6HM89|A0A1A6HM89_NEOLE, tr|A0A1A6G3H9|A0A1A6G3H9_NEOLE
OG0002035	sp|Q64280|LFTY1_MOUSE, sp|P57785|LFTY2_MOUSE	tr|A0A1A6G200|A0A1A6G200_NEOLE
OG0002036	sp|Q02111|KPCT_MOUSE, sp|P28867|KPCD_MOUSE	tr|A0A1A6G2E0|A0A1A6G2E0_NEOLE
OG0002037	sp|Q3UB74|TBRG1_MOUSE	tr|A0A1A6GSQ3|A0A1A6GSQ3_NEOLE, tr|A0A1A6H753|A0A1A6H753_NEOLE
OG0002038	tr|Q8BSH2|Q8BSH2_MOUSE, sp|Q8BK62|OLFL3_MOUSE	tr|A0A1A6HKY9|A0A1A6HKY9_NEOLE
OG0002039	sp|Q8BX22|SALL4_MOUSE	tr|A0A1A6HGC4|A0A1A6HGC4_NEOLE, tr|A0A1A6GP49|A0A1A6GP49_NEOLE
OG0002040	tr|Q810N3|Q810N3_MOUSE, tr|Q8CFJ5|Q8CFJ5_MOUSE	tr|A0A1A6HP20|A0A1A6HP20_NEOLE
OG0002041	sp|Q99M02|MARH2_MOUSE	tr|A0A1A6G2F9|A0A1A6G2F9_NEOLE, tr|A0A1A6GK93|A0A1A6GK93_NEOLE
OG0002042	sp|Q9CZV8|FXL20_MOUSE, sp|Q8BH16|FBXL2_MOUSE	tr|A0A1A6HTK4|A0A1A6HTK4_NEOLE
OG0002043	tr|G5E8L7|G5E8L7_MOUSE, tr|E9PX31|E9PX31_MOUSE	tr|A0A1A6GEJ4|A0A1A6GEJ4_NEOLE
OG0002044	sp|O35134|RPA1_MOUSE	tr|A0A1A6H4F0|A0A1A6H4F0_NEOLE, tr|A0A1A6HWK4|A0A1A6HWK4_NEOLE
OG0002045	sp|P61215|CAH10_MOUSE, sp|O70354|CAH11_MOUSE	tr|A0A1A6G2F5|A0A1A6G2F5_NEOLE
OG0002046	sp|P19467|MUC13_MOUSE, sp|E9Q7X6|HEG1_MOUSE	tr|A0A1A6HSS4|A0A1A6HSS4_NEOLE
OG0002047	sp|Q3TVP5|OTULL_MOUSE	tr|A0A1A6GKT2|A0A1A6GKT2_NEOLE, tr|A0A1A6HU94|A0A1A6HU94_NEOLE
OG0002048	sp|Q5NCI0|URGCP_MOUSE, tr|E9PWH2|E9PWH2_MOUSE	tr|A0A1A6FTJ7|A0A1A6FTJ7_NEOLE
OG0002049	sp|Q6PGC7|S35E3_MOUSE	tr|A0A1A6HMF2|A0A1A6HMF2_NEOLE, tr|A0A1A6GXB0|A0A1A6GXB0_NEOLE
OG0002050	sp|Q8C8N3|VWC2_MOUSE, sp|Q505H4|VWC2L_MOUSE	tr|A0A1A6H4I2|A0A1A6H4I2_NEOLE
OG0002051	sp|Q9DC11|PXDC2_MOUSE, sp|Q91ZV7|PLDX1_MOUSE	tr|A0A1A6HFA8|A0A1A6HFA8_NEOLE
OG0002052	sp|Q99LE6|ABCF2_MOUSE	tr|A0A1A6HYE7|A0A1A6HYE7_NEOLE, tr|A0A1A6HK91|A0A1A6HK91_NEOLE
OG0002053	sp|Q9D9W6|F217A_MOUSE, tr|A2AJW5|A2AJW5_MOUSE	tr|A0A1A6HHW8|A0A1A6HHW8_NEOLE
OG0002054	sp|D3YV92|GAR2_MOUSE	tr|A0A1A6H0G5|A0A1A6H0G5_NEOLE, tr|A0A1A6H873|A0A1A6H873_NEOLE
OG0002055	sp|P97801|SMN_MOUSE	tr|A0A1A6HK12|A0A1A6HK12_NEOLE, tr|A0A1A6GWH7|A0A1A6GWH7_NEOLE
OG0002056	tr|A0A075B658|A0A075B658_MOUSE, tr|Q5R1A4|Q5R1A4_MOUSE	tr|A0A1A6H009|A0A1A6H009_NEOLE
OG0002057	sp|Q60847|COCA1_MOUSE, sp|Q80X19|COEA1_MOUSE	tr|A0A1A6HIH7|A0A1A6HIH7_NEOLE
OG0002058	sp|Q6ZQK5|ACAP2_MOUSE, tr|Q6NXL5|Q6NXL5_MOUSE	tr|A0A1A6GL09|A0A1A6GL09_NEOLE
OG0002059	sp|Q7TN84|SYT14_MOUSE	tr|A0A1A6GIY8|A0A1A6GIY8_NEOLE, tr|A0A1A6H7F8|A0A1A6H7F8_NEOLE
OG0002060	sp|Q8BJL1|FBX30_MOUSE, sp|P62932|FBX40_MOUSE	tr|A0A1A6FZN7|A0A1A6FZN7_NEOLE
OG0002061	sp|Q8VBV4|FBXW7_MOUSE	tr|A0A1A6H7H7|A0A1A6H7H7_NEOLE, tr|A0A1A6H891|A0A1A6H891_NEOLE
OG0002062	sp|Q91VE6|MK67I_MOUSE	tr|A0A1A6HZ73|A0A1A6HZ73_NEOLE, tr|A0A1A6GEY0|A0A1A6GEY0_NEOLE
