Orthogroup	Mus_musculus	Jaculus_jaculus
OG0000006	tr|Q8K501|Q8K501_MOUSE	tr|A0A8C5P5Z8|A0A8C5P5Z8_JACJA
OG0000006	tr|Q8VGJ0|Q8VGJ0_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE, tr|Q8VFH7|Q8VFH7_MOUSE, tr|Q8VFH3|Q8VFH3_MOUSE, tr|Q8VFH6|Q8VFH6_MOUSE, tr|Q8VGC2|Q8VGC2_MOUSE, tr|Q8VGC5|Q8VGC5_MOUSE, tr|F6VS78|F6VS78_MOUSE	tr|A0A8C5KVZ4|A0A8C5KVZ4_JACJA
OG0000009	sp|Q9JHB2|OLF19_MOUSE, tr|Q8VGU6|Q8VGU6_MOUSE, tr|Q8VGU7|Q8VGU7_MOUSE, tr|Q8VGU8|Q8VGU8_MOUSE, sp|Q60892|OLF8_MOUSE, tr|E9Q5G9|E9Q5G9_MOUSE, tr|Q7TQU9|Q7TQU9_MOUSE, tr|Q8VGX5|Q8VGX5_MOUSE, tr|Q8VGB8|Q8VGB8_MOUSE, tr|Q7TQU8|Q7TQU8_MOUSE, tr|Q7TRF8|Q7TRF8_MOUSE, tr|Q8VFJ5|Q8VFJ5_MOUSE, tr|Q8VFJ3|Q8VFJ3_MOUSE, tr|Q8VFJ4|Q8VFJ4_MOUSE, tr|A0A1D5RMH6|A0A1D5RMH6_MOUSE, tr|Q8VGX1|Q8VGX1_MOUSE, tr|Q8VFF2|Q8VFF2_MOUSE, tr|Q8VFF1|Q8VFF1_MOUSE, tr|Q8VET8|Q8VET8_MOUSE, tr|Q8VFF4|Q8VFF4_MOUSE, tr|Q7TRG7|Q7TRG7_MOUSE, tr|Q8VFM8|Q8VFM8_MOUSE, tr|Q7TRG0|Q7TRG0_MOUSE, tr|Q7TRG4|Q7TRG4_MOUSE, tr|Q8VFF6|Q8VFF6_MOUSE, tr|Q7TRG2|Q7TRG2_MOUSE, tr|A0A2I3BPT4|A0A2I3BPT4_MOUSE, tr|Q8VGG6|Q8VGG6_MOUSE, tr|Q7TRG8|Q7TRG8_MOUSE, tr|Q7TRG9|Q7TRG9_MOUSE, tr|E9PX82|E9PX82_MOUSE, tr|A0A2I3BRV7|A0A2I3BRV7_MOUSE, tr|E9PVW2|E9PVW2_MOUSE, tr|Q8VFI8|Q8VFI8_MOUSE, tr|Q8VFI7|Q8VFI7_MOUSE, sp|Q0VAX9|OLF18_MOUSE, tr|Q7TRF6|Q7TRF6_MOUSE, tr|Q7TRF5|Q7TRF5_MOUSE, tr|A0A1L1SUS1|A0A1L1SUS1_MOUSE, tr|Q8VFF7|Q8VFF7_MOUSE, tr|Q8VFJ1|Q8VFJ1_MOUSE, tr|Q8VGG4|Q8VGG4_MOUSE, tr|Q7TRF0|Q7TRF0_MOUSE, tr|E9PVX1|E9PVX1_MOUSE, sp|Q7TRF3|OL867_MOUSE, tr|Q8VEY9|Q8VEY9_MOUSE	tr|A0A8C5K597|A0A8C5K597_JACJA
OG0000011	tr|E9Q7P5|E9Q7P5_MOUSE	tr|A0A8C5NYE0|A0A8C5NYE0_JACJA
OG0000011	tr|Q8VH17|Q8VH17_MOUSE	tr|A0A8C5NYA1|A0A8C5NYA1_JACJA
OG0000011	tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|Q8VH11|Q8VH11_MOUSE	tr|A0A8C5KIC1|A0A8C5KIC1_JACJA
OG0000011	tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE	tr|A0A8C5KQ15|A0A8C5KQ15_JACJA
OG0000016	tr|Q5ERI8|Q5ERI8_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, sp|P17534|DFAR2_MOUSE, sp|P50715|DFA31_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q9D848|Q9D848_MOUSE, tr|D3YX03|D3YX03_MOUSE, tr|K9J724|K9J724_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|P28311|DEFA4_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50711|DFA13_MOUSE, sp|Q3L180|DFA26_MOUSE, tr|L7N231|L7N231_MOUSE, sp|P28310|DEFA3_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P28309|DEFA2_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P50708|DFA10_MOUSE, sp|P50714|DFA16_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50709|DFA11_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE	tr|A0A8C5K150|A0A8C5K150_JACJA
OG0000020	tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, sp|Q8VFX2|O1444_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF74|Q8VF74_MOUSE	tr|A0A8C5NUV2|A0A8C5NUV2_JACJA
OG0000024	tr|A2RTN7|A2RTN7_MOUSE	tr|A0A8C5KHW4|A0A8C5KHW4_JACJA
OG0000024	tr|Q05A45|Q05A45_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|E9Q8M3|E9Q8M3_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A8C5NXN1|A0A8C5NXN1_JACJA
OG0000025	tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, sp|P01661|KV3A9_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01658|KV3A6_MOUSE, tr|A0A075B5Y8|A0A075B5Y8_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01673|KV3AL_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01674|KV3AM_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01657|KV3A5_MOUSE	tr|A0A8C5KWI4|A0A8C5KWI4_JACJA
OG0000026	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|A0A8C5KW48|A0A8C5KW48_JACJA
OG0000026	tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A8C5KLW1|A0A8C5KLW1_JACJA
OG0000029	tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE	tr|A0A8C5KAC1|A0A8C5KAC1_JACJA
