Orthogroup	Mus_musculus	Myotis_myotis
OG0000328	sp|Q08122|TLE3_MOUSE	tr|A0A7J8ARX6|A0A7J8ARX6_MYOMY
OG0000328	sp|Q62440|TLE1_MOUSE	tr|A0A7J7URI9|A0A7J7URI9_MYOMY
OG0000328	sp|Q62441|TLE4_MOUSE	tr|A0A7J7URX4|A0A7J7URX4_MYOMY
OG0000328	sp|Q9WVB2|TLE2_MOUSE	tr|A0A7J7XLF3|A0A7J7XLF3_MYOMY
OG0000329	tr|Q8VH11|Q8VH11_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE	tr|A0A7J7VJ65|A0A7J7VJ65_MYOMY
OG0000330	tr|E9PUN7|E9PUN7_MOUSE, tr|E9Q542|E9Q542_MOUSE	tr|A0A7J7VJD2|A0A7J7VJD2_MYOMY
OG0000330	tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9PXN3|E9PXN3_MOUSE	tr|A0A7J7VJD8|A0A7J7VJD8_MYOMY, tr|A0A7J7VJ86|A0A7J7VJ86_MYOMY, tr|A0A7J7VJL2|A0A7J7VJL2_MYOMY
OG0000331	sp|Q7TST0|BTNL1_MOUSE	tr|A0A7J7RKR1|A0A7J7RKR1_MYOMY
OG0000331	sp|Q9JK39|BTNLA_MOUSE	tr|A0A7J7VIK2|A0A7J7VIK2_MYOMY, tr|A0A7J7VIK7|A0A7J7VIK7_MYOMY, tr|A0A7J7VL39|A0A7J7VL39_MYOMY, tr|A0A7J7SPQ5|A0A7J7SPQ5_MYOMY, tr|A0A7J7SPA3|A0A7J7SPA3_MYOMY
OG0000337	sp|P47740|AL3A2_MOUSE	tr|A0A7J7RD75|A0A7J7RD75_MYOMY
OG0000337	sp|Q80VQ0|AL3B1_MOUSE, sp|J3QMK6|AL3B3_MOUSE, sp|E9Q3E1|AL3B2_MOUSE, sp|P47739|AL3A1_MOUSE	tr|A0A7J7RDC5|A0A7J7RDC5_MYOMY
OG0000338	sp|P50228|CXCL5_MOUSE, sp|P12850|GROA_MOUSE, sp|P10889|CXCL2_MOUSE, sp|Q6W5C0|CXCL3_MOUSE, tr|Q9EQI5|Q9EQI5_MOUSE, sp|Q9Z126|PLF4_MOUSE	tr|A0A7J8APL3|A0A7J8APL3_MYOMY
OG0000339	tr|A0A1B0GSI9|A0A1B0GSI9_MOUSE, tr|Q99NH4|Q99NH4_MOUSE, tr|Q7TRP7|Q7TRP7_MOUSE, tr|Q7TRU7|Q7TRU7_MOUSE, tr|Q8VG18|Q8VG18_MOUSE, sp|Q6W049|OL688_MOUSE	tr|A0A7J7VJH7|A0A7J7VJH7_MYOMY
OG0000341	sp|Q60879|OLF3_MOUSE	tr|A0A7J7UQB1|A0A7J7UQB1_MYOMY, tr|A0A7J8APN0|A0A7J8APN0_MYOMY, tr|A0A7J7T720|A0A7J7T720_MYOMY, tr|A0A7J7T7K9|A0A7J7T7K9_MYOMY, tr|A0A7J7UQR7|A0A7J7UQR7_MYOMY, tr|A0A7J7UQD7|A0A7J7UQD7_MYOMY
OG0000342	tr|E9Q1L6|E9Q1L6_MOUSE, tr|F8VQB1|F8VQB1_MOUSE, sp|Q8VBW9|OLF63_MOUSE, tr|A0A2I3BPU7|A0A2I3BPU7_MOUSE, tr|A0A2I3BQR4|A0A2I3BQR4_MOUSE, tr|K7N6V7|K7N6V7_MOUSE	tr|A0A7J7RC37|A0A7J7RC37_MYOMY
OG0000344	tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE	tr|A0A7J7T742|A0A7J7T742_MYOMY
OG0000345	sp|Q9D103|IFM1_MOUSE, tr|G3X9Z2|G3X9Z2_MOUSE, sp|Q9CQW9|IFM3_MOUSE, sp|Q99J93|IFM2_MOUSE	tr|A0A7J7RGW3|A0A7J7RGW3_MYOMY, tr|A0A7J7RH32|A0A7J7RH32_MYOMY, tr|A0A7J7ZW60|A0A7J7ZW60_MYOMY
OG0000346	sp|P24472|GSTA4_MOUSE, sp|P30115|GSTA3_MOUSE, tr|E9Q6L7|E9Q6L7_MOUSE, sp|P13745|GSTA1_MOUSE, tr|Q6P8Q0|Q6P8Q0_MOUSE, sp|P10648|GSTA2_MOUSE	tr|A0A7J7WV43|A0A7J7WV43_MYOMY
OG0000347	tr|E9Q0M4|E9Q0M4_MOUSE, tr|E9Q0Q2|E9Q0Q2_MOUSE, tr|E9Q7E7|E9Q7E7_MOUSE, tr|E9Q4G0|E9Q4G0_MOUSE, tr|E9Q5F1|E9Q5F1_MOUSE, tr|Q7TRW1|Q7TRW1_MOUSE	tr|A0A7J7ST42|A0A7J7ST42_MYOMY
OG0000348	sp|Q99MX0|TKTL1_MOUSE	tr|A0A7J7YG02|A0A7J7YG02_MYOMY
OG0000348	sp|Q9D4D4|TKTL2_MOUSE	tr|A0A7J7XKX8|A0A7J7XKX8_MYOMY
OG0000348	sp|P40142|TKT_MOUSE	tr|A0A7J7UEI4|A0A7J7UEI4_MYOMY
OG0000349	sp|Q9ES57|MO2R1_MOUSE, sp|Q8BTP3|MO2R5_MOUSE, sp|Q6XJV4|MO2R4_MOUSE, sp|Q6XJV6|MO2R2_MOUSE, sp|Q5UKY4|MO2R3_MOUSE	tr|A0A7J7ZT69|A0A7J7ZT69_MYOMY, tr|A0A7J7ZT66|A0A7J7ZT66_MYOMY
OG0000352	sp|Q69Z23|DYH17_MOUSE	tr|A0A7J7T4C5|A0A7J7T4C5_MYOMY
OG0000352	tr|B1AR51|B1AR51_MOUSE	tr|A0A7J7T492|A0A7J7T492_MYOMY
OG0000352	tr|E9Q7N9|E9Q7N9_MOUSE	tr|A0A7J7WHP5|A0A7J7WHP5_MYOMY, tr|A0A7J7V2T7|A0A7J7V2T7_MYOMY
OG0000353	sp|Q60764|MKRN3_MOUSE	tr|A0A7J7WWJ7|A0A7J7WWJ7_MYOMY, tr|A0A7J7RRY9|A0A7J7RRY9_MYOMY
OG0000353	sp|Q9QXP6|MKRN1_MOUSE	tr|A0A7J7T6Z4|A0A7J7T6Z4_MYOMY, tr|A0A7J7SCE5|A0A7J7SCE5_MYOMY, tr|A0A7J7V457|A0A7J7V457_MYOMY
OG0000354	sp|P68404|KPCB_MOUSE	tr|A0A7J7Y1E0|A0A7J7Y1E0_MYOMY
OG0000354	sp|P20444|KPCA_MOUSE	tr|A0A7J7T7L1|A0A7J7T7L1_MYOMY
OG0000354	sp|P63318|KPCG_MOUSE	tr|A0A7J7SRA3|A0A7J7SRA3_MYOMY, tr|A0A7J7QSU5|A0A7J7QSU5_MYOMY
OG0000355	tr|A0A0U1RP76|A0A0U1RP76_MOUSE, tr|Q7TS17|Q7TS17_MOUSE, tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE, tr|Q8VGU2|Q8VGU2_MOUSE	tr|A0A7J7Z6Z0|A0A7J7Z6Z0_MYOMY, tr|A0A7J7Z7C3|A0A7J7Z7C3_MYOMY
OG0000357	sp|P15119|MCPT2_MOUSE, sp|P11034|MCPT1_MOUSE, sp|Q00356|MCPTX_MOUSE, sp|O35164|MCPT9_MOUSE, tr|Q91VB1|Q91VB1_MOUSE, sp|P21812|MCPT4_MOUSE	tr|A0A7J8AIK4|A0A7J8AIK4_MYOMY
OG0000360	sp|Q6NVF9|CPSF6_MOUSE	tr|A0A7J7Z1R2|A0A7J7Z1R2_MYOMY, tr|A0A7J8AMB7|A0A7J8AMB7_MYOMY, tr|A0A7J8AM21|A0A7J8AM21_MYOMY, tr|A0A7J7Z495|A0A7J7Z495_MYOMY, tr|A0A7J7VI18|A0A7J7VI18_MYOMY, tr|A0A7J7VIT0|A0A7J7VIT0_MYOMY
OG0000365	sp|Q922R5|P4R3B_MOUSE	tr|A0A7J7U615|A0A7J7U615_MYOMY
OG0000365	tr|A2ADI4|A2ADI4_MOUSE, sp|Q3V0Y1|P4R3C_MOUSE	tr|A0A7J7YFX7|A0A7J7YFX7_MYOMY
OG0000365	sp|Q6P2K6|P4R3A_MOUSE	tr|A0A7J8APU5|A0A7J8APU5_MYOMY
OG0000367	tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE	tr|A0A7J7VJI2|A0A7J7VJI2_MYOMY
OG0000368	sp|P29477|NOS2_MOUSE	tr|A0A7J7T643|A0A7J7T643_MYOMY, tr|A0A7J7T7J2|A0A7J7T7J2_MYOMY
OG0000368	sp|P70313|NOS3_MOUSE	tr|A0A7J7RME2|A0A7J7RME2_MYOMY
OG0000368	sp|Q9Z0J4|NOS1_MOUSE	tr|A0A7J7S2D7|A0A7J7S2D7_MYOMY
OG0000369	sp|Q8CIZ9|NOX1_MOUSE	tr|A0A7J7YED7|A0A7J7YED7_MYOMY
OG0000369	sp|Q672J9|NOX3_MOUSE	tr|A0A7J7WWM1|A0A7J7WWM1_MYOMY
OG0000369	sp|Q61093|CY24B_MOUSE	tr|A0A7J7YCD2|A0A7J7YCD2_MYOMY
OG0000370	sp|Q9D939|ST1C2_MOUSE	tr|A0A7J7QUA2|A0A7J7QUA2_MYOMY
OG0000370	sp|Q80VR3|ST1C1_MOUSE, sp|P52840|ST1A1_MOUSE, sp|Q3UZZ6|ST1D1_MOUSE, sp|Q9QWG7|ST1B1_MOUSE	tr|A0A7J8ARQ1|A0A7J8ARQ1_MYOMY
OG0000371	sp|Q8R420|ABCA3_MOUSE	tr|A0A7J7XWK5|A0A7J7XWK5_MYOMY
OG0000371	sp|E9PX95|ABCAH_MOUSE, tr|E9PWJ7|E9PWJ7_MOUSE, tr|E9Q8F8|E9Q8F8_MOUSE, tr|E9PWH4|E9PWH4_MOUSE	tr|A0A7J7XX13|A0A7J7XX13_MYOMY
OG0000373	sp|O08538|ANGP1_MOUSE	tr|A0A7J7TIL6|A0A7J7TIL6_MYOMY
OG0000373	sp|O35608|ANGP2_MOUSE	tr|A0A7J7R289|A0A7J7R289_MYOMY
OG0000373	sp|Q9WVH6|ANGP4_MOUSE	tr|A0A7J7VG62|A0A7J7VG62_MYOMY, tr|A0A7J7QTR5|A0A7J7QTR5_MYOMY
OG0000374	sp|Q80UV9|TAF1_MOUSE	tr|A0A7J7YGX8|A0A7J7YGX8_MYOMY, tr|A0A7J7Z6B5|A0A7J7Z6B5_MYOMY, tr|A0A7J7Z610|A0A7J7Z610_MYOMY, tr|A0A7J7Z538|A0A7J7Z538_MYOMY, tr|A0A7J7Z544|A0A7J7Z544_MYOMY, tr|A0A7J7Z5M0|A0A7J7Z5M0_MYOMY
OG0000375	tr|Q1RME4|Q1RME4_MOUSE, sp|Q6P3A4|VSIG8_MOUSE, sp|P0C673|IGS11_MOUSE, sp|Q9Z109|VSIG2_MOUSE, sp|Q9D2J4|VSIG1_MOUSE, sp|P97792|CXAR_MOUSE	tr|A0A7J7ZTP7|A0A7J7ZTP7_MYOMY
OG0000376	tr|Q8VFZ4|Q8VFZ4_MOUSE, tr|Q8VFZ5|Q8VFZ5_MOUSE, tr|K7N645|K7N645_MOUSE, tr|Q8VEW1|Q8VEW1_MOUSE, tr|Q8VFZ6|Q8VFZ6_MOUSE, tr|Q7TRU4|Q7TRU4_MOUSE	tr|A0A7J7VJN0|A0A7J7VJN0_MYOMY
OG0000377	sp|P61092|SIA1A_MOUSE, sp|Q06985|SIA1B_MOUSE	tr|A0A7J7YGA5|A0A7J7YGA5_MYOMY, tr|A0A7J7SDC9|A0A7J7SDC9_MYOMY
OG0000377	sp|Q06986|SIAH2_MOUSE	tr|A0A7J7WJE6|A0A7J7WJE6_MYOMY, tr|A0A7J8A206|A0A7J8A206_MYOMY
OG0000378	sp|P16390|KCNA3_MOUSE	tr|A0A7J7SRT0|A0A7J7SRT0_MYOMY
OG0000378	sp|P16388|KCNA1_MOUSE	tr|A0A7J7Z3E8|A0A7J7Z3E8_MYOMY
OG0000378	sp|P63141|KCNA2_MOUSE	tr|A0A7J7SQS8|A0A7J7SQS8_MYOMY
OG0000380	sp|P31750|AKT1_MOUSE	tr|A0A7J7R1M3|A0A7J7R1M3_MYOMY
OG0000380	sp|Q9WUA6|AKT3_MOUSE	tr|A0A7J7RTZ6|A0A7J7RTZ6_MYOMY
OG0000380	sp|Q60823|AKT2_MOUSE	tr|A0A7J8AM70|A0A7J8AM70_MYOMY, tr|A0A7J7SAE0|A0A7J7SAE0_MYOMY
OG0000381	sp|Q9CUX1|P52K_MOUSE	tr|A0A7J7VIE9|A0A7J7VIE9_MYOMY, tr|A0A7J7YG57|A0A7J7YG57_MYOMY, tr|A0A7J7TTT2|A0A7J7TTT2_MYOMY, tr|A0A7J7VL81|A0A7J7VL81_MYOMY, tr|A0A7J7UPM5|A0A7J7UPM5_MYOMY, tr|A0A7J7XZZ9|A0A7J7XZZ9_MYOMY
OG0000382	sp|Q60736|ZP3R_MOUSE, sp|P08607|C4BPA_MOUSE	tr|A0A7J7SQG0|A0A7J7SQG0_MYOMY, tr|A0A7J7SQ22|A0A7J7SQ22_MYOMY, tr|A0A7J7SR76|A0A7J7SR76_MYOMY, tr|A0A7J7SS72|A0A7J7SS72_MYOMY, tr|A0A7J7SR59|A0A7J7SR59_MYOMY
OG0000383	sp|Q8C1T8|CLC2H_MOUSE, sp|Q80XD9|CLC2E_MOUSE, sp|Q8VI21|CLC2F_MOUSE, sp|Q9D676|CLC2G_MOUSE, sp|Q91V08|CLC2D_MOUSE, sp|Q9WVF9|CLC2I_MOUSE	tr|A0A7J7Z227|A0A7J7Z227_MYOMY
OG0000384	sp|Q6A068|CDC5L_MOUSE, tr|A0A1W2P7S8|A0A1W2P7S8_MOUSE, tr|A0A1W2P7Z8|A0A1W2P7Z8_MOUSE, tr|A0A1W2P855|A0A1W2P855_MOUSE, tr|A0A1W2P7H4|A0A1W2P7H4_MOUSE, tr|A0A1W2P6Q8|A0A1W2P6Q8_MOUSE	tr|A0A7J7WUR6|A0A7J7WUR6_MYOMY
OG0000386	sp|Q3UX83|1A1L2_MOUSE	tr|A0A7J7VFM8|A0A7J7VFM8_MYOMY, tr|A0A7J7ZTM4|A0A7J7ZTM4_MYOMY, tr|A0A7J8AHH3|A0A7J8AHH3_MYOMY, tr|A0A7J7XZG6|A0A7J7XZG6_MYOMY
OG0000386	sp|A2AIG8|1A1L1_MOUSE	tr|A0A7J7VFZ9|A0A7J7VFZ9_MYOMY
OG0000387	sp|Q6DID5|PWP3A_MOUSE	tr|A0A7J7XK27|A0A7J7XK27_MYOMY
OG0000387	tr|A2BG95|A2BG95_MOUSE, tr|A3KG49|A3KG49_MOUSE, tr|Q52KH6|Q52KH6_MOUSE, sp|Q4VA55|PWP3B_MOUSE	tr|A0A7J7YF42|A0A7J7YF42_MYOMY
OG0000389	tr|E9PXM2|E9PXM2_MOUSE	tr|A0A7J7ZXH9|A0A7J7ZXH9_MYOMY
OG0000389	tr|Q3V0P3|Q3V0P3_MOUSE, tr|B9EHI3|B9EHI3_MOUSE, sp|Q6IFT4|RHG20_MOUSE	tr|A0A7J7VFY5|A0A7J7VFY5_MYOMY, tr|A0A7J7VGC2|A0A7J7VGC2_MYOMY
OG0000390	tr|A0A571BDS5|A0A571BDS5_MOUSE	tr|A0A7J7V3Z4|A0A7J7V3Z4_MYOMY
OG0000390	tr|A0A571BF69|A0A571BF69_MOUSE	tr|A0A7J7V408|A0A7J7V408_MYOMY
OG0000390	tr|F8VQM5|F8VQM5_MOUSE	tr|A0A7J7Z5K9|A0A7J7Z5K9_MYOMY, tr|A0A7J8A216|A0A7J8A216_MYOMY
OG0000391	sp|O70293|GRK6_MOUSE	tr|A0A7J7XG58|A0A7J7XG58_MYOMY
OG0000391	sp|Q8VEB1|GRK5_MOUSE	tr|A0A7J7TT80|A0A7J7TT80_MYOMY
OG0000391	sp|O70291|GRK4_MOUSE	tr|A0A7J7UD43|A0A7J7UD43_MYOMY, tr|A0A7J8AL05|A0A7J8AL05_MYOMY
OG0000392	sp|O35643|AP1B1_MOUSE	tr|A0A7J7S0L7|A0A7J7S0L7_MYOMY
OG0000392	sp|Q9DBG3|AP2B1_MOUSE	tr|A0A7J7ZX44|A0A7J7ZX44_MYOMY, tr|A0A7J7VIR7|A0A7J7VIR7_MYOMY, tr|A0A7J7ZXM3|A0A7J7ZXM3_MYOMY, tr|A0A7J7T314|A0A7J7T314_MYOMY
OG0000393	tr|B9EHE6|B9EHE6_MOUSE	tr|A0A7J7VJX2|A0A7J7VJX2_MYOMY
OG0000393	tr|Q8VG78|Q8VG78_MOUSE	tr|A0A7J7VFK2|A0A7J7VFK2_MYOMY
OG0000393	tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|A0A7J7VJT7|A0A7J7VJT7_MYOMY
OG0000394	sp|Q8K354|CBR3_MOUSE	tr|A0A7J7ZUP3|A0A7J7ZUP3_MYOMY
OG0000394	tr|A0A1B0GRG8|A0A1B0GRG8_MOUSE, sp|P48758|CBR1_MOUSE	tr|A0A7J7ZTQ2|A0A7J7ZTQ2_MYOMY, tr|A0A7J7ZYE3|A0A7J7ZYE3_MYOMY, tr|A0A7J7ZTE4|A0A7J7ZTE4_MYOMY
OG0000395	tr|Q5U406|Q5U406_MOUSE	tr|A0A7J7R044|A0A7J7R044_MYOMY
OG0000395	sp|Q3V080|ZN583_MOUSE	tr|A0A7J7SE50|A0A7J7SE50_MYOMY, tr|A0A7J7SE04|A0A7J7SE04_MYOMY, tr|A0A7J7R0D1|A0A7J7R0D1_MYOMY, tr|A0A7J7R0A2|A0A7J7R0A2_MYOMY
OG0000396	tr|B2RPU8|B2RPU8_MOUSE	tr|A0A7J7YDU0|A0A7J7YDU0_MYOMY, tr|A0A7J7Z4C0|A0A7J7Z4C0_MYOMY, tr|A0A7J7YDX0|A0A7J7YDX0_MYOMY, tr|A0A7J7YEA2|A0A7J7YEA2_MYOMY, tr|A0A7J7QZU3|A0A7J7QZU3_MYOMY, tr|A0A7J8AJJ3|A0A7J8AJJ3_MYOMY
OG0000397	sp|P11499|HS90B_MOUSE	tr|A0A7J7WV68|A0A7J7WV68_MYOMY
OG0000397	sp|P07901|HS90A_MOUSE	tr|A0A7J7WHR6|A0A7J7WHR6_MYOMY, tr|A0A7J7WHP7|A0A7J7WHP7_MYOMY, tr|A0A7J7WI01|A0A7J7WI01_MYOMY, tr|A0A7J8ALE4|A0A7J8ALE4_MYOMY
OG0000398	tr|Q8HWA3|Q8HWA3_MOUSE	tr|A0A7J7ZXX7|A0A7J7ZXX7_MYOMY, tr|A0A7J7ZZK6|A0A7J7ZZK6_MYOMY, tr|A0A7J7ZXY6|A0A7J7ZXY6_MYOMY, tr|A0A7J7WVY8|A0A7J7WVY8_MYOMY, tr|A0A7J7WWZ6|A0A7J7WWZ6_MYOMY, tr|A0A7J7WW61|A0A7J7WW61_MYOMY
OG0000399	sp|P19070|CR2_MOUSE	tr|A0A7J7SPU9|A0A7J7SPU9_MYOMY, tr|A0A7J7SQ02|A0A7J7SQ02_MYOMY
OG0000399	sp|Q64735|CR1L_MOUSE	tr|A0A7J7SPG4|A0A7J7SPG4_MYOMY, tr|A0A7J7SRA7|A0A7J7SRA7_MYOMY, tr|A0A7J7SRD7|A0A7J7SRD7_MYOMY
OG0000400	sp|P26231|CTNA1_MOUSE	tr|A0A7J7XEU3|A0A7J7XEU3_MYOMY
OG0000400	sp|Q65CL1|CTNA3_MOUSE	tr|A0A7J7TSN6|A0A7J7TSN6_MYOMY
OG0000400	sp|Q61301|CTNA2_MOUSE	tr|A0A7J7WW31|A0A7J7WW31_MYOMY, tr|A0A7J7U4J9|A0A7J7U4J9_MYOMY
OG0000401	tr|O88933|O88933_MOUSE	tr|A0A7J7YDY9|A0A7J7YDY9_MYOMY
OG0000401	sp|O35602|RX_MOUSE	tr|A0A7J7QTZ5|A0A7J7QTZ5_MYOMY, tr|A0A7J7UQ04|A0A7J7UQ04_MYOMY, tr|A0A7J7XKU8|A0A7J7XKU8_MYOMY, tr|A0A7J7W029|A0A7J7W029_MYOMY
OG0000407	sp|P41317|MBL2_MOUSE	tr|A0A7J7TTX3|A0A7J7TTX3_MYOMY
OG0000407	sp|P50404|SFTPD_MOUSE, sp|P35242|SFTPA_MOUSE, sp|P39039|MBL1_MOUSE	tr|A0A7J7TTZ4|A0A7J7TTZ4_MYOMY
OG0000410	sp|B1AS29|GRIK3_MOUSE	tr|A0A7J7ZWM3|A0A7J7ZWM3_MYOMY
OG0000410	sp|Q60934|GRIK1_MOUSE	tr|A0A7J7ZW41|A0A7J7ZW41_MYOMY
OG0000410	sp|P39087|GRIK2_MOUSE	tr|A0A7J7WVD3|A0A7J7WVD3_MYOMY
OG0000411	sp|Q8BGJ9|U2AF4_MOUSE, sp|Q9D883|U2AF1_MOUSE	tr|A0A7J7SC25|A0A7J7SC25_MYOMY
OG0000411	sp|Q64707|U2AFL_MOUSE, sp|Q62377|U2AFM_MOUSE	tr|A0A7J7YG27|A0A7J7YG27_MYOMY
OG0000412	sp|Q8R1A4|DOCK7_MOUSE	tr|A0A7J7ZU35|A0A7J7ZU35_MYOMY
OG0000412	sp|Q8VDR9|DOCK6_MOUSE	tr|A0A7J7XF08|A0A7J7XF08_MYOMY
OG0000412	sp|Q8C147|DOCK8_MOUSE	tr|A0A7J7UNF1|A0A7J7UNF1_MYOMY
OG0000413	sp|Q61851|FGFR3_MOUSE	tr|A0A7J8AJQ6|A0A7J8AJQ6_MYOMY
OG0000413	sp|P21803|FGFR2_MOUSE	tr|A0A7J7QW54|A0A7J7QW54_MYOMY
OG0000413	sp|P16092|FGFR1_MOUSE	tr|A0A7J7Z2P8|A0A7J7Z2P8_MYOMY
OG0000414	sp|P08752|GNAI2_MOUSE	tr|A0A7J7UCH5|A0A7J7UCH5_MYOMY
OG0000414	sp|Q9DC51|GNAI3_MOUSE	tr|A0A7J7SQF9|A0A7J7SQF9_MYOMY
OG0000414	sp|B2RSH2|GNAI1_MOUSE	tr|A0A7J7V2W6|A0A7J7V2W6_MYOMY
OG0000415	sp|P15116|CADH2_MOUSE	tr|A0A7J7VX07|A0A7J7VX07_MYOMY
OG0000415	sp|Q9WTR5|CAD13_MOUSE, sp|P59862|CAD26_MOUSE, sp|P39038|CADH4_MOUSE	tr|A0A7J7VX02|A0A7J7VX02_MYOMY
OG0000416	sp|Q6P8U6|LIPP_MOUSE	tr|A0A7J7TUE1|A0A7J7TUE1_MYOMY
OG0000416	sp|Q5BKQ4|LIPR1_MOUSE	tr|A0A7J7TUE3|A0A7J7TUE3_MYOMY
OG0000416	sp|P17892|LIPR2_MOUSE	tr|A0A7J7TUD7|A0A7J7TUD7_MYOMY
OG0000417	tr|A2AEH9|A2AEH9_MOUSE, tr|A2AF31|A2AF31_MOUSE, tr|A2AF33|A2AF33_MOUSE, sp|Q6ZWY8|TYB10_MOUSE, sp|P20065|TYB4_MOUSE	tr|A0A7J7YE07|A0A7J7YE07_MYOMY
OG0000418	sp|Q61316|HSP74_MOUSE	tr|A0A7J7XGI9|A0A7J7XGI9_MYOMY
OG0000418	sp|Q61699|HS105_MOUSE	tr|A0A7J7Z3P2|A0A7J7Z3P2_MYOMY
OG0000418	sp|P48722|HS74L_MOUSE	tr|A0A7J7XGN2|A0A7J7XGN2_MYOMY
OG0000419	tr|Q9EQY5|Q9EQY5_MOUSE	tr|A0A7J7SQS3|A0A7J7SQS3_MYOMY
OG0000419	sp|Q68SN8|FCRL5_MOUSE, sp|Q8R4Y0|FCRL1_MOUSE, sp|A1YIY0|FCRL6_MOUSE	tr|A0A7J7SQ87|A0A7J7SQ87_MYOMY
OG0000420	sp|Q9QXZ0|MACF1_MOUSE	tr|A0A7J7ZYS6|A0A7J7ZYS6_MYOMY
OG0000420	sp|Q91ZU6|DYST_MOUSE	tr|A0A7J7WV77|A0A7J7WV77_MYOMY
OG0000420	tr|Q8BVJ3|Q8BVJ3_MOUSE	tr|A0A7J7WV08|A0A7J7WV08_MYOMY
OG0000422	sp|O55017|CAC1B_MOUSE	tr|A0A7J7QZ49|A0A7J7QZ49_MYOMY
OG0000422	sp|Q61290|CAC1E_MOUSE	tr|A0A7J7SPN6|A0A7J7SPN6_MYOMY
OG0000422	sp|P97445|CAC1A_MOUSE	tr|A0A7J7R9R3|A0A7J7R9R3_MYOMY
OG0000423	sp|Q3TXX4|VGLU1_MOUSE	tr|A0A7J7QXY1|A0A7J7QXY1_MYOMY
OG0000423	sp|Q8BLE7|VGLU2_MOUSE	tr|A0A7J7VKJ9|A0A7J7VKJ9_MYOMY
OG0000423	sp|Q8BFU8|VGLU3_MOUSE	tr|A0A7J7Z8V8|A0A7J7Z8V8_MYOMY
OG0000424	sp|Q9DBH0|WWP2_MOUSE	tr|A0A7J7SDU7|A0A7J7SDU7_MYOMY
OG0000424	sp|Q8C863|ITCH_MOUSE	tr|A0A7J7VY11|A0A7J7VY11_MYOMY
OG0000424	sp|Q8BZZ3|WWP1_MOUSE	tr|A0A7J7TL09|A0A7J7TL09_MYOMY
OG0000425	sp|Q8VI47|MRP2_MOUSE	tr|A0A7J7TSB9|A0A7J7TSB9_MYOMY
OG0000425	sp|O35379|MRP1_MOUSE	tr|A0A7J7XXA5|A0A7J7XXA5_MYOMY
OG0000425	sp|B2RX12|MRP3_MOUSE	tr|A0A7J7T2W6|A0A7J7T2W6_MYOMY
OG0000426	sp|Q61701|ELAV4_MOUSE	tr|A0A7J7ZUC5|A0A7J7ZUC5_MYOMY
OG0000426	sp|Q60899|ELAV2_MOUSE	tr|A0A7J7UNQ5|A0A7J7UNQ5_MYOMY
OG0000426	sp|Q60900|ELAV3_MOUSE	tr|A0A7J7XG54|A0A7J7XG54_MYOMY
OG0000428	sp|Q6T707|SCD4_MOUSE, sp|P13011|SCD2_MOUSE, sp|Q99PL7|SCD3_MOUSE, sp|P13516|ACOD1_MOUSE	tr|A0A7J8AQA2|A0A7J8AQA2_MYOMY, tr|A0A7J7TUM4|A0A7J7TUM4_MYOMY
OG0000429	sp|P22723|GBRG2_MOUSE	tr|A0A7J7XFX7|A0A7J7XFX7_MYOMY
OG0000429	sp|Q9R0Y8|GBRG1_MOUSE	tr|A0A7J8AKT7|A0A7J8AKT7_MYOMY
OG0000429	tr|A2AMW3|A2AMW3_MOUSE	tr|A0A7J7YCQ7|A0A7J7YCQ7_MYOMY
OG0000430	sp|Q3UH60|DIP2B_MOUSE	tr|A0A7J7Z2P5|A0A7J7Z2P5_MYOMY
OG0000430	tr|E9PWR4|E9PWR4_MOUSE	tr|A0A7J8AKA8|A0A7J8AKA8_MYOMY
OG0000430	sp|Q8BWT5|DIP2A_MOUSE	tr|A0A7J7ZTY0|A0A7J7ZTY0_MYOMY
OG0000431	sp|Q8BZ98|DYN3_MOUSE	tr|A0A7J7SR25|A0A7J7SR25_MYOMY
OG0000431	sp|P39053|DYN1_MOUSE	tr|A0A7J7UNB5|A0A7J7UNB5_MYOMY
OG0000431	sp|P39054|DYN2_MOUSE	tr|A0A7J7XF81|A0A7J7XF81_MYOMY
OG0000432	sp|P11531|DMD_MOUSE	tr|A0A7J7YDZ4|A0A7J7YDZ4_MYOMY, tr|A0A7J7YF17|A0A7J7YF17_MYOMY
