Orthogroup	Mus_musculus	Homo_sapiens
OG0000017	tr|A0A140T8P3|A0A140T8P3_MOUSE	sp|A0A0C4DH72|KV106_HUMAN, sp|A0A075B6S4|KVD17_HUMAN, sp|P01599|KV117_HUMAN, sp|P01593|KVD33_HUMAN, sp|P01594|KV133_HUMAN, sp|A0A075B6S9|KV137_HUMAN, sp|P0DSN7|KVD37_HUMAN, sp|P04432|KVD39_HUMAN, sp|P01597|KV139_HUMAN, tr|A0A075B7D4|A0A075B7D4_HUMAN, sp|A0A075B6S5|KV127_HUMAN, tr|A0A0G2JRQ6|A0A0G2JRQ6_HUMAN, sp|A0A0C4DH67|KV108_HUMAN, sp|A0A087WSZ0|KVD08_HUMAN, sp|A0A0B4J1Z2|KVD43_HUMAN, sp|P0DP09|KV113_HUMAN, sp|A0A0B4J2D9|KVD13_HUMAN, sp|A0A0C4DH69|KV109_HUMAN, sp|P01602|KV105_HUMAN, sp|A0A0C4DH73|KV112_HUMAN, sp|P01611|KVD12_HUMAN, sp|P01601|KVD16_HUMAN, sp|P04430|KV116_HUMAN
OG0000017	tr|A0A140T8N8|A0A140T8N8_MOUSE	sp|A0A075B6H8|KVD42_HUMAN
OG0000021	tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE	sp|A6NM76|O6C76_HUMAN
OG0000021	tr|Q8VGJ3|Q8VGJ3_MOUSE	sp|A6NL08|O6C75_HUMAN
OG0000021	tr|Q8VG27|Q8VG27_MOUSE	sp|Q8NGM8|OR6M1_HUMAN, sp|Q8NGC5|OR6J1_HUMAN, sp|Q8NGN1|OR6T1_HUMAN
OG0000021	tr|Q8VGI9|Q8VGI9_MOUSE	sp|Q8N148|OR6V1_HUMAN
OG0000021	tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE	sp|A6NIJ9|O6C70_HUMAN
OG0000021	tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE	sp|A6NF89|OR6C6_HUMAN
OG0000021	tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VG45|Q8VG45_MOUSE	sp|A6NCV1|O6C74_HUMAN
OG0000021	tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE	sp|A6NJZ3|O6C65_HUMAN
OG0000024	tr|A0A075B5Q2|A0A075B5Q2_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE	sp|P0DTE2|HV511_HUMAN, tr|A0A075B7B8|A0A075B7B8_HUMAN, tr|S4R3C0|S4R3C0_HUMAN, tr|A0A075B7F1|A0A075B7F1_HUMAN, sp|P01762|HV311_HUMAN, sp|A0A0B4J1X5|HV374_HUMAN, tr|A0A075B7E8|A0A075B7E8_HUMAN, sp|A0A0B4J1V0|HV315_HUMAN, sp|A0A075B6Q5|HV364_HUMAN, sp|A0A0J9YX35|HV64D_HUMAN, sp|A0A0C4DH36|HV338_HUMAN, sp|P0DTE1|HV383_HUMAN, sp|P01767|HV353_HUMAN, sp|A0A0C4DH42|HV366_HUMAN, sp|P01764|HV323_HUMAN, sp|A0A0C4DH30|HV316_HUMAN, sp|A0A0C4DH35|HV335_HUMAN, sp|A0A0B4J1X8|HV343_HUMAN, sp|P0DP04|HV43D_HUMAN, sp|P01782|HV309_HUMAN, sp|A0A0C4DH32|HV320_HUMAN, sp|P0DP03|HVC05_HUMAN, sp|P01768|HV330_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P01772|HV333_HUMAN, tr|A0A0J9YY99|A0A0J9YY99_HUMAN, sp|P01780|HV307_HUMAN, sp|A0A0B4J1V1|HV321_HUMAN, sp|P01763|HV348_HUMAN, sp|P01766|HV313_HUMAN, tr|A0A075B7F0|A0A075B7F0_HUMAN
OG0000026	sp|Q921M4|GOGA2_MOUSE	sp|Q08379|GOGA2_HUMAN
OG0000026	tr|A2ARC0|A2ARC0_MOUSE	sp|P0CG33|GOG6D_HUMAN, sp|Q9NYA3|GOG6A_HUMAN, sp|A6NDN3|GOG6B_HUMAN, sp|A6NDK9|GOG6C_HUMAN, sp|A6NN73|GOG8C_HUMAN, sp|A8MQT2|GOG8B_HUMAN, sp|A7E2F4|GOG8A_HUMAN, sp|Q0D2H9|GOG8D_HUMAN, sp|Q08AF8|GOG8F_HUMAN, sp|H3BPF8|GOG8S_HUMAN, sp|A6NCC3|GOG8O_HUMAN, sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN, tr|A0A1B0GV12|A0A1B0GV12_HUMAN, sp|I6L899|GOG8R_HUMAN, sp|A6NC78|GOG8I_HUMAN, sp|H3BSY2|GOG8M_HUMAN, sp|P0CJ92|GOG8H_HUMAN, sp|H3BQL2|GOG8T_HUMAN, sp|D6RF30|GOG8K_HUMAN, sp|A6NMD2|GOG8J_HUMAN, tr|A0A1W2PRN1|A0A1W2PRN1_HUMAN, tr|A0A0M3HER8|A0A0M3HER8_HUMAN, sp|H0YKK7|GG6LS_HUMAN, sp|A6NI86|GG6LA_HUMAN, sp|A6NEM1|GG6L9_HUMAN, sp|A6NEF3|GG6L4_HUMAN, sp|A6NEY3|GG6L3_HUMAN, sp|Q9HBQ8|GGA2B_HUMAN
OG0000027	tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE	sp|Q8NH19|O10AG_HUMAN
OG0000027	tr|Q8VFE2|Q8VFE2_MOUSE	sp|Q96KK4|O10C1_HUMAN
OG0000027	tr|Q7TRM9|Q7TRM9_MOUSE	sp|Q9H209|O10A4_HUMAN
OG0000030	sp|Q8BQR7|MAGBI_MOUSE	sp|Q96M61|MAGBI_HUMAN
OG0000030	sp|Q9CWV4|MAGBG_MOUSE	sp|A2A368|MAGBG_HUMAN
OG0000030	tr|Q99PA7|Q99PA7_MOUSE	sp|A6NCF6|MA13P_HUMAN
OG0000030	tr|Q9D4D2|Q9D4D2_MOUSE	sp|P43359|MAGA5_HUMAN, sp|P43360|MAGA6_HUMAN, sp|P43357|MAGA3_HUMAN, sp|P43356|MAGA2_HUMAN, sp|P43365|MAGAC_HUMAN, sp|P43358|MAGA4_HUMAN, sp|P43355|MAGA1_HUMAN, sp|P43361|MAGA8_HUMAN, sp|P43364|MAGAB_HUMAN, sp|P43362|MAGA9_HUMAN, sp|P43363|MAGAA_HUMAN, sp|Q9UBF1|MAGC2_HUMAN, sp|O60732|MAGC1_HUMAN, sp|Q8TD91|MAGC3_HUMAN
OG0000031	sp|Q80YP6|ZIK1_MOUSE	sp|Q3SY52|ZIK1_HUMAN, sp|Q9BWM5|ZN416_HUMAN, sp|Q7Z340|ZN551_HUMAN, sp|Q6P9A1|ZN530_HUMAN, sp|Q13398|ZN211_HUMAN, sp|E7ETH6|Z587B_HUMAN, sp|B7Z6K7|ZN814_HUMAN, sp|Q9H707|ZN552_HUMAN, sp|Q8TF45|ZN418_HUMAN, sp|Q96SQ5|ZN587_HUMAN, sp|Q8TAU3|ZN417_HUMAN, sp|Q68DI1|ZN776_HUMAN, sp|Q13106|ZN154_HUMAN, sp|Q9NXT0|ZN586_HUMAN, sp|Q9Y2P7|ZN256_HUMAN, sp|Q6P9A3|ZN549_HUMAN, sp|Q9HCX3|ZN304_HUMAN, sp|Q6PK81|ZN773_HUMAN, sp|Q96HQ0|ZN419_HUMAN, sp|Q68DY9|ZN772_HUMAN, sp|Q3KQV3|ZN792_HUMAN, sp|Q8TAW3|ZN671_HUMAN, sp|P52741|ZN134_HUMAN, sp|P52740|ZN132_HUMAN, sp|O43361|ZN749_HUMAN, sp|P17021|ZNF17_HUMAN, sp|Q8NEK5|ZN548_HUMAN, sp|Q8IVP9|ZN547_HUMAN
OG0000042	tr|Q9D4F3|Q9D4F3_MOUSE, tr|A2A4E2|A2A4E2_MOUSE	sp|A6NNH2|F90AR_HUMAN, sp|A6NIJ5|F90AK_HUMAN, sp|Q658T7|F90A2_HUMAN, sp|Q86YD7|F90A1_HUMAN, sp|D6RGX4|F90AP_HUMAN, sp|A8MXJ8|F90A5_HUMAN, sp|P0C7W9|F90AE_HUMAN, sp|P0C7V4|F90AF_HUMAN, sp|P0C7W8|F90AD_HUMAN, sp|A8MWA6|F90AM_HUMAN, sp|P0C7X0|F90AO_HUMAN, sp|A8MXZ1|F90AN_HUMAN, sp|A8MX19|F90AC_HUMAN, sp|A6NKC0|F90A7_HUMAN, sp|A6NDY2|F90AA_HUMAN, sp|A6NJQ4|F90A8_HUMAN, sp|P0DV74|F90AH_HUMAN, sp|P0DV73|F90AG_HUMAN, sp|A6NNJ1|F90A9_HUMAN, sp|P0DV76|F90AJ_HUMAN, sp|P0DV75|F90AI_HUMAN
OG0000043	tr|E9Q7P5|E9Q7P5_MOUSE	sp|Q9H343|O51I1_HUMAN
OG0000043	tr|Q8VGX6|Q8VGX6_MOUSE	sp|Q9H344|O51I2_HUMAN
OG0000043	tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|A0A3B3IT45|A0A3B3IT45_HUMAN
OG0000043	tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE	sp|Q9H342|O51J1_HUMAN
OG0000046	sp|Q9D504|ANKR7_MOUSE	sp|Q92527|ANKR7_HUMAN, sp|Q6NSI1|AR26L_HUMAN, sp|Q9BXX2|AN30B_HUMAN, sp|Q9BXX3|AN30A_HUMAN, sp|A7E2S9|A30BL_HUMAN, sp|Q8N2N9|AN36B_HUMAN, sp|Q5JPF3|AN36C_HUMAN, sp|A6QL64|AN36A_HUMAN, sp|A6NC57|ANR62_HUMAN, sp|Q9UPS8|ANR26_HUMAN, sp|Q96IX9|A26L1_HUMAN, sp|Q8IVF6|AN18A_HUMAN, sp|A2A2Z9|AN18B_HUMAN, sp|Q8NF67|A2012_HUMAN, sp|Q9H560|ANR19_HUMAN, sp|A0PJZ0|A20A5_HUMAN, sp|Q5CZ79|AN20B_HUMAN, sp|Q5VUR7|A20A3_HUMAN, sp|Q5TYW2|A20A1_HUMAN, sp|Q4UJ75|A20A4_HUMAN, sp|Q5SQ80|A20A2_HUMAN
OG0000048	sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VG04|OL478_MOUSE	sp|Q8WZ92|OR5P2_HUMAN
OG0000054	sp|Q6IFZ6|K2C1B_MOUSE	sp|Q7Z794|K2C1B_HUMAN
OG0000054	sp|Q6NXH9|K2C73_MOUSE	sp|Q86Y46|K2C73_HUMAN
OG0000054	sp|Q9R0H5|K2C71_MOUSE	sp|Q3SY84|K2C71_HUMAN
OG0000054	sp|Q6IFZ9|K2C74_MOUSE	sp|Q7RTS7|K2C74_HUMAN
OG0000054	sp|Q6IME9|K2C72_MOUSE	sp|Q14CN4|K2C72_HUMAN
OG0000057	tr|Q8VFC2|Q8VFC2_MOUSE	sp|O76002|OR2J2_HUMAN, sp|Q9GZK6|OR2J1_HUMAN, sp|O76001|OR2J3_HUMAN
OG0000057	sp|P23275|OLF15_MOUSE	sp|Q8N628|OR2C3_HUMAN, sp|Q8NHA6|OR2W6_HUMAN, sp|A6NFC9|OR2W5_HUMAN, sp|Q5TZ20|OR2G6_HUMAN, sp|Q8NGZ5|OR2G2_HUMAN, sp|Q8NGZ4|OR2G3_HUMAN, sp|P59922|OR2B8_HUMAN, sp|Q8NGV0|OR2Y1_HUMAN, sp|O76000|OR2B3_HUMAN, sp|P58173|OR2B6_HUMAN, sp|Q9GZK3|OR2B2_HUMAN, sp|Q5JQS5|OR2BB_HUMAN, sp|Q9GZK4|OR2H1_HUMAN, sp|O95918|OR2H2_HUMAN, sp|O95371|OR2C1_HUMAN
OG0000058	tr|Q923D1|Q923D1_MOUSE	sp|Q9NYT6|ZN226_HUMAN
OG0000058	sp|Q0VAW7|ZN112_MOUSE	sp|A6NK53|ZN233_HUMAN, sp|Q14590|ZN235_HUMAN, sp|Q86WZ6|ZN227_HUMAN, sp|Q9UJU3|ZN112_HUMAN
OG0000058	tr|E9Q6Y4|E9Q6Y4_MOUSE	sp|Q96NJ3|ZN285_HUMAN, sp|Q9UJW7|ZN229_HUMAN, sp|Q02386|ZNF45_HUMAN
OG0000059	tr|Q8VGH2|Q8VGH2_MOUSE	sp|Q8NGR1|O13A1_HUMAN
OG0000059	tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TS01|Q7TS01_MOUSE	sp|Q8NGZ3|O13G1_HUMAN
OG0000060	tr|Q9EPG6|Q9EPG6_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE	sp|Q8NGH3|OR2D3_HUMAN
OG0000068	sp|P03975|IGEB_MOUSE	tr|B3KNS4|B3KNS4_HUMAN, sp|P61574|RE113_HUMAN, sp|P61576|REC04_HUMAN, sp|P61578|REC16_HUMAN, sp|P61568|ENK11_HUMAN, sp|Q9NX77|ENK13_HUMAN, sp|P61565|ENK21_HUMAN, sp|Q902F9|EN113_HUMAN, sp|P63135|POK7_HUMAN, sp|P10266|POK10_HUMAN, sp|Q9UQG0|POK11_HUMAN, sp|Q9BXR3|POK6_HUMAN, sp|P63136|POK25_HUMAN, sp|Q9WJR5|POK19_HUMAN, sp|P63132|PO113_HUMAN, sp|P63133|POK8_HUMAN, sp|Q9QC07|POK18_HUMAN
OG0000070	tr|Q8VF06|Q8VF06_MOUSE	sp|Q8NGH9|O52E4_HUMAN
OG0000070	tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE	sp|Q8NGJ4|O52E2_HUMAN
OG0000077	sp|Q9Z1D7|ZSC12_MOUSE	sp|O43309|ZSC12_HUMAN
OG0000077	sp|Q91VN1|ZNF24_MOUSE	sp|Q9GZW5|SCND2_HUMAN, sp|O60304|ZN500_HUMAN, sp|Q9NX65|ZSC32_HUMAN, sp|Q9UL58|ZN215_HUMAN, sp|Q8NBB4|ZSCA1_HUMAN, sp|Q9UNY5|ZN232_HUMAN, sp|P49910|ZN165_HUMAN, sp|Q86W11|ZSC30_HUMAN, sp|Q96LW9|ZSC31_HUMAN, sp|O15535|ZSC9_HUMAN, sp|Q9H4T2|ZSC16_HUMAN, sp|Q3MJ62|ZSC23_HUMAN, sp|Q96N95|ZN396_HUMAN, sp|P17028|ZNF24_HUMAN
OG0000078	tr|Q8VGP6|Q8VGP6_MOUSE, sp|P34984|OLF13_MOUSE	sp|Q96R45|OR2A7_HUMAN, sp|O95047|OR2A4_HUMAN, sp|A4D2G3|O2A25_HUMAN, tr|A0A126GWI2|A0A126GWI2_HUMAN, tr|Q9BZC5|Q9BZC5_HUMAN, tr|A0A126GWB0|A0A126GWB0_HUMAN, sp|Q6IF42|OR2A2_HUMAN, tr|A0A4W9AIG4|A0A4W9AIG4_HUMAN, sp|Q96R47|O2A14_HUMAN, sp|Q8NGT7|O2A12_HUMAN, sp|Q96R48|OR2A5_HUMAN, sp|Q8NGT9|OR2A1_HUMAN, tr|A0A2R8YEV3|A0A2R8YEV3_HUMAN, tr|A0A2R8YEG4|A0A2R8YEG4_HUMAN, tr|A0A2R8YEH3|A0A2R8YEH3_HUMAN
OG0000079	sp|P05213|TBA1B_MOUSE	sp|P68363|TBA1B_HUMAN
OG0000079	sp|P68369|TBA1A_MOUSE	sp|Q71U36|TBA1A_HUMAN
OG0000079	sp|P68373|TBA1C_MOUSE	sp|Q9BQE3|TBA1C_HUMAN
OG0000079	sp|P68368|TBA4A_MOUSE	sp|P68366|TBA4A_HUMAN
OG0000079	sp|Q3UX10|TBAL3_MOUSE	sp|A6NHL2|TBAL3_HUMAN
OG0000079	sp|Q9JJZ2|TBA8_MOUSE	sp|Q9NY65|TBA8_HUMAN
OG0000079	sp|P05214|TBA3_MOUSE	sp|Q6PEY2|TBA3E_HUMAN, sp|P0DPH7|TBA3C_HUMAN, sp|P0DPH8|TBA3D_HUMAN
OG0000080	tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE	sp|Q8NH69|OR5W2_HUMAN
OG0000082	sp|Q99JX1|TAF11_MOUSE	sp|Q15544|TAF11_HUMAN, sp|A0A1W2PPE2|TFKL4_HUMAN, sp|P0DW12|TFKL7_HUMAN, sp|A0A1W2PR64|TFKL9_HUMAN, sp|A0A1W2PP81|TFKL5_HUMAN, sp|P0DW13|TFKL8_HUMAN, sp|A0A1W2PRV1|TFKL3_HUMAN, sp|P0DW14|TFKLJ_HUMAN, sp|P0DW11|TFKL6_HUMAN, sp|A0A1W2PPH5|TFLM_HUMAN, sp|A6NLC8|TFKL2_HUMAN, tr|A0A1W2PRN6|A0A1W2PRN6_HUMAN, sp|A0A1W2PQ09|TFKLK_HUMAN, sp|A0A1W2PPW3|TFKLL_HUMAN, sp|A0A1W2PPL8|TFKLN_HUMAN
OG0000084	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	sp|Q8NGX2|O2T35_HUMAN, sp|Q6IF00|OR2T2_HUMAN
OG0000084	tr|E9Q3K2|E9Q3K2_MOUSE	sp|O43869|OR2T1_HUMAN
OG0000084	tr|Q8VF37|Q8VF37_MOUSE	sp|Q8NHC8|OR2T6_HUMAN
OG0000086	tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE	sp|Q8NGL7|OR4P4_HUMAN
OG0000086	tr|Q0VB29|Q0VB29_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	sp|Q8NH73|OR4S2_HUMAN
OG0000087	tr|Q8CFE8|Q8CFE8_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE	sp|Q6X9E4|FBW12_HUMAN
OG0000092	tr|A0A075B5S4|A0A075B5S4_MOUSE	sp|A0A0B4J1U7|HV601_HUMAN, tr|A0A087WW49|A0A087WW49_HUMAN, tr|A0A075B7B6|A0A075B7B6_HUMAN, sp|A0A075B6R2|HV404_HUMAN, sp|A0A0C4DH34|HV428_HUMAN, sp|P0DP08|HVD82_HUMAN, sp|A0A087WSY4|HV432_HUMAN, sp|P0DP07|HV431_HUMAN, tr|A0A0J9YWU9|A0A0J9YWU9_HUMAN, sp|P0DP06|HVD34_HUMAN, sp|P01825|HV459_HUMAN, sp|P06331|HV434_HUMAN, sp|A0A0C4DH41|HV461_HUMAN, sp|P01824|HV439_HUMAN
OG0000093	tr|E9Q1J0|E9Q1J0_MOUSE	sp|Q96NG5|ZN558_HUMAN
