Orthogroup	Mus_musculus	Delphinapterus_leucas
OG0000007	tr|Q640N4|Q640N4_MOUSE	tr|A0A2Y9M647|A0A2Y9M647_DELLE, tr|A0A2Y9M301|A0A2Y9M301_DELLE, tr|A0A2Y9LH43|A0A2Y9LH43_DELLE, tr|A0A2Y9LUH1|A0A2Y9LUH1_DELLE, tr|A0A7F8KH60|A0A7F8KH60_DELLE, tr|A0A2Y9LUH6|A0A2Y9LUH6_DELLE
OG0000007	sp|B2RXC5|ZN382_MOUSE	tr|A0A2Y9PFI9|A0A2Y9PFI9_DELLE, tr|A0A2Y9P7H2|A0A2Y9P7H2_DELLE
OG0000007	tr|Q6NXM6|Q6NXM6_MOUSE	tr|A0A2Y9MIA6|A0A2Y9MIA6_DELLE
OG0000007	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2Y9LJP2|A0A2Y9LJP2_DELLE
OG0000007	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2Y9P946|A0A2Y9P946_DELLE, tr|A0A2Y9LGW8|A0A2Y9LGW8_DELLE, tr|A0A2Y9P345|A0A2Y9P345_DELLE, tr|A0A2Y9MFI9|A0A2Y9MFI9_DELLE, tr|A0A2Y9MHY0|A0A2Y9MHY0_DELLE, tr|A0A2Y9NYD3|A0A2Y9NYD3_DELLE, tr|A0A2Y9LH67|A0A2Y9LH67_DELLE, tr|A0A2Y9P454|A0A2Y9P454_DELLE, tr|A0A7F8KFD4|A0A7F8KFD4_DELLE, tr|A0A2Y9Q4D2|A0A2Y9Q4D2_DELLE, tr|A0A7F8KID8|A0A7F8KID8_DELLE, tr|A0A7F8K999|A0A7F8K999_DELLE, tr|A0A2Y9P715|A0A2Y9P715_DELLE, tr|A0A2Y9P466|A0A2Y9P466_DELLE, tr|A0A2Y9P705|A0A2Y9P705_DELLE, tr|A0A7F8K6S0|A0A7F8K6S0_DELLE, tr|A0A2Y9P6Y3|A0A2Y9P6Y3_DELLE, tr|A0A2Y9P460|A0A2Y9P460_DELLE, tr|A0A2Y9P9C4|A0A2Y9P9C4_DELLE, tr|A0A2Y9P9D5|A0A2Y9P9D5_DELLE, tr|A0A2Y9P444|A0A2Y9P444_DELLE, tr|A0A2Y9P6W7|A0A2Y9P6W7_DELLE, tr|A0A2Y9Q8M0|A0A2Y9Q8M0_DELLE, tr|A0A2Y9QEQ1|A0A2Y9QEQ1_DELLE
OG0000007	sp|P10077|ZFP27_MOUSE	tr|A0A2Y9MQV2|A0A2Y9MQV2_DELLE, tr|A0A2Y9P995|A0A2Y9P995_DELLE, tr|A0A2Y9LRR7|A0A2Y9LRR7_DELLE, tr|A0A2Y9MEP5|A0A2Y9MEP5_DELLE, tr|A0A7F8K776|A0A7F8K776_DELLE, tr|A0A7F8KFR3|A0A7F8KFR3_DELLE, tr|A0A2Y9PH35|A0A2Y9PH35_DELLE
OG0000007	sp|Q6P560|ZN182_MOUSE	tr|A0A2Y9LTI6|A0A2Y9LTI6_DELLE, tr|A0A2Y9MBG6|A0A2Y9MBG6_DELLE
OG0000010	sp|P23275|OLF15_MOUSE	tr|A0A7F8KDC6|A0A7F8KDC6_DELLE
OG0000010	tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE	tr|A0A2Y9LYG5|A0A2Y9LYG5_DELLE
OG0000010	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE	tr|A0A2Y9M856|A0A2Y9M856_DELLE
OG0000011	tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, sp|Q8VFL9|O1086_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, sp|Q60880|OL141_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, sp|Q60894|OLF12_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE	tr|A0A2Y9NHT0|A0A2Y9NHT0_DELLE
OG0000013	tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH12|Q8VH12_MOUSE	tr|A0A2Y9M9R2|A0A2Y9M9R2_DELLE
OG0000014	tr|Q7TR79|Q7TR79_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|A2AVB5|A2AVB5_MOUSE, tr|Q7TR89|Q7TR89_MOUSE, tr|A2ATE0|A2ATE0_MOUSE, tr|A2ATE5|A2ATE5_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, tr|Q7TR85|Q7TR85_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, tr|A2ASU6|A2ASU6_MOUSE, tr|L7MTT3|L7MTT3_MOUSE, tr|A2ASU7|A2ASU7_MOUSE, tr|A0A140T8K3|A0A140T8K3_MOUSE, tr|Q7TR90|Q7TR90_MOUSE, sp|Q8VFL5|O1030_MOUSE, tr|Q8VFZ3|Q8VFZ3_MOUSE, sp|Q8VGS1|O1038_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, sp|Q8VGR9|O1044_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, tr|Q7TR84|Q7TR84_MOUSE	tr|A0A2Y9N5W2|A0A2Y9N5W2_DELLE
OG0000019	tr|Q5NC45|Q5NC45_MOUSE	tr|A0A2Y9MJ42|A0A2Y9MJ42_DELLE
OG0000019	tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VET2|Q8VET2_MOUSE	tr|A0A7F8KBR6|A0A7F8KBR6_DELLE
OG0000019	tr|Q7TQS8|Q7TQS8_MOUSE, sp|Q8VGD6|OLF56_MOUSE	tr|A0A2Y9LXB1|A0A2Y9LXB1_DELLE
OG0000022	sp|Q8VFX2|O1444_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, tr|Q7TRA2|Q7TRA2_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|A2AVA9|A2AVA9_MOUSE, tr|Q8VFM1|Q8VFM1_MOUSE, tr|Q8VG37|Q8VG37_MOUSE, tr|A0A1L1SUP2|A0A1L1SUP2_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE	tr|A0A2Y9MJT2|A0A2Y9MJT2_DELLE
OG0000023	sp|E9PYI1|ZN568_MOUSE	tr|A0A2Y9PHC0|A0A2Y9PHC0_DELLE
OG0000023	tr|Q8R2Q3|Q8R2Q3_MOUSE, tr|Q80ZX2|Q80ZX2_MOUSE	tr|A0A2Y9P7E7|A0A2Y9P7E7_DELLE
OG0000023	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2Y9PD34|A0A2Y9PD34_DELLE, tr|A0A2Y9P3Q4|A0A2Y9P3Q4_DELLE, tr|A0A2Y9P4X9|A0A2Y9P4X9_DELLE, tr|A0A2Y9P4S2|A0A2Y9P4S2_DELLE, tr|A0A2Y9PFI0|A0A2Y9PFI0_DELLE, tr|A0A2Y9P801|A0A2Y9P801_DELLE, tr|A0A7F8KBZ6|A0A7F8KBZ6_DELLE, tr|A0A2Y9P9W2|A0A2Y9P9W2_DELLE, tr|A0A7F8K9G6|A0A7F8K9G6_DELLE
OG0000023	sp|Q3V080|ZN583_MOUSE	tr|A0A2Y9Q8M1|A0A2Y9Q8M1_DELLE, tr|A0A2Y9PE37|A0A2Y9PE37_DELLE, tr|A0A7F8K3M0|A0A7F8K3M0_DELLE, tr|A0A2Y9P5Z9|A0A2Y9P5Z9_DELLE, tr|A0A7F8K711|A0A7F8K711_DELLE, tr|A0A7F8K8W2|A0A7F8K8W2_DELLE, tr|A0A7F8KBE2|A0A7F8KBE2_DELLE
OG0000023	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2Y9P9Y2|A0A2Y9P9Y2_DELLE, tr|A0A7F8K3N3|A0A7F8K3N3_DELLE, tr|A0A2Y9P7N2|A0A2Y9P7N2_DELLE, tr|A0A2Y9P4T0|A0A2Y9P4T0_DELLE, tr|A0A7F8KC06|A0A7F8KC06_DELLE
