Orthogroup	Mus_musculus	Monodon_monoceros
OG0001623	sp|Q8VEJ9|VPS4A_MOUSE	tr|A0A4U1FPX2|A0A4U1FPX2_MONMO
OG0001624	sp|P68181|KAPCB_MOUSE	tr|A0A4U1F8I1|A0A4U1F8I1_MONMO
OG0001624	sp|P05132|KAPCA_MOUSE	tr|A0A4V5P8V1|A0A4V5P8V1_MONMO
OG0001625	sp|P42669|PURA_MOUSE	tr|A0A4U1F0K6|A0A4U1F0K6_MONMO
OG0001625	sp|O35295|PURB_MOUSE	tr|A0A4U1EV55|A0A4U1EV55_MONMO
OG0001626	sp|Q52KP5|NXPE4_MOUSE	tr|A0A4U1F393|A0A4U1F393_MONMO
OG0001626	sp|Q3U095|NXPE2_MOUSE	tr|A0A4U1F3J4|A0A4U1F3J4_MONMO
OG0001627	sp|Q6P9N1|HYCCI_MOUSE	tr|A0A4U1FWG0|A0A4U1FWG0_MONMO
OG0001627	sp|Q8C729|F126B_MOUSE	tr|A0A4U1F6V3|A0A4U1F6V3_MONMO
OG0001628	sp|P35347|CRFR1_MOUSE	tr|A0A4V5P6K0|A0A4V5P6K0_MONMO
OG0001628	sp|Q60748|CRFR2_MOUSE	tr|A0A4U1FRU4|A0A4U1FRU4_MONMO
OG0001629	sp|P86792|CC21B_MOUSE, sp|P86793|CC21C_MOUSE, sp|P84444|CC21A_MOUSE	tr|A0A4V5PB33|A0A4V5PB33_MONMO
OG0001630	sp|Q9D112|SHLD1_MOUSE	tr|A0A4U1ES88|A0A4U1ES88_MONMO, tr|A0A4U1EDK8|A0A4U1EDK8_MONMO, tr|A0A4U1EMR2|A0A4U1EMR2_MONMO
OG0001631	sp|P17918|PCNA_MOUSE	tr|A0A4V5P7B9|A0A4V5P7B9_MONMO, tr|A0A4V5P9V2|A0A4V5P9V2_MONMO, tr|A0A4U1FAC0|A0A4U1FAC0_MONMO
OG0001632	sp|Q3UZV7|ELAP2_MOUSE	tr|A0A4V5PCS1|A0A4V5PCS1_MONMO
OG0001632	sp|A2AFS3|ELAP1_MOUSE	tr|A0A4U1FBK9|A0A4U1FBK9_MONMO
OG0001633	sp|Q9D300|RGF1C_MOUSE	tr|A0A4V5P7K9|A0A4V5P7K9_MONMO
OG0001633	sp|Q8JZL7|RGF1B_MOUSE	tr|A0A4U1F9Z2|A0A4U1F9Z2_MONMO
OG0001634	sp|Q8CJ70|IL19_MOUSE	tr|A0A4U1FDH9|A0A4U1FDH9_MONMO
OG0001634	sp|Q9JKV9|IL20_MOUSE	tr|A0A4U1FDI6|A0A4U1FDI6_MONMO
OG0001635	sp|Q3UMY5|EMAL4_MOUSE	tr|A0A4U1FD02|A0A4U1FD02_MONMO
OG0001635	sp|Q8VC03|EMAL3_MOUSE	tr|A0A4U1FM74|A0A4U1FM74_MONMO
OG0001636	sp|Q6VN19|RBP10_MOUSE	tr|A0A4U1FPM3|A0A4U1FPM3_MONMO
OG0001636	sp|P69566|RANB9_MOUSE	tr|A0A4U1FPR4|A0A4U1FPR4_MONMO
OG0001637	sp|Q91WK5|GCSH_MOUSE	tr|A0A4U1EI90|A0A4U1EI90_MONMO, tr|A0A4U1EJU7|A0A4U1EJU7_MONMO, tr|A0A4U1EER8|A0A4U1EER8_MONMO
OG0001638	sp|Q67BT3|S13A5_MOUSE	tr|A0A4U1FCC7|A0A4U1FCC7_MONMO
OG0001638	sp|Q9ES88|S13A2_MOUSE	tr|A0A4U1ELZ0|A0A4U1ELZ0_MONMO
OG0001639	sp|P61327|MGN_MOUSE	tr|A0A4U1FJP3|A0A4U1FJP3_MONMO, tr|A0A4U1FHB2|A0A4U1FHB2_MONMO, tr|A0A4U1FPQ1|A0A4U1FPQ1_MONMO
OG0001640	sp|Q8BIY3|ZC12D_MOUSE	tr|A0A4U1FLY8|A0A4U1FLY8_MONMO
OG0001640	sp|Q5D1E7|ZC12A_MOUSE	tr|A0A4U1EX62|A0A4U1EX62_MONMO
OG0001641	sp|P11352|GPX1_MOUSE	tr|A0A4U1F983|A0A4U1F983_MONMO, tr|A0A4U1EXD8|A0A4U1EXD8_MONMO, tr|A0A4U1EMD7|A0A4U1EMD7_MONMO
OG0001642	sp|Q9ESJ1|CABL1_MOUSE	tr|A0A4V5P8C1|A0A4V5P8C1_MONMO
OG0001642	sp|Q8K3M5|CABL2_MOUSE	tr|A0A4U1F6F7|A0A4U1F6F7_MONMO
OG0001643	sp|Q99PM9|UCK2_MOUSE	tr|A0A4U1EDH3|A0A4U1EDH3_MONMO
OG0001643	sp|P52623|UCK1_MOUSE	tr|A0A4U1F9H5|A0A4U1F9H5_MONMO
OG0001644	sp|P09084|PAX1_MOUSE	tr|A0A4U1EFY3|A0A4U1EFY3_MONMO
OG0001644	sp|P47242|PAX9_MOUSE	tr|A0A4U1FJI0|A0A4U1FJI0_MONMO
OG0001645	sp|Q9WVB0|RBPMS_MOUSE, sp|Q8VC52|RBPS2_MOUSE	tr|A0A4U1FQP8|A0A4U1FQP8_MONMO, tr|A0A4U1EY39|A0A4U1EY39_MONMO
OG0001646	sp|Q99PD7|NCKX3_MOUSE	tr|A0A4U1F8U4|A0A4U1F8U4_MONMO
OG0001646	sp|Q8CGQ8|NCKX4_MOUSE	tr|A0A4V5PAJ0|A0A4V5PAJ0_MONMO
OG0001647	sp|Q64347|CLCN1_MOUSE	tr|A0A4U1FMT6|A0A4U1FMT6_MONMO
OG0001647	sp|Q9R0A1|CLCN2_MOUSE	tr|A0A4U1FU61|A0A4U1FU61_MONMO
OG0001648	sp|Q8CD91|SMOC2_MOUSE	tr|A0A4V5PAF4|A0A4V5PAF4_MONMO
OG0001648	sp|Q8BLY1|SMOC1_MOUSE	tr|A0A4U1EF58|A0A4U1EF58_MONMO
OG0001649	sp|Q9ERE3|SGK3_MOUSE	tr|A0A4U1EQP2|A0A4U1EQP2_MONMO
OG0001649	sp|Q9QZS5|SGK2_MOUSE	tr|A0A4U1F9A1|A0A4U1F9A1_MONMO
OG0001650	sp|Q9D6R2|IDH3A_MOUSE	tr|A0A4U1EMY9|A0A4U1EMY9_MONMO, tr|A0A4U1FEU4|A0A4U1FEU4_MONMO, tr|A0A4U1F1Y9|A0A4U1F1Y9_MONMO
OG0001651	sp|P97714|ADA1D_MOUSE	tr|A0A4U1FHP8|A0A4U1FHP8_MONMO
OG0001651	sp|P97718|ADA1A_MOUSE	tr|A0A4U1FIL2|A0A4U1FIL2_MONMO
OG0001652	sp|O88329|MYO1A_MOUSE	tr|A0A4U1FRL6|A0A4U1FRL6_MONMO
OG0001652	sp|P46735|MYO1B_MOUSE	tr|A0A4U1FKZ7|A0A4U1FKZ7_MONMO
OG0001653	sp|Q9DCR2|AP3S1_MOUSE	tr|A0A4U1ELK7|A0A4U1ELK7_MONMO
OG0001653	sp|Q8BSZ2|AP3S2_MOUSE	tr|A0A4U1EHL7|A0A4U1EHL7_MONMO
OG0001654	sp|Q6P4U0|THS7B_MOUSE	tr|A0A4U1FA15|A0A4U1FA15_MONMO
OG0001654	sp|Q69ZU6|THS7A_MOUSE	tr|A0A4U1FER5|A0A4U1FER5_MONMO
OG0001655	sp|P0DN91|T254C_MOUSE, sp|P0DN90|T254B_MOUSE, sp|P0DN89|T254A_MOUSE	tr|A0A4U1FKY2|A0A4U1FKY2_MONMO
OG0001656	sp|Q91V04|TRAM1_MOUSE	tr|A0A4U1FIA5|A0A4U1FIA5_MONMO
OG0001656	sp|Q8QZR0|TR1L1_MOUSE	tr|A0A4U1FSS4|A0A4U1FSS4_MONMO
OG0001657	sp|Q5F259|AN13B_MOUSE	tr|A0A4U1FDS8|A0A4U1FDS8_MONMO
OG0001657	sp|Q6PD24|AN13D_MOUSE	tr|A0A4U1EJW0|A0A4U1EJW0_MONMO
OG0001658	sp|O88343|S4A4_MOUSE	tr|A0A4U1EN70|A0A4U1EN70_MONMO
OG0001658	sp|E9Q3M5|S4A5_MOUSE	tr|A0A4V5P9G2|A0A4V5P9G2_MONMO
OG0001659	tr|E9Q861|E9Q861_MOUSE, tr|Q80XU5|Q80XU5_MOUSE	tr|A0A4V5PA84|A0A4V5PA84_MONMO, tr|A0A4U1F690|A0A4U1F690_MONMO
OG0001660	sp|Q6ZQ38|CAND1_MOUSE	tr|A0A4U1FBM0|A0A4U1FBM0_MONMO
OG0001660	sp|Q6ZQ73|CAND2_MOUSE	tr|A0A4U1EXH8|A0A4U1EXH8_MONMO
OG0001661	sp|Q5QGU6|RTP3_MOUSE	tr|A0A4U1F1Q5|A0A4U1F1Q5_MONMO
OG0001661	sp|Q9ER80|RTP4_MOUSE	tr|A0A4U1FFQ1|A0A4U1FFQ1_MONMO
OG0001662	sp|O88632|SEM3F_MOUSE	tr|A0A4U1EI45|A0A4U1EI45_MONMO
OG0001662	sp|Q62181|SEM3C_MOUSE	tr|A0A4U1FYC6|A0A4U1FYC6_MONMO
OG0001663	sp|Q9R0C8|VAV3_MOUSE	tr|A0A4V5P684|A0A4V5P684_MONMO
OG0001663	sp|P27870|VAV_MOUSE	tr|A0A4V6WNY6|A0A4V6WNY6_MONMO
OG0001664	sp|Q60902|EP15R_MOUSE	tr|A0A4U1FM33|A0A4U1FM33_MONMO
OG0001664	sp|P42567|EPS15_MOUSE	tr|A0A4U1FJ24|A0A4U1FJ24_MONMO
OG0001665	sp|Q505D1|ANR28_MOUSE	tr|A0A4U1FA07|A0A4U1FA07_MONMO
OG0001665	sp|B2RXR6|ANR44_MOUSE	tr|A0A4U1FQB3|A0A4U1FQB3_MONMO
OG0001666	sp|Q8VEC3|AGRF1_MOUSE, sp|Q9D2L6|AGRF4_MOUSE, sp|E9Q4J9|AGRF2_MOUSE	tr|A0A4U1FQP9|A0A4U1FQP9_MONMO
OG0001667	sp|O70492|SNX3_MOUSE	tr|A0A4V5PAX8|A0A4V5PAX8_MONMO
OG0001667	sp|O70493|SNX12_MOUSE	tr|A0A4U1EM45|A0A4U1EM45_MONMO
OG0001668	tr|Q8BG37|Q8BG37_MOUSE, sp|O08709|PRDX6_MOUSE	tr|A0A4U1FGB4|A0A4U1FGB4_MONMO, tr|A0A4U1ER90|A0A4U1ER90_MONMO
OG0001669	sp|P48774|GSTM5_MOUSE	tr|A0A4U1FBL8|A0A4U1FBL8_MONMO, tr|A0A4U1FDN7|A0A4U1FDN7_MONMO, tr|A0A4U1EWN0|A0A4U1EWN0_MONMO
OG0001670	sp|Q9QY40|PLXB3_MOUSE	tr|A0A4U1EN11|A0A4U1EN11_MONMO
OG0001670	sp|Q8CJH3|PLXB1_MOUSE	tr|A0A4U1EHC0|A0A4U1EHC0_MONMO
OG0001671	tr|E9PW37|E9PW37_MOUSE	tr|A0A4U1EU52|A0A4U1EU52_MONMO
OG0001671	sp|Q3UHC7|DAB2P_MOUSE	tr|A0A4U1FDG4|A0A4U1FDG4_MONMO
OG0001672	sp|P49769|PSN1_MOUSE	tr|A0A4U1ED64|A0A4U1ED64_MONMO
OG0001672	sp|Q61144|PSN2_MOUSE	tr|A0A4U1EZ16|A0A4U1EZ16_MONMO
OG0001673	sp|Q9D8C3|ALG13_MOUSE, tr|Q8BML3|Q8BML3_MOUSE	tr|A0A4U1EMG7|A0A4U1EMG7_MONMO, tr|A0A4U1F531|A0A4U1F531_MONMO
OG0001674	sp|Q8BL00|CDHR3_MOUSE, tr|A0A1B0GR31|A0A1B0GR31_MOUSE, tr|D3Z1Y0|D3Z1Y0_MOUSE	tr|A0A4U1EF56|A0A4U1EF56_MONMO
OG0001675	sp|Q3UGC7|EI3JA_MOUSE	tr|A0A4U1EGT2|A0A4U1EGT2_MONMO
OG0001675	sp|Q66JS6|EI3JB_MOUSE	tr|A0A4U1EIL6|A0A4U1EIL6_MONMO
OG0001676	sp|Q8BMA3|CNKR3_MOUSE, tr|F6UK53|F6UK53_MOUSE, sp|Q80YA9|CNKR2_MOUSE	tr|A0A4U1F551|A0A4U1F551_MONMO
OG0001677	sp|Q8CDB0|MKNK2_MOUSE	tr|A0A4U1F3W9|A0A4U1F3W9_MONMO
OG0001677	sp|O08605|MKNK1_MOUSE	tr|A0A4U1EJY1|A0A4U1EJY1_MONMO
OG0001678	sp|P51863|VA0D1_MOUSE	tr|A0A4U1FNZ0|A0A4U1FNZ0_MONMO
OG0001678	sp|Q80SY3|VA0D2_MOUSE	tr|A0A4U1ELV7|A0A4U1ELV7_MONMO
OG0001679	sp|Q8BWG8|ARRB1_MOUSE	tr|A0A4U1ENJ9|A0A4U1ENJ9_MONMO
OG0001679	sp|Q91YI4|ARRB2_MOUSE	tr|A0A4U1EZZ9|A0A4U1EZZ9_MONMO
OG0001680	sp|Q8C0N1|KIF2B_MOUSE	tr|A0A4U1F369|A0A4U1F369_MONMO
OG0001680	sp|P28740|KIF2A_MOUSE	tr|A0A4U1F986|A0A4U1F986_MONMO
OG0001681	sp|P70210|TEAD3_MOUSE, sp|P30051|TEAD1_MOUSE, sp|Q62296|TEAD4_MOUSE	tr|A0A4U1FI94|A0A4U1FI94_MONMO
OG0001682	sp|Q9WU81|G6PT3_MOUSE	tr|A0A4U1EGV6|A0A4U1EGV6_MONMO
OG0001682	sp|Q8R070|G6PT2_MOUSE	tr|A0A4V5P929|A0A4V5P929_MONMO
OG0001683	sp|Q8BRU6|VMAT2_MOUSE	tr|A0A4U1FFM9|A0A4U1FFM9_MONMO
OG0001683	sp|Q8R090|VMAT1_MOUSE	tr|A0A4V6WNZ7|A0A4V6WNZ7_MONMO
OG0001684	sp|Q62136|PTN21_MOUSE	tr|A0A4U1FLK3|A0A4U1FLK3_MONMO
OG0001684	sp|Q62130|PTN14_MOUSE	tr|A0A4U1FHI0|A0A4U1FHI0_MONMO
OG0001685	sp|Q3LAC4|PREX2_MOUSE	tr|A0A4U1ELY7|A0A4U1ELY7_MONMO
OG0001685	sp|Q69ZK0|PREX1_MOUSE	tr|A0A4U1EH82|A0A4U1EH82_MONMO
OG0001686	sp|Q8VHW4|CCG5_MOUSE	tr|A0A4U1EY28|A0A4U1EY28_MONMO
OG0001686	sp|P62956|CCG7_MOUSE	tr|A0A4U1EIS7|A0A4U1EIS7_MONMO
OG0001687	sp|Q91YM2|RHG35_MOUSE	tr|A0A4U1FYS4|A0A4U1FYS4_MONMO
OG0001687	sp|P97393|RHG05_MOUSE	tr|A0A4U1FKK3|A0A4U1FKK3_MONMO
OG0001688	sp|Q3LS21|KCNK9_MOUSE	tr|A0A4U1FQJ8|A0A4U1FQJ8_MONMO
OG0001688	sp|O35111|KCNK3_MOUSE	tr|A0A4U1FG90|A0A4U1FG90_MONMO
OG0001689	sp|Q8BGC0|HTSF1_MOUSE	tr|A0A4U1EV49|A0A4U1EV49_MONMO, tr|A0A4U1EDF7|A0A4U1EDF7_MONMO, tr|A0A4U1F2Q2|A0A4U1F2Q2_MONMO
OG0001690	sp|O70400|PDLI1_MOUSE	tr|A0A4U1FP86|A0A4U1FP86_MONMO, tr|A0A4U1EGT4|A0A4U1EGT4_MONMO, tr|A0A4U1EHD6|A0A4U1EHD6_MONMO
OG0001691	sp|Q9DB52|PBIR1_MOUSE	tr|A0A4V5P924|A0A4V5P924_MONMO
OG0001691	sp|Q6NZE7|PBIR2_MOUSE	tr|A0A4U1EQI9|A0A4U1EQI9_MONMO
OG0001692	sp|Q99PI5|LPIN2_MOUSE	tr|A0A4U1F5E9|A0A4U1F5E9_MONMO
OG0001692	sp|Q99PI4|LPIN3_MOUSE	tr|A0A4U1EUS4|A0A4U1EUS4_MONMO
OG0001693	sp|Q8CGF7|TCRG1_MOUSE	tr|A0A4U1EV83|A0A4U1EV83_MONMO
OG0001693	sp|Q3B807|TCRGL_MOUSE	tr|A0A4V5PAT1|A0A4V5PAT1_MONMO
OG0001694	sp|Q9QYI8|DNJB7_MOUSE, sp|O54946|DNJB6_MOUSE, sp|O35723|DNJB3_MOUSE	tr|A0A4U1EYK0|A0A4U1EYK0_MONMO
OG0001695	sp|P83887|TBG1_MOUSE	tr|A0A4U1FIG8|A0A4U1FIG8_MONMO
OG0001695	sp|Q8VCK3|TBG2_MOUSE	tr|A0A4U1FHG5|A0A4U1FHG5_MONMO
OG0001696	sp|P31310|HXA10_MOUSE, sp|P28359|HXD10_MOUSE, sp|P31257|HXC10_MOUSE	tr|A0A4U1FRT4|A0A4U1FRT4_MONMO
OG0001697	sp|Q8R4E9|CDT1_MOUSE	tr|A0A4U1EK52|A0A4U1EK52_MONMO, tr|A0A4U1FSV2|A0A4U1FSV2_MONMO, tr|A0A4U1FTE2|A0A4U1FTE2_MONMO
OG0001698	sp|Q924X6|LRP8_MOUSE	tr|A0A4U1FK30|A0A4U1FK30_MONMO
OG0001698	sp|P35951|LDLR_MOUSE	tr|A0A4U1EWT4|A0A4U1EWT4_MONMO
OG0001699	sp|Q8K009|AL1L2_MOUSE	tr|A0A4U1FQ52|A0A4U1FQ52_MONMO
OG0001699	sp|Q8R0Y6|AL1L1_MOUSE	tr|A0A4U1F897|A0A4U1F897_MONMO
OG0001700	sp|Q9D032|SSBP3_MOUSE, sp|Q9CYZ8|SSBP2_MOUSE, tr|Q3U4B1|Q3U4B1_MOUSE	tr|A0A4U1EUN6|A0A4U1EUN6_MONMO
OG0001701	sp|P28661|SEPT4_MOUSE	tr|A0A4U1ECB6|A0A4U1ECB6_MONMO
OG0001701	sp|Q9Z2Q6|SEPT5_MOUSE	tr|A0A4U1F7D4|A0A4U1F7D4_MONMO
OG0001702	sp|Q91V61|SFXN3_MOUSE	tr|A0A4U1FE03|A0A4U1FE03_MONMO
OG0001702	sp|Q99JR1|SFXN1_MOUSE	tr|A0A4U1FNL1|A0A4U1FNL1_MONMO
OG0001703	sp|Q9QUJ7|ACSL4_MOUSE	tr|A0A4U1EEJ8|A0A4U1EEJ8_MONMO
OG0001703	sp|Q9CZW4|ACSL3_MOUSE	tr|A0A4U1ELP7|A0A4U1ELP7_MONMO
OG0001704	sp|Q9QZ28|SIX6_MOUSE	tr|A0A4U1EW06|A0A4U1EW06_MONMO, tr|A0A4U1EJY6|A0A4U1EJY6_MONMO, tr|A0A4U1ES43|A0A4U1ES43_MONMO
OG0001705	sp|Q9D2L5|CPXM2_MOUSE	tr|A0A4U1EUP0|A0A4U1EUP0_MONMO
OG0001705	sp|Q9Z100|CPXM1_MOUSE	tr|A0A4V5PA78|A0A4V5PA78_MONMO
OG0001706	sp|Q64520|KGUA_MOUSE	tr|A0A4U1EPZ3|A0A4U1EPZ3_MONMO
OG0001706	sp|Q9D5S7|LRGUK_MOUSE	tr|A0A4U1FHQ6|A0A4U1FHQ6_MONMO
OG0001707	sp|P05208|CEL2A_MOUSE	tr|A0A4U1EI09|A0A4U1EI09_MONMO
OG0001707	sp|Q91X79|CELA1_MOUSE	tr|A0A4U1FQZ3|A0A4U1FQZ3_MONMO
OG0001708	sp|Q9JIH2|NUP50_MOUSE	tr|A0A4U1EKN9|A0A4U1EKN9_MONMO
OG0001708	tr|Q3V2K7|Q3V2K7_MOUSE	tr|A0A4V5PAE7|A0A4V5PAE7_MONMO
OG0001709	sp|Q9QZC7|PKHB2_MOUSE	tr|A0A4U1EM18|A0A4U1EM18_MONMO, tr|A0A4U1EI72|A0A4U1EI72_MONMO, tr|A0A4U1FQX2|A0A4U1FQX2_MONMO
OG0001710	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|A0A4U1F0Y5|A0A4U1F0Y5_MONMO
OG0001710	sp|Q8CHG7|RPGF2_MOUSE	tr|A0A4U1FGQ3|A0A4U1FGQ3_MONMO
OG0001711	sp|O09110|MP2K3_MOUSE	tr|A0A4V5PCB6|A0A4V5PCB6_MONMO
OG0001711	sp|P70236|MP2K6_MOUSE	tr|A0A4U1FHB0|A0A4U1FHB0_MONMO
OG0001712	sp|Q6P8X1|SNX6_MOUSE	tr|A0A4V5P848|A0A4V5P848_MONMO
OG0001712	sp|Q80ZJ7|SNX32_MOUSE	tr|A0A4U1ELE0|A0A4U1ELE0_MONMO
OG0001713	sp|Q8C6G1|CF410_MOUSE, sp|Q9DAK8|LRC51_MOUSE, sp|Q14DL3|LRIQ3_MOUSE	tr|A0A4U1EYT0|A0A4U1EYT0_MONMO
OG0001714	sp|Q8R2R9|AP3M2_MOUSE	tr|A0A4U1EW93|A0A4U1EW93_MONMO
OG0001714	sp|Q9JKC8|AP3M1_MOUSE	tr|A0A4U1F0J8|A0A4U1F0J8_MONMO
OG0001715	sp|Q99K70|RRAGC_MOUSE	tr|A0A4U1EJG1|A0A4U1EJG1_MONMO
OG0001715	sp|Q7TT45|RRAGD_MOUSE	tr|A0A4U1F0K1|A0A4U1F0K1_MONMO
OG0001716	sp|Q64163|TFDP2_MOUSE	tr|A0A4U1ELE2|A0A4U1ELE2_MONMO
OG0001716	sp|Q08639|TFDP1_MOUSE	tr|A0A4U1F7G6|A0A4U1F7G6_MONMO
OG0001717	sp|Q9JMG7|HDGR3_MOUSE	tr|A0A4U1F9K0|A0A4U1F9K0_MONMO, tr|A0A4U1FGS9|A0A4U1FGS9_MONMO, tr|A0A4V5P7S2|A0A4V5P7S2_MONMO
OG0001718	sp|P46425|GSTP2_MOUSE, sp|P19157|GSTP1_MOUSE	tr|A0A4U1EJW6|A0A4U1EJW6_MONMO, tr|A0A4U1EL31|A0A4U1EL31_MONMO
OG0001719	sp|Q8R0N9|ZDHC1_MOUSE	tr|A0A4U1FQ07|A0A4U1FQ07_MONMO
OG0001719	sp|Q14AK4|ZDH11_MOUSE	tr|A0A4U1ER37|A0A4U1ER37_MONMO
OG0001720	sp|Q3ULA2|FBW1A_MOUSE	tr|A0A4V5P9L9|A0A4V5P9L9_MONMO
OG0001720	sp|Q5SRY7|FBW1B_MOUSE	tr|A0A4U1ETW7|A0A4U1ETW7_MONMO
OG0001721	sp|Q8R4G0|NTNG1_MOUSE	tr|A0A4U1FFZ1|A0A4U1FFZ1_MONMO
OG0001721	sp|Q8R4F1|NTNG2_MOUSE	tr|A0A4U1FAA4|A0A4U1FAA4_MONMO
OG0001722	sp|Q01705|NOTC1_MOUSE	tr|A0A4U1FP54|A0A4U1FP54_MONMO
OG0001722	sp|O35516|NOTC2_MOUSE	tr|A0A4U1F3W3|A0A4U1F3W3_MONMO
OG0001723	sp|O70263|LNX1_MOUSE	tr|A0A4U1F8E4|A0A4U1F8E4_MONMO
OG0001723	sp|Q91XL2|LNX2_MOUSE	tr|A0A4U1FRF2|A0A4U1FRF2_MONMO
OG0001724	sp|Q6P069|SORCN_MOUSE	tr|A0A4U1FMZ3|A0A4U1FMZ3_MONMO
OG0001724	sp|Q8VC88|GRAN_MOUSE	tr|A0A4U1FI87|A0A4U1FI87_MONMO
OG0001725	sp|P35123|UBP4_MOUSE	tr|A0A4U1EMU6|A0A4U1EMU6_MONMO
OG0001725	sp|Q8R5H1|UBP15_MOUSE	tr|A0A4U1FN22|A0A4U1FN22_MONMO
OG0001726	sp|Q8K0H1|S47A1_MOUSE	tr|A0A4U1FSG7|A0A4U1FSG7_MONMO
OG0001726	sp|Q3V050|S47A2_MOUSE	tr|A0A4U1FS56|A0A4U1FS56_MONMO
OG0001727	sp|Q01097|NMDE2_MOUSE	tr|A0A4U1F0Y9|A0A4U1F0Y9_MONMO
OG0001727	sp|P35436|NMDE1_MOUSE	tr|A0A4U1EKJ8|A0A4U1EKJ8_MONMO
OG0001728	sp|Q8BH04|PCKGM_MOUSE	tr|A0A4U1ENU6|A0A4U1ENU6_MONMO
OG0001728	sp|Q9Z2V4|PCKGC_MOUSE	tr|A0A4V5P6A5|A0A4V5P6A5_MONMO
OG0001729	sp|Q9JKS4|LDB3_MOUSE	tr|A0A4U1EF07|A0A4U1EF07_MONMO
OG0001729	sp|Q8CI51|PDLI5_MOUSE	tr|A0A4U1ET20|A0A4U1ET20_MONMO
OG0001730	sp|Q32LZ8|PLPL5_MOUSE	tr|A0A4U1EYF1|A0A4U1EYF1_MONMO
OG0001730	sp|Q8BJ56|PLPL2_MOUSE	tr|A0A4U1EP79|A0A4U1EP79_MONMO
OG0001731	sp|Q99NE5|RIMS1_MOUSE	tr|A0A4U1F588|A0A4U1F588_MONMO
OG0001731	sp|Q9EQZ7|RIMS2_MOUSE	tr|A0A4V5P6K1|A0A4V5P6K1_MONMO
OG0001732	sp|O55106|STRN_MOUSE	tr|A0A4U1F5W8|A0A4U1F5W8_MONMO
OG0001732	sp|Q9ERG2|STRN3_MOUSE	tr|A0A4U1FJW7|A0A4U1FJW7_MONMO
OG0001733	sp|Q3U3E2|F117B_MOUSE	tr|A0A4U1FIG9|A0A4U1FIG9_MONMO
OG0001733	sp|Q8K3I9|GLCI1_MOUSE	tr|A0A4U1FD56|A0A4U1FD56_MONMO
OG0001734	sp|Q6PFR5|TRA2A_MOUSE	tr|A0A4U1FU42|A0A4U1FU42_MONMO
OG0001734	sp|P62996|TRA2B_MOUSE	tr|A0A4U1FI27|A0A4U1FI27_MONMO
OG0001735	sp|Q3B7Z2|OSBP1_MOUSE	tr|A0A4U1FME6|A0A4U1FME6_MONMO
OG0001735	sp|Q5QNQ6|OSBP2_MOUSE	tr|A0A4V5P8S1|A0A4V5P8S1_MONMO
OG0001736	sp|A7L9Z8|AT2C2_MOUSE	tr|A0A4U1F3X9|A0A4U1F3X9_MONMO
OG0001736	sp|Q80XR2|AT2C1_MOUSE	tr|A0A4U1EFW7|A0A4U1EFW7_MONMO
OG0001737	sp|Q9D1G1|RAB1B_MOUSE	tr|A0A4U1EJP7|A0A4U1EJP7_MONMO
OG0001737	sp|P62821|RAB1A_MOUSE	tr|A0A4V5PA63|A0A4V5PA63_MONMO
OG0001738	sp|P61372|ISL1_MOUSE	tr|A0A4U1FM66|A0A4U1FM66_MONMO
OG0001738	sp|Q9CXV0|ISL2_MOUSE	tr|A0A4U1EKP5|A0A4U1EKP5_MONMO
OG0001739	sp|Q91V51|TTLL1_MOUSE	tr|A0A4U1EY57|A0A4U1EY57_MONMO
OG0001739	sp|A4Q9E4|TTLL2_MOUSE	tr|A0A4U1ETF5|A0A4U1ETF5_MONMO
OG0001740	sp|Q921Y0|MOB1A_MOUSE	tr|A0A4U1F2T2|A0A4U1F2T2_MONMO
OG0001740	sp|Q8BPB0|MOB1B_MOUSE	tr|A0A4U1EH28|A0A4U1EH28_MONMO
OG0001741	sp|B2RX14|TUT4_MOUSE	tr|A0A4U1FIY8|A0A4U1FIY8_MONMO
OG0001741	sp|Q5BLK4|TUT7_MOUSE	tr|A0A4U1F292|A0A4U1F292_MONMO
OG0001742	sp|Q8VE92|RBM4B_MOUSE	tr|A0A4U1EJU2|A0A4U1EJU2_MONMO, tr|A0A4U1ES57|A0A4U1ES57_MONMO, tr|A0A4U1EK07|A0A4U1EK07_MONMO
OG0001743	sp|Q8CEI1|BOLA3_MOUSE	tr|A0A4U1F3R1|A0A4U1F3R1_MONMO, tr|A0A4U1ERG7|A0A4U1ERG7_MONMO, tr|A0A4U1EH97|A0A4U1EH97_MONMO
OG0001744	sp|P98191|CDS1_MOUSE	tr|A0A4U1FEL7|A0A4U1FEL7_MONMO
OG0001744	sp|Q99L43|CDS2_MOUSE	tr|A0A4U1ER82|A0A4U1ER82_MONMO
OG0001745	sp|Q6ZWQ7|SPCS3_MOUSE, sp|C0HK80|ARXS2_MOUSE, sp|C0HK79|ARXS1_MOUSE	tr|A0A4V5P708|A0A4V5P708_MONMO
OG0001746	sp|Q3TZA2|CDKL4_MOUSE	tr|A0A4U1EIL3|A0A4U1EIL3_MONMO
OG0001746	sp|Q8CEQ0|CDKL1_MOUSE	tr|A0A4U1EZI1|A0A4U1EZI1_MONMO
OG0001747	sp|O54890|ITB3_MOUSE	tr|A0A4U1FE75|A0A4U1FE75_MONMO
OG0001747	sp|O70309|ITB5_MOUSE	tr|A0A4U1F8C2|A0A4U1F8C2_MONMO
