Orthogroup	Mus_musculus	Colobus_angolensis_palliatus
OG0000006	tr|Q8VH11|Q8VH11_MOUSE	tr|A0A2K5HRM8|A0A2K5HRM8_COLAP
OG0000006	tr|Q8VH17|Q8VH17_MOUSE	tr|A0A2K5I8W9|A0A2K5I8W9_COLAP
OG0000006	tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH12|Q8VH12_MOUSE	tr|A0A2K5H6T8|A0A2K5H6T8_COLAP
OG0000006	tr|Q8VGZ6|Q8VGZ6_MOUSE	tr|A0A2K5IFR2|A0A2K5IFR2_COLAP
OG0000006	tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9Q554|E9Q554_MOUSE	tr|A0A2K5HQV9|A0A2K5HQV9_COLAP
OG0000008	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2K5I6V3|A0A2K5I6V3_COLAP
OG0000008	sp|Q80W31|ZN569_MOUSE	tr|A0A2K5JYV5|A0A2K5JYV5_COLAP, tr|A0A2K5HTV3|A0A2K5HTV3_COLAP
OG0000008	sp|E9PYI1|ZN568_MOUSE	tr|A0A2K5I2B1|A0A2K5I2B1_COLAP
OG0000008	sp|P17141|ZFP37_MOUSE	tr|A0A2K5JD09|A0A2K5JD09_COLAP, tr|A0A2K5K5A5|A0A2K5K5A5_COLAP, tr|A0A2K5HZN8|A0A2K5HZN8_COLAP, tr|A0A2K5IZZ8|A0A2K5IZZ8_COLAP, tr|A0A2K5H7N0|A0A2K5H7N0_COLAP, tr|A0A2K5JT60|A0A2K5JT60_COLAP, tr|A0A2K5HN92|A0A2K5HN92_COLAP
OG0000008	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2K5JHD5|A0A2K5JHD5_COLAP, tr|A0A2K5JTW9|A0A2K5JTW9_COLAP, tr|A0A2K5JM60|A0A2K5JM60_COLAP, tr|A0A2K5JA17|A0A2K5JA17_COLAP, tr|A0A2K5JMU4|A0A2K5JMU4_COLAP, tr|A0A2K5HWJ9|A0A2K5HWJ9_COLAP, tr|A0A2K5I067|A0A2K5I067_COLAP, tr|A0A2K5JIP3|A0A2K5JIP3_COLAP, tr|A0A2K5J4X7|A0A2K5J4X7_COLAP, tr|A0A2K5IL69|A0A2K5IL69_COLAP, tr|A0A2K5K4U3|A0A2K5K4U3_COLAP
OG0000008	sp|Q8BQC8|RBAK_MOUSE, sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K5HRJ9|A0A2K5HRJ9_COLAP, tr|A0A2K5H782|A0A2K5H782_COLAP
OG0000008	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2K5KGN4|A0A2K5KGN4_COLAP
OG0000008	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K5IGE2|A0A2K5IGE2_COLAP, tr|A0A2K5I3L5|A0A2K5I3L5_COLAP
OG0000008	tr|Q640N4|Q640N4_MOUSE	tr|A0A2K5J7W2|A0A2K5J7W2_COLAP, tr|A0A2K5IS58|A0A2K5IS58_COLAP, tr|A0A2K5J5B9|A0A2K5J5B9_COLAP, tr|A0A2K5K2N1|A0A2K5K2N1_COLAP, tr|A0A2K5H713|A0A2K5H713_COLAP, tr|A0A2K5HLC2|A0A2K5HLC2_COLAP, tr|A0A2K5IK82|A0A2K5IK82_COLAP
OG0000009	tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, sp|Q60890|OLF11_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE	tr|A0A2K5HE52|A0A2K5HE52_COLAP
OG0000011	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A2K5HJL6|A0A2K5HJL6_COLAP
OG0000011	tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE	tr|A0A2K5HPW9|A0A2K5HPW9_COLAP
OG0000015	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A2K5K9S1|A0A2K5K9S1_COLAP
OG0000015	tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|M9MMK4|M9MMK4_MOUSE	tr|A0A2K5J412|A0A2K5J412_COLAP
OG0000015	sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q5NC45|Q5NC45_MOUSE	tr|A0A2K5HAM3|A0A2K5HAM3_COLAP
OG0000016	tr|Q8R294|Q8R294_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE	tr|A0A2K5HQ90|A0A2K5HQ90_COLAP
