Orthogroup	Mus_musculus	Rattus_norvegicus
OG0000015	tr|Q8VFQ9|Q8VFQ9_MOUSE	tr|D4A1G9|D4A1G9_RAT
OG0000015	tr|Q7TR34|Q7TR34_MOUSE	tr|D3ZQB3|D3ZQB3_RAT
OG0000015	tr|A2AVC0|A2AVC0_MOUSE	tr|A0A8I6AEF0|A0A8I6AEF0_RAT
OG0000015	tr|Q8VFQ8|Q8VFQ8_MOUSE	tr|A0A8I6A3X7|A0A8I6A3X7_RAT, tr|A0A8I6G4F7|A0A8I6G4F7_RAT
OG0000015	tr|Q8VG97|Q8VG97_MOUSE	tr|A0A8I6A2Y5|A0A8I6A2Y5_RAT, tr|A0A8I6ARJ4|A0A8I6ARJ4_RAT
OG0000015	tr|Q8VEU8|Q8VEU8_MOUSE	tr|A0A8I6A1U9|A0A8I6A1U9_RAT
OG0000015	tr|Q7TR45|Q7TR45_MOUSE	tr|D3ZRJ4|D3ZRJ4_RAT
OG0000015	tr|Q7TR48|Q7TR48_MOUSE	tr|A0A0G2JZC5|A0A0G2JZC5_RAT
OG0000018	sp|O09167|RL21_MOUSE	tr|D3ZPN7|D3ZPN7_RAT, tr|D4A4G7|D4A4G7_RAT, tr|D4A7B4|D4A7B4_RAT, tr|D3Z9G3|D3Z9G3_RAT, sp|P20280|RL21_RAT, tr|F1LY43|F1LY43_RAT, tr|D3ZZH9|D3ZZH9_RAT, tr|D3ZPU6|D3ZPU6_RAT, tr|D4A4G9|D4A4G9_RAT, tr|D4A870|D4A870_RAT, tr|D3ZEK2|D3ZEK2_RAT, tr|F1LWH4|F1LWH4_RAT, tr|A0A0G2K267|A0A0G2K267_RAT, tr|D3ZCN5|D3ZCN5_RAT, tr|D3ZQ96|D3ZQ96_RAT, tr|D4A9T8|D4A9T8_RAT, tr|D3ZIM9|D3ZIM9_RAT, tr|D3ZKL4|D3ZKL4_RAT, tr|D3ZM68|D3ZM68_RAT, tr|M0RAP0|M0RAP0_RAT, tr|D3ZPH0|D3ZPH0_RAT, tr|M0R5R7|M0R5R7_RAT, tr|A0A8I5ZVN3|A0A8I5ZVN3_RAT, tr|D3ZPV5|D3ZPV5_RAT, tr|A0A8I6A5T5|A0A8I6A5T5_RAT, tr|D3ZLH3|D3ZLH3_RAT
OG0000020	tr|J3QML3|J3QML3_MOUSE, tr|A2CFD5|A2CFD5_MOUSE, tr|J3QN64|J3QN64_MOUSE, tr|A0A140T8Q5|A0A140T8Q5_MOUSE, tr|A0A0R4J2B9|A0A0R4J2B9_MOUSE, tr|J3QNQ5|J3QNQ5_MOUSE, tr|J3QMW9|J3QMW9_MOUSE, tr|A0A571BG86|A0A571BG86_MOUSE, tr|A2BHG6|A2BHG6_MOUSE, tr|J3QMS5|J3QMS5_MOUSE, sp|Q99N64|GMCL2_MOUSE, tr|A0A571BG45|A0A571BG45_MOUSE, tr|Q5FWA1|Q5FWA1_MOUSE, tr|A2BFZ7|A2BFZ7_MOUSE, tr|A0A087WSN2|A0A087WSN2_MOUSE, tr|L7MU83|L7MU83_MOUSE, tr|A2CGC2|A2CGC2_MOUSE, tr|A0A571BD55|A0A571BD55_MOUSE, tr|A2CG71|A2CG71_MOUSE, tr|L7MU81|L7MU81_MOUSE, tr|A2CG92|A2CG92_MOUSE, tr|A0A087WR44|A0A087WR44_MOUSE, tr|B8JKF6|B8JKF6_MOUSE, tr|Q1LZI5|Q1LZI5_MOUSE, tr|A0A0A0MQP3|A0A0A0MQP3_MOUSE	tr|A0A8J8Y4G1|A0A8J8Y4G1_RAT
OG0000022	tr|Q9D3U9|Q9D3U9_MOUSE	tr|A0A8I5YC84|A0A8I5YC84_RAT
OG0000022	tr|Q9EPF8|Q9EPF8_MOUSE	tr|D3ZEN9|D3ZEN9_RAT
OG0000022	tr|Q9EPF7|Q9EPF7_MOUSE	tr|D3ZRU1|D3ZRU1_RAT
OG0000022	tr|Q8VFM5|Q8VFM5_MOUSE	tr|D3ZFV2|D3ZFV2_RAT
OG0000022	tr|Q7TRN4|Q7TRN4_MOUSE	tr|A0A8I6ARP8|A0A8I6ARP8_RAT, tr|A0A8I6GJJ0|A0A8I6GJJ0_RAT
OG0000022	tr|Q8VFM3|Q8VFM3_MOUSE	tr|D3ZYS6|D3ZYS6_RAT
OG0000022	tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE	tr|D3ZT49|D3ZT49_RAT
OG0000022	tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE	tr|M0RDA9|M0RDA9_RAT, tr|A0A8I6ABK5|A0A8I6ABK5_RAT
OG0000022	tr|Q8VF89|Q8VF89_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE	tr|A0A8I6GKP4|A0A8I6GKP4_RAT
OG0000023	tr|Q8VF52|Q8VF52_MOUSE	tr|A0A0G2KA65|A0A0G2KA65_RAT
OG0000023	tr|A0A1L1SR98|A0A1L1SR98_MOUSE	tr|A0A0G2JU54|A0A0G2JU54_RAT
OG0000023	tr|A2AK60|A2AK60_MOUSE	tr|A0A8I6GK14|A0A8I6GK14_RAT
OG0000023	tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE	tr|A0A0G2K186|A0A0G2K186_RAT
OG0000023	tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR70|Q7TR70_MOUSE	tr|D3ZWG7|D3ZWG7_RAT
OG0000023	tr|Q8VGS7|Q8VGS7_MOUSE	tr|M0R4H2|M0R4H2_RAT
OG0000023	tr|Q8VGS0|Q8VGS0_MOUSE	tr|A0A8I6ALN6|A0A8I6ALN6_RAT
OG0000023	tr|Q8VGA6|Q8VGA6_MOUSE	tr|D4AD42|D4AD42_RAT
OG0000023	tr|Q7TR67|Q7TR67_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE	tr|A0A8I5ZYA7|A0A8I5ZYA7_RAT
OG0000027	tr|Q8C6S1|Q8C6S1_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|L7N277|L7N277_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|J3QN52|J3QN52_MOUSE	tr|A0A8I6ACJ9|A0A8I6ACJ9_RAT
OG0000031	tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE	tr|A0A8I6AAG7|A0A8I6AAG7_RAT
OG0000032	tr|E9Q6Z7|E9Q6Z7_MOUSE	tr|D3ZTG0|D3ZTG0_RAT, tr|D3ZGW5|D3ZGW5_RAT
OG0000032	tr|Q7TRC3|Q7TRC3_MOUSE	tr|A0A8I6GII7|A0A8I6GII7_RAT
OG0000032	tr|Q8VG53|Q8VG53_MOUSE	tr|D3ZI10|D3ZI10_RAT
OG0000037	tr|E9PX85|E9PX85_MOUSE	tr|A0A0G2K390|A0A0G2K390_RAT
OG0000037	sp|P10751|ZFP11_MOUSE	tr|A0A8I5ZUL1|A0A8I5ZUL1_RAT, tr|F1LYK4|F1LYK4_RAT, tr|M0RCQ9|M0RCQ9_RAT, tr|M0R8P8|M0R8P8_RAT, tr|A0A8I6A839|A0A8I6A839_RAT, tr|A0A8I6AK13|A0A8I6AK13_RAT, tr|A0A8I6GIN3|A0A8I6GIN3_RAT, tr|A0A8I6AP48|A0A8I6AP48_RAT, tr|A0A0G2JZD8|A0A0G2JZD8_RAT, tr|A0A8I6ARL4|A0A8I6ARL4_RAT, tr|A0A8I6AJD3|A0A8I6AJD3_RAT, tr|G3V9J4|G3V9J4_RAT, tr|B2RZ85|B2RZ85_RAT, tr|A0A8I6A9G3|A0A8I6A9G3_RAT, tr|A0A8I6AQK0|A0A8I6AQK0_RAT, tr|A0A8I5ZKT2|A0A8I5ZKT2_RAT, tr|A0A8I6ACZ8|A0A8I6ACZ8_RAT, tr|A0A0G2K5Y5|A0A0G2K5Y5_RAT
OG0000039	tr|Q8VGB9|Q8VGB9_MOUSE	tr|D4A222|D4A222_RAT, tr|M0R4Y8|M0R4Y8_RAT, tr|A0A8I6A6H5|A0A8I6A6H5_RAT, tr|D4ACJ6|D4ACJ6_RAT, tr|A0A8I5Y952|A0A8I5Y952_RAT, tr|A0A8I6AC95|A0A8I6AC95_RAT, tr|D3Z9V0|D3Z9V0_RAT, tr|A0A8I6A3E4|A0A8I6A3E4_RAT, tr|M0RAD6|M0RAD6_RAT, tr|F1M1N8|F1M1N8_RAT, tr|A0A8I6ARS5|A0A8I6ARS5_RAT, tr|Q4V8P3|Q4V8P3_RAT, tr|A0A8I5ZJ79|A0A8I5ZJ79_RAT, tr|A0A8I6GFV7|A0A8I6GFV7_RAT, tr|M0R9P0|M0R9P0_RAT, tr|F1M9D1|F1M9D1_RAT, sp|P23266|O1361_RAT, tr|A0A8I5ZKL9|A0A8I5ZKL9_RAT, tr|A0A8I6AS86|A0A8I6AS86_RAT, tr|A0A8I6G5G9|A0A8I6G5G9_RAT
OG0000050	tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|K7N608|K7N608_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R290|Q8R290_MOUSE	tr|Q5J3L1|Q5J3L1_RAT
OG0000051	sp|Q6P8W9|HMGB4_MOUSE	tr|D3ZMW8|D3ZMW8_RAT, tr|A0A8I6A440|A0A8I6A440_RAT, tr|A0A8I6A6V7|A0A8I6A6V7_RAT, tr|A0A0G2JW93|A0A0G2JW93_RAT, tr|A0A8I6ARD2|A0A8I6ARD2_RAT, tr|A0A8I5ZNP9|A0A8I5ZNP9_RAT, tr|A0A8I6A6Y4|A0A8I6A6Y4_RAT, tr|A0A8I6AIS0|A0A8I6AIS0_RAT, tr|A0A8I5ZRF7|A0A8I5ZRF7_RAT, tr|A0A8I5ZR54|A0A8I5ZR54_RAT, tr|A0A8I5ZLC5|A0A8I5ZLC5_RAT, tr|A0A8I6A255|A0A8I6A255_RAT, tr|A0A8I6AGB6|A0A8I6AGB6_RAT, tr|A0A0G2JVM8|A0A0G2JVM8_RAT, tr|A0A8I6A1Q7|A0A8I6A1Q7_RAT, tr|A0A8I6AFU5|A0A8I6AFU5_RAT, tr|A0A8I6GM07|A0A8I6GM07_RAT
OG0000052	sp|P12970|RL7A_MOUSE	tr|D3ZPL5|D3ZPL5_RAT, tr|D3ZU22|D3ZU22_RAT, sp|P62425|RL7A_RAT, tr|A0A8I6AMN7|A0A8I6AMN7_RAT, tr|D4A6B9|D4A6B9_RAT, tr|D3ZNA3|D3ZNA3_RAT, tr|M0R3M3|M0R3M3_RAT, tr|F1M1M2|F1M1M2_RAT, tr|D3ZJH5|D3ZJH5_RAT, tr|F1M2Q3|F1M2Q3_RAT, tr|F1M4C7|F1M4C7_RAT, tr|A0A8I6AUG1|A0A8I6AUG1_RAT, tr|A0A8I6B5R5|A0A8I6B5R5_RAT, tr|A0A0G2K6A5|A0A0G2K6A5_RAT, tr|A0A0G2JZT7|A0A0G2JZT7_RAT, tr|A0A8I5ZPC7|A0A8I5ZPC7_RAT, tr|D4A8X2|D4A8X2_RAT
OG0000056	tr|L7N210|L7N210_MOUSE	tr|A0A8I6APH9|A0A8I6APH9_RAT
OG0000056	sp|P34985|OL143_MOUSE	tr|A0A8I5ZNK0|A0A8I5ZNK0_RAT
OG0000056	tr|Q9EQB2|Q9EQB2_MOUSE	tr|A0A8I6A3K3|A0A8I6A3K3_RAT, tr|D3ZK06|D3ZK06_RAT
OG0000056	tr|Q7TRD6|Q7TRD6_MOUSE	tr|D4A209|D4A209_RAT
OG0000056	tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE	tr|M0RD19|M0RD19_RAT, tr|M0R9R7|M0R9R7_RAT
OG0000056	tr|E9Q843|E9Q843_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE	tr|A0A8I5ZL05|A0A8I5ZL05_RAT, tr|A0A8I6AWF9|A0A8I6AWF9_RAT
OG0000060	tr|G3X931|G3X931_MOUSE, tr|E9Q3F5|E9Q3F5_MOUSE, tr|E9Q067|E9Q067_MOUSE, tr|K7N6U5|K7N6U5_MOUSE, tr|L7N2B7|L7N2B7_MOUSE, tr|L7N2B3|L7N2B3_MOUSE, tr|K7N6T2|K7N6T2_MOUSE, tr|D3Z4N8|D3Z4N8_MOUSE, tr|D3Z7M3|D3Z7M3_MOUSE, tr|L7N2D8|L7N2D8_MOUSE, tr|G3XA45|G3XA45_MOUSE, tr|E9PW21|E9PW21_MOUSE, tr|K7N702|K7N702_MOUSE, tr|G5E8Z7|G5E8Z7_MOUSE, tr|A0A3B2W842|A0A3B2W842_MOUSE	tr|M0R4E7|M0R4E7_RAT
OG0000061	tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE	tr|A0A8I5ZUB9|A0A8I5ZUB9_RAT
OG0000061	tr|Q7TR49|Q7TR49_MOUSE	tr|M0RBB7|M0RBB7_RAT
OG0000061	tr|A2AVC7|A2AVC7_MOUSE	tr|M0RD58|M0RD58_RAT
OG0000061	tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE	tr|A0A0G2JUW6|A0A0G2JUW6_RAT, tr|A0A8I5ZZ57|A0A8I5ZZ57_RAT
OG0000061	tr|Q8VGT7|Q8VGT7_MOUSE	tr|A0A8I6AK30|A0A8I6AK30_RAT
OG0000061	tr|L7MTT1|L7MTT1_MOUSE	tr|D4A840|D4A840_RAT
OG0000063	tr|Q9JI43|Q9JI43_MOUSE, tr|Q2MDG0|Q2MDG0_MOUSE, tr|Q2MDG1|Q2MDG1_MOUSE, tr|Q9D3I8|Q9D3I8_MOUSE, tr|Q504P9|Q504P9_MOUSE, tr|Q2MDF7|Q2MDF7_MOUSE, tr|Q2MDF8|Q2MDF8_MOUSE, tr|K7N6P1|K7N6P1_MOUSE, tr|Q9D4Y3|Q9D4Y3_MOUSE, tr|A2AWL9|A2AWL9_MOUSE, tr|A2A447|A2A447_MOUSE, tr|A2ANE0|A2ANE0_MOUSE, tr|W4VSN9|W4VSN9_MOUSE, tr|L7MUB9|L7MUB9_MOUSE, tr|B1APN4|B1APN4_MOUSE	tr|Q4TU78|Q4TU78_RAT
OG0000064	tr|Q3TZL0|Q3TZL0_MOUSE	tr|A0A8I5ZLB8|A0A8I5ZLB8_RAT
OG0000064	sp|P10404|ENV1_MOUSE, sp|P11370|ENV2_MOUSE	tr|A0A8I6AGC5|A0A8I6AGC5_RAT, tr|A0A8I6GIR8|A0A8I6GIR8_RAT, tr|A0A8I6ATD1|A0A8I6ATD1_RAT, tr|A0A8I5ZXL8|A0A8I5ZXL8_RAT
OG0000064	tr|B2RQY6|B2RQY6_MOUSE	tr|A0A8I6A1I6|A0A8I6A1I6_RAT, tr|A0A8I6AMY3|A0A8I6AMY3_RAT, tr|A0A8I5ZXG4|A0A8I5ZXG4_RAT, tr|A0A8I6AFV5|A0A8I6AFV5_RAT, tr|A0A8I6AAW6|A0A8I6AAW6_RAT, tr|A0A8I5ZKM5|A0A8I5ZKM5_RAT
OG0000069	tr|Q8BI38|Q8BI38_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE	tr|A0A0G2K6Z0|A0A0G2K6Z0_RAT
OG0000072	sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y09|Q91Y09_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|O88689|PCDA4_MOUSE	sp|Q767I8|PCDA4_RAT
OG0000074	tr|Q3V0P3|Q3V0P3_MOUSE	tr|A0A8I5ZV48|A0A8I5ZV48_RAT, tr|A0A0G2K6E6|A0A0G2K6E6_RAT, tr|A0A8I5Y886|A0A8I5Y886_RAT
