Orthogroup	Mus_musculus	Tupaia_chinensis
OG0001240	sp|B9EJV3|GRB1L_MOUSE	tr|L9KLZ6|L9KLZ6_TUPCH
OG0001240	sp|Q3UHK3|GREB1_MOUSE	tr|L9LAS1|L9LAS1_TUPCH
OG0001241	sp|Q7TNP2|2AAB_MOUSE	tr|L9KP38|L9KP38_TUPCH
OG0001241	sp|Q76MZ3|2AAA_MOUSE	tr|L9JF00|L9JF00_TUPCH
OG0001242	sp|Q8BPU7|ELMO1_MOUSE	tr|L9L9M0|L9L9M0_TUPCH
OG0001242	sp|Q8BHL5|ELMO2_MOUSE	tr|L9JGR7|L9JGR7_TUPCH
OG0001243	sp|Q8BTV1|TUSC3_MOUSE	tr|L9KSW2|L9KSW2_TUPCH
OG0001243	sp|Q9CQY5|MAGT1_MOUSE	tr|L9KSI1|L9KSI1_TUPCH
OG0001244	sp|Q80X59|TMC5B_MOUSE	tr|L9L9M5|L9L9M5_TUPCH
OG0001244	sp|Q9D9D5|TMC5A_MOUSE	tr|L9L8E6|L9L8E6_TUPCH
OG0001245	sp|P61092|SIA1A_MOUSE	tr|L9KAB0|L9KAB0_TUPCH
OG0001245	sp|Q06986|SIAH2_MOUSE	tr|L9KQD8|L9KQD8_TUPCH
OG0001246	sp|Q3TCH7|CUL4A_MOUSE	tr|L9JAY1|L9JAY1_TUPCH
OG0001246	sp|A2A432|CUL4B_MOUSE	tr|L9L637|L9L637_TUPCH
OG0001247	sp|Q3UHJ8|RNF44_MOUSE	tr|L9JG56|L9JG56_TUPCH
OG0001247	sp|Q8BI21|RNF38_MOUSE	tr|L9L3V5|L9L3V5_TUPCH
OG0001248	sp|Q66JT1|LRC8E_MOUSE	tr|L8Y6K2|L8Y6K2_TUPCH
OG0001248	sp|Q8R502|LRC8C_MOUSE	tr|L9LCK8|L9LCK8_TUPCH
OG0001249	sp|Q8R0Y6|AL1L1_MOUSE	tr|L8Y1I0|L8Y1I0_TUPCH
OG0001249	sp|Q8K009|AL1L2_MOUSE	tr|L9LD01|L9LD01_TUPCH
OG0001250	sp|Q99JR1|SFXN1_MOUSE	tr|L9JCE7|L9JCE7_TUPCH
OG0001250	sp|Q91V61|SFXN3_MOUSE	tr|L8Y5C6|L8Y5C6_TUPCH
OG0001251	sp|Q91ZD4|VANG2_MOUSE	tr|L8Y2H4|L8Y2H4_TUPCH
OG0001251	sp|Q80Z96|VANG1_MOUSE	tr|L8YG77|L8YG77_TUPCH
OG0001252	sp|Q91ZX7|LRP1_MOUSE, sp|Q9JI18|LRP1B_MOUSE, tr|A0A140LJC7|A0A140LJC7_MOUSE	tr|L8Y2I0|L8Y2I0_TUPCH
OG0001253	sp|O88448|KLC2_MOUSE	tr|L8Y053|L8Y053_TUPCH
OG0001253	sp|P62821|RAB1A_MOUSE	tr|L8Y3D9|L8Y3D9_TUPCH
OG0001254	sp|Q9ER47|KCNH7_MOUSE	tr|L9J945|L9J945_TUPCH
OG0001254	tr|Q32ME0|Q32ME0_MOUSE	tr|L9KX81|L9KX81_TUPCH
OG0001255	sp|Q05512|MARK2_MOUSE, sp|Q8VHJ5|MARK1_MOUSE, sp|Q03141|MARK3_MOUSE	tr|L9KQS6|L9KQS6_TUPCH
OG0001256	sp|Q9D7R7|PEPC_MOUSE	tr|L9KTD9|L9KTD9_TUPCH, tr|L9KR52|L9KR52_TUPCH, tr|L8Y1V8|L8Y1V8_TUPCH
OG0001257	sp|Q505D9|TRI67_MOUSE	tr|L9L430|L9L430_TUPCH
OG0001257	sp|Q8C7M3|TRIM9_MOUSE	tr|L9J941|L9J941_TUPCH
OG0001258	sp|Q60823|AKT2_MOUSE, sp|P31750|AKT1_MOUSE, sp|Q9WUA6|AKT3_MOUSE	tr|L9LEV5|L9LEV5_TUPCH
OG0001259	sp|Q80Z64|NANOG_MOUSE	tr|L9KXT4|L9KXT4_TUPCH, tr|L9KW14|L9KW14_TUPCH, tr|L8Y5G7|L8Y5G7_TUPCH
OG0001260	sp|Q9QXE7|TBL1X_MOUSE	tr|L9KUZ5|L9KUZ5_TUPCH
OG0001260	sp|Q8BHJ5|TBL1R_MOUSE	tr|L9KG89|L9KG89_TUPCH
OG0001261	sp|Q8C0S4|TT21A_MOUSE	tr|L8YD46|L8YD46_TUPCH
OG0001261	sp|Q0HA38|TT21B_MOUSE	tr|L9KHZ2|L9KHZ2_TUPCH
OG0001262	sp|Q9CXP4|RHG08_MOUSE	tr|L9L4T1|L9L4T1_TUPCH
OG0001262	sp|Q5FWK3|RHG01_MOUSE	tr|L9JE10|L9JE10_TUPCH
OG0001263	sp|Q9DAW9|CNN3_MOUSE	tr|L9LB02|L9LB02_TUPCH, tr|L8YC59|L8YC59_TUPCH, tr|L9KGS1|L9KGS1_TUPCH
OG0001264	sp|Q06180|PTN2_MOUSE	tr|L8YEF0|L8YEF0_TUPCH
OG0001264	sp|P35821|PTN1_MOUSE	tr|L9L9X6|L9L9X6_TUPCH
OG0001265	sp|Q05769|PGH2_MOUSE	tr|L8YFU6|L8YFU6_TUPCH
OG0001265	sp|P22437|PGH1_MOUSE	tr|L9KPD9|L9KPD9_TUPCH
OG0001266	sp|Q6PAM1|TXLNA_MOUSE	tr|L9JDE3|L9JDE3_TUPCH
OG0001266	sp|Q8BHN1|TXLNG_MOUSE	tr|L9JDR2|L9JDR2_TUPCH
OG0001267	tr|G3X8R7|G3X8R7_MOUSE, tr|Q3UZY6|Q3UZY6_MOUSE, sp|Q8BV42|ZN786_MOUSE	tr|L9LD25|L9LD25_TUPCH
OG0001268	sp|Q8BST6|PELI2_MOUSE	tr|L9L278|L9L278_TUPCH
OG0001268	sp|Q8C669|PELI1_MOUSE	tr|L9KK31|L9KK31_TUPCH
OG0001269	sp|Q8CHE4|PHLP1_MOUSE	tr|L9L9D4|L9L9D4_TUPCH
OG0001269	sp|Q8BXA7|PHLP2_MOUSE	tr|L9KJZ4|L9KJZ4_TUPCH
OG0001270	sp|Q8VCV1|AB17C_MOUSE, sp|Q99JW1|AB17A_MOUSE, sp|Q7M759|AB17B_MOUSE	tr|L9L6T4|L9L6T4_TUPCH
OG0001271	sp|P28322|ETV4_MOUSE, sp|Q9CXC9|ETV5_MOUSE, sp|P41164|ETV1_MOUSE	tr|L8Y4P8|L8Y4P8_TUPCH
OG0001272	sp|Q03526|ITK_MOUSE, sp|P97504|BMX_MOUSE, sp|P35991|BTK_MOUSE	tr|L8Y6S2|L8Y6S2_TUPCH
OG0001273	sp|Q8VI59|PCX3_MOUSE	tr|L9KRM3|L9KRM3_TUPCH
OG0001273	sp|Q5DU28|PCX2_MOUSE	tr|L9KZC6|L9KZC6_TUPCH
OG0001274	sp|Q922G2|FA76A_MOUSE	tr|L8Y804|L8Y804_TUPCH
OG0001274	sp|Q80XP8|FA76B_MOUSE	tr|L8YGH7|L8YGH7_TUPCH
OG0001275	sp|Q9D394|RUFY3_MOUSE, sp|Q8BIJ7|RUFY1_MOUSE, sp|Q8R4C2|RUFY2_MOUSE	tr|L9L6C6|L9L6C6_TUPCH
OG0001276	sp|P62810|WFD18_MOUSE, sp|Q9DAU7|WFDC2_MOUSE, tr|Q5SSJ1|Q5SSJ1_MOUSE	tr|L9KG72|L9KG72_TUPCH
OG0001277	sp|Q99MJ9|DDX50_MOUSE, sp|Q9JIK5|DDX21_MOUSE	tr|L9LC98|L9LC98_TUPCH, tr|L9KSH1|L9KSH1_TUPCH
OG0001278	sp|O55033|NCK2_MOUSE	tr|L8Y5T7|L8Y5T7_TUPCH
OG0001278	sp|Q99M51|NCK1_MOUSE	tr|L8Y302|L8Y302_TUPCH
OG0001279	sp|Q8BG15|CTSL2_MOUSE, sp|P58465|CTDSL_MOUSE, sp|P58466|CTDS1_MOUSE	tr|L9JF09|L9JF09_TUPCH
OG0001280	sp|Q3TWN3|CNNM2_MOUSE, sp|Q32NY4|CNNM3_MOUSE, sp|Q69ZF7|CNNM4_MOUSE	tr|L8Y542|L8Y542_TUPCH
OG0001281	sp|Q8BK35|NOP53_MOUSE	tr|L9JEY7|L9JEY7_TUPCH, tr|L9LBT5|L9LBT5_TUPCH, tr|L9L8Q9|L9L8Q9_TUPCH
OG0001282	sp|O54714|PIAS3_MOUSE	tr|L9JGN3|L9JGN3_TUPCH
OG0001282	sp|O88907|PIAS1_MOUSE	tr|L9KHG8|L9KHG8_TUPCH
OG0001283	sp|P06801|MAOX_MOUSE	tr|L9L5X7|L9L5X7_TUPCH
OG0001283	sp|Q8BMF3|MAON_MOUSE	tr|L9L162|L9L162_TUPCH
OG0001284	sp|Q9CU65|ZMYM2_MOUSE	tr|L9KXV5|L9KXV5_TUPCH
OG0001284	sp|Q3U2E2|ZMYM5_MOUSE	tr|L9KX94|L9KX94_TUPCH
OG0001286	sp|Q9CQW3|PROZ_MOUSE, sp|O88947|FA10_MOUSE, sp|P16294|FA9_MOUSE	tr|L9J9G2|L9J9G2_TUPCH
OG0001287	sp|Q6PEE3|RIR2B_MOUSE	tr|L9L049|L9L049_TUPCH
OG0001287	sp|P11157|RIR2_MOUSE	tr|L9LAE0|L9LAE0_TUPCH
OG0001288	sp|P59672|ANS1A_MOUSE	tr|L9L2Y8|L9L2Y8_TUPCH
OG0001288	sp|Q8BIZ1|ANS1B_MOUSE	tr|L9L9D5|L9L9D5_TUPCH
OG0001289	sp|Q61313|AP2B_MOUSE	tr|L9KRU3|L9KRU3_TUPCH
OG0001289	sp|Q6VUP9|AP2E_MOUSE	tr|L9KT87|L9KT87_TUPCH
OG0001290	sp|Q9QYK4|H6ST3_MOUSE, sp|Q80UW0|H6ST2_MOUSE, sp|Q9QYK5|H6ST1_MOUSE	tr|L9KM22|L9KM22_TUPCH
OG0001291	sp|P62484|ABI2_MOUSE	tr|L9KJ21|L9KJ21_TUPCH
OG0001291	sp|Q8BKE6|CP20A_MOUSE	tr|L9JFS7|L9JFS7_TUPCH
OG0001292	sp|Q9CYP7|SESN3_MOUSE, sp|P58043|SESN2_MOUSE, sp|P58006|SESN1_MOUSE	tr|L9JHP8|L9JHP8_TUPCH
OG0001293	tr|E9Q842|E9Q842_MOUSE	tr|L9KXC3|L9KXC3_TUPCH
OG0001293	sp|Q80TN7|NAV3_MOUSE	tr|L9L6B8|L9L6B8_TUPCH
OG0001294	sp|P26049|GBRA3_MOUSE	tr|L8Y7A1|L8Y7A1_TUPCH
OG0001294	sp|Q8BHJ7|GBRA5_MOUSE	tr|L8Y858|L8Y858_TUPCH
OG0001295	sp|Q8CIQ7|DOCK3_MOUSE	tr|L8Y7R7|L8Y7R7_TUPCH
OG0001295	sp|P59764|DOCK4_MOUSE	tr|L9KR27|L9KR27_TUPCH
OG0001296	sp|Q3U133|ZN746_MOUSE	tr|L9LG32|L9LG32_TUPCH, tr|L9LDQ5|L9LDQ5_TUPCH, tr|L9LCQ4|L9LCQ4_TUPCH
OG0001297	sp|O88207|CO5A1_MOUSE	tr|L8YB64|L8YB64_TUPCH
OG0001297	sp|Q61245|COBA1_MOUSE	tr|L8YAF0|L8YAF0_TUPCH
OG0001298	sp|Q80ZF8|AGRB3_MOUSE	tr|L9JB81|L9JB81_TUPCH
OG0001298	sp|Q8CGM1|AGRB2_MOUSE	tr|L9JE58|L9JE58_TUPCH
OG0001299	sp|Q8CGY6|UN45B_MOUSE	tr|L9KG67|L9KG67_TUPCH
OG0001299	sp|Q99KD5|UN45A_MOUSE	tr|L9KIR4|L9KIR4_TUPCH
OG0001300	sp|O70325|GPX4_MOUSE, sp|Q99LJ6|GPX7_MOUSE, sp|Q9D7B7|GPX8_MOUSE	tr|L8XZJ3|L8XZJ3_TUPCH
OG0001301	sp|Q9D5R2|WDR20_MOUSE, tr|Q3UWE6|Q3UWE6_MOUSE, sp|Q08274|DMWD_MOUSE	tr|L9L902|L9L902_TUPCH
OG0001302	tr|A2AF73|A2AF73_MOUSE	tr|L8YA98|L8YA98_TUPCH
OG0001302	sp|A2ARZ3|FSIP2_MOUSE	tr|L9LA75|L9LA75_TUPCH
OG0001303	sp|Q61194|P3C2A_MOUSE	tr|L9L771|L9L771_TUPCH
OG0001303	sp|O70167|P3C2G_MOUSE	tr|L8Y4Q1|L8Y4Q1_TUPCH
OG0001304	sp|Q64511|TOP2B_MOUSE	tr|L9KIJ1|L9KIJ1_TUPCH
OG0001304	sp|Q01320|TOP2A_MOUSE	tr|L9JX05|L9JX05_TUPCH
OG0001305	sp|Q64430|ATP7A_MOUSE	tr|L9KXK3|L9KXK3_TUPCH
OG0001305	sp|Q64446|ATP7B_MOUSE	tr|L9KGX2|L9KGX2_TUPCH
OG0001306	sp|Q8C9H6|STRP2_MOUSE	tr|L9JCH0|L9JCH0_TUPCH
OG0001306	sp|Q8C079|STRP1_MOUSE	tr|L9KQX2|L9KQX2_TUPCH
OG0001307	sp|Q8CFG8|CS1B_MOUSE, sp|Q8CG14|CS1A_MOUSE	tr|L8Y457|L8Y457_TUPCH, tr|L8Y3W5|L8Y3W5_TUPCH
OG0001308	sp|Q8K2C8|GPAT4_MOUSE	tr|L9L9T7|L9L9T7_TUPCH
OG0001308	sp|Q8C0N2|GPAT3_MOUSE	tr|L9KN29|L9KN29_TUPCH
OG0001309	sp|Q9JHD2|KAT2A_MOUSE	tr|L9JWK3|L9JWK3_TUPCH
OG0001309	sp|Q9JHD1|KAT2B_MOUSE	tr|L8YCB2|L8YCB2_TUPCH
OG0001310	sp|Q6PCL9|PAPOG_MOUSE, sp|Q61183|PAPOA_MOUSE, sp|Q9WVP6|PAPOB_MOUSE	tr|L9KKQ6|L9KKQ6_TUPCH
OG0001311	sp|P23979|5HT3A_MOUSE	tr|L9KMT9|L9KMT9_TUPCH, tr|L9KZA2|L9KZA2_TUPCH, tr|L9J8R0|L9J8R0_TUPCH
OG0001312	sp|P24383|WNT7A_MOUSE	tr|L9KA31|L9KA31_TUPCH
OG0001312	sp|P28047|WNT7B_MOUSE	tr|L8YC45|L8YC45_TUPCH
OG0001313	sp|Q8R3Q2|PP6R2_MOUSE	tr|L9JIT0|L9JIT0_TUPCH
OG0001313	sp|Q922D4|PP6R3_MOUSE	tr|L8Y396|L8Y396_TUPCH
OG0001314	sp|Q9QY06|MYO9B_MOUSE	tr|L9KW81|L9KW81_TUPCH
OG0001314	sp|Q8C170|MYO9A_MOUSE	tr|L8Y4A7|L8Y4A7_TUPCH
OG0001315	sp|P08032|SPTA1_MOUSE	tr|L9JB99|L9JB99_TUPCH
OG0001315	sp|P16546|SPTN1_MOUSE	tr|L9KHQ1|L9KHQ1_TUPCH
OG0001316	sp|Q80XI6|M3K11_MOUSE	tr|L8Y7G1|L8Y7G1_TUPCH, tr|L9KZC1|L9KZC1_TUPCH, tr|L9KQY5|L9KQY5_TUPCH
OG0001317	sp|Q8JZW4|CPNE5_MOUSE, sp|Q9DC53|CPNE8_MOUSE, sp|Q1RLL3|CPNE9_MOUSE	tr|L9KTH8|L9KTH8_TUPCH
OG0001318	sp|Q91X83|METK1_MOUSE	tr|L8Y921|L8Y921_TUPCH
OG0001318	sp|Q3THS6|METK2_MOUSE	tr|L9KSZ4|L9KSZ4_TUPCH
OG0001319	sp|Q9D722|OSER1_MOUSE	tr|L9JWG1|L9JWG1_TUPCH, tr|L9L5V6|L9L5V6_TUPCH, tr|L9L052|L9L052_TUPCH
OG0001320	tr|E9Q549|E9Q549_MOUSE	tr|L9LAU4|L9LAU4_TUPCH, tr|L9L9M2|L9L9M2_TUPCH, tr|L9LA06|L9LA06_TUPCH
OG0001321	sp|Q9WTZ1|RBX2_MOUSE, tr|D3Z497|D3Z497_MOUSE, sp|P62878|RBX1_MOUSE	tr|L8YBT0|L8YBT0_TUPCH
OG0001322	sp|Q61091|FZD8_MOUSE	tr|L9JCZ2|L9JCZ2_TUPCH
OG0001322	sp|Q9EQD0|FZD5_MOUSE	tr|L9LAM1|L9LAM1_TUPCH
OG0001323	sp|P0CL69|ZN703_MOUSE	tr|L8Y463|L8Y463_TUPCH
OG0001323	sp|Q7TMA2|ZN503_MOUSE	tr|L9JB45|L9JB45_TUPCH
OG0001324	sp|Q9CWD0|GTSFL_MOUSE, sp|Q9DAN6|GTSF1_MOUSE, tr|Q80Y74|Q80Y74_MOUSE	tr|L9L060|L9L060_TUPCH
OG0001325	sp|Q8VBT0|TMX1_MOUSE	tr|L9JDI9|L9JDI9_TUPCH
OG0001325	sp|Q8C0L0|TMX4_MOUSE	tr|L9JB72|L9JB72_TUPCH
OG0001326	sp|Q8BWL5|RBMS3_MOUSE, sp|Q91W59|RBMS1_MOUSE, sp|Q8VC70|RBMS2_MOUSE	tr|L8YCH2|L8YCH2_TUPCH
OG0001327	sp|P62334|PRS10_MOUSE	tr|L9KXN0|L9KXN0_TUPCH, tr|L9JSI7|L9JSI7_TUPCH, tr|L9L2R8|L9L2R8_TUPCH
OG0001328	sp|P58021|TM9S2_MOUSE, tr|A2AFI6|A2AFI6_MOUSE, sp|Q8BH24|TM9S4_MOUSE	tr|L9L9F6|L9L9F6_TUPCH
OG0001329	tr|Q9D262|Q9D262_MOUSE, tr|G5E8W5|G5E8W5_MOUSE	tr|L9LAW2|L9LAW2_TUPCH, tr|L9LC14|L9LC14_TUPCH
OG0001330	sp|Q9JI10|STK3_MOUSE	tr|L9JA10|L9JA10_TUPCH
OG0001330	sp|Q9JI11|STK4_MOUSE	tr|L9KW94|L9KW94_TUPCH
OG0001331	sp|Q8R003|MBNL3_MOUSE, sp|Q9JKP5|MBNL1_MOUSE, sp|Q8C181|MBNL2_MOUSE	tr|L9LA48|L9LA48_TUPCH
OG0001332	sp|Q9WVG7|OSR1_MOUSE	tr|L8Y3V1|L8Y3V1_TUPCH
OG0001332	sp|Q91ZD1|OSR2_MOUSE	tr|L8YHB7|L8YHB7_TUPCH
OG0001333	sp|Q63844|MK03_MOUSE	tr|L9KUJ4|L9KUJ4_TUPCH
OG0001333	sp|P63085|MK01_MOUSE	tr|L9LC06|L9LC06_TUPCH
OG0001334	sp|Q64279|HAND1_MOUSE	tr|L8Y7S5|L8Y7S5_TUPCH
OG0001334	sp|Q61039|HAND2_MOUSE	tr|L9KY53|L9KY53_TUPCH
OG0001335	sp|Q8VEM8|MPCP_MOUSE	tr|L9L9L2|L9L9L2_TUPCH, tr|L9KR67|L9KR67_TUPCH, tr|L9L8T4|L9L8T4_TUPCH
OG0001336	sp|Q9CZ13|QCR1_MOUSE	tr|L8Y3N5|L8Y3N5_TUPCH
OG0001336	sp|Q9CXT8|MPPB_MOUSE	tr|L9LAX2|L9LAX2_TUPCH
OG0001337	sp|Q9JKC8|AP3M1_MOUSE	tr|L8Y175|L8Y175_TUPCH
OG0001337	sp|Q8R2R9|AP3M2_MOUSE	tr|L9LCF0|L9LCF0_TUPCH
OG0001338	sp|P60335|PCBP1_MOUSE	tr|L9KMV5|L9KMV5_TUPCH
OG0001338	sp|Q61990|PCBP2_MOUSE	tr|L8Y259|L8Y259_TUPCH
OG0001339	sp|Q5DTZ6|RN150_MOUSE	tr|L9L673|L9L673_TUPCH
OG0001339	sp|Q3U2C5|RN149_MOUSE	tr|L8Y5P0|L8Y5P0_TUPCH
OG0001340	sp|Q8CHG7|RPGF2_MOUSE	tr|L8YCM6|L8YCM6_TUPCH
OG0001340	tr|Q5NCJ1|Q5NCJ1_MOUSE	tr|L8Y8P8|L8Y8P8_TUPCH
OG0001341	tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE	tr|L9KX95|L9KX95_TUPCH
OG0001342	sp|Q9ET80|JPH1_MOUSE	tr|L9LE31|L9LE31_TUPCH
OG0001342	sp|Q9ET78|JPH2_MOUSE	tr|L9KVP7|L9KVP7_TUPCH
OG0001343	sp|Q80UP3|DGKZ_MOUSE	tr|L9JEV0|L9JEV0_TUPCH
OG0001343	sp|D3YWQ0|DGKI_MOUSE	tr|L9L225|L9L225_TUPCH
OG0001344	sp|Q99L43|CDS2_MOUSE	tr|L8YAY1|L8YAY1_TUPCH
OG0001344	sp|P98191|CDS1_MOUSE	tr|L9L6F6|L9L6F6_TUPCH
OG0001345	sp|Q5STT6|GAR3_MOUSE	tr|L8Y794|L8Y794_TUPCH
OG0001345	tr|B7XG49|B7XG49_MOUSE	tr|L8YEW9|L8YEW9_TUPCH
OG0001346	tr|Q8VG11|Q8VG11_MOUSE, tr|Q7TQQ3|Q7TQQ3_MOUSE	tr|L9J9B3|L9J9B3_TUPCH, tr|L8YDW5|L8YDW5_TUPCH
OG0001347	sp|Q91VX2|UBAP2_MOUSE	tr|L9L5K9|L9L5K9_TUPCH
OG0001347	sp|Q80X50|UBP2L_MOUSE	tr|L9JAC6|L9JAC6_TUPCH
OG0001348	sp|Q9Z183|PADI4_MOUSE, sp|Q8K3V4|PADI6_MOUSE, sp|Q08642|PADI2_MOUSE	tr|L9L5A4|L9L5A4_TUPCH
OG0001349	sp|Q8BXN9|TM87A_MOUSE, sp|Q8BKU8|TM87B_MOUSE	tr|L9JCP9|L9JCP9_TUPCH, tr|L9JMF7|L9JMF7_TUPCH
OG0001350	sp|O55047|TLK2_MOUSE	tr|L9KXU6|L9KXU6_TUPCH
OG0001350	sp|Q8C0V0|TLK1_MOUSE	tr|L9L9J0|L9L9J0_TUPCH
OG0001351	sp|Q8VE92|RBM4B_MOUSE	tr|L8Y3C3|L8Y3C3_TUPCH
OG0001351	sp|Q8C7Q4|RBM4_MOUSE	tr|L9KLB0|L9KLB0_TUPCH
OG0001352	tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE	tr|L9JCP2|L9JCP2_TUPCH, tr|L9KMN8|L9KMN8_TUPCH
OG0001353	sp|Q68FF6|GIT1_MOUSE	tr|L8YAL3|L8YAL3_TUPCH
OG0001353	sp|Q9JLQ2|GIT2_MOUSE	tr|L9KUI5|L9KUI5_TUPCH
OG0001354	sp|Q3V3R1|C1TM_MOUSE	tr|L9LCU1|L9LCU1_TUPCH
OG0001354	sp|Q922D8|C1TC_MOUSE	tr|L9LAQ5|L9LAQ5_TUPCH
OG0001355	sp|Q5Y5T2|ZDH18_MOUSE, sp|Q8BQQ1|ZDH14_MOUSE, sp|P59268|ZDHC9_MOUSE	tr|L9JBL0|L9JBL0_TUPCH
OG0001356	sp|Q6P7W2|SHKB1_MOUSE	tr|L9LEW5|L9LEW5_TUPCH
OG0001356	sp|Q8BFX3|KCTD3_MOUSE	tr|L9K1Z5|L9K1Z5_TUPCH
OG0001357	sp|Q99L20|GSTT3_MOUSE	tr|L9JKE7|L9JKE7_TUPCH, tr|L9LFI5|L9LFI5_TUPCH, tr|L9LC20|L9LC20_TUPCH
OG0001358	tr|Q8C632|Q8C632_MOUSE, sp|P60904|DNJC5_MOUSE, sp|Q9CQ94|DNJ5B_MOUSE	tr|L9KU27|L9KU27_TUPCH
OG0001359	sp|P62812|GBRA1_MOUSE, sp|Q9D6F4|GBRA4_MOUSE, sp|P26048|GBRA2_MOUSE	tr|L8Y7P6|L8Y7P6_TUPCH
OG0001360	sp|Q03350|TSP2_MOUSE	tr|L9L2V0|L9L2V0_TUPCH
OG0001360	sp|P35441|TSP1_MOUSE	tr|L9JGL6|L9JGL6_TUPCH
OG0001361	sp|Q9D662|SC23B_MOUSE	tr|L8Y9B9|L8Y9B9_TUPCH
OG0001361	sp|Q01405|SC23A_MOUSE	tr|L9KJN4|L9KJN4_TUPCH
OG0001362	sp|Q9R0G6|COMP_MOUSE	tr|L9KXD3|L9KXD3_TUPCH
OG0001362	sp|Q9Z1T2|TSP4_MOUSE	tr|L9L4Z8|L9L4Z8_TUPCH
OG0001363	tr|Q8C5D3|Q8C5D3_MOUSE, tr|F6UWZ4|F6UWZ4_MOUSE, tr|E9Q048|E9Q048_MOUSE	tr|L9L209|L9L209_TUPCH
OG0001364	sp|Q62181|SEM3C_MOUSE	tr|L9KH29|L9KH29_TUPCH
OG0001364	sp|O88632|SEM3F_MOUSE	tr|L8Y5J0|L8Y5J0_TUPCH
OG0001365	sp|Q6PDK8|DTX4_MOUSE	tr|L9L0H3|L9L0H3_TUPCH
OG0001365	sp|Q61010|DTX1_MOUSE	tr|L9KLU9|L9KLU9_TUPCH
OG0001366	sp|Q62431|ARI3A_MOUSE	tr|L8Y4K8|L8Y4K8_TUPCH
OG0001366	sp|Q9Z1N7|ARI3B_MOUSE	tr|L8YEA7|L8YEA7_TUPCH
OG0001367	sp|Q8BNE1|TCAF1_MOUSE, sp|Q6QR59|TCAF3_MOUSE, sp|Q921K8|TCAF2_MOUSE	tr|L9JAE1|L9JAE1_TUPCH
OG0001368	sp|Q8VD75|HIP1_MOUSE	tr|L9KF35|L9KF35_TUPCH
OG0001368	sp|Q9JKY5|HIP1R_MOUSE	tr|L9KRW2|L9KRW2_TUPCH
OG0001369	sp|Q9WV34|MPP2_MOUSE	tr|L8Y470|L8Y470_TUPCH
OG0001369	sp|Q9JLB0|PALS2_MOUSE	tr|L8YBL1|L8YBL1_TUPCH
OG0001370	sp|A2AF53|T185A_MOUSE	tr|L8Y3U9|L8Y3U9_TUPCH
OG0001370	sp|Q8R3R5|T185B_MOUSE	tr|L8Y5F2|L8Y5F2_TUPCH
OG0001371	sp|P28650|PURA1_MOUSE	tr|L9J9D9|L9J9D9_TUPCH
OG0001371	sp|P46664|PURA2_MOUSE	tr|L9JGV8|L9JGV8_TUPCH
OG0001372	sp|Q3UYH7|ARBK2_MOUSE	tr|L9KUW0|L9KUW0_TUPCH
OG0001372	sp|Q99MK8|ARBK1_MOUSE	tr|L8Y037|L8Y037_TUPCH
OG0001373	sp|Q5DTJ9|MYPN_MOUSE, sp|Q9JIF9|MYOTI_MOUSE, sp|Q9ET54|PALLD_MOUSE	tr|L9KST8|L9KST8_TUPCH
OG0001374	sp|Q8BZF8|PGM5_MOUSE	tr|L9KK18|L9KK18_TUPCH
OG0001374	sp|Q9D0F9|PGM1_MOUSE	tr|L9KVG5|L9KVG5_TUPCH
OG0001375	tr|Q52KH6|Q52KH6_MOUSE, tr|A3KG49|A3KG49_MOUSE, tr|A2BG95|A2BG95_MOUSE	tr|L8YAY7|L8YAY7_TUPCH
OG0001376	tr|Q7TMN8|Q7TMN8_MOUSE	tr|L8YC34|L8YC34_TUPCH, tr|L8YHD9|L8YHD9_TUPCH, tr|L8YCG5|L8YCG5_TUPCH
OG0001377	sp|Q64133|AOFA_MOUSE	tr|L9KXC0|L9KXC0_TUPCH
OG0001377	sp|Q8BW75|AOFB_MOUSE	tr|L9KSP0|L9KSP0_TUPCH
OG0001378	sp|Q6R0H7|GNAS1_MOUSE	tr|L9L7T2|L9L7T2_TUPCH
OG0001378	sp|Q8CGK7|GNAL_MOUSE	tr|L8Y8J3|L8Y8J3_TUPCH
OG0001379	sp|Q8VBW9|OLF63_MOUSE	tr|L8YB78|L8YB78_TUPCH, tr|L8YEY6|L8YEY6_TUPCH, tr|L8YF87|L8YF87_TUPCH
OG0001380	sp|Q8WUR0|CS012_MOUSE	tr|L8Y7L9|L8Y7L9_TUPCH, tr|L8Y9C7|L8Y9C7_TUPCH, tr|L8Y7C8|L8Y7C8_TUPCH
OG0001382	sp|O88554|PARP2_MOUSE	tr|L9JCL4|L9JCL4_TUPCH
OG0001382	sp|P11103|PARP1_MOUSE	tr|L9JK78|L9JK78_TUPCH
OG0001383	sp|Q9JJX6|P2RX4_MOUSE	tr|L9KRY3|L9KRY3_TUPCH
OG0001383	sp|P51576|P2RX1_MOUSE	tr|L8Y881|L8Y881_TUPCH
OG0001384	sp|Q8VCZ3|THAP7_MOUSE	tr|L9LCB6|L9LCB6_TUPCH, tr|L8XZA3|L8XZA3_TUPCH, tr|L9KN43|L9KN43_TUPCH
