Orthogroup	Mus_musculus	Prolemur_simus
OG0000005	sp|P18527|HVM56_MOUSE, sp|P18528|HVM57_MOUSE	tr|A0A8C9DEA7|A0A8C9DEA7_PROSS, tr|A0A8C9DE49|A0A8C9DE49_PROSS, tr|A0A8C9A611|A0A8C9A611_PROSS, tr|A0A8C9A3J8|A0A8C9A3J8_PROSS, tr|A0A8C9DDN8|A0A8C9DDN8_PROSS, tr|A0A8C8YMT3|A0A8C8YMT3_PROSS, tr|A0A8C8YJQ9|A0A8C8YJQ9_PROSS, tr|A0A8C9DK73|A0A8C9DK73_PROSS, tr|A0A8C8YJP5|A0A8C8YJP5_PROSS, tr|A0A8C8YGR6|A0A8C8YGR6_PROSS, tr|A0A8C9DSQ5|A0A8C9DSQ5_PROSS, tr|A0A8C9DEF1|A0A8C9DEF1_PROSS, tr|A0A8C8YJC3|A0A8C8YJC3_PROSS, tr|A0A8C9DE88|A0A8C9DE88_PROSS, tr|A0A8C8YDQ7|A0A8C8YDQ7_PROSS, tr|A0A8C9ACS5|A0A8C9ACS5_PROSS, tr|A0A8C8YSI0|A0A8C8YSI0_PROSS, tr|A0A8C9A6G0|A0A8C9A6G0_PROSS, tr|A0A8C8YKS7|A0A8C8YKS7_PROSS, tr|A0A8C8YKR6|A0A8C8YKR6_PROSS, tr|A0A8C9DRN5|A0A8C9DRN5_PROSS, tr|A0A8C9DEB9|A0A8C9DEB9_PROSS, tr|A0A8C8YH19|A0A8C8YH19_PROSS, tr|A0A8C8Z2U7|A0A8C8Z2U7_PROSS, tr|A0A8C8YL80|A0A8C8YL80_PROSS, tr|A0A8C8YHA5|A0A8C8YHA5_PROSS, tr|A0A8C8YMU0|A0A8C8YMU0_PROSS, tr|A0A8C8YDE8|A0A8C8YDE8_PROSS, tr|A0A8C8YNE9|A0A8C8YNE9_PROSS, tr|A0A8C8YQ08|A0A8C8YQ08_PROSS, tr|A0A8C8YG75|A0A8C8YG75_PROSS, tr|A0A8C8YM15|A0A8C8YM15_PROSS, tr|A0A8C8YXC1|A0A8C8YXC1_PROSS, tr|A0A8C8YDS4|A0A8C8YDS4_PROSS, tr|A0A8C9A8F7|A0A8C9A8F7_PROSS, tr|A0A8C8YK08|A0A8C8YK08_PROSS, tr|A0A8C8YJF1|A0A8C8YJF1_PROSS, tr|A0A8C9A1M7|A0A8C9A1M7_PROSS, tr|A0A8C8YFW1|A0A8C8YFW1_PROSS, tr|A0A8C8YFH5|A0A8C8YFH5_PROSS, tr|A0A8C8YJ75|A0A8C8YJ75_PROSS, tr|A0A8C8YCS3|A0A8C8YCS3_PROSS, tr|A0A8C8YIA9|A0A8C8YIA9_PROSS, tr|A0A8C8ZNA2|A0A8C8ZNA2_PROSS, tr|A0A8C9DK71|A0A8C9DK71_PROSS, tr|A0A8C8YNA6|A0A8C8YNA6_PROSS, tr|A0A8C8YYU1|A0A8C8YYU1_PROSS, tr|A0A8C8YKK3|A0A8C8YKK3_PROSS, tr|A0A8C8YJP4|A0A8C8YJP4_PROSS, tr|A0A8C8YL01|A0A8C8YL01_PROSS, tr|A0A8C8YMU9|A0A8C8YMU9_PROSS, tr|A0A8C8ZFP2|A0A8C8ZFP2_PROSS, tr|A0A8C8YEH1|A0A8C8YEH1_PROSS, tr|A0A8C8YK62|A0A8C8YK62_PROSS, tr|A0A8C8YBU4|A0A8C8YBU4_PROSS, tr|A0A8C8YIR5|A0A8C8YIR5_PROSS
OG0000006	sp|Q7TSH9|ZN184_MOUSE	tr|A0A8C8ZQJ6|A0A8C8ZQJ6_PROSS
OG0000006	sp|P10078|ZFP28_MOUSE	tr|A0A8C9A4X4|A0A8C9A4X4_PROSS
OG0000006	sp|Q3V080|ZN583_MOUSE	tr|A0A8C9A3M3|A0A8C9A3M3_PROSS, tr|A0A8C8YLS7|A0A8C8YLS7_PROSS, tr|A0A8C8YL91|A0A8C8YL91_PROSS, tr|A0A8C9DPQ9|A0A8C9DPQ9_PROSS, tr|A0A8C8ZYB7|A0A8C8ZYB7_PROSS
OG0000006	sp|Q60585|ZFP30_MOUSE	tr|A0A8C9A690|A0A8C9A690_PROSS
OG0000006	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A8C8YKY4|A0A8C8YKY4_PROSS, tr|A0A8C8YDZ4|A0A8C8YDZ4_PROSS
OG0000006	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A8C8YNZ9|A0A8C8YNZ9_PROSS, tr|A0A8C8YLD1|A0A8C8YLD1_PROSS
OG0000015	sp|Q8BG94|COMD7_MOUSE	tr|A0A8C8YW87|A0A8C8YW87_PROSS, tr|A0A8C8YUL4|A0A8C8YUL4_PROSS, tr|A0A8C8YFE5|A0A8C8YFE5_PROSS, tr|A0A8C8ZF80|A0A8C8ZF80_PROSS, tr|A0A8C9DHW3|A0A8C9DHW3_PROSS, tr|A0A8C8YJM5|A0A8C8YJM5_PROSS, tr|A0A8C8Z1X9|A0A8C8Z1X9_PROSS, tr|A0A8C8YSA2|A0A8C8YSA2_PROSS, tr|A0A8C8Z839|A0A8C8Z839_PROSS, tr|A0A8C9DPY3|A0A8C9DPY3_PROSS, tr|A0A8C8Z4L9|A0A8C8Z4L9_PROSS, tr|A0A8C8YJ81|A0A8C8YJ81_PROSS, tr|A0A8C8ZP49|A0A8C8ZP49_PROSS, tr|A0A8C9DUU8|A0A8C9DUU8_PROSS, tr|A0A8C9DHR0|A0A8C9DHR0_PROSS, tr|A0A8C9A8Z6|A0A8C9A8Z6_PROSS, tr|A0A8C8Z3F9|A0A8C8Z3F9_PROSS, tr|A0A8C8ZPC9|A0A8C8ZPC9_PROSS, tr|A0A8C9DGP5|A0A8C9DGP5_PROSS, tr|A0A8C8ZGP0|A0A8C8ZGP0_PROSS, tr|A0A8C9AAW4|A0A8C9AAW4_PROSS, tr|A0A8C8YI86|A0A8C8YI86_PROSS, tr|A0A8C8YZW5|A0A8C8YZW5_PROSS, tr|A0A8C8Z2U2|A0A8C8Z2U2_PROSS, tr|A0A8C9ABI6|A0A8C9ABI6_PROSS, tr|A0A8C9B6F9|A0A8C9B6F9_PROSS, tr|A0A8C9DGS9|A0A8C9DGS9_PROSS, tr|A0A8C9DTI3|A0A8C9DTI3_PROSS, tr|A0A8C9DM95|A0A8C9DM95_PROSS, tr|A0A8C9A2P5|A0A8C9A2P5_PROSS, tr|A0A8C8YX64|A0A8C8YX64_PROSS, tr|A0A8C8Z6X7|A0A8C8Z6X7_PROSS, tr|A0A8C8YL15|A0A8C8YL15_PROSS, tr|A0A8C8ZLF8|A0A8C8ZLF8_PROSS, tr|A0A8C8ZFD6|A0A8C8ZFD6_PROSS, tr|A0A8C8YRZ9|A0A8C8YRZ9_PROSS, tr|A0A8C8YN78|A0A8C8YN78_PROSS, tr|A0A8C9AI28|A0A8C9AI28_PROSS, tr|A0A8C9DRU0|A0A8C9DRU0_PROSS
OG0000020	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A8C9AKS4|A0A8C9AKS4_PROSS
OG0000020	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A8C9AN49|A0A8C9AN49_PROSS, tr|A0A8C9ATS7|A0A8C9ATS7_PROSS, tr|A0A8C9AN40|A0A8C9AN40_PROSS, tr|A0A8C9DUS7|A0A8C9DUS7_PROSS
OG0000020	tr|Q8VGI9|Q8VGI9_MOUSE	tr|A0A8C8YZ82|A0A8C8YZ82_PROSS, tr|A0A8C8Z520|A0A8C8Z520_PROSS, tr|A0A8C8YZ68|A0A8C8YZ68_PROSS, tr|A0A8C8ZX97|A0A8C8ZX97_PROSS, tr|A0A8C9DM42|A0A8C9DM42_PROSS, tr|A0A8C8ZQ88|A0A8C8ZQ88_PROSS, tr|A0A8C8YC82|A0A8C8YC82_PROSS, tr|A0A8C8Y9G0|A0A8C8Y9G0_PROSS, tr|A0A8C9APQ4|A0A8C9APQ4_PROSS, tr|A0A8C9AVZ7|A0A8C9AVZ7_PROSS, tr|A0A8C9AK38|A0A8C9AK38_PROSS, tr|A0A8C9AW35|A0A8C9AW35_PROSS
OG0000020	tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE	tr|A0A8C9AKR5|A0A8C9AKR5_PROSS
OG0000020	tr|Q8VGI8|Q8VGI8_MOUSE	tr|A0A8C9B165|A0A8C9B165_PROSS, tr|A0A8C9AN71|A0A8C9AN71_PROSS
OG0000021	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A8C8ZTZ5|A0A8C8ZTZ5_PROSS
OG0000021	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A8C8YCP7|A0A8C8YCP7_PROSS
OG0000021	tr|Q8VET0|Q8VET0_MOUSE	tr|A0A8C8YC10|A0A8C8YC10_PROSS
OG0000021	tr|Q8VF41|Q8VF41_MOUSE	tr|A0A8C9DP37|A0A8C9DP37_PROSS, tr|A0A8C9A2H5|A0A8C9A2H5_PROSS, tr|A0A8C9DNK4|A0A8C9DNK4_PROSS, tr|A0A8C8ZTL2|A0A8C8ZTL2_PROSS, tr|A0A8C8ZTU6|A0A8C8ZTU6_PROSS, tr|A0A8C8ZSK4|A0A8C8ZSK4_PROSS
OG0000021	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A8C8YPL1|A0A8C8YPL1_PROSS, tr|A0A8C9ABI8|A0A8C9ABI8_PROSS, tr|A0A8C9ADX8|A0A8C9ADX8_PROSS, tr|A0A8C9AIZ4|A0A8C9AIZ4_PROSS
OG0000021	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A8C9DP48|A0A8C9DP48_PROSS, tr|A0A8C8ZTS8|A0A8C8ZTS8_PROSS, tr|A0A8C8ZTW2|A0A8C8ZTW2_PROSS, tr|A0A8C8ZSM9|A0A8C8ZSM9_PROSS
OG0000021	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A8C9DD05|A0A8C9DD05_PROSS, tr|A0A8C8YDZ6|A0A8C8YDZ6_PROSS, tr|A0A8C8ZVN3|A0A8C8ZVN3_PROSS, tr|A0A8C8ZST0|A0A8C8ZST0_PROSS
OG0000022	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8C8YWL5|A0A8C8YWL5_PROSS
OG0000022	sp|Q8BGS3|ZKSC1_MOUSE	tr|A0A8C9DDA1|A0A8C9DDA1_PROSS
OG0000022	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A8C8ZZ03|A0A8C8ZZ03_PROSS
OG0000022	sp|Q9Z1D9|ZN394_MOUSE	tr|A0A8C9ARA3|A0A8C9ARA3_PROSS, tr|A0A8C8ZLE7|A0A8C8ZLE7_PROSS, tr|A0A8C9DPS0|A0A8C9DPS0_PROSS, tr|A0A8C8YCJ2|A0A8C8YCJ2_PROSS, tr|A0A8C8Z5C9|A0A8C8Z5C9_PROSS, tr|A0A8C9DPB6|A0A8C9DPB6_PROSS, tr|A0A8C8Z8W1|A0A8C8Z8W1_PROSS, tr|A0A8C9A678|A0A8C9A678_PROSS, tr|A0A8C8ZQI6|A0A8C8ZQI6_PROSS, tr|A0A8C8YVV3|A0A8C8YVV3_PROSS
OG0000022	tr|Q5SZT6|Q5SZT6_MOUSE, sp|Q91VW9|ZKSC3_MOUSE	tr|A0A8C8ZRY0|A0A8C8ZRY0_PROSS, tr|A0A8C9DN63|A0A8C9DN63_PROSS
OG0000022	sp|Q07231|ZSC21_MOUSE	tr|A0A8C9DFC5|A0A8C9DFC5_PROSS, tr|A0A8C8YID6|A0A8C8YID6_PROSS
OG0000022	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A8C8YJJ1|A0A8C8YJJ1_PROSS, tr|A0A8C9A0N1|A0A8C9A0N1_PROSS, tr|A0A8C9DQI3|A0A8C9DQI3_PROSS, tr|A0A8C8YL88|A0A8C8YL88_PROSS
OG0000023	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A8C9AHP9|A0A8C9AHP9_PROSS
OG0000023	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8C8ZVK0|A0A8C8ZVK0_PROSS
OG0000023	tr|Q8VFP5|Q8VFP5_MOUSE	tr|A0A8C9ANU9|A0A8C9ANU9_PROSS
OG0000023	tr|Q8VGJ8|Q8VGJ8_MOUSE	tr|A0A8C8YHT7|A0A8C8YHT7_PROSS, tr|A0A8C8YDK3|A0A8C8YDK3_PROSS
OG0000023	tr|Q7TRY4|Q7TRY4_MOUSE	tr|A0A8C9ARU4|A0A8C9ARU4_PROSS
OG0000023	tr|Q8VFY0|Q8VFY0_MOUSE	tr|A0A8C9ANU1|A0A8C9ANU1_PROSS
OG0000023	tr|B9EHG2|B9EHG2_MOUSE	tr|A0A8C8YQ74|A0A8C8YQ74_PROSS
OG0000023	sp|Q8VFM9|OLF24_MOUSE	tr|A0A8C9DSW7|A0A8C9DSW7_PROSS
OG0000030	tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|Q8VFE3|Q8VFE3_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|Q8VGJ1|Q8VGJ1_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE	tr|A0A8C9AW58|A0A8C9AW58_PROSS
OG0000032	sp|Q64523|H2A2C_MOUSE	tr|A0A8C8YLB3|A0A8C8YLB3_PROSS
OG0000032	sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE5|H2A1G_MOUSE	tr|A0A8C8YXG3|A0A8C8YXG3_PROSS
OG0000032	sp|Q8CGP5|H2A1F_MOUSE	tr|A0A8C8ZXN7|A0A8C8ZXN7_PROSS
OG0000032	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A8C8YWJ4|A0A8C8YWJ4_PROSS, tr|A0A8C9DF05|A0A8C9DF05_PROSS
OG0000033	tr|A0A0B4J1K5|A0A0B4J1K5_MOUSE	tr|A0A8C8YE71|A0A8C8YE71_PROSS, tr|A0A8C9DEL7|A0A8C9DEL7_PROSS, tr|A0A8C8YK59|A0A8C8YK59_PROSS, tr|A0A8C8YJG7|A0A8C8YJG7_PROSS, tr|A0A8C9DVK2|A0A8C9DVK2_PROSS, tr|A0A8C9DDW0|A0A8C9DDW0_PROSS, tr|A0A8C8YPX4|A0A8C8YPX4_PROSS, tr|A0A8C8YED5|A0A8C8YED5_PROSS, tr|A0A8C8ZK50|A0A8C8ZK50_PROSS, tr|A0A8C9AGG8|A0A8C9AGG8_PROSS, tr|A0A8C8ZT76|A0A8C8ZT76_PROSS, tr|A0A8C8YM23|A0A8C8YM23_PROSS, tr|A0A8C8YP65|A0A8C8YP65_PROSS, tr|A0A8C8YMX5|A0A8C8YMX5_PROSS, tr|A0A8C8YP08|A0A8C8YP08_PROSS, tr|A0A8C9DE39|A0A8C9DE39_PROSS, tr|A0A8C8YSZ3|A0A8C8YSZ3_PROSS, tr|A0A8C8YKV7|A0A8C8YKV7_PROSS, tr|A0A8C8YLD7|A0A8C8YLD7_PROSS, tr|A0A8C8ZSL4|A0A8C8ZSL4_PROSS, tr|A0A8C8YLS1|A0A8C8YLS1_PROSS, tr|A0A8C8YYL7|A0A8C8YYL7_PROSS, tr|A0A8C8YZI9|A0A8C8YZI9_PROSS, tr|A0A8C8ZUY3|A0A8C8ZUY3_PROSS, tr|A0A8C8ZWN4|A0A8C8ZWN4_PROSS, tr|A0A8C8YKW2|A0A8C8YKW2_PROSS, tr|A0A8C8YNI3|A0A8C8YNI3_PROSS
OG0000038	tr|Q91XX9|Q91XX9_MOUSE	tr|A0A8C9A9P6|A0A8C9A9P6_PROSS
OG0000038	tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE	tr|A0A8C9A9M7|A0A8C9A9M7_PROSS
OG0000038	tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, sp|Q8VHF2|CDHR5_MOUSE	tr|A0A8C9DSI4|A0A8C9DSI4_PROSS
OG0000042	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A8C8YG13|A0A8C8YG13_PROSS
OG0000042	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A8C9DEW6|A0A8C9DEW6_PROSS, tr|A0A8C9A5X4|A0A8C9A5X4_PROSS, tr|A0A8C9A036|A0A8C9A036_PROSS, tr|A0A8C8YY94|A0A8C8YY94_PROSS
OG0000042	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8C8YMB8|A0A8C8YMB8_PROSS, tr|A0A8C8ZTG3|A0A8C8ZTG3_PROSS, tr|A0A8C9DSP7|A0A8C9DSP7_PROSS, tr|A0A8C8YVX6|A0A8C8YVX6_PROSS, tr|A0A8C8ZHG6|A0A8C8ZHG6_PROSS, tr|A0A8C8ZWD8|A0A8C8ZWD8_PROSS, tr|A0A8C8YW13|A0A8C8YW13_PROSS
OG0000044	sp|Q8VGD6|OLF56_MOUSE	tr|A0A8C8ZPG0|A0A8C8ZPG0_PROSS, tr|A0A8C8ZQG3|A0A8C8ZQG3_PROSS
OG0000044	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|A0A8C8YT63|A0A8C8YT63_PROSS
OG0000044	tr|Q8VFG7|Q8VFG7_MOUSE	tr|A0A8C8ZW32|A0A8C8ZW32_PROSS
OG0000044	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A8C8ZTB6|A0A8C8ZTB6_PROSS, tr|A0A8C8YN07|A0A8C8YN07_PROSS
OG0000044	tr|E9Q3K2|E9Q3K2_MOUSE	tr|A0A8C9DRD4|A0A8C9DRD4_PROSS
OG0000044	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A8C8Z1S8|A0A8C8Z1S8_PROSS, tr|A0A8C8ZMY5|A0A8C8ZMY5_PROSS, tr|A0A8C8YFV2|A0A8C8YFV2_PROSS
OG0000044	tr|Q5NC45|Q5NC45_MOUSE	tr|A0A8C9AAJ6|A0A8C9AAJ6_PROSS, tr|A0A8C9A644|A0A8C9A644_PROSS, tr|A0A8C9DKV7|A0A8C9DKV7_PROSS
OG0000046	sp|P02535|K1C10_MOUSE	tr|A0A8C9DJM9|A0A8C9DJM9_PROSS
OG0000046	sp|A1L317|K1C24_MOUSE	tr|A0A8C9DKU0|A0A8C9DKU0_PROSS, tr|A0A8C8ZFF8|A0A8C8ZFF8_PROSS
OG0000046	sp|Q64291|K1C12_MOUSE	tr|A0A8C8ZAP5|A0A8C8ZAP5_PROSS
OG0000046	sp|Q6RHW0|K1C9_MOUSE	tr|A0A8C8ZSR6|A0A8C8ZSR6_PROSS
OG0000046	sp|Q61414|K1C15_MOUSE	tr|A0A8C8ZTM4|A0A8C8ZTM4_PROSS
OG0000046	sp|P08730|K1C13_MOUSE	tr|A0A8C8ZNI9|A0A8C8ZNI9_PROSS
OG0000046	sp|P19001|K1C19_MOUSE	tr|A0A8C8ZST8|A0A8C8ZST8_PROSS
OG0000046	sp|Q9QWL7|K1C17_MOUSE	tr|A0A8C8ZN78|A0A8C8ZN78_PROSS
OG0000046	sp|Q61781|K1C14_MOUSE	tr|A0A8C8ZK59|A0A8C8ZK59_PROSS
OG0000046	sp|Q9Z2K1|K1C16_MOUSE	tr|A0A8C8ZYI7|A0A8C8ZYI7_PROSS
