Orthogroup	Mus_musculus	Acinonyx_jubatus
OG0000011	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A6I9ZMN6|A0A6I9ZMN6_ACIJB, tr|A0A6J0A3F7|A0A6J0A3F7_ACIJB, tr|A0A6J0A781|A0A6J0A781_ACIJB, tr|A0A6I9ZZ37|A0A6I9ZZ37_ACIJB, tr|A0A6I9ZZ63|A0A6I9ZZ63_ACIJB, tr|A0A6J0A3I0|A0A6J0A3I0_ACIJB, tr|A0A6J0A653|A0A6J0A653_ACIJB, tr|A0A6J0A3F1|A0A6J0A3F1_ACIJB, tr|A0A6J0A6G4|A0A6J0A6G4_ACIJB, tr|A0A6I9ZH75|A0A6I9ZH75_ACIJB, tr|A0A6I9ZUL4|A0A6I9ZUL4_ACIJB, tr|A0A6I9ZT76|A0A6I9ZT76_ACIJB, tr|A0A6I9ZTQ1|A0A6I9ZTQ1_ACIJB, tr|A0A6I9ZFG9|A0A6I9ZFG9_ACIJB, tr|A0A6I9ZCI5|A0A6I9ZCI5_ACIJB, tr|A0A6I9ZW61|A0A6I9ZW61_ACIJB, tr|A0A6I9ZZ42|A0A6I9ZZ42_ACIJB, tr|A0A6I9ZZ67|A0A6I9ZZ67_ACIJB, tr|A0A6I9ZH74|A0A6I9ZH74_ACIJB, tr|A0A6I9ZH17|A0A6I9ZH17_ACIJB, tr|A0A6I9ZSA1|A0A6I9ZSA1_ACIJB, tr|A0A6I9ZGZ8|A0A6I9ZGZ8_ACIJB, tr|A0A6I9ZDT9|A0A6I9ZDT9_ACIJB, tr|A0A6I9ZUP0|A0A6I9ZUP0_ACIJB, tr|A0A6I9ZVW8|A0A6I9ZVW8_ACIJB, tr|A0A6J0A8K7|A0A6J0A8K7_ACIJB, tr|A0A6J0A5C6|A0A6J0A5C6_ACIJB, tr|A0A6J0A1H6|A0A6J0A1H6_ACIJB, tr|A0A6J0A1P1|A0A6J0A1P1_ACIJB, tr|A0A6J0A1I1|A0A6J0A1I1_ACIJB, tr|A0A6J1YXQ5|A0A6J1YXQ5_ACIJB, tr|A0A6J1YR98|A0A6J1YR98_ACIJB, tr|A0A6J1XTR0|A0A6J1XTR0_ACIJB, tr|A0A6I9ZVN9|A0A6I9ZVN9_ACIJB, tr|A0A6I9ZSH9|A0A6I9ZSH9_ACIJB, tr|A0A6J0A3H5|A0A6J0A3H5_ACIJB, tr|A0A6I9ZY64|A0A6I9ZY64_ACIJB, tr|A0A6J0A601|A0A6J0A601_ACIJB, tr|A0A6J0A640|A0A6J0A640_ACIJB, tr|A0A6J1Z3N5|A0A6J1Z3N5_ACIJB
OG0000014	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A6J1Y7B5|A0A6J1Y7B5_ACIJB
OG0000014	sp|Q3V080|ZN583_MOUSE	tr|A0A6J1XLC9|A0A6J1XLC9_ACIJB
OG0000014	tr|Q5U406|Q5U406_MOUSE	tr|A0A6J1Y6F5|A0A6J1Y6F5_ACIJB, tr|A0A6J1XLA8|A0A6J1XLA8_ACIJB
OG0000014	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A6J1Y6B7|A0A6J1Y6B7_ACIJB, tr|A0A6J1Y659|A0A6J1Y659_ACIJB, tr|A0A6J1Y6K8|A0A6J1Y6K8_ACIJB, tr|A0A6I9ZU49|A0A6I9ZU49_ACIJB, tr|A0A6I9ZQB6|A0A6I9ZQB6_ACIJB
OG0000021	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A6I9ZWG3|A0A6I9ZWG3_ACIJB
OG0000021	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A6I9ZRG5|A0A6I9ZRG5_ACIJB
OG0000021	sp|Q60878|OL140_MOUSE	tr|A0A6I9ZST9|A0A6I9ZST9_ACIJB
OG0000021	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A6I9ZUZ4|A0A6I9ZUZ4_ACIJB, tr|A0A6J0A8D6|A0A6J0A8D6_ACIJB, tr|A0A6I9ZRG6|A0A6I9ZRG6_ACIJB, tr|A0A6I9ZWG8|A0A6I9ZWG8_ACIJB, tr|A0A6I9ZSU4|A0A6I9ZSU4_ACIJB, tr|A0A6I9ZST0|A0A6I9ZST0_ACIJB, tr|A0A6J1Z0X3|A0A6J1Z0X3_ACIJB, tr|A0A6I9ZVZ4|A0A6I9ZVZ4_ACIJB
OG0000021	tr|Q7TQZ8|Q7TQZ8_MOUSE	tr|A0A6J0A4N0|A0A6J0A4N0_ACIJB, tr|A0A6J0A785|A0A6J0A785_ACIJB
OG0000021	tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A6I9ZUX3|A0A6I9ZUX3_ACIJB, tr|A0A6I9ZVY7|A0A6I9ZVY7_ACIJB
OG0000023	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A6I9ZM12|A0A6I9ZM12_ACIJB
OG0000023	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A6I9ZJW7|A0A6I9ZJW7_ACIJB
OG0000023	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A6I9ZLI1|A0A6I9ZLI1_ACIJB
OG0000023	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A6I9ZLY4|A0A6I9ZLY4_ACIJB, tr|A0A6I9ZJT4|A0A6I9ZJT4_ACIJB, tr|A0A6I9ZLH6|A0A6I9ZLH6_ACIJB, tr|A0A6J1YVD5|A0A6J1YVD5_ACIJB, tr|A0A6I9ZIE0|A0A6I9ZIE0_ACIJB, tr|A0A6I9ZJV4|A0A6I9ZJV4_ACIJB, tr|A0A6I9ZM01|A0A6I9ZM01_ACIJB, tr|A0A6J2A6F8|A0A6J2A6F8_ACIJB, tr|A0A6I9ZIH6|A0A6I9ZIH6_ACIJB, tr|A0A6I9ZH18|A0A6I9ZH18_ACIJB, tr|A0A6I9ZRF2|A0A6I9ZRF2_ACIJB, tr|A0A6I9ZGZ3|A0A6I9ZGZ3_ACIJB, tr|A0A6I9ZLJ1|A0A6I9ZLJ1_ACIJB, tr|A0A6I9ZII0|A0A6I9ZII0_ACIJB, tr|A0A6I9ZGZ7|A0A6I9ZGZ7_ACIJB, tr|A0A6I9ZLH1|A0A6I9ZLH1_ACIJB, tr|A0A6I9ZLX9|A0A6I9ZLX9_ACIJB, tr|A0A6I9ZM06|A0A6I9ZM06_ACIJB, tr|A0A6J1YVU4|A0A6J1YVU4_ACIJB, tr|A0A6I9ZJS7|A0A6I9ZJS7_ACIJB, tr|A0A6I9ZLJ7|A0A6I9ZLJ7_ACIJB
OG0000023	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A6I9ZJT9|A0A6I9ZJT9_ACIJB, tr|A0A6I9ZLK2|A0A6I9ZLK2_ACIJB, tr|A0A6I9ZII5|A0A6I9ZII5_ACIJB
OG0000025	tr|Q8VFI0|Q8VFI0_MOUSE	tr|A0A6I9ZHT0|A0A6I9ZHT0_ACIJB, tr|A0A6I9ZME4|A0A6I9ZME4_ACIJB
OG0000025	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A6J2ABP6|A0A6J2ABP6_ACIJB
OG0000025	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A6I9ZKR9|A0A6I9ZKR9_ACIJB, tr|A0A6J2AFM2|A0A6J2AFM2_ACIJB, tr|A0A6I9ZMF0|A0A6I9ZMF0_ACIJB, tr|A0A6I9ZJD9|A0A6I9ZJD9_ACIJB, tr|A0A6I9ZZ62|A0A6I9ZZ62_ACIJB, tr|A0A6J0A5J2|A0A6J0A5J2_ACIJB, tr|A0A6J0A2A2|A0A6J0A2A2_ACIJB, tr|A0A6J0A4J2|A0A6J0A4J2_ACIJB, tr|A0A6J0A1N9|A0A6J0A1N9_ACIJB, tr|A0A6I9ZYG8|A0A6I9ZYG8_ACIJB, tr|A0A6J0A8F1|A0A6J0A8F1_ACIJB, tr|A0A6J0A999|A0A6J0A999_ACIJB, tr|A0A6J0A2K6|A0A6J0A2K6_ACIJB, tr|A0A6J0A8E6|A0A6J0A8E6_ACIJB, tr|A0A6I9ZJE4|A0A6I9ZJE4_ACIJB, tr|A0A6I9ZRI1|A0A6I9ZRI1_ACIJB, tr|A0A6I9ZU27|A0A6I9ZU27_ACIJB, tr|A0A6I9ZRK5|A0A6I9ZRK5_ACIJB, tr|A0A6I9ZW60|A0A6I9ZW60_ACIJB, tr|A0A6I9ZW31|A0A6I9ZW31_ACIJB, tr|A0A6J0A534|A0A6J0A534_ACIJB, tr|A0A6J0A5L9|A0A6J0A5L9_ACIJB, tr|A0A6J0A5N5|A0A6J0A5N5_ACIJB, tr|A0A6J0A864|A0A6J0A864_ACIJB, tr|A0A6J0A849|A0A6J0A849_ACIJB, tr|A0A6J0A986|A0A6J0A986_ACIJB, tr|A0A6J0ABM0|A0A6J0ABM0_ACIJB
OG0000026	sp|P01738|TVA1_MOUSE, tr|A0A075B631|A0A075B631_MOUSE, tr|A0A075B647|A0A075B647_MOUSE, tr|A0A0B4J1K2|A0A0B4J1K2_MOUSE, tr|A0A075B695|A0A075B695_MOUSE, tr|A0A075B685|A0A075B685_MOUSE, tr|A0A075B6A9|A0A075B6A9_MOUSE, tr|A0A075B601|A0A075B601_MOUSE, tr|A0A075B699|A0A075B699_MOUSE, tr|A0A087WQ87|A0A087WQ87_MOUSE, tr|A0A0G2JDX5|A0A0G2JDX5_MOUSE, tr|A0N8N6|A0N8N6_MOUSE, sp|P06323|TVA3_MOUSE, tr|A0A075B626|A0A075B626_MOUSE, tr|A0A075B648|A0A075B648_MOUSE, tr|A0A075B6A4|A0A075B6A4_MOUSE, tr|A0A075B643|A0A075B643_MOUSE, tr|A0A075B605|A0A075B605_MOUSE, tr|A0A075B6D4|A0A075B6D4_MOUSE, tr|A0A075B6B9|A0A075B6B9_MOUSE, tr|A0A075B621|A0A075B621_MOUSE, tr|A0A075B623|A0A075B623_MOUSE, tr|A0A075B603|A0A075B603_MOUSE, tr|A0A075B6A6|A0A075B6A6_MOUSE, tr|A0A075B6B0|A0A075B6B0_MOUSE, tr|A0A075B639|A0A075B639_MOUSE, tr|A0A075B5Z8|A0A075B5Z8_MOUSE, tr|A0A075B6D2|A0A075B6D2_MOUSE, tr|A0A075B6D6|A0A075B6D6_MOUSE, tr|A0A075B5Z9|A0A075B5Z9_MOUSE, tr|A0A075B6D3|A0A075B6D3_MOUSE, tr|A0A075B6D0|A0A075B6D0_MOUSE	tr|A0A6J1ZZN1|A0A6J1ZZN1_ACIJB
OG0000027	sp|Q8VGI5|OL481_MOUSE	tr|A0A6J2AI02|A0A6J2AI02_ACIJB
OG0000027	tr|L7N455|L7N455_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VEZ0|OL480_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VG04|OL478_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE	tr|A0A6J2AGH8|A0A6J2AGH8_ACIJB
OG0000028	sp|P10400|POL1_MOUSE	tr|A0A6J1YXY9|A0A6J1YXY9_ACIJB, tr|A0A6J1ZYT9|A0A6J1ZYT9_ACIJB, tr|A0A6J2ACJ5|A0A6J2ACJ5_ACIJB, tr|A0A6J1ZLT4|A0A6J1ZLT4_ACIJB, tr|A0A6J1YXQ2|A0A6J1YXQ2_ACIJB, tr|A0A6J1Y4S9|A0A6J1Y4S9_ACIJB, tr|A0A6J1Z1J2|A0A6J1Z1J2_ACIJB, tr|A0A6J1Z2P0|A0A6J1Z2P0_ACIJB, tr|A0A6J1ZSY9|A0A6J1ZSY9_ACIJB, tr|A0A6J1YUF3|A0A6J1YUF3_ACIJB, tr|A0A6J1Y6A1|A0A6J1Y6A1_ACIJB, tr|A0A6J1ZRU1|A0A6J1ZRU1_ACIJB, tr|A0A6J1Y422|A0A6J1Y422_ACIJB, tr|A0A6J1Z0F4|A0A6J1Z0F4_ACIJB, tr|A0A6J1YVL0|A0A6J1YVL0_ACIJB, tr|A0A6J1Z5V0|A0A6J1Z5V0_ACIJB, tr|A0A6J2AJ85|A0A6J2AJ85_ACIJB, tr|A0A6J0A4H1|A0A6J0A4H1_ACIJB, tr|A0A6J1YUG5|A0A6J1YUG5_ACIJB, tr|A0A6J1XR59|A0A6J1XR59_ACIJB, tr|A0A6J1YXW7|A0A6J1YXW7_ACIJB, tr|A0A6J2AYK7|A0A6J2AYK7_ACIJB, tr|A0A6J2A720|A0A6J2A720_ACIJB, tr|A0A6J1YY23|A0A6J1YY23_ACIJB, tr|A0A6J1Z2H4|A0A6J1Z2H4_ACIJB, tr|A0A6J1YWR3|A0A6J1YWR3_ACIJB, tr|A0A6J1YW35|A0A6J1YW35_ACIJB, tr|A0A6J1Y511|A0A6J1Y511_ACIJB, tr|A0A6J1Z282|A0A6J1Z282_ACIJB, tr|A0A6J1Z787|A0A6J1Z787_ACIJB
OG0000029	sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|A0A6J1XTP2|A0A6J1XTP2_ACIJB
OG0000029	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A6J1XTZ1|A0A6J1XTZ1_ACIJB
OG0000029	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A6I9ZCJ8|A0A6I9ZCJ8_ACIJB
OG0000029	sp|Q64523|H2A2C_MOUSE	tr|A0A6J1Z0I3|A0A6J1Z0I3_ACIJB
OG0000029	sp|P27661|H2AX_MOUSE	tr|A0A6J1Z1R5|A0A6J1Z1R5_ACIJB, tr|A0A6J0ABL0|A0A6J0ABL0_ACIJB, tr|A0A6J1XJA1|A0A6J1XJA1_ACIJB
OG0000029	sp|Q8BFU2|H2A3_MOUSE	tr|A0A6J1XU48|A0A6J1XU48_ACIJB, tr|A0A6J0A9V1|A0A6J0A9V1_ACIJB, tr|A0A6J1Z0B0|A0A6J1Z0B0_ACIJB, tr|A0A6J1YQN6|A0A6J1YQN6_ACIJB
OG0000032	sp|P07744|K2C4_MOUSE	tr|A0A6J0A8L1|A0A6J0A8L1_ACIJB
OG0000032	sp|Q8VED5|K2C79_MOUSE	tr|A0A6J0A4Y4|A0A6J0A4Y4_ACIJB
OG0000032	sp|Q9DCV7|K2C7_MOUSE	tr|A0A6J1Z3L3|A0A6J1Z3L3_ACIJB, tr|A0A6J1Z0D9|A0A6J1Z0D9_ACIJB, tr|A0A6J0A8M6|A0A6J0A8M6_ACIJB, tr|A0A6J1XHW2|A0A6J1XHW2_ACIJB, tr|A0A6J0A7I5|A0A6J0A7I5_ACIJB, tr|A0A6J1XHR5|A0A6J1XHR5_ACIJB
OG0000032	sp|Q9R0H5|K2C71_MOUSE	tr|A0A6J0A4W3|A0A6J0A4W3_ACIJB
OG0000032	sp|Q6NXH9|K2C73_MOUSE	tr|A0A6J0A4Z4|A0A6J0A4Z4_ACIJB
OG0000032	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A6J0A7T4|A0A6J0A7T4_ACIJB
OG0000032	sp|Q6IME9|K2C72_MOUSE	tr|A0A6J1XHX7|A0A6J1XHX7_ACIJB
OG0000032	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A6J0A4V2|A0A6J0A4V2_ACIJB, tr|A0A6J1XHR9|A0A6J1XHR9_ACIJB, tr|A0A6J1XHP5|A0A6J1XHP5_ACIJB
OG0000036	tr|B2RXZ2|B2RXZ2_MOUSE, sp|P56593|CP2AC_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE, sp|P56655|CP238_MOUSE, sp|P56656|CP239_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56657|CP240_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, tr|Q569X9|Q569X9_MOUSE, sp|P56654|CP237_MOUSE, sp|Q91X77|CY250_MOUSE, sp|Q6XVG2|CP254_MOUSE, sp|Q91W64|CP270_MOUSE, sp|Q9D816|CP255_MOUSE, tr|Q148B1|Q148B1_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, sp|E9Q5K4|CP2CN_MOUSE, tr|E9PWV0|E9PWV0_MOUSE, sp|O55071|CP2BJ_MOUSE, sp|P12791|CP2BA_MOUSE, sp|P12790|CP2B9_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, tr|E9Q593|E9Q593_MOUSE	tr|A0A6J1YUR1|A0A6J1YUR1_ACIJB
OG0000037	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A6I9ZV13|A0A6I9ZV13_ACIJB
OG0000037	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A6I9ZSZ9|A0A6I9ZSZ9_ACIJB, tr|A0A6I9ZW35|A0A6I9ZW35_ACIJB, tr|A0A6I9ZWK3|A0A6I9ZWK3_ACIJB, tr|A0A6I9ZRH2|A0A6I9ZRH2_ACIJB, tr|A0A6I9ZW45|A0A6I9ZW45_ACIJB
OG0000037	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A6J1XI48|A0A6J1XI48_ACIJB, tr|A0A6J1XIC8|A0A6J1XIC8_ACIJB, tr|A0A6I9ZV24|A0A6I9ZV24_ACIJB, tr|A0A6I9ZRJ3|A0A6I9ZRJ3_ACIJB, tr|A0A6I9ZT04|A0A6I9ZT04_ACIJB, tr|A0A6I9ZWK6|A0A6I9ZWK6_ACIJB, tr|A0A6J1XIC3|A0A6J1XIC3_ACIJB, tr|A0A6I9ZW40|A0A6I9ZW40_ACIJB, tr|A0A6I9ZRI9|A0A6I9ZRI9_ACIJB, tr|A0A6I9ZWI9|A0A6I9ZWI9_ACIJB
OG0000042	tr|Q91Y08|Q91Y08_MOUSE	tr|A0A6I9ZGS7|A0A6I9ZGS7_ACIJB
OG0000042	tr|Q91V48|Q91V48_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91Y00|Q91Y00_MOUSE	tr|A0A6J1YVP0|A0A6J1YVP0_ACIJB
OG0000043	tr|Q8R266|Q8R266_MOUSE, tr|Q8R265|Q8R265_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R269|Q8R269_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R278|Q8R278_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|Q5NC97|Q5NC97_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R274|Q8R274_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8R268|Q8R268_MOUSE	tr|A0A6J1YW01|A0A6J1YW01_ACIJB
OG0000049	sp|P19001|K1C19_MOUSE	tr|A0A6J1YI01|A0A6J1YI01_ACIJB
OG0000049	sp|P08730|K1C13_MOUSE	tr|A0A6I9ZP53|A0A6I9ZP53_ACIJB
