Orthogroup	Mus_musculus	Phascolarctos_cinereus
OG0000014	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|A0A6P5IEF3|A0A6P5IEF3_PHACI, tr|A0A6P5INW9|A0A6P5INW9_PHACI, tr|A0A6P5IF18|A0A6P5IF18_PHACI, tr|A0A6P5IPP2|A0A6P5IPP2_PHACI, tr|A0A6P5JN55|A0A6P5JN55_PHACI
OG0000015	sp|Q8BIQ3|ZNF2_MOUSE	tr|A0A6P5KE74|A0A6P5KE74_PHACI, tr|A0A6P5KHK3|A0A6P5KHK3_PHACI, tr|A0A6P5KHL0|A0A6P5KHL0_PHACI, tr|A0A6P5KFX2|A0A6P5KFX2_PHACI, tr|A0A6P5KEA1|A0A6P5KEA1_PHACI, tr|A0A6P5KED9|A0A6P5KED9_PHACI, tr|A0A6P5KE46|A0A6P5KE46_PHACI
OG0000015	sp|Q7TNU6|ZN250_MOUSE	tr|A0A6P5L5T5|A0A6P5L5T5_PHACI, tr|A0A6P5KYY6|A0A6P5KYY6_PHACI, tr|A0A6P5KX94|A0A6P5KX94_PHACI, tr|A0A6P5KX97|A0A6P5KX97_PHACI, tr|A0A6P5KXT3|A0A6P5KXT3_PHACI, tr|A0A6P5KWX0|A0A6P5KWX0_PHACI, tr|A0A6P5KX55|A0A6P5KX55_PHACI, tr|A0A6P5L4A8|A0A6P5L4A8_PHACI, tr|A0A6P5KWT8|A0A6P5KWT8_PHACI, tr|A0A6P5L605|A0A6P5L605_PHACI, tr|A0A6P5KX41|A0A6P5KX41_PHACI, tr|A0A6P5L4A2|A0A6P5L4A2_PHACI, tr|A0A6P5KXV6|A0A6P5KXV6_PHACI, tr|A0A6P5KYI8|A0A6P5KYI8_PHACI
OG0000015	tr|Q8C689|Q8C689_MOUSE	tr|A0A6P5L2G0|A0A6P5L2G0_PHACI, tr|A0A6P5L2G4|A0A6P5L2G4_PHACI, tr|A0A6P5KYB7|A0A6P5KYB7_PHACI, tr|A0A6P5L5V1|A0A6P5L5V1_PHACI, tr|A0A6P5L2E5|A0A6P5L2E5_PHACI, tr|A0A6P5JBF0|A0A6P5JBF0_PHACI, tr|A0A6P5JBI0|A0A6P5JBI0_PHACI, tr|A0A6P5ILV5|A0A6P5ILV5_PHACI, tr|A0A6P5JKR8|A0A6P5JKR8_PHACI
OG0000019	tr|Q5ERJ0|Q5ERJ0_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q9D848|Q9D848_MOUSE, tr|D3YX03|D3YX03_MOUSE, sp|P50716|DAR12_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50715|DFA31_MOUSE, sp|P17534|DFAR2_MOUSE, tr|Q5ERI8|Q5ERI8_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|P28311|DEFA4_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE, sp|Q5G865|DFA24_MOUSE, sp|P50704|DEFA6_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50709|DFA11_MOUSE, sp|P50714|DFA16_MOUSE, sp|P50708|DFA10_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE, sp|P28310|DEFA3_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50712|DFA14_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P28309|DEFA2_MOUSE, sp|Q5G866|DFA23_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|Q5G864|DFA25_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|K9J724|K9J724_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE	tr|A0A6P5K591|A0A6P5K591_PHACI
OG0000020	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A6P5JLF8|A0A6P5JLF8_PHACI, tr|A0A6P5JVK6|A0A6P5JVK6_PHACI, tr|A0A6P5JP15|A0A6P5JP15_PHACI
OG0000020	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A6P5JLE6|A0A6P5JLE6_PHACI, tr|A0A6P5JUQ1|A0A6P5JUQ1_PHACI, tr|A0A6P5JP02|A0A6P5JP02_PHACI, tr|A0A6P5JUP6|A0A6P5JUP6_PHACI, tr|A0A6P5JLN9|A0A6P5JLN9_PHACI, tr|A0A6P5JP09|A0A6P5JP09_PHACI, tr|A0A6P5KJV1|A0A6P5KJV1_PHACI, tr|A0A6P5KLQ8|A0A6P5KLQ8_PHACI, tr|A0A6P5KLR3|A0A6P5KLR3_PHACI, tr|A0A6P5KNH5|A0A6P5KNH5_PHACI, tr|A0A6P5KJZ8|A0A6P5KJZ8_PHACI, tr|A0A6P5KMQ4|A0A6P5KMQ4_PHACI, tr|A0A6P5KNF7|A0A6P5KNF7_PHACI, tr|A0A6P5KJW2|A0A6P5KJW2_PHACI, tr|A0A6P5KMS1|A0A6P5KMS1_PHACI, tr|A0A6P5JLN4|A0A6P5JLN4_PHACI, tr|A0A6P5JVK2|A0A6P5JVK2_PHACI, tr|A0A6P5KLV0|A0A6P5KLV0_PHACI, tr|A0A6P5KJX4|A0A6P5KJX4_PHACI, tr|A0A6P5KJW7|A0A6P5KJW7_PHACI, tr|A0A6P5KLS5|A0A6P5KLS5_PHACI, tr|A0A6P5KJ35|A0A6P5KJ35_PHACI, tr|A0A6P5KNJ2|A0A6P5KNJ2_PHACI, tr|A0A6P5M0W2|A0A6P5M0W2_PHACI, tr|A0A6P5K5N4|A0A6P5K5N4_PHACI, tr|A0A6P5K3V3|A0A6P5K3V3_PHACI, tr|A0A6P5K5X1|A0A6P5K5X1_PHACI, tr|A0A6P5IJB1|A0A6P5IJB1_PHACI, tr|A0A6P5K523|A0A6P5K523_PHACI, tr|A0A6P5K6Q9|A0A6P5K6Q9_PHACI, tr|A0A6P5K606|A0A6P5K606_PHACI, tr|A0A6P5LDJ7|A0A6P5LDJ7_PHACI, tr|A0A6P5L6Z6|A0A6P5L6Z6_PHACI, tr|A0A6P5LDP1|A0A6P5LDP1_PHACI, tr|A0A6P5L6J3|A0A6P5L6J3_PHACI, tr|A0A6P5JLM9|A0A6P5JLM9_PHACI
OG0000029	sp|Q91VN1|ZNF24_MOUSE	tr|A0A6P5IU17|A0A6P5IU17_PHACI
OG0000029	tr|S4R1L6|S4R1L6_MOUSE	tr|A0A6P5JSH4|A0A6P5JSH4_PHACI, tr|A0A6P5KZ89|A0A6P5KZ89_PHACI, tr|A0A6P5L6X5|A0A6P5L6X5_PHACI, tr|A0A6P5IJA1|A0A6P5IJA1_PHACI, tr|A0A6P5L9E2|A0A6P5L9E2_PHACI, tr|A0A6P5L8U9|A0A6P5L8U9_PHACI, tr|A0A6P5L8W0|A0A6P5L8W0_PHACI, tr|A0A6P5L9K4|A0A6P5L9K4_PHACI, tr|A0A6P5LUW3|A0A6P5LUW3_PHACI, tr|A0A6P5KES7|A0A6P5KES7_PHACI
OG0000029	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A6P5J2J5|A0A6P5J2J5_PHACI
OG0000029	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A6P5IRK2|A0A6P5IRK2_PHACI, tr|A0A6P5ITK7|A0A6P5ITK7_PHACI, tr|A0A6P5IHX5|A0A6P5IHX5_PHACI
OG0000029	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A6P5JN04|A0A6P5JN04_PHACI, tr|A0A6P5ITI7|A0A6P5ITI7_PHACI, tr|A0A6P5LYC3|A0A6P5LYC3_PHACI, tr|A0A6P5M1C7|A0A6P5M1C7_PHACI, tr|A0A6P5IJS5|A0A6P5IJS5_PHACI
OG0000030	sp|P0C191|GPVI_MOUSE	tr|A0A6P5LUT1|A0A6P5LUT1_PHACI
OG0000030	sp|Q8VBT3|OSCAR_MOUSE	tr|A0A6P5JFH6|A0A6P5JFH6_PHACI
OG0000030	sp|Q19LI2|A1BG_MOUSE	tr|A0A6P5J8X0|A0A6P5J8X0_PHACI
OG0000030	sp|Q7TQA1|IGSF1_MOUSE	tr|A0A6P5LU34|A0A6P5LU34_PHACI, tr|A0A6P5LLM1|A0A6P5LLM1_PHACI, tr|A0A6P5LRF9|A0A6P5LRF9_PHACI, tr|A0A6P5LN80|A0A6P5LN80_PHACI, tr|A0A6P5LP77|A0A6P5LP77_PHACI, tr|A0A6P5LU52|A0A6P5LU52_PHACI, tr|A0A6P5LLL3|A0A6P5LLL3_PHACI, tr|A0A6P5LU73|A0A6P5LU73_PHACI, tr|A0A6P5LUS2|A0A6P5LUS2_PHACI
OG0000032	sp|Q8BJS4|SUN2_MOUSE	tr|A0A6P5JZN9|A0A6P5JZN9_PHACI, tr|A0A6P5KLT9|A0A6P5KLT9_PHACI, tr|A0A6P5JS08|A0A6P5JS08_PHACI, tr|A0A6P5JNU1|A0A6P5JNU1_PHACI, tr|A0A6P5ILF8|A0A6P5ILF8_PHACI, tr|A0A6P5JW58|A0A6P5JW58_PHACI, tr|A0A6P5KKU0|A0A6P5KKU0_PHACI, tr|A0A6P5JPG9|A0A6P5JPG9_PHACI, tr|A0A6P5JRX3|A0A6P5JRX3_PHACI, tr|A0A6P5JPS4|A0A6P5JPS4_PHACI, tr|A0A6P5JRV3|A0A6P5JRV3_PHACI, tr|A0A6P5JWD3|A0A6P5JWD3_PHACI, tr|A0A6P5JX54|A0A6P5JX54_PHACI, tr|A0A6P5KJY2|A0A6P5KJY2_PHACI, tr|A0A6P5JWC4|A0A6P5JWC4_PHACI, tr|A0A6P5JRT8|A0A6P5JRT8_PHACI, tr|A0A6P5KK09|A0A6P5KK09_PHACI, tr|A0A6P5JST6|A0A6P5JST6_PHACI, tr|A0A6P5JRA1|A0A6P5JRA1_PHACI, tr|A0A6P5JPS9|A0A6P5JPS9_PHACI, tr|A0A6P5JNX9|A0A6P5JNX9_PHACI, tr|A0A6P5JWI4|A0A6P5JWI4_PHACI, tr|A0A6P5JPC1|A0A6P5JPC1_PHACI, tr|A0A6P5JNY6|A0A6P5JNY6_PHACI, tr|A0A6P5IT06|A0A6P5IT06_PHACI, tr|A0A6P5JWA3|A0A6P5JWA3_PHACI, tr|A0A6P5JNI0|A0A6P5JNI0_PHACI, tr|A0A6P5J6J8|A0A6P5J6J8_PHACI, tr|A0A6P5JSN2|A0A6P5JSN2_PHACI, tr|A0A6P5ILM9|A0A6P5ILM9_PHACI, tr|A0A6P5JHU6|A0A6P5JHU6_PHACI
OG0000033	tr|Q7TS19|Q7TS19_MOUSE	tr|A0A6P5L6N1|A0A6P5L6N1_PHACI, tr|A0A6P5KZA6|A0A6P5KZA6_PHACI, tr|A0A6P5L6L2|A0A6P5L6L2_PHACI
OG0000033	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A6P5KZ48|A0A6P5KZ48_PHACI, tr|A0A6P5KZ07|A0A6P5KZ07_PHACI
OG0000033	tr|Q8VG87|Q8VG87_MOUSE	tr|A0A6P5L382|A0A6P5L382_PHACI, tr|A0A6P5L6L7|A0A6P5L6L7_PHACI, tr|A0A6P5KZ14|A0A6P5KZ14_PHACI, tr|A0A6P5KZ69|A0A6P5KZ69_PHACI, tr|A0A6P5L6Z9|A0A6P5L6Z9_PHACI, tr|A0A6P5KYZ8|A0A6P5KYZ8_PHACI
OG0000033	tr|Q80ZX9|Q80ZX9_MOUSE	tr|A0A6P5L6K1|A0A6P5L6K1_PHACI, tr|A0A6P5KYV6|A0A6P5KYV6_PHACI
OG0000033	tr|Q9QZ18|Q9QZ18_MOUSE	tr|A0A6P5L0A7|A0A6P5L0A7_PHACI
OG0000033	tr|A2AM35|A2AM35_MOUSE	tr|A0A6P5LVS2|A0A6P5LVS2_PHACI
OG0000033	tr|Q7TS18|Q7TS18_MOUSE	tr|A0A6P5L6S5|A0A6P5L6S5_PHACI
OG0000034	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A6P5K5U6|A0A6P5K5U6_PHACI, tr|A0A6P5LKF0|A0A6P5LKF0_PHACI, tr|A0A6P5LE09|A0A6P5LE09_PHACI, tr|A0A6P5JPX9|A0A6P5JPX9_PHACI, tr|A0A6P5K530|A0A6P5K530_PHACI, tr|A0A6P5K4V0|A0A6P5K4V0_PHACI, tr|A0A6P5K600|A0A6P5K600_PHACI, tr|A0A6P5K4T2|A0A6P5K4T2_PHACI, tr|A0A6P5LD55|A0A6P5LD55_PHACI, tr|A0A6P5K5X6|A0A6P5K5X6_PHACI, tr|A0A6P5K6Q4|A0A6P5K6Q4_PHACI, tr|A0A6P5LE14|A0A6P5LE14_PHACI, tr|A0A6P5LHV5|A0A6P5LHV5_PHACI, tr|A0A6P5LDA6|A0A6P5LDA6_PHACI, tr|A0A6P5LDF6|A0A6P5LDF6_PHACI, tr|A0A6P5LE99|A0A6P5LE99_PHACI, tr|A0A6P5LHW0|A0A6P5LHW0_PHACI, tr|A0A6P5LD64|A0A6P5LD64_PHACI, tr|A0A6P5LHZ3|A0A6P5LHZ3_PHACI, tr|A0A6P5LEG1|A0A6P5LEG1_PHACI, tr|A0A6P5LE28|A0A6P5LE28_PHACI, tr|A0A6P5LKF7|A0A6P5LKF7_PHACI, tr|A0A6P5LHY2|A0A6P5LHY2_PHACI, tr|A0A6P5LD61|A0A6P5LD61_PHACI, tr|A0A6P5LD95|A0A6P5LD95_PHACI, tr|A0A6P5LEK0|A0A6P5LEK0_PHACI, tr|A0A6P5LD79|A0A6P5LD79_PHACI, tr|A0A6P5LE37|A0A6P5LE37_PHACI, tr|A0A6P5LEG5|A0A6P5LEG5_PHACI, tr|A0A6P5LE22|A0A6P5LE22_PHACI
OG0000038	sp|P23275|OLF15_MOUSE	tr|A0A6P5KZA9|A0A6P5KZA9_PHACI, tr|A0A6P5KYQ8|A0A6P5KYQ8_PHACI
OG0000038	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A6P5ITV4|A0A6P5ITV4_PHACI, tr|A0A6P5JJZ4|A0A6P5JJZ4_PHACI, tr|A0A6P5JJU6|A0A6P5JJU6_PHACI
OG0000038	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A6P5ILN9|A0A6P5ILN9_PHACI, tr|A0A6P5JK08|A0A6P5JK08_PHACI
OG0000038	tr|Q8VFH0|Q8VFH0_MOUSE	tr|A0A6P5IKJ6|A0A6P5IKJ6_PHACI, tr|A0A6P5JJT5|A0A6P5JJT5_PHACI
OG0000042	sp|Q3TRJ4|K1C26_MOUSE	tr|A0A6P5L604|A0A6P5L604_PHACI
OG0000042	sp|Q8VCW2|K1C25_MOUSE	tr|A0A6P5L5Y7|A0A6P5L5Y7_PHACI
OG0000042	sp|Q9Z320|K1C27_MOUSE	tr|A0A6P5L540|A0A6P5L540_PHACI
OG0000042	sp|Q6RHW0|K1C9_MOUSE	tr|A0A6P5J270|A0A6P5J270_PHACI
OG0000042	sp|Q6IFX2|K1C42_MOUSE	tr|A0A6P5J4T6|A0A6P5J4T6_PHACI
OG0000042	sp|Q9QWL7|K1C17_MOUSE	tr|A0A6P5J2A2|A0A6P5J2A2_PHACI
OG0000042	sp|Q61781|K1C14_MOUSE, sp|Q9Z2K1|K1C16_MOUSE	tr|A0A6P5J553|A0A6P5J553_PHACI, tr|A0A6P5JB95|A0A6P5JB95_PHACI
OG0000042	sp|P19001|K1C19_MOUSE	tr|A0A6P5JBB8|A0A6P5JBB8_PHACI
OG0000042	sp|A1L317|K1C24_MOUSE	tr|A0A6P5L4E8|A0A6P5L4E8_PHACI, tr|A0A6P5L612|A0A6P5L612_PHACI
OG0000042	sp|A6BLY7|K1C28_MOUSE	tr|A0A6P5L600|A0A6P5L600_PHACI
OG0000044	tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q62056|Q62056_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, sp|Q61400|CEAMA_MOUSE, sp|Q925P2|CEAM2_MOUSE, sp|P31809|CEAM1_MOUSE	tr|A0A6P5LSG8|A0A6P5LSG8_PHACI
OG0000045	tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE	tr|A0A6P5JG31|A0A6P5JG31_PHACI, tr|A0A6P5M6E7|A0A6P5M6E7_PHACI, tr|A0A6P5M4I2|A0A6P5M4I2_PHACI, tr|A0A6P5MBD3|A0A6P5MBD3_PHACI, tr|A0A6P5M6H6|A0A6P5M6H6_PHACI, tr|A0A6P5M458|A0A6P5M458_PHACI, tr|A0A6P5J6V3|A0A6P5J6V3_PHACI, tr|A0A6P5JG45|A0A6P5JG45_PHACI, tr|A0A6P5J7E4|A0A6P5J7E4_PHACI, tr|A0A6P5J9J6|A0A6P5J9J6_PHACI, tr|A0A6P5JQH3|A0A6P5JQH3_PHACI, tr|A0A6P5JGH1|A0A6P5JGH1_PHACI, tr|A0A6P5MB99|A0A6P5MB99_PHACI, tr|A0A6P5J7C7|A0A6P5J7C7_PHACI, tr|A0A6P5J9H3|A0A6P5J9H3_PHACI, tr|A0A6P5J740|A0A6P5J740_PHACI, tr|A0A6P5J7D3|A0A6P5J7D3_PHACI, tr|A0A6P5JQB5|A0A6P5JQB5_PHACI, tr|A0A6P5JG58|A0A6P5JG58_PHACI, tr|A0A6P5J6U9|A0A6P5J6U9_PHACI, tr|A0A6P5JG26|A0A6P5JG26_PHACI, tr|A0A6P5JG34|A0A6P5JG34_PHACI, tr|A0A6P5J9J1|A0A6P5J9J1_PHACI, tr|A0A6P5J6W8|A0A6P5J6W8_PHACI
OG0000047	tr|Q8VFE2|Q8VFE2_MOUSE, tr|K7N727|K7N727_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE	tr|A0A6P5JK25|A0A6P5JK25_PHACI
OG0000050	sp|Q9CWG9|BL1S2_MOUSE	tr|A0A6P5KES3|A0A6P5KES3_PHACI, tr|A0A6P5M3E9|A0A6P5M3E9_PHACI, tr|A0A6P5KXY1|A0A6P5KXY1_PHACI, tr|A0A6P5JRL9|A0A6P5JRL9_PHACI, tr|A0A6P5M327|A0A6P5M327_PHACI, tr|A0A6P5KAS0|A0A6P5KAS0_PHACI, tr|A0A6P5KE67|A0A6P5KE67_PHACI, tr|A0A6P5KJ27|A0A6P5KJ27_PHACI, tr|A0A6P5KT16|A0A6P5KT16_PHACI, tr|A0A6P5JUB9|A0A6P5JUB9_PHACI, tr|A0A6P5JX72|A0A6P5JX72_PHACI, tr|A0A6P5IRB9|A0A6P5IRB9_PHACI, tr|A0A6P5LNT1|A0A6P5LNT1_PHACI, tr|A0A6P5JKP3|A0A6P5JKP3_PHACI, tr|A0A6P5JSB8|A0A6P5JSB8_PHACI, tr|A0A6P5L7V4|A0A6P5L7V4_PHACI, tr|A0A6P5M6N5|A0A6P5M6N5_PHACI, tr|A0A6P5JWV6|A0A6P5JWV6_PHACI, tr|A0A6P5JP71|A0A6P5JP71_PHACI, tr|A0A6P5LGP2|A0A6P5LGP2_PHACI, tr|A0A6P5M525|A0A6P5M525_PHACI, tr|A0A6P5L0B3|A0A6P5L0B3_PHACI, tr|A0A6P5M4H8|A0A6P5M4H8_PHACI, tr|A0A6P5JUG3|A0A6P5JUG3_PHACI
OG0000051	tr|Q8VF06|Q8VF06_MOUSE	tr|A0A6P5JK96|A0A6P5JK96_PHACI
OG0000051	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A6P5JBM0|A0A6P5JBM0_PHACI
OG0000051	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A6P5JK84|A0A6P5JK84_PHACI, tr|A0A6P5IQP4|A0A6P5IQP4_PHACI
OG0000051	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|A0A6P5JBK8|A0A6P5JBK8_PHACI, tr|A0A6P5JKC4|A0A6P5JKC4_PHACI, tr|A0A6P5JBL7|A0A6P5JBL7_PHACI, tr|A0A6P5JDS6|A0A6P5JDS6_PHACI, tr|A0A6P5JK79|A0A6P5JK79_PHACI, tr|A0A6P5JBS1|A0A6P5JBS1_PHACI
OG0000051	tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A6P5IY46|A0A6P5IY46_PHACI, tr|A0A6P5IY41|A0A6P5IY41_PHACI, tr|A0A6P5IMR5|A0A6P5IMR5_PHACI, tr|A0A6P5IX81|A0A6P5IX81_PHACI, tr|A0A6P5IMY3|A0A6P5IMY3_PHACI, tr|A0A6P5IN25|A0A6P5IN25_PHACI, tr|A0A6P5IY27|A0A6P5IY27_PHACI
OG0000053	sp|Q9D504|ANKR7_MOUSE	tr|A0A6P5JBN0|A0A6P5JBN0_PHACI
OG0000053	tr|Q8CEQ9|Q8CEQ9_MOUSE	tr|A0A6P5JKM0|A0A6P5JKM0_PHACI
OG0000053	tr|Q9D5T2|Q9D5T2_MOUSE	tr|A0A6P5JX60|A0A6P5JX60_PHACI, tr|A0A6P5JWZ0|A0A6P5JWZ0_PHACI
