Orthogroup	Mus_musculus	Cavia_porcellus
OG0000030	tr|Q91XZ0|Q91XZ0_MOUSE	tr|H0W5Z4|H0W5Z4_CAVPO
OG0000030	tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE	tr|A0A286XGZ5|A0A286XGZ5_CAVPO
OG0000031	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE	tr|H0W050|H0W050_CAVPO
OG0000035	sp|Q6IFZ9|K2C74_MOUSE	tr|H0VGS7|H0VGS7_CAVPO
OG0000035	sp|Q6IME9|K2C72_MOUSE	tr|A0A286X9U0|A0A286X9U0_CAVPO
OG0000035	sp|Q6NXH9|K2C73_MOUSE	tr|A0A286XQI8|A0A286XQI8_CAVPO
OG0000035	sp|Q9R0H5|K2C71_MOUSE	tr|A0A286XKI0|A0A286XKI0_CAVPO
OG0000035	sp|Q3UV17|K22O_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, sp|P07744|K2C4_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q9Z331|K2C6B_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|P04104|K2C1_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A286XDJ5|A0A286XDJ5_CAVPO
OG0000036	tr|Q6IMH7|Q6IMH7_MOUSE, tr|B2RSY5|B2RSY5_MOUSE	tr|H0V5K5|H0V5K5_CAVPO
OG0000036	tr|Q8CGQ2|Q8CGQ2_MOUSE, tr|B2RUD9|B2RUD9_MOUSE	tr|H0W299|H0W299_CAVPO
OG0000036	sp|Q61072|ADAM9_MOUSE	tr|H0VAT1|H0VAT1_CAVPO
OG0000036	sp|Q8R534|ADM1B_MOUSE, sp|Q60813|ADM1A_MOUSE	tr|H0W5X6|H0W5X6_CAVPO
OG0000041	sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE	tr|H0W9G7|H0W9G7_CAVPO
OG0000041	sp|Q8CIP3|MRGX1_MOUSE	tr|H0VZ74|H0VZ74_CAVPO
OG0000041	sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE	tr|W8W3G8|W8W3G8_CAVPO
OG0000043	sp|Q8VIC9|V1R43_MOUSE, sp|Q8VBS7|V1R42_MOUSE, sp|Q8VIC6|V1R51_MOUSE, sp|Q8VIC7|V1R45_MOUSE, sp|Q8R2E6|V1A11_MOUSE, sp|Q9EQ51|V1R47_MOUSE, sp|Q9EQ52|V1R48_MOUSE, sp|Q9EQ48|VN1A8_MOUSE, sp|Q9EP79|V1R52_MOUSE, sp|Q9EQ47|V1R44_MOUSE, sp|Q9EP93|V1R53_MOUSE, tr|A0A494BA90|A0A494BA90_MOUSE, sp|Q9EQ44|V1R41_MOUSE, sp|Q9EQ46|V1R40_MOUSE, sp|Q9WUF1|V1R49_MOUSE, sp|Q9EP51|V1R50_MOUSE, sp|Q9EQ45|V1R46_MOUSE, sp|Q9EPB8|V1R54_MOUSE, tr|E9PVR6|E9PVR6_MOUSE	tr|A0A286XB14|A0A286XB14_CAVPO
OG0000044	sp|Q8BQR7|MAGBI_MOUSE	tr|H0VVU4|H0VVU4_CAVPO
OG0000044	tr|Q9D2H4|Q9D2H4_MOUSE, tr|A2AHM0|A2AHM0_MOUSE, tr|A2AHM1|A2AHM1_MOUSE, sp|A2A9R3|MAGB4_MOUSE, sp|Q9CWV4|MAGBG_MOUSE, tr|Q9D4D2|Q9D4D2_MOUSE, tr|Q99PA7|Q99PA7_MOUSE, tr|A2AMW4|A2AMW4_MOUSE, tr|Q9D9G4|Q9D9G4_MOUSE, tr|Q8BQJ2|Q8BQJ2_MOUSE, tr|F2Z493|F2Z493_MOUSE, tr|O89009|O89009_MOUSE, tr|O89012|O89012_MOUSE, tr|O89010|O89010_MOUSE, tr|Q6T340|Q6T340_MOUSE, tr|Q9R2A2|Q9R2A2_MOUSE, tr|O89006|O89006_MOUSE	tr|A0A286XHW6|A0A286XHW6_CAVPO
OG0000049	tr|A2AUA2|A2AUA2_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|A2AVK5|A2AVK5_MOUSE	tr|A0A286Y129|A0A286Y129_CAVPO
OG0000052	tr|Q8VF69|Q8VF69_MOUSE	tr|H0W3I2|H0W3I2_CAVPO
OG0000052	tr|Q8VFG3|Q8VFG3_MOUSE	tr|H0VYK2|H0VYK2_CAVPO, tr|H0W6D8|H0W6D8_CAVPO, tr|H0V9V2|H0V9V2_CAVPO, tr|H0W488|H0W488_CAVPO, tr|H0V9T4|H0V9T4_CAVPO, tr|H0WDJ6|H0WDJ6_CAVPO, tr|H0VCR0|H0VCR0_CAVPO, tr|H0WCS5|H0WCS5_CAVPO, tr|H0VXM5|H0VXM5_CAVPO, tr|H0VXX6|H0VXX6_CAVPO, tr|H0W5P0|H0W5P0_CAVPO, tr|H0VW58|H0VW58_CAVPO, tr|A0A286XG24|A0A286XG24_CAVPO, tr|H0W6G5|H0W6G5_CAVPO
OG0000053	tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE	tr|A0A286Y219|A0A286Y219_CAVPO, tr|A0A286XWV9|A0A286XWV9_CAVPO, tr|A0A286XKG9|A0A286XKG9_CAVPO, tr|A0A286XUD7|A0A286XUD7_CAVPO, tr|H0W6K2|H0W6K2_CAVPO, tr|A0A286XLQ2|A0A286XLQ2_CAVPO, tr|A0A286X9S0|A0A286X9S0_CAVPO, tr|A0A286XAB4|A0A286XAB4_CAVPO, tr|A0A286XDR3|A0A286XDR3_CAVPO, tr|H0WDE0|H0WDE0_CAVPO, tr|A0A286XEJ2|A0A286XEJ2_CAVPO, tr|A0A286Y0N7|A0A286Y0N7_CAVPO, tr|H0W320|H0W320_CAVPO, tr|H0V789|H0V789_CAVPO, tr|H0WAR2|H0WAR2_CAVPO
OG0000054	tr|Q8VFX5|Q8VFX5_MOUSE	tr|A0A286XMH1|A0A286XMH1_CAVPO, tr|A0A286XP60|A0A286XP60_CAVPO, tr|A0A286XHJ2|A0A286XHJ2_CAVPO, tr|H0W3I8|H0W3I8_CAVPO, tr|H0WBJ5|H0WBJ5_CAVPO, tr|H0WAC0|H0WAC0_CAVPO, tr|A0A286X7R2|A0A286X7R2_CAVPO, tr|H0W697|H0W697_CAVPO, tr|H0VZX2|H0VZX2_CAVPO, tr|A0A286XTG6|A0A286XTG6_CAVPO, tr|H0W103|H0W103_CAVPO, tr|H0VP89|H0VP89_CAVPO, tr|A0A286XS31|A0A286XS31_CAVPO, tr|A0A286XYC1|A0A286XYC1_CAVPO, tr|A0A286Y114|A0A286Y114_CAVPO, tr|H0WA42|H0WA42_CAVPO
OG0000055	sp|P63268|ACTH_MOUSE	tr|A0A286Y461|A0A286Y461_CAVPO
OG0000055	sp|P68134|ACTS_MOUSE	tr|H0UXP6|H0UXP6_CAVPO
OG0000055	sp|P68033|ACTC_MOUSE	tr|H0VGS3|H0VGS3_CAVPO
OG0000055	sp|P62737|ACTA_MOUSE	tr|H0VJI2|H0VJI2_CAVPO
OG0000055	sp|P63260|ACTG_MOUSE	tr|A0A286XYY5|A0A286XYY5_CAVPO
OG0000055	sp|P60710|ACTB_MOUSE	sp|Q71FK5|ACTB_CAVPO
OG0000055	sp|Q8BFZ3|ACTBL_MOUSE	tr|H0VI92|H0VI92_CAVPO
OG0000055	tr|D3YYH9|D3YYH9_MOUSE	tr|H0W945|H0W945_CAVPO, tr|H0WBR6|H0WBR6_CAVPO
OG0000056	tr|Q7TQV4|Q7TQV4_MOUSE	tr|H0VV23|H0VV23_CAVPO
OG0000056	tr|Q8VGB1|Q8VGB1_MOUSE	tr|H0W4B7|H0W4B7_CAVPO
OG0000056	tr|L7MU75|L7MU75_MOUSE	tr|H0W6P1|H0W6P1_CAVPO
OG0000056	tr|Q3KPC7|Q3KPC7_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE	tr|H0WD95|H0WD95_CAVPO
OG0000057	sp|E9Q5K4|CP2CN_MOUSE	tr|H0WA73|H0WA73_CAVPO
OG0000057	sp|Q91W64|CP270_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, tr|Q148B1|Q148B1_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, sp|P56657|CP240_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, tr|Q569X9|Q569X9_MOUSE, sp|P56654|CP237_MOUSE, sp|Q91X77|CY250_MOUSE, sp|Q6XVG2|CP254_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56656|CP239_MOUSE, sp|P56655|CP238_MOUSE, sp|Q9D816|CP255_MOUSE	tr|H0VF60|H0VF60_CAVPO
OG0000058	sp|P06797|CATL1_MOUSE, tr|E9Q623|E9Q623_MOUSE, tr|Q3ULP7|Q3ULP7_MOUSE, sp|Q80UB0|TEST2_MOUSE, tr|Q9ET52|Q9ET52_MOUSE, sp|Q9JIA9|CATR_MOUSE, tr|Q91ZF4|Q91ZF4_MOUSE, sp|Q9R014|CATJ_MOUSE, sp|Q91ZF2|CAT7_MOUSE, sp|Q9JI81|CAT8_MOUSE, tr|Q91ZD5|Q91ZD5_MOUSE, sp|Q9JL96|CATM_MOUSE, sp|P12400|CTL2B_MOUSE, sp|P12399|CTL2A_MOUSE, sp|P13438|TSP_MOUSE, tr|Q9CQC0|Q9CQC0_MOUSE	tr|H0VE49|H0VE49_CAVPO
OG0000059	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A286XD72|A0A286XD72_CAVPO
OG0000059	tr|A0A087WRR7|A0A087WRR7_MOUSE, tr|Q9D654|Q9D654_MOUSE, tr|G3X9H3|G3X9H3_MOUSE, tr|Q3TQG9|Q3TQG9_MOUSE, sp|P16374|ZFP60_MOUSE, tr|J3QPC5|J3QPC5_MOUSE, sp|P16373|ZFP59_MOUSE, tr|E9Q2S6|E9Q2S6_MOUSE, tr|A0A0U1RQ84|A0A0U1RQ84_MOUSE, tr|Q3UVF6|Q3UVF6_MOUSE, tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE, sp|Q6P9Y7|ZFP82_MOUSE, sp|Q60585|ZFP30_MOUSE	tr|H0VB87|H0VB87_CAVPO
OG0000063	sp|A6BLY7|K1C28_MOUSE	tr|A0A286XT37|A0A286XT37_CAVPO
OG0000063	sp|Q9Z320|K1C27_MOUSE	tr|A0A286XSV9|A0A286XSV9_CAVPO
OG0000063	sp|Q8VCW2|K1C25_MOUSE	tr|H0UU24|H0UU24_CAVPO
OG0000063	sp|Q3TRJ4|K1C26_MOUSE	tr|A0A286XTF7|A0A286XTF7_CAVPO
OG0000063	sp|A1L317|K1C24_MOUSE	tr|A0A286XER5|A0A286XER5_CAVPO
OG0000063	sp|P19001|K1C19_MOUSE	tr|A0A286XKP4|A0A286XKP4_CAVPO, tr|A0A286XNZ7|A0A286XNZ7_CAVPO, tr|A0A286XDY9|A0A286XDY9_CAVPO, tr|A0A286Y2E4|A0A286Y2E4_CAVPO, tr|A0A286XP79|A0A286XP79_CAVPO
OG0000064	sp|Q8R4B8|NLRP3_MOUSE	tr|H0WCD9|H0WCD9_CAVPO
OG0000064	sp|E9Q5R7|NAL12_MOUSE, sp|Q8CCN1|NAL10_MOUSE, sp|Q8C6J9|NAL4B_MOUSE, sp|Q66X05|NAL4F_MOUSE, sp|Q8BU40|NAL4A_MOUSE, sp|Q66X19|NAL4E_MOUSE, sp|Q3TKR3|NAL4C_MOUSE, sp|Q66X01|NLR9C_MOUSE, sp|Q66X03|NLR9A_MOUSE, sp|Q66X22|NLR9B_MOUSE, tr|Q4PLS0|Q4PLS0_MOUSE, sp|Q9R1M5|NALP5_MOUSE, sp|Q6B966|NAL14_MOUSE	tr|H0V413|H0V413_CAVPO
OG0000065	tr|A6H6J2|A6H6J2_MOUSE, sp|P12790|CP2B9_MOUSE, sp|P12791|CP2BA_MOUSE, tr|E9Q593|E9Q593_MOUSE, sp|O55071|CP2BJ_MOUSE, tr|E9PWV0|E9PWV0_MOUSE, sp|O54749|CP2J5_MOUSE, tr|Q3UNV4|Q3UNV4_MOUSE, sp|O54750|CP2J6_MOUSE, tr|Q924D1|Q924D1_MOUSE, tr|Q3UNV2|Q3UNV2_MOUSE, tr|G3UZ38|G3UZ38_MOUSE, tr|A0A140T8U1|A0A140T8U1_MOUSE, tr|G3UXT0|G3UXT0_MOUSE	tr|H0WCF9|H0WCF9_CAVPO, tr|H0VIM8|H0VIM8_CAVPO
OG0000066	tr|Q8R256|Q8R256_MOUSE, tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|Q5SVD6|Q5SVD6_MOUSE, tr|Q5SSA0|Q5SSA0_MOUSE, tr|Q8R259|Q8R259_MOUSE, tr|Q8R258|Q8R258_MOUSE, tr|I7HIK1|I7HIK1_MOUSE, tr|J3JS27|J3JS27_MOUSE, tr|Q8R262|Q8R262_MOUSE, tr|Q8R261|Q8R261_MOUSE, tr|Q8R264|Q8R264_MOUSE, tr|Q8K4C9|Q8K4C9_MOUSE, tr|Q8R263|Q8R263_MOUSE	tr|H0VYZ0|H0VYZ0_CAVPO
OG0000067	tr|Q8CFE8|Q8CFE8_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE	tr|H0WAC2|H0WAC2_CAVPO
