Orthogroup	Mus_musculus	Lipotes_vexillifer
OG0000016	tr|L7N2B7|L7N2B7_MOUSE, tr|K7N6U5|K7N6U5_MOUSE, tr|E9Q067|E9Q067_MOUSE, tr|L7N2D8|L7N2D8_MOUSE, tr|G3XA45|G3XA45_MOUSE, tr|K7N702|K7N702_MOUSE, tr|E9PW21|E9PW21_MOUSE, tr|D3Z7M3|D3Z7M3_MOUSE, tr|K7N6T2|K7N6T2_MOUSE, tr|L7N2B3|L7N2B3_MOUSE, tr|D3Z4N8|D3Z4N8_MOUSE, tr|G5E8Z7|G5E8Z7_MOUSE, tr|A0A3B2W842|A0A3B2W842_MOUSE, tr|E9Q3F5|E9Q3F5_MOUSE, tr|G3X931|G3X931_MOUSE, tr|E9Q0E7|E9Q0E7_MOUSE, tr|E9Q281|E9Q281_MOUSE, tr|K7N6V1|K7N6V1_MOUSE, sp|E9Q6I0|V2116_MOUSE, tr|K7N674|K7N674_MOUSE, tr|L7N221|L7N221_MOUSE, tr|A0A140T8U3|A0A140T8U3_MOUSE, tr|E9PZA6|E9PZA6_MOUSE, tr|Q80Z08|Q80Z08_MOUSE, tr|L7N2E5|L7N2E5_MOUSE, tr|E9PW61|E9PW61_MOUSE, tr|E9Q7U8|E9Q7U8_MOUSE, tr|K7N741|K7N741_MOUSE, tr|F6W043|F6W043_MOUSE, tr|E9Q5C7|E9Q5C7_MOUSE, tr|E9Q5D8|E9Q5D8_MOUSE, tr|L7N2B5|L7N2B5_MOUSE, tr|F8VQD3|F8VQD3_MOUSE, tr|E9PVI0|E9PVI0_MOUSE, tr|L7N215|L7N215_MOUSE, tr|K7N5W1|K7N5W1_MOUSE, tr|K7N709|K7N709_MOUSE, tr|O35192|O35192_MOUSE, tr|D3Z6L3|D3Z6L3_MOUSE, tr|K7N686|K7N686_MOUSE, tr|L7N203|L7N203_MOUSE, tr|L7N2B2|L7N2B2_MOUSE, tr|L7N2D4|L7N2D4_MOUSE, tr|K7N705|K7N705_MOUSE, tr|G3UYA8|G3UYA8_MOUSE, tr|L7N2E1|L7N2E1_MOUSE, tr|L7N1Z4|L7N1Z4_MOUSE	tr|A0A340Y5J4|A0A340Y5J4_LIPVE
OG0000019	tr|Q8R2A2|Q8R2A2_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE	tr|A0A340XD88|A0A340XD88_LIPVE
OG0000019	tr|Q8R296|Q8R296_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|K7N608|K7N608_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|L7N213|L7N213_MOUSE	tr|A0A340WRH9|A0A340WRH9_LIPVE
OG0000020	tr|E9PVZ7|E9PVZ7_MOUSE, sp|Q60886|OL147_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, sp|Q60882|OL145_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|L7N210|L7N210_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|K7N678|K7N678_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|B2RVX8|B2RVX8_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE	tr|A0A340XRP4|A0A340XRP4_LIPVE
OG0000022	tr|Q7TRV7|Q7TRV7_MOUSE, tr|Q8VGP4|Q8VGP4_MOUSE, tr|Q7TRV8|Q7TRV8_MOUSE, tr|Q8VF80|Q8VF80_MOUSE, tr|B2RT27|B2RT27_MOUSE, tr|Q8VGP5|Q8VGP5_MOUSE, tr|Q8VF81|Q8VF81_MOUSE, tr|Q8VES9|Q8VES9_MOUSE, sp|P34984|OLF13_MOUSE, tr|Q8VGP6|Q8VGP6_MOUSE, tr|Q8VEV1|Q8VEV1_MOUSE, tr|Q8VF17|Q8VF17_MOUSE, tr|Q8VF18|Q8VF18_MOUSE, tr|Q8VFS3|Q8VFS3_MOUSE, tr|Q8VFS6|Q8VFS6_MOUSE, tr|K9J725|K9J725_MOUSE, tr|Q8VFS5|Q8VFS5_MOUSE, tr|Q8VEV0|Q8VEV0_MOUSE, tr|Q7TQV3|Q7TQV3_MOUSE, tr|Q5NCC7|Q5NCC7_MOUSE, tr|A2ASV3|A2ASV3_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|E9PZS7|E9PZS7_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|Q9EPG6|Q9EPG6_MOUSE, tr|Q8VG49|Q8VG49_MOUSE, tr|E9Q725|E9Q725_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE	tr|A0A340Y5G9|A0A340Y5G9_LIPVE
OG0000024	tr|Q5NC45|Q5NC45_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE	tr|A0A340X5H6|A0A340X5H6_LIPVE
OG0000036	sp|Q3V080|ZN583_MOUSE	tr|A0A340X809|A0A340X809_LIPVE
OG0000036	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A340YBS0|A0A340YBS0_LIPVE, tr|A0A340YBN7|A0A340YBN7_LIPVE
OG0000036	sp|P10755|ZFP14_MOUSE	tr|A0A340YDN6|A0A340YDN6_LIPVE, tr|A0A340XI74|A0A340XI74_LIPVE, tr|A0A340YGF8|A0A340YGF8_LIPVE, tr|A0A340YGC4|A0A340YGC4_LIPVE, tr|A0A340YFG5|A0A340YFG5_LIPVE, tr|A0A340YI62|A0A340YI62_LIPVE, tr|A0A340XJA3|A0A340XJA3_LIPVE, tr|A0A340XH76|A0A340XH76_LIPVE, tr|A0A340YGB9|A0A340YGB9_LIPVE
OG0000036	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A340YBU0|A0A340YBU0_LIPVE, tr|A0A340X7H6|A0A340X7H6_LIPVE
OG0000038	sp|C0HKE7|H2A1N_MOUSE	tr|A0A340YEB1|A0A340YEB1_LIPVE
OG0000038	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A340XTN9|A0A340XTN9_LIPVE
OG0000038	sp|Q64522|H2A2B_MOUSE	tr|A0A340XQD7|A0A340XQD7_LIPVE
OG0000038	sp|P27661|H2AX_MOUSE	tr|A0A340YFX3|A0A340YFX3_LIPVE, tr|A0A340X470|A0A340X470_LIPVE
OG0000038	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A340X057|A0A340X057_LIPVE
OG0000038	sp|Q64523|H2A2C_MOUSE	tr|A0A340XWJ5|A0A340XWJ5_LIPVE
OG0000038	sp|Q8BFU2|H2A3_MOUSE	tr|A0A340XC20|A0A340XC20_LIPVE, tr|A0A340X4S1|A0A340X4S1_LIPVE
OG0000038	sp|C0HKE1|H2A1B_MOUSE	tr|A0A340YIN2|A0A340YIN2_LIPVE
OG0000039	sp|Q05421|CP2E1_MOUSE	tr|A0A340WWM4|A0A340WWM4_LIPVE
OG0000039	sp|E9Q5K4|CP2CN_MOUSE	tr|A0A340YEG8|A0A340YEG8_LIPVE
OG0000039	sp|P33267|CP2F2_MOUSE, sp|Q9DBX6|CP2S1_MOUSE, tr|E9PWV0|E9PWV0_MOUSE, sp|O55071|CP2BJ_MOUSE, tr|E9Q593|E9Q593_MOUSE, sp|P12790|CP2B9_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, sp|P12791|CP2BA_MOUSE, sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE, sp|P56593|CP2AC_MOUSE, tr|Q9WV19|Q9WV19_MOUSE	tr|A0A340XB77|A0A340XB77_LIPVE
OG0000045	tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, sp|O08976|PBAS_MOUSE, tr|Q9D3N5|Q9D3N5_MOUSE, tr|B1AVU4|B1AVU4_MOUSE, sp|A2AEP0|OBP1B_MOUSE, tr|A2BHD2|A2BHD2_MOUSE, tr|A2AEN9|A2AEN9_MOUSE, sp|Q9D3H2|OBP1A_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11591|MUP5_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE	tr|A0A340XC52|A0A340XC52_LIPVE
OG0000048	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A340WI62|A0A340WI62_LIPVE
OG0000048	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A340WQF9|A0A340WQF9_LIPVE
OG0000048	sp|Q07231|ZSC21_MOUSE	tr|A0A340YAQ2|A0A340YAQ2_LIPVE
OG0000048	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A340Y274|A0A340Y274_LIPVE, tr|A0A340X0X0|A0A340X0X0_LIPVE
OG0000048	sp|Q9Z1D8|ZKSC5_MOUSE	tr|A0A340WKS6|A0A340WKS6_LIPVE, tr|A0A340X5K8|A0A340X5K8_LIPVE, tr|A0A340XRX8|A0A340XRX8_LIPVE, tr|A0A340X2Q5|A0A340X2Q5_LIPVE, tr|A0A340WF36|A0A340WF36_LIPVE, tr|A0A340XEE7|A0A340XEE7_LIPVE, tr|A0A340WWF1|A0A340WWF1_LIPVE, tr|A0A340X2Z4|A0A340X2Z4_LIPVE, tr|A0A340WH52|A0A340WH52_LIPVE
OG0000048	sp|Q91VN1|ZNF24_MOUSE	tr|A0A340WQQ9|A0A340WQQ9_LIPVE, tr|A0A340WNU7|A0A340WNU7_LIPVE, tr|A0A340WKT4|A0A340WKT4_LIPVE, tr|A0A340YJ64|A0A340YJ64_LIPVE, tr|A0A340X1S8|A0A340X1S8_LIPVE
OG0000050	tr|Q3TQ88|Q3TQ88_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, tr|Q62056|Q62056_MOUSE	tr|A0A340XAZ9|A0A340XAZ9_LIPVE
OG0000057	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A340X941|A0A340X941_LIPVE
OG0000057	sp|P70696|H2B1A_MOUSE	tr|A0A340WNT6|A0A340WNT6_LIPVE, tr|A0A340WQS4|A0A340WQS4_LIPVE, tr|A0A340YC91|A0A340YC91_LIPVE, tr|A0A340YED1|A0A340YED1_LIPVE, tr|A0A340YFT7|A0A340YFT7_LIPVE, tr|A0A340YIQ3|A0A340YIQ3_LIPVE, tr|A0A340YCA7|A0A340YCA7_LIPVE, tr|A0A340XW08|A0A340XW08_LIPVE, tr|A0A340Y9Y9|A0A340Y9Y9_LIPVE, tr|A0A340Y8Y2|A0A340Y8Y2_LIPVE, tr|A0A340YFT1|A0A340YFT1_LIPVE, tr|A0A340YCC0|A0A340YCC0_LIPVE
OG0000057	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A340WQG4|A0A340WQG4_LIPVE, tr|A0A340YE94|A0A340YE94_LIPVE
OG0000057	sp|P10854|H2B1M_MOUSE	tr|A0A340YFV1|A0A340YFV1_LIPVE, tr|A0A340WQS0|A0A340WQS0_LIPVE, tr|A0A340YEA0|A0A340YEA0_LIPVE
OG0000058	sp|P70458|IPSP_MOUSE	tr|A0A340WK51|A0A340WK51_LIPVE
OG0000058	sp|Q9D7D2|SPA9_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|P29621|SPA3C_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P07759|SPA3K_MOUSE, tr|D3Z450|D3Z450_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q80X76|SPA3F_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, sp|P07758|A1AT1_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00898|A1AT5_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|Q7TMF5|SPA12_MOUSE, sp|Q8CIE0|SPA11_MOUSE	tr|A0A340WIM6|A0A340WIM6_LIPVE
OG0000061	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A340XWA3|A0A340XWA3_LIPVE
OG0000061	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A340XVP2|A0A340XVP2_LIPVE, tr|A0A340WF01|A0A340WF01_LIPVE, tr|A0A340WM36|A0A340WM36_LIPVE, tr|A0A340XH85|A0A340XH85_LIPVE, tr|A0A340XSG4|A0A340XSG4_LIPVE, tr|A0A340YA28|A0A340YA28_LIPVE, tr|A0A340YD34|A0A340YD34_LIPVE, tr|A0A340XT07|A0A340XT07_LIPVE, tr|A0A340YFC6|A0A340YFC6_LIPVE, tr|A0A340XL37|A0A340XL37_LIPVE, tr|A0A340WIV2|A0A340WIV2_LIPVE, tr|A0A340X3T9|A0A340X3T9_LIPVE, tr|A0A340YE27|A0A340YE27_LIPVE, tr|A0A340YCS0|A0A340YCS0_LIPVE, tr|A0A340Y983|A0A340Y983_LIPVE, tr|A0A340WTF0|A0A340WTF0_LIPVE, tr|A0A340WWX3|A0A340WWX3_LIPVE, tr|A0A340WPL6|A0A340WPL6_LIPVE, tr|A0A340WWL0|A0A340WWL0_LIPVE
OG0000062	sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE	tr|A0A340X7Z7|A0A340X7Z7_LIPVE
