Orthogroup	Mus_musculus	Pteropus_alecto
OG0000006	tr|Q8VGB8|Q8VGB8_MOUSE	tr|L5JPT9|L5JPT9_PTEAL
OG0000006	sp|Q60879|OLF3_MOUSE	tr|L5JRK7|L5JRK7_PTEAL, tr|L5JUN1|L5JUN1_PTEAL, tr|L5JW82|L5JW82_PTEAL, tr|L5JZL9|L5JZL9_PTEAL, tr|L5JXB0|L5JXB0_PTEAL, tr|L5KCG1|L5KCG1_PTEAL, tr|L5K5K3|L5K5K3_PTEAL, tr|L5K4I6|L5K4I6_PTEAL, tr|L5K511|L5K511_PTEAL, tr|L5K775|L5K775_PTEAL
OG0000006	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|L5K506|L5K506_PTEAL, tr|L5L653|L5L653_PTEAL, tr|L5K9A6|L5K9A6_PTEAL, tr|L5L648|L5L648_PTEAL, tr|L5KGN3|L5KGN3_PTEAL, tr|L5KJ88|L5KJ88_PTEAL
OG0000018	tr|O19441|O19441_MOUSE, tr|Q4KN81|Q4KN81_MOUSE, tr|Q8HWB2|Q8HWB2_MOUSE, tr|P79568|P79568_MOUSE, sp|P14430|HA18_MOUSE, sp|P14429|HA17_MOUSE, sp|P14431|HA19_MOUSE, tr|V9GXR0|V9GXR0_MOUSE, tr|G3UXE9|G3UXE9_MOUSE, sp|P01898|HA10_MOUSE, sp|P14427|HA14_MOUSE, sp|P01901|HA1B_MOUSE, sp|P01897|HA1L_MOUSE, sp|P06339|HA15_MOUSE, tr|Q0WXH6|Q0WXH6_MOUSE, tr|A7VMS2|A7VMS2_MOUSE, tr|Q85ZW9|Q85ZW9_MOUSE, tr|Q85ZW8|Q85ZW8_MOUSE, tr|Q85ZW5|Q85ZW5_MOUSE, tr|Q85ZW6|Q85ZW6_MOUSE, tr|Q85ZW7|Q85ZW7_MOUSE, tr|O19443|O19443_MOUSE, tr|F7CXU4|F7CXU4_MOUSE, tr|F6U8V3|F6U8V3_MOUSE, tr|O19442|O19442_MOUSE, tr|A7VMS3|A7VMS3_MOUSE, tr|Q6W9L1|Q6W9L1_MOUSE, tr|Q31093|Q31093_MOUSE, sp|P14432|HA1T_MOUSE, tr|F6T1I5|F6T1I5_MOUSE, tr|Q31615|Q31615_MOUSE, sp|P01896|HA1Z_MOUSE, tr|F8VQG4|F8VQG4_MOUSE, tr|Q9CWF0|Q9CWF0_MOUSE	tr|L5JR50|L5JR50_PTEAL, tr|L5L7M4|L5L7M4_PTEAL, tr|L5KFB8|L5KFB8_PTEAL
OG0000024	sp|Q3UV17|K22O_MOUSE	tr|L5L6W0|L5L6W0_PTEAL, tr|L5L5U5|L5L5U5_PTEAL
OG0000024	sp|Q6IME9|K2C72_MOUSE	tr|L5L5V0|L5L5V0_PTEAL
OG0000024	sp|Q6NXH9|K2C73_MOUSE	tr|L5L6W4|L5L6W4_PTEAL
OG0000024	sp|Q9R0H5|K2C71_MOUSE	tr|L5L5K0|L5L5K0_PTEAL
OG0000024	sp|Q6IFZ9|K2C74_MOUSE	tr|L5L7J0|L5L7J0_PTEAL
OG0000024	sp|Q8VED5|K2C79_MOUSE	tr|L5L7I3|L5L7I3_PTEAL
OG0000024	sp|Q6IFZ6|K2C1B_MOUSE	tr|L5L5J5|L5L5J5_PTEAL
OG0000024	sp|Q9DCV7|K2C7_MOUSE	tr|L5L6H0|L5L6H0_PTEAL
OG0000024	sp|P11679|K2C8_MOUSE	tr|L5KYX4|L5KYX4_PTEAL, tr|L5K0D0|L5K0D0_PTEAL, tr|L5K3Q4|L5K3Q4_PTEAL, tr|L5JNQ8|L5JNQ8_PTEAL, tr|L5K474|L5K474_PTEAL, tr|L5KX10|L5KX10_PTEAL, tr|L5K7A3|L5K7A3_PTEAL, tr|L5L6V6|L5L6V6_PTEAL
OG0000025	tr|A0A087WRF5|A0A087WRF5_MOUSE, tr|A0A087WRT9|A0A087WRT9_MOUSE, tr|A0A087WSS9|A0A087WSS9_MOUSE, tr|A0A087WNW5|A0A087WNW5_MOUSE, tr|A0A087WRL2|A0A087WRL2_MOUSE, tr|A0A087WS79|A0A087WS79_MOUSE, tr|A0A087WRP6|A0A087WRP6_MOUSE, tr|A0A087WQC7|A0A087WQC7_MOUSE, tr|A0A087WQA3|A0A087WQA3_MOUSE, tr|A0A087WPJ9|A0A087WPJ9_MOUSE, tr|Q810R0|Q810R0_MOUSE, tr|Q3TML4|Q3TML4_MOUSE, tr|A0A087WR14|A0A087WR14_MOUSE, tr|A0A0A6YX04|A0A0A6YX04_MOUSE, tr|A0A087WP35|A0A087WP35_MOUSE, tr|A0A087WP28|A0A087WP28_MOUSE, sp|P05531|XLR_MOUSE, tr|Q9D6C3|Q9D6C3_MOUSE, tr|A0A087WNW4|A0A087WNW4_MOUSE, tr|A0A087WRK3|A0A087WRK3_MOUSE, tr|A0A087WP44|A0A087WP44_MOUSE, tr|A0A087WPP3|A0A087WPP3_MOUSE, tr|A0A0A6YW38|A0A0A6YW38_MOUSE, tr|A0A087WQL3|A0A087WQL3_MOUSE, tr|A0A087WS97|A0A087WS97_MOUSE, tr|Q9DAC5|Q9DAC5_MOUSE, sp|P70281|SYCP3_MOUSE, tr|A0A087WR99|A0A087WR99_MOUSE, tr|A0A087WSS0|A0A087WSS0_MOUSE, tr|A0A087WQ24|A0A087WQ24_MOUSE, tr|A0A087WPA5|A0A087WPA5_MOUSE	tr|L5L2R0|L5L2R0_PTEAL
OG0000027	sp|Q9CWV4|MAGBG_MOUSE	tr|L5K631|L5K631_PTEAL, tr|L5KZW2|L5KZW2_PTEAL
OG0000027	sp|Q9QZ04|MAGL2_MOUSE	tr|L5L1D6|L5L1D6_PTEAL
OG0000027	sp|Q8BQR7|MAGBI_MOUSE	tr|L5L505|L5L505_PTEAL, tr|L5L3A0|L5L3A0_PTEAL, tr|L5L308|L5L308_PTEAL, tr|L5JZQ6|L5JZQ6_PTEAL
OG0000027	tr|G3UW88|G3UW88_MOUSE	tr|L5KHV2|L5KHV2_PTEAL, tr|L5L3A4|L5L3A4_PTEAL, tr|L5KQE6|L5KQE6_PTEAL, tr|L5K9D5|L5K9D5_PTEAL, tr|L5KBE2|L5KBE2_PTEAL, tr|L5KS97|L5KS97_PTEAL, tr|L5KPG2|L5KPG2_PTEAL
OG0000027	tr|A2AMW4|A2AMW4_MOUSE	tr|L5L571|L5L571_PTEAL, tr|L5L8N0|L5L8N0_PTEAL, tr|L5KIF6|L5KIF6_PTEAL, tr|L5L988|L5L988_PTEAL, tr|L5L876|L5L876_PTEAL, tr|L5KI61|L5KI61_PTEAL, tr|L5JTC8|L5JTC8_PTEAL, tr|L5L6V9|L5L6V9_PTEAL, tr|L5JSC9|L5JSC9_PTEAL, tr|L5JS27|L5JS27_PTEAL, tr|L5KPH9|L5KPH9_PTEAL
OG0000028	sp|P01822|HVM46_MOUSE, sp|P18531|HVM60_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P18533|HVM62_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE	tr|L5KBG2|L5KBG2_PTEAL
OG0000031	tr|Q80UK5|Q80UK5_MOUSE, tr|F6V5V4|F6V5V4_MOUSE, tr|Q8VHQ1|Q8VHQ1_MOUSE, tr|O08806|O08806_MOUSE, tr|Q8BMT0|Q8BMT0_MOUSE, tr|O08797|O08797_MOUSE, tr|Q9DAV6|Q9DAV6_MOUSE, tr|I7HJI5|I7HJI5_MOUSE	tr|L5L892|L5L892_PTEAL
OG0000031	tr|G3X9V8|G3X9V8_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q6UKZ0|Q6UKZ0_MOUSE, sp|Q8CDC0|SPB13_MOUSE	tr|L5KIE8|L5KIE8_PTEAL
OG0000031	sp|P12388|PAI2_MOUSE, sp|Q8VHP7|ILEUB_MOUSE, sp|Q5SV42|ILEUC_MOUSE, sp|Q9D154|ILEUA_MOUSE	tr|L5JRG4|L5JRG4_PTEAL
OG0000032	sp|Q925P2|CEAM2_MOUSE, sp|P31809|CEAM1_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE	tr|L5KSE1|L5KSE1_PTEAL
OG0000033	sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE5|H2A1G_MOUSE	tr|L5JWK9|L5JWK9_PTEAL
OG0000033	sp|P27661|H2AX_MOUSE	tr|L5KKI6|L5KKI6_PTEAL
OG0000033	sp|Q68SN8|FCRL5_MOUSE	tr|L5K5M5|L5K5M5_PTEAL, tr|L5KFP4|L5KFP4_PTEAL, tr|L5JW04|L5JW04_PTEAL, tr|L5JWM9|L5JWM9_PTEAL, tr|L5JTP2|L5JTP2_PTEAL
OG0000033	sp|Q8R1M2|H2AJ_MOUSE	tr|L5KKW4|L5KKW4_PTEAL
OG0000033	sp|Q64523|H2A2C_MOUSE	tr|L5K5G0|L5K5G0_PTEAL
OG0000033	sp|Q6GSS7|H2A2A_MOUSE	tr|L5JT99|L5JT99_PTEAL, tr|L5K3T7|L5K3T7_PTEAL
OG0000037	tr|Q7TS30|Q7TS30_MOUSE	tr|L5JVB0|L5JVB0_PTEAL
OG0000037	sp|P23275|OLF15_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE	tr|L5KK43|L5KK43_PTEAL
OG0000037	sp|Q60890|OLF11_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE	tr|L5KX57|L5KX57_PTEAL
OG0000039	tr|B1AYL1|B1AYL1_MOUSE	tr|L5JYX7|L5JYX7_PTEAL
OG0000039	sp|Q6QIY3|SCNAA_MOUSE	tr|L5KQX2|L5KQX2_PTEAL
OG0000039	sp|Q9R053|SCNBA_MOUSE	tr|L5KRR8|L5KRR8_PTEAL
OG0000039	sp|Q9JJV9|SCN5A_MOUSE	tr|L5KS72|L5KS72_PTEAL, tr|L5KPD5|L5KPD5_PTEAL
OG0000039	sp|Q9ER60|SCN4A_MOUSE	tr|L5KNL0|L5KNL0_PTEAL
OG0000039	sp|A2APX8|SCN1A_MOUSE	tr|L5K1M4|L5K1M4_PTEAL
OG0000039	sp|B1AWN6|SCN2A_MOUSE	tr|L5K1L9|L5K1L9_PTEAL
OG0000039	sp|A2ASI5|SCN3A_MOUSE	tr|L5JZ94|L5JZ94_PTEAL
OG0000039	sp|Q62205|SCN9A_MOUSE	tr|L5JZZ1|L5JZZ1_PTEAL
OG0000039	sp|Q9WTU3|SCN8A_MOUSE	tr|L5L5L9|L5L5L9_PTEAL
OG0000042	sp|P68368|TBA4A_MOUSE	tr|L5L1N0|L5L1N0_PTEAL
OG0000042	sp|P05214|TBA3_MOUSE	tr|L5KXM7|L5KXM7_PTEAL
OG0000042	sp|P68369|TBA1A_MOUSE	tr|L5K3N3|L5K3N3_PTEAL, tr|L5K646|L5K646_PTEAL, tr|L5K214|L5K214_PTEAL, tr|L5K7S0|L5K7S0_PTEAL, tr|L5KVY7|L5KVY7_PTEAL, tr|L5K9Q0|L5K9Q0_PTEAL, tr|L5JSV9|L5JSV9_PTEAL, tr|L5K8B6|L5K8B6_PTEAL, tr|L5KU33|L5KU33_PTEAL, tr|L5KVS5|L5KVS5_PTEAL
OG0000042	sp|P68373|TBA1C_MOUSE	tr|L5KD59|L5KD59_PTEAL, tr|L5KCA6|L5KCA6_PTEAL
OG0000042	sp|Q3UX10|TBAL3_MOUSE, sp|Q9JJZ2|TBA8_MOUSE	tr|L5JWF7|L5JWF7_PTEAL
OG0000044	sp|P29319|EPHA3_MOUSE	tr|L5JMF3|L5JMF3_PTEAL
OG0000044	sp|Q62413|EPHA6_MOUSE	tr|L5JV56|L5JV56_PTEAL
OG0000044	sp|P54763|EPHB2_MOUSE	tr|L5JRV9|L5JRV9_PTEAL
OG0000044	sp|Q8CBF3|EPHB1_MOUSE	tr|L5L0Y3|L5L0Y3_PTEAL
OG0000044	sp|P54754|EPHB3_MOUSE	tr|L5JN45|L5JN45_PTEAL
OG0000044	sp|P54761|EPHB4_MOUSE	tr|L5K8W3|L5K8W3_PTEAL
OG0000044	sp|Q03145|EPHA2_MOUSE	tr|L5KIY7|L5KIY7_PTEAL
OG0000044	sp|Q03137|EPHA4_MOUSE	tr|L5L292|L5L292_PTEAL
OG0000044	sp|Q60629|EPHA5_MOUSE	tr|L5KAX4|L5KAX4_PTEAL
OG0000044	sp|O09127|EPHA8_MOUSE	tr|L5JRW3|L5JRW3_PTEAL
OG0000044	sp|Q8BYG9|EPHAA_MOUSE, sp|Q61772|EPHA7_MOUSE	tr|L5JPL3|L5JPL3_PTEAL
OG0000047	sp|Q9D267|LCN9_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE	tr|L5K6M3|L5K6M3_PTEAL
OG0000048	tr|Q8VG26|Q8VG26_MOUSE	tr|L5KF24|L5KF24_PTEAL
OG0000048	tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE	tr|L5KCP5|L5KCP5_PTEAL, tr|L5KG31|L5KG31_PTEAL, tr|L5KF90|L5KF90_PTEAL
OG0000048	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|L5KFX4|L5KFX4_PTEAL, tr|L5KDG7|L5KDG7_PTEAL
OG0000048	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|L5KD29|L5KD29_PTEAL
OG0000048	tr|B9EHE6|B9EHE6_MOUSE	tr|L5KF56|L5KF56_PTEAL
OG0000048	tr|Q8VG19|Q8VG19_MOUSE	tr|L5KFZ2|L5KFZ2_PTEAL
OG0000048	tr|Q8VGW1|Q8VGW1_MOUSE	tr|L5KDK4|L5KDK4_PTEAL
OG0000053	tr|Q5NC45|Q5NC45_MOUSE	tr|L5KI67|L5KI67_PTEAL, tr|L5JW21|L5JW21_PTEAL, tr|L5KER0|L5KER0_PTEAL
OG0000053	tr|Q8VF37|Q8VF37_MOUSE	tr|L5JW26|L5JW26_PTEAL, tr|L5JXK4|L5JXK4_PTEAL, tr|L5JUT6|L5JUT6_PTEAL, tr|L5JV92|L5JV92_PTEAL, tr|L5JYB8|L5JYB8_PTEAL, tr|L5JV98|L5JV98_PTEAL, tr|L5JW10|L5JW10_PTEAL, tr|L5JXK8|L5JXK8_PTEAL, tr|L5JUV7|L5JUV7_PTEAL, tr|L5JXL6|L5JXL6_PTEAL, tr|L5JW16|L5JW16_PTEAL, tr|L5JUP1|L5JUP1_PTEAL, tr|L5JXE4|L5JXE4_PTEAL, tr|L5JVA3|L5JVA3_PTEAL, tr|L5JUW2|L5JUW2_PTEAL, tr|L5JYC4|L5JYC4_PTEAL
OG0000054	sp|Q00898|A1AT5_MOUSE, sp|P07758|A1AT1_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|P70458|IPSP_MOUSE, sp|Q9D7D2|SPA9_MOUSE, tr|D3Z450|D3Z450_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q80X76|SPA3F_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|P29621|SPA3C_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P07759|SPA3K_MOUSE	tr|L5JP19|L5JP19_PTEAL
OG0000055	sp|Q6AW46|EST5A_MOUSE, sp|Q8VCT4|EST1D_MOUSE, sp|Q8VCC2|EST1_MOUSE, tr|E9PYP1|E9PYP1_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, sp|Q64176|EST1E_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, sp|P23953|EST1C_MOUSE, sp|Q8R0W5|EST4A_MOUSE, sp|Q8VCU1|EST3B_MOUSE, sp|Q63880|EST3A_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, tr|E9PV38|E9PV38_MOUSE, sp|Q8BK48|EST2E_MOUSE, sp|Q8QZR3|EST2A_MOUSE	tr|L5KVH1|L5KVH1_PTEAL
OG0000057	tr|Q8VGE3|Q8VGE3_MOUSE, sp|Q60893|OL151_MOUSE	tr|L5KG99|L5KG99_PTEAL
OG0000057	tr|Q9EQA9|Q9EQA9_MOUSE	tr|L5KEP2|L5KEP2_PTEAL, tr|L5KH16|L5KH16_PTEAL, tr|L5KE10|L5KE10_PTEAL, tr|L5K2P1|L5K2P1_PTEAL, tr|L5KLB9|L5KLB9_PTEAL, tr|L5KDP0|L5KDP0_PTEAL
OG0000057	tr|Q8VF35|Q8VF35_MOUSE	tr|L5KPM3|L5KPM3_PTEAL
OG0000057	tr|Q9EQ99|Q9EQ99_MOUSE, tr|Q9EQA0|Q9EQA0_MOUSE, tr|Q7TRB7|Q7TRB7_MOUSE, tr|Q7TRB8|Q7TRB8_MOUSE, tr|Q9EQ98|Q9EQ98_MOUSE, tr|Q8VH09|Q8VH09_MOUSE, tr|Q8VGB4|Q8VGB4_MOUSE	tr|L5KQK9|L5KQK9_PTEAL
OG0000061	sp|P10854|H2B1M_MOUSE	tr|L5JTM7|L5JTM7_PTEAL
OG0000061	sp|Q6ZWY9|H2B1C_MOUSE	tr|L5JTA7|L5JTA7_PTEAL
OG0000061	sp|Q64525|H2B2B_MOUSE	tr|L5K6A1|L5K6A1_PTEAL
