Orthogroup	Mus_musculus	Dipodomys_ordii
OG0000030	sp|Q60890|OLF11_MOUSE	tr|A0A1S3GCY1|A0A1S3GCY1_DIPOR
OG0000030	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A1S3GD03|A0A1S3GD03_DIPOR
OG0000030	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A1S3F513|A0A1S3F513_DIPOR, tr|A0A1S3F2U9|A0A1S3F2U9_DIPOR, tr|A0A1S3GEM7|A0A1S3GEM7_DIPOR, tr|A0A1S3GCP4|A0A1S3GCP4_DIPOR, tr|A0A1S3GF56|A0A1S3GF56_DIPOR, tr|A0A1S3GCP9|A0A1S3GCP9_DIPOR, tr|A0A1S3GCQ6|A0A1S3GCQ6_DIPOR, tr|A0A1S3GX67|A0A1S3GX67_DIPOR, tr|A0A1S3GD41|A0A1S3GD41_DIPOR, tr|A0A1S3GED9|A0A1S3GED9_DIPOR, tr|A0A1S3GFJ5|A0A1S3GFJ5_DIPOR
OG0000030	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A1S3GDH2|A0A1S3GDH2_DIPOR, tr|A0A1S3GCM6|A0A1S3GCM6_DIPOR, tr|A0A1S3GCP6|A0A1S3GCP6_DIPOR
OG0000035	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|A0A1S3F442|A0A1S3F442_DIPOR
OG0000035	tr|Q14AJ9|Q14AJ9_MOUSE	tr|A0A1S3F3A6|A0A1S3F3A6_DIPOR, tr|A0A1S3F2N4|A0A1S3F2N4_DIPOR, tr|A0A1S3F2R6|A0A1S3F2R6_DIPOR, tr|A0A1S3F2M8|A0A1S3F2M8_DIPOR, tr|A0A1S3F3Y8|A0A1S3F3Y8_DIPOR, tr|A0A1S3F2R8|A0A1S3F2R8_DIPOR, tr|A0A1S3F2T1|A0A1S3F2T1_DIPOR, tr|A0A1S3F4Z2|A0A1S3F4Z2_DIPOR, tr|A0A1S3F4B0|A0A1S3F4B0_DIPOR, tr|A0A1S3F3X9|A0A1S3F3X9_DIPOR, tr|A0A1S3F3X4|A0A1S3F3X4_DIPOR, tr|A0A1S3GW40|A0A1S3GW40_DIPOR, tr|A0A1S3F2U5|A0A1S3F2U5_DIPOR, tr|A0A1S3GF21|A0A1S3GF21_DIPOR, tr|A0A1S3GFK6|A0A1S3GFK6_DIPOR, tr|A0A1S3GD11|A0A1S3GD11_DIPOR, tr|A0A1S3GEB1|A0A1S3GEB1_DIPOR, tr|A0A1S3GET3|A0A1S3GET3_DIPOR, tr|A0A1S3GD49|A0A1S3GD49_DIPOR, tr|A0A1S3GCM1|A0A1S3GCM1_DIPOR, tr|A0A1S3GDI2|A0A1S3GDI2_DIPOR
OG0000037	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A1S3GW55|A0A1S3GW55_DIPOR
OG0000037	sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE8|H2A1O_MOUSE	tr|A0A1S3GP55|A0A1S3GP55_DIPOR
OG0000037	sp|Q8BFU2|H2A3_MOUSE	tr|A0A1S3GPQ7|A0A1S3GPQ7_DIPOR, tr|A0A1S3F5K2|A0A1S3F5K2_DIPOR
OG0000037	sp|Q64523|H2A2C_MOUSE	tr|A0A1S3GP60|A0A1S3GP60_DIPOR, tr|A0A1S3GRR9|A0A1S3GRR9_DIPOR, tr|A0A1S3GFH6|A0A1S3GFH6_DIPOR, tr|A0A1S3GP80|A0A1S3GP80_DIPOR, tr|A0A1S3F203|A0A1S3F203_DIPOR
OG0000039	sp|P07744|K2C4_MOUSE	tr|A0A1S3GIS4|A0A1S3GIS4_DIPOR
OG0000039	sp|Q8BGZ7|K2C75_MOUSE	tr|A0A1S3GGB0|A0A1S3GGB0_DIPOR
OG0000039	sp|Q922U2|K2C5_MOUSE	tr|A0A1S3GGQ0|A0A1S3GGQ0_DIPOR
OG0000039	tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, sp|Q9Z331|K2C6B_MOUSE, sp|P50446|K2C6A_MOUSE	tr|A0A1S3GI46|A0A1S3GI46_DIPOR, tr|A0A1S3GI24|A0A1S3GI24_DIPOR
OG0000039	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|A0A1S3GI40|A0A1S3GI40_DIPOR
OG0000039	sp|Q3UV17|K22O_MOUSE	tr|A0A1S3GGE6|A0A1S3GGE6_DIPOR
OG0000039	sp|Q3TTY5|K22E_MOUSE	tr|A0A1S3GGI2|A0A1S3GGI2_DIPOR
OG0000039	sp|P04104|K2C1_MOUSE	tr|A0A1S3GGC0|A0A1S3GGC0_DIPOR
OG0000044	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A1S3G1J2|A0A1S3G1J2_DIPOR
OG0000044	tr|G3UW88|G3UW88_MOUSE	tr|A0A1S3G1K4|A0A1S3G1K4_DIPOR, tr|A0A1S3FZE3|A0A1S3FZE3_DIPOR, tr|A0A1S3FZD8|A0A1S3FZD8_DIPOR, tr|A0A1S3G0V4|A0A1S3G0V4_DIPOR, tr|A0A1S3FZW3|A0A1S3FZW3_DIPOR, tr|A0A1S3FZV8|A0A1S3FZV8_DIPOR
OG0000044	sp|A2A9R3|MAGB4_MOUSE	tr|A0A1S3GH57|A0A1S3GH57_DIPOR, tr|A0A1S3FZE7|A0A1S3FZE7_DIPOR, tr|A0A1S3FZE2|A0A1S3FZE2_DIPOR, tr|A0A1S3GHS7|A0A1S3GHS7_DIPOR, tr|A0A1S3FZF3|A0A1S3FZF3_DIPOR, tr|A0A1S3FZF2|A0A1S3FZF2_DIPOR
OG0000049	tr|Q8VGS2|Q8VGS2_MOUSE	tr|A0A1S3G7A2|A0A1S3G7A2_DIPOR
OG0000049	tr|Q7TR79|Q7TR79_MOUSE	tr|A0A1S3G6U4|A0A1S3G6U4_DIPOR
OG0000049	tr|A2AVY0|A2AVY0_MOUSE	tr|A0A1S3G952|A0A1S3G952_DIPOR, tr|A0A1S3G6V6|A0A1S3G6V6_DIPOR, tr|A0A1S3G6Q8|A0A1S3G6Q8_DIPOR, tr|A0A1S3G8C5|A0A1S3G8C5_DIPOR, tr|A0A1S3G8B5|A0A1S3G8B5_DIPOR, tr|A0A1S3G8Z8|A0A1S3G8Z8_DIPOR, tr|A0A1S3G6Y4|A0A1S3G6Y4_DIPOR, tr|A0A1S3G6W1|A0A1S3G6W1_DIPOR, tr|A0A1S3G6W6|A0A1S3G6W6_DIPOR, tr|A0A1S3G947|A0A1S3G947_DIPOR, tr|A0A1S3G6Y8|A0A1S3G6Y8_DIPOR, tr|A0A1S3G6Q2|A0A1S3G6Q2_DIPOR
OG0000052	tr|A0A140T8M9|A0A140T8M9_MOUSE, tr|A0A140T8M0|A0A140T8M0_MOUSE, tr|A0A0B4J1I0|A0A0B4J1I0_MOUSE, sp|P01631|KV2A7_MOUSE, tr|A0A075B5K8|A0A075B5K8_MOUSE, tr|A0A140T8N1|A0A140T8N1_MOUSE, tr|A0A0B4J1H9|A0A0B4J1H9_MOUSE, tr|A0A140T8M8|A0A140T8M8_MOUSE, tr|A0A0B4J1H8|A0A0B4J1H8_MOUSE, tr|A0A0B4J1H7|A0A0B4J1H7_MOUSE, tr|A0A075B5N0|A0A075B5N0_MOUSE, sp|P01627|KV2A2_MOUSE, tr|A0A0B4J1H6|A0A0B4J1H6_MOUSE, tr|A0A075B5J6|A0A075B5J6_MOUSE, tr|A0A075B5K6|A0A075B5K6_MOUSE, sp|P01630|KV2A6_MOUSE, sp|P03976|KV2A5_MOUSE, sp|P01629|KV2A4_MOUSE	tr|A0A1S3GUP2|A0A1S3GUP2_DIPOR
OG0000058	sp|Q60585|ZFP30_MOUSE	tr|A0A1S3FZ88|A0A1S3FZ88_DIPOR
OG0000058	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A1S3GMN4|A0A1S3GMN4_DIPOR
OG0000058	tr|A0A087WRR7|A0A087WRR7_MOUSE, tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A1S3FZD9|A0A1S3FZD9_DIPOR
OG0000065	tr|Q8VG45|Q8VG45_MOUSE	tr|A0A1S3FG91|A0A1S3FG91_DIPOR
OG0000065	tr|Q7TRH5|Q7TRH5_MOUSE	tr|A0A1S3FAF4|A0A1S3FAF4_DIPOR, tr|A0A1S3FF13|A0A1S3FF13_DIPOR, tr|A0A1S3FFJ1|A0A1S3FFJ1_DIPOR, tr|A0A1S3FF98|A0A1S3FF98_DIPOR, tr|A0A1S3FHV5|A0A1S3FHV5_DIPOR, tr|A0A1S3FGX2|A0A1S3FGX2_DIPOR, tr|A0A1S3FGC6|A0A1S3FGC6_DIPOR, tr|A0A1S3FF27|A0A1S3FF27_DIPOR, tr|A0A1S3FG79|A0A1S3FG79_DIPOR, tr|A0A1S3FCH8|A0A1S3FCH8_DIPOR, tr|A0A1S3FEZ8|A0A1S3FEZ8_DIPOR, tr|A0A1S3FG04|A0A1S3FG04_DIPOR, tr|A0A1S3FEX1|A0A1S3FEX1_DIPOR, tr|A0A1S3FFN1|A0A1S3FFN1_DIPOR
OG0000066	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A1S3GST6|A0A1S3GST6_DIPOR, tr|A0A1S3GS81|A0A1S3GS81_DIPOR, tr|A0A1S3GSC9|A0A1S3GSC9_DIPOR
OG0000066	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A1S3GWV8|A0A1S3GWV8_DIPOR, tr|A0A1S3GS48|A0A1S3GS48_DIPOR, tr|A0A1S3GTX6|A0A1S3GTX6_DIPOR, tr|A0A1S3GUU5|A0A1S3GUU5_DIPOR, tr|A0A1S3GUT1|A0A1S3GUT1_DIPOR, tr|A0A1S3GST1|A0A1S3GST1_DIPOR, tr|A0A1S3GSD4|A0A1S3GSD4_DIPOR, tr|A0A1S3GSF8|A0A1S3GSF8_DIPOR, tr|A0A1S3GU01|A0A1S3GU01_DIPOR, tr|A0A1S3GSG3|A0A1S3GSG3_DIPOR, tr|A0A1S3GS64|A0A1S3GS64_DIPOR, tr|A0A1S3GSE8|A0A1S3GSE8_DIPOR
OG0000067	tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE	tr|A0A1S3FHA5|A0A1S3FHA5_DIPOR
