Orthogroup	Mus_musculus	Pipistrellus_kuhlii
OG0000055	tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|L7N224|L7N224_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|E9Q545|E9Q545_MOUSE, tr|Q8VG23|Q8VG23_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|Q8VGX9|Q8VGX9_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q252|E9Q252_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE	tr|A0A7J7X0Z2|A0A7J7X0Z2_PIPKU
OG0000056	tr|Q91XX9|Q91XX9_MOUSE	tr|A0A7J7XCC4|A0A7J7XCC4_PIPKU
OG0000056	tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE	tr|A0A7J7XBR6|A0A7J7XBR6_PIPKU
OG0000057	sp|Q9D267|LCN9_MOUSE	tr|A0A7J7RVW6|A0A7J7RVW6_PIPKU
OG0000057	sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P02762|MUP6_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11591|MUP5_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, tr|A2BHR2|A2BHR2_MOUSE	tr|A0A7J7RW24|A0A7J7RW24_PIPKU
OG0000059	sp|Q3UN02|LCLT1_MOUSE	tr|A0A7J7VV90|A0A7J7VV90_PIPKU
OG0000059	sp|Q91WT4|DJC17_MOUSE	tr|A0A7J7X007|A0A7J7X007_PIPKU, tr|A0A7J7VMP3|A0A7J7VMP3_PIPKU, tr|A0A7J7XUN9|A0A7J7XUN9_PIPKU, tr|A0A7J7ZJN6|A0A7J7ZJN6_PIPKU, tr|A0A7J8AZF6|A0A7J8AZF6_PIPKU, tr|A0A7J7ZJR4|A0A7J7ZJR4_PIPKU, tr|A0A7J7S6N0|A0A7J7S6N0_PIPKU, tr|A0A7J7V5X0|A0A7J7V5X0_PIPKU, tr|A0A7J8A8M3|A0A7J8A8M3_PIPKU, tr|A0A7J7XV99|A0A7J7XV99_PIPKU, tr|A0A7J7YM41|A0A7J7YM41_PIPKU, tr|A0A7J8A7P9|A0A7J8A7P9_PIPKU, tr|A0A7J7V6D7|A0A7J7V6D7_PIPKU, tr|A0A7J7X0I8|A0A7J7X0I8_PIPKU, tr|A0A7J8B2J5|A0A7J8B2J5_PIPKU, tr|A0A7J7YXJ3|A0A7J7YXJ3_PIPKU, tr|A0A7J7WLJ5|A0A7J7WLJ5_PIPKU, tr|A0A7J7V6A7|A0A7J7V6A7_PIPKU, tr|A0A7J7UA39|A0A7J7UA39_PIPKU, tr|A0A7J7ZJM7|A0A7J7ZJM7_PIPKU
OG0000061	sp|P70458|IPSP_MOUSE	tr|A0A7J7RAC4|A0A7J7RAC4_PIPKU
OG0000061	sp|Q9D7D2|SPA9_MOUSE, sp|P07759|SPA3K_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P29621|SPA3C_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q80X76|SPA3F_MOUSE, tr|D3Z450|D3Z450_MOUSE, sp|P07758|A1AT1_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|Q8CIE0|SPA11_MOUSE	tr|A0A7J7RA67|A0A7J7RA67_PIPKU
OG0000062	tr|W4VSP4|W4VSP4_MOUSE, tr|Q3UWK8|Q3UWK8_MOUSE, tr|I7HJI3|I7HJI3_MOUSE, tr|O08804|O08804_MOUSE, sp|Q60854|SPB6_MOUSE	tr|A0A7J8AB03|A0A7J8AB03_PIPKU
OG0000062	tr|G3X9V8|G3X9V8_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q6UKZ0|Q6UKZ0_MOUSE, sp|Q8CDC0|SPB13_MOUSE	tr|A0A7J7YXV7|A0A7J7YXV7_PIPKU
OG0000062	tr|I7HJI5|I7HJI5_MOUSE, tr|Q80UK5|Q80UK5_MOUSE, tr|F6V5V4|F6V5V4_MOUSE, tr|Q8VHQ1|Q8VHQ1_MOUSE, tr|O08806|O08806_MOUSE, tr|Q8BMT0|Q8BMT0_MOUSE, tr|O08797|O08797_MOUSE, tr|Q9DAV6|Q9DAV6_MOUSE, sp|O08800|SPB8_MOUSE	tr|A0A7J7YBK0|A0A7J7YBK0_PIPKU
OG0000064	sp|Q8VCC2|EST1_MOUSE, tr|E9PYP1|E9PYP1_MOUSE, sp|Q8VCT4|EST1D_MOUSE	tr|A0A7J7UZR0|A0A7J7UZR0_PIPKU
OG0000064	sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, sp|Q64176|EST1E_MOUSE, sp|P23953|EST1C_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, sp|Q8R0W5|EST4A_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, sp|Q8BK48|EST2E_MOUSE, sp|Q8QZR3|EST2A_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, tr|E9PV38|E9PV38_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q8VCU1|EST3B_MOUSE, sp|Q63880|EST3A_MOUSE, sp|Q6AW46|EST5A_MOUSE	tr|A0A7J7UZL9|A0A7J7UZL9_PIPKU
