Orthogroup	Mus_musculus	Orycteropus_afer_afer
OG0000016	tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A8B7B839|A0A8B7B839_ORYAF, tr|A0A8B7BBZ2|A0A8B7BBZ2_ORYAF
OG0000016	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A8B7BBX7|A0A8B7BBX7_ORYAF, tr|A0A8B7B8N6|A0A8B7B8N6_ORYAF, tr|A0A8B7B4A6|A0A8B7B4A6_ORYAF, tr|A0A8B7B4B5|A0A8B7B4B5_ORYAF, tr|A0A8B7B735|A0A8B7B735_ORYAF, tr|A0A8B7BB07|A0A8B7BB07_ORYAF, tr|A0A8B7B8C7|A0A8B7B8C7_ORYAF, tr|A0A8B7B517|A0A8B7B517_ORYAF, tr|A0A8B7B7Q4|A0A8B7B7Q4_ORYAF, tr|A0A8B7B4B0|A0A8B7B4B0_ORYAF, tr|A0A8B7B475|A0A8B7B475_ORYAF, tr|A0A8B7B5U8|A0A8B7B5U8_ORYAF, tr|A0A8B7B4A4|A0A8B7B4A4_ORYAF, tr|A0A8B7B885|A0A8B7B885_ORYAF, tr|A0A8B7B825|A0A8B7B825_ORYAF, tr|A0A8B7B4X0|A0A8B7B4X0_ORYAF, tr|A0A8B7B880|A0A8B7B880_ORYAF, tr|A0A8B7B5R1|A0A8B7B5R1_ORYAF, tr|A0A8B7B4W4|A0A8B7B4W4_ORYAF, tr|A0A8B7B8P1|A0A8B7B8P1_ORYAF, tr|A0A8B7BCR6|A0A8B7BCR6_ORYAF, tr|A0A8B7BAU2|A0A8B7BAU2_ORYAF, tr|A0A8B7B5P9|A0A8B7B5P9_ORYAF, tr|A0A8B7B899|A0A8B7B899_ORYAF, tr|A0A8B7B463|A0A8B7B463_ORYAF, tr|A0A8B7B5S8|A0A8B7B5S8_ORYAF, tr|A0A8B7B9U3|A0A8B7B9U3_ORYAF, tr|A0A8B7B819|A0A8B7B819_ORYAF, tr|A0A8B7B8B4|A0A8B7B8B4_ORYAF, tr|A0A8B7B4A0|A0A8B7B4A0_ORYAF, tr|A0A8B7B502|A0A8B7B502_ORYAF, tr|A0A8B7B496|A0A8B7B496_ORYAF, tr|A0A8B7B4Z7|A0A8B7B4Z7_ORYAF, tr|A0A8B7B491|A0A8B7B491_ORYAF, tr|A0A8B7B464|A0A8B7B464_ORYAF, tr|A0A8B7B4X5|A0A8B7B4X5_ORYAF
OG0000019	tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|K7N688|K7N688_MOUSE, tr|K7N778|K7N778_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE	tr|A0A8B7BAD7|A0A8B7BAD7_ORYAF
OG0000022	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A8B7BBZ0|A0A8B7BBZ0_ORYAF
OG0000022	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8B7B6J6|A0A8B7B6J6_ORYAF, tr|A0A8B7B8Y9|A0A8B7B8Y9_ORYAF, tr|A0A8B7B4Y5|A0A8B7B4Y5_ORYAF, tr|A0A8B7BAU8|A0A8B7BAU8_ORYAF, tr|A0A8B7B787|A0A8B7B787_ORYAF, tr|A0A8B7BCG1|A0A8B7BCG1_ORYAF, tr|A0A8B7B2K0|A0A8B7B2K0_ORYAF, tr|A0A8B7B6P0|A0A8B7B6P0_ORYAF, tr|A0A8B7B6P5|A0A8B7B6P5_ORYAF, tr|A0A8B7B2J1|A0A8B7B2J1_ORYAF, tr|A0A8B7B2J5|A0A8B7B2J5_ORYAF, tr|A0A8B7B2J6|A0A8B7B2J6_ORYAF, tr|A0A8B7B3X0|A0A8B7B3X0_ORYAF, tr|A0A8B7B6T5|A0A8B7B6T5_ORYAF, tr|A0A8B7BBC0|A0A8B7BBC0_ORYAF, tr|A0A8B7B3B1|A0A8B7B3B1_ORYAF, tr|A0A8B7AQV6|A0A8B7AQV6_ORYAF, tr|A0A8B7ATT7|A0A8B7ATT7_ORYAF, tr|A0A8B7ASR6|A0A8B7ASR6_ORYAF, tr|A0A8B7B7V1|A0A8B7B7V1_ORYAF, tr|A0A8B7BEF3|A0A8B7BEF3_ORYAF, tr|A0A8B7B210|A0A8B7B210_ORYAF, tr|A0A8B7B177|A0A8B7B177_ORYAF, tr|A0A8B7B215|A0A8B7B215_ORYAF, tr|A0A8B7B2F0|A0A8B7B2F0_ORYAF, tr|A0A8B7B5C7|A0A8B7B5C7_ORYAF, tr|A0A8B7A9X8|A0A8B7A9X8_ORYAF, tr|A0A8B7BB94|A0A8B7BB94_ORYAF, tr|A0A8B7B181|A0A8B7B181_ORYAF, tr|A0A8B7B175|A0A8B7B175_ORYAF, tr|A0A8B7B5V6|A0A8B7B5V6_ORYAF
OG0000025	tr|A0A075B5T1|A0A075B5T1_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P18531|HVM60_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE	tr|A0A8B7B9D1|A0A8B7B9D1_ORYAF
OG0000031	tr|Q3URY5|Q3URY5_MOUSE, tr|Q1WWJ5|Q1WWJ5_MOUSE, tr|A0A0G2JEM5|A0A0G2JEM5_MOUSE, tr|E9PX85|E9PX85_MOUSE, tr|Q80VN4|Q80VN4_MOUSE, tr|Q4QQP3|Q4QQP3_MOUSE, tr|B8JJX8|B8JJX8_MOUSE, tr|Q91W94|Q91W94_MOUSE, tr|Q7M6X3|Q7M6X3_MOUSE, tr|Q8BIN6|Q8BIN6_MOUSE, sp|Q6P5C7|ZN728_MOUSE, tr|L7N1X4|L7N1X4_MOUSE, tr|Q7M6X5|Q7M6X5_MOUSE, tr|E9Q1L8|E9Q1L8_MOUSE, tr|Q0VFY0|Q0VFY0_MOUSE, tr|F8VPP0|F8VPP0_MOUSE, tr|Q7TMC9|Q7TMC9_MOUSE, tr|Q7M6W8|Q7M6W8_MOUSE, tr|Q8K2A4|Q8K2A4_MOUSE, tr|Q7TPL6|Q7TPL6_MOUSE, tr|E9PXJ4|E9PXJ4_MOUSE, tr|Q8BZ17|Q8BZ17_MOUSE, tr|B2RUK9|B2RUK9_MOUSE, tr|Q7M6Y0|Q7M6Y0_MOUSE, tr|Q7M6Y1|Q7M6Y1_MOUSE, tr|Q7M6X9|Q7M6X9_MOUSE, tr|Q8BX23|Q8BX23_MOUSE, tr|Q7M6X2|Q7M6X2_MOUSE, sp|P16372|ZFP58_MOUSE	tr|A0A8B7A596|A0A8B7A596_ORYAF
OG0000032	tr|A0A087WRM1|A0A087WRM1_MOUSE	tr|A0A8B7A2M7|A0A8B7A2M7_ORYAF, tr|A0A8B7B5I5|A0A8B7B5I5_ORYAF, tr|A0A8B7A8C4|A0A8B7A8C4_ORYAF, tr|A0A8B7AFL8|A0A8B7AFL8_ORYAF, tr|A0A8B7AJ14|A0A8B7AJ14_ORYAF, tr|A0A8B6ZD60|A0A8B6ZD60_ORYAF, tr|A0A8B7B846|A0A8B7B846_ORYAF, tr|A0A8B7A9L5|A0A8B7A9L5_ORYAF, tr|A0A8B7A7X1|A0A8B7A7X1_ORYAF, tr|A0A8B7ALQ8|A0A8B7ALQ8_ORYAF, tr|A0A8B7AJA9|A0A8B7AJA9_ORYAF, tr|A0A8B7A2M9|A0A8B7A2M9_ORYAF, tr|A0A8B7AKG1|A0A8B7AKG1_ORYAF, tr|A0A8B7A3G1|A0A8B7A3G1_ORYAF, tr|A0A8B7AY12|A0A8B7AY12_ORYAF, tr|A0A8B6ZCU4|A0A8B6ZCU4_ORYAF, tr|A0A8B7ALA2|A0A8B7ALA2_ORYAF, tr|A0A8B6ZF63|A0A8B6ZF63_ORYAF, tr|A0A8B7BA60|A0A8B7BA60_ORYAF, tr|A0A8B7ADU8|A0A8B7ADU8_ORYAF, tr|A0A8B6ZKK2|A0A8B6ZKK2_ORYAF, tr|A0A8B7AK14|A0A8B7AK14_ORYAF, tr|A0A8B6ZBT4|A0A8B6ZBT4_ORYAF, tr|A0A8B7AVE6|A0A8B7AVE6_ORYAF, tr|A0A8B7B429|A0A8B7B429_ORYAF, tr|A0A8B6ZLB5|A0A8B6ZLB5_ORYAF, tr|A0A8B6ZMJ5|A0A8B6ZMJ5_ORYAF, tr|A0A8B7APD5|A0A8B7APD5_ORYAF, tr|A0A8B6ZQL4|A0A8B6ZQL4_ORYAF
OG0000033	tr|Q5NC45|Q5NC45_MOUSE	tr|A0A8B7B6H8|A0A8B7B6H8_ORYAF, tr|A0A8B7B351|A0A8B7B351_ORYAF
OG0000033	tr|Q7TRZ7|Q7TRZ7_MOUSE	tr|A0A8B7B782|A0A8B7B782_ORYAF, tr|A0A8B7B799|A0A8B7B799_ORYAF, tr|A0A8B7B8Z3|A0A8B7B8Z3_ORYAF, tr|A0A8B7BB65|A0A8B7BB65_ORYAF
OG0000033	tr|Q8VFG7|Q8VFG7_MOUSE	tr|A0A8B7B8E6|A0A8B7B8E6_ORYAF, tr|A0A8B7B7S3|A0A8B7B7S3_ORYAF, tr|A0A8B7B7R1|A0A8B7B7R1_ORYAF, tr|A0A8B7B8E1|A0A8B7B8E1_ORYAF, tr|A0A8B7BBN0|A0A8B7BBN0_ORYAF, tr|A0A8B7B9I2|A0A8B7B9I2_ORYAF
OG0000034	tr|A0A0U1RP76|A0A0U1RP76_MOUSE	tr|A0A8B6ZKH1|A0A8B6ZKH1_ORYAF, tr|A0A8B6ZKF3|A0A8B6ZKF3_ORYAF, tr|A0A8B6ZKE7|A0A8B6ZKE7_ORYAF, tr|A0A8B6ZKF2|A0A8B6ZKF2_ORYAF, tr|A0A8B6ZQC5|A0A8B6ZQC5_ORYAF, tr|A0A8B6ZM41|A0A8B6ZM41_ORYAF, tr|A0A8B6ZKH6|A0A8B6ZKH6_ORYAF, tr|A0A8B6ZK57|A0A8B6ZK57_ORYAF, tr|A0A8B6ZK73|A0A8B6ZK73_ORYAF, tr|A0A8B6ZK54|A0A8B6ZK54_ORYAF, tr|A0A8B6ZM29|A0A8B6ZM29_ORYAF, tr|A0A8B6ZKD7|A0A8B6ZKD7_ORYAF, tr|A0A8B6ZKE5|A0A8B6ZKE5_ORYAF, tr|A0A8B6ZKD0|A0A8B6ZKD0_ORYAF, tr|A0A8B6ZM24|A0A8B6ZM24_ORYAF, tr|A0A8B6ZKD1|A0A8B6ZKD1_ORYAF, tr|A0A8B6ZQA6|A0A8B6ZQA6_ORYAF, tr|A0A8B6ZKF0|A0A8B6ZKF0_ORYAF, tr|A0A8B6ZM34|A0A8B6ZM34_ORYAF, tr|A0A8B6ZKC6|A0A8B6ZKC6_ORYAF, tr|A0A8B6ZKF5|A0A8B6ZKF5_ORYAF, tr|A0A8B6ZKE2|A0A8B6ZKE2_ORYAF, tr|A0A8B6ZKE0|A0A8B6ZKE0_ORYAF, tr|A0A8B6ZKG2|A0A8B6ZKG2_ORYAF, tr|A0A8B6ZKD5|A0A8B6ZKD5_ORYAF, tr|A0A8B6ZQB6|A0A8B6ZQB6_ORYAF, tr|A0A8B6ZQB1|A0A8B6ZQB1_ORYAF, tr|A0A8B6ZKG6|A0A8B6ZKG6_ORYAF
OG0000036	tr|B9EHG2|B9EHG2_MOUSE	tr|A0A8B7AVW3|A0A8B7AVW3_ORYAF
OG0000036	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8B6ZRZ6|A0A8B6ZRZ6_ORYAF, tr|A0A8B6ZPW3|A0A8B6ZPW3_ORYAF, tr|A0A8B6ZV96|A0A8B6ZV96_ORYAF, tr|A0A8B6ZPZ6|A0A8B6ZPZ6_ORYAF, tr|A0A8B6ZQA3|A0A8B6ZQA3_ORYAF, tr|A0A8B6ZVA1|A0A8B6ZVA1_ORYAF, tr|A0A8B6ZS01|A0A8B6ZS01_ORYAF, tr|A0A8B6ZQ38|A0A8B6ZQ38_ORYAF, tr|A0A8B6ZQA8|A0A8B6ZQA8_ORYAF, tr|A0A8B6ZQ99|A0A8B6ZQ99_ORYAF, tr|A0A8B6ZQD4|A0A8B6ZQD4_ORYAF, tr|A0A8B6ZQA4|A0A8B6ZQA4_ORYAF, tr|A0A8B6ZQC9|A0A8B6ZQC9_ORYAF, tr|A0A8B6ZUX9|A0A8B6ZUX9_ORYAF, tr|A0A8B6ZPW9|A0A8B6ZPW9_ORYAF
OG0000036	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A8B7B7D4|A0A8B7B7D4_ORYAF
OG0000037	tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE	tr|A0A8B7BA51|A0A8B7BA51_ORYAF, tr|A0A8B7BA50|A0A8B7BA50_ORYAF
OG0000040	tr|A0A0B4J1H0|A0A0B4J1H0_MOUSE, tr|A0A0B4J1H1|A0A0B4J1H1_MOUSE	tr|A0A8B7BE44|A0A8B7BE44_ORYAF
