Orthogroup	Mus_musculus	Panthera_tigris_altaica
OG0000008	sp|Q7TSH9|ZN184_MOUSE	tr|A0A8C9KKP3|A0A8C9KKP3_PANTA, tr|A0A8C9JY67|A0A8C9JY67_PANTA, tr|A0A8C9JC70|A0A8C9JC70_PANTA
OG0000015	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A8C9JED7|A0A8C9JED7_PANTA, tr|A0A8C9JEG9|A0A8C9JEG9_PANTA, tr|A0A8C9J8E0|A0A8C9J8E0_PANTA, tr|A0A8C9IZA0|A0A8C9IZA0_PANTA, tr|A0A8C9K871|A0A8C9K871_PANTA
OG0000015	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A8C9JH66|A0A8C9JH66_PANTA
OG0000015	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A8C9JUX1|A0A8C9JUX1_PANTA, tr|A0A8C9J6H9|A0A8C9J6H9_PANTA, tr|A0A8C9J4D4|A0A8C9J4D4_PANTA
OG0000015	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A8C9JIT7|A0A8C9JIT7_PANTA, tr|A0A8C9J2P7|A0A8C9J2P7_PANTA, tr|A0A8C9JI97|A0A8C9JI97_PANTA, tr|A0A8C9JC74|A0A8C9JC74_PANTA, tr|A0A8C9JQH7|A0A8C9JQH7_PANTA, tr|A0A8C9MCQ0|A0A8C9MCQ0_PANTA, tr|A0A8C9J579|A0A8C9J579_PANTA
OG0000015	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A8C9IYD6|A0A8C9IYD6_PANTA, tr|A0A8C9M5P4|A0A8C9M5P4_PANTA, tr|A0A8C9M0Y1|A0A8C9M0Y1_PANTA
OG0000015	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A8C9IYA2|A0A8C9IYA2_PANTA, tr|A0A8C9IYK5|A0A8C9IYK5_PANTA, tr|A0A8C9JGT5|A0A8C9JGT5_PANTA, tr|A0A8C9M210|A0A8C9M210_PANTA, tr|A0A8C9JW58|A0A8C9JW58_PANTA
OG0000020	sp|Q8VGI5|OL481_MOUSE, tr|L7N455|L7N455_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VG04|OL478_MOUSE, sp|Q8VEZ0|OL480_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG44|OL473_MOUSE	tr|A0A8C9JER2|A0A8C9JER2_PANTA
OG0000023	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A8C9JAP6|A0A8C9JAP6_PANTA, tr|A0A8C9JAS1|A0A8C9JAS1_PANTA, tr|A0A8C9J8I0|A0A8C9J8I0_PANTA, tr|A0A8C9IXY4|A0A8C9IXY4_PANTA, tr|A0A8C9JS98|A0A8C9JS98_PANTA, tr|A0A8C9JJH7|A0A8C9JJH7_PANTA, tr|A0A8C9JCS9|A0A8C9JCS9_PANTA, tr|A0A8C9JC34|A0A8C9JC34_PANTA, tr|A0A8C9KN08|A0A8C9KN08_PANTA, tr|A0A8C9JJE2|A0A8C9JJE2_PANTA, tr|A0A8C9KN98|A0A8C9KN98_PANTA, tr|A0A8C9JWJ9|A0A8C9JWJ9_PANTA, tr|A0A8C9JB98|A0A8C9JB98_PANTA, tr|A0A8C9JT79|A0A8C9JT79_PANTA, tr|A0A8C9JBF2|A0A8C9JBF2_PANTA, tr|A0A8C9M3L9|A0A8C9M3L9_PANTA, tr|A0A8C9JEE5|A0A8C9JEE5_PANTA, tr|A0A8C9JIJ9|A0A8C9JIJ9_PANTA, tr|A0A8C9M6P4|A0A8C9M6P4_PANTA, tr|A0A8C9K8Q5|A0A8C9K8Q5_PANTA, tr|A0A8C9JDT9|A0A8C9JDT9_PANTA, tr|A0A8C9KHP1|A0A8C9KHP1_PANTA, tr|A0A8C9K4N9|A0A8C9K4N9_PANTA, tr|A0A8C9JG14|A0A8C9JG14_PANTA, tr|A0A8C9J9A8|A0A8C9J9A8_PANTA, tr|A0A8C9KBD4|A0A8C9KBD4_PANTA, tr|A0A8C9J814|A0A8C9J814_PANTA, tr|A0A8C9KN09|A0A8C9KN09_PANTA, tr|A0A8C9MB93|A0A8C9MB93_PANTA
OG0000029	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A8C9J528|A0A8C9J528_PANTA
OG0000029	tr|Q8VFH8|Q8VFH8_MOUSE	tr|A0A8C9JF79|A0A8C9JF79_PANTA, tr|A0A8C9JL84|A0A8C9JL84_PANTA, tr|A0A8C9J519|A0A8C9J519_PANTA, tr|A0A8C9M290|A0A8C9M290_PANTA, tr|A0A8C9JF72|A0A8C9JF72_PANTA, tr|A0A8C9J4Y0|A0A8C9J4Y0_PANTA, tr|A0A8C9J5E5|A0A8C9J5E5_PANTA, tr|A0A8C9JPS4|A0A8C9JPS4_PANTA, tr|A0A8C9JL03|A0A8C9JL03_PANTA, tr|A0A8C9JMA4|A0A8C9JMA4_PANTA, tr|A0A8C9JKB9|A0A8C9JKB9_PANTA, tr|A0A8C9M267|A0A8C9M267_PANTA, tr|A0A8C9JD46|A0A8C9JD46_PANTA, tr|A0A8C9J7L6|A0A8C9J7L6_PANTA, tr|A0A8C9JKP8|A0A8C9JKP8_PANTA, tr|A0A8C9JD96|A0A8C9JD96_PANTA, tr|A0A8C9JXI5|A0A8C9JXI5_PANTA, tr|A0A8C9JR37|A0A8C9JR37_PANTA, tr|A0A8C9M399|A0A8C9M399_PANTA, tr|A0A8C9M270|A0A8C9M270_PANTA, tr|A0A8C9JB37|A0A8C9JB37_PANTA, tr|A0A8C9JB20|A0A8C9JB20_PANTA, tr|A0A8C9J5L2|A0A8C9J5L2_PANTA
OG0000034	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A8C9IZT8|A0A8C9IZT8_PANTA
OG0000034	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A8C9M952|A0A8C9M952_PANTA, tr|A0A8C9IZN3|A0A8C9IZN3_PANTA, tr|A0A8C9J8B6|A0A8C9J8B6_PANTA, tr|A0A8C9JFP8|A0A8C9JFP8_PANTA, tr|A0A8C9K017|A0A8C9K017_PANTA, tr|A0A8C9IZW6|A0A8C9IZW6_PANTA, tr|A0A8C9M180|A0A8C9M180_PANTA, tr|A0A8C9IZG4|A0A8C9IZG4_PANTA, tr|A0A8C9J0C7|A0A8C9J0C7_PANTA, tr|A0A8C9J9Z2|A0A8C9J9Z2_PANTA, tr|A0A8C9JA03|A0A8C9JA03_PANTA, tr|A0A8C9K5X6|A0A8C9K5X6_PANTA, tr|A0A8C9K1F2|A0A8C9K1F2_PANTA, tr|A0A8C9KBH0|A0A8C9KBH0_PANTA, tr|A0A8C9JZH1|A0A8C9JZH1_PANTA, tr|A0A8C9M281|A0A8C9M281_PANTA, tr|A0A8C9J0P2|A0A8C9J0P2_PANTA, tr|A0A8C9J0R0|A0A8C9J0R0_PANTA, tr|A0A8C9J8L5|A0A8C9J8L5_PANTA, tr|A0A8C9J0J4|A0A8C9J0J4_PANTA, tr|A0A8C9J093|A0A8C9J093_PANTA
OG0000036	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, sp|Q7TSK3|PCDH8_MOUSE, tr|Q91XX0|Q91XX0_MOUSE	tr|A0A8C9KNC6|A0A8C9KNC6_PANTA
OG0000038	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8C9KEP1|A0A8C9KEP1_PANTA
OG0000038	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8C9KN67|A0A8C9KN67_PANTA
OG0000038	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8C9KJL6|A0A8C9KJL6_PANTA
OG0000038	sp|Q6IME9|K2C72_MOUSE	tr|A0A8C9KJX4|A0A8C9KJX4_PANTA
OG0000038	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8C9JIP9|A0A8C9JIP9_PANTA, tr|A0A8C9J7S4|A0A8C9J7S4_PANTA, tr|A0A8C9JU42|A0A8C9JU42_PANTA, tr|A0A8C9M4J6|A0A8C9M4J6_PANTA, tr|A0A8C9M1J0|A0A8C9M1J0_PANTA, tr|A0A8C9M8D3|A0A8C9M8D3_PANTA, tr|A0A8C9JYJ2|A0A8C9JYJ2_PANTA, tr|A0A8C9M9Y8|A0A8C9M9Y8_PANTA, tr|A0A8C9J0E2|A0A8C9J0E2_PANTA, tr|A0A8C9J8P9|A0A8C9J8P9_PANTA, tr|A0A8C9M2Z2|A0A8C9M2Z2_PANTA, tr|A0A8C9L248|A0A8C9L248_PANTA, tr|A0A8C9L0E0|A0A8C9L0E0_PANTA, tr|A0A8C9J859|A0A8C9J859_PANTA
OG0000042	tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P11591|MUP5_MOUSE, sp|A2AJB7|LCN5_MOUSE, tr|A2BHR2|A2BHR2_MOUSE	tr|A0A8C9L0C0|A0A8C9L0C0_PANTA
OG0000045	sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZB7|MRGRE_MOUSE, sp|Q91ZB5|MRGRG_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q7TN51|MRGB8_MOUSE	tr|A0A8C9M407|A0A8C9M407_PANTA
OG0000046	sp|P54761|EPHB4_MOUSE	tr|A0A8C9K883|A0A8C9K883_PANTA
OG0000046	sp|P54763|EPHB2_MOUSE	tr|A0A8C9KR99|A0A8C9KR99_PANTA
OG0000046	sp|Q8CBF3|EPHB1_MOUSE	tr|A0A8C9KJG9|A0A8C9KJG9_PANTA
OG0000046	sp|P54754|EPHB3_MOUSE	tr|A0A8C9KV18|A0A8C9KV18_PANTA
OG0000046	sp|Q03137|EPHA4_MOUSE	tr|A0A8C9KJH4|A0A8C9KJH4_PANTA
OG0000046	sp|O09127|EPHA8_MOUSE	tr|A0A8C9JKC0|A0A8C9JKC0_PANTA
OG0000046	sp|Q62413|EPHA6_MOUSE	tr|A0A8C9M268|A0A8C9M268_PANTA
OG0000046	sp|Q60629|EPHA5_MOUSE	tr|A0A8C9JXK0|A0A8C9JXK0_PANTA
OG0000046	sp|P29319|EPHA3_MOUSE	tr|A0A8C9JR69|A0A8C9JR69_PANTA
OG0000046	sp|Q8BYG9|EPHAA_MOUSE, sp|Q61772|EPHA7_MOUSE	tr|A0A8C9J443|A0A8C9J443_PANTA
OG0000050	tr|E9Q1J0|E9Q1J0_MOUSE	tr|A0A8C9KSN5|A0A8C9KSN5_PANTA, tr|A0A8C9L4F5|A0A8C9L4F5_PANTA, tr|A0A8C9K7N9|A0A8C9K7N9_PANTA, tr|A0A8C9JXM0|A0A8C9JXM0_PANTA, tr|A0A8C9KQI2|A0A8C9KQI2_PANTA, tr|A0A8C9M644|A0A8C9M644_PANTA, tr|A0A8C9K0A9|A0A8C9K0A9_PANTA, tr|A0A8C9K4M5|A0A8C9K4M5_PANTA, tr|A0A8C9KE23|A0A8C9KE23_PANTA, tr|A0A8C9KHL6|A0A8C9KHL6_PANTA, tr|A0A8C9MD40|A0A8C9MD40_PANTA, tr|A0A8C9JI26|A0A8C9JI26_PANTA, tr|A0A8C9JZH6|A0A8C9JZH6_PANTA, tr|A0A8C9JPB3|A0A8C9JPB3_PANTA, tr|A0A8C9JW17|A0A8C9JW17_PANTA, tr|A0A8C9K2C2|A0A8C9K2C2_PANTA, tr|A0A8C9K4M4|A0A8C9K4M4_PANTA, tr|A0A8C9JUP6|A0A8C9JUP6_PANTA, tr|A0A8C9KGB6|A0A8C9KGB6_PANTA
OG0000051	sp|Q60878|OL140_MOUSE	tr|A0A8C9JL62|A0A8C9JL62_PANTA
OG0000051	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A8C9M507|A0A8C9M507_PANTA, tr|A0A8C9K0I7|A0A8C9K0I7_PANTA, tr|A0A8C9JAZ0|A0A8C9JAZ0_PANTA, tr|A0A8C9JGW6|A0A8C9JGW6_PANTA, tr|A0A8C9M680|A0A8C9M680_PANTA, tr|A0A8C9JRY8|A0A8C9JRY8_PANTA, tr|A0A8C9M513|A0A8C9M513_PANTA, tr|A0A8C9M642|A0A8C9M642_PANTA, tr|A0A8C9JHL7|A0A8C9JHL7_PANTA, tr|A0A8C9J7T6|A0A8C9J7T6_PANTA, tr|A0A8C9JEZ2|A0A8C9JEZ2_PANTA, tr|A0A8C9J1S4|A0A8C9J1S4_PANTA, tr|A0A8C9M652|A0A8C9M652_PANTA, tr|A0A8C9JIZ9|A0A8C9JIZ9_PANTA, tr|A0A8C9JHP4|A0A8C9JHP4_PANTA, tr|A0A8C9M646|A0A8C9M646_PANTA, tr|A0A8C9JKI3|A0A8C9JKI3_PANTA
OG0000054	tr|A0A075B5S0|A0A075B5S0_MOUSE, sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, sp|P18524|HVM53_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE	tr|A0A8C9JUX5|A0A8C9JUX5_PANTA
OG0000057	sp|Q07231|ZSC21_MOUSE	tr|A0A8C9JWD9|A0A8C9JWD9_PANTA
OG0000057	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8C9M3E2|A0A8C9M3E2_PANTA, tr|A0A8C9KJP0|A0A8C9KJP0_PANTA, tr|A0A8C9IYK0|A0A8C9IYK0_PANTA, tr|A0A8C9MDQ8|A0A8C9MDQ8_PANTA, tr|A0A8C9KLZ6|A0A8C9KLZ6_PANTA, tr|A0A8C9M417|A0A8C9M417_PANTA, tr|A0A8C9M3A6|A0A8C9M3A6_PANTA
OG0000057	tr|E9QAW0|E9QAW0_MOUSE	tr|A0A8C9K169|A0A8C9K169_PANTA, tr|A0A8C9JWV1|A0A8C9JWV1_PANTA, tr|A0A8C9M6Z0|A0A8C9M6Z0_PANTA, tr|A0A8C9MBL1|A0A8C9MBL1_PANTA, tr|A0A8C9K9Z0|A0A8C9K9Z0_PANTA, tr|A0A8C9M669|A0A8C9M669_PANTA, tr|A0A8C9M8U2|A0A8C9M8U2_PANTA
OG0000061	tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE	tr|A0A8C9JKM7|A0A8C9JKM7_PANTA
OG0000061	tr|Q8VG28|Q8VG28_MOUSE	tr|A0A8C9K1D4|A0A8C9K1D4_PANTA
OG0000061	tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE	tr|A0A8C9KBX6|A0A8C9KBX6_PANTA
OG0000061	tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A8C9JN10|A0A8C9JN10_PANTA
OG0000061	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE, tr|Q8VG26|Q8VG26_MOUSE	tr|A0A8C9KCT5|A0A8C9KCT5_PANTA
OG0000064	sp|P00757|K1KB4_MOUSE, sp|P15947|KLK1_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P36369|K1B26_MOUSE, sp|P04071|K1B16_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P15948|K1B22_MOUSE, sp|Q61754|K1B24_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|Q61759|K1B21_MOUSE, sp|P15946|K1B11_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P00755|K1KB1_MOUSE, sp|P15949|K1KB9_MOUSE	tr|A0A8C9JVN2|A0A8C9JVN2_PANTA, tr|A0A8C9KE63|A0A8C9KE63_PANTA
OG0000065	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8C9JDV8|A0A8C9JDV8_PANTA, tr|A0A8C9JEN7|A0A8C9JEN7_PANTA
OG0000065	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A8C9J4W4|A0A8C9J4W4_PANTA
OG0000065	sp|Q60879|OLF3_MOUSE	tr|A0A8C9J4W6|A0A8C9J4W6_PANTA, tr|A0A8C9M3B3|A0A8C9M3B3_PANTA, tr|A0A8C9JL41|A0A8C9JL41_PANTA, tr|A0A8C9M284|A0A8C9M284_PANTA
OG0000065	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A8C9J591|A0A8C9J591_PANTA
OG0000066	sp|Q6IFX3|K1C40_MOUSE	tr|A0A8C9M5T3|A0A8C9M5T3_PANTA
OG0000066	sp|Q6IFX4|K1C39_MOUSE	tr|A0A8C9JLA1|A0A8C9JLA1_PANTA
OG0000066	sp|B1AQ75|KRT36_MOUSE	tr|A0A8C9KVF2|A0A8C9KVF2_PANTA
OG0000066	sp|Q497I4|KRT35_MOUSE	tr|A0A8C9KJE3|A0A8C9KJE3_PANTA
OG0000069	sp|P09235|IFNA9_MOUSE, sp|Q80SU4|IFNAD_MOUSE, sp|P06799|IFNA7_MOUSE, sp|P07350|IFNA6_MOUSE, sp|P07349|IFNA5_MOUSE, sp|P01572|IFNA1_MOUSE, tr|Q810G1|Q810G1_MOUSE, sp|P07351|IFNA4_MOUSE, sp|P01573|IFNA2_MOUSE, sp|Q61716|IFNAB_MOUSE, sp|Q80SS5|IFNAC_MOUSE, tr|Q810G3|Q810G3_MOUSE, tr|Q61718|Q61718_MOUSE, tr|L7MTU6|L7MTU6_MOUSE	tr|A0A8C9JRY2|A0A8C9JRY2_PANTA, tr|A0A8C9K179|A0A8C9K179_PANTA
OG0000071	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A8C9JKI2|A0A8C9JKI2_PANTA
OG0000071	sp|P10854|H2B1M_MOUSE	tr|A0A8C9M190|A0A8C9M190_PANTA
OG0000071	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A8C9J5Q9|A0A8C9J5Q9_PANTA, tr|A0A8C9JJ35|A0A8C9JJ35_PANTA, tr|A0A8C9J4P6|A0A8C9J4P6_PANTA, tr|A0A8C9M1D9|A0A8C9M1D9_PANTA, tr|A0A8C9J386|A0A8C9J386_PANTA, tr|A0A8C9KPZ4|A0A8C9KPZ4_PANTA, tr|A0A8C9JU80|A0A8C9JU80_PANTA
OG0000072	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A8C9J645|A0A8C9J645_PANTA, tr|A0A8C9M1A2|A0A8C9M1A2_PANTA, tr|A0A8C9JG33|A0A8C9JG33_PANTA, tr|A0A8C9J0T3|A0A8C9J0T3_PANTA, tr|A0A8C9JA20|A0A8C9JA20_PANTA, tr|A0A8C9K5D9|A0A8C9K5D9_PANTA, tr|A0A8C9K5W4|A0A8C9K5W4_PANTA, tr|A0A8C9J0V3|A0A8C9J0V3_PANTA, tr|A0A8C9M178|A0A8C9M178_PANTA, tr|A0A8C9J5V6|A0A8C9J5V6_PANTA, tr|A0A8C9J0K0|A0A8C9J0K0_PANTA, tr|A0A8C9K0J3|A0A8C9K0J3_PANTA, tr|A0A8C9K2A6|A0A8C9K2A6_PANTA, tr|A0A8C9M295|A0A8C9M295_PANTA, tr|A0A8C9M170|A0A8C9M170_PANTA
OG0000076	tr|Q91Y09|Q91Y09_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|O88689|PCDA4_MOUSE	tr|A0A8C9JQ23|A0A8C9JQ23_PANTA
