Orthogroup	Mus_musculus	Peromyscus_maniculatus_bairdii
OG0000040	tr|Q7TQZ6|Q7TQZ6_MOUSE	tr|A0A6J0CX18|A0A6J0CX18_PERMB
OG0000040	tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE	tr|A0A6I9MQM3|A0A6I9MQM3_PERMB
OG0000045	sp|A2AJB7|LCN5_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P11590|MUP4_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE	tr|A0A6I9MC25|A0A6I9MC25_PERMB
OG0000049	tr|Q8R2A3|Q8R2A3_MOUSE	tr|A0A6I9MF78|A0A6I9MF78_PERMB, tr|A0A6I9MCE2|A0A6I9MCE2_PERMB, tr|A0A6J0CK90|A0A6J0CK90_PERMB
OG0000049	tr|E9PWK2|E9PWK2_MOUSE	tr|A0A6I9MKT5|A0A6I9MKT5_PERMB, tr|A0A6I9M116|A0A6I9M116_PERMB, tr|A0A6I9M8D9|A0A6I9M8D9_PERMB, tr|A0A6I9MCF7|A0A6I9MCF7_PERMB, tr|A0A6I9MHK9|A0A6I9MHK9_PERMB, tr|A0A6I9M341|A0A6I9M341_PERMB, tr|A0A6I9M121|A0A6I9M121_PERMB, tr|A0A6I9MHL6|A0A6I9MHL6_PERMB, tr|A0A6I9MHL8|A0A6I9MHL8_PERMB, tr|A0A6I9MF83|A0A6I9MF83_PERMB, tr|A0A6J0CJ45|A0A6J0CJ45_PERMB, tr|A0A6I9M113|A0A6I9M113_PERMB, tr|A0A6J0CW57|A0A6J0CW57_PERMB, tr|A0A6J0CMG6|A0A6J0CMG6_PERMB, tr|A0A6J0CP34|A0A6J0CP34_PERMB, tr|A0A6I9MEN4|A0A6I9MEN4_PERMB
OG0000052	tr|Q8VF89|Q8VF89_MOUSE	tr|A0A6I9LWJ9|A0A6I9LWJ9_PERMB
OG0000052	tr|Q7TRN3|Q7TRN3_MOUSE	tr|A0A6I9M925|A0A6I9M925_PERMB
OG0000052	tr|Q9EPF7|Q9EPF7_MOUSE	tr|A0A6I9MCS7|A0A6I9MCS7_PERMB
OG0000052	tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE	tr|A0A6I9LWJ4|A0A6I9LWJ4_PERMB
OG0000052	tr|Q8VFM5|Q8VFM5_MOUSE	tr|A0A6I9MCS2|A0A6I9MCS2_PERMB
OG0000052	tr|Q7TRN4|Q7TRN4_MOUSE	tr|A0A6I9M2H2|A0A6I9M2H2_PERMB
OG0000052	tr|Q9EPF6|Q9EPF6_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE	tr|A0A6I9M7L6|A0A6I9M7L6_PERMB
OG0000052	tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE	tr|A0A6J0EAR7|A0A6J0EAR7_PERMB
OG0000056	tr|K7N5P3|K7N5P3_MOUSE	tr|A0A6I9M8L7|A0A6I9M8L7_PERMB, tr|A0A6I9MHL5|A0A6I9MHL5_PERMB, tr|A0A6I9MF86|A0A6I9MF86_PERMB, tr|A0A6I9MFT4|A0A6I9MFT4_PERMB, tr|A0A6I9MGV4|A0A6I9MGV4_PERMB, tr|A0A6I9M962|A0A6I9M962_PERMB, tr|A0A6I9MJ39|A0A6I9MJ39_PERMB, tr|A0A6I9MMX0|A0A6I9MMX0_PERMB, tr|A0A6I9M4I1|A0A6I9M4I1_PERMB, tr|A0A6I9MBQ7|A0A6I9MBQ7_PERMB, tr|A0A6J0CRH1|A0A6J0CRH1_PERMB, tr|A0A6I9MBI1|A0A6I9MBI1_PERMB, tr|A0A6J0CW91|A0A6J0CW91_PERMB, tr|A0A6I9MJ18|A0A6I9MJ18_PERMB, tr|A0A6I9M4M3|A0A6I9M4M3_PERMB, tr|A0A6I9MA61|A0A6I9MA61_PERMB, tr|A0A6I9MQL8|A0A6I9MQL8_PERMB, tr|A0A6I9MEA6|A0A6I9MEA6_PERMB, tr|A0A6I9LY43|A0A6I9LY43_PERMB
OG0000059	tr|Q8VFQ9|Q8VFQ9_MOUSE	tr|A0A6I9M9B6|A0A6I9M9B6_PERMB
OG0000059	tr|Q7TR39|Q7TR39_MOUSE	tr|A0A6I9M586|A0A6I9M586_PERMB
OG0000059	tr|Q7TR42|Q7TR42_MOUSE	tr|A0A6I9LXS9|A0A6I9LXS9_PERMB
OG0000059	tr|Q0VBI4|Q0VBI4_MOUSE	tr|A0A6I9M3Q4|A0A6I9M3Q4_PERMB
OG0000059	tr|Q7TR40|Q7TR40_MOUSE	tr|A0A6I9LSY3|A0A6I9LSY3_PERMB
OG0000059	tr|Q7TR34|Q7TR34_MOUSE	tr|A0A6I9M589|A0A6I9M589_PERMB
OG0000059	tr|A2AVC0|A2AVC0_MOUSE	tr|A0A6I9LXT9|A0A6I9LXT9_PERMB
OG0000060	tr|Q8VGW9|Q8VGW9_MOUSE	tr|A0A6I9LNA2|A0A6I9LNA2_PERMB, tr|A0A6I9M3Z5|A0A6I9M3Z5_PERMB
OG0000060	tr|Q7TQT2|Q7TQT2_MOUSE	tr|A0A6I9LRL0|A0A6I9LRL0_PERMB, tr|A0A6I9LYX4|A0A6I9LYX4_PERMB, tr|A0A6J0E6P0|A0A6J0E6P0_PERMB, tr|A0A6I9M3Y8|A0A6I9M3Y8_PERMB, tr|A0A6I9LZM7|A0A6I9LZM7_PERMB, tr|A0A6I9LYX1|A0A6I9LYX1_PERMB, tr|A0A6I9LRK3|A0A6I9LRK3_PERMB, tr|A0A6I9LN97|A0A6I9LN97_PERMB, tr|A0A6I9LNB8|A0A6I9LNB8_PERMB, tr|A0A6I9LZM1|A0A6I9LZM1_PERMB, tr|A0A6I9M3Y5|A0A6I9M3Y5_PERMB, tr|A0A6I9LZL7|A0A6I9LZL7_PERMB, tr|A0A6I9LRJ8|A0A6I9LRJ8_PERMB, tr|A0A6I9LN94|A0A6I9LN94_PERMB, tr|A0A6I9LYW6|A0A6I9LYW6_PERMB
OG0000064	sp|P05213|TBA1B_MOUSE	tr|A0A6I9L7S2|A0A6I9L7S2_PERMB
OG0000064	sp|P68369|TBA1A_MOUSE	tr|A0A6I9L7U8|A0A6I9L7U8_PERMB, tr|A0A6J0EI71|A0A6J0EI71_PERMB, tr|A0A6J0CMV7|A0A6J0CMV7_PERMB, tr|A0A6J0CK49|A0A6J0CK49_PERMB
OG0000064	sp|P05214|TBA3_MOUSE	tr|A0A6I9LYI5|A0A6I9LYI5_PERMB
OG0000064	sp|P68373|TBA1C_MOUSE	tr|A0A6I9L0A2|A0A6I9L0A2_PERMB
OG0000064	sp|Q9JJZ2|TBA8_MOUSE	tr|A0A6I9LW81|A0A6I9LW81_PERMB
OG0000064	sp|Q3UX10|TBAL3_MOUSE	tr|A0A6J0CKT7|A0A6J0CKT7_PERMB, tr|A0A6J0ECH5|A0A6J0ECH5_PERMB
OG0000064	sp|P68368|TBA4A_MOUSE	tr|A0A6I9L693|A0A6I9L693_PERMB
OG0000065	sp|P00755|K1KB1_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P00757|K1KB4_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P15947|KLK1_MOUSE, sp|P36369|K1B26_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P04071|K1B16_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P15948|K1B22_MOUSE, sp|P15946|K1B11_MOUSE, sp|Q61759|K1B21_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|Q61754|K1B24_MOUSE	tr|A0A6I9LLR8|A0A6I9LLR8_PERMB, tr|A0A6J0E4R7|A0A6J0E4R7_PERMB
OG0000066	sp|Q3KNA1|MRGB2_MOUSE	tr|A0A6I9MAP3|A0A6I9MAP3_PERMB, tr|A0A6I9MMX6|A0A6I9MMX6_PERMB, tr|A0A6I9MPP4|A0A6I9MPP4_PERMB, tr|A0A6I9MQR9|A0A6I9MQR9_PERMB, tr|A0A6I9MGF2|A0A6I9MGF2_PERMB, tr|A0A6J0CXC0|A0A6J0CXC0_PERMB, tr|A0A6I9MPV9|A0A6I9MPV9_PERMB, tr|A0A6I9MPK8|A0A6I9MPK8_PERMB, tr|A0A6J0CV55|A0A6J0CV55_PERMB, tr|A0A6I9MK64|A0A6I9MK64_PERMB, tr|A0A6I9MGM7|A0A6I9MGM7_PERMB, tr|A0A6I9MME4|A0A6I9MME4_PERMB, tr|A0A6J0CVY4|A0A6J0CVY4_PERMB, tr|A0A6J0CVQ5|A0A6J0CVQ5_PERMB, tr|A0A6I9M6Z1|A0A6I9M6Z1_PERMB, tr|A0A6J0CTL9|A0A6J0CTL9_PERMB
OG0000067	sp|Q8CFB4|GBP5_MOUSE	tr|A0A6J0E4C2|A0A6J0E4C2_PERMB, tr|A0A6I9M1X6|A0A6I9M1X6_PERMB, tr|A0A6I9MPQ4|A0A6I9MPQ4_PERMB, tr|A0A6I9LX59|A0A6I9LX59_PERMB, tr|A0A6I9LPC4|A0A6I9LPC4_PERMB, tr|A0A6J0DZA1|A0A6J0DZA1_PERMB, tr|A0A6I9LLP5|A0A6I9LLP5_PERMB, tr|A0A6I9LWY3|A0A6I9LWY3_PERMB, tr|A0A6J0CXT9|A0A6J0CXT9_PERMB, tr|A0A6J0CUE5|A0A6J0CUE5_PERMB, tr|A0A6J0DXU8|A0A6J0DXU8_PERMB, tr|A0A6I9LLN5|A0A6I9LLN5_PERMB, tr|A0A6I9LPC9|A0A6I9LPC9_PERMB, tr|A0A6J0DYB7|A0A6J0DYB7_PERMB, tr|A0A6J0D2U2|A0A6J0D2U2_PERMB, tr|A0A6I9LL58|A0A6I9LL58_PERMB
OG0000069	tr|A0A1W2P8D5|A0A1W2P8D5_MOUSE, tr|D3Z5T3|D3Z5T3_MOUSE, tr|A0A1W2P728|A0A1W2P728_MOUSE, tr|A0A1W2P7U0|A0A1W2P7U0_MOUSE, tr|A0A1W2P709|A0A1W2P709_MOUSE, tr|W4VSP7|W4VSP7_MOUSE, tr|E9Q1M3|E9Q1M3_MOUSE, tr|L7N2C3|L7N2C3_MOUSE, tr|E9Q2H5|E9Q2H5_MOUSE, tr|Q08EG8|Q08EG8_MOUSE, tr|J3QMW1|J3QMW1_MOUSE, tr|A0A1W2P739|A0A1W2P739_MOUSE, tr|A0A1W2P7W0|A0A1W2P7W0_MOUSE, tr|A0A1W2P7N1|A0A1W2P7N1_MOUSE, tr|A0A1W2P7T6|A0A1W2P7T6_MOUSE	tr|A0A6I9MQ93|A0A6I9MQ93_PERMB
OG0000070	sp|P50446|K2C6A_MOUSE, sp|Q9Z331|K2C6B_MOUSE	tr|A0A6I9LMT7|A0A6I9LMT7_PERMB, tr|A0A6I9LFH9|A0A6I9LFH9_PERMB, tr|A0A6I9LMW1|A0A6I9LMW1_PERMB
OG0000070	sp|Q922U2|K2C5_MOUSE	tr|A0A6I9LTI2|A0A6I9LTI2_PERMB
OG0000070	sp|Q8BGZ7|K2C75_MOUSE	tr|A0A6J0DJ30|A0A6J0DJ30_PERMB
OG0000070	sp|Q3TTY5|K22E_MOUSE	tr|A0A6I9LDS7|A0A6I9LDS7_PERMB
OG0000070	sp|P04104|K2C1_MOUSE	tr|A0A6I9LP06|A0A6I9LP06_PERMB
OG0000072	sp|E9Q5K4|CP2CN_MOUSE, tr|Q569X9|Q569X9_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, sp|P56657|CP240_MOUSE, sp|P56654|CP237_MOUSE, sp|Q91X77|CY250_MOUSE, sp|Q6XVG2|CP254_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56655|CP238_MOUSE, sp|P56656|CP239_MOUSE, sp|Q9D816|CP255_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, tr|Q148B1|Q148B1_MOUSE	tr|A0A6J0CTP9|A0A6J0CTP9_PERMB, tr|A0A6J0CXN5|A0A6J0CXN5_PERMB
OG0000073	sp|Q6ZWS8|SPOP_MOUSE	tr|A0A6J0EDQ6|A0A6J0EDQ6_PERMB
OG0000073	sp|Q2M2N2|SPOPL_MOUSE	tr|A0A6I9LLA2|A0A6I9LLA2_PERMB
OG0000073	tr|A0A0A6YWS7|A0A0A6YWS7_MOUSE, sp|Q6YCH2|TDPZ4_MOUSE, sp|Q717B2|TDPZ2_MOUSE, sp|Q717B4|TDPZ3_MOUSE, sp|P0DMR5|TDPZ1_MOUSE, sp|P0DMR6|TDP1L_MOUSE, tr|A0A0A6YXL2|A0A0A6YXL2_MOUSE, sp|Q6YCH1|TDPZ5_MOUSE, tr|Q3UTC4|Q3UTC4_MOUSE, tr|L7N229|L7N229_MOUSE, tr|E0CXI6|E0CXI6_MOUSE	tr|A0A6J0CRA6|A0A6J0CRA6_PERMB
OG0000075	tr|Q8R254|Q8R254_MOUSE	tr|A0A6I9MGH1|A0A6I9MGH1_PERMB, tr|A0A6I9LBR8|A0A6I9LBR8_PERMB, tr|A0A6I9LIX4|A0A6I9LIX4_PERMB, tr|A0A6I9LA61|A0A6I9LA61_PERMB, tr|A0A6I9LBR3|A0A6I9LBR3_PERMB, tr|A0A6I9LNW7|A0A6I9LNW7_PERMB, tr|A0A6I9LK25|A0A6I9LK25_PERMB, tr|A0A6I9MLT8|A0A6I9MLT8_PERMB, tr|A0A6I9MGW0|A0A6I9MGW0_PERMB, tr|A0A6I9MQ24|A0A6I9MQ24_PERMB, tr|A0A6J0CU71|A0A6J0CU71_PERMB, tr|A0A6I9M9K8|A0A6I9M9K8_PERMB, tr|A0A6I9MKM0|A0A6I9MKM0_PERMB, tr|A0A6J0CRH9|A0A6J0CRH9_PERMB, tr|A0A6I9MJV3|A0A6I9MJV3_PERMB
OG0000076	sp|Q91W64|CP270_MOUSE	tr|A0A6I9LX14|A0A6I9LX14_PERMB, tr|A0A6I9LWU6|A0A6I9LWU6_PERMB, tr|A0A6J0CW26|A0A6J0CW26_PERMB, tr|A0A6I9MIV0|A0A6I9MIV0_PERMB, tr|A0A6I9M8D2|A0A6I9M8D2_PERMB, tr|A0A6I9M8D7|A0A6I9M8D7_PERMB, tr|A0A6J0DCF1|A0A6J0DCF1_PERMB, tr|A0A6I9MF09|A0A6I9MF09_PERMB, tr|A0A6J0E966|A0A6J0E966_PERMB, tr|A0A6I9MNY6|A0A6I9MNY6_PERMB, tr|A0A6I9MNQ9|A0A6I9MNQ9_PERMB, tr|A0A6J0DZ54|A0A6J0DZ54_PERMB, tr|A0A6J0E469|A0A6J0E469_PERMB, tr|A0A6I9MMB8|A0A6I9MMB8_PERMB, tr|A0A6J0CUB7|A0A6J0CUB7_PERMB
OG0000078	tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, sp|L7N1X6|FBW15_MOUSE	tr|A0A6I9M1F6|A0A6I9M1F6_PERMB
OG0000079	tr|D3Z0W7|D3Z0W7_MOUSE, tr|B2RW27|B2RW27_MOUSE, tr|Q9D991|Q9D991_MOUSE, tr|Q9D420|Q9D420_MOUSE, tr|Q80ZR8|Q80ZR8_MOUSE, tr|A0A0G2JGB2|A0A0G2JGB2_MOUSE, tr|J3QNG1|J3QNG1_MOUSE, tr|A0A0G2JGX9|A0A0G2JGX9_MOUSE, tr|Q9D5E3|Q9D5E3_MOUSE, tr|L7N481|L7N481_MOUSE, tr|Q9D506|Q9D506_MOUSE, tr|J3QMS8|J3QMS8_MOUSE, tr|A0A0G2JE67|A0A0G2JE67_MOUSE, tr|K7N5P2|K7N5P2_MOUSE	tr|A0A6J0CS92|A0A6J0CS92_PERMB
OG0000081	sp|Q7TQA4|TR140_MOUSE	tr|A0A6I9MDN4|A0A6I9MDN4_PERMB
OG0000081	sp|Q9JKA3|TR103_MOUSE	tr|A0A6J0CSY1|A0A6J0CSY1_PERMB
OG0000081	sp|Q7M710|TR125_MOUSE	tr|A0A6I9MHN4|A0A6I9MHN4_PERMB
OG0000081	tr|Q7M719|Q7M719_MOUSE	tr|A0A6J0CNC1|A0A6J0CNC1_PERMB
OG0000081	sp|Q7M711|TR113_MOUSE, sp|Q7M713|TR116_MOUSE	tr|A0A6I9MMW9|A0A6I9MMW9_PERMB
OG0000083	tr|Q9EQB7|Q9EQB7_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q8VFN5|Q8VFN5_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, sp|Q60895|OL150_MOUSE	tr|A0A6J0CIV0|A0A6J0CIV0_PERMB
OG0000085	tr|J3QJV4|J3QJV4_MOUSE	tr|A0A6I9M8K3|A0A6I9M8K3_PERMB
