Orthogroup	Mus_musculus	Fukomys_damarensis
OG0000033	sp|Q925P2|CEAM2_MOUSE, sp|P31809|CEAM1_MOUSE	tr|A0A091DRD6|A0A091DRD6_FUKDA
OG0000033	sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|D3YZF7|VS10L_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE	tr|A0A091DNB3|A0A091DNB3_FUKDA
OG0000036	sp|Q62074|KPCI_MOUSE	tr|A0A091DHP7|A0A091DHP7_FUKDA
OG0000036	sp|Q02956|KPCZ_MOUSE	tr|A0A091DKA9|A0A091DKA9_FUKDA, tr|A0A091D7K7|A0A091D7K7_FUKDA, tr|A0A091D7N2|A0A091D7N2_FUKDA, tr|A0A091DUN0|A0A091DUN0_FUKDA, tr|A0A091E0G1|A0A091E0G1_FUKDA, tr|A0A091DPV6|A0A091DPV6_FUKDA, tr|A0A091DYV8|A0A091DYV8_FUKDA, tr|A0A091E3F5|A0A091E3F5_FUKDA, tr|A0A091D5Y5|A0A091D5Y5_FUKDA, tr|A0A091CPC1|A0A091CPC1_FUKDA, tr|A0A091DIM5|A0A091DIM5_FUKDA, tr|A0A091CS27|A0A091CS27_FUKDA, tr|A0A091EMH8|A0A091EMH8_FUKDA, tr|A0A091D325|A0A091D325_FUKDA, tr|A0A091DMQ4|A0A091DMQ4_FUKDA, tr|A0A091CT34|A0A091CT34_FUKDA, tr|A0A091CMN6|A0A091CMN6_FUKDA, tr|A0A091DZ02|A0A091DZ02_FUKDA, tr|A0A091DXB5|A0A091DXB5_FUKDA, tr|A0A091CR54|A0A091CR54_FUKDA, tr|A0A091E1C9|A0A091E1C9_FUKDA, tr|A0A091D312|A0A091D312_FUKDA, tr|A0A091ER03|A0A091ER03_FUKDA, tr|A0A091DNE0|A0A091DNE0_FUKDA
OG0000037	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE, tr|Q8VCI1|Q8VCI1_MOUSE, sp|P10755|ZFP14_MOUSE, sp|Q6P9Y7|ZFP82_MOUSE, sp|Q60585|ZFP30_MOUSE, tr|Q9D654|Q9D654_MOUSE, tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE, tr|A0A087WRR7|A0A087WRR7_MOUSE, sp|Q3V080|ZN583_MOUSE, tr|Q5U406|Q5U406_MOUSE, tr|Q7TSV0|Q7TSV0_MOUSE, tr|Q640N4|Q640N4_MOUSE, sp|B2RXC5|ZN382_MOUSE, tr|A2A4U6|A2A4U6_MOUSE, sp|Q80W31|ZN569_MOUSE, sp|E9PYI1|ZN568_MOUSE, tr|Q3UVF6|Q3UVF6_MOUSE, sp|P16374|ZFP60_MOUSE, tr|J3QPC5|J3QPC5_MOUSE, tr|Q3TQG9|Q3TQG9_MOUSE, tr|G3X9H3|G3X9H3_MOUSE, tr|A0A0U1RQ84|A0A0U1RQ84_MOUSE, sp|P16373|ZFP59_MOUSE, tr|E9Q2S6|E9Q2S6_MOUSE	tr|A0A091CMA8|A0A091CMA8_FUKDA
OG0000039	tr|Q8VGJ5|Q8VGJ5_MOUSE	tr|A0A091EJX4|A0A091EJX4_FUKDA, tr|A0A091DZE8|A0A091DZE8_FUKDA, tr|A0A091DZU7|A0A091DZU7_FUKDA, tr|A0A091DZD9|A0A091DZD9_FUKDA, tr|A0A091DXL9|A0A091DXL9_FUKDA, tr|A0A091DUM0|A0A091DUM0_FUKDA, tr|A0A091DXM4|A0A091DXM4_FUKDA, tr|A0A091DUN2|A0A091DUN2_FUKDA, tr|A0A091EJW5|A0A091EJW5_FUKDA, tr|A0A091DZW3|A0A091DZW3_FUKDA, tr|A0A091DXL7|A0A091DXL7_FUKDA, tr|A0A091DUM5|A0A091DUM5_FUKDA, tr|A0A091DZF2|A0A091DZF2_FUKDA, tr|A0A091DXL3|A0A091DXL3_FUKDA, tr|A0A091DZD5|A0A091DZD5_FUKDA, tr|A0A091DUN9|A0A091DUN9_FUKDA, tr|A0A091DZV1|A0A091DZV1_FUKDA, tr|A0A091EJY1|A0A091EJY1_FUKDA, tr|A0A091EJW1|A0A091EJW1_FUKDA, tr|A0A091DXM7|A0A091DXM7_FUKDA, tr|A0A091EJX7|A0A091EJX7_FUKDA, tr|A0A091DZU3|A0A091DZU3_FUKDA, tr|A0A091E5C5|A0A091E5C5_FUKDA, tr|A0A091DZV5|A0A091DZV5_FUKDA
OG0000044	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|A0A091DXJ0|A0A091DXJ0_FUKDA, tr|A0A091CLS6|A0A091CLS6_FUKDA, tr|A0A091EGV4|A0A091EGV4_FUKDA, tr|A0A091CL42|A0A091CL42_FUKDA, tr|A0A091D7I2|A0A091D7I2_FUKDA, tr|A0A091DZR9|A0A091DZR9_FUKDA, tr|A0A091D7H9|A0A091D7H9_FUKDA, tr|A0A091EJT2|A0A091EJT2_FUKDA, tr|A0A091ENE4|A0A091ENE4_FUKDA, tr|A0A091D0R4|A0A091D0R4_FUKDA, tr|A0A091DWJ9|A0A091DWJ9_FUKDA, tr|A0A091DXI4|A0A091DXI4_FUKDA, tr|A0A091DZB4|A0A091DZB4_FUKDA, tr|A0A091DUA5|A0A091DUA5_FUKDA, tr|A0A091CLS9|A0A091CLS9_FUKDA, tr|A0A091ELY4|A0A091ELY4_FUKDA, tr|A0A091DZR5|A0A091DZR5_FUKDA, tr|A0A091CNS5|A0A091CNS5_FUKDA, tr|A0A091CMT8|A0A091CMT8_FUKDA, tr|A0A091DYJ3|A0A091DYJ3_FUKDA, tr|A0A091EJU7|A0A091EJU7_FUKDA, tr|A0A091DUK5|A0A091DUK5_FUKDA
OG0000045	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A091EET8|A0A091EET8_FUKDA, tr|A0A091DYZ9|A0A091DYZ9_FUKDA, tr|A0A091EF53|A0A091EF53_FUKDA, tr|A0A091E3Q3|A0A091E3Q3_FUKDA, tr|A0A091EF48|A0A091EF48_FUKDA, tr|A0A091CZ13|A0A091CZ13_FUKDA, tr|A0A091DU47|A0A091DU47_FUKDA, tr|A0A091E453|A0A091E453_FUKDA, tr|A0A091DUP9|A0A091DUP9_FUKDA, tr|A0A091DQF6|A0A091DQF6_FUKDA, tr|A0A091D230|A0A091D230_FUKDA, tr|A0A091DSD9|A0A091DSD9_FUKDA, tr|A0A091ENV8|A0A091ENV8_FUKDA, tr|A0A091DTT5|A0A091DTT5_FUKDA, tr|A0A091D3F7|A0A091D3F7_FUKDA, tr|A0A091CP62|A0A091CP62_FUKDA, tr|A0A091DP28|A0A091DP28_FUKDA, tr|A0A091DUD5|A0A091DUD5_FUKDA, tr|A0A091D484|A0A091D484_FUKDA, tr|A0A091E1X9|A0A091E1X9_FUKDA, tr|A0A091CQ86|A0A091CQ86_FUKDA, tr|A0A091DS21|A0A091DS21_FUKDA
OG0000046	sp|Q9JHB2|OLF19_MOUSE	tr|A0A091CUW1|A0A091CUW1_FUKDA
OG0000046	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A091D4L4|A0A091D4L4_FUKDA, tr|A0A091D7H8|A0A091D7H8_FUKDA, tr|A0A091D9T7|A0A091D9T7_FUKDA, tr|A0A091DW55|A0A091DW55_FUKDA, tr|A0A091DZ50|A0A091DZ50_FUKDA, tr|A0A091D967|A0A091D967_FUKDA, tr|A0A091E2H2|A0A091E2H2_FUKDA, tr|A0A091DVL7|A0A091DVL7_FUKDA, tr|A0A091DZP3|A0A091DZP3_FUKDA, tr|A0A091DUX1|A0A091DUX1_FUKDA, tr|A0A091E571|A0A091E571_FUKDA
OG0000046	tr|Q8VGU8|Q8VGU8_MOUSE, tr|Q8VGX5|Q8VGX5_MOUSE	tr|A0A091DW62|A0A091DW62_FUKDA, tr|A0A091D9U3|A0A091D9U3_FUKDA, tr|A0A091DT70|A0A091DT70_FUKDA, tr|A0A091E5N6|A0A091E5N6_FUKDA, tr|A0A091EQM1|A0A091EQM1_FUKDA, tr|A0A091D7I3|A0A091D7I3_FUKDA
OG0000052	sp|B1AWN6|SCN2A_MOUSE	tr|A0A091CWB1|A0A091CWB1_FUKDA
OG0000052	sp|A2APX8|SCN1A_MOUSE	tr|A0A091CV88|A0A091CV88_FUKDA
OG0000052	sp|A2ASI5|SCN3A_MOUSE	tr|A0A091CV85|A0A091CV85_FUKDA
OG0000052	sp|Q62205|SCN9A_MOUSE	tr|A0A091CSW6|A0A091CSW6_FUKDA, tr|A0A091CX45|A0A091CX45_FUKDA
OG0000052	tr|B1AYL1|B1AYL1_MOUSE	tr|A0A091DI31|A0A091DI31_FUKDA
OG0000052	sp|Q9WTU3|SCN8A_MOUSE	tr|A0A091DLR7|A0A091DLR7_FUKDA
OG0000052	sp|Q9ER60|SCN4A_MOUSE	tr|A0A091CM63|A0A091CM63_FUKDA
OG0000052	sp|Q6QIY3|SCNAA_MOUSE	tr|A0A091E6D4|A0A091E6D4_FUKDA
OG0000052	sp|Q9R053|SCNBA_MOUSE	tr|A0A091E4P3|A0A091E4P3_FUKDA
OG0000052	sp|Q9JJV9|SCN5A_MOUSE	tr|A0A091E1T2|A0A091E1T2_FUKDA
OG0000053	tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|Q5FW60|MUP20_MOUSE	tr|A0A091D6S7|A0A091D6S7_FUKDA
OG0000055	tr|Q7TRL9|Q7TRL9_MOUSE	tr|A0A091DHL0|A0A091DHL0_FUKDA, tr|A0A091CSF6|A0A091CSF6_FUKDA, tr|A0A091CWQ7|A0A091CWQ7_FUKDA, tr|A0A091CUU6|A0A091CUU6_FUKDA, tr|A0A091CVV9|A0A091CVV9_FUKDA, tr|A0A091CWQ9|A0A091CWQ9_FUKDA, tr|A0A091CVV1|A0A091CVV1_FUKDA, tr|A0A091CWQ2|A0A091CWQ2_FUKDA, tr|A0A091CSE4|A0A091CSE4_FUKDA, tr|A0A091CVV5|A0A091CVV5_FUKDA, tr|A0A091CUU2|A0A091CUU2_FUKDA, tr|A0A091DHK7|A0A091DHK7_FUKDA, tr|A0A091DHK3|A0A091DHK3_FUKDA, tr|A0A091DHJ9|A0A091DHJ9_FUKDA, tr|A0A091CUT9|A0A091CUT9_FUKDA, tr|A0A091CSE8|A0A091CSE8_FUKDA, tr|A0A091CUT6|A0A091CUT6_FUKDA, tr|A0A091CWQ4|A0A091CWQ4_FUKDA, tr|A0A091CVU9|A0A091CVU9_FUKDA
OG0000056	tr|A0A3B2WB67|A0A3B2WB67_MOUSE	tr|A0A091E6Z1|A0A091E6Z1_FUKDA, tr|A0A091DKS5|A0A091DKS5_FUKDA, tr|A0A091CXB1|A0A091CXB1_FUKDA, tr|A0A091CRU9|A0A091CRU9_FUKDA, tr|A0A091CW39|A0A091CW39_FUKDA, tr|A0A091CP11|A0A091CP11_FUKDA, tr|A0A091CTA5|A0A091CTA5_FUKDA, tr|A0A091ELJ3|A0A091ELJ3_FUKDA, tr|A0A091E1K6|A0A091E1K6_FUKDA, tr|A0A091CWG8|A0A091CWG8_FUKDA, tr|A0A091E3V7|A0A091E3V7_FUKDA, tr|A0A091DFU2|A0A091DFU2_FUKDA, tr|A0A091CVI1|A0A091CVI1_FUKDA, tr|A0A091D6M5|A0A091D6M5_FUKDA, tr|A0A091D1F3|A0A091D1F3_FUKDA, tr|A0A091D2E1|A0A091D2E1_FUKDA, tr|A0A091D2E9|A0A091D2E9_FUKDA, tr|A0A091CXI8|A0A091CXI8_FUKDA, tr|A0A091CWL3|A0A091CWL3_FUKDA
OG0000059	sp|Q61412|VSX2_MOUSE, sp|Q91V10|VSX1_MOUSE	tr|A0A091DN90|A0A091DN90_FUKDA
OG0000059	sp|Q80W69|CL071_MOUSE	tr|A0A091EFJ1|A0A091EFJ1_FUKDA, tr|A0A091DH02|A0A091DH02_FUKDA, tr|A0A091E1Z3|A0A091E1Z3_FUKDA, tr|A0A091DNS8|A0A091DNS8_FUKDA, tr|A0A091CT46|A0A091CT46_FUKDA, tr|A0A091D9X9|A0A091D9X9_FUKDA, tr|A0A091EBX4|A0A091EBX4_FUKDA, tr|A0A091DAT0|A0A091DAT0_FUKDA, tr|A0A091DD92|A0A091DD92_FUKDA, tr|A0A091CPV2|A0A091CPV2_FUKDA, tr|A0A091CMP5|A0A091CMP5_FUKDA, tr|A0A091CVH7|A0A091CVH7_FUKDA, tr|A0A091DS82|A0A091DS82_FUKDA, tr|A0A091CS01|A0A091CS01_FUKDA, tr|A0A091CW86|A0A091CW86_FUKDA
OG0000062	tr|Q3KPC7|Q3KPC7_MOUSE	tr|A0A091E5C3|A0A091E5C3_FUKDA
OG0000062	tr|Q8VGB1|Q8VGB1_MOUSE	tr|A0A091E078|A0A091E078_FUKDA
OG0000062	tr|L7MU75|L7MU75_MOUSE	tr|A0A091E5C6|A0A091E5C6_FUKDA
OG0000062	tr|Q7TQV4|Q7TQV4_MOUSE	tr|A0A091EPX9|A0A091EPX9_FUKDA, tr|A0A091E4X3|A0A091E4X3_FUKDA
