Orthogroup	Mus_musculus	Ursus_maritimus
OG0000023	tr|Q8BFS8|Q8BFS8_MOUSE	tr|A0A384DCF0|A0A384DCF0_URSMA, tr|A0A8M1G270|A0A8M1G270_URSMA, tr|A0A384DCI3|A0A384DCI3_URSMA, tr|A0A384DCK5|A0A384DCK5_URSMA, tr|A0A384DD60|A0A384DD60_URSMA, tr|A0A8M1G2H3|A0A8M1G2H3_URSMA, tr|A0A384DKV7|A0A384DKV7_URSMA, tr|A0A384DCL4|A0A384DCL4_URSMA, tr|A0A8M1G6R2|A0A8M1G6R2_URSMA, tr|A0A8M1G771|A0A8M1G771_URSMA, tr|A0A8M1G557|A0A8M1G557_URSMA, tr|A0A8M1GCH0|A0A8M1GCH0_URSMA, tr|A0A8M1GEA9|A0A8M1GEA9_URSMA, tr|A0A384DCI2|A0A384DCI2_URSMA, tr|A0A8M1G274|A0A8M1G274_URSMA, tr|A0A8M1G567|A0A8M1G567_URSMA, tr|A0A8M1G278|A0A8M1G278_URSMA, tr|A0A8M1G4J5|A0A8M1G4J5_URSMA, tr|A0A8M1G4J0|A0A8M1G4J0_URSMA, tr|A0A8M1G272|A0A8M1G272_URSMA, tr|A0A384DCL0|A0A384DCL0_URSMA, tr|A0A384DCD1|A0A384DCD1_URSMA, tr|A0A384DD23|A0A384DD23_URSMA, tr|A0A384DCI9|A0A384DCI9_URSMA, tr|A0A384DCG8|A0A384DCG8_URSMA, tr|A0A8M1GCD8|A0A8M1GCD8_URSMA, tr|A0A8M1G4G3|A0A8M1G4G3_URSMA, tr|A0A8M1GCE3|A0A8M1GCE3_URSMA, tr|A0A8M1G3W2|A0A8M1G3W2_URSMA, tr|A0A384DCK9|A0A384DCK9_URSMA
OG0000024	tr|A0A075B5T1|A0A075B5T1_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18532|HVM61_MOUSE, sp|P01822|HVM46_MOUSE, sp|P18531|HVM60_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B693|A0A075B693_MOUSE	tr|A0A8M1FAL4|A0A8M1FAL4_URSMA
OG0000027	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A384DP98|A0A384DP98_URSMA, tr|A0A384DQ12|A0A384DQ12_URSMA
OG0000027	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A384BI44|A0A384BI44_URSMA, tr|A0A384BI35|A0A384BI35_URSMA, tr|A0A384BI62|A0A384BI62_URSMA, tr|A0A384BI39|A0A384BI39_URSMA, tr|A0A384DN39|A0A384DN39_URSMA, tr|A0A8M1F0F5|A0A8M1F0F5_URSMA, tr|A0A8M1FGP2|A0A8M1FGP2_URSMA, tr|A0A384BI57|A0A384BI57_URSMA, tr|A0A8M1GMT0|A0A8M1GMT0_URSMA, tr|A0A384DNF4|A0A384DNF4_URSMA, tr|A0A384BJD6|A0A384BJD6_URSMA, tr|A0A384DP94|A0A384DP94_URSMA, tr|A0A384DQ29|A0A384DQ29_URSMA
OG0000027	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A384BIL4|A0A384BIL4_URSMA, tr|A0A384DP92|A0A384DP92_URSMA, tr|A0A384DPH6|A0A384DPH6_URSMA, tr|A0A384BJH7|A0A384BJH7_URSMA, tr|A0A384DKP1|A0A384DKP1_URSMA
OG0000032	tr|A0A075B5I8|A0A075B5I8_MOUSE	tr|A0A8M1H4B9|A0A8M1H4B9_URSMA
OG0000032	sp|P01734|TVB1_MOUSE, tr|A0A075B5J0|A0A075B5J0_MOUSE, tr|A0A075B5I9|A0A075B5I9_MOUSE, tr|A0A0B4J1H1|A0A0B4J1H1_MOUSE, tr|A0A0B4J1H0|A0A0B4J1H0_MOUSE, tr|A0A0A6YYE3|A0A0A6YYE3_MOUSE, sp|P06320|TVB7_MOUSE, tr|A0A0B4J1H3|A0A0B4J1H3_MOUSE, tr|A0A140T8L9|A0A140T8L9_MOUSE, tr|A0A0A6YYE2|A0A0A6YYE2_MOUSE, tr|A0A0B4J1H4|A0A0B4J1H4_MOUSE, sp|P04212|TVB4_MOUSE, sp|P01736|TVB3_MOUSE, tr|A0A0G2LB96|A0A0G2LB96_MOUSE, sp|P04213|TVB5_MOUSE, tr|A0A0B4J1H2|A0A0B4J1H2_MOUSE, tr|A0A075B5I3|A0A075B5I3_MOUSE, tr|A0A140T8N6|A0A140T8N6_MOUSE, tr|A0A140T8P8|A0A140T8P8_MOUSE, tr|A0A0B4J1G8|A0A0B4J1G8_MOUSE, tr|A0A075B5I2|A0A075B5I2_MOUSE, tr|A0A0B4J1G9|A0A0B4J1G9_MOUSE, sp|P01735|TVB86_MOUSE, sp|P06321|TVB8_MOUSE	tr|A0A8M1H097|A0A8M1H097_URSMA
OG0000033	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A384DQ93|A0A384DQ93_URSMA, tr|A0A384DPF0|A0A384DPF0_URSMA
OG0000033	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A384DM10|A0A384DM10_URSMA, tr|A0A384DLV2|A0A384DLV2_URSMA
OG0000033	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A384DQ77|A0A384DQ77_URSMA, tr|A0A384DPE3|A0A384DPE3_URSMA, tr|A0A384DQ82|A0A384DQ82_URSMA, tr|A0A8M1FYF1|A0A8M1FYF1_URSMA, tr|A0A384DQ71|A0A384DQ71_URSMA
OG0000033	tr|Q8VG28|Q8VG28_MOUSE	tr|A0A384DM16|A0A384DM16_URSMA, tr|A0A384DLY9|A0A384DLY9_URSMA
OG0000033	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|A0A384DLA3|A0A384DLA3_URSMA, tr|A0A384DLG0|A0A384DLG0_URSMA, tr|A0A384DM51|A0A384DM51_URSMA, tr|A0A384DLH3|A0A384DLH3_URSMA
OG0000035	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A384CYC1|A0A384CYC1_URSMA
OG0000035	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A384CIS6|A0A384CIS6_URSMA, tr|A0A384CIQ9|A0A384CIQ9_URSMA, tr|A0A384CII5|A0A384CII5_URSMA, tr|A0A8M1G380|A0A8M1G380_URSMA
OG0000035	tr|G3UW88|G3UW88_MOUSE	tr|A0A8M1GCT7|A0A8M1GCT7_URSMA, tr|A0A8M1G2V5|A0A8M1G2V5_URSMA, tr|A0A384CIN8|A0A384CIN8_URSMA, tr|A0A384CIR5|A0A384CIR5_URSMA, tr|A0A384CIT3|A0A384CIT3_URSMA, tr|A0A384CJK9|A0A384CJK9_URSMA, tr|A0A384CIN2|A0A384CIN2_URSMA
OG0000035	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A384CJY4|A0A384CJY4_URSMA, tr|A0A384CIU2|A0A384CIU2_URSMA
OG0000038	sp|Q6NXH9|K2C73_MOUSE	tr|A0A384D7T3|A0A384D7T3_URSMA
OG0000038	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8M1GTJ4|A0A8M1GTJ4_URSMA
OG0000038	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A384D6Y7|A0A384D6Y7_URSMA
OG0000038	sp|Q6IME9|K2C72_MOUSE	tr|A0A8M1GTJ8|A0A8M1GTJ8_URSMA, tr|A0A8M1H3H3|A0A8M1H3H3_URSMA, tr|A0A384D891|A0A384D891_URSMA, tr|A0A8M1GUG5|A0A8M1GUG5_URSMA, tr|A0A384D7U3|A0A384D7U3_URSMA, tr|A0A384D7A5|A0A384D7A5_URSMA, tr|A0A8M1GSU8|A0A8M1GSU8_URSMA, tr|A0A8M1GRX7|A0A8M1GRX7_URSMA, tr|A0A8M1GQA2|A0A8M1GQA2_URSMA, tr|A0A8M1GS04|A0A8M1GS04_URSMA, tr|A0A384DKK4|A0A384DKK4_URSMA, tr|A0A384DLJ3|A0A384DLJ3_URSMA, tr|A0A8M1H3H2|A0A8M1H3H2_URSMA, tr|A0A384D881|A0A384D881_URSMA, tr|A0A384D7D7|A0A384D7D7_URSMA, tr|A0A384D703|A0A384D703_URSMA, tr|A0A8M1H2R4|A0A8M1H2R4_URSMA, tr|A0A8M1GRV3|A0A8M1GRV3_URSMA
OG0000039	tr|Q7TR20|Q7TR20_MOUSE	tr|A0A384CC72|A0A384CC72_URSMA
OG0000039	tr|Q0VB29|Q0VB29_MOUSE	tr|A0A384CCZ5|A0A384CCZ5_URSMA
OG0000039	tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE	tr|A0A384CBT7|A0A384CBT7_URSMA
OG0000039	tr|A2AUS6|A2AUS6_MOUSE	tr|A0A384CDE0|A0A384CDE0_URSMA
OG0000040	tr|Q8VFT6|Q8VFT6_MOUSE	tr|A0A384DRC9|A0A384DRC9_URSMA
OG0000040	tr|Q7TRL9|Q7TRL9_MOUSE	tr|A0A384BJB5|A0A384BJB5_URSMA, tr|A0A384DUB7|A0A384DUB7_URSMA, tr|A0A384BIY6|A0A384BIY6_URSMA, tr|A0A384DUC3|A0A384DUC3_URSMA, tr|A0A8M1F023|A0A8M1F023_URSMA, tr|A0A384DNK7|A0A384DNK7_URSMA, tr|A0A384DQR7|A0A384DQR7_URSMA, tr|A0A8M1F330|A0A8M1F330_URSMA, tr|A0A384DLM4|A0A384DLM4_URSMA, tr|A0A384DLT5|A0A384DLT5_URSMA, tr|A0A384DQI4|A0A384DQI4_URSMA, tr|A0A384DQI8|A0A384DQI8_URSMA, tr|A0A384BI15|A0A384BI15_URSMA, tr|A0A384DPH1|A0A384DPH1_URSMA, tr|A0A384DPG6|A0A384DPG6_URSMA, tr|A0A384BJ08|A0A384BJ08_URSMA, tr|A0A8M1F6R3|A0A8M1F6R3_URSMA, tr|A0A8M1FGP8|A0A8M1FGP8_URSMA, tr|A0A384DM86|A0A384DM86_URSMA, tr|A0A384DRC7|A0A384DRC7_URSMA, tr|A0A384DRD5|A0A384DRD5_URSMA, tr|A0A8M1FDM2|A0A8M1FDM2_URSMA
OG0000041	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|A0A384DMS2|A0A384DMS2_URSMA, tr|A0A8M1F5Q3|A0A8M1F5Q3_URSMA, tr|A0A384DNI8|A0A384DNI8_URSMA, tr|A0A384DMN9|A0A384DMN9_URSMA, tr|A0A384DMV2|A0A384DMV2_URSMA, tr|A0A384DMU7|A0A384DMU7_URSMA, tr|A0A384DMM7|A0A384DMM7_URSMA, tr|A0A384DJY4|A0A384DJY4_URSMA, tr|A0A384DNH4|A0A384DNH4_URSMA, tr|A0A384BHA2|A0A384BHA2_URSMA, tr|A0A8M1F5P3|A0A8M1F5P3_URSMA, tr|A0A384DKJ4|A0A384DKJ4_URSMA, tr|A0A8M1FD29|A0A8M1FD29_URSMA, tr|A0A8M1F8Z9|A0A8M1F8Z9_URSMA, tr|A0A384DMK8|A0A384DMK8_URSMA, tr|A0A384DNG7|A0A384DNG7_URSMA, tr|A0A384DMK3|A0A384DMK3_URSMA, tr|A0A384DNI3|A0A384DNI3_URSMA, tr|A0A384DMV0|A0A384DMV0_URSMA, tr|A0A384DMW2|A0A384DMW2_URSMA, tr|A0A384DLH4|A0A384DLH4_URSMA, tr|A0A384DNJ8|A0A384DNJ8_URSMA, tr|A0A384DMW7|A0A384DMW7_URSMA, tr|A0A384DMV5|A0A384DMV5_URSMA
OG0000044	tr|Q91XY3|Q91XY3_MOUSE	tr|A0A8M1F4K6|A0A8M1F4K6_URSMA
OG0000044	tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE	tr|A0A8M1F7W0|A0A8M1F7W0_URSMA
OG0000047	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG02|OL488_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE	tr|A0A384BHJ2|A0A384BHJ2_URSMA
OG0000052	tr|A2BHR2|A2BHR2_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE	tr|A0A384DGN6|A0A384DGN6_URSMA
OG0000053	tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE	tr|A0A384CXC8|A0A384CXC8_URSMA
OG0000055	sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZB7|MRGRE_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE	tr|A0A384BRB6|A0A384BRB6_URSMA
OG0000056	sp|Q09143|CTR1_MOUSE	tr|A0A8M1H2N8|A0A8M1H2N8_URSMA, tr|A0A8M1GR16|A0A8M1GR16_URSMA, tr|A0A8M1H368|A0A8M1H368_URSMA, tr|A0A8M1GTN5|A0A8M1GTN5_URSMA, tr|A0A8M1GR22|A0A8M1GR22_URSMA, tr|A0A8M1FAL9|A0A8M1FAL9_URSMA, tr|A0A8M1GTP3|A0A8M1GTP3_URSMA, tr|A0A8M1GR14|A0A8M1GR14_URSMA, tr|A0A8M1GRW2|A0A8M1GRW2_URSMA, tr|A0A8M1F0J1|A0A8M1F0J1_URSMA, tr|A0A8M1GTN9|A0A8M1GTN9_URSMA, tr|A0A8M1F3F3|A0A8M1F3F3_URSMA, tr|A0A8M1GQ42|A0A8M1GQ42_URSMA, tr|A0A452TAH3|A0A452TAH3_URSMA, tr|A0A8M1GSQ8|A0A8M1GSQ8_URSMA, tr|A0A8M1GR06|A0A8M1GR06_URSMA, tr|A0A384DUA3|A0A384DUA3_URSMA, tr|A0A384CYI1|A0A384CYI1_URSMA, tr|A0A384C7P6|A0A384C7P6_URSMA
OG0000057	tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE	tr|A0A384BSE3|A0A384BSE3_URSMA
OG0000057	tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE	tr|A0A384CHT4|A0A384CHT4_URSMA
