Orthogroup	Mus_musculus	Sus_scrofa
OG0000034	tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE	tr|A0A5G2R7K9|A0A5G2R7K9_PIG
OG0000035	tr|Q80Y37|Q80Y37_MOUSE	tr|A0A5G2QBJ8|A0A5G2QBJ8_PIG, tr|A0A287AK32|A0A287AK32_PIG, tr|A0A5G2R0N0|A0A5G2R0N0_PIG, tr|A0A5G2QH96|A0A5G2QH96_PIG, tr|A0A5G2REV4|A0A5G2REV4_PIG, tr|A0A287BG79|A0A287BG79_PIG, tr|A0A5G2QDM0|A0A5G2QDM0_PIG, tr|A0A5G2RE51|A0A5G2RE51_PIG, tr|A0A5G2QTQ5|A0A5G2QTQ5_PIG, tr|A0A286ZKY2|A0A286ZKY2_PIG, tr|A0A5G2QSZ7|A0A5G2QSZ7_PIG, tr|A0A287ACV2|A0A287ACV2_PIG, tr|A0A5G2R591|A0A5G2R591_PIG, tr|A0A5G2RHZ7|A0A5G2RHZ7_PIG, tr|A0A287BF96|A0A287BF96_PIG, tr|A0A287B9C9|A0A287B9C9_PIG, tr|A0A286ZZP6|A0A286ZZP6_PIG, tr|A0A5G2R2K6|A0A5G2R2K6_PIG, tr|A0A5G2QBA9|A0A5G2QBA9_PIG, tr|A0A287AZI9|A0A287AZI9_PIG, tr|A0A287BGV5|A0A287BGV5_PIG, tr|A0A5G2QRU4|A0A5G2QRU4_PIG, tr|A0A5G2RCB7|A0A5G2RCB7_PIG, tr|A0A5G2QX31|A0A5G2QX31_PIG, tr|A0A5G2QIC6|A0A5G2QIC6_PIG, tr|A0A5G2QK82|A0A5G2QK82_PIG, tr|A0A287BTM7|A0A287BTM7_PIG, tr|A0A5G2R0V0|A0A5G2R0V0_PIG, tr|A0A5G2QUA8|A0A5G2QUA8_PIG
OG0000036	tr|Q8VCI1|Q8VCI1_MOUSE	tr|F1RLC1|F1RLC1_PIG
OG0000036	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A287AE35|A0A287AE35_PIG, tr|F1RHD5|F1RHD5_PIG, tr|A0A287A2Y3|A0A287A2Y3_PIG
OG0000036	sp|P10755|ZFP14_MOUSE	tr|F1RMU8|F1RMU8_PIG, tr|A0A286ZHY5|A0A286ZHY5_PIG, tr|F1RMU9|F1RMU9_PIG, tr|F1RKN1|F1RKN1_PIG, tr|A0A287BT06|A0A287BT06_PIG, tr|A0A287BIS9|A0A287BIS9_PIG
OG0000036	sp|A2A761|ZFP69_MOUSE	tr|A0A287A0S5|A0A287A0S5_PIG, tr|A0A287BQ56|A0A287BQ56_PIG, tr|I3LA72|I3LA72_PIG, tr|A0A287A564|A0A287A564_PIG, tr|A0A287BEG0|A0A287BEG0_PIG, tr|A0A287BQT3|A0A287BQT3_PIG, tr|A0A287AFR9|A0A287AFR9_PIG, tr|I3LPD3|I3LPD3_PIG, tr|A0A480INE8|A0A480INE8_PIG
OG0000036	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|F1RLD5|F1RLD5_PIG, tr|A0A287BPX0|A0A287BPX0_PIG, tr|F1RJG7|F1RJG7_PIG
OG0000043	tr|Q91XY2|Q91XY2_MOUSE	tr|F1RMU0|F1RMU0_PIG
OG0000043	sp|Q91XY4|PCDG4_MOUSE	tr|F1RMT6|F1RMT6_PIG
OG0000043	tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE	tr|A0A287A9U5|A0A287A9U5_PIG, tr|I3LPK8|I3LPK8_PIG
OG0000047	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91VD8|Q91VD8_MOUSE	tr|F1RGD7|F1RGD7_PIG
OG0000052	sp|Q6AW46|EST5A_MOUSE	tr|A0A286ZX86|A0A286ZX86_PIG
OG0000052	tr|F6Z9B9|F6Z9B9_MOUSE, sp|Q8QZR3|EST2A_MOUSE, sp|Q8BK48|EST2E_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|E9PV38|E9PV38_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q8VCT4|EST1D_MOUSE, tr|E9PYP1|E9PYP1_MOUSE, sp|Q8VCC2|EST1_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, sp|Q64176|EST1E_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, sp|P23953|EST1C_MOUSE, sp|Q8R0W5|EST4A_MOUSE, sp|Q8VCU1|EST3B_MOUSE, sp|Q63880|EST3A_MOUSE	tr|A0A5G2REZ9|A0A5G2REZ9_PIG
OG0000053	sp|Q8BGZ7|K2C75_MOUSE	tr|F1SGI7|F1SGI7_PIG
OG0000053	sp|Q922U2|K2C5_MOUSE	tr|F1SGG6|F1SGG6_PIG
OG0000053	sp|P04104|K2C1_MOUSE	tr|F1SGG3|F1SGG3_PIG
OG0000053	sp|Q3TTY5|K22E_MOUSE	tr|A0A287BHY5|A0A287BHY5_PIG
