Orthogroup	Mus_musculus	Lynx_canadensis
OG0000006	tr|A0A087WNP5|A0A087WNP5_MOUSE, tr|A0A1B0GT64|A0A1B0GT64_MOUSE, tr|A0A0J9YUD4|A0A0J9YUD4_MOUSE, tr|A0A1W2P6H7|A0A1W2P6H7_MOUSE, tr|A0A0J9YVH3|A0A0J9YVH3_MOUSE, tr|A0A1W2P7G7|A0A1W2P7G7_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|A0A571BEN2|A0A571BEN2_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|L7N267|L7N267_MOUSE, tr|F7D043|F7D043_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|K7N769|K7N769_MOUSE, tr|L7N208|L7N208_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|L7N248|L7N248_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE	tr|A0A667HV59|A0A667HV59_LYNCA
OG0000009	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A667HP35|A0A667HP35_LYNCA
OG0000009	sp|Q60585|ZFP30_MOUSE	tr|A0A667INC7|A0A667INC7_LYNCA
OG0000009	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A667HGB9|A0A667HGB9_LYNCA
OG0000009	sp|P10755|ZFP14_MOUSE	tr|A0A667HZF2|A0A667HZF2_LYNCA, tr|A0A667IN75|A0A667IN75_LYNCA, tr|A0A667HYY7|A0A667HYY7_LYNCA, tr|A0A667IM95|A0A667IM95_LYNCA, tr|A0A667HZ80|A0A667HZ80_LYNCA
OG0000009	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A667INP9|A0A667INP9_LYNCA, tr|A0A667IJL5|A0A667IJL5_LYNCA, tr|A0A667HHS3|A0A667HHS3_LYNCA, tr|A0A667I0J1|A0A667I0J1_LYNCA, tr|A0A667HG66|A0A667HG66_LYNCA
OG0000009	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A667HZP9|A0A667HZP9_LYNCA, tr|A0A667IPU7|A0A667IPU7_LYNCA
OG0000009	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A667HHX4|A0A667HHX4_LYNCA
OG0000009	sp|Q3V080|ZN583_MOUSE	tr|A0A667HGT5|A0A667HGT5_LYNCA, tr|A0A667HJ85|A0A667HJ85_LYNCA, tr|A0A667I4F7|A0A667I4F7_LYNCA, tr|A0A667H9G3|A0A667H9G3_LYNCA, tr|A0A667I485|A0A667I485_LYNCA, tr|A0A667HBJ0|A0A667HBJ0_LYNCA, tr|A0A667ILL0|A0A667ILL0_LYNCA, tr|A0A667J451|A0A667J451_LYNCA, tr|A0A667INN6|A0A667INN6_LYNCA, tr|A0A667HZN7|A0A667HZN7_LYNCA, tr|A0A667IPW2|A0A667IPW2_LYNCA, tr|A0A667HI07|A0A667HI07_LYNCA, tr|A0A667HUA5|A0A667HUA5_LYNCA, tr|A0A667ISD2|A0A667ISD2_LYNCA, tr|A0A667HIN1|A0A667HIN1_LYNCA, tr|A0A667I0Q9|A0A667I0Q9_LYNCA, tr|A0A667I9E8|A0A667I9E8_LYNCA, tr|A0A667I8Z8|A0A667I8Z8_LYNCA
OG0000014	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A667FVW1|A0A667FVW1_LYNCA
OG0000014	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A667GWI9|A0A667GWI9_LYNCA, tr|A0A667FSZ1|A0A667FSZ1_LYNCA, tr|A0A667G8U6|A0A667G8U6_LYNCA, tr|A0A667FLZ2|A0A667FLZ2_LYNCA, tr|A0A667FTG1|A0A667FTG1_LYNCA, tr|A0A667FME5|A0A667FME5_LYNCA, tr|A0A667FTH3|A0A667FTH3_LYNCA, tr|A0A667G8E3|A0A667G8E3_LYNCA, tr|A0A667G1Y2|A0A667G1Y2_LYNCA, tr|A0A667FFV6|A0A667FFV6_LYNCA, tr|A0A667GC62|A0A667GC62_LYNCA, tr|A0A667G1Z6|A0A667G1Z6_LYNCA, tr|A0A667FZX1|A0A667FZX1_LYNCA, tr|A0A667G9V8|A0A667G9V8_LYNCA
OG0000014	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A667FMS6|A0A667FMS6_LYNCA, tr|A0A667G8I2|A0A667G8I2_LYNCA, tr|A0A667FSW8|A0A667FSW8_LYNCA, tr|A0A667FMC2|A0A667FMC2_LYNCA, tr|A0A667GWG0|A0A667GWG0_LYNCA
OG0000014	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A667G5P8|A0A667G5P8_LYNCA, tr|A0A667FW24|A0A667FW24_LYNCA, tr|A0A667GCB6|A0A667GCB6_LYNCA, tr|A0A667FT44|A0A667FT44_LYNCA, tr|A0A667FSL4|A0A667FSL4_LYNCA
OG0000018	tr|Q8VGB8|Q8VGB8_MOUSE	tr|A0A667G294|A0A667G294_LYNCA
OG0000018	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A667G4P1|A0A667G4P1_LYNCA, tr|A0A667FHP1|A0A667FHP1_LYNCA, tr|A0A667G1R1|A0A667G1R1_LYNCA, tr|A0A667FI19|A0A667FI19_LYNCA, tr|A0A667GRW5|A0A667GRW5_LYNCA, tr|A0A667FPR8|A0A667FPR8_LYNCA, tr|A0A667FHR3|A0A667FHR3_LYNCA, tr|A0A667FHT4|A0A667FHT4_LYNCA, tr|A0A667FQ51|A0A667FQ51_LYNCA, tr|A0A667G261|A0A667G261_LYNCA, tr|A0A667FPQ8|A0A667FPQ8_LYNCA, tr|A0A667G4A6|A0A667G4A6_LYNCA, tr|A0A667G240|A0A667G240_LYNCA, tr|A0A667FQ29|A0A667FQ29_LYNCA, tr|A0A667GRZ8|A0A667GRZ8_LYNCA, tr|A0A667G3U9|A0A667G3U9_LYNCA, tr|A0A667FK11|A0A667FK11_LYNCA, tr|A0A667FJX4|A0A667FJX4_LYNCA, tr|A0A667GU40|A0A667GU40_LYNCA, tr|A0A667G6J2|A0A667G6J2_LYNCA, tr|A0A667G767|A0A667G767_LYNCA, tr|A0A667HCV5|A0A667HCV5_LYNCA, tr|A0A667HHI1|A0A667HHI1_LYNCA, tr|A0A667FRI9|A0A667FRI9_LYNCA, tr|A0A667GTX4|A0A667GTX4_LYNCA, tr|A0A667GTS4|A0A667GTS4_LYNCA, tr|A0A667FJP3|A0A667FJP3_LYNCA, tr|A0A667FJQ5|A0A667FJQ5_LYNCA, tr|A0A667GTQ9|A0A667GTQ9_LYNCA, tr|A0A667GTV7|A0A667GTV7_LYNCA, tr|A0A667G4Q9|A0A667G4Q9_LYNCA
OG0000020	tr|Q8VFN6|Q8VFN6_MOUSE	tr|A0A667J339|A0A667J339_LYNCA, tr|A0A667IM82|A0A667IM82_LYNCA, tr|A0A667IHR2|A0A667IHR2_LYNCA, tr|A0A667J332|A0A667J332_LYNCA
OG0000020	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A667G1Y0|A0A667G1Y0_LYNCA, tr|A0A667GQE6|A0A667GQE6_LYNCA, tr|A0A667GBM0|A0A667GBM0_LYNCA, tr|A0A667GZ53|A0A667GZ53_LYNCA, tr|A0A667HNU7|A0A667HNU7_LYNCA, tr|A0A667GHD7|A0A667GHD7_LYNCA, tr|A0A667GH97|A0A667GH97_LYNCA, tr|A0A667HNZ9|A0A667HNZ9_LYNCA, tr|A0A667GYG9|A0A667GYG9_LYNCA, tr|A0A667GYU9|A0A667GYU9_LYNCA, tr|A0A667HMA5|A0A667HMA5_LYNCA, tr|A0A667GWH8|A0A667GWH8_LYNCA, tr|A0A667GBS4|A0A667GBS4_LYNCA, tr|A0A667GZB4|A0A667GZB4_LYNCA, tr|A0A667HNF0|A0A667HNF0_LYNCA, tr|A0A667GC18|A0A667GC18_LYNCA, tr|A0A667GGR6|A0A667GGR6_LYNCA, tr|A0A667GGS3|A0A667GGS3_LYNCA, tr|A0A667HN63|A0A667HN63_LYNCA, tr|A0A667HN44|A0A667HN44_LYNCA, tr|A0A667GWS1|A0A667GWS1_LYNCA, tr|A0A667GBW5|A0A667GBW5_LYNCA, tr|A0A667GXT6|A0A667GXT6_LYNCA, tr|A0A667GXS7|A0A667GXS7_LYNCA, tr|A0A667GHQ8|A0A667GHQ8_LYNCA, tr|A0A667GBI9|A0A667GBI9_LYNCA
OG0000021	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A667GXI4|A0A667GXI4_LYNCA
OG0000021	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A667GHI4|A0A667GHI4_LYNCA
OG0000021	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A667HNY6|A0A667HNY6_LYNCA, tr|A0A667GZC7|A0A667GZC7_LYNCA
OG0000021	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A667HNX9|A0A667HNX9_LYNCA, tr|A0A667GZD0|A0A667GZD0_LYNCA
OG0000021	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A667HNT1|A0A667HNT1_LYNCA, tr|A0A667GX79|A0A667GX79_LYNCA, tr|A0A667HNJ4|A0A667HNJ4_LYNCA, tr|A0A667GX37|A0A667GX37_LYNCA, tr|A0A667HNB8|A0A667HNB8_LYNCA, tr|A0A667GYR6|A0A667GYR6_LYNCA, tr|A0A667GGZ0|A0A667GGZ0_LYNCA, tr|A0A667GYY2|A0A667GYY2_LYNCA, tr|A0A667HMV3|A0A667HMV3_LYNCA, tr|A0A667GY98|A0A667GY98_LYNCA, tr|A0A667GBR1|A0A667GBR1_LYNCA, tr|A0A667GGL1|A0A667GGL1_LYNCA, tr|A0A667GBS8|A0A667GBS8_LYNCA, tr|A0A667GWK5|A0A667GWK5_LYNCA, tr|A0A667GBN9|A0A667GBN9_LYNCA, tr|A0A667GYD8|A0A667GYD8_LYNCA, tr|A0A667GGQ9|A0A667GGQ9_LYNCA, tr|A0A667GWM4|A0A667GWM4_LYNCA
OG0000022	sp|Q8VGI5|OL481_MOUSE, tr|L7N455|L7N455_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VEZ0|OL480_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG02|OL488_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE	tr|A0A667GVJ8|A0A667GVJ8_LYNCA
OG0000023	tr|A0A075B697|A0A075B697_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, sp|P01819|HVM43_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, sp|P18532|HVM61_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P18533|HVM62_MOUSE, sp|P18531|HVM60_MOUSE, sp|P01822|HVM46_MOUSE	tr|A0A667GET4|A0A667GET4_LYNCA, tr|A0A667FVT4|A0A667FVT4_LYNCA
OG0000026	sp|P07744|K2C4_MOUSE	tr|A0A667HVB6|A0A667HVB6_LYNCA
OG0000026	sp|Q3TTY5|K22E_MOUSE	tr|A0A667H926|A0A667H926_LYNCA
OG0000026	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A667HUW1|A0A667HUW1_LYNCA, tr|A0A667HBV1|A0A667HBV1_LYNCA
OG0000026	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A667HU98|A0A667HU98_LYNCA
OG0000026	sp|Q6NXH9|K2C73_MOUSE	tr|A0A667HUM4|A0A667HUM4_LYNCA
OG0000026	sp|Q9R0H5|K2C71_MOUSE	tr|A0A667HAZ0|A0A667HAZ0_LYNCA
OG0000026	sp|Q6IME9|K2C72_MOUSE	tr|A0A667II76|A0A667II76_LYNCA
OG0000026	sp|Q3UV17|K22O_MOUSE	tr|A0A667H9Q2|A0A667H9Q2_LYNCA, tr|A0A667HBY7|A0A667HBY7_LYNCA
OG0000026	sp|Q8VED5|K2C79_MOUSE	tr|A0A667HVD7|A0A667HVD7_LYNCA
OG0000026	sp|Q9DCV7|K2C7_MOUSE	tr|A0A667HAD1|A0A667HAD1_LYNCA, tr|A0A667HTY7|A0A667HTY7_LYNCA, tr|A0A667IHR4|A0A667IHR4_LYNCA, tr|A0A667HS57|A0A667HS57_LYNCA, tr|A0A667HAV7|A0A667HAV7_LYNCA, tr|A0A667HTD7|A0A667HTD7_LYNCA, tr|A0A667IGC7|A0A667IGC7_LYNCA
OG0000030	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A667I3P7|A0A667I3P7_LYNCA
OG0000030	sp|Q91VN1|ZNF24_MOUSE	tr|A0A667I3A7|A0A667I3A7_LYNCA, tr|A0A667HLP8|A0A667HLP8_LYNCA
OG0000030	sp|Q07231|ZSC21_MOUSE	tr|A0A667GAL4|A0A667GAL4_LYNCA, tr|A0A667FPI7|A0A667FPI7_LYNCA, tr|A0A667G8N5|A0A667G8N5_LYNCA, tr|A0A667G9Z6|A0A667G9Z6_LYNCA, tr|A0A667GB51|A0A667GB51_LYNCA, tr|A0A667J275|A0A667J275_LYNCA
OG0000030	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A667GAU5|A0A667GAU5_LYNCA, tr|A0A667FNZ5|A0A667FNZ5_LYNCA, tr|A0A667HTP4|A0A667HTP4_LYNCA, tr|A0A667HTK1|A0A667HTK1_LYNCA, tr|A0A667HMS8|A0A667HMS8_LYNCA, tr|A0A667IAL6|A0A667IAL6_LYNCA, tr|A0A667G711|A0A667G711_LYNCA, tr|A0A667HV79|A0A667HV79_LYNCA, tr|A0A667IMY0|A0A667IMY0_LYNCA, tr|A0A667FKT5|A0A667FKT5_LYNCA, tr|A0A667GYB1|A0A667GYB1_LYNCA
OG0000031	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A667GDZ7|A0A667GDZ7_LYNCA
OG0000031	sp|Q60878|OL140_MOUSE	tr|A0A667G8R2|A0A667G8R2_LYNCA
OG0000031	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A667G8T0|A0A667G8T0_LYNCA
OG0000031	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A667HK05|A0A667HK05_LYNCA, tr|A0A667GDN2|A0A667GDN2_LYNCA, tr|A0A667GUU1|A0A667GUU1_LYNCA, tr|A0A667HKZ5|A0A667HKZ5_LYNCA, tr|A0A667HKT8|A0A667HKT8_LYNCA, tr|A0A667G980|A0A667G980_LYNCA, tr|A0A667GU77|A0A667GU77_LYNCA, tr|A0A667GW93|A0A667GW93_LYNCA, tr|A0A667G9D7|A0A667G9D7_LYNCA, tr|A0A667HKI9|A0A667HKI9_LYNCA, tr|A0A667GU18|A0A667GU18_LYNCA, tr|A0A667HKV7|A0A667HKV7_LYNCA, tr|A0A667G915|A0A667G915_LYNCA
OG0000032	sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|A0A667G2I7|A0A667G2I7_LYNCA
OG0000032	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A667HQR9|A0A667HQR9_LYNCA
OG0000032	sp|Q64523|H2A2C_MOUSE	tr|A0A667GSU7|A0A667GSU7_LYNCA
OG0000032	sp|Q64522|H2A2B_MOUSE	tr|A0A667HJC9|A0A667HJC9_LYNCA
OG0000032	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A667FNJ9|A0A667FNJ9_LYNCA
OG0000032	sp|Q8BFU2|H2A3_MOUSE	tr|A0A667GT59|A0A667GT59_LYNCA, tr|A0A667FZY2|A0A667FZY2_LYNCA
OG0000035	tr|A0A075B5N7|A0A075B5N7_MOUSE, sp|P84750|KVM5_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, sp|P01633|KV5A1_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE, sp|P01634|KV5A2_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A075B5N4|A0A075B5N4_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, tr|A0A075B5N3|A0A075B5N3_MOUSE, sp|P01632|KV1A1_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE	tr|A0A667HQP8|A0A667HQP8_LYNCA
OG0000039	sp|Q0VAW7|ZN112_MOUSE	tr|A0A667HI25|A0A667HI25_LYNCA
OG0000039	tr|Q923D1|Q923D1_MOUSE	tr|A0A667HZ66|A0A667HZ66_LYNCA, tr|A0A667HZQ3|A0A667HZQ3_LYNCA, tr|A0A667I2X8|A0A667I2X8_LYNCA, tr|A0A667HH70|A0A667HH70_LYNCA, tr|A0A667HE09|A0A667HE09_LYNCA, tr|A0A667IJG7|A0A667IJG7_LYNCA, tr|A0A667HD39|A0A667HD39_LYNCA, tr|A0A667HVY2|A0A667HVY2_LYNCA, tr|A0A667HDG2|A0A667HDG2_LYNCA, tr|A0A667HBL3|A0A667HBL3_LYNCA, tr|A0A667HWP8|A0A667HWP8_LYNCA, tr|A0A667HVK9|A0A667HVK9_LYNCA, tr|A0A667HW46|A0A667HW46_LYNCA, tr|A0A667HDC0|A0A667HDC0_LYNCA, tr|A0A667HVV8|A0A667HVV8_LYNCA, tr|A0A667III8|A0A667III8_LYNCA, tr|A0A667HGV6|A0A667HGV6_LYNCA, tr|A0A667HGB8|A0A667HGB8_LYNCA, tr|A0A667HHE6|A0A667HHE6_LYNCA
OG0000040	sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE	tr|A0A667GUS3|A0A667GUS3_LYNCA
OG0000041	tr|Q8CF20|Q8CF20_MOUSE	tr|A0A667I978|A0A667I978_LYNCA, tr|A0A667ICE9|A0A667ICE9_LYNCA, tr|A0A667HRU6|A0A667HRU6_LYNCA, tr|A0A667I8S8|A0A667I8S8_LYNCA, tr|A0A667HV48|A0A667HV48_LYNCA, tr|A0A667IBY2|A0A667IBY2_LYNCA, tr|A0A667HS53|A0A667HS53_LYNCA, tr|A0A667HMU9|A0A667HMU9_LYNCA, tr|A0A667ID85|A0A667ID85_LYNCA, tr|A0A667HU27|A0A667HU27_LYNCA, tr|A0A667IE65|A0A667IE65_LYNCA, tr|A0A667IVJ0|A0A667IVJ0_LYNCA, tr|A0A667IWX0|A0A667IWX0_LYNCA, tr|A0A667HM94|A0A667HM94_LYNCA, tr|A0A667HV21|A0A667HV21_LYNCA, tr|A0A667HU58|A0A667HU58_LYNCA, tr|A0A667IC47|A0A667IC47_LYNCA, tr|A0A667IXB7|A0A667IXB7_LYNCA, tr|A0A667IX68|A0A667IX68_LYNCA, tr|A0A667IDE1|A0A667IDE1_LYNCA, tr|A0A667IDJ6|A0A667IDJ6_LYNCA
OG0000042	sp|Q91ZB7|MRGRE_MOUSE, sp|Q91ZB5|MRGRG_MOUSE	tr|A0A667IM29|A0A667IM29_LYNCA
OG0000042	sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91WW5|MRGA1_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE	tr|A0A667HKJ3|A0A667HKJ3_LYNCA
