Orthogroup	Mus_musculus	Marmota_monax
OG0000296	sp|Q9Z207|DIAP3_MOUSE	tr|A0A5E4CNL8|A0A5E4CNL8_MARMO, tr|A0A5E4D6J9|A0A5E4D6J9_MARMO
OG0000297	tr|A2A484|A2A484_MOUSE	tr|A0A5E4B8S5|A0A5E4B8S5_MARMO, tr|A0A5E4C3X2|A0A5E4C3X2_MARMO, tr|A0A5E4C4H3|A0A5E4C4H3_MARMO, tr|A0A5E4C3Y6|A0A5E4C3Y6_MARMO, tr|A0A5E4C3R6|A0A5E4C3R6_MARMO, tr|A0A5E4C5Y8|A0A5E4C5Y8_MARMO, tr|A0A5E4C3T9|A0A5E4C3T9_MARMO, tr|A0A5E4DIZ8|A0A5E4DIZ8_MARMO
OG0000300	sp|P29391|FRIL1_MOUSE, sp|P49945|FRIL2_MOUSE	tr|A0A5E4BAL7|A0A5E4BAL7_MARMO, tr|A0A5E4BAR5|A0A5E4BAR5_MARMO, tr|A0A5E4A426|A0A5E4A426_MARMO, tr|A0A5E4B3L9|A0A5E4B3L9_MARMO, tr|A0A5E4CJL1|A0A5E4CJL1_MARMO, tr|A0A5E4CJX9|A0A5E4CJX9_MARMO, tr|A0A5E4CSS2|A0A5E4CSS2_MARMO
OG0000301	sp|P12970|RL7A_MOUSE	tr|A0A5E4DBZ7|A0A5E4DBZ7_MARMO, tr|A0A5E4CMS0|A0A5E4CMS0_MARMO, tr|A0A5E4D8H6|A0A5E4D8H6_MARMO, tr|A0A5E4CX07|A0A5E4CX07_MARMO, tr|A0A5E4C929|A0A5E4C929_MARMO, tr|A0A5E4B5C2|A0A5E4B5C2_MARMO, tr|A0A5E4CWS7|A0A5E4CWS7_MARMO, tr|A0A5E4AB34|A0A5E4AB34_MARMO
OG0000302	sp|Q9D154|ILEUA_MOUSE, sp|Q5SV42|ILEUC_MOUSE, sp|Q8VHP7|ILEUB_MOUSE	tr|A0A5E4BUA2|A0A5E4BUA2_MARMO
OG0000302	tr|Q6UKZ0|Q6UKZ0_MOUSE, tr|G3X9V8|G3X9V8_MOUSE, tr|A2RSF9|A2RSF9_MOUSE, tr|Q9D1Q5|Q9D1Q5_MOUSE	tr|A0A5E4D316|A0A5E4D316_MARMO
OG0000303	sp|A7XV07|SKIT8_MOUSE, sp|A7XV04|SKIT7_MOUSE	tr|A0A5E4BXB3|A0A5E4BXB3_MARMO, tr|A0A5E4D4W5|A0A5E4D4W5_MARMO, tr|A0A5E4BUJ0|A0A5E4BUJ0_MARMO, tr|A0A5E4BWD7|A0A5E4BWD7_MARMO, tr|A0A5E4D4S2|A0A5E4D4S2_MARMO, tr|A0A5E4D435|A0A5E4D435_MARMO, tr|A0A5E4BWI1|A0A5E4BWI1_MARMO
OG0000304	sp|P49312|ROA1_MOUSE	tr|A0A5E4AVB4|A0A5E4AVB4_MARMO, tr|A0A5E4CAI3|A0A5E4CAI3_MARMO, tr|A0A5E4B9C3|A0A5E4B9C3_MARMO, tr|A0A5E4A8V5|A0A5E4A8V5_MARMO, tr|A0A5E4BUY7|A0A5E4BUY7_MARMO, tr|A0A5E4BJ56|A0A5E4BJ56_MARMO, tr|A0A5E4D6J2|A0A5E4D6J2_MARMO, tr|A0A5E4CEN3|A0A5E4CEN3_MARMO
OG0000305	sp|Q8JZK9|HMCS1_MOUSE	tr|A0A5E4BGS0|A0A5E4BGS0_MARMO, tr|A0A5E4CET2|A0A5E4CET2_MARMO, tr|A0A5E4C8G8|A0A5E4C8G8_MARMO, tr|A0A5E4DCD7|A0A5E4DCD7_MARMO, tr|A0A5E4B4G2|A0A5E4B4G2_MARMO, tr|A0A5E4CCP2|A0A5E4CCP2_MARMO, tr|A0A5E4CB82|A0A5E4CB82_MARMO, tr|A0A5E4CD88|A0A5E4CD88_MARMO
OG0000306	sp|Q9Z1V0|OLF49_MOUSE	tr|A0A5E4D4U3|A0A5E4D4U3_MARMO, tr|A0A5E4AQB4|A0A5E4AQB4_MARMO, tr|A0A5E4CLQ4|A0A5E4CLQ4_MARMO, tr|A0A5E4CNE7|A0A5E4CNE7_MARMO, tr|A0A5E4B1M8|A0A5E4B1M8_MARMO, tr|A0A5E4D2N3|A0A5E4D2N3_MARMO, tr|A0A5E4D1L4|A0A5E4D1L4_MARMO, tr|A0A5E4C0A5|A0A5E4C0A5_MARMO
OG0000307	sp|Q6VUP9|AP2E_MOUSE	tr|A0A5E4B2Y5|A0A5E4B2Y5_MARMO, tr|A0A5E4B415|A0A5E4B415_MARMO, tr|A0A5E4D8I2|A0A5E4D8I2_MARMO, tr|A0A5E4DBC8|A0A5E4DBC8_MARMO, tr|A0A5E4D7L8|A0A5E4D7L8_MARMO, tr|A0A5E4DB75|A0A5E4DB75_MARMO, tr|A0A5E4D803|A0A5E4D803_MARMO, tr|A0A5E4BX12|A0A5E4BX12_MARMO
OG0000309	sp|P48962|ADT1_MOUSE	tr|A0A5E4C355|A0A5E4C355_MARMO
OG0000309	sp|P51881|ADT2_MOUSE	tr|A0A5E4D6V4|A0A5E4D6V4_MARMO
OG0000309	sp|Q3V132|ADT4_MOUSE	tr|A0A5E4D620|A0A5E4D620_MARMO, tr|A0A5E4D5F5|A0A5E4D5F5_MARMO, tr|A0A5E4CVH9|A0A5E4CVH9_MARMO, tr|A0A5E4CXU8|A0A5E4CXU8_MARMO
OG0000310	sp|Q61555|FBN2_MOUSE	tr|A0A5E4D1T7|A0A5E4D1T7_MARMO
OG0000310	sp|Q61554|FBN1_MOUSE	tr|A0A5E4CPZ5|A0A5E4CPZ5_MARMO, tr|A0A5E4BRW0|A0A5E4BRW0_MARMO, tr|A0A5E4BRL8|A0A5E4BRL8_MARMO, tr|A0A5E4CPD7|A0A5E4CPD7_MARMO, tr|A0A5E4D1Z9|A0A5E4D1Z9_MARMO, tr|A0A5E4CYL4|A0A5E4CYL4_MARMO
OG0000311	tr|G5E8G3|G5E8G3_MOUSE	tr|A0A5E4CC05|A0A5E4CC05_MARMO, tr|A0A5E4CBX2|A0A5E4CBX2_MARMO
OG0000311	sp|Q80Z24|NEGR1_MOUSE	tr|A0A5E4C1D4|A0A5E4C1D4_MARMO, tr|A0A5E4BAY0|A0A5E4BAY0_MARMO
OG0000311	sp|Q99PJ0|NTRI_MOUSE	tr|A0A5E4C0J7|A0A5E4C0J7_MARMO, tr|A0A5E4CBA9|A0A5E4CBA9_MARMO
OG0000312	sp|Q922R5|P4R3B_MOUSE	tr|A0A5E4D6L1|A0A5E4D6L1_MARMO, tr|A0A5E4D6M3|A0A5E4D6M3_MARMO, tr|A0A5E4D4K0|A0A5E4D4K0_MARMO
OG0000312	tr|A2ADI4|A2ADI4_MOUSE, sp|Q3V0Y1|P4R3C_MOUSE	tr|A0A5E4D660|A0A5E4D660_MARMO
OG0000312	sp|Q6P2K6|P4R3A_MOUSE	tr|A0A5E4AMR3|A0A5E4AMR3_MARMO
OG0000314	sp|P60843|IF4A1_MOUSE	tr|A0A5E4BAW0|A0A5E4BAW0_MARMO
OG0000314	sp|P10630|IF4A2_MOUSE	tr|A0A5E4B5S3|A0A5E4B5S3_MARMO, tr|A0A5E4BBH8|A0A5E4BBH8_MARMO, tr|A0A5E4CSJ4|A0A5E4CSJ4_MARMO, tr|A0A5E4DAF2|A0A5E4DAF2_MARMO, tr|A0A5E4B881|A0A5E4B881_MARMO, tr|A0A5E4CSH0|A0A5E4CSH0_MARMO
OG0000315	sp|P21271|MYO5B_MOUSE	tr|A0A5E4B7I8|A0A5E4B7I8_MARMO
OG0000315	sp|Q99104|MYO5A_MOUSE	tr|A0A5E4BMJ6|A0A5E4BMJ6_MARMO
OG0000315	tr|E9Q1F5|E9Q1F5_MOUSE	tr|A0A5E4DFB9|A0A5E4DFB9_MARMO, tr|A0A5E4CEJ0|A0A5E4CEJ0_MARMO, tr|A0A5E4BMF3|A0A5E4BMF3_MARMO, tr|A0A5E4BNF2|A0A5E4BNF2_MARMO
OG0000316	sp|Q8C827|ZFP62_MOUSE, tr|J3KMU4|J3KMU4_MOUSE	tr|A0A5E4BEV2|A0A5E4BEV2_MARMO
OG0000316	sp|P24399|ZN239_MOUSE, tr|O88222|O88222_MOUSE, tr|O88245|O88245_MOUSE, tr|F7BTU1|F7BTU1_MOUSE, tr|F7AIG4|F7AIG4_MOUSE	tr|A0A5E4CKM5|A0A5E4CKM5_MARMO
OG0000317	sp|P28481|CO2A1_MOUSE	tr|A0A5E4C234|A0A5E4C234_MARMO
OG0000317	sp|Q3U962|CO5A2_MOUSE	tr|A0A5E4CT11|A0A5E4CT11_MARMO
OG0000317	sp|P11087|CO1A1_MOUSE	tr|A0A5E4BST3|A0A5E4BST3_MARMO
OG0000317	sp|Q01149|CO1A2_MOUSE	tr|A0A5E4C5Z5|A0A5E4C5Z5_MARMO
OG0000320	sp|Q03141|MARK3_MOUSE	tr|A0A5E4CD06|A0A5E4CD06_MARMO
OG0000320	sp|Q8VHJ5|MARK1_MOUSE	tr|A0A5E4D8F3|A0A5E4D8F3_MARMO, tr|A0A5E4D4T1|A0A5E4D4T1_MARMO, tr|A0A5E4AY42|A0A5E4AY42_MARMO, tr|A0A5E4D8Q4|A0A5E4D8Q4_MARMO, tr|A0A5E4DB06|A0A5E4DB06_MARMO, tr|A0A5E4B567|A0A5E4B567_MARMO
OG0000322	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A5E4DAJ4|A0A5E4DAJ4_MARMO, tr|A0A5E4DDR9|A0A5E4DDR9_MARMO, tr|A0A5E4DAX0|A0A5E4DAX0_MARMO, tr|A0A5E4D9D8|A0A5E4D9D8_MARMO, tr|A0A5E4D998|A0A5E4D998_MARMO, tr|A0A5E4D8W6|A0A5E4D8W6_MARMO, tr|A0A5E4DBV0|A0A5E4DBV0_MARMO, tr|A0A5E4D8M2|A0A5E4D8M2_MARMO
OG0000323	tr|Q3SXH8|Q3SXH8_MOUSE, tr|Q8VGV0|Q8VGV0_MOUSE	tr|A0A5E4D7B0|A0A5E4D7B0_MARMO, tr|A0A5E4AY18|A0A5E4AY18_MARMO, tr|A0A5E4CJ43|A0A5E4CJ43_MARMO, tr|A0A5E4D7B1|A0A5E4D7B1_MARMO, tr|A0A5E4D7X6|A0A5E4D7X6_MARMO, tr|A0A5E4D2T2|A0A5E4D2T2_MARMO, tr|A0A5E4D2L6|A0A5E4D2L6_MARMO
OG0000326	sp|P45377|ALD2_MOUSE, sp|P21300|ALD1_MOUSE, tr|G5E895|G5E895_MOUSE	tr|A0A5E4B597|A0A5E4B597_MARMO, tr|A0A5E4CUM8|A0A5E4CUM8_MARMO, tr|A0A5E4D6S5|A0A5E4D6S5_MARMO, tr|A0A5E4BCV9|A0A5E4BCV9_MARMO
OG0000326	sp|P45376|ALDR_MOUSE	tr|A0A5E4B425|A0A5E4B425_MARMO
OG0000327	sp|Q8JZN5|ACAD9_MOUSE	tr|A0A5E4CGG7|A0A5E4CGG7_MARMO, tr|A0A5E4D6K4|A0A5E4D6K4_MARMO, tr|A0A5E4CXF8|A0A5E4CXF8_MARMO, tr|A0A5E4D775|A0A5E4D775_MARMO, tr|A0A5E4D6T1|A0A5E4D6T1_MARMO, tr|A0A5E4D6L5|A0A5E4D6L5_MARMO, tr|A0A5E4CH52|A0A5E4CH52_MARMO, tr|A0A5E4D795|A0A5E4D795_MARMO
OG0000328	tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|G3X9L8|G3X9L8_MOUSE	tr|A0A5E4CUM1|A0A5E4CUM1_MARMO, tr|A0A5E4CUN6|A0A5E4CUN6_MARMO
OG0000329	sp|P06336|IGHE_MOUSE	tr|A0A5E4DEC3|A0A5E4DEC3_MARMO, tr|A0A5E4DFZ9|A0A5E4DFZ9_MARMO, tr|A0A5E4DCZ6|A0A5E4DCZ6_MARMO, tr|A0A5E4CI32|A0A5E4CI32_MARMO, tr|A0A5E4CZ58|A0A5E4CZ58_MARMO, tr|A0A5E4D3A5|A0A5E4D3A5_MARMO, tr|A0A5E4D648|A0A5E4D648_MARMO, tr|A0A5E4D626|A0A5E4D626_MARMO
OG0000330	sp|Q8VCD7|KDM4C_MOUSE	tr|A0A5E4CW80|A0A5E4CW80_MARMO
OG0000330	sp|Q91VY5|KDM4B_MOUSE	tr|A0A5E4D7L3|A0A5E4D7L3_MARMO, tr|A0A5E4CTS9|A0A5E4CTS9_MARMO, tr|A0A5E4D2Z9|A0A5E4D2Z9_MARMO, tr|A0A5E4CTR6|A0A5E4CTR6_MARMO, tr|A0A5E4CTR7|A0A5E4CTR7_MARMO, tr|A0A5E4CF55|A0A5E4CF55_MARMO
OG0000331	sp|P08730|K1C13_MOUSE	tr|A0A5E4CRI8|A0A5E4CRI8_MARMO
OG0000331	sp|Q61414|K1C15_MOUSE, sp|Q6RHW0|K1C9_MOUSE	tr|A0A5E4CSI0|A0A5E4CSI0_MARMO, tr|A0A5E4C5V6|A0A5E4C5V6_MARMO, tr|A0A5E4CG68|A0A5E4CG68_MARMO, tr|A0A5E4APU5|A0A5E4APU5_MARMO, tr|A0A5E4BHU8|A0A5E4BHU8_MARMO
OG0000332	tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE	tr|A0A5E4CRB5|A0A5E4CRB5_MARMO, tr|A0A5E4CPW4|A0A5E4CPW4_MARMO, tr|A0A5E4DFP1|A0A5E4DFP1_MARMO, tr|A0A5E4CPW5|A0A5E4CPW5_MARMO, tr|A0A5E4CPK0|A0A5E4CPK0_MARMO
OG0000334	sp|Q8BSS9|LIPA2_MOUSE	tr|A0A5E4B2B7|A0A5E4B2B7_MARMO
OG0000334	tr|B2RXQ2|B2RXQ2_MOUSE	tr|A0A5E4A2X0|A0A5E4A2X0_MARMO
OG0000334	sp|P60469|LIPA3_MOUSE	tr|A0A5E4BCV2|A0A5E4BCV2_MARMO, tr|A0A5E4BCQ0|A0A5E4BCQ0_MARMO
OG0000334	tr|B8QI36|B8QI36_MOUSE	tr|A0A5E4AHN7|A0A5E4AHN7_MARMO
OG0000335	tr|D3Z748|D3Z748_MOUSE, sp|Q6ZQM8|UD17_MOUSE, sp|Q62452|UD19_MOUSE, tr|K9J7B2|K9J7B2_MOUSE, sp|Q64435|UD16_MOUSE, sp|P70691|UD12_MOUSE, tr|B2RT14|B2RT14_MOUSE, sp|Q63886|UD11_MOUSE	tr|A0A5E4ATP7|A0A5E4ATP7_MARMO
OG0000337	tr|Q7TRP5|Q7TRP5_MOUSE	tr|A0A5E4DCC2|A0A5E4DCC2_MARMO
OG0000337	tr|Q8VG79|Q8VG79_MOUSE	tr|A0A5E4AXQ3|A0A5E4AXQ3_MARMO
OG0000337	tr|Q7TRP4|Q7TRP4_MOUSE, tr|Q8VGW3|Q8VGW3_MOUSE, tr|Q8VH00|Q8VH00_MOUSE	tr|A0A5E4DCM5|A0A5E4DCM5_MARMO
OG0000338	tr|Q8VH11|Q8VH11_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE	tr|A0A5E4CJ29|A0A5E4CJ29_MARMO
OG0000339	sp|P97445|CAC1A_MOUSE	tr|A0A5E4A9H7|A0A5E4A9H7_MARMO
OG0000339	sp|O55017|CAC1B_MOUSE	tr|A0A5E4DDN1|A0A5E4DDN1_MARMO, tr|A0A5E4B0V6|A0A5E4B0V6_MARMO, tr|A0A5E4CH03|A0A5E4CH03_MARMO
OG0000339	sp|Q61290|CAC1E_MOUSE	tr|A0A5E4AK64|A0A5E4AK64_MARMO, tr|A0A5E4AII2|A0A5E4AII2_MARMO
OG0000340	tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE	tr|A0A5E4D0W6|A0A5E4D0W6_MARMO
OG0000340	tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE	tr|A0A5E4D3S5|A0A5E4D3S5_MARMO
OG0000341	tr|A2AT86|A2AT86_MOUSE	tr|A0A5E4D9R8|A0A5E4D9R8_MARMO, tr|A0A5E4CUP4|A0A5E4CUP4_MARMO, tr|A0A5E4CD72|A0A5E4CD72_MARMO, tr|A0A5E4DAL5|A0A5E4DAL5_MARMO, tr|A0A5E4CWY2|A0A5E4CWY2_MARMO, tr|A0A5E4CX54|A0A5E4CX54_MARMO, tr|A0A5E4CF73|A0A5E4CF73_MARMO, tr|A0A5E4DCX1|A0A5E4DCX1_MARMO
OG0000342	tr|J3QPR6|J3QPR6_MOUSE	tr|A0A5E4DAB0|A0A5E4DAB0_MARMO, tr|A0A5E4CST8|A0A5E4CST8_MARMO, tr|A0A5E4CT54|A0A5E4CT54_MARMO, tr|A0A5E4CLI2|A0A5E4CLI2_MARMO, tr|A0A5E4D5Q5|A0A5E4D5Q5_MARMO, tr|A0A5E4BD18|A0A5E4BD18_MARMO, tr|A0A5E4CLC4|A0A5E4CLC4_MARMO, tr|A0A5E4CLX8|A0A5E4CLX8_MARMO
OG0000343	sp|Q9ESD7|DYSF_MOUSE	tr|A0A5E4BUI3|A0A5E4BUI3_MARMO
OG0000343	sp|P0DM40|FR1L5_MOUSE	tr|A0A5E4BEF0|A0A5E4BEF0_MARMO
OG0000343	sp|Q69ZN7|MYOF_MOUSE	tr|A0A5E4BY00|A0A5E4BY00_MARMO
OG0000344	sp|Q3UHN9|NDST1_MOUSE	tr|A0A5E4B112|A0A5E4B112_MARMO
OG0000344	sp|P52850|NDST2_MOUSE	tr|A0A5E4ALJ4|A0A5E4ALJ4_MARMO
OG0000344	sp|Q9EQH7|NDST3_MOUSE, sp|Q9EQW8|NDST4_MOUSE	tr|A0A5E4BIS0|A0A5E4BIS0_MARMO, tr|A0A5E4BJB1|A0A5E4BJB1_MARMO, tr|A0A5E4B309|A0A5E4B309_MARMO
OG0000345	sp|Q5DTL9|S4A10_MOUSE	tr|A0A5E4CGQ5|A0A5E4CGQ5_MARMO, tr|A0A5E4A8I1|A0A5E4A8I1_MARMO
OG0000345	sp|Q8BTY2|S4A7_MOUSE	tr|A0A5E4D0G6|A0A5E4D0G6_MARMO
OG0000345	sp|E9Q3M5|S4A5_MOUSE, sp|O88343|S4A4_MOUSE	tr|A0A5E4CIQ5|A0A5E4CIQ5_MARMO
OG0000346	sp|O55071|CP2BJ_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, sp|P12790|CP2B9_MOUSE, sp|P12791|CP2BA_MOUSE, tr|E9Q593|E9Q593_MOUSE	tr|A0A5E4ACT2|A0A5E4ACT2_MARMO, tr|A0A5E4AD51|A0A5E4AD51_MARMO, tr|A0A5E4DDG9|A0A5E4DDG9_MARMO, tr|A0A5E4ACA6|A0A5E4ACA6_MARMO
OG0000347	tr|Q7TRA2|Q7TRA2_MOUSE, tr|Q7TRA1|Q7TRA1_MOUSE, tr|Q8VGC6|Q8VGC6_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF73|Q8VF73_MOUSE	tr|A0A5E4BDP6|A0A5E4BDP6_MARMO, tr|A0A5E4BDI6|A0A5E4BDI6_MARMO, tr|A0A5E4BCJ3|A0A5E4BCJ3_MARMO
OG0000348	sp|Q62108|DLG4_MOUSE	tr|A0A5E4BAS0|A0A5E4BAS0_MARMO
OG0000348	sp|Q811D0|DLG1_MOUSE	tr|A0A5E4BVC2|A0A5E4BVC2_MARMO
OG0000348	sp|Q91XM9|DLG2_MOUSE, sp|P70175|DLG3_MOUSE	tr|A0A5E4ASU6|A0A5E4ASU6_MARMO, tr|A0A5E4CVF2|A0A5E4CVF2_MARMO
OG0000349	tr|A0A1C7CYV3|A0A1C7CYV3_MOUSE, tr|E9Q3G0|E9Q3G0_MOUSE, tr|A0A1B0GRE8|A0A1B0GRE8_MOUSE, sp|A7KBS4|ZSC4D_MOUSE, sp|Q80VJ6|ZSC4C_MOUSE, sp|Q3URS2|ZSC4F_MOUSE, tr|A0A1C7CYU6|A0A1C7CYU6_MOUSE, tr|A0A1B0GRH6|A0A1B0GRH6_MOUSE	tr|A0A5E4CP40|A0A5E4CP40_MARMO
OG0000350	tr|E9Q4V7|E9Q4V7_MOUSE, tr|Q9CQB8|Q9CQB8_MOUSE, sp|Q09098|PATE4_MOUSE, tr|Q3UW02|Q3UW02_MOUSE, tr|D3YX25|D3YX25_MOUSE, tr|B3GLJ6|B3GLJ6_MOUSE, sp|Q3UN54|PAT14_MOUSE, sp|P50289|ASPX_MOUSE	tr|A0A5E4D6M8|A0A5E4D6M8_MARMO
OG0000351	sp|P11928|OAS1A_MOUSE, tr|Q8K469|Q8K469_MOUSE, sp|Q60856|OAS1B_MOUSE, tr|Q8VI97|Q8VI97_MOUSE, tr|Q14AZ4|Q14AZ4_MOUSE, tr|A0A0J9YV76|A0A0J9YV76_MOUSE, sp|Q8VI95|OAS1D_MOUSE, sp|Q924S2|OAS1C_MOUSE	tr|A0A5E4A492|A0A5E4A492_MARMO
OG0000363	tr|Q8VGA0|Q8VGA0_MOUSE	tr|A0A5E4A615|A0A5E4A615_MARMO, tr|A0A5E4A713|A0A5E4A713_MARMO, tr|A0A5E4A6F7|A0A5E4A6F7_MARMO, tr|A0A5E4A6E0|A0A5E4A6E0_MARMO, tr|A0A5E4A6R4|A0A5E4A6R4_MARMO, tr|A0A5E4D2I3|A0A5E4D2I3_MARMO, tr|A0A5E4D2K5|A0A5E4D2K5_MARMO
OG0000364	sp|P47739|AL3A1_MOUSE	tr|A0A5E4ASP3|A0A5E4ASP3_MARMO
OG0000364	sp|Q80VQ0|AL3B1_MOUSE	tr|A0A5E4A2S8|A0A5E4A2S8_MARMO
OG0000364	sp|E9Q3E1|AL3B2_MOUSE, sp|J3QMK6|AL3B3_MOUSE	tr|A0A5E4A372|A0A5E4A372_MARMO
OG0000367	sp|Q8K449|ABCA9_MOUSE	tr|A0A5E4BQH3|A0A5E4BQH3_MARMO
OG0000367	sp|Q8K441|ABCA6_MOUSE	tr|A0A5E4BQ78|A0A5E4BQ78_MARMO, tr|A0A5E4BK15|A0A5E4BK15_MARMO
OG0000367	sp|Q8K442|ABC8A_MOUSE, sp|Q8K440|ABC8B_MOUSE	tr|A0A5E4BQA3|A0A5E4BQA3_MARMO
OG0000368	tr|E9Q545|E9Q545_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE	tr|A0A5E4DJM4|A0A5E4DJM4_MARMO, tr|A0A5E4CGW7|A0A5E4CGW7_MARMO, tr|A0A5E4CGM5|A0A5E4CGM5_MARMO, tr|A0A5E4CGL6|A0A5E4CGL6_MARMO
OG0000369	sp|O88427|CAC1H_MOUSE	tr|A0A5E4AWH9|A0A5E4AWH9_MARMO
OG0000369	tr|E9Q7P2|E9Q7P2_MOUSE	tr|A0A5E4AIJ6|A0A5E4AIJ6_MARMO
OG0000369	tr|Q5SUF7|Q5SUF7_MOUSE	tr|A0A5E4BSQ7|A0A5E4BSQ7_MARMO, tr|A0A5E4AZJ0|A0A5E4AZJ0_MARMO, tr|A0A5E4BTL7|A0A5E4BTL7_MARMO
OG0000370	sp|Q6NXK8|ASIC1_MOUSE	tr|A0A5E4ARP0|A0A5E4ARP0_MARMO, tr|A0A5E4A4E3|A0A5E4A4E3_MARMO
OG0000370	sp|Q925H0|ASIC2_MOUSE	tr|A0A5E4CIJ6|A0A5E4CIJ6_MARMO, tr|A0A5E4A2V6|A0A5E4A2V6_MARMO, tr|A0A5E4B8Z7|A0A5E4B8Z7_MARMO, tr|A0A5E4ATH5|A0A5E4ATH5_MARMO
OG0000371	sp|P09602|HMGN2_MOUSE	tr|A0A5E4DCS3|A0A5E4DCS3_MARMO, tr|A0A5E4AUD2|A0A5E4AUD2_MARMO, tr|A0A5E4C5D1|A0A5E4C5D1_MARMO, tr|A0A5E4CSF1|A0A5E4CSF1_MARMO, tr|A0A5E4D0R4|A0A5E4D0R4_MARMO, tr|A0A5E4BNH1|A0A5E4BNH1_MARMO, tr|A0A5E4DA47|A0A5E4DA47_MARMO
OG0000372	tr|Q8VGP8|Q8VGP8_MOUSE, tr|Q8VEZ4|Q8VEZ4_MOUSE, tr|Q8VEZ5|Q8VEZ5_MOUSE, tr|Q7TQS2|Q7TQS2_MOUSE, tr|Q8VGJ6|Q8VGJ6_MOUSE, tr|Q7TQS3|Q7TQS3_MOUSE, tr|Q8VF55|Q8VF55_MOUSE	tr|A0A5E4BZF2|A0A5E4BZF2_MARMO
OG0000374	sp|P31809|CEAM1_MOUSE	tr|A0A5E4ACZ4|A0A5E4ACZ4_MARMO, tr|A0A5E4DDZ9|A0A5E4DDZ9_MARMO, tr|A0A5E4DAW4|A0A5E4DAW4_MARMO, tr|A0A5E4D9K5|A0A5E4D9K5_MARMO, tr|A0A5E4D9J4|A0A5E4D9J4_MARMO, tr|A0A5E4DL22|A0A5E4DL22_MARMO, tr|A0A5E4ACV4|A0A5E4ACV4_MARMO
OG0000375	sp|P14206|RSSA_MOUSE	tr|A0A5E4BE54|A0A5E4BE54_MARMO, tr|A0A5E4CD52|A0A5E4CD52_MARMO, tr|A0A5E4AUH0|A0A5E4AUH0_MARMO, tr|A0A5E4C884|A0A5E4C884_MARMO, tr|A0A5E4CJG6|A0A5E4CJG6_MARMO, tr|A0A5E4B9X4|A0A5E4B9X4_MARMO, tr|A0A5E4ASJ4|A0A5E4ASJ4_MARMO
OG0000376	sp|Q9JLR1|S61A2_MOUSE	tr|A0A5E4CCL7|A0A5E4CCL7_MARMO
OG0000376	sp|P61620|S61A1_MOUSE	tr|A0A5E4D500|A0A5E4D500_MARMO, tr|A0A5E4D4N1|A0A5E4D4N1_MARMO, tr|A0A5E4D5W8|A0A5E4D5W8_MARMO, tr|A0A5E4CYM0|A0A5E4CYM0_MARMO, tr|A0A5E4CYK1|A0A5E4CYK1_MARMO
OG0000377	sp|P25444|RS2_MOUSE	tr|A0A5E4BWL2|A0A5E4BWL2_MARMO, tr|A0A5E4C1V8|A0A5E4C1V8_MARMO, tr|A0A5E4B291|A0A5E4B291_MARMO, tr|A0A5E4BBA2|A0A5E4BBA2_MARMO, tr|A0A5E4B2S3|A0A5E4B2S3_MARMO, tr|A0A5E4ANE3|A0A5E4ANE3_MARMO, tr|A0A5E4DC26|A0A5E4DC26_MARMO
OG0000379	sp|P60762|MO4L1_MOUSE	tr|A0A5E4CKS1|A0A5E4CKS1_MARMO
OG0000379	sp|Q9R0Q4|MO4L2_MOUSE	tr|A0A5E4AC23|A0A5E4AC23_MARMO, tr|A0A5E4A6W3|A0A5E4A6W3_MARMO, tr|A0A5E4AV48|A0A5E4AV48_MARMO, tr|A0A5E4BC61|A0A5E4BC61_MARMO, tr|A0A5E4ALS5|A0A5E4ALS5_MARMO
