Orthogroup	Mus_musculus	Mus_spicilegus
OG0000007	tr|Q8VGR6|Q8VGR6_MOUSE	tr|A0A8C6HV80|A0A8C6HV80_MUSSI
OG0000007	tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE	tr|A0A8C6N0U3|A0A8C6N0U3_MUSSI
OG0000007	tr|Q5SSP0|Q5SSP0_MOUSE	tr|A0A8C6GHB6|A0A8C6GHB6_MUSSI
OG0000007	tr|Q8VGT3|Q8VGT3_MOUSE	tr|A0A8C6IDE0|A0A8C6IDE0_MUSSI
OG0000007	tr|Q8VF79|Q8VF79_MOUSE	tr|A0A8C6MQM9|A0A8C6MQM9_MUSSI
OG0000007	tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE	tr|A0A8C6HVU7|A0A8C6HVU7_MUSSI
OG0000007	tr|Q7TRX9|Q7TRX9_MOUSE	tr|A0A8C6GXR2|A0A8C6GXR2_MUSSI
OG0000007	tr|E9Q4M1|E9Q4M1_MOUSE	tr|A0A8C6H068|A0A8C6H068_MUSSI
OG0000007	sp|Q8VGI1|OLF1_MOUSE	tr|A0A8C6GZ55|A0A8C6GZ55_MUSSI
OG0000007	tr|Q8VGT2|Q8VGT2_MOUSE	tr|A0A8C6IEJ2|A0A8C6IEJ2_MUSSI
OG0000008	tr|E9Q281|E9Q281_MOUSE	tr|A0A8C6G6S1|A0A8C6G6S1_MUSSI
OG0000008	tr|L7N203|L7N203_MOUSE	tr|A0A8C6GHE9|A0A8C6GHE9_MUSSI
OG0000008	tr|L7N2B2|L7N2B2_MOUSE	tr|A0A8C6I847|A0A8C6I847_MUSSI
OG0000008	tr|A0A140T8U3|A0A140T8U3_MOUSE, tr|E9PZA6|E9PZA6_MOUSE	tr|A0A8C6GP00|A0A8C6GP00_MUSSI
OG0000009	tr|Q8CE24|Q8CE24_MOUSE, tr|A2ASI9|A2ASI9_MOUSE, tr|A2ASJ0|A2ASJ0_MOUSE, tr|Q66JY9|Q66JY9_MOUSE, tr|Q4FZF9|Q4FZF9_MOUSE, tr|B1ARV5|B1ARV5_MOUSE, tr|B1AUV4|B1AUV4_MOUSE, tr|L7MTS5|L7MTS5_MOUSE, tr|Q8C9W1|Q8C9W1_MOUSE, tr|A0A0J9YU88|A0A0J9YU88_MOUSE, tr|A0A0J9YVD0|A0A0J9YVD0_MOUSE, tr|J3QMM8|J3QMM8_MOUSE, tr|Q6P8K3|Q6P8K3_MOUSE, tr|K9J7D1|K9J7D1_MOUSE, tr|A0A0J9YUM1|A0A0J9YUM1_MOUSE, tr|L7N456|L7N456_MOUSE, tr|A0A0J9YUV1|A0A0J9YUV1_MOUSE, tr|L7N277|L7N277_MOUSE, tr|J3QPH3|J3QPH3_MOUSE, tr|J3QK78|J3QK78_MOUSE, tr|D3YUJ6|D3YUJ6_MOUSE, tr|A0A0J9YU01|A0A0J9YU01_MOUSE, tr|J3QN52|J3QN52_MOUSE, tr|Q3UL33|Q3UL33_MOUSE, tr|Q499F0|Q499F0_MOUSE, tr|D3YUK0|D3YUK0_MOUSE, tr|Q8C6L9|Q8C6L9_MOUSE, tr|E9PZS2|E9PZS2_MOUSE, tr|E9PWI7|E9PWI7_MOUSE, tr|Q8C6S1|Q8C6S1_MOUSE	tr|A0A8C6MWS6|A0A8C6MWS6_MUSSI
OG0000011	sp|P25444|RS2_MOUSE	tr|A0A8C6HK90|A0A8C6HK90_MUSSI, tr|A0A8C6IJX4|A0A8C6IJX4_MUSSI, tr|A0A8C6HZN5|A0A8C6HZN5_MUSSI, tr|A0A8C6N0U7|A0A8C6N0U7_MUSSI, tr|A0A8C6H674|A0A8C6H674_MUSSI, tr|A0A8C6H8I1|A0A8C6H8I1_MUSSI, tr|A0A8C6H0F8|A0A8C6H0F8_MUSSI, tr|A0A8C6HIH2|A0A8C6HIH2_MUSSI, tr|A0A8C6GFZ7|A0A8C6GFZ7_MUSSI, tr|A0A8C6GQS6|A0A8C6GQS6_MUSSI, tr|A0A8C6G9Q3|A0A8C6G9Q3_MUSSI, tr|A0A8C6GKM5|A0A8C6GKM5_MUSSI, tr|A0A8C6I5L5|A0A8C6I5L5_MUSSI, tr|A0A8C6I2N4|A0A8C6I2N4_MUSSI, tr|A0A8C6HCC5|A0A8C6HCC5_MUSSI, tr|A0A8C6HEX4|A0A8C6HEX4_MUSSI, tr|A0A8C6N2V0|A0A8C6N2V0_MUSSI, tr|A0A8C6G7H9|A0A8C6G7H9_MUSSI, tr|A0A8C6GRC6|A0A8C6GRC6_MUSSI, tr|A0A8C6I1M0|A0A8C6I1M0_MUSSI, tr|A0A8C6I4A5|A0A8C6I4A5_MUSSI, tr|A0A8C6HWK9|A0A8C6HWK9_MUSSI, tr|A0A8C6HYW9|A0A8C6HYW9_MUSSI, tr|A0A8C6H8I3|A0A8C6H8I3_MUSSI, tr|A0A8C6HR55|A0A8C6HR55_MUSSI, tr|A0A8C6HEI8|A0A8C6HEI8_MUSSI, tr|A0A8C6HYE3|A0A8C6HYE3_MUSSI, tr|A0A8C6G6Q8|A0A8C6G6Q8_MUSSI, tr|A0A8C6G5Z2|A0A8C6G5Z2_MUSSI, tr|A0A8C6H890|A0A8C6H890_MUSSI
OG0000014	tr|G5E8I3|G5E8I3_MOUSE	tr|A0A8C6HE09|A0A8C6HE09_MUSSI
OG0000014	tr|G3XA52|G3XA52_MOUSE	tr|A0A8C6MQI3|A0A8C6MQI3_MUSSI
OG0000014	tr|Q8R2E2|Q8R2E2_MOUSE	tr|A0A8C6GCC3|A0A8C6GCC3_MUSSI
OG0000014	tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE	tr|A0A8C6GD32|A0A8C6GD32_MUSSI
OG0000014	tr|Q8R2E0|Q8R2E0_MOUSE	tr|A0A8C6GDR0|A0A8C6GDR0_MUSSI
OG0000014	tr|Q8R2E1|Q8R2E1_MOUSE, tr|G3UWE6|G3UWE6_MOUSE	tr|A0A8C6GC90|A0A8C6GC90_MUSSI
OG0000014	tr|Q8R2D9|Q8R2D9_MOUSE	tr|A0A8C6GDS2|A0A8C6GDS2_MUSSI
OG0000015	tr|A0A140T8K0|A0A140T8K0_MOUSE	tr|A0A8C6HB40|A0A8C6HB40_MUSSI
OG0000015	tr|Q7TRC7|Q7TRC7_MOUSE	tr|A0A8C6H944|A0A8C6H944_MUSSI
OG0000015	tr|Q7TRC3|Q7TRC3_MOUSE	tr|A0A8C6MWN3|A0A8C6MWN3_MUSSI
OG0000015	tr|Q8VG53|Q8VG53_MOUSE	tr|A0A8C6HB82|A0A8C6HB82_MUSSI
OG0000015	tr|Q7TRC9|Q7TRC9_MOUSE	tr|A0A8C6HAR9|A0A8C6HAR9_MUSSI
OG0000015	tr|K7N5P3|K7N5P3_MOUSE	tr|A0A8C6H9U6|A0A8C6H9U6_MUSSI
OG0000015	tr|L7N1X5|L7N1X5_MOUSE	tr|A0A8C6H965|A0A8C6H965_MUSSI, tr|A0A8C6HCI9|A0A8C6HCI9_MUSSI
OG0000015	tr|E9Q716|E9Q716_MOUSE	tr|A0A8C6MWY4|A0A8C6MWY4_MUSSI
OG0000015	tr|E9Q413|E9Q413_MOUSE	tr|A0A8C6HAN7|A0A8C6HAN7_MUSSI
OG0000015	tr|E9PW59|E9PW59_MOUSE	tr|A0A8C6HBR7|A0A8C6HBR7_MUSSI
OG0000015	tr|Q7TRC0|Q7TRC0_MOUSE	tr|A0A8C6HBK6|A0A8C6HBK6_MUSSI
OG0000015	tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE	tr|A0A8C6HAX1|A0A8C6HAX1_MUSSI
OG0000015	tr|Q8VG76|Q8VG76_MOUSE	tr|A0A8C6MWM5|A0A8C6MWM5_MUSSI
OG0000016	tr|Q7TQR2|Q7TQR2_MOUSE	tr|A0A8C6HB50|A0A8C6HB50_MUSSI
OG0000016	tr|Q7TQR3|Q7TQR3_MOUSE	tr|A0A8C6HCU2|A0A8C6HCU2_MUSSI
OG0000016	tr|Q8VFW4|Q8VFW4_MOUSE	tr|A0A8C6HB62|A0A8C6HB62_MUSSI
OG0000016	tr|Q8VFW3|Q8VFW3_MOUSE	tr|A0A8C6HA33|A0A8C6HA33_MUSSI
OG0000016	tr|Q8VFW2|Q8VFW2_MOUSE	tr|A0A8C6HB52|A0A8C6HB52_MUSSI
OG0000016	tr|Q8VFX0|Q8VFX0_MOUSE	tr|A0A8C6H9W0|A0A8C6H9W0_MUSSI
OG0000016	tr|Q8VFV9|Q8VFV9_MOUSE	tr|A0A8C6HCR5|A0A8C6HCR5_MUSSI
OG0000016	tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE	tr|A0A8C6HCQ5|A0A8C6HCQ5_MUSSI
OG0000016	tr|Q8VFX4|Q8VFX4_MOUSE	tr|A0A8C6HAW7|A0A8C6HAW7_MUSSI
OG0000016	tr|Q8VFX3|Q8VFX3_MOUSE	tr|A0A8C6HBJ5|A0A8C6HBJ5_MUSSI
OG0000016	tr|Q8VFW1|Q8VFW1_MOUSE	tr|A0A8C6MWP8|A0A8C6MWP8_MUSSI
OG0000016	tr|Q8VFW5|Q8VFW5_MOUSE	tr|A0A8C6HC30|A0A8C6HC30_MUSSI
OG0000016	tr|Q8VFK3|Q8VFK3_MOUSE	tr|A0A8C6HCP5|A0A8C6HCP5_MUSSI
OG0000017	tr|A2CG92|A2CG92_MOUSE, tr|A0A087WR44|A0A087WR44_MOUSE, tr|L7MU81|L7MU81_MOUSE, tr|Q5FWA1|Q5FWA1_MOUSE, tr|A0A571BD55|A0A571BD55_MOUSE, tr|A2CG71|A2CG71_MOUSE, tr|A0A087WSN2|A0A087WSN2_MOUSE, tr|L7MU83|L7MU83_MOUSE, tr|A2CGC2|A2CGC2_MOUSE, tr|A2BFZ7|A2BFZ7_MOUSE, tr|B8JKF6|B8JKF6_MOUSE, tr|Q1LZI5|Q1LZI5_MOUSE, tr|A0A0A0MQP3|A0A0A0MQP3_MOUSE, tr|A0A571BG45|A0A571BG45_MOUSE, sp|Q99N64|GMCL2_MOUSE, tr|J3QMS5|J3QMS5_MOUSE, tr|A2BHG6|A2BHG6_MOUSE, tr|A0A571BG86|A0A571BG86_MOUSE, tr|J3QMW9|J3QMW9_MOUSE, tr|J3QNQ5|J3QNQ5_MOUSE, tr|A0A0R4J2B9|A0A0R4J2B9_MOUSE, tr|A0A140T8Q5|A0A140T8Q5_MOUSE, tr|J3QN64|J3QN64_MOUSE, tr|A2CFD5|A2CFD5_MOUSE, tr|J3QML3|J3QML3_MOUSE	tr|A0A8C6HY34|A0A8C6HY34_MUSSI
OG0000018	tr|Q7TPL6|Q7TPL6_MOUSE	tr|A0A8C6HWI9|A0A8C6HWI9_MUSSI
OG0000018	tr|E9PXJ4|E9PXJ4_MOUSE	tr|A0A8C6GRI6|A0A8C6GRI6_MUSSI
OG0000018	tr|Q0VFY0|Q0VFY0_MOUSE	tr|A0A8C6HY22|A0A8C6HY22_MUSSI, tr|A0A8C6I654|A0A8C6I654_MUSSI, tr|A0A8C6MWH8|A0A8C6MWH8_MUSSI
OG0000018	tr|E9Q1L8|E9Q1L8_MOUSE	tr|A0A8C6HY60|A0A8C6HY60_MUSSI
OG0000018	tr|E9PX85|E9PX85_MOUSE	tr|A0A8C6N158|A0A8C6N158_MUSSI, tr|A0A8C6HWJ2|A0A8C6HWJ2_MUSSI, tr|A0A8C6HUR7|A0A8C6HUR7_MUSSI, tr|A0A8C6G616|A0A8C6G616_MUSSI, tr|A0A8C6HVE5|A0A8C6HVE5_MUSSI, tr|A0A8C6HXZ4|A0A8C6HXZ4_MUSSI, tr|A0A8C6HX51|A0A8C6HX51_MUSSI, tr|A0A8C6HX41|A0A8C6HX41_MUSSI, tr|A0A8C6HX79|A0A8C6HX79_MUSSI, tr|A0A8C6N2M0|A0A8C6N2M0_MUSSI, tr|A0A8C6HW61|A0A8C6HW61_MUSSI, tr|A0A8C6HXV1|A0A8C6HXV1_MUSSI, tr|A0A8C6GE88|A0A8C6GE88_MUSSI, tr|A0A8C6HUQ7|A0A8C6HUQ7_MUSSI
OG0000020	tr|E9Q1C7|E9Q1C7_MOUSE	tr|A0A8C6H501|A0A8C6H501_MUSSI
OG0000020	tr|F8VPX6|F8VPX6_MOUSE, tr|E9QAN3|E9QAN3_MOUSE, tr|G3UY31|G3UY31_MOUSE, tr|A0A0G2JGR8|A0A0G2JGR8_MOUSE, tr|K7N5V5|K7N5V5_MOUSE, tr|K7N660|K7N660_MOUSE, tr|E9Q4E0|E9Q4E0_MOUSE, tr|A0A0G2JE01|A0A0G2JE01_MOUSE, tr|A0A087WQP8|A0A087WQP8_MOUSE, tr|D3YYI9|D3YYI9_MOUSE, tr|D3Z6R1|D3Z6R1_MOUSE, tr|Q9D9F7|Q9D9F7_MOUSE, tr|A0A0G2JFY7|A0A0G2JFY7_MOUSE, tr|Q80ZT2|Q80ZT2_MOUSE, tr|K7N6W5|K7N6W5_MOUSE, tr|K7N6S8|K7N6S8_MOUSE, tr|Q8C5Y0|Q8C5Y0_MOUSE, tr|L7N216|L7N216_MOUSE, tr|A0A0G2JFD5|A0A0G2JFD5_MOUSE, tr|G3UXD1|G3UXD1_MOUSE, tr|K7N6A0|K7N6A0_MOUSE, tr|A0A0G2JGJ6|A0A0G2JGJ6_MOUSE	tr|A0A8C6IAS9|A0A8C6IAS9_MUSSI
OG0000021	tr|A0A1L1SR98|A0A1L1SR98_MOUSE	tr|A0A8C6IAS5|A0A8C6IAS5_MUSSI
OG0000021	tr|A2AK60|A2AK60_MOUSE	tr|A0A8C6I8K2|A0A8C6I8K2_MUSSI
OG0000021	tr|Q8VF52|Q8VF52_MOUSE	tr|A0A8C6I7G6|A0A8C6I7G6_MUSSI
OG0000021	tr|Q8VGS0|Q8VGS0_MOUSE	tr|A0A8C6IB87|A0A8C6IB87_MUSSI
OG0000021	tr|Q7TR63|Q7TR63_MOUSE	tr|A0A8C6HUP0|A0A8C6HUP0_MUSSI
OG0000021	tr|Q8VGA6|Q8VGA6_MOUSE	tr|A0A8C6HUP9|A0A8C6HUP9_MUSSI
OG0000021	tr|Q7TR67|Q7TR67_MOUSE	tr|A0A8C6N3N6|A0A8C6N3N6_MUSSI
OG0000021	tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE	tr|A0A8C6IAG3|A0A8C6IAG3_MUSSI
OG0000021	tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE	tr|A0A8C6I7D5|A0A8C6I7D5_MUSSI
OG0000021	tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR70|Q7TR70_MOUSE	tr|A0A8C6N3D5|A0A8C6N3D5_MUSSI
OG0000022	tr|Q8VFM5|Q8VFM5_MOUSE	tr|A0A8C6HND0|A0A8C6HND0_MUSSI
OG0000022	tr|Q9D3U9|Q9D3U9_MOUSE	tr|A0A8C6HRB3|A0A8C6HRB3_MUSSI
OG0000022	tr|Q9EPF8|Q9EPF8_MOUSE	tr|A0A8C6N608|A0A8C6N608_MUSSI
OG0000022	tr|Q9EPF7|Q9EPF7_MOUSE	tr|A0A8C6IMF8|A0A8C6IMF8_MUSSI
OG0000022	tr|Q8VF89|Q8VF89_MOUSE	tr|A0A8C6HYM8|A0A8C6HYM8_MUSSI
OG0000022	tr|Q7TRN3|Q7TRN3_MOUSE	tr|A0A8C6H416|A0A8C6H416_MUSSI
OG0000022	tr|Q8VFM4|Q8VFM4_MOUSE	tr|A0A8C6H602|A0A8C6H602_MUSSI
OG0000022	tr|Q9EPF5|Q9EPF5_MOUSE	tr|A0A8C6IKZ5|A0A8C6IKZ5_MUSSI
OG0000022	tr|Q7TRN4|Q7TRN4_MOUSE	tr|A0A8C6H6R4|A0A8C6H6R4_MUSSI
OG0000022	tr|Q9EPF6|Q9EPF6_MOUSE	tr|A0A8C6IIW9|A0A8C6IIW9_MUSSI
OG0000022	tr|K7N641|K7N641_MOUSE	tr|A0A8C6HVR6|A0A8C6HVR6_MUSSI
OG0000022	tr|Q8VFM3|Q8VFM3_MOUSE	tr|A0A8C6MPT9|A0A8C6MPT9_MUSSI
OG0000023	tr|Q8VFG7|Q8VFG7_MOUSE	tr|A0A8C6HU70|A0A8C6HU70_MUSSI
