Orthogroup	Mus_musculus	Sciurus_vulgaris
OG0000010	sp|Q2TL60|ZN667_MOUSE	tr|A0A8D2JNF0|A0A8D2JNF0_SCIVU, tr|A0A8D2DVD3|A0A8D2DVD3_SCIVU, tr|A0A8D2D3B9|A0A8D2D3B9_SCIVU, tr|A0A8D2CQ95|A0A8D2CQ95_SCIVU, tr|A0A8D2JNK5|A0A8D2JNK5_SCIVU, tr|A0A8D2D2Z2|A0A8D2D2Z2_SCIVU, tr|A0A8D2E3D2|A0A8D2E3D2_SCIVU, tr|A0A8D2DA44|A0A8D2DA44_SCIVU, tr|A0A8D2D5H3|A0A8D2D5H3_SCIVU, tr|A0A8D2DS74|A0A8D2DS74_SCIVU, tr|A0A8D2B1X5|A0A8D2B1X5_SCIVU, tr|A0A8D2JTH4|A0A8D2JTH4_SCIVU, tr|A0A8D2ALE8|A0A8D2ALE8_SCIVU, tr|A0A8D2B2K9|A0A8D2B2K9_SCIVU, tr|A0A8D2D4G8|A0A8D2D4G8_SCIVU, tr|A0A8D2DEA4|A0A8D2DEA4_SCIVU, tr|A0A8D2CVU7|A0A8D2CVU7_SCIVU, tr|A0A8D2DXC5|A0A8D2DXC5_SCIVU, tr|A0A8D2DYT0|A0A8D2DYT0_SCIVU
OG0000011	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A8D2JT90|A0A8D2JT90_SCIVU, tr|A0A8D2E4V0|A0A8D2E4V0_SCIVU, tr|A0A8D2E1X2|A0A8D2E1X2_SCIVU, tr|A0A8D2E1T8|A0A8D2E1T8_SCIVU, tr|A0A8D2DXF5|A0A8D2DXF5_SCIVU, tr|A0A8D2E3S1|A0A8D2E3S1_SCIVU, tr|A0A8D2E1X7|A0A8D2E1X7_SCIVU, tr|A0A8D2E3M4|A0A8D2E3M4_SCIVU, tr|A0A8D2JTJ2|A0A8D2JTJ2_SCIVU, tr|A0A8D2E3R9|A0A8D2E3R9_SCIVU, tr|A0A8D2DXD3|A0A8D2DXD3_SCIVU, tr|A0A8D2E203|A0A8D2E203_SCIVU, tr|A0A8D2E3S8|A0A8D2E3S8_SCIVU, tr|A0A8D2E4S5|A0A8D2E4S5_SCIVU, tr|A0A8D2E3Q2|A0A8D2E3Q2_SCIVU, tr|A0A8D2E266|A0A8D2E266_SCIVU, tr|A0A8D2E0I2|A0A8D2E0I2_SCIVU, tr|A0A8D2E213|A0A8D2E213_SCIVU, tr|A0A8D2E457|A0A8D2E457_SCIVU, tr|A0A8D2JT88|A0A8D2JT88_SCIVU, tr|A0A8D2E288|A0A8D2E288_SCIVU, tr|A0A8D2DR07|A0A8D2DR07_SCIVU, tr|A0A8D2DRZ9|A0A8D2DRZ9_SCIVU, tr|A0A8D2DN49|A0A8D2DN49_SCIVU, tr|A0A8D2DP81|A0A8D2DP81_SCIVU, tr|A0A8D2JR18|A0A8D2JR18_SCIVU, tr|A0A8D2DN87|A0A8D2DN87_SCIVU, tr|A0A8D2JQU0|A0A8D2JQU0_SCIVU, tr|A0A8D2DPN3|A0A8D2DPN3_SCIVU, tr|A0A8D2DMU1|A0A8D2DMU1_SCIVU, tr|A0A8D2DLP7|A0A8D2DLP7_SCIVU, tr|A0A8D2DQ02|A0A8D2DQ02_SCIVU, tr|A0A8D2DPP6|A0A8D2DPP6_SCIVU, tr|A0A8D2JR34|A0A8D2JR34_SCIVU, tr|A0A8D2DR00|A0A8D2DR00_SCIVU, tr|A0A8D2DNW7|A0A8D2DNW7_SCIVU, tr|A0A8D2DMT7|A0A8D2DMT7_SCIVU, tr|A0A8D2DRJ4|A0A8D2DRJ4_SCIVU, tr|A0A8D2DQZ8|A0A8D2DQZ8_SCIVU, tr|A0A8D2DJY6|A0A8D2DJY6_SCIVU, tr|A0A8D2DP97|A0A8D2DP97_SCIVU
OG0000015	sp|Q91XY4|PCDG4_MOUSE	tr|A0A8D2DB93|A0A8D2DB93_SCIVU
OG0000015	tr|Q91XY3|Q91XY3_MOUSE	tr|A0A8D2DDP0|A0A8D2DDP0_SCIVU
OG0000015	tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE	tr|A0A8D2DE04|A0A8D2DE04_SCIVU
OG0000015	tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y12|Q91Y12_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91Y09|Q91Y09_MOUSE	tr|A0A8D2DM15|A0A8D2DM15_SCIVU
OG0000017	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	tr|A0A8D2DP21|A0A8D2DP21_SCIVU
OG0000017	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A8D2DKZ5|A0A8D2DKZ5_SCIVU, tr|A0A8D2JQB6|A0A8D2JQB6_SCIVU, tr|A0A8D2JQI5|A0A8D2JQI5_SCIVU, tr|A0A8D2DRG9|A0A8D2DRG9_SCIVU, tr|A0A8D2DMV2|A0A8D2DMV2_SCIVU, tr|A0A8D2DIZ3|A0A8D2DIZ3_SCIVU, tr|A0A8D2DPA2|A0A8D2DPA2_SCIVU, tr|A0A8D2DK01|A0A8D2DK01_SCIVU, tr|A0A8D2DJQ5|A0A8D2DJQ5_SCIVU, tr|A0A8D2DKV7|A0A8D2DKV7_SCIVU, tr|A0A8D2DQB1|A0A8D2DQB1_SCIVU, tr|A0A8D2DQK0|A0A8D2DQK0_SCIVU, tr|A0A8D2AYG4|A0A8D2AYG4_SCIVU, tr|A0A8D2DPU1|A0A8D2DPU1_SCIVU, tr|A0A8D2DNM9|A0A8D2DNM9_SCIVU, tr|A0A8D2JQE3|A0A8D2JQE3_SCIVU, tr|A0A8D2DRW8|A0A8D2DRW8_SCIVU, tr|A0A8D2JQV9|A0A8D2JQV9_SCIVU, tr|A0A8D2DPQ8|A0A8D2DPQ8_SCIVU, tr|A0A8D2DL60|A0A8D2DL60_SCIVU, tr|A0A8D2DP24|A0A8D2DP24_SCIVU, tr|A0A8D2DMN9|A0A8D2DMN9_SCIVU, tr|A0A8D2DMM2|A0A8D2DMM2_SCIVU, tr|A0A8D2DLQ7|A0A8D2DLQ7_SCIVU, tr|A0A8D2DNV6|A0A8D2DNV6_SCIVU, tr|A0A8D2DQG9|A0A8D2DQG9_SCIVU, tr|A0A8D2DPF5|A0A8D2DPF5_SCIVU, tr|A0A8D2DNS5|A0A8D2DNS5_SCIVU, tr|A0A8D2DRJ2|A0A8D2DRJ2_SCIVU, tr|A0A8D2AYE2|A0A8D2AYE2_SCIVU, tr|A0A8D2DS24|A0A8D2DS24_SCIVU, tr|A0A8D2DMY3|A0A8D2DMY3_SCIVU, tr|A0A8D2DHS8|A0A8D2DHS8_SCIVU, tr|A0A8D2DI00|A0A8D2DI00_SCIVU, tr|A0A8D2DNQ6|A0A8D2DNQ6_SCIVU
OG0000024	tr|E9PVR6|E9PVR6_MOUSE	tr|A0A8D2D3K2|A0A8D2D3K2_SCIVU, tr|A0A8D2DEY1|A0A8D2DEY1_SCIVU, tr|A0A8D2D2R1|A0A8D2D2R1_SCIVU, tr|A0A8D2D3J1|A0A8D2D3J1_SCIVU, tr|A0A8D2D1C0|A0A8D2D1C0_SCIVU, tr|A0A8D2D1M4|A0A8D2D1M4_SCIVU, tr|A0A8D2D371|A0A8D2D371_SCIVU, tr|A0A8D2CSU1|A0A8D2CSU1_SCIVU, tr|A0A8D2D297|A0A8D2D297_SCIVU, tr|A0A8D2CZ07|A0A8D2CZ07_SCIVU, tr|A0A8D2DEH6|A0A8D2DEH6_SCIVU, tr|A0A8D2DEB5|A0A8D2DEB5_SCIVU, tr|A0A8D2D320|A0A8D2D320_SCIVU, tr|A0A8D2DFQ2|A0A8D2DFQ2_SCIVU, tr|A0A8D2CYL5|A0A8D2CYL5_SCIVU, tr|A0A8D2CYR1|A0A8D2CYR1_SCIVU, tr|A0A8D2DIC9|A0A8D2DIC9_SCIVU, tr|A0A8D2DG32|A0A8D2DG32_SCIVU, tr|A0A8D2D049|A0A8D2D049_SCIVU, tr|A0A8D2DK37|A0A8D2DK37_SCIVU, tr|A0A8D2DEE5|A0A8D2DEE5_SCIVU, tr|A0A8D2CZJ0|A0A8D2CZJ0_SCIVU, tr|A0A8D2DJE5|A0A8D2DJE5_SCIVU, tr|A0A8D2DHT7|A0A8D2DHT7_SCIVU, tr|A0A8D2D1A1|A0A8D2D1A1_SCIVU, tr|A0A8D2DIQ0|A0A8D2DIQ0_SCIVU, tr|A0A8D2DI70|A0A8D2DI70_SCIVU, tr|A0A8D2D119|A0A8D2D119_SCIVU, tr|A0A8D2DGM1|A0A8D2DGM1_SCIVU, tr|A0A8D2D173|A0A8D2D173_SCIVU
OG0000030	sp|Q80YP6|ZIK1_MOUSE	tr|A0A8D2E3B0|A0A8D2E3B0_SCIVU
OG0000030	tr|Q8BFS8|Q8BFS8_MOUSE	tr|A0A8D2E3Q7|A0A8D2E3Q7_SCIVU, tr|A0A8D2E281|A0A8D2E281_SCIVU, tr|A0A8D2JLM1|A0A8D2JLM1_SCIVU, tr|A0A8D2DPW1|A0A8D2DPW1_SCIVU, tr|A0A8D2E0Z0|A0A8D2E0Z0_SCIVU, tr|A0A8D2E0M8|A0A8D2E0M8_SCIVU, tr|A0A8D2E2A8|A0A8D2E2A8_SCIVU, tr|A0A8D2BAN8|A0A8D2BAN8_SCIVU, tr|A0A8D2JTB3|A0A8D2JTB3_SCIVU, tr|A0A8D2E275|A0A8D2E275_SCIVU, tr|A0A8D2ALE5|A0A8D2ALE5_SCIVU, tr|A0A8D2DTR0|A0A8D2DTR0_SCIVU, tr|A0A8D2DVI1|A0A8D2DVI1_SCIVU, tr|A0A8D2CVZ1|A0A8D2CVZ1_SCIVU, tr|A0A8D2DV55|A0A8D2DV55_SCIVU, tr|A0A8D2AKF4|A0A8D2AKF4_SCIVU, tr|A0A8D2DBT5|A0A8D2DBT5_SCIVU, tr|A0A8D2JMB6|A0A8D2JMB6_SCIVU, tr|A0A8D2AEU1|A0A8D2AEU1_SCIVU, tr|A0A8D2DA54|A0A8D2DA54_SCIVU, tr|A0A8D2DBG1|A0A8D2DBG1_SCIVU, tr|A0A8D2DZD3|A0A8D2DZD3_SCIVU, tr|A0A8D2DTA8|A0A8D2DTA8_SCIVU
OG0000033	tr|Q8VF41|Q8VF41_MOUSE	tr|A0A8D2AJB7|A0A8D2AJB7_SCIVU
OG0000033	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A8D2CLL2|A0A8D2CLL2_SCIVU, tr|A0A8D2ASL2|A0A8D2ASL2_SCIVU
OG0000033	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A8D2ALY2|A0A8D2ALY2_SCIVU, tr|A0A8D2ANQ2|A0A8D2ANQ2_SCIVU, tr|A0A8D2AM28|A0A8D2AM28_SCIVU, tr|A0A8D2AFP6|A0A8D2AFP6_SCIVU, tr|A0A8D2ARM4|A0A8D2ARM4_SCIVU
OG0000045	sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11591|MUP5_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE	tr|A0A8D2DJL7|A0A8D2DJL7_SCIVU
OG0000048	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A8D2BAV4|A0A8D2BAV4_SCIVU
OG0000048	tr|Q9D4D2|Q9D4D2_MOUSE	tr|A0A8D2JSK3|A0A8D2JSK3_SCIVU
OG0000048	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8D2CV01|A0A8D2CV01_SCIVU, tr|A0A8D2CVI1|A0A8D2CVI1_SCIVU
OG0000048	sp|A2A9R3|MAGB4_MOUSE	tr|A0A8D2DI91|A0A8D2DI91_SCIVU, tr|A0A8D2DMF1|A0A8D2DMF1_SCIVU, tr|A0A8D2DMB9|A0A8D2DMB9_SCIVU, tr|A0A8D2DCA8|A0A8D2DCA8_SCIVU, tr|A0A8D2JQQ7|A0A8D2JQQ7_SCIVU, tr|A0A8D2DLX4|A0A8D2DLX4_SCIVU, tr|A0A8D2DJH8|A0A8D2DJH8_SCIVU
OG0000050	sp|P68134|ACTS_MOUSE	tr|A0A8D2B3M6|A0A8D2B3M6_SCIVU
OG0000050	sp|P68033|ACTC_MOUSE	tr|A0A8D2CMA5|A0A8D2CMA5_SCIVU
OG0000050	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A8D2AY37|A0A8D2AY37_SCIVU
OG0000050	tr|D3YYH9|D3YYH9_MOUSE	tr|A0A8D2CTU7|A0A8D2CTU7_SCIVU, tr|A0A8D2AHC8|A0A8D2AHC8_SCIVU
OG0000050	sp|P60710|ACTB_MOUSE	tr|A0A8D2AIP4|A0A8D2AIP4_SCIVU, tr|A0A8D2B8Q0|A0A8D2B8Q0_SCIVU
OG0000050	sp|P63260|ACTG_MOUSE	tr|A0A8D2DXS1|A0A8D2DXS1_SCIVU
OG0000050	sp|P63268|ACTH_MOUSE	tr|A0A8D2DS46|A0A8D2DS46_SCIVU
OG0000050	sp|P62737|ACTA_MOUSE	tr|A0A8D2B5L9|A0A8D2B5L9_SCIVU
OG0000052	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8D2DJJ4|A0A8D2DJJ4_SCIVU
OG0000052	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8D2JPV7|A0A8D2JPV7_SCIVU
OG0000052	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8D2DJS7|A0A8D2DJS7_SCIVU
OG0000052	sp|Q6IME9|K2C72_MOUSE	tr|A0A8D2DJJ8|A0A8D2DJJ8_SCIVU, tr|A0A8D2DL48|A0A8D2DL48_SCIVU, tr|A0A8D2DID6|A0A8D2DID6_SCIVU, tr|A0A8D2DIP1|A0A8D2DIP1_SCIVU, tr|A0A8D2DNX6|A0A8D2DNX6_SCIVU, tr|A0A8D2JPT6|A0A8D2JPT6_SCIVU, tr|A0A8D2JP50|A0A8D2JP50_SCIVU, tr|A0A8D2DIA9|A0A8D2DIA9_SCIVU, tr|A0A8D2DJQ1|A0A8D2DJQ1_SCIVU, tr|A0A8D2DGK9|A0A8D2DGK9_SCIVU, tr|A0A8D2DJG3|A0A8D2DJG3_SCIVU
OG0000054	sp|Q60879|OLF3_MOUSE	tr|A0A8D2JPV3|A0A8D2JPV3_SCIVU
OG0000054	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A8D2DJ72|A0A8D2DJ72_SCIVU, tr|A0A8D2DJ94|A0A8D2DJ94_SCIVU, tr|A0A8D2DIY7|A0A8D2DIY7_SCIVU, tr|A0A8D2JPR6|A0A8D2JPR6_SCIVU, tr|A0A8D2DHQ8|A0A8D2DHQ8_SCIVU, tr|A0A8D2JPB2|A0A8D2JPB2_SCIVU, tr|A0A8D2JPH4|A0A8D2JPH4_SCIVU, tr|A0A8D2DGB5|A0A8D2DGB5_SCIVU, tr|A0A8D2DFD7|A0A8D2DFD7_SCIVU, tr|A0A8D2DJ99|A0A8D2DJ99_SCIVU, tr|A0A8D2DHG3|A0A8D2DHG3_SCIVU, tr|A0A8D2DJ35|A0A8D2DJ35_SCIVU, tr|A0A8D2JP80|A0A8D2JP80_SCIVU, tr|A0A8D2DI41|A0A8D2DI41_SCIVU
OG0000058	sp|P11260|LORF1_MOUSE	tr|A0A8D2BA86|A0A8D2BA86_SCIVU, tr|A0A8D2BDG8|A0A8D2BDG8_SCIVU, tr|A0A8D2CR48|A0A8D2CR48_SCIVU, tr|A0A8D2DIA8|A0A8D2DIA8_SCIVU, tr|A0A8D2DK81|A0A8D2DK81_SCIVU, tr|A0A8D2BCK0|A0A8D2BCK0_SCIVU, tr|A0A8D2DIM8|A0A8D2DIM8_SCIVU, tr|A0A8D2AQP9|A0A8D2AQP9_SCIVU, tr|A0A8D2AVJ1|A0A8D2AVJ1_SCIVU, tr|A0A8D2DB39|A0A8D2DB39_SCIVU, tr|A0A8D2DI61|A0A8D2DI61_SCIVU, tr|A0A8D2AXI7|A0A8D2AXI7_SCIVU, tr|A0A8D2AN27|A0A8D2AN27_SCIVU, tr|A0A8D2AMC7|A0A8D2AMC7_SCIVU, tr|A0A8D2JMZ3|A0A8D2JMZ3_SCIVU, tr|A0A8D2AL67|A0A8D2AL67_SCIVU
OG0000063	tr|E9Q848|E9Q848_MOUSE	tr|A0A8D2AW05|A0A8D2AW05_SCIVU
OG0000063	sp|Q62007|OLF16_MOUSE	tr|A0A8D2CM80|A0A8D2CM80_SCIVU, tr|A0A8D2AW38|A0A8D2AW38_SCIVU, tr|A0A8D2ART9|A0A8D2ART9_SCIVU, tr|A0A8D2AQZ3|A0A8D2AQZ3_SCIVU, tr|A0A8D2CM74|A0A8D2CM74_SCIVU, tr|A0A8D2CLV8|A0A8D2CLV8_SCIVU, tr|A0A8D2AR63|A0A8D2AR63_SCIVU, tr|A0A8D2AY04|A0A8D2AY04_SCIVU, tr|A0A8D2AZ85|A0A8D2AZ85_SCIVU, tr|A0A8D2AYP8|A0A8D2AYP8_SCIVU, tr|A0A8D2B345|A0A8D2B345_SCIVU, tr|A0A8D2AZZ3|A0A8D2AZZ3_SCIVU, tr|A0A8D2AYX3|A0A8D2AYX3_SCIVU
OG0000064	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A8D2CYN0|A0A8D2CYN0_SCIVU
OG0000064	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A8D2D8Z2|A0A8D2D8Z2_SCIVU, tr|A0A8D2JS49|A0A8D2JS49_SCIVU, tr|A0A8D2AZ56|A0A8D2AZ56_SCIVU
OG0000064	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8D2CYI5|A0A8D2CYI5_SCIVU, tr|A0A8D2DBB3|A0A8D2DBB3_SCIVU, tr|A0A8D2JJS5|A0A8D2JJS5_SCIVU, tr|A0A8D2CYW3|A0A8D2CYW3_SCIVU, tr|A0A8D2CZY0|A0A8D2CZY0_SCIVU, tr|A0A8D2CZZ6|A0A8D2CZZ6_SCIVU, tr|A0A8D2DDF7|A0A8D2DDF7_SCIVU, tr|A0A8D2DCX7|A0A8D2DCX7_SCIVU, tr|A0A8D2D9G2|A0A8D2D9G2_SCIVU
OG0000066	tr|E9PX85|E9PX85_MOUSE, tr|E9PXJ4|E9PXJ4_MOUSE, tr|Q8K2A4|Q8K2A4_MOUSE, tr|Q7TPL6|Q7TPL6_MOUSE, tr|Q7M6X5|Q7M6X5_MOUSE, tr|Q7M6X3|Q7M6X3_MOUSE, tr|Q8BIN6|Q8BIN6_MOUSE, sp|Q6P5C7|ZN728_MOUSE, tr|L7N1X4|L7N1X4_MOUSE, tr|B8JJX8|B8JJX8_MOUSE, tr|Q4QQP3|Q4QQP3_MOUSE, tr|Q80VN4|Q80VN4_MOUSE, tr|Q91W94|Q91W94_MOUSE	tr|A0A8D2D1H0|A0A8D2D1H0_SCIVU, tr|A0A8D2DGF6|A0A8D2DGF6_SCIVU
OG0000069	sp|Q2M2N2|SPOPL_MOUSE	tr|A0A8D2AKL7|A0A8D2AKL7_SCIVU
OG0000069	tr|A0A0A6YWS7|A0A0A6YWS7_MOUSE, sp|Q6YCH2|TDPZ4_MOUSE, sp|Q717B2|TDPZ2_MOUSE, sp|P0DMR5|TDPZ1_MOUSE, sp|P0DMR6|TDP1L_MOUSE, sp|Q717B4|TDPZ3_MOUSE, tr|A0A0A6YXL2|A0A0A6YXL2_MOUSE, sp|Q6YCH1|TDPZ5_MOUSE, tr|Q3UTC4|Q3UTC4_MOUSE, tr|E0CXI6|E0CXI6_MOUSE, tr|L7N229|L7N229_MOUSE, sp|Q6ZWS8|SPOP_MOUSE	tr|A0A8D2JQT8|A0A8D2JQT8_SCIVU
OG0000072	tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	tr|A0A8D2JIT3|A0A8D2JIT3_SCIVU
OG0000072	tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q8VG86|Q8VG86_MOUSE	tr|A0A8D2CN52|A0A8D2CN52_SCIVU
OG0000072	tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE	tr|A0A8D2CSF9|A0A8D2CSF9_SCIVU
OG0000075	tr|L7N1X7|L7N1X7_MOUSE, tr|E9Q1P0|E9Q1P0_MOUSE, tr|L7N1Y5|L7N1Y5_MOUSE, tr|A2RTP5|A2RTP5_MOUSE, tr|L7N1Y2|L7N1Y2_MOUSE, tr|E9PV79|E9PV79_MOUSE, tr|Q7TRM0|Q7TRM0_MOUSE	tr|A0A8D2CL58|A0A8D2CL58_SCIVU, tr|A0A8D2CL56|A0A8D2CL56_SCIVU, tr|A0A8D2AVQ2|A0A8D2AVQ2_SCIVU, tr|A0A8D2ALF8|A0A8D2ALF8_SCIVU, tr|A0A8D2CLH2|A0A8D2CLH2_SCIVU, tr|A0A8D2AVX0|A0A8D2AVX0_SCIVU, tr|A0A8D2ALI6|A0A8D2ALI6_SCIVU
OG0000076	tr|Q8VF89|Q8VF89_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE	tr|A0A8D2B1I4|A0A8D2B1I4_SCIVU, tr|A0A8D2CMU8|A0A8D2CMU8_SCIVU
OG0000078	tr|G3UWE2|G3UWE2_MOUSE, tr|E9QAA8|E9QAA8_MOUSE, sp|Q9QZ85|IIGP1_MOUSE, tr|Q3UED7|Q3UED7_MOUSE, sp|Q62293|TGTP1_MOUSE, sp|Q3T9E4|TGTP2_MOUSE, tr|Q5SVP0|Q5SVP0_MOUSE, tr|Q5NCB3|Q5NCB3_MOUSE, tr|Q5NCB2|Q5NCB2_MOUSE, tr|Q61635|Q61635_MOUSE, tr|Q9DCE9|Q9DCE9_MOUSE, tr|A0A140LIF8|A0A140LIF8_MOUSE, sp|Q60766|IRGM1_MOUSE	tr|A0A8D2AZ31|A0A8D2AZ31_SCIVU
OG0000080	sp|Q5QD10|TAA7D_MOUSE, sp|Q5QD11|TAA7B_MOUSE, sp|Q5QD09|TAA7E_MOUSE, sp|Q5QD08|TAA7F_MOUSE, sp|Q5QD12|TAA7A_MOUSE	tr|A0A8D2BAR6|A0A8D2BAR6_SCIVU
OG0000080	sp|Q5QD04|TAAR9_MOUSE	tr|A0A8D2BA01|A0A8D2BA01_SCIVU
