Orthogroup	Mus_musculus	Pan_paniscus
OG0000037	sp|Q80YP6|ZIK1_MOUSE	tr|A0A2R9BA28|A0A2R9BA28_PANPA, tr|A0A2R9AF91|A0A2R9AF91_PANPA, tr|A0A2R9BZF3|A0A2R9BZF3_PANPA, tr|A0A2R8ZRM6|A0A2R8ZRM6_PANPA, tr|A0A2R9AT91|A0A2R9AT91_PANPA, tr|A0A2R8ZSR4|A0A2R8ZSR4_PANPA, tr|A0A2R9B033|A0A2R9B033_PANPA, tr|A0A2R8ZUY7|A0A2R8ZUY7_PANPA, tr|A0A2R9B7V5|A0A2R9B7V5_PANPA, tr|A0A2R9BC76|A0A2R9BC76_PANPA, tr|A0A2R8Z852|A0A2R8Z852_PANPA, tr|A0A2R8ZDP5|A0A2R8ZDP5_PANPA, tr|A0A2R9BJ77|A0A2R9BJ77_PANPA, tr|A0A2R9AA67|A0A2R9AA67_PANPA, tr|A0A2R9CHI0|A0A2R9CHI0_PANPA, tr|A0A2R9A2F1|A0A2R9A2F1_PANPA, tr|A0A2R9BDV9|A0A2R9BDV9_PANPA, tr|A0A2R9C8I9|A0A2R9C8I9_PANPA, tr|A0A2R9BTA0|A0A2R9BTA0_PANPA, tr|A0A2R9BAP3|A0A2R9BAP3_PANPA, tr|A0A2R9BV95|A0A2R9BV95_PANPA, tr|A0A2R9AFK6|A0A2R9AFK6_PANPA, tr|A0A2R9BS06|A0A2R9BS06_PANPA, tr|A0A2R9AIX6|A0A2R9AIX6_PANPA
OG0000038	tr|Q8R255|Q8R255_MOUSE, tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|K7N608|K7N608_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE	tr|A0A2R9C0U1|A0A2R9C0U1_PANPA
OG0000040	tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE	tr|A0A2R8ZBV4|A0A2R8ZBV4_PANPA, tr|A0A2R8ZVB7|A0A2R8ZVB7_PANPA, tr|A0A2R8ZGF0|A0A2R8ZGF0_PANPA
OG0000042	tr|Q9EPG6|Q9EPG6_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|Q8VG49|Q8VG49_MOUSE, tr|E9Q725|E9Q725_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A2ACY8|A2ACY8_MOUSE	tr|A0A2R8ZFX1|A0A2R8ZFX1_PANPA
OG0000044	sp|Q9D267|LCN9_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE	tr|A0A2R9ARD2|A0A2R9ARD2_PANPA
OG0000045	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG02|OL488_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE	tr|A0A2R9BWE8|A0A2R9BWE8_PANPA
OG0000046	sp|Q6IME9|K2C72_MOUSE	tr|A0A2R9CPA3|A0A2R9CPA3_PANPA
OG0000046	sp|Q6NXH9|K2C73_MOUSE	tr|A0A2R9BRC5|A0A2R9BRC5_PANPA
OG0000046	sp|Q9R0H5|K2C71_MOUSE	tr|A0A2R9B4E9|A0A2R9B4E9_PANPA
OG0000046	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A2R9AZS5|A0A2R9AZS5_PANPA
OG0000046	sp|Q8VED5|K2C79_MOUSE	tr|A0A2R9B125|A0A2R9B125_PANPA, tr|A0A2R8ZE58|A0A2R8ZE58_PANPA, tr|A0A2R9B1A8|A0A2R9B1A8_PANPA, tr|A0A2R9AYP3|A0A2R9AYP3_PANPA, tr|A0A2R9CAK6|A0A2R9CAK6_PANPA, tr|A0A2R9CJ20|A0A2R9CJ20_PANPA, tr|A0A2R9A452|A0A2R9A452_PANPA
OG0000046	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A2R9C9C9|A0A2R9C9C9_PANPA, tr|A0A2R9A6B3|A0A2R9A6B3_PANPA, tr|A0A2R9C454|A0A2R9C454_PANPA, tr|A0A2R9BBJ1|A0A2R9BBJ1_PANPA, tr|A0A2R9ANL2|A0A2R9ANL2_PANPA
OG0000052	tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE	tr|A0A2R9AJS6|A0A2R9AJS6_PANPA
OG0000056	tr|E9Q6Y4|E9Q6Y4_MOUSE	tr|A0A2R8Z888|A0A2R8Z888_PANPA
OG0000056	sp|Q0VAW7|ZN112_MOUSE	tr|A0A2R9CJC4|A0A2R9CJC4_PANPA, tr|A0A2R9AP31|A0A2R9AP31_PANPA, tr|A0A2R9BGW2|A0A2R9BGW2_PANPA, tr|A0A2R9B887|A0A2R9B887_PANPA, tr|A0A2R9BTQ5|A0A2R9BTQ5_PANPA, tr|A0A2R9A7W0|A0A2R9A7W0_PANPA, tr|A0A2R9AK22|A0A2R9AK22_PANPA, tr|A0A2R9A814|A0A2R9A814_PANPA, tr|A0A2R8ZK98|A0A2R8ZK98_PANPA, tr|A0A2R8ZKM0|A0A2R8ZKM0_PANPA, tr|A0A2R9BCF2|A0A2R9BCF2_PANPA, tr|A0A2R9AG22|A0A2R9AG22_PANPA, tr|A0A2R9BLJ3|A0A2R9BLJ3_PANPA, tr|A0A2R9AI52|A0A2R9AI52_PANPA, tr|A0A2R9AAP7|A0A2R9AAP7_PANPA, tr|A0A2R8Z8L3|A0A2R8Z8L3_PANPA, tr|A0A2R9CA15|A0A2R9CA15_PANPA
OG0000057	tr|Q7TS01|Q7TS01_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE	tr|A0A2R8ZMV1|A0A2R8ZMV1_PANPA
OG0000060	sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE	tr|A0A2R8ZJC7|A0A2R8ZJC7_PANPA
OG0000060	sp|Q8BFU2|H2A3_MOUSE	tr|A0A2R8ZHH7|A0A2R8ZHH7_PANPA
OG0000060	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A2R8Z6E1|A0A2R8Z6E1_PANPA
OG0000060	sp|C0HKE1|H2A1B_MOUSE	tr|A0A2R8ZPU4|A0A2R8ZPU4_PANPA
OG0000061	sp|Q7M721|TR120_MOUSE	sp|Q646D8|T2R13_PANPA, sp|Q646D9|T2R14_PANPA, sp|Q5Y4Z5|T2R19_PANPA, tr|A0A2R8ZIS3|A0A2R8ZIS3_PANPA, sp|Q5Y4Y9|T2R64_PANPA, tr|A0A2R9BV97|A0A2R9BV97_PANPA, sp|Q646E3|T2R20_PANPA, sp|Q646E4|T2R50_PANPA, tr|A0A2R8ZT06|A0A2R8ZT06_PANPA, sp|Q646E2|T2R30_PANPA, sp|Q646E1|T2R46_PANPA, tr|A0A2R8ZNR4|A0A2R8ZNR4_PANPA, sp|Q5Y4Z8|T2R45_PANPA, sp|Q5Y4Y8|T2R66_PANPA, sp|Q5Y500|T2R43_PANPA, sp|Q646E0|T2R31_PANPA, tr|A0A2R8ZUI0|A0A2R8ZUI0_PANPA
OG0000062	sp|Q9Z2K1|K1C16_MOUSE	tr|A0A2R9BHC6|A0A2R9BHC6_PANPA, tr|A0A2R9BI07|A0A2R9BI07_PANPA
OG0000062	sp|Q61781|K1C14_MOUSE	tr|A0A2R9CHA8|A0A2R9CHA8_PANPA
OG0000062	sp|Q9QWL7|K1C17_MOUSE	tr|A0A2R9BML2|A0A2R9BML2_PANPA, tr|A0A2R9BMS3|A0A2R9BMS3_PANPA
OG0000062	sp|P19001|K1C19_MOUSE	tr|A0A2R9ALU5|A0A2R9ALU5_PANPA
OG0000062	sp|Q61414|K1C15_MOUSE	tr|A0A2R9C995|A0A2R9C995_PANPA
OG0000062	sp|P08730|K1C13_MOUSE	tr|A0A2R8ZHV6|A0A2R8ZHV6_PANPA
OG0000062	sp|A1L317|K1C24_MOUSE, sp|Q6RHW0|K1C9_MOUSE	tr|A0A2R9AX99|A0A2R9AX99_PANPA
OG0000063	sp|Q9Z1V0|OLF49_MOUSE	tr|A0A2R8ZTP8|A0A2R8ZTP8_PANPA, tr|A0A2R8ZB08|A0A2R8ZB08_PANPA
OG0000063	tr|Q8VG33|Q8VG33_MOUSE, tr|Q7TRI6|Q7TRI6_MOUSE	tr|A0A2R8ZE65|A0A2R8ZE65_PANPA
OG0000063	tr|Q8VFU5|Q8VFU5_MOUSE, tr|A0A2I3BQH9|A0A2I3BQH9_MOUSE, tr|A0A2I3BQ22|A0A2I3BQ22_MOUSE	tr|A0A2R8ZAE1|A0A2R8ZAE1_PANPA
OG0000063	tr|Q7TS32|Q7TS32_MOUSE, tr|Q7TS33|Q7TS33_MOUSE, tr|Q8VG27|Q8VG27_MOUSE, tr|Q8VF82|Q8VF82_MOUSE	tr|A0A2R8ZGI2|A0A2R8ZGI2_PANPA
