Orthogroup	Mus_musculus	Diceros_bicornis_minor
OG0000000	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A7J7F1U6|A0A7J7F1U6_DICBM
OG0000000	sp|Q8BGV5|ZNF8_MOUSE	tr|A0A7J7FPB1|A0A7J7FPB1_DICBM
OG0000000	tr|Q7TSV0|Q7TSV0_MOUSE	tr|A0A7J7FND1|A0A7J7FND1_DICBM
OG0000000	tr|Q640N4|Q640N4_MOUSE	tr|A0A7J7F286|A0A7J7F286_DICBM
OG0000000	sp|B2RXC5|ZN382_MOUSE	tr|A0A7J7F889|A0A7J7F889_DICBM, tr|A0A7J7F994|A0A7J7F994_DICBM
OG0000000	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A7J7ERG8|A0A7J7ERG8_DICBM, tr|A0A7J7ERD4|A0A7J7ERD4_DICBM
OG0000000	sp|E9PYI1|ZN568_MOUSE	tr|A0A7J7EBX3|A0A7J7EBX3_DICBM, tr|A0A7J7F8Y3|A0A7J7F8Y3_DICBM, tr|A0A7J7F8N8|A0A7J7F8N8_DICBM, tr|A0A7J7F9J8|A0A7J7F9J8_DICBM, tr|A0A7J7F8K0|A0A7J7F8K0_DICBM
OG0000000	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A7J7F757|A0A7J7F757_DICBM, tr|A0A7J7F750|A0A7J7F750_DICBM, tr|A0A7J7F7J9|A0A7J7F7J9_DICBM, tr|A0A7J7F753|A0A7J7F753_DICBM, tr|A0A7J7F815|A0A7J7F815_DICBM
OG0000000	sp|A2A761|ZFP69_MOUSE	tr|A0A7J7EFT3|A0A7J7EFT3_DICBM, tr|A0A7J7FDR3|A0A7J7FDR3_DICBM, tr|A0A7J7EPP0|A0A7J7EPP0_DICBM, tr|A0A7J7E3A1|A0A7J7E3A1_DICBM, tr|A0A7J7E3N6|A0A7J7E3N6_DICBM
OG0000000	sp|Q8R1D1|ZN426_MOUSE, sp|P10076|ZFP26_MOUSE	tr|A0A7J7EIR6|A0A7J7EIR6_DICBM, tr|A0A7J7EIM8|A0A7J7EIM8_DICBM, tr|A0A7J7ERX9|A0A7J7ERX9_DICBM, tr|A0A7J7ES74|A0A7J7ES74_DICBM, tr|A0A7J7EN92|A0A7J7EN92_DICBM, tr|A0A7J7ENS5|A0A7J7ENS5_DICBM, tr|A0A7J7EMP1|A0A7J7EMP1_DICBM, tr|A0A7J7E7B8|A0A7J7E7B8_DICBM, tr|A0A7J7E749|A0A7J7E749_DICBM, tr|A0A7J7E6X3|A0A7J7E6X3_DICBM, tr|A0A7J7E786|A0A7J7E786_DICBM, tr|A0A7J7E7I4|A0A7J7E7I4_DICBM, tr|A0A7J7E790|A0A7J7E790_DICBM
OG0000001	tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, sp|Q7TQQ0|O1509_MOUSE, tr|Q9R0K4|Q9R0K4_MOUSE, tr|Q0VEP0|Q0VEP0_MOUSE, tr|Q8VFU9|Q8VFU9_MOUSE, tr|Q8VFV0|Q8VFV0_MOUSE, tr|K7N659|K7N659_MOUSE, tr|Q8VFV1|Q8VFV1_MOUSE, tr|Q8VG74|Q8VG74_MOUSE, tr|Q0VDY1|Q0VDY1_MOUSE, tr|Q5SW49|Q5SW49_MOUSE, tr|Q5SW50|Q5SW50_MOUSE, tr|Q5SW48|Q5SW48_MOUSE, tr|Q8VFN1|Q8VFN1_MOUSE, tr|Q14AK5|Q14AK5_MOUSE, tr|Q8VFT5|Q8VFT5_MOUSE, tr|Q8VFC8|Q8VFC8_MOUSE, sp|Q8VFT4|OL734_MOUSE, tr|Q7TRM4|Q7TRM4_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|F6XP16|F6XP16_MOUSE, tr|A0A2I3BQA3|A0A2I3BQA3_MOUSE, tr|Q7TR16|Q7TR16_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE	tr|A0A7J7E9I0|A0A7J7E9I0_DICBM
OG0000002	tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, sp|Q60894|OLF12_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE, tr|Q8VEV5|Q8VEV5_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE, tr|Q8VG11|Q8VG11_MOUSE, tr|Q7TQQ3|Q7TQQ3_MOUSE, tr|Q8VG66|Q8VG66_MOUSE, tr|Q7TQQ2|Q7TQQ2_MOUSE, tr|Q8VG65|Q8VG65_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|A2RT31|A2RT31_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q7TR95|Q7TR95_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|A2ALD2|A2ALD2_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE, tr|Q7TS17|Q7TS17_MOUSE, tr|Q8VGU2|Q8VGU2_MOUSE, tr|A0A0U1RP76|A0A0U1RP76_MOUSE, tr|A0A286YDM5|A0A286YDM5_MOUSE, tr|Q8VFV8|Q8VFV8_MOUSE, tr|E9Q9Z6|E9Q9Z6_MOUSE, tr|Q8VF59|Q8VF59_MOUSE, tr|Q7TQR7|Q7TQR7_MOUSE, tr|A0PK57|A0PK57_MOUSE, tr|Q7TQR9|Q7TQR9_MOUSE, sp|Q8VFV4|O1440_MOUSE, tr|A0A140LHT7|A0A140LHT7_MOUSE, tr|A0A140LHS7|A0A140LHS7_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|A0A140LHS9|A0A140LHS9_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VF76|OL998_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, tr|A2AVB0|A2AVB0_MOUSE, sp|Q8VFK7|O1020_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q8VFL9|O1086_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE	tr|A0A7J7FHL3|A0A7J7FHL3_DICBM
OG0000008	sp|Q8BG84|LAIR1_MOUSE	tr|A0A7J7EMZ9|A0A7J7EMZ9_DICBM
OG0000008	tr|D3Z7A9|D3Z7A9_MOUSE	tr|A0A7J7EMF5|A0A7J7EMF5_DICBM, tr|A0A7J7EMU3|A0A7J7EMU3_DICBM, tr|A0A7J7EMF6|A0A7J7EMF6_DICBM, tr|A0A7J7ENA5|A0A7J7ENA5_DICBM, tr|A0A7J7EMM0|A0A7J7EMM0_DICBM, tr|A0A7J7EMG8|A0A7J7EMG8_DICBM, tr|A0A7J7EMB7|A0A7J7EMB7_DICBM, tr|A0A7J7EMD4|A0A7J7EMD4_DICBM, tr|A0A7J7EMS5|A0A7J7EMS5_DICBM, tr|A0A7J7EMF3|A0A7J7EMF3_DICBM, tr|A0A7J7EML4|A0A7J7EML4_DICBM, tr|A0A7J7EMR0|A0A7J7EMR0_DICBM, tr|A0A7J7EML8|A0A7J7EML8_DICBM, tr|A0A7J7EN00|A0A7J7EN00_DICBM, tr|A0A7J7EMM9|A0A7J7EMM9_DICBM, tr|A0A7J7EMC2|A0A7J7EMC2_DICBM, tr|A0A7J7EML7|A0A7J7EML7_DICBM, tr|A0A7J7EME3|A0A7J7EME3_DICBM, tr|A0A7J7EMI6|A0A7J7EMI6_DICBM, tr|A0A7J7EMR6|A0A7J7EMR6_DICBM, tr|A0A7J7EMN7|A0A7J7EMN7_DICBM, tr|A0A7J7FJ15|A0A7J7FJ15_DICBM, tr|A0A7J7EFB0|A0A7J7EFB0_DICBM, tr|A0A7J7ENH8|A0A7J7ENH8_DICBM, tr|A0A7J7EMI2|A0A7J7EMI2_DICBM, tr|A0A7J7EMN9|A0A7J7EMN9_DICBM, tr|A0A7J7EMI4|A0A7J7EMI4_DICBM, tr|A0A7J7ENG9|A0A7J7ENG9_DICBM, tr|A0A7J7EMC5|A0A7J7EMC5_DICBM, tr|A0A7J7EMQ1|A0A7J7EMQ1_DICBM, tr|A0A7J7EMF8|A0A7J7EMF8_DICBM, tr|A0A7J7EMI7|A0A7J7EMI7_DICBM, tr|A0A7J7EML0|A0A7J7EML0_DICBM, tr|A0A7J7EMH1|A0A7J7EMH1_DICBM, tr|A0A7J7EMT5|A0A7J7EMT5_DICBM, tr|A0A7J7FL55|A0A7J7FL55_DICBM, tr|A0A7J7EME8|A0A7J7EME8_DICBM, tr|A0A7J7EMG5|A0A7J7EMG5_DICBM, tr|A0A7J7EMN1|A0A7J7EMN1_DICBM, tr|A0A7J7EMP7|A0A7J7EMP7_DICBM, tr|A0A7J7EMY7|A0A7J7EMY7_DICBM, tr|A0A7J7EMK6|A0A7J7EMK6_DICBM, tr|A0A7J7EMH6|A0A7J7EMH6_DICBM, tr|A0A7J7EMX5|A0A7J7EMX5_DICBM, tr|A0A7J7EMC4|A0A7J7EMC4_DICBM, tr|A0A7J7END8|A0A7J7END8_DICBM, tr|A0A7J7ENB3|A0A7J7ENB3_DICBM, tr|A0A7J7EME7|A0A7J7EME7_DICBM, tr|A0A7J7EMV0|A0A7J7EMV0_DICBM, tr|A0A7J7EMG6|A0A7J7EMG6_DICBM, tr|A0A7J7FIR9|A0A7J7FIR9_DICBM, tr|A0A7J7EMH2|A0A7J7EMH2_DICBM, tr|A0A7J7ENF9|A0A7J7ENF9_DICBM, tr|A0A7J7EMH8|A0A7J7EMH8_DICBM, tr|A0A7J7EMG3|A0A7J7EMG3_DICBM, tr|A0A7J7EMV8|A0A7J7EMV8_DICBM, tr|A0A7J7EMP2|A0A7J7EMP2_DICBM, tr|A0A7J7EMQ8|A0A7J7EMQ8_DICBM, tr|A0A7J7EMX9|A0A7J7EMX9_DICBM
OG0000011	tr|B7ZMQ6|B7ZMQ6_MOUSE	tr|A0A7J7EMU1|A0A7J7EMU1_DICBM, tr|A0A7J7EN86|A0A7J7EN86_DICBM
OG0000011	sp|Q91Y57|SIG12_MOUSE	tr|A0A7J7ENB5|A0A7J7ENB5_DICBM, tr|A0A7J7EN50|A0A7J7EN50_DICBM, tr|A0A7J7EMU7|A0A7J7EMU7_DICBM
OG0000011	sp|Q80ZE3|SIG10_MOUSE	tr|A0A7J7EMW9|A0A7J7EMW9_DICBM, tr|A0A7J7EMY2|A0A7J7EMY2_DICBM, tr|A0A7J7ENC0|A0A7J7ENC0_DICBM, tr|A0A7J7EN37|A0A7J7EN37_DICBM, tr|A0A7J7EMX6|A0A7J7EMX6_DICBM, tr|A0A7J7EN05|A0A7J7EN05_DICBM
OG0000013	sp|Q64676|CGT_MOUSE	tr|A0A7J7F7Y1|A0A7J7F7Y1_DICBM, tr|A0A7J7F722|A0A7J7F722_DICBM, tr|A0A7J7FFL8|A0A7J7FFL8_DICBM, tr|A0A7J7FFJ3|A0A7J7FFJ3_DICBM, tr|A0A7J7FGG5|A0A7J7FGG5_DICBM, tr|A0A7J7FFG4|A0A7J7FFG4_DICBM, tr|A0A7J7FGI9|A0A7J7FGI9_DICBM, tr|A0A7J7FFS7|A0A7J7FFS7_DICBM, tr|A0A7J7FND4|A0A7J7FND4_DICBM, tr|A0A7J7FFU7|A0A7J7FFU7_DICBM, tr|A0A7J7FFW7|A0A7J7FFW7_DICBM, tr|A0A7J7FFR8|A0A7J7FFR8_DICBM, tr|A0A7J7FFJ1|A0A7J7FFJ1_DICBM, tr|A0A7J7FGI0|A0A7J7FGI0_DICBM, tr|A0A7J7FFE2|A0A7J7FFE2_DICBM, tr|A0A7J7FFF9|A0A7J7FFF9_DICBM, tr|A0A7J7FFX7|A0A7J7FFX7_DICBM, tr|A0A7J7FFK0|A0A7J7FFK0_DICBM, tr|A0A7J7FFU2|A0A7J7FFU2_DICBM, tr|A0A7J7FFI5|A0A7J7FFI5_DICBM, tr|A0A7J7FGK7|A0A7J7FGK7_DICBM, tr|A0A7J7FFI4|A0A7J7FFI4_DICBM, tr|A0A7J7FFM7|A0A7J7FFM7_DICBM, tr|A0A7J7FFM0|A0A7J7FFM0_DICBM, tr|A0A7J7FFL0|A0A7J7FFL0_DICBM, tr|A0A7J7FFI2|A0A7J7FFI2_DICBM, tr|A0A7J7FFQ5|A0A7J7FFQ5_DICBM, tr|A0A7J7FFG9|A0A7J7FFG9_DICBM, tr|A0A7J7FFV7|A0A7J7FFV7_DICBM, tr|A0A7J7FFJ2|A0A7J7FFJ2_DICBM, tr|A0A7J7FFH1|A0A7J7FFH1_DICBM, tr|A0A7J7FFN7|A0A7J7FFN7_DICBM, tr|A0A7J7FFV2|A0A7J7FFV2_DICBM, tr|A0A7J7FGL8|A0A7J7FGL8_DICBM, tr|A0A7J7EMD1|A0A7J7EMD1_DICBM, tr|A0A7J7FFN8|A0A7J7FFN8_DICBM, tr|A0A7J7FFY5|A0A7J7FFY5_DICBM, tr|A0A7J7FGN8|A0A7J7FGN8_DICBM, tr|A0A7J7FFH5|A0A7J7FFH5_DICBM, tr|A0A7J7FGM8|A0A7J7FGM8_DICBM, tr|A0A7J7FFK4|A0A7J7FFK4_DICBM, tr|A0A7J7FFS2|A0A7J7FFS2_DICBM, tr|A0A7J7FGE0|A0A7J7FGE0_DICBM, tr|A0A7J7FFP8|A0A7J7FFP8_DICBM, tr|A0A7J7FFR2|A0A7J7FFR2_DICBM, tr|A0A7J7FGJ8|A0A7J7FGJ8_DICBM, tr|A0A7J7FFK1|A0A7J7FFK1_DICBM, tr|A0A7J7FFL3|A0A7J7FFL3_DICBM, tr|A0A7J7FFP7|A0A7J7FFP7_DICBM, tr|A0A7J7FFQ8|A0A7J7FFQ8_DICBM, tr|A0A7J7FFF3|A0A7J7FFF3_DICBM
OG0000014	sp|Q8VCX1|AK1D1_MOUSE	tr|A0A7J7EG02|A0A7J7EG02_DICBM, tr|A0A7J7FKR5|A0A7J7FKR5_DICBM, tr|A0A7J7FKQ3|A0A7J7FKQ3_DICBM, tr|A0A7J7FKR6|A0A7J7FKR6_DICBM, tr|A0A7J7FIS5|A0A7J7FIS5_DICBM, tr|A0A7J7FJZ8|A0A7J7FJZ8_DICBM, tr|A0A7J7FL80|A0A7J7FL80_DICBM, tr|A0A7J7FJY9|A0A7J7FJY9_DICBM, tr|A0A7J7FKX8|A0A7J7FKX8_DICBM, tr|A0A7J7FLR5|A0A7J7FLR5_DICBM, tr|A0A7J7FIX1|A0A7J7FIX1_DICBM, tr|A0A7J7FL57|A0A7J7FL57_DICBM, tr|A0A7J7FKP2|A0A7J7FKP2_DICBM, tr|A0A7J7FIS1|A0A7J7FIS1_DICBM, tr|A0A7J7FJ33|A0A7J7FJ33_DICBM, tr|A0A7J7FIV9|A0A7J7FIV9_DICBM, tr|A0A7J7FLY2|A0A7J7FLY2_DICBM, tr|A0A7J7FKS7|A0A7J7FKS7_DICBM, tr|A0A7J7FJC7|A0A7J7FJC7_DICBM, tr|A0A7J7FKY9|A0A7J7FKY9_DICBM, tr|A0A7J7FIU3|A0A7J7FIU3_DICBM, tr|A0A7J7FIV3|A0A7J7FIV3_DICBM, tr|A0A7J7FL67|A0A7J7FL67_DICBM, tr|A0A7J7FKT1|A0A7J7FKT1_DICBM, tr|A0A7J7FLT5|A0A7J7FLT5_DICBM, tr|A0A7J7FK06|A0A7J7FK06_DICBM, tr|A0A7J7FIW2|A0A7J7FIW2_DICBM, tr|A0A7J7FLX0|A0A7J7FLX0_DICBM, tr|A0A7J7FKS0|A0A7J7FKS0_DICBM, tr|A0A7J7FKP3|A0A7J7FKP3_DICBM, tr|A0A7J7FIT3|A0A7J7FIT3_DICBM, tr|A0A7J7FKS1|A0A7J7FKS1_DICBM, tr|A0A7J7FLZ3|A0A7J7FLZ3_DICBM, tr|A0A7J7FKQ5|A0A7J7FKQ5_DICBM, tr|A0A7J7FIT2|A0A7J7FIT2_DICBM, tr|A0A7J7FIX0|A0A7J7FIX0_DICBM, tr|A0A7J7FKQ6|A0A7J7FKQ6_DICBM, tr|A0A7J7FL17|A0A7J7FL17_DICBM, tr|A0A7J7FKN6|A0A7J7FKN6_DICBM, tr|A0A7J7FKR4|A0A7J7FKR4_DICBM, tr|A0A7J7FJ42|A0A7J7FJ42_DICBM, tr|A0A7J7FLS5|A0A7J7FLS5_DICBM, tr|A0A7J7FL26|A0A7J7FL26_DICBM, tr|A0A7J7FKQ1|A0A7J7FKQ1_DICBM, tr|A0A7J7FJB7|A0A7J7FJB7_DICBM, tr|A0A7J7FJ67|A0A7J7FJ67_DICBM, tr|A0A7J7FKZ9|A0A7J7FKZ9_DICBM, tr|A0A7J7FKN2|A0A7J7FKN2_DICBM, tr|A0A7J7FJ54|A0A7J7FJ54_DICBM
OG0000016	tr|Q8CF20|Q8CF20_MOUSE	tr|A0A7J7F9H8|A0A7J7F9H8_DICBM
