Orthogroup	Mus_musculus	Camelus_dromedarius
OG0000000	sp|P97458|PROP1_MOUSE	tr|A0A5N4DUB8|A0A5N4DUB8_CAMDR, tr|A0A5N4CK59|A0A5N4CK59_CAMDR
OG0000000	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A5N4C8I0|A0A5N4C8I0_CAMDR, tr|A0A5N4DU91|A0A5N4DU91_CAMDR, tr|A0A5N4DQZ8|A0A5N4DQZ8_CAMDR, tr|A0A5N4DQA5|A0A5N4DQA5_CAMDR, tr|A0A5N4DR21|A0A5N4DR21_CAMDR
OG0000000	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A5N4DU55|A0A5N4DU55_CAMDR, tr|A0A5N4DT55|A0A5N4DT55_CAMDR, tr|A0A5N4DUP4|A0A5N4DUP4_CAMDR, tr|A0A5N4DU25|A0A5N4DU25_CAMDR
OG0000000	tr|Q80Y34|Q80Y34_MOUSE	tr|A0A5N4CH67|A0A5N4CH67_CAMDR, tr|A0A5N4CFZ7|A0A5N4CFZ7_CAMDR, tr|A0A5N4CMI5|A0A5N4CMI5_CAMDR
OG0000006	sp|Q60878|OL140_MOUSE	tr|A0A5N4DM37|A0A5N4DM37_CAMDR
OG0000006	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A5N4DM62|A0A5N4DM62_CAMDR
OG0000006	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A5N4DNF3|A0A5N4DNF3_CAMDR, tr|A0A5N4DNQ5|A0A5N4DNQ5_CAMDR, tr|A0A5N4DMQ6|A0A5N4DMQ6_CAMDR, tr|A0A5N4CBL8|A0A5N4CBL8_CAMDR
OG0000006	tr|Q8VGM8|Q8VGM8_MOUSE	tr|A0A5N4DNP5|A0A5N4DNP5_CAMDR, tr|A0A5N4DNG4|A0A5N4DNG4_CAMDR, tr|A0A5N4DP39|A0A5N4DP39_CAMDR, tr|A0A5N4DMW7|A0A5N4DMW7_CAMDR, tr|A0A5N4CD02|A0A5N4CD02_CAMDR
OG0000006	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A5N4DL90|A0A5N4DL90_CAMDR, tr|A0A5N4DNI3|A0A5N4DNI3_CAMDR, tr|A0A5N4DMJ3|A0A5N4DMJ3_CAMDR, tr|A0A5N4DM41|A0A5N4DM41_CAMDR, tr|A0A5N4CBN7|A0A5N4CBN7_CAMDR, tr|A0A5N4DP73|A0A5N4DP73_CAMDR, tr|A0A5N4DNI6|A0A5N4DNI6_CAMDR
OG0000012	tr|Q9CXH3|Q9CXH3_MOUSE, tr|A2ANU7|A2ANU7_MOUSE, tr|B8JJZ4|B8JJZ4_MOUSE, tr|K7N6H3|K7N6H3_MOUSE, tr|A0A1Y7VJW0|A0A1Y7VJW0_MOUSE, tr|A0A087WPN2|A0A087WPN2_MOUSE, tr|A0A0J9YUW3|A0A0J9YUW3_MOUSE, tr|Q14DI0|Q14DI0_MOUSE, tr|A0A1Y7VIZ1|A0A1Y7VIZ1_MOUSE, tr|Q99LG7|Q99LG7_MOUSE, tr|L7N208|L7N208_MOUSE, tr|K7N769|K7N769_MOUSE, tr|Q9D308|Q9D308_MOUSE, tr|J3QPX0|J3QPX0_MOUSE, tr|A0A1Y7VK00|A0A1Y7VK00_MOUSE, tr|A0A087WRJ1|A0A087WRJ1_MOUSE, tr|J3QK55|J3QK55_MOUSE, tr|Q6PEE4|Q6PEE4_MOUSE, tr|A0A1B0GT13|A0A1B0GT13_MOUSE, tr|E9QAG4|E9QAG4_MOUSE, tr|D3Z5Y8|D3Z5Y8_MOUSE, sp|E9QAG8|ZN431_MOUSE, tr|A0A338P6D3|A0A338P6D3_MOUSE, tr|A0A338P6F4|A0A338P6F4_MOUSE, tr|D3Z5L4|D3Z5L4_MOUSE, tr|A0A1B0GRI2|A0A1B0GRI2_MOUSE, tr|Q7TPX5|Q7TPX5_MOUSE, tr|Q3TPQ7|Q3TPQ7_MOUSE, tr|A0A0U1RQ46|A0A0U1RQ46_MOUSE, tr|A0A1B0GRI9|A0A1B0GRI9_MOUSE, tr|L7N2E7|L7N2E7_MOUSE, tr|Q3ULA8|Q3ULA8_MOUSE, tr|L7N248|L7N248_MOUSE, tr|E9Q6S4|E9Q6S4_MOUSE, tr|E9Q981|E9Q981_MOUSE, tr|Q6NVD6|Q6NVD6_MOUSE, tr|G3UY53|G3UY53_MOUSE, tr|A0A6I8MX06|A0A6I8MX06_MOUSE, tr|A0A1D5RM15|A0A1D5RM15_MOUSE, tr|A0A087WRH0|A0A087WRH0_MOUSE, tr|L7N267|L7N267_MOUSE, tr|E9PZP6|E9PZP6_MOUSE, tr|F7D043|F7D043_MOUSE, tr|J3KMP8|J3KMP8_MOUSE	tr|A0A5N4CKP3|A0A5N4CKP3_CAMDR, tr|A0A5N4CL42|A0A5N4CL42_CAMDR
OG0000015	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A5N4CSR7|A0A5N4CSR7_CAMDR
OG0000015	sp|Q8BGS3|ZKSC1_MOUSE	tr|A0A5N4CW14|A0A5N4CW14_CAMDR
OG0000015	sp|Q07231|ZSC21_MOUSE	tr|A0A5N4CS26|A0A5N4CS26_CAMDR, tr|A0A5N4CW16|A0A5N4CW16_CAMDR
OG0000015	sp|Q91VN1|ZNF24_MOUSE	tr|A0A5N4CH80|A0A5N4CH80_CAMDR, tr|A0A5N4CHC2|A0A5N4CHC2_CAMDR
OG0000015	sp|Q8R2V3|ZN445_MOUSE	tr|A0A5N4CYZ2|A0A5N4CYZ2_CAMDR
OG0000015	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A5N4CZX0|A0A5N4CZX0_CAMDR
OG0000015	tr|G3X9I0|G3X9I0_MOUSE	tr|A0A5N4CZU5|A0A5N4CZU5_CAMDR
OG0000015	tr|Q8BGS5|Q8BGS5_MOUSE	tr|A0A5N4DRQ8|A0A5N4DRQ8_CAMDR
OG0000015	sp|Q9Z1D9|ZN394_MOUSE	tr|A0A5N4CXZ1|A0A5N4CXZ1_CAMDR
OG0000015	sp|Q9EQB9|ZN287_MOUSE	tr|A0A5N4EIZ4|A0A5N4EIZ4_CAMDR, tr|A0A5N4C2F0|A0A5N4C2F0_CAMDR, tr|A0A5N4DLS1|A0A5N4DLS1_CAMDR, tr|A0A5N4DS13|A0A5N4DS13_CAMDR, tr|A0A5N4D3Y7|A0A5N4D3Y7_CAMDR
OG0000015	tr|B2RTN3|B2RTN3_MOUSE	tr|A0A5N4DVU2|A0A5N4DVU2_CAMDR, tr|A0A5N4CEP4|A0A5N4CEP4_CAMDR, tr|A0A5N4CYY4|A0A5N4CYY4_CAMDR, tr|A0A5N4DRN0|A0A5N4DRN0_CAMDR, tr|A0A5N4DQ68|A0A5N4DQ68_CAMDR, tr|A0A5N4DPU1|A0A5N4DPU1_CAMDR
OG0000015	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A5N4CSP5|A0A5N4CSP5_CAMDR, tr|A0A5N4CHB0|A0A5N4CHB0_CAMDR
OG0000022	sp|P29391|FRIL1_MOUSE	tr|A0A5N4C295|A0A5N4C295_CAMDR, tr|A0A5N4DTN0|A0A5N4DTN0_CAMDR, tr|A0A5N4EER0|A0A5N4EER0_CAMDR, tr|A0A5N4EG83|A0A5N4EG83_CAMDR, tr|A0A5N4C1I0|A0A5N4C1I0_CAMDR, tr|A0A5N4C6K0|A0A5N4C6K0_CAMDR, tr|A0A5N4C6K8|A0A5N4C6K8_CAMDR, tr|A0A5N4E603|A0A5N4E603_CAMDR, tr|A0A5N4DCT0|A0A5N4DCT0_CAMDR, tr|A0A5N4DCY0|A0A5N4DCY0_CAMDR, tr|A0A5N4EEP9|A0A5N4EEP9_CAMDR, tr|A0A5N4DXG9|A0A5N4DXG9_CAMDR, tr|A0A5N4E570|A0A5N4E570_CAMDR, tr|A0A5N4DEH8|A0A5N4DEH8_CAMDR, tr|A0A5N4CZ23|A0A5N4CZ23_CAMDR, tr|A0A5N4CHM4|A0A5N4CHM4_CAMDR, tr|A0A5N4CX51|A0A5N4CX51_CAMDR, tr|A0A5N4CL12|A0A5N4CL12_CAMDR, tr|A0A5N4CUL4|A0A5N4CUL4_CAMDR, tr|A0A5N4CRC9|A0A5N4CRC9_CAMDR, tr|A0A5N4EF99|A0A5N4EF99_CAMDR, tr|A0A5N4DM95|A0A5N4DM95_CAMDR, tr|A0A5N4DEC7|A0A5N4DEC7_CAMDR, tr|A0A5N4CHF6|A0A5N4CHF6_CAMDR, tr|A0A5N4C0N9|A0A5N4C0N9_CAMDR, tr|A0A5N4CG99|A0A5N4CG99_CAMDR, tr|A0A5N4E5D8|A0A5N4E5D8_CAMDR, tr|A0A5N4DQ75|A0A5N4DQ75_CAMDR, tr|A0A5N4E3N2|A0A5N4E3N2_CAMDR, tr|A0A5N4DR13|A0A5N4DR13_CAMDR, tr|A0A5N4DQN4|A0A5N4DQN4_CAMDR, tr|A0A5N4DVQ6|A0A5N4DVQ6_CAMDR, tr|A0A5N4DHZ1|A0A5N4DHZ1_CAMDR
OG0000024	tr|Q7TQU0|Q7TQU0_MOUSE	tr|A0A5N4CT42|A0A5N4CT42_CAMDR
OG0000024	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A5N4CS97|A0A5N4CS97_CAMDR, tr|A0A5N4EC60|A0A5N4EC60_CAMDR
OG0000024	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A5N4CQY8|A0A5N4CQY8_CAMDR, tr|A0A5N4EDG6|A0A5N4EDG6_CAMDR, tr|A0A5N4CS62|A0A5N4CS62_CAMDR
OG0000024	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A5N4CQS7|A0A5N4CQS7_CAMDR, tr|A0A5N4CQP4|A0A5N4CQP4_CAMDR, tr|A0A5N4CQK3|A0A5N4CQK3_CAMDR
OG0000024	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A5N4ECK4|A0A5N4ECK4_CAMDR, tr|A0A5N4CT05|A0A5N4CT05_CAMDR, tr|A0A5N4CT39|A0A5N4CT39_CAMDR, tr|A0A5N4ED52|A0A5N4ED52_CAMDR, tr|A0A5N4CQT1|A0A5N4CQT1_CAMDR
OG0000024	tr|Q8VGC8|Q8VGC8_MOUSE	tr|A0A5N4CT47|A0A5N4CT47_CAMDR, tr|A0A5N4CSA5|A0A5N4CSA5_CAMDR, tr|A0A5N4CT56|A0A5N4CT56_CAMDR, tr|A0A5N4CT01|A0A5N4CT01_CAMDR, tr|A0A5N4CT76|A0A5N4CT76_CAMDR
OG0000025	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A5N4C1U1|A0A5N4C1U1_CAMDR, tr|A0A5N4C207|A0A5N4C207_CAMDR
OG0000025	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A5N4C3D8|A0A5N4C3D8_CAMDR, tr|A0A5N4C428|A0A5N4C428_CAMDR, tr|A0A5N4C3D2|A0A5N4C3D2_CAMDR, tr|A0A5N4C3H4|A0A5N4C3H4_CAMDR
OG0000025	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A5N4C0N1|A0A5N4C0N1_CAMDR
OG0000025	tr|G3UW88|G3UW88_MOUSE	tr|A0A5N4C3W8|A0A5N4C3W8_CAMDR, tr|A0A5N4C5D5|A0A5N4C5D5_CAMDR, tr|A0A5N4C1H9|A0A5N4C1H9_CAMDR, tr|A0A5N4C3Y1|A0A5N4C3Y1_CAMDR, tr|A0A5N4C0H4|A0A5N4C0H4_CAMDR, tr|A0A5N4C3Y2|A0A5N4C3Y2_CAMDR, tr|A0A5N4C2X7|A0A5N4C2X7_CAMDR, tr|A0A5N4C2Y4|A0A5N4C2Y4_CAMDR, tr|A0A5N4C2X8|A0A5N4C2X8_CAMDR
OG0000026	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A5N4C5Y0|A0A5N4C5Y0_CAMDR
OG0000026	sp|Q64523|H2A2C_MOUSE	tr|A0A5N4CPA9|A0A5N4CPA9_CAMDR
OG0000026	sp|Q8BFU2|H2A3_MOUSE	tr|A0A5N4ECK2|A0A5N4ECK2_CAMDR
OG0000026	sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE8|H2A1O_MOUSE	tr|A0A5N4CRX1|A0A5N4CRX1_CAMDR, tr|A0A5N4CQG0|A0A5N4CQG0_CAMDR
OG0000026	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A5N4CRZ2|A0A5N4CRZ2_CAMDR
OG0000026	sp|Q64522|H2A2B_MOUSE	tr|A0A5N4CSL0|A0A5N4CSL0_CAMDR, tr|A0A5N4CSJ4|A0A5N4CSJ4_CAMDR, tr|A0A5N4CPQ6|A0A5N4CPQ6_CAMDR
OG0000033	sp|P60710|ACTB_MOUSE	tr|A0A5N4CXK3|A0A5N4CXK3_CAMDR
OG0000033	sp|P63268|ACTH_MOUSE	tr|A0A5N4D8E6|A0A5N4D8E6_CAMDR
OG0000033	sp|P62737|ACTA_MOUSE	tr|A0A5N4DKK2|A0A5N4DKK2_CAMDR
OG0000033	sp|P68033|ACTC_MOUSE	tr|A0A5N4E3X1|A0A5N4E3X1_CAMDR
OG0000033	sp|P68134|ACTS_MOUSE	tr|A0A5N4DKR6|A0A5N4DKR6_CAMDR
OG0000033	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A5N4EE23|A0A5N4EE23_CAMDR
OG0000033	sp|P63260|ACTG_MOUSE	tr|A0A5N4DKD7|A0A5N4DKD7_CAMDR
OG0000033	tr|D3YYH9|D3YYH9_MOUSE	tr|A0A5N4C1E9|A0A5N4C1E9_CAMDR, tr|A0A5N4D960|A0A5N4D960_CAMDR, tr|A0A5N4DKD4|A0A5N4DKD4_CAMDR, tr|A0A5N4E7Z1|A0A5N4E7Z1_CAMDR, tr|A0A5N4C4H5|A0A5N4C4H5_CAMDR, tr|A0A5N4D8D2|A0A5N4D8D2_CAMDR, tr|A0A5N4D987|A0A5N4D987_CAMDR, tr|A0A5N4D5Y5|A0A5N4D5Y5_CAMDR, tr|A0A5N4C3D7|A0A5N4C3D7_CAMDR, tr|A0A5N4EIK2|A0A5N4EIK2_CAMDR, tr|A0A5N4D5V5|A0A5N4D5V5_CAMDR, tr|A0A5N4EC89|A0A5N4EC89_CAMDR, tr|A0A5N4D9I7|A0A5N4D9I7_CAMDR, tr|A0A5N4C4G2|A0A5N4C4G2_CAMDR, tr|A0A5N4DAS1|A0A5N4DAS1_CAMDR
OG0000034	tr|Q5NC45|Q5NC45_MOUSE	tr|A0A5N4EBH0|A0A5N4EBH0_CAMDR
OG0000034	sp|Q8VGD6|OLF56_MOUSE	tr|A0A5N4EB80|A0A5N4EB80_CAMDR
OG0000034	tr|Q7TQS8|Q7TQS8_MOUSE	tr|A0A5N4EEW1|A0A5N4EEW1_CAMDR
OG0000034	tr|Q8VF37|Q8VF37_MOUSE	tr|A0A5N4ED14|A0A5N4ED14_CAMDR, tr|A0A5N4EEQ3|A0A5N4EEQ3_CAMDR
OG0000034	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A5N4EEG3|A0A5N4EEG3_CAMDR, tr|A0A5N4EFH0|A0A5N4EFH0_CAMDR
OG0000036	sp|P07744|K2C4_MOUSE	tr|A0A5N4DFY6|A0A5N4DFY6_CAMDR
OG0000036	sp|Q8VED5|K2C79_MOUSE	tr|A0A5N4DG07|A0A5N4DG07_CAMDR
OG0000036	sp|Q6IME9|K2C72_MOUSE	tr|A0A5N4DHH0|A0A5N4DHH0_CAMDR
OG0000036	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A5N4DHG7|A0A5N4DHG7_CAMDR
OG0000036	sp|Q6NXH9|K2C73_MOUSE	tr|A0A5N4DHC7|A0A5N4DHC7_CAMDR
OG0000036	sp|Q9R0H5|K2C71_MOUSE	tr|A0A5N4DHB4|A0A5N4DHB4_CAMDR
OG0000036	sp|Q3TTY5|K22E_MOUSE	tr|A0A5N4DG47|A0A5N4DG47_CAMDR, tr|A0A5N4DH75|A0A5N4DH75_CAMDR, tr|A0A5N4DH91|A0A5N4DH91_CAMDR
OG0000036	sp|Q3UV17|K22O_MOUSE	tr|A0A5N4DGN6|A0A5N4DGN6_CAMDR, tr|A0A5N4DFR9|A0A5N4DFR9_CAMDR, tr|A0A5N4DH39|A0A5N4DH39_CAMDR, tr|A0A5N4DH16|A0A5N4DH16_CAMDR, tr|A0A5N4DGU2|A0A5N4DGU2_CAMDR, tr|A0A5N4DFQ0|A0A5N4DFQ0_CAMDR, tr|A0A5N4DHW9|A0A5N4DHW9_CAMDR, tr|A0A5N4C4X2|A0A5N4C4X2_CAMDR, tr|A0A5N4DFY1|A0A5N4DFY1_CAMDR, tr|A0A5N4DG55|A0A5N4DG55_CAMDR
OG0000037	tr|Q8VGG6|Q8VGG6_MOUSE	tr|A0A5N4CMC8|A0A5N4CMC8_CAMDR
OG0000037	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A5N4CK97|A0A5N4CK97_CAMDR
OG0000037	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A5N4EB56|A0A5N4EB56_CAMDR
OG0000037	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A5N4CLM8|A0A5N4CLM8_CAMDR, tr|A0A5N4CMJ1|A0A5N4CMJ1_CAMDR, tr|A0A5N4CM40|A0A5N4CM40_CAMDR, tr|A0A5N4CM44|A0A5N4CM44_CAMDR, tr|A0A5N4CM94|A0A5N4CM94_CAMDR, tr|A0A5N4CX20|A0A5N4CX20_CAMDR, tr|A0A5N4CL90|A0A5N4CL90_CAMDR, tr|A0A5N4CK81|A0A5N4CK81_CAMDR, tr|A0A5N4CM49|A0A5N4CM49_CAMDR
OG0000042	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A5N4EC75|A0A5N4EC75_CAMDR
OG0000042	sp|Q64525|H2B2B_MOUSE	tr|A0A5N4CPM8|A0A5N4CPM8_CAMDR
OG0000042	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A5N4CNY7|A0A5N4CNY7_CAMDR, tr|A0A5N4CQJ7|A0A5N4CQJ7_CAMDR, tr|A0A5N4CQM3|A0A5N4CQM3_CAMDR, tr|A0A5N4CT25|A0A5N4CT25_CAMDR, tr|A0A5N4CRF8|A0A5N4CRF8_CAMDR
OG0000042	sp|P10854|H2B1M_MOUSE	tr|A0A5N4CRE9|A0A5N4CRE9_CAMDR, tr|A0A5N4CRG6|A0A5N4CRG6_CAMDR, tr|A0A5N4CQG6|A0A5N4CQG6_CAMDR, tr|A0A5N4DZP4|A0A5N4DZP4_CAMDR, tr|A0A5N4C3C1|A0A5N4C3C1_CAMDR, tr|A0A5N4C379|A0A5N4C379_CAMDR, tr|A0A5N4C3A7|A0A5N4C3A7_CAMDR, tr|A0A5N4C2Y0|A0A5N4C2Y0_CAMDR, tr|A0A5N4C3B3|A0A5N4C3B3_CAMDR, tr|A0A5N4CSH4|A0A5N4CSH4_CAMDR
OG0000048	sp|Q9QWL7|K1C17_MOUSE	tr|A0A5N4D3C7|A0A5N4D3C7_CAMDR
OG0000048	sp|P08730|K1C13_MOUSE	tr|A0A5N4D320|A0A5N4D320_CAMDR
OG0000048	sp|Q61414|K1C15_MOUSE	tr|A0A5N4D312|A0A5N4D312_CAMDR
OG0000048	sp|P02535|K1C10_MOUSE	tr|A0A5N4D5C0|A0A5N4D5C0_CAMDR
OG0000048	sp|Q64291|K1C12_MOUSE	tr|A0A5N4D546|A0A5N4D546_CAMDR, tr|A0A5N4D369|A0A5N4D369_CAMDR
OG0000048	sp|P19001|K1C19_MOUSE	tr|A0A5N4CAY7|A0A5N4CAY7_CAMDR, tr|A0A5N4D361|A0A5N4D361_CAMDR
OG0000048	sp|Q9Z2K1|K1C16_MOUSE, sp|Q61781|K1C14_MOUSE	tr|A0A5N4D371|A0A5N4D371_CAMDR
OG0000048	sp|Q6IFX2|K1C42_MOUSE	tr|A0A5N4D3L8|A0A5N4D3L8_CAMDR
OG0000049	sp|Q91ZB7|MRGRE_MOUSE, sp|Q91ZB5|MRGRG_MOUSE, sp|Q91ZB8|MRGRD_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE	tr|A0A5N4DML7|A0A5N4DML7_CAMDR
OG0000050	sp|P49935|CATH_MOUSE, sp|P56203|CATW_MOUSE, sp|Q9R013|CATF_MOUSE, sp|P13438|TSP_MOUSE, tr|Q9CQC0|Q9CQC0_MOUSE, sp|P12400|CTL2B_MOUSE, sp|P12399|CTL2A_MOUSE, sp|P55097|CATK_MOUSE, sp|O70370|CATS_MOUSE, sp|Q91ZF2|CAT7_MOUSE, tr|Q9ET52|Q9ET52_MOUSE, sp|Q9JIA9|CATR_MOUSE, tr|Q91ZF4|Q91ZF4_MOUSE, sp|Q9R014|CATJ_MOUSE, tr|Q91ZD5|Q91ZD5_MOUSE, sp|Q9JL96|CATM_MOUSE, sp|Q9JI81|CAT8_MOUSE, sp|Q80UB0|TEST2_MOUSE, tr|Q3ULP7|Q3ULP7_MOUSE, tr|E9Q623|E9Q623_MOUSE, sp|P06797|CATL1_MOUSE	tr|A0A5N4CDV5|A0A5N4CDV5_CAMDR
OG0000052	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A5N4E0Q1|A0A5N4E0Q1_CAMDR
OG0000052	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A5N4E0M9|A0A5N4E0M9_CAMDR
OG0000052	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A5N4E453|A0A5N4E453_CAMDR
OG0000052	tr|Q8VF41|Q8VF41_MOUSE	tr|A0A5N4E528|A0A5N4E528_CAMDR, tr|A0A5N4E386|A0A5N4E386_CAMDR, tr|A0A5N4E237|A0A5N4E237_CAMDR, tr|A0A5N4E3Q3|A0A5N4E3Q3_CAMDR, tr|A0A5N4E243|A0A5N4E243_CAMDR, tr|A0A5N4E3C6|A0A5N4E3C6_CAMDR, tr|A0A5N4E2L5|A0A5N4E2L5_CAMDR, tr|A0A5N4E3S4|A0A5N4E3S4_CAMDR, tr|A0A5N4E3L8|A0A5N4E3L8_CAMDR, tr|A0A5N4E3B6|A0A5N4E3B6_CAMDR, tr|A0A5N4E4A1|A0A5N4E4A1_CAMDR, tr|A0A5N4E3H7|A0A5N4E3H7_CAMDR, tr|A0A5N4E3L0|A0A5N4E3L0_CAMDR
OG0000053	sp|Q04736|YES_MOUSE	tr|A0A5N4CHI0|A0A5N4CHI0_CAMDR, tr|A0A5N4DWY5|A0A5N4DWY5_CAMDR, tr|A0A5N4DCP8|A0A5N4DCP8_CAMDR
OG0000053	sp|P05480|SRC_MOUSE	tr|A0A5N4CUW3|A0A5N4CUW3_CAMDR
OG0000053	sp|P06240|LCK_MOUSE	tr|A0A5N4DAC2|A0A5N4DAC2_CAMDR
OG0000053	sp|P08103|HCK_MOUSE, sp|P25911|LYN_MOUSE	tr|A0A5N4CAN7|A0A5N4CAN7_CAMDR, tr|A0A5N4CU26|A0A5N4CU26_CAMDR
OG0000053	sp|Q922K9|FRK_MOUSE, sp|P70451|FER_MOUSE, sp|P16879|FES_MOUSE, sp|Q62270|SRMS_MOUSE, sp|Q64434|PTK6_MOUSE	tr|A0A5N4CTV0|A0A5N4CTV0_CAMDR
