Orthogroup	Mus_musculus	Equus_asinus_asinus
OG0000003	tr|A0A075B5T5|A0A075B5T5_MOUSE, tr|A0A0B4J1J7|A0A0B4J1J7_MOUSE, tr|A0A0B4J1N0|A0A0B4J1N0_MOUSE, tr|A0A075B680|A0A075B680_MOUSE, tr|A0A075B674|A0A075B674_MOUSE, tr|A0A0B4J1M0|A0A0B4J1M0_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE, tr|A0A075B5W7|A0A075B5W7_MOUSE, tr|A0A075B5V9|A0A075B5V9_MOUSE, tr|A0A075B5Y3|A0A075B5Y3_MOUSE, tr|A0A075B5T8|A0A075B5T8_MOUSE, tr|A0A075B5T9|A0A075B5T9_MOUSE, tr|A0A075B5X2|A0A075B5X2_MOUSE, tr|A0A075B5W9|A0A075B5W9_MOUSE, tr|A0A075B5Y4|A0A075B5Y4_MOUSE, tr|A0A075B5U7|A0A075B5U7_MOUSE, tr|A0A0A6YXA5|A0A0A6YXA5_MOUSE, tr|A0A0A6YVW3|A0A0A6YVW3_MOUSE, tr|A0A075B5V2|A0A075B5V2_MOUSE, tr|A0A075B5U4|A0A075B5U4_MOUSE, tr|A0A075B5U6|A0A075B5U6_MOUSE, sp|P01747|HVM03_MOUSE, sp|P01746|HVM02_MOUSE, sp|P01741|HVM00_MOUSE, sp|P01745|HVM01_MOUSE, sp|P06329|HVM50_MOUSE, sp|P01757|HVM13_MOUSE, sp|P01756|HVM12_MOUSE, sp|P06330|HVM51_MOUSE, tr|A0A075B5V1|A0A075B5V1_MOUSE, tr|A0A075B5V6|A0A075B5V6_MOUSE, tr|A0A075B5V7|A0A075B5V7_MOUSE, tr|A0A075B5U1|A0A075B5U1_MOUSE, tr|A0A075B5U9|A0A075B5U9_MOUSE, tr|A0A075B5V8|A0A075B5V8_MOUSE, sp|P01759|HVM15_MOUSE, tr|A0A075B5X6|A0A075B5X6_MOUSE, tr|A0A075B5V4|A0A075B5V4_MOUSE, tr|A0A075B5V3|A0A075B5V3_MOUSE, tr|A0A075B5U5|A0A075B5U5_MOUSE, tr|A0A075B5V0|A0A075B5V0_MOUSE, sp|P01758|HVM14_MOUSE, tr|A0A075B5V5|A0A075B5V5_MOUSE, tr|A0A075B5Y6|A0A075B5Y6_MOUSE, sp|P06327|HVM52_MOUSE, tr|A0A075B5Y2|A0A075B5Y2_MOUSE, tr|A0A075B5X5|A0A075B5X5_MOUSE, tr|A0A075B5W5|A0A075B5W5_MOUSE, tr|A0A075B5T4|A0A075B5T4_MOUSE, tr|A0A075B5T7|A0A075B5T7_MOUSE, tr|A0A075B5R9|A0A075B5R9_MOUSE, tr|A0A075B5R7|A0A075B5R7_MOUSE, tr|A0A075B5R4|A0A075B5R4_MOUSE, tr|A0A075B5S3|A0A075B5S3_MOUSE, tr|A0A075B5X3|A0A075B5X3_MOUSE, sp|P01748|HVM04_MOUSE, tr|A0A075B5W3|A0A075B5W3_MOUSE, sp|P01754|HVM10_MOUSE, sp|P06328|HVM49_MOUSE, sp|P01753|HVM09_MOUSE, sp|P03980|HVM48_MOUSE, tr|A0A0A6YWI9|A0A0A6YWI9_MOUSE, tr|A0A075B5W6|A0A075B5W6_MOUSE, tr|A0A075B5X7|A0A075B5X7_MOUSE, tr|A0A075B5X0|A0A075B5X0_MOUSE, tr|A0A075B5W1|A0A075B5W1_MOUSE, sp|P01750|HVM06_MOUSE, tr|A0A075B5Y1|A0A075B5Y1_MOUSE, tr|A0A075B5W2|A0A075B5W2_MOUSE, sp|P01749|HVM05_MOUSE	tr|A0A8C4MTF2|A0A8C4MTF2_EQUAS
OG0000008	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A8C4ME88|A0A8C4ME88_EQUAS
OG0000008	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A8C4MPP7|A0A8C4MPP7_EQUAS
OG0000008	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A8C4MGM8|A0A8C4MGM8_EQUAS, tr|A0A8C4MEQ0|A0A8C4MEQ0_EQUAS, tr|A0A8C4MEA6|A0A8C4MEA6_EQUAS
OG0000008	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A8C4MEF9|A0A8C4MEF9_EQUAS
OG0000008	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A8C4MEG8|A0A8C4MEG8_EQUAS, tr|A0A8C4ME62|A0A8C4ME62_EQUAS, tr|A0A8C4MHC0|A0A8C4MHC0_EQUAS, tr|A0A8C4MEL2|A0A8C4MEL2_EQUAS
OG0000008	tr|Q8VF41|Q8VF41_MOUSE	tr|A0A8C4MG29|A0A8C4MG29_EQUAS, tr|A0A8C4MPD7|A0A8C4MPD7_EQUAS, tr|A0A8C4MPM7|A0A8C4MPM7_EQUAS, tr|A0A8C4MMU9|A0A8C4MMU9_EQUAS, tr|A0A8C4ME42|A0A8C4ME42_EQUAS, tr|A0A8C4MHA3|A0A8C4MHA3_EQUAS
OG0000008	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A8C4MPE7|A0A8C4MPE7_EQUAS, tr|A0A8C4MEH7|A0A8C4MEH7_EQUAS, tr|A0A8C4MG50|A0A8C4MG50_EQUAS, tr|A0A8C4MDY7|A0A8C4MDY7_EQUAS, tr|A0A8C4MGC2|A0A8C4MGC2_EQUAS
OG0000010	tr|E9Q1J0|E9Q1J0_MOUSE	tr|A0A8C4L631|A0A8C4L631_EQUAS
OG0000010	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A8C4KRF0|A0A8C4KRF0_EQUAS
OG0000010	sp|Q8BQC8|RBAK_MOUSE	tr|A0A8C4KPW1|A0A8C4KPW1_EQUAS
OG0000010	tr|Q640N4|Q640N4_MOUSE	tr|A0A8C4MNM7|A0A8C4MNM7_EQUAS, tr|A0A8C4PTD9|A0A8C4PTD9_EQUAS, tr|A0A8C4MV66|A0A8C4MV66_EQUAS, tr|A0A8C4LBL1|A0A8C4LBL1_EQUAS, tr|A0A8C4LDW0|A0A8C4LDW0_EQUAS, tr|A0A8C4LJN3|A0A8C4LJN3_EQUAS
OG0000012	tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE	tr|A0A8C4KU80|A0A8C4KU80_EQUAS
OG0000012	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A8C4L1L1|A0A8C4L1L1_EQUAS, tr|A0A8C4L3U0|A0A8C4L3U0_EQUAS, tr|A0A8C4KVU0|A0A8C4KVU0_EQUAS, tr|A0A8C4PG19|A0A8C4PG19_EQUAS, tr|A0A8C4L047|A0A8C4L047_EQUAS, tr|A0A8C4KUH0|A0A8C4KUH0_EQUAS, tr|A0A8C4PFU5|A0A8C4PFU5_EQUAS, tr|A0A8C4LRF0|A0A8C4LRF0_EQUAS, tr|A0A8C4LQP5|A0A8C4LQP5_EQUAS, tr|A0A8C4LYI7|A0A8C4LYI7_EQUAS
OG0000012	tr|Q8VG45|Q8VG45_MOUSE	tr|A0A8C4LYJ7|A0A8C4LYJ7_EQUAS, tr|A0A8C4KY27|A0A8C4KY27_EQUAS, tr|A0A8C4LQL6|A0A8C4LQL6_EQUAS, tr|A0A8C4LRY2|A0A8C4LRY2_EQUAS, tr|A0A8C4PLW2|A0A8C4PLW2_EQUAS, tr|A0A8C4LQ54|A0A8C4LQ54_EQUAS, tr|A0A8C4L1Q8|A0A8C4L1Q8_EQUAS, tr|A0A8C4KW48|A0A8C4KW48_EQUAS, tr|A0A8C4LQQ6|A0A8C4LQQ6_EQUAS, tr|A0A8C4LRZ0|A0A8C4LRZ0_EQUAS, tr|A0A8C4L3N9|A0A8C4L3N9_EQUAS, tr|A0A8C4KVL4|A0A8C4KVL4_EQUAS, tr|A0A8C4LT63|A0A8C4LT63_EQUAS, tr|A0A8C4PLL0|A0A8C4PLL0_EQUAS, tr|A0A8C4LYF8|A0A8C4LYF8_EQUAS
OG0000012	tr|Q8VF26|Q8VF26_MOUSE	tr|A0A8C4L1D1|A0A8C4L1D1_EQUAS, tr|A0A8C4LYH6|A0A8C4LYH6_EQUAS, tr|A0A8C4LNV3|A0A8C4LNV3_EQUAS
OG0000019	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A8C4KY38|A0A8C4KY38_EQUAS
OG0000019	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A8C4KXF3|A0A8C4KXF3_EQUAS, tr|A0A8C4PGE2|A0A8C4PGE2_EQUAS, tr|A0A8C4KW33|A0A8C4KW33_EQUAS, tr|A0A8C4L3G7|A0A8C4L3G7_EQUAS, tr|A0A8C4KXD9|A0A8C4KXD9_EQUAS, tr|A0A8C4KY19|A0A8C4KY19_EQUAS, tr|A0A8C4L3I0|A0A8C4L3I0_EQUAS, tr|A0A8C4L1W0|A0A8C4L1W0_EQUAS, tr|A0A8C4KZV1|A0A8C4KZV1_EQUAS, tr|A0A8C4PGE8|A0A8C4PGE8_EQUAS
OG0000019	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A8C4PGF7|A0A8C4PGF7_EQUAS, tr|A0A8C4KYW8|A0A8C4KYW8_EQUAS, tr|A0A8C4L3Q4|A0A8C4L3Q4_EQUAS, tr|A0A8C4KXR8|A0A8C4KXR8_EQUAS, tr|A0A8C4L222|A0A8C4L222_EQUAS, tr|A0A8C4L5S2|A0A8C4L5S2_EQUAS, tr|A0A8C4PGF1|A0A8C4PGF1_EQUAS, tr|A0A8C4KW92|A0A8C4KW92_EQUAS, tr|A0A8C4L5T8|A0A8C4L5T8_EQUAS, tr|A0A8C4L232|A0A8C4L232_EQUAS, tr|A0A8C4KXS7|A0A8C4KXS7_EQUAS, tr|A0A8C4KYU0|A0A8C4KYU0_EQUAS, tr|A0A8C4KXL9|A0A8C4KXL9_EQUAS, tr|A0A8C4KZR1|A0A8C4KZR1_EQUAS, tr|A0A8C4KYN7|A0A8C4KYN7_EQUAS, tr|A0A8C4KYH1|A0A8C4KYH1_EQUAS
OG0000020	sp|Q3UV17|K22O_MOUSE	tr|A0A8C4PKV5|A0A8C4PKV5_EQUAS, tr|A0A8C4LUM7|A0A8C4LUM7_EQUAS
OG0000020	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|A0A8C4LLV0|A0A8C4LLV0_EQUAS
OG0000020	sp|Q9DCV7|K2C7_MOUSE	tr|A0A8C4PKX0|A0A8C4PKX0_EQUAS
OG0000020	sp|Q922U2|K2C5_MOUSE	tr|A0A8C4LSV2|A0A8C4LSV2_EQUAS
OG0000020	sp|Q8BGZ7|K2C75_MOUSE	tr|A0A8C4LL13|A0A8C4LL13_EQUAS
OG0000020	sp|Q8VED5|K2C79_MOUSE	tr|A0A8C4LUP9|A0A8C4LUP9_EQUAS
OG0000020	sp|P07744|K2C4_MOUSE	tr|A0A8C4LKH1|A0A8C4LKH1_EQUAS, tr|A0A8C4LUP0|A0A8C4LUP0_EQUAS
OG0000020	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8C4LK37|A0A8C4LK37_EQUAS
OG0000020	sp|P04104|K2C1_MOUSE	tr|A0A8C4LMC7|A0A8C4LMC7_EQUAS
OG0000020	sp|Q3TTY5|K22E_MOUSE	tr|A0A8C4LK30|A0A8C4LK30_EQUAS, tr|A0A8C4LPI2|A0A8C4LPI2_EQUAS
OG0000020	sp|Q6IME9|K2C72_MOUSE	tr|A0A8C4PKU0|A0A8C4PKU0_EQUAS
OG0000020	sp|Q6IFZ9|K2C74_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q9R0H5|K2C71_MOUSE	tr|A0A8C4LSY3|A0A8C4LSY3_EQUAS
OG0000025	tr|Q8BFS8|Q8BFS8_MOUSE	tr|A0A8C4MQ03|A0A8C4MQ03_EQUAS, tr|A0A8C4MZY6|A0A8C4MZY6_EQUAS, tr|A0A8C4MPW9|A0A8C4MPW9_EQUAS, tr|A0A8C4MQ68|A0A8C4MQ68_EQUAS, tr|A0A8C4MRI2|A0A8C4MRI2_EQUAS, tr|A0A8C4MQ76|A0A8C4MQ76_EQUAS, tr|A0A8C4MNJ1|A0A8C4MNJ1_EQUAS, tr|A0A8C4MPH9|A0A8C4MPH9_EQUAS, tr|A0A8C4PTL2|A0A8C4PTL2_EQUAS, tr|A0A8C4MNE9|A0A8C4MNE9_EQUAS, tr|A0A8C4MRG7|A0A8C4MRG7_EQUAS, tr|A0A8C4MRL0|A0A8C4MRL0_EQUAS, tr|A0A8C4MYM3|A0A8C4MYM3_EQUAS, tr|A0A8C4MQB3|A0A8C4MQB3_EQUAS, tr|A0A8C4MYW2|A0A8C4MYW2_EQUAS, tr|A0A8C4MRP4|A0A8C4MRP4_EQUAS, tr|A0A8C4MPG2|A0A8C4MPG2_EQUAS, tr|A0A8C4MP26|A0A8C4MP26_EQUAS, tr|A0A8C4MYC6|A0A8C4MYC6_EQUAS, tr|A0A8C4MSE5|A0A8C4MSE5_EQUAS, tr|A0A8C4MNL9|A0A8C4MNL9_EQUAS, tr|A0A8C4PU10|A0A8C4PU10_EQUAS, tr|A0A8C4MR10|A0A8C4MR10_EQUAS, tr|A0A8C4MWG1|A0A8C4MWG1_EQUAS, tr|A0A8C4PUP1|A0A8C4PUP1_EQUAS, tr|A0A8C4MYN3|A0A8C4MYN3_EQUAS, tr|A0A8C4PU01|A0A8C4PU01_EQUAS, tr|A0A8C4PTN3|A0A8C4PTN3_EQUAS, tr|A0A8C4MYZ1|A0A8C4MYZ1_EQUAS, tr|A0A8C4MWH7|A0A8C4MWH7_EQUAS, tr|A0A8C4MQ32|A0A8C4MQ32_EQUAS
OG0000028	sp|Q60890|OLF11_MOUSE	tr|A0A8C4M5H4|A0A8C4M5H4_EQUAS
OG0000028	sp|P23275|OLF15_MOUSE	tr|A0A8C4M7I0|A0A8C4M7I0_EQUAS, tr|A0A8C4M8P8|A0A8C4M8P8_EQUAS, tr|A0A8C4M1J3|A0A8C4M1J3_EQUAS, tr|A0A8C4MGL5|A0A8C4MGL5_EQUAS, tr|A0A8C4LZJ5|A0A8C4LZJ5_EQUAS, tr|A0A8C4MTS3|A0A8C4MTS3_EQUAS, tr|A0A8C4PSA8|A0A8C4PSA8_EQUAS, tr|A0A8C4MGG2|A0A8C4MGG2_EQUAS, tr|A0A8C4PFF0|A0A8C4PFF0_EQUAS, tr|A0A8C4LB34|A0A8C4LB34_EQUAS
OG0000028	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A8C4LYF7|A0A8C4LYF7_EQUAS, tr|A0A8C4LYT6|A0A8C4LYT6_EQUAS, tr|A0A8C4PNK0|A0A8C4PNK0_EQUAS, tr|A0A8C4LZM1|A0A8C4LZM1_EQUAS, tr|A0A8C4PMW9|A0A8C4PMW9_EQUAS, tr|A0A8C4LYA9|A0A8C4LYA9_EQUAS, tr|A0A8C4LML7|A0A8C4LML7_EQUAS, tr|A0A8C4LWC8|A0A8C4LWC8_EQUAS, tr|A0A8C4M5B7|A0A8C4M5B7_EQUAS
OG0000030	sp|P43430|MCPT8_MOUSE	tr|A0A8C4LX96|A0A8C4LX96_EQUAS, tr|A0A8C4LZV1|A0A8C4LZV1_EQUAS, tr|A0A8C4M2E2|A0A8C4M2E2_EQUAS, tr|A0A8C4MG76|A0A8C4MG76_EQUAS, tr|A0A8C4LYL9|A0A8C4LYL9_EQUAS, tr|A0A8C4PM60|A0A8C4PM60_EQUAS, tr|A0A8C4MS41|A0A8C4MS41_EQUAS, tr|A0A8C4LWQ1|A0A8C4LWQ1_EQUAS, tr|A0A8C4M5P4|A0A8C4M5P4_EQUAS, tr|A0A8C4LXB3|A0A8C4LXB3_EQUAS, tr|A0A8C4MTL6|A0A8C4MTL6_EQUAS, tr|A0A8C4MYZ7|A0A8C4MYZ7_EQUAS, tr|A0A8C4LK56|A0A8C4LK56_EQUAS, tr|A0A8C4LPB1|A0A8C4LPB1_EQUAS, tr|A0A8C4MBU0|A0A8C4MBU0_EQUAS, tr|A0A8C4M9T3|A0A8C4M9T3_EQUAS, tr|A0A8C4PPC7|A0A8C4PPC7_EQUAS, tr|A0A8C4M0F8|A0A8C4M0F8_EQUAS, tr|A0A8C4PNB2|A0A8C4PNB2_EQUAS, tr|A0A8C4PN14|A0A8C4PN14_EQUAS, tr|A0A8C4MID6|A0A8C4MID6_EQUAS, tr|A0A8C4MIS3|A0A8C4MIS3_EQUAS, tr|A0A8C4M4N6|A0A8C4M4N6_EQUAS, tr|A0A8C4MIR7|A0A8C4MIR7_EQUAS, tr|A0A8C4MHB4|A0A8C4MHB4_EQUAS, tr|A0A8C4M5S3|A0A8C4M5S3_EQUAS
OG0000031	sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE2|H2A1C_MOUSE	tr|A0A8C4L7J6|A0A8C4L7J6_EQUAS
OG0000031	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A8C4MEG7|A0A8C4MEG7_EQUAS
OG0000031	sp|Q64523|H2A2C_MOUSE	tr|A0A8C4KTC3|A0A8C4KTC3_EQUAS
OG0000031	sp|Q64522|H2A2B_MOUSE	tr|A0A8C4PFL3|A0A8C4PFL3_EQUAS
OG0000031	sp|P27661|H2AX_MOUSE	tr|A0A8C4L386|A0A8C4L386_EQUAS
OG0000031	sp|Q6GSS7|H2A2A_MOUSE, sp|Q8BFU2|H2A3_MOUSE	tr|A0A8C4PI88|A0A8C4PI88_EQUAS
OG0000031	sp|C0HKE3|H2A1D_MOUSE	tr|A0A8C4L4S5|A0A8C4L4S5_EQUAS
OG0000032	sp|Q91VN1|ZNF24_MOUSE	tr|A0A8C4MDU2|A0A8C4MDU2_EQUAS
OG0000032	tr|B2RTN3|B2RTN3_MOUSE	tr|A0A8C4MQA8|A0A8C4MQA8_EQUAS
OG0000032	tr|A2ALW2|A2ALW2_MOUSE	tr|A0A8C4MSK6|A0A8C4MSK6_EQUAS, tr|A0A8C4PF74|A0A8C4PF74_EQUAS
OG0000032	sp|Q8R2V3|ZN445_MOUSE	tr|A0A8C4PK02|A0A8C4PK02_EQUAS, tr|A0A8C4LHQ8|A0A8C4LHQ8_EQUAS
OG0000032	tr|Q5SZT6|Q5SZT6_MOUSE, sp|Q91VW9|ZKSC3_MOUSE	tr|A0A8C4LW57|A0A8C4LW57_EQUAS, tr|A0A8C4LY81|A0A8C4LY81_EQUAS
OG0000032	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A8C4M4Z8|A0A8C4M4Z8_EQUAS, tr|A0A8C4PR29|A0A8C4PR29_EQUAS
OG0000032	sp|Q07231|ZSC21_MOUSE	tr|A0A8C4LWN6|A0A8C4LWN6_EQUAS, tr|A0A8C4MRS9|A0A8C4MRS9_EQUAS
OG0000036	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A8C4PU32|A0A8C4PU32_EQUAS, tr|A0A8C4MSJ5|A0A8C4MSJ5_EQUAS
OG0000036	sp|Q60879|OLF3_MOUSE	tr|A0A8C4MQY8|A0A8C4MQY8_EQUAS, tr|A0A8C4M7C9|A0A8C4M7C9_EQUAS, tr|A0A8C4PKS5|A0A8C4PKS5_EQUAS, tr|A0A8C4M0A7|A0A8C4M0A7_EQUAS, tr|A0A8C4M0G3|A0A8C4M0G3_EQUAS, tr|A0A8C4PNL2|A0A8C4PNL2_EQUAS, tr|A0A8C4M1F4|A0A8C4M1F4_EQUAS, tr|A0A8C4M445|A0A8C4M445_EQUAS, tr|A0A8C4L9L4|A0A8C4L9L4_EQUAS, tr|A0A8C4MRM4|A0A8C4MRM4_EQUAS, tr|A0A8C4MQZ8|A0A8C4MQZ8_EQUAS, tr|A0A8C4N148|A0A8C4N148_EQUAS, tr|A0A8C4MUF4|A0A8C4MUF4_EQUAS, tr|A0A8C4MTQ4|A0A8C4MTQ4_EQUAS, tr|A0A8C4MTU2|A0A8C4MTU2_EQUAS, tr|A0A8C4MTT1|A0A8C4MTT1_EQUAS, tr|A0A8C4N158|A0A8C4N158_EQUAS, tr|A0A8C4MQX7|A0A8C4MQX7_EQUAS, tr|A0A8C4PU34|A0A8C4PU34_EQUAS, tr|A0A8C4MTW2|A0A8C4MTW2_EQUAS
OG0000037	sp|P70696|H2B1A_MOUSE	tr|A0A8C4L9M3|A0A8C4L9M3_EQUAS
OG0000037	sp|Q8CGP0|H2B3B_MOUSE	tr|A0A8C4MG62|A0A8C4MG62_EQUAS
OG0000037	sp|Q64525|H2B2B_MOUSE	tr|A0A8C4L7I5|A0A8C4L7I5_EQUAS, tr|A0A8C4PKU5|A0A8C4PKU5_EQUAS
OG0000037	sp|Q6ZWY9|H2B1C_MOUSE	tr|A0A8C4L861|A0A8C4L861_EQUAS, tr|A0A8C4M8V7|A0A8C4M8V7_EQUAS, tr|A0A8C4LC56|A0A8C4LC56_EQUAS
OG0000038	sp|Q80ZE3|SIG10_MOUSE	tr|A0A8C4LVE7|A0A8C4LVE7_EQUAS
OG0000038	sp|Q920G3|SIGL5_MOUSE	tr|A0A8C4LNW6|A0A8C4LNW6_EQUAS
OG0000038	sp|Q91Y57|SIG12_MOUSE	tr|A0A8C4LQY6|A0A8C4LQY6_EQUAS, tr|A0A8C4LP43|A0A8C4LP43_EQUAS, tr|A0A8C4LWL3|A0A8C4LWL3_EQUAS, tr|A0A8C4LSH5|A0A8C4LSH5_EQUAS
OG0000038	tr|B7ZMQ6|B7ZMQ6_MOUSE	tr|A0A8C4LI79|A0A8C4LI79_EQUAS, tr|A0A8C4LQX6|A0A8C4LQX6_EQUAS, tr|A0A8C4PKQ2|A0A8C4PKQ2_EQUAS, tr|A0A8C4LJI7|A0A8C4LJI7_EQUAS, tr|A0A8C4LK04|A0A8C4LK04_EQUAS
OG0000038	sp|Q63994|CD33_MOUSE	tr|A0A8C4LJK5|A0A8C4LJK5_EQUAS
OG0000050	tr|Q8VGA0|Q8VGA0_MOUSE	tr|A0A8C4MZ09|A0A8C4MZ09_EQUAS, tr|A0A8C4N8M5|A0A8C4N8M5_EQUAS
OG0000050	tr|Q8VG87|Q8VG87_MOUSE	tr|A0A8C4MYG9|A0A8C4MYG9_EQUAS, tr|A0A8C4MWS2|A0A8C4MWS2_EQUAS
OG0000050	tr|Q7TS19|Q7TS19_MOUSE	tr|A0A8C4MXK2|A0A8C4MXK2_EQUAS
OG0000050	tr|Q9QZ18|Q9QZ18_MOUSE	tr|A0A8C4N8N5|A0A8C4N8N5_EQUAS, tr|A0A8C4KWC1|A0A8C4KWC1_EQUAS
OG0000050	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A8C4MWT0|A0A8C4MWT0_EQUAS, tr|A0A8C4MYZ9|A0A8C4MYZ9_EQUAS, tr|A0A8C4N064|A0A8C4N064_EQUAS
OG0000054	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A8C4MBL1|A0A8C4MBL1_EQUAS, tr|A0A8C4PVP7|A0A8C4PVP7_EQUAS
OG0000054	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8C4M813|A0A8C4M813_EQUAS, tr|A0A8C4M2J8|A0A8C4M2J8_EQUAS
OG0000054	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A8C4KRA2|A0A8C4KRA2_EQUAS, tr|A0A8C4PJJ4|A0A8C4PJJ4_EQUAS, tr|A0A8C4LH32|A0A8C4LH32_EQUAS, tr|A0A8C4KQ15|A0A8C4KQ15_EQUAS, tr|A0A8C4KSY2|A0A8C4KSY2_EQUAS, tr|A0A8C4KQW1|A0A8C4KQW1_EQUAS, tr|A0A8C4LLI1|A0A8C4LLI1_EQUAS, tr|A0A8C4KRP6|A0A8C4KRP6_EQUAS, tr|A0A8C4KZM8|A0A8C4KZM8_EQUAS, tr|A0A8C4KRB0|A0A8C4KRB0_EQUAS, tr|A0A8C4PF77|A0A8C4PF77_EQUAS
