Orthogroup	Mus_musculus	Ictidomys_tridecemlineatus
OG0000018	tr|E9Q8M3|E9Q8M3_MOUSE	tr|I3N920|I3N920_ICTTR, tr|I3N4S1|I3N4S1_ICTTR
OG0000018	tr|Q7TRM6|Q7TRM6_MOUSE	tr|I3N9J2|I3N9J2_ICTTR
OG0000018	tr|A2AVW1|A2AVW1_MOUSE	tr|I3MV20|I3MV20_ICTTR, tr|I3MT12|I3MT12_ICTTR, tr|I3MUN0|I3MUN0_ICTTR, tr|A0A287D183|A0A287D183_ICTTR
OG0000025	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|I3NEV1|I3NEV1_ICTTR
OG0000025	sp|Q60585|ZFP30_MOUSE	tr|I3M6I4|I3M6I4_ICTTR
OG0000025	sp|Q6P9Y7|ZFP82_MOUSE	tr|I3N9E4|I3N9E4_ICTTR
OG0000025	sp|P10755|ZFP14_MOUSE	tr|I3NAU1|I3NAU1_ICTTR
OG0000027	tr|Q8VF62|Q8VF62_MOUSE	tr|I3N1H3|I3N1H3_ICTTR
OG0000027	tr|Q9EQA9|Q9EQA9_MOUSE	tr|I3MSD3|I3MSD3_ICTTR, tr|I3NAD2|I3NAD2_ICTTR, tr|I3MZN3|I3MZN3_ICTTR, tr|I3ND14|I3ND14_ICTTR, tr|I3MX07|I3MX07_ICTTR, tr|I3MX91|I3MX91_ICTTR, tr|I3N4V0|I3N4V0_ICTTR, tr|I3N6V8|I3N6V8_ICTTR, tr|A0A287D4G5|A0A287D4G5_ICTTR, tr|I3NDC3|I3NDC3_ICTTR, tr|A0A287DBZ2|A0A287DBZ2_ICTTR, tr|I3N2U2|I3N2U2_ICTTR, tr|I3NGH5|I3NGH5_ICTTR, tr|I3MY96|I3MY96_ICTTR, tr|I3N302|I3N302_ICTTR, tr|I3MSQ8|I3MSQ8_ICTTR, tr|I3MAK4|I3MAK4_ICTTR, tr|I3MBF3|I3MBF3_ICTTR, tr|I3MM29|I3MM29_ICTTR, tr|A0A287D010|A0A287D010_ICTTR, tr|I3NFQ3|I3NFQ3_ICTTR, tr|I3N6W5|I3N6W5_ICTTR, tr|I3NBC9|I3NBC9_ICTTR, tr|I3NDN4|I3NDN4_ICTTR, tr|A0A287D3G1|A0A287D3G1_ICTTR
OG0000031	sp|Q9DCV7|K2C7_MOUSE	tr|I3MVD0|I3MVD0_ICTTR
OG0000031	sp|Q9R0H5|K2C71_MOUSE	tr|I3MA58|I3MA58_ICTTR
OG0000031	sp|Q6NXH9|K2C73_MOUSE	tr|I3M7X5|I3M7X5_ICTTR
OG0000031	sp|Q6IFZ9|K2C74_MOUSE	tr|I3MA76|I3MA76_ICTTR
OG0000031	sp|Q6IME9|K2C72_MOUSE	tr|A0A287CUB5|A0A287CUB5_ICTTR
OG0000031	sp|Q8VED5|K2C79_MOUSE	tr|I3M9X8|I3M9X8_ICTTR
OG0000031	sp|Q6IFZ6|K2C1B_MOUSE	tr|I3M806|I3M806_ICTTR, tr|I3M820|I3M820_ICTTR, tr|I3M840|I3M840_ICTTR
OG0000036	sp|Q8VGD6|OLF56_MOUSE	tr|I3N2A2|I3N2A2_ICTTR, tr|I3NGI9|I3NGI9_ICTTR
OG0000036	tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|I3NCC3|I3NCC3_ICTTR, tr|I3M8H0|I3M8H0_ICTTR, tr|I3MTU5|I3MTU5_ICTTR, tr|A0A287CY25|A0A287CY25_ICTTR, tr|I3MBQ9|I3MBQ9_ICTTR, tr|I3MHQ3|I3MHQ3_ICTTR, tr|I3MY08|I3MY08_ICTTR, tr|I3N6U6|I3N6U6_ICTTR, tr|I3M9L8|I3M9L8_ICTTR, tr|I3MZJ7|I3MZJ7_ICTTR, tr|A0A287DG95|A0A287DG95_ICTTR, tr|I3MWW2|I3MWW2_ICTTR, tr|I3MWH6|I3MWH6_ICTTR, tr|I3M5S2|I3M5S2_ICTTR, tr|A0A287D9I1|A0A287D9I1_ICTTR, tr|I3M9D6|I3M9D6_ICTTR, tr|A0A287DEQ4|A0A287DEQ4_ICTTR
OG0000036	tr|Q7TQS8|Q7TQS8_MOUSE	tr|I3NEV8|I3NEV8_ICTTR
OG0000037	tr|Q7M6X5|Q7M6X5_MOUSE, tr|Q8BX23|Q8BX23_MOUSE, tr|Q7M6X2|Q7M6X2_MOUSE, tr|Q7M6Y1|Q7M6Y1_MOUSE, tr|Q7M6Y0|Q7M6Y0_MOUSE, tr|B2RUK9|B2RUK9_MOUSE, tr|Q7M6X9|Q7M6X9_MOUSE, tr|Q8BZ17|Q8BZ17_MOUSE, sp|P16372|ZFP58_MOUSE, tr|Q4QQP3|Q4QQP3_MOUSE, tr|B8JJX8|B8JJX8_MOUSE, tr|Q80VN4|Q80VN4_MOUSE, tr|Q91W94|Q91W94_MOUSE, sp|Q6P5C7|ZN728_MOUSE, tr|L7N1X4|L7N1X4_MOUSE, tr|Q7M6X3|Q7M6X3_MOUSE, tr|Q8BIN6|Q8BIN6_MOUSE, tr|E9PXJ4|E9PXJ4_MOUSE, tr|Q8K2A4|Q8K2A4_MOUSE, tr|Q7TPL6|Q7TPL6_MOUSE, tr|E9PX85|E9PX85_MOUSE	tr|A0A287D8F2|A0A287D8F2_ICTTR, tr|I3MCZ1|I3MCZ1_ICTTR
OG0000043	sp|Q6GSS7|H2A2A_MOUSE	tr|I3NAV2|I3NAV2_ICTTR
OG0000043	sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE1|H2A1B_MOUSE	tr|I3MZM1|I3MZM1_ICTTR
OG0000043	sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE4|H2A1E_MOUSE	tr|I3MWL4|I3MWL4_ICTTR, tr|I3MU77|I3MU77_ICTTR, tr|I3N7H2|I3N7H2_ICTTR, tr|I3MJV5|I3MJV5_ICTTR, tr|I3M9B7|I3M9B7_ICTTR, tr|I3MY65|I3MY65_ICTTR, tr|I3MT31|I3MT31_ICTTR
OG0000047	sp|Q5FW60|MUP20_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11591|MUP5_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE	tr|I3MZU0|I3MZU0_ICTTR
OG0000049	tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE	tr|I3NA62|I3NA62_ICTTR
OG0000052	sp|Q6IFX2|K1C42_MOUSE	tr|I3NGT5|I3NGT5_ICTTR
OG0000052	sp|P19001|K1C19_MOUSE	tr|I3MMV6|I3MMV6_ICTTR
OG0000052	sp|P08730|K1C13_MOUSE	tr|I3MMU3|I3MMU3_ICTTR
OG0000052	sp|Q61414|K1C15_MOUSE	tr|I3MMU8|I3MMU8_ICTTR
OG0000052	sp|Q64291|K1C12_MOUSE	tr|I3MKQ5|I3MKQ5_ICTTR
OG0000052	sp|P02535|K1C10_MOUSE	tr|I3LZY6|I3LZY6_ICTTR
OG0000052	sp|Q61781|K1C14_MOUSE, sp|Q9Z2K1|K1C16_MOUSE	tr|I3MMW1|I3MMW1_ICTTR
OG0000054	tr|A2AVX9|A2AVX9_MOUSE	tr|I3N3T2|I3N3T2_ICTTR, tr|A0A287D3G0|A0A287D3G0_ICTTR
OG0000054	tr|Q7TR79|Q7TR79_MOUSE	tr|I3M8G4|I3M8G4_ICTTR
OG0000054	tr|Q8VGS2|Q8VGS2_MOUSE	tr|I3NC98|I3NC98_ICTTR, tr|I3NBX0|I3NBX0_ICTTR, tr|A0A287CT82|A0A287CT82_ICTTR, tr|I3N351|I3N351_ICTTR, tr|I3NDX0|I3NDX0_ICTTR
OG0000055	sp|Q8BMJ3|IF1AX_MOUSE, sp|Q60872|IF1A_MOUSE, tr|F6YNI8|F6YNI8_MOUSE, tr|J3QNT6|J3QNT6_MOUSE, tr|Q8BX20|Q8BX20_MOUSE, tr|Q3TQZ4|Q3TQZ4_MOUSE, tr|J3QP87|J3QP87_MOUSE, tr|Q3UTA4|Q3UTA4_MOUSE, tr|A0A1Y7VK80|A0A1Y7VK80_MOUSE, tr|A0A1Y7VJE9|A0A1Y7VJE9_MOUSE, tr|J3QQ02|J3QQ02_MOUSE, tr|A0A1Y7VNG9|A0A1Y7VNG9_MOUSE, tr|Q3UT53|Q3UT53_MOUSE, tr|J3QMW5|J3QMW5_MOUSE, tr|J3QPI8|J3QPI8_MOUSE, tr|A0A1Y7VLT7|A0A1Y7VLT7_MOUSE	tr|I3NHM2|I3NHM2_ICTTR
OG0000060	tr|Q9QZ20|Q9QZ20_MOUSE	tr|I3MSX6|I3MSX6_ICTTR
OG0000060	tr|Q9QZ22|Q9QZ22_MOUSE	tr|I3MZ62|I3MZ62_ICTTR
OG0000060	tr|Q9QZ19|Q9QZ19_MOUSE	tr|I3NGU0|I3NGU0_ICTTR
OG0000060	tr|Q8VGA0|Q8VGA0_MOUSE	tr|I3NGX8|I3NGX8_ICTTR
OG0000060	tr|Q8VG87|Q8VG87_MOUSE	tr|I3N118|I3N118_ICTTR
OG0000060	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|I3MYN5|I3MYN5_ICTTR, tr|I3N7X0|I3N7X0_ICTTR
OG0000061	sp|Q8BG05|ROA3_MOUSE	tr|I3NCR3|I3NCR3_ICTTR
OG0000061	sp|P49312|ROA1_MOUSE	tr|I3MZ33|I3MZ33_ICTTR, tr|A0A287DFA0|A0A287DFA0_ICTTR, tr|I3NFX2|I3NFX2_ICTTR, tr|A0A287CWA0|A0A287CWA0_ICTTR, tr|I3NBS3|I3NBS3_ICTTR, tr|A0A287D4K1|A0A287D4K1_ICTTR, tr|A0A287CRV6|A0A287CRV6_ICTTR, tr|A0A287D5U3|A0A287D5U3_ICTTR, tr|I3M849|I3M849_ICTTR, tr|A0A287DE84|A0A287DE84_ICTTR, tr|A0A287CXW9|A0A287CXW9_ICTTR, tr|A0A287D8N9|A0A287D8N9_ICTTR, tr|A0A287DF35|A0A287DF35_ICTTR
OG0000062	sp|Q6B966|NAL14_MOUSE	tr|I3MLJ4|I3MLJ4_ICTTR
OG0000062	sp|Q8R4B8|NLRP3_MOUSE	tr|I3MF28|I3MF28_ICTTR
OG0000062	sp|E9Q5R7|NAL12_MOUSE	tr|I3MJP3|I3MJP3_ICTTR
OG0000063	tr|Q8CFE8|Q8CFE8_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q8BI58|Q8BI58_MOUSE	tr|I3N5U6|I3N5U6_ICTTR
OG0000072	sp|Q61107|GBP4_MOUSE, sp|Q91Z40|GBP7_MOUSE	tr|I3LWB1|I3LWB1_ICTTR
OG0000072	sp|Q8CFB4|GBP5_MOUSE	tr|I3MBY5|I3MBY5_ICTTR
OG0000072	sp|Q01514|GBP1_MOUSE, sp|Q9Z0E6|GBP2_MOUSE	tr|I3M0M5|I3M0M5_ICTTR
OG0000073	sp|Q3U4B4|LIPN_MOUSE	tr|I3MAI6|I3MAI6_ICTTR
OG0000073	sp|Q8K2A6|LIPM_MOUSE	tr|A0A287CVZ8|A0A287CVZ8_ICTTR
OG0000073	sp|Q9Z0M5|LICH_MOUSE	tr|I3NDU4|I3NDU4_ICTTR
OG0000073	sp|Q9CPP7|LIPG_MOUSE	tr|I3MAE9|I3MAE9_ICTTR
OG0000073	sp|Q8BM14|LIPK_MOUSE	tr|I3MAG7|I3MAG7_ICTTR
OG0000074	tr|Q8VEV1|Q8VEV1_MOUSE	tr|I3NFI4|I3NFI4_ICTTR
OG0000074	sp|P34984|OLF13_MOUSE	tr|A0A287CYV0|A0A287CYV0_ICTTR
OG0000074	tr|Q8VGP6|Q8VGP6_MOUSE	tr|A0A287CWQ5|A0A287CWQ5_ICTTR
OG0000074	tr|Q8VFS6|Q8VFS6_MOUSE, tr|Q8VFS5|Q8VFS5_MOUSE, tr|K9J725|K9J725_MOUSE, tr|Q8VEV0|Q8VEV0_MOUSE, tr|Q8VES9|Q8VES9_MOUSE	tr|I3N2W1|I3N2W1_ICTTR
OG0000081	sp|Q8VG06|OL491_MOUSE	tr|I3M852|I3M852_ICTTR
OG0000081	sp|Q8VGI5|OL481_MOUSE, tr|L7N455|L7N455_MOUSE	tr|I3NH14|I3NH14_ICTTR
OG0000081	sp|Q8VEZ0|OL480_MOUSE, sp|Q8VG42|OL508_MOUSE	tr|A0A287D7X2|A0A287D7X2_ICTTR, tr|I3NH39|I3NH39_ICTTR
OG0000082	sp|Q60879|OLF3_MOUSE	tr|I3N0X7|I3N0X7_ICTTR, tr|I3MTG0|I3MTG0_ICTTR, tr|A0A287D311|A0A287D311_ICTTR, tr|A0A287DC47|A0A287DC47_ICTTR, tr|I3MFW4|I3MFW4_ICTTR, tr|I3MYL0|I3MYL0_ICTTR, tr|A0A287DGK6|A0A287DGK6_ICTTR, tr|I3N791|I3N791_ICTTR, tr|I3NH78|I3NH78_ICTTR, tr|A0A287DFS9|A0A287DFS9_ICTTR, tr|I3NFF7|I3NFF7_ICTTR, tr|I3NFF2|I3NFF2_ICTTR, tr|I3NAA8|I3NAA8_ICTTR
OG0000083	tr|Q8VGN9|Q8VGN9_MOUSE	tr|I3NC74|I3NC74_ICTTR, tr|A0A287D7T6|A0A287D7T6_ICTTR, tr|A0A287D4C8|A0A287D4C8_ICTTR, tr|I3N7U6|I3N7U6_ICTTR, tr|A0A287DCS4|A0A287DCS4_ICTTR, tr|I3N693|I3N693_ICTTR, tr|I3NER1|I3NER1_ICTTR, tr|A0A287DGB7|A0A287DGB7_ICTTR, tr|I3NGB2|I3NGB2_ICTTR, tr|I3NDX9|I3NDX9_ICTTR, tr|I3N3W5|I3N3W5_ICTTR, tr|A0A287DEM9|A0A287DEM9_ICTTR, tr|A0A287CSM5|A0A287CSM5_ICTTR
OG0000084	tr|Q14AJ9|Q14AJ9_MOUSE	tr|I3NAP2|I3NAP2_ICTTR, tr|I3MVU1|I3MVU1_ICTTR, tr|I3MV45|I3MV45_ICTTR, tr|I3MDS8|I3MDS8_ICTTR, tr|I3NB78|I3NB78_ICTTR, tr|I3M787|I3M787_ICTTR, tr|I3M9N8|I3M9N8_ICTTR, tr|I3M9N2|I3M9N2_ICTTR, tr|I3N2M6|I3N2M6_ICTTR, tr|I3N360|I3N360_ICTTR, tr|I3MUW5|I3MUW5_ICTTR, tr|I3N3Q2|I3N3Q2_ICTTR, tr|I3MUU0|I3MUU0_ICTTR
OG0000085	sp|Q62007|OLF16_MOUSE	tr|I3M4H7|I3M4H7_ICTTR
OG0000085	tr|E9Q848|E9Q848_MOUSE	tr|I3M4H2|I3M4H2_ICTTR, tr|I3N4S7|I3N4S7_ICTTR, tr|I3N6F8|I3N6F8_ICTTR, tr|I3N5M3|I3N5M3_ICTTR, tr|I3N4Q6|I3N4Q6_ICTTR, tr|I3N7G9|I3N7G9_ICTTR, tr|I3N5Q7|I3N5Q7_ICTTR, tr|I3NGE7|I3NGE7_ICTTR, tr|A0A287D5J9|A0A287D5J9_ICTTR, tr|A0A287D052|A0A287D052_ICTTR, tr|I3M4Z7|I3M4Z7_ICTTR
OG0000086	tr|Q7TRL9|Q7TRL9_MOUSE	tr|I3MWX0|I3MWX0_ICTTR
OG0000086	tr|Q7TRM0|Q7TRM0_MOUSE	tr|I3N467|I3N467_ICTTR
OG0000086	tr|L7N1X7|L7N1X7_MOUSE, tr|E9PV79|E9PV79_MOUSE, tr|A2RTP5|A2RTP5_MOUSE, tr|L7N1Y5|L7N1Y5_MOUSE, tr|L7N1Y2|L7N1Y2_MOUSE, tr|E9Q1P0|E9Q1P0_MOUSE	tr|I3N5T3|I3N5T3_ICTTR, tr|I3NDA1|I3NDA1_ICTTR
OG0000087	sp|Q9JI02|S2B20_MOUSE, tr|S4R2L0|S4R2L0_MOUSE, tr|J3QM75|J3QM75_MOUSE, tr|A0A087WR49|A0A087WR49_MOUSE, tr|A0A087WPA9|A0A087WPA9_MOUSE, tr|A0A087WQA9|A0A087WQA9_MOUSE, tr|D3YYY1|D3YYY1_MOUSE, tr|S4R2V3|S4R2V3_MOUSE, tr|Q8R1E9|Q8R1E9_MOUSE, tr|Q8JZX1|Q8JZX1_MOUSE, sp|Q7M747|S2B24_MOUSE, sp|Q6UGQ3|SG2B2_MOUSE, tr|D2XZ38|D2XZ38_MOUSE	tr|A0A287CX76|A0A287CX76_ICTTR
OG0000088	tr|A0A1B0GT06|A0A1B0GT06_MOUSE, tr|A0A1B0GS71|A0A1B0GS71_MOUSE, sp|Q2TA51|KRA55_MOUSE, tr|A0A1B0GRJ4|A0A1B0GRJ4_MOUSE, tr|A4IF42|A4IF42_MOUSE, tr|A0A1B0GSA0|A0A1B0GSA0_MOUSE, tr|A0A1B0GRL1|A0A1B0GRL1_MOUSE, sp|Q62220|KRA54_MOUSE, sp|Q9D5Z7|KRA52_MOUSE, tr|A0A1B0GSA9|A0A1B0GSA9_MOUSE, tr|A0A1B0GR10|A0A1B0GR10_MOUSE, tr|A0A1B0GSH7|A0A1B0GSH7_MOUSE	tr|I3MJC1|I3MJC1_ICTTR, tr|I3NEP9|I3NEP9_ICTTR
OG0000097	sp|Q03137|EPHA4_MOUSE	tr|I3M1I8|I3M1I8_ICTTR
OG0000097	sp|O09127|EPHA8_MOUSE	tr|A0A287D8D7|A0A287D8D7_ICTTR
OG0000097	sp|Q8BYG9|EPHAA_MOUSE, sp|Q61772|EPHA7_MOUSE	tr|A0A287D397|A0A287D397_ICTTR
OG0000097	sp|Q62413|EPHA6_MOUSE	tr|I3N935|I3N935_ICTTR
OG0000097	sp|P29319|EPHA3_MOUSE	tr|I3MNR9|I3MNR9_ICTTR
OG0000097	sp|Q60629|EPHA5_MOUSE	tr|I3MHS6|I3MHS6_ICTTR
OG0000098	tr|A2BH64|A2BH64_MOUSE, tr|Q91WB5|Q91WB5_MOUSE, tr|B1B0N6|B1B0N6_MOUSE, tr|O35176|O35176_MOUSE, tr|A0A087WP50|A0A087WP50_MOUSE, tr|A0A087WPW0|A0A087WPW0_MOUSE, tr|J3QJY4|J3QJY4_MOUSE, tr|A0A087WP21|A0A087WP21_MOUSE, tr|F6WYW0|F6WYW0_MOUSE, tr|A0A087WQJ0|A0A087WQJ0_MOUSE, tr|D2XZ31|D2XZ31_MOUSE, tr|E9PWZ2|E9PWZ2_MOUSE	tr|I3N9F3|I3N9F3_ICTTR
OG0000103	sp|Q6PIC6|AT1A3_MOUSE	tr|I3M3H5|I3M3H5_ICTTR
OG0000103	sp|Q9WV27|AT1A4_MOUSE	tr|I3M9X2|I3M9X2_ICTTR
OG0000103	sp|Q9Z1W8|AT12A_MOUSE	tr|A0A287D2J1|A0A287D2J1_ICTTR
