Orthogroup	Mus_musculus	Bos_mutus
OG0000023	sp|Q9D106|PEPA5_MOUSE	tr|L8HR36|L8HR36_9CETA, tr|L8IPW0|L8IPW0_9CETA, tr|L8HWQ9|L8HWQ9_9CETA, tr|L8IKY0|L8IKY0_9CETA, tr|L8I575|L8I575_9CETA, tr|L8HK32|L8HK32_9CETA, tr|L8HR31|L8HR31_9CETA, tr|L8J267|L8J267_9CETA, tr|L8J3N7|L8J3N7_9CETA, tr|L8J1D2|L8J1D2_9CETA, tr|L8IQJ7|L8IQJ7_9CETA, tr|L8J3N2|L8J3N2_9CETA, tr|L8J007|L8J007_9CETA, tr|L8J326|L8J326_9CETA, tr|L8IZE8|L8IZE8_9CETA, tr|L8J2U0|L8J2U0_9CETA, tr|L8I1Z2|L8I1Z2_9CETA, tr|L8IYL0|L8IYL0_9CETA, tr|L8IPD6|L8IPD6_9CETA, tr|L8IZ72|L8IZ72_9CETA, tr|L8IW02|L8IW02_9CETA, tr|L8ILS8|L8ILS8_9CETA, tr|L8J1D6|L8J1D6_9CETA, tr|L8HLH5|L8HLH5_9CETA, tr|L8J0I2|L8J0I2_9CETA, tr|L8HTB9|L8HTB9_9CETA, tr|L8HUY5|L8HUY5_9CETA, tr|L8IIY1|L8IIY1_9CETA, tr|L8HS64|L8HS64_9CETA, tr|L8J2U7|L8J2U7_9CETA, tr|L8HTH2|L8HTH2_9CETA, tr|L8HSI8|L8HSI8_9CETA, tr|L8HPT9|L8HPT9_9CETA, tr|L8HQY4|L8HQY4_9CETA
OG0000025	sp|E9Q236|MRP4_MOUSE	tr|L8HSZ8|L8HSZ8_9CETA, tr|L8IKP9|L8IKP9_9CETA, tr|L8IKV6|L8IKV6_9CETA, tr|L8HYA6|L8HYA6_9CETA, tr|L8IYC7|L8IYC7_9CETA, tr|L8HXT9|L8HXT9_9CETA, tr|L8HS13|L8HS13_9CETA, tr|L8ISF5|L8ISF5_9CETA, tr|L8HPZ8|L8HPZ8_9CETA, tr|L8IQ79|L8IQ79_9CETA, tr|L8IZW9|L8IZW9_9CETA, tr|L8INW3|L8INW3_9CETA, tr|L8J2G2|L8J2G2_9CETA, tr|L8IDP5|L8IDP5_9CETA, tr|L8HSG6|L8HSG6_9CETA, tr|L8I8Q4|L8I8Q4_9CETA, tr|L8HT70|L8HT70_9CETA, tr|L8HSD7|L8HSD7_9CETA, tr|L8IA40|L8IA40_9CETA, tr|L8HMT8|L8HMT8_9CETA, tr|L8HNB9|L8HNB9_9CETA, tr|L8HS15|L8HS15_9CETA, tr|L8HMY1|L8HMY1_9CETA, tr|L8HWL8|L8HWL8_9CETA, tr|L8IPB2|L8IPB2_9CETA, tr|L8I6U5|L8I6U5_9CETA, tr|L8IEJ6|L8IEJ6_9CETA, tr|L8HUJ4|L8HUJ4_9CETA, tr|L8HTJ2|L8HTJ2_9CETA, tr|L8I271|L8I271_9CETA, tr|L8HPJ4|L8HPJ4_9CETA
OG0000032	tr|A2AVW3|A2AVW3_MOUSE	tr|L8I1D0|L8I1D0_9CETA
OG0000032	tr|A2AVW1|A2AVW1_MOUSE	tr|L8HUT9|L8HUT9_9CETA, tr|L8HSC5|L8HSC5_9CETA, tr|L8HSC9|L8HSC9_9CETA, tr|L8HTV2|L8HTV2_9CETA, tr|L8HYU4|L8HYU4_9CETA, tr|L8HUU3|L8HUU3_9CETA, tr|L8HRF9|L8HRF9_9CETA, tr|L8HSM2|L8HSM2_9CETA, tr|L8HU40|L8HU40_9CETA, tr|L8HU35|L8HU35_9CETA, tr|L8HRF6|L8HRF6_9CETA, tr|L8HU31|L8HU31_9CETA, tr|L8HRF2|L8HRF2_9CETA, tr|L8HSM0|L8HSM0_9CETA, tr|L8HSL8|L8HSL8_9CETA, tr|L8HYU0|L8HYU0_9CETA, tr|L8HV07|L8HV07_9CETA, tr|L8HSM6|L8HSM6_9CETA, tr|L8HV11|L8HV11_9CETA, tr|L8HZS1|L8HZS1_9CETA, tr|L8I1D5|L8I1D5_9CETA, tr|L8HZN1|L8HZN1_9CETA, tr|L8I274|L8I274_9CETA
OG0000036	tr|Q8VFI0|Q8VFI0_MOUSE	tr|L8HN65|L8HN65_9CETA
OG0000036	tr|Q8VFU5|Q8VFU5_MOUSE	tr|L8HNF1|L8HNF1_9CETA, tr|L8HPL1|L8HPL1_9CETA, tr|L8HSV8|L8HSV8_9CETA, tr|L8HQ20|L8HQ20_9CETA, tr|L8IQS6|L8IQS6_9CETA
OG0000036	tr|Q8VFN6|Q8VFN6_MOUSE	tr|L8J198|L8J198_9CETA, tr|L8J275|L8J275_9CETA, tr|L8IKB1|L8IKB1_9CETA, tr|L8IJP2|L8IJP2_9CETA, tr|L8IN60|L8IN60_9CETA, tr|L8IM05|L8IM05_9CETA, tr|L8HN33|L8HN33_9CETA
OG0000039	sp|Q60879|OLF3_MOUSE	tr|L8I4M5|L8I4M5_9CETA, tr|L8I3F4|L8I3F4_9CETA, tr|L8I6Z2|L8I6Z2_9CETA, tr|L8I681|L8I681_9CETA, tr|L8I3E9|L8I3E9_9CETA, tr|L8I4L9|L8I4L9_9CETA, tr|L8I4D6|L8I4D6_9CETA, tr|L8I692|L8I692_9CETA, tr|L8I4N1|L8I4N1_9CETA, tr|L8I3F9|L8I3F9_9CETA, tr|L8I6Z6|L8I6Z6_9CETA, tr|L8I4L6|L8I4L6_9CETA, tr|L8I702|L8I702_9CETA, tr|L8I288|L8I288_9CETA, tr|L8HL82|L8HL82_9CETA, tr|L8HWW4|L8HWW4_9CETA, tr|L8HX38|L8HX38_9CETA, tr|L8HYM4|L8HYM4_9CETA, tr|L8HVX5|L8HVX5_9CETA, tr|L8IMS5|L8IMS5_9CETA, tr|L8HZB6|L8HZB6_9CETA, tr|L8HNK6|L8HNK6_9CETA
OG0000040	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE	tr|L8I9R3|L8I9R3_9CETA
OG0000042	tr|Q8VFT6|Q8VFT6_MOUSE	tr|L8HR17|L8HR17_9CETA
OG0000042	tr|Q7TRL9|Q7TRL9_MOUSE	tr|L8HTY0|L8HTY0_9CETA, tr|L8HUW0|L8HUW0_9CETA, tr|L8HSF2|L8HSF2_9CETA, tr|L8I8T0|L8I8T0_9CETA, tr|L8I9T3|L8I9T3_9CETA, tr|L8HTW0|L8HTW0_9CETA, tr|L8HSF4|L8HSF4_9CETA, tr|L8HR94|L8HR94_9CETA, tr|L8HUV7|L8HUV7_9CETA, tr|L8I644|L8I644_9CETA, tr|L8I8T3|L8I8T3_9CETA, tr|L8I6W9|L8I6W9_9CETA, tr|L8I730|L8I730_9CETA, tr|L8I9S8|L8I9S8_9CETA, tr|L8I640|L8I640_9CETA, tr|L8I6W5|L8I6W5_9CETA, tr|L8HTX5|L8HTX5_9CETA, tr|L8HSE8|L8HSE8_9CETA, tr|L8I725|L8I725_9CETA
OG0000043	sp|Q8VED5|K2C79_MOUSE	tr|L8HYL0|L8HYL0_9CETA
OG0000043	sp|Q6IME9|K2C72_MOUSE	tr|L8HYK5|L8HYK5_9CETA
OG0000043	sp|Q9R0H5|K2C71_MOUSE	tr|L8HV48|L8HV48_9CETA
OG0000043	sp|Q6NXH9|K2C73_MOUSE	tr|L8HW83|L8HW83_9CETA
OG0000043	sp|Q9DCV7|K2C7_MOUSE	tr|L8HWB8|L8HWB8_9CETA, tr|L8HV53|L8HV53_9CETA, tr|L8HXW6|L8HXW6_9CETA, tr|L8HWA5|L8HWA5_9CETA, tr|L8HV42|L8HV42_9CETA, tr|L8HW76|L8HW76_9CETA, tr|L8HYK0|L8HYK0_9CETA, tr|L8HXV9|L8HXV9_9CETA, tr|L8HXV4|L8HXV4_9CETA, tr|L8HW68|L8HW68_9CETA, tr|L8HW65|L8HW65_9CETA
OG0000044	sp|Q8VHE6|DYH5_MOUSE	tr|L8J5S1|L8J5S1_9CETA
OG0000044	sp|Q8BW94|DYH3_MOUSE	tr|L8IIW9|L8IIW9_9CETA
OG0000044	tr|A0A087WR13|A0A087WR13_MOUSE, tr|L7N1Y0|L7N1Y0_MOUSE, tr|E9Q0T8|E9Q0T8_MOUSE, sp|Q3V0Q1|DYH12_MOUSE	tr|L8J3X7|L8J3X7_9CETA
OG0000044	sp|E9Q8T7|DYH1_MOUSE	tr|L8IEV2|L8IEV2_9CETA
OG0000044	sp|P0C6F1|DYH2_MOUSE	tr|L8IKJ3|L8IKJ3_9CETA
OG0000045	tr|Q9EQA9|Q9EQA9_MOUSE	tr|L8HW60|L8HW60_9CETA
OG0000045	tr|Q8VF62|Q8VF62_MOUSE	tr|L8HYV2|L8HYV2_9CETA, tr|L8HVM5|L8HVM5_9CETA, tr|L8I595|L8I595_9CETA, tr|L8I771|L8I771_9CETA, tr|L8I7S9|L8I7S9_9CETA, tr|L8I7Y5|L8I7Y5_9CETA, tr|L8I5G6|L8I5G6_9CETA, tr|L8I5H5|L8I5H5_9CETA, tr|L8HQI9|L8HQI9_9CETA, tr|L8IN65|L8IN65_9CETA, tr|L8I7X7|L8I7X7_9CETA, tr|L8I7Z5|L8I7Z5_9CETA, tr|L8INA9|L8INA9_9CETA, tr|L8IJP5|L8IJP5_9CETA, tr|L8HX46|L8HX46_9CETA, tr|L8HXC9|L8HXC9_9CETA, tr|L8I4D0|L8I4D0_9CETA, tr|L8HX52|L8HX52_9CETA, tr|L8HZK0|L8HZK0_9CETA
OG0000048	tr|Q3UW09|Q3UW09_MOUSE	tr|L8HUV9|L8HUV9_9CETA, tr|L8HMQ1|L8HMQ1_9CETA, tr|L8HM51|L8HM51_9CETA, tr|L8HPB8|L8HPB8_9CETA, tr|L8IQV5|L8IQV5_9CETA, tr|L8IPD4|L8IPD4_9CETA, tr|L8HUV4|L8HUV4_9CETA, tr|L8HS36|L8HS36_9CETA, tr|L8HTF3|L8HTF3_9CETA, tr|L8IPD7|L8IPD7_9CETA, tr|L8IQV9|L8IQV9_9CETA, tr|L8HTF9|L8HTF9_9CETA, tr|L8HVQ5|L8HVQ5_9CETA, tr|L8HTA0|L8HTA0_9CETA, tr|L8IMX8|L8IMX8_9CETA, tr|L8HVR0|L8HVR0_9CETA, tr|L8IRU0|L8IRU0_9CETA, tr|L8HTA4|L8HTA4_9CETA, tr|L8HS42|L8HS42_9CETA, tr|L8INF6|L8INF6_9CETA
OG0000051	sp|O35682|MYADM_MOUSE	tr|L8J1V3|L8J1V3_9CETA, tr|L8ID16|L8ID16_9CETA, tr|L8IDS8|L8IDS8_9CETA, tr|L8IFR7|L8IFR7_9CETA, tr|L8IDV7|L8IDV7_9CETA, tr|L8IDS2|L8IDS2_9CETA, tr|L8IGY0|L8IGY0_9CETA, tr|L8IGY4|L8IGY4_9CETA, tr|L8HPM8|L8HPM8_9CETA, tr|L8IDW1|L8IDW1_9CETA, tr|L8ID23|L8ID23_9CETA, tr|L8IUI1|L8IUI1_9CETA, tr|L8IGX5|L8IGX5_9CETA, tr|L8HQT2|L8HQT2_9CETA, tr|L8ID19|L8ID19_9CETA, tr|L8IU07|L8IU07_9CETA, tr|L8IFS2|L8IFS2_9CETA, tr|L8IDR7|L8IDR7_9CETA, tr|L8HNE3|L8HNE3_9CETA
OG0000053	tr|Q8VGT7|Q8VGT7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE	tr|L8I8N2|L8I8N2_9CETA
OG0000053	tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE	tr|L8I7Z7|L8I7Z7_9CETA
OG0000053	tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE	tr|L8HSA8|L8HSA8_9CETA, tr|L8IZ59|L8IZ59_9CETA
OG0000054	sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91WW4|MRGA2_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE	tr|L8I041|L8I041_9CETA, tr|L8I9F9|L8I9F9_9CETA
OG0000058	tr|Q8VG26|Q8VG26_MOUSE	tr|L8IKG3|L8IKG3_9CETA
OG0000058	tr|Q7TRP3|Q7TRP3_MOUSE	tr|L8IKF9|L8IKF9_9CETA
OG0000058	tr|Q8VG28|Q8VG28_MOUSE	tr|L8IHH9|L8IHH9_9CETA
OG0000058	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|L8II53|L8II53_9CETA, tr|L8ILI9|L8ILI9_9CETA
OG0000058	tr|Q8VF06|Q8VF06_MOUSE	tr|L8IIN8|L8IIN8_9CETA
OG0000059	sp|Q62413|EPHA6_MOUSE	tr|L8HV05|L8HV05_9CETA
OG0000059	sp|Q60629|EPHA5_MOUSE	tr|L8J570|L8J570_9CETA
OG0000059	sp|P29319|EPHA3_MOUSE	tr|L8ISC2|L8ISC2_9CETA
OG0000059	sp|Q03137|EPHA4_MOUSE	tr|L8J224|L8J224_9CETA
OG0000059	sp|O09127|EPHA8_MOUSE	tr|L8I1M3|L8I1M3_9CETA
OG0000059	sp|Q61772|EPHA7_MOUSE	tr|L8IHD3|L8IHD3_9CETA
OG0000059	sp|P54754|EPHB3_MOUSE	tr|L8HU21|L8HU21_9CETA
OG0000059	sp|P54763|EPHB2_MOUSE, sp|Q8CBF3|EPHB1_MOUSE	tr|L8HUL5|L8HUL5_9CETA
OG0000065	sp|Q8VCX1|AK1D1_MOUSE	tr|L8IEQ8|L8IEQ8_9CETA, tr|L8I9X6|L8I9X6_9CETA, tr|L8I8W4|L8I8W4_9CETA, tr|L8HPZ3|L8HPZ3_9CETA, tr|L8IBR6|L8IBR6_9CETA, tr|L8HPR3|L8HPR3_9CETA, tr|L8HRB8|L8HRB8_9CETA, tr|L8HPW6|L8HPW6_9CETA, tr|L8HS81|L8HS81_9CETA, tr|L8I8Y8|L8I8Y8_9CETA, tr|L8HSD5|L8HSD5_9CETA, tr|L8I8Y2|L8I8Y2_9CETA, tr|L8I690|L8I690_9CETA, tr|L8I718|L8I718_9CETA, tr|L8I787|L8I787_9CETA, tr|L8I9Y3|L8I9Y3_9CETA, tr|L8I723|L8I723_9CETA
OG0000066	sp|B1AWN6|SCN2A_MOUSE	tr|M0QSH1|M0QSH1_9CETA
OG0000066	sp|Q9R053|SCNBA_MOUSE	tr|M0QSV2|M0QSV2_9CETA
OG0000066	tr|B1AYL1|B1AYL1_MOUSE	tr|L8HZV4|L8HZV4_9CETA, tr|M0QSQ6|M0QSQ6_9CETA
OG0000066	sp|Q6QIY3|SCNAA_MOUSE, sp|Q9JJV9|SCN5A_MOUSE	tr|M0QSR5|M0QSR5_9CETA
OG0000066	sp|Q9ER60|SCN4A_MOUSE	tr|M0QSM9|M0QSM9_9CETA
OG0000066	sp|Q9WTU3|SCN8A_MOUSE	tr|M0QSP4|M0QSP4_9CETA
OG0000066	sp|Q62205|SCN9A_MOUSE	tr|M0QSG4|M0QSG4_9CETA
OG0000067	sp|P70423|CTR3_MOUSE	tr|L8I984|L8I984_9CETA
OG0000067	sp|Q09143|CTR1_MOUSE	tr|L8I6J8|L8I6J8_9CETA
OG0000067	tr|E9PWS4|E9PWS4_MOUSE	tr|L8HMQ4|L8HMQ4_9CETA, tr|L8HVI7|L8HVI7_9CETA, tr|L8HSV0|L8HSV0_9CETA, tr|L8HTV6|L8HTV6_9CETA, tr|L8HZN7|L8HZN7_9CETA, tr|L8HMH7|L8HMH7_9CETA, tr|L8HRD4|L8HRD4_9CETA, tr|L8HNY0|L8HNY0_9CETA, tr|L8IGQ8|L8IGQ8_9CETA, tr|L8HQJ3|L8HQJ3_9CETA, tr|L8HNA6|L8HNA6_9CETA, tr|L8HRC5|L8HRC5_9CETA, tr|L8HNX0|L8HNX0_9CETA
OG0000071	tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE	tr|L8HQW1|L8HQW1_9CETA
OG0000071	tr|A0A0U1RP76|A0A0U1RP76_MOUSE	tr|L8I156|L8I156_9CETA
OG0000071	tr|Q8VGU2|Q8VGU2_MOUSE	tr|L8I208|L8I208_9CETA
OG0000072	tr|Q7TR79|Q7TR79_MOUSE	tr|L8HQL1|L8HQL1_9CETA, tr|L8HVS7|L8HVS7_9CETA, tr|L8IU06|L8IU06_9CETA, tr|L8HL22|L8HL22_9CETA, tr|L8HN69|L8HN69_9CETA, tr|L8IH26|L8IH26_9CETA, tr|L8IWT4|L8IWT4_9CETA, tr|L8HLZ9|L8HLZ9_9CETA, tr|L8I059|L8I059_9CETA, tr|L8IV17|L8IV17_9CETA, tr|L8J5E3|L8J5E3_9CETA, tr|L8J2T1|L8J2T1_9CETA, tr|L8HPU5|L8HPU5_9CETA, tr|L8HNV8|L8HNV8_9CETA, tr|L8IEY4|L8IEY4_9CETA, tr|L8ITE5|L8ITE5_9CETA
OG0000074	tr|Q8VGA0|Q8VGA0_MOUSE	tr|L8HWS5|L8HWS5_9CETA
OG0000074	tr|Q8VG87|Q8VG87_MOUSE	tr|L8HYC1|L8HYC1_9CETA, tr|L8HWG5|L8HWG5_9CETA
OG0000074	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|L8HVM1|L8HVM1_9CETA, tr|L8HVE0|L8HVE0_9CETA, tr|L8IPY5|L8IPY5_9CETA
OG0000075	tr|Q8VEV1|Q8VEV1_MOUSE	tr|L8J424|L8J424_9CETA, tr|L8J671|L8J671_9CETA, tr|L8J2M1|L8J2M1_9CETA, tr|L8I814|L8I814_9CETA, tr|L8I6A4|L8I6A4_9CETA, tr|L8I585|L8I585_9CETA, tr|L8J265|L8J265_9CETA, tr|L8I8Y0|L8I8Y0_9CETA, tr|L8J5R7|L8J5R7_9CETA, tr|L8HPA1|L8HPA1_9CETA, tr|L8I6B0|L8I6B0_9CETA, tr|L8HLU7|L8HLU7_9CETA, tr|L8HLW3|L8HLW3_9CETA, tr|L8I646|L8I646_9CETA, tr|L8I593|L8I593_9CETA, tr|L8J5S2|L8J5S2_9CETA
