Orthogroup	Mus_musculus	Erinaceus_europaeus
OG0000017	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A1S3AHC8|A0A1S3AHC8_ERIEU, tr|A0A1S3A017|A0A1S3A017_ERIEU, tr|A0A1S3A015|A0A1S3A015_ERIEU, tr|A0A1S2ZZY7|A0A1S2ZZY7_ERIEU, tr|A0A1S2ZZZ3|A0A1S2ZZZ3_ERIEU, tr|A0A1S2ZZY6|A0A1S2ZZY6_ERIEU, tr|A0A1S2ZZZ0|A0A1S2ZZZ0_ERIEU, tr|A0A1S3A007|A0A1S3A007_ERIEU, tr|A0A1S2ZZY0|A0A1S2ZZY0_ERIEU, tr|A0A1S2ZZX9|A0A1S2ZZX9_ERIEU, tr|A0A1S3A016|A0A1S3A016_ERIEU, tr|A0A1S3A023|A0A1S3A023_ERIEU, tr|A0A1S2ZZY3|A0A1S2ZZY3_ERIEU, tr|A0A1S2ZZZ1|A0A1S2ZZZ1_ERIEU, tr|A0A1S3AHI2|A0A1S3AHI2_ERIEU, tr|A0A1S3AHJ3|A0A1S3AHJ3_ERIEU, tr|A0A1S2ZAT9|A0A1S2ZAT9_ERIEU, tr|A0A1S2ZAT8|A0A1S2ZAT8_ERIEU, tr|A0A1S2ZAT7|A0A1S2ZAT7_ERIEU, tr|A0A1S2ZAT2|A0A1S2ZAT2_ERIEU, tr|A0A1S2ZAS9|A0A1S2ZAS9_ERIEU, tr|A0A1S2ZAT4|A0A1S2ZAT4_ERIEU, tr|A0A1S2ZNV4|A0A1S2ZNV4_ERIEU, tr|A0A1S2ZNW7|A0A1S2ZNW7_ERIEU, tr|A0A1S3WWH1|A0A1S3WWH1_ERIEU, tr|A0A1S3AQ70|A0A1S3AQ70_ERIEU, tr|A0A1S2ZNW2|A0A1S2ZNW2_ERIEU, tr|A0A1S3AQ39|A0A1S3AQ39_ERIEU
OG0000020	tr|Q8K501|Q8K501_MOUSE	tr|A0A1S2ZEG9|A0A1S2ZEG9_ERIEU
OG0000020	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A1S2ZEG8|A0A1S2ZEG8_ERIEU, tr|A0A1S2ZEX6|A0A1S2ZEX6_ERIEU, tr|A0A1S2ZEH1|A0A1S2ZEH1_ERIEU
OG0000020	tr|Q8VF26|Q8VF26_MOUSE	tr|A0A1S2ZEZ1|A0A1S2ZEZ1_ERIEU, tr|A0A1S3AQY0|A0A1S3AQY0_ERIEU, tr|A0A1S2ZEG0|A0A1S2ZEG0_ERIEU, tr|A0A1S2ZEI3|A0A1S2ZEI3_ERIEU, tr|A0A1S2ZEI8|A0A1S2ZEI8_ERIEU, tr|A0A1S2ZEW6|A0A1S2ZEW6_ERIEU, tr|A0A1S2ZEX5|A0A1S2ZEX5_ERIEU, tr|A0A1S2ZEH7|A0A1S2ZEH7_ERIEU, tr|A0A1S2ZEI5|A0A1S2ZEI5_ERIEU, tr|A0A1S2ZEY1|A0A1S2ZEY1_ERIEU, tr|A0A1S2ZEI9|A0A1S2ZEI9_ERIEU, tr|A0A1S2ZEI1|A0A1S2ZEI1_ERIEU, tr|A0A1S2ZEY3|A0A1S2ZEY3_ERIEU, tr|A0A1S2ZEY0|A0A1S2ZEY0_ERIEU, tr|A0A1S2ZEX2|A0A1S2ZEX2_ERIEU, tr|A0A1S2ZEX9|A0A1S2ZEX9_ERIEU, tr|A0A1S2ZEX7|A0A1S2ZEX7_ERIEU, tr|A0A1S2ZEY4|A0A1S2ZEY4_ERIEU, tr|A0A1S2ZEY2|A0A1S2ZEY2_ERIEU, tr|A0A1S2ZEY8|A0A1S2ZEY8_ERIEU, tr|A0A1S2ZEI0|A0A1S2ZEI0_ERIEU, tr|A0A1S2ZEH8|A0A1S2ZEH8_ERIEU, tr|A0A1S2ZEI2|A0A1S2ZEI2_ERIEU, tr|A0A1S2ZEH2|A0A1S2ZEH2_ERIEU, tr|A0A1S2ZEH5|A0A1S2ZEH5_ERIEU, tr|A0A1S2ZEH3|A0A1S2ZEH3_ERIEU, tr|A0A1S2ZEX1|A0A1S2ZEX1_ERIEU, tr|A0A1S2ZEH6|A0A1S2ZEH6_ERIEU, tr|A0A1S2ZEG3|A0A1S2ZEG3_ERIEU, tr|A0A1S2ZEH4|A0A1S2ZEH4_ERIEU, tr|A0A1S2ZEY9|A0A1S2ZEY9_ERIEU
OG0000023	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A1S3W5V8|A0A1S3W5V8_ERIEU
OG0000023	tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A1S2ZGM4|A0A1S2ZGM4_ERIEU, tr|A0A1S2ZYA8|A0A1S2ZYA8_ERIEU, tr|A0A1S2ZY78|A0A1S2ZY78_ERIEU, tr|A0A1S2ZY76|A0A1S2ZY76_ERIEU, tr|A0A1S2ZGW2|A0A1S2ZGW2_ERIEU, tr|A0A1S2ZYB0|A0A1S2ZYB0_ERIEU, tr|A0A1S2ZGM5|A0A1S2ZGM5_ERIEU, tr|A0A1S2ZGW6|A0A1S2ZGW6_ERIEU, tr|A0A1S2ZGY1|A0A1S2ZGY1_ERIEU, tr|A0A1S2ZGM6|A0A1S2ZGM6_ERIEU, tr|A0A1S2ZGY0|A0A1S2ZGY0_ERIEU, tr|A0A1S2ZGX3|A0A1S2ZGX3_ERIEU, tr|A0A1S2ZGY3|A0A1S2ZGY3_ERIEU, tr|A0A1S2ZGX0|A0A1S2ZGX0_ERIEU, tr|A0A1S2ZGX4|A0A1S2ZGX4_ERIEU, tr|A0A1S2ZGX8|A0A1S2ZGX8_ERIEU, tr|A0A1S3AM31|A0A1S3AM31_ERIEU, tr|A0A1S2ZGY8|A0A1S2ZGY8_ERIEU, tr|A0A1S2ZGM8|A0A1S2ZGM8_ERIEU, tr|A0A1S2ZGU7|A0A1S2ZGU7_ERIEU, tr|A0A1S2ZGV8|A0A1S2ZGV8_ERIEU, tr|A0A1S2ZGV0|A0A1S2ZGV0_ERIEU, tr|A0A1S2ZGV4|A0A1S2ZGV4_ERIEU, tr|A0A1S2ZGW1|A0A1S2ZGW1_ERIEU, tr|A0A1S2ZGM0|A0A1S2ZGM0_ERIEU, tr|A0A1S2ZGL6|A0A1S2ZGL6_ERIEU, tr|A0A1S2ZGU4|A0A1S2ZGU4_ERIEU, tr|A0A1S2ZGV3|A0A1S2ZGV3_ERIEU, tr|A0A1S2ZGL4|A0A1S2ZGL4_ERIEU, tr|A0A1S2ZGM1|A0A1S2ZGM1_ERIEU, tr|A0A1S2ZGX6|A0A1S2ZGX6_ERIEU
OG0000029	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|A0A1S3AFM7|A0A1S3AFM7_ERIEU, tr|A0A1S3AFH8|A0A1S3AFH8_ERIEU, tr|A0A1S3AF70|A0A1S3AF70_ERIEU, tr|A0A1S3ANM1|A0A1S3ANM1_ERIEU, tr|A0A1S3AP04|A0A1S3AP04_ERIEU
OG0000029	tr|Q14AJ9|Q14AJ9_MOUSE	tr|A0A1S3AN07|A0A1S3AN07_ERIEU, tr|A0A1S3ANQ9|A0A1S3ANQ9_ERIEU, tr|A0A1S3ANR1|A0A1S3ANR1_ERIEU, tr|A0A1S3APK6|A0A1S3APK6_ERIEU, tr|A0A1S2ZAU0|A0A1S2ZAU0_ERIEU, tr|A0A1S2ZAS2|A0A1S2ZAS2_ERIEU, tr|A0A1S2ZAQ6|A0A1S2ZAQ6_ERIEU, tr|A0A1S2ZAS8|A0A1S2ZAS8_ERIEU, tr|A0A1S3W495|A0A1S3W495_ERIEU, tr|A0A1S2ZAS5|A0A1S2ZAS5_ERIEU, tr|A0A1S2ZAT5|A0A1S2ZAT5_ERIEU, tr|A0A1S2ZAP6|A0A1S2ZAP6_ERIEU, tr|A0A1S3ANM6|A0A1S3ANM6_ERIEU, tr|A0A1S3AN93|A0A1S3AN93_ERIEU, tr|A0A1S3ANZ9|A0A1S3ANZ9_ERIEU, tr|A0A1S3AP57|A0A1S3AP57_ERIEU, tr|A0A1S2ZAS3|A0A1S2ZAS3_ERIEU, tr|A0A1S3APF9|A0A1S3APF9_ERIEU, tr|A0A1S3AHM1|A0A1S3AHM1_ERIEU, tr|A0A1S3W490|A0A1S3W490_ERIEU, tr|A0A1S3AQZ5|A0A1S3AQZ5_ERIEU, tr|A0A1S3AQY3|A0A1S3AQY3_ERIEU
OG0000034	sp|Q0VAW7|ZN112_MOUSE	tr|A0A1S3ACN2|A0A1S3ACN2_ERIEU
OG0000034	sp|Q3V080|ZN583_MOUSE	tr|A0A1S3WNJ9|A0A1S3WNJ9_ERIEU, tr|A0A1S3A9C1|A0A1S3A9C1_ERIEU, tr|A0A1S3WU87|A0A1S3WU87_ERIEU, tr|A0A1S3WSV2|A0A1S3WSV2_ERIEU, tr|A0A1S3WV34|A0A1S3WV34_ERIEU, tr|A0A1S3AP34|A0A1S3AP34_ERIEU, tr|A0A1S3WJX0|A0A1S3WJX0_ERIEU, tr|A0A1S3W1Z0|A0A1S3W1Z0_ERIEU, tr|A0A1S3W3Y9|A0A1S3W3Y9_ERIEU, tr|A0A1S2ZWJ0|A0A1S2ZWJ0_ERIEU, tr|A0A1S3WQ99|A0A1S3WQ99_ERIEU, tr|A0A1S3WSE5|A0A1S3WSE5_ERIEU, tr|A0A1S3WPU9|A0A1S3WPU9_ERIEU, tr|A0A1S3WQT5|A0A1S3WQT5_ERIEU, tr|A0A1S3WVD6|A0A1S3WVD6_ERIEU, tr|A0A1S3WVZ4|A0A1S3WVZ4_ERIEU, tr|A0A1S3WQA6|A0A1S3WQA6_ERIEU, tr|A0A1S3WW89|A0A1S3WW89_ERIEU, tr|A0A1S3WU11|A0A1S3WU11_ERIEU, tr|A0A1S3WQ78|A0A1S3WQ78_ERIEU, tr|A0A1S3APG8|A0A1S3APG8_ERIEU, tr|A0A1S3WQU5|A0A1S3WQU5_ERIEU, tr|A0A1S3WQF6|A0A1S3WQF6_ERIEU
OG0000035	sp|Q9DCV7|K2C7_MOUSE	tr|A0A1S2ZF23|A0A1S2ZF23_ERIEU
OG0000035	sp|Q8VED5|K2C79_MOUSE	tr|A0A1S2ZES7|A0A1S2ZES7_ERIEU
OG0000035	sp|Q6IME9|K2C72_MOUSE	tr|A0A1S2ZET6|A0A1S2ZET6_ERIEU
OG0000035	sp|Q6NXH9|K2C73_MOUSE	tr|A0A1S2ZES9|A0A1S2ZES9_ERIEU
OG0000035	sp|Q9R0H5|K2C71_MOUSE	tr|A0A1S2ZET3|A0A1S2ZET3_ERIEU
OG0000035	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A1S2ZET2|A0A1S2ZET2_ERIEU, tr|A0A1S2ZF18|A0A1S2ZF18_ERIEU, tr|A0A1S2ZF17|A0A1S2ZF17_ERIEU
OG0000035	sp|P07744|K2C4_MOUSE	tr|A0A1S2ZER7|A0A1S2ZER7_ERIEU, tr|A0A1S2ZES5|A0A1S2ZES5_ERIEU, tr|A0A1S2ZES1|A0A1S2ZES1_ERIEU, tr|A0A1S3W548|A0A1S3W548_ERIEU, tr|A0A1S2ZF10|A0A1S2ZF10_ERIEU
OG0000036	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A1S3AMK3|A0A1S3AMK3_ERIEU, tr|A0A1S3AMK9|A0A1S3AMK9_ERIEU
OG0000036	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A1S3ALU7|A0A1S3ALU7_ERIEU
OG0000036	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A1S3AP98|A0A1S3AP98_ERIEU
OG0000036	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A1S3ANH2|A0A1S3ANH2_ERIEU, tr|A0A1S3ANH7|A0A1S3ANH7_ERIEU, tr|A0A1S3ANX7|A0A1S3ANX7_ERIEU, tr|A0A1S3ANZ2|A0A1S3ANZ2_ERIEU, tr|A0A1S3AMJ8|A0A1S3AMJ8_ERIEU
OG0000041	tr|Q8VET0|Q8VET0_MOUSE	tr|A0A1S2ZMP8|A0A1S2ZMP8_ERIEU
OG0000041	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A1S2ZMM7|A0A1S2ZMM7_ERIEU
OG0000041	tr|A2AVW3|A2AVW3_MOUSE	tr|A0A1S2ZMR5|A0A1S2ZMR5_ERIEU
OG0000041	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A1S2ZMM6|A0A1S2ZMM6_ERIEU, tr|A0A1S2ZMP4|A0A1S2ZMP4_ERIEU, tr|A0A1S2ZMN4|A0A1S2ZMN4_ERIEU, tr|A0A1S2ZMM3|A0A1S2ZMM3_ERIEU
OG0000041	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A1S2ZMR9|A0A1S2ZMR9_ERIEU, tr|A0A1S2ZMS0|A0A1S2ZMS0_ERIEU, tr|A0A1S2ZMR1|A0A1S2ZMR1_ERIEU, tr|A0A1S2ZMQ8|A0A1S2ZMQ8_ERIEU, tr|A0A1S3AP07|A0A1S3AP07_ERIEU, tr|A0A1S2ZMR7|A0A1S2ZMR7_ERIEU, tr|A0A1S2ZMQ5|A0A1S2ZMQ5_ERIEU, tr|A0A1S2ZMS7|A0A1S2ZMS7_ERIEU, tr|A0A1S3WAA0|A0A1S3WAA0_ERIEU, tr|A0A1S2ZML8|A0A1S2ZML8_ERIEU
OG0000041	tr|Q8VF85|Q8VF85_MOUSE	tr|A0A1S2ZMM9|A0A1S2ZMM9_ERIEU
OG0000042	sp|Q8CIE0|SPA11_MOUSE	tr|A0A1S3A4C4|A0A1S3A4C4_ERIEU
OG0000042	sp|Q9D7D2|SPA9_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P07759|SPA3K_MOUSE, sp|P29621|SPA3C_MOUSE, tr|D3Z450|D3Z450_MOUSE, sp|Q80X76|SPA3F_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|P70458|IPSP_MOUSE	tr|A0A1S3WIU1|A0A1S3WIU1_ERIEU
OG0000042	sp|P07758|A1AT1_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|Q00898|A1AT5_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, tr|D3Z660|D3Z660_MOUSE	tr|A0A1S3A4G6|A0A1S3A4G6_ERIEU
OG0000044	sp|Q80ZE3|SIG10_MOUSE	tr|A0A1S3ALU4|A0A1S3ALU4_ERIEU
OG0000044	tr|B7ZMQ6|B7ZMQ6_MOUSE, sp|Q63994|CD33_MOUSE	tr|A0A1S3WTW1|A0A1S3WTW1_ERIEU, tr|A0A1S3WU84|A0A1S3WU84_ERIEU, tr|A0A1S3WTL5|A0A1S3WTL5_ERIEU, tr|A0A1S3WU80|A0A1S3WU80_ERIEU, tr|A0A1S3ALH2|A0A1S3ALH2_ERIEU, tr|A0A1S3WTM8|A0A1S3WTM8_ERIEU, tr|A0A1S3WU88|A0A1S3WU88_ERIEU, tr|A0A1S3ALU0|A0A1S3ALU0_ERIEU, tr|A0A1S3ALD9|A0A1S3ALD9_ERIEU, tr|A0A1S3WTR1|A0A1S3WTR1_ERIEU
OG0000044	sp|Q91Y57|SIG12_MOUSE	tr|A0A1S3WTQ5|A0A1S3WTQ5_ERIEU
OG0000044	sp|Q920G3|SIGL5_MOUSE	tr|A0A1S3WMB3|A0A1S3WMB3_ERIEU
OG0000045	tr|Q4FZE8|Q4FZE8_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|P02762|MUP6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE	tr|A0A1S2ZMC9|A0A1S2ZMC9_ERIEU
OG0000049	sp|Q62007|OLF16_MOUSE	tr|A0A1S3A7E9|A0A1S3A7E9_ERIEU, tr|A0A1S3A7I1|A0A1S3A7I1_ERIEU
OG0000049	tr|E9Q848|E9Q848_MOUSE	tr|A0A1S3A7J3|A0A1S3A7J3_ERIEU, tr|A0A1S3A7K7|A0A1S3A7K7_ERIEU
OG0000049	tr|A0A2I3BRV4|A0A2I3BRV4_MOUSE	tr|A0A1S3A7P6|A0A1S3A7P6_ERIEU, tr|A0A1S3A7K0|A0A1S3A7K0_ERIEU, tr|A0A1S3A7H9|A0A1S3A7H9_ERIEU, tr|A0A1S3A7J5|A0A1S3A7J5_ERIEU, tr|A0A1S3A7H4|A0A1S3A7H4_ERIEU, tr|A0A1S3A7L0|A0A1S3A7L0_ERIEU
OG0000049	tr|A0A140T8J6|A0A140T8J6_MOUSE	tr|A0A1S3WKU4|A0A1S3WKU4_ERIEU, tr|A0A1S3A7M0|A0A1S3A7M0_ERIEU, tr|A0A1S3A7L6|A0A1S3A7L6_ERIEU
OG0000052	tr|E9Q0Z1|E9Q0Z1_MOUSE	tr|A0A1S3ALP7|A0A1S3ALP7_ERIEU
OG0000052	tr|Q8VFE7|Q8VFE7_MOUSE, tr|Q8VFP2|Q8VFP2_MOUSE	tr|A0A1S3AQU0|A0A1S3AQU0_ERIEU, tr|A0A1S3ANH4|A0A1S3ANH4_ERIEU
OG0000052	sp|Q9Z1V0|OLF49_MOUSE	tr|A0A1S3A447|A0A1S3A447_ERIEU, tr|A0A1S3AMY4|A0A1S3AMY4_ERIEU, tr|A0A1S3AMZ4|A0A1S3AMZ4_ERIEU, tr|A0A1S3ANI3|A0A1S3ANI3_ERIEU
OG0000053	tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE	tr|A0A1S2ZKD5|A0A1S2ZKD5_ERIEU, tr|A0A1S2ZKD8|A0A1S2ZKD8_ERIEU
OG0000053	tr|Q8VF62|Q8VF62_MOUSE	tr|A0A1S2ZKF6|A0A1S2ZKF6_ERIEU
OG0000053	sp|Q60882|OL145_MOUSE	tr|A0A1S2ZKD9|A0A1S2ZKD9_ERIEU, tr|A0A1S2ZKF3|A0A1S2ZKF3_ERIEU, tr|A0A1S2ZKD7|A0A1S2ZKD7_ERIEU, tr|A0A1S2ZKD3|A0A1S2ZKD3_ERIEU, tr|A0A1S2ZKE1|A0A1S2ZKE1_ERIEU, tr|A0A1S2ZKF8|A0A1S2ZKF8_ERIEU, tr|A0A1S2ZKG7|A0A1S2ZKG7_ERIEU, tr|A0A1S2ZKH4|A0A1S2ZKH4_ERIEU, tr|A0A1S2ZKH1|A0A1S2ZKH1_ERIEU, tr|A0A1S2ZKG3|A0A1S2ZKG3_ERIEU, tr|A0A1S2ZKG0|A0A1S2ZKG0_ERIEU, tr|A0A1S2ZKG9|A0A1S2ZKG9_ERIEU
OG0000060	sp|Q9JK39|BTNLA_MOUSE	tr|A0A1S3AHH6|A0A1S3AHH6_ERIEU
OG0000060	sp|A4QPC6|BT2A2_MOUSE	tr|A0A1S3AGI7|A0A1S3AGI7_ERIEU
OG0000060	sp|Q62556|BT1A1_MOUSE	tr|A0A1S3AGF8|A0A1S3AGF8_ERIEU
OG0000061	tr|A0A1L1SQH2|A0A1L1SQH2_MOUSE	tr|A0A1S2ZA54|A0A1S2ZA54_ERIEU, tr|A0A1S2ZA52|A0A1S2ZA52_ERIEU
OG0000061	tr|Q8VG87|Q8VG87_MOUSE	tr|A0A1S2ZA61|A0A1S2ZA61_ERIEU, tr|A0A1S3W2S0|A0A1S3W2S0_ERIEU
