Orthogroup	Mus_musculus	Rhinolophus_ferrumequinum
OG0000008	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A671E903|A0A671E903_RHIFE, tr|A0A671EBZ6|A0A671EBZ6_RHIFE, tr|A0A671E5W9|A0A671E5W9_RHIFE
OG0000013	sp|P17534|DFAR2_MOUSE, sp|P50715|DFA31_MOUSE, sp|Q64263|DAR10_MOUSE, sp|P50716|DAR12_MOUSE, tr|Q5ERI8|Q5ERI8_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, sp|P17533|DFA29_MOUSE, tr|Q9D848|Q9D848_MOUSE, tr|D3YX03|D3YX03_MOUSE, tr|D3YX02|D3YX02_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, sp|P28312|DEFA5_MOUSE, tr|K9J724|K9J724_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q45VN2|DFA20_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50705|DEFA7_MOUSE, sp|P50706|DEFA8_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50712|DFA14_MOUSE, sp|P28310|DEFA3_MOUSE, sp|P28309|DEFA2_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|P50708|DFA10_MOUSE, sp|P50714|DFA16_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50709|DFA11_MOUSE, sp|P50704|DEFA6_MOUSE, sp|Q5G865|DFA24_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE	tr|A0A671FN37|A0A671FN37_RHIFE
OG0000017	tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|K7N775|K7N775_MOUSE, tr|K7N688|K7N688_MOUSE, tr|K7N778|K7N778_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE	tr|A0A671EY15|A0A671EY15_RHIFE
OG0000018	tr|Q91Y09|Q91Y09_MOUSE	tr|A0A671FEG8|A0A671FEG8_RHIFE
OG0000018	tr|Q91Y12|Q91Y12_MOUSE, sp|Q91Y13|PCDA7_MOUSE, tr|Q91Y15|Q91Y15_MOUSE, sp|Q91Y20|PCDAA_MOUSE, tr|Q91Y18|Q91Y18_MOUSE, tr|Q91Y19|Q91Y19_MOUSE, sp|Q91Y11|PCDA9_MOUSE, tr|Q91Y14|Q91Y14_MOUSE, tr|Q91Y21|Q91Y21_MOUSE, tr|Q91Y17|Q91Y17_MOUSE, sp|O88689|PCDA4_MOUSE, tr|Q91Y16|Q91Y16_MOUSE, tr|Q91Y10|Q91Y10_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE	tr|A0A671E8V0|A0A671E8V0_RHIFE
OG0000026	tr|A0A075B5W7|A0A075B5W7_MOUSE, tr|A0A075B5U0|A0A075B5U0_MOUSE	tr|A0A671G019|A0A671G019_RHIFE, tr|A0A671FZ56|A0A671FZ56_RHIFE, tr|A0A671G683|A0A671G683_RHIFE, tr|A0A671FZ24|A0A671FZ24_RHIFE, tr|A0A671F5E1|A0A671F5E1_RHIFE, tr|A0A671FA69|A0A671FA69_RHIFE, tr|A0A671F9K4|A0A671F9K4_RHIFE, tr|A0A671FA97|A0A671FA97_RHIFE, tr|A0A671F5D9|A0A671F5D9_RHIFE, tr|A0A671FEP1|A0A671FEP1_RHIFE, tr|A0A671F7B9|A0A671F7B9_RHIFE, tr|A0A671G750|A0A671G750_RHIFE, tr|A0A671FIR9|A0A671FIR9_RHIFE, tr|A0A671DQ56|A0A671DQ56_RHIFE, tr|A0A671F3H7|A0A671F3H7_RHIFE, tr|A0A671FJ87|A0A671FJ87_RHIFE, tr|A0A671DLW2|A0A671DLW2_RHIFE, tr|A0A671F624|A0A671F624_RHIFE, tr|A0A671FJ61|A0A671FJ61_RHIFE, tr|A0A671G7P7|A0A671G7P7_RHIFE, tr|A0A671FAY0|A0A671FAY0_RHIFE, tr|A0A671F958|A0A671F958_RHIFE, tr|A0A671F8T9|A0A671F8T9_RHIFE, tr|A0A671G5H7|A0A671G5H7_RHIFE, tr|A0A671F9R1|A0A671F9R1_RHIFE, tr|A0A671F4L7|A0A671F4L7_RHIFE, tr|A0A671FCH1|A0A671FCH1_RHIFE, tr|A0A671G462|A0A671G462_RHIFE, tr|A0A671DM61|A0A671DM61_RHIFE
OG0000028	tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q5NC45|Q5NC45_MOUSE	tr|A0A671FB64|A0A671FB64_RHIFE
OG0000029	tr|G3UW88|G3UW88_MOUSE	tr|A0A671DPA1|A0A671DPA1_RHIFE, tr|A0A671DPS0|A0A671DPS0_RHIFE, tr|A0A671DU83|A0A671DU83_RHIFE, tr|A0A671EFM9|A0A671EFM9_RHIFE, tr|A0A671DXF4|A0A671DXF4_RHIFE
OG0000029	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A671DM70|A0A671DM70_RHIFE, tr|A0A671DHU8|A0A671DHU8_RHIFE
OG0000029	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A671E741|A0A671E741_RHIFE, tr|A0A671EGJ5|A0A671EGJ5_RHIFE, tr|A0A671E6W1|A0A671E6W1_RHIFE, tr|A0A671EBQ6|A0A671EBQ6_RHIFE, tr|A0A671EFW9|A0A671EFW9_RHIFE, tr|A0A671DIL0|A0A671DIL0_RHIFE, tr|A0A671DL94|A0A671DL94_RHIFE, tr|A0A671DHG3|A0A671DHG3_RHIFE
OG0000030	tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE	tr|A0A671DY24|A0A671DY24_RHIFE
OG0000033	tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q9R0K2|Q9R0K2_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|A2AV10|A2AV10_MOUSE	tr|A0A671ELH7|A0A671ELH7_RHIFE
OG0000037	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE, tr|Q7TRJ8|Q7TRJ8_MOUSE, tr|Q923Q8|Q923Q8_MOUSE, tr|Q8VEU4|Q8VEU4_MOUSE, tr|Q923Q6|Q923Q6_MOUSE, tr|Q8C0S2|Q8C0S2_MOUSE, tr|Q7TRJ0|Q7TRJ0_MOUSE, tr|Q7TRJ1|Q7TRJ1_MOUSE, tr|Q8VF25|Q8VF25_MOUSE, tr|Q8VGF0|Q8VGF0_MOUSE, tr|Q14AJ9|Q14AJ9_MOUSE, tr|Q7TS06|Q7TS06_MOUSE, tr|F7CWV4|F7CWV4_MOUSE, tr|Q7TS03|Q7TS03_MOUSE, tr|Q8VFN8|Q8VFN8_MOUSE, tr|Q7TS02|Q7TS02_MOUSE, tr|Q7TS07|Q7TS07_MOUSE, tr|F8VQ84|F8VQ84_MOUSE, tr|Q7TS08|Q7TS08_MOUSE, tr|Q7TS04|Q7TS04_MOUSE, tr|Q7TS05|Q7TS05_MOUSE, tr|B2RVZ1|B2RVZ1_MOUSE, tr|Q7TS10|Q7TS10_MOUSE	tr|A0A671ETW7|A0A671ETW7_RHIFE
OG0000039	tr|Q7TRP3|Q7TRP3_MOUSE	tr|A0A671EPA8|A0A671EPA8_RHIFE
OG0000039	tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE, tr|Q8VF03|Q8VF03_MOUSE, tr|Q8VGY7|Q8VGY7_MOUSE, tr|E9Q564|E9Q564_MOUSE, tr|Q0VBH3|Q0VBH3_MOUSE, tr|E9PUN7|E9PUN7_MOUSE, tr|Q8VG26|Q8VG26_MOUSE	tr|B2KI18|B2KI18_RHIFE
OG0000039	tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A671F1J6|A0A671F1J6_RHIFE
OG0000039	tr|Q8VG28|Q8VG28_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE	tr|A0A671EUF1|A0A671EUF1_RHIFE
OG0000041	tr|Q8VF26|Q8VF26_MOUSE	tr|A0A671DZA2|A0A671DZA2_RHIFE, tr|A0A671DZC9|A0A671DZC9_RHIFE, tr|A0A671DZB3|A0A671DZB3_RHIFE, tr|A0A671DZN3|A0A671DZN3_RHIFE, tr|A0A671EFC0|A0A671EFC0_RHIFE, tr|A0A671E7G5|A0A671E7G5_RHIFE, tr|A0A671E3N4|A0A671E3N4_RHIFE, tr|A0A671E6W2|A0A671E6W2_RHIFE, tr|A0A671E7I0|A0A671E7I0_RHIFE, tr|A0A671EC33|A0A671EC33_RHIFE, tr|A0A671DYJ7|A0A671DYJ7_RHIFE, tr|A0A671E6K1|A0A671E6K1_RHIFE, tr|A0A671DZC1|A0A671DZC1_RHIFE, tr|A0A671E3D9|A0A671E3D9_RHIFE, tr|A0A671DZ09|A0A671DZ09_RHIFE, tr|A0A671DYP9|A0A671DYP9_RHIFE, tr|A0A671E6S3|A0A671E6S3_RHIFE, tr|A0A671E3R7|A0A671E3R7_RHIFE, tr|A0A671E3C8|A0A671E3C8_RHIFE, tr|A0A671DYA2|A0A671DYA2_RHIFE, tr|A0A671DZ03|A0A671DZ03_RHIFE, tr|A0A671DY80|A0A671DY80_RHIFE
OG0000044	tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE	tr|A0A671F1X0|A0A671F1X0_RHIFE
OG0000046	sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VG04|OL478_MOUSE	tr|A0A671E508|A0A671E508_RHIFE
OG0000047	sp|Q8VED5|K2C79_MOUSE	tr|A0A671DQE1|A0A671DQE1_RHIFE
OG0000047	sp|Q6NXH9|K2C73_MOUSE	tr|A0A671DKW1|A0A671DKW1_RHIFE
OG0000047	sp|Q9R0H5|K2C71_MOUSE	tr|A0A671DK17|A0A671DK17_RHIFE
OG0000047	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A671DJL0|A0A671DJL0_RHIFE
OG0000047	sp|Q6IME9|K2C72_MOUSE	tr|A0A671DKF9|A0A671DKF9_RHIFE
OG0000047	sp|Q9DCV7|K2C7_MOUSE	tr|A0A671DJZ7|A0A671DJZ7_RHIFE, tr|A0A671DNB7|A0A671DNB7_RHIFE, tr|A0A671DNI3|A0A671DNI3_RHIFE, tr|A0A671FY32|A0A671FY32_RHIFE
OG0000048	tr|Q8BGS5|Q8BGS5_MOUSE	tr|A0A671ECU2|A0A671ECU2_RHIFE
OG0000048	sp|Q07231|ZSC21_MOUSE	tr|A0A671DSH0|A0A671DSH0_RHIFE
OG0000048	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A671E1E9|A0A671E1E9_RHIFE, tr|A0A671EB57|A0A671EB57_RHIFE
OG0000048	sp|Q91VN1|ZNF24_MOUSE	tr|A0A671FP85|A0A671FP85_RHIFE, tr|A0A671DXX3|A0A671DXX3_RHIFE, tr|A0A671FQ08|A0A671FQ08_RHIFE, tr|A0A671ED10|A0A671ED10_RHIFE, tr|A0A671E9T0|A0A671E9T0_RHIFE, tr|A0A671ECK1|A0A671ECK1_RHIFE
OG0000050	tr|E9PYP1|E9PYP1_MOUSE	tr|A0A671FXH8|A0A671FXH8_RHIFE
OG0000050	sp|Q8VCC2|EST1_MOUSE, sp|Q8VCT4|EST1D_MOUSE, sp|Q64176|EST1E_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, sp|P23953|EST1C_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, sp|Q8R0W5|EST4A_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|E9PV38|E9PV38_MOUSE, sp|Q8BK48|EST2E_MOUSE, sp|Q8QZR3|EST2A_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, sp|Q63880|EST3A_MOUSE, sp|Q8VCU1|EST3B_MOUSE, sp|Q6AW46|EST5A_MOUSE	tr|A0A671FQL2|A0A671FQL2_RHIFE
