Orthogroup	Mus_musculus	Vulpes_vulpes
OG0000011	sp|Q80W31|ZN569_MOUSE	tr|A0A3Q7SUH3|A0A3Q7SUH3_VULVU, tr|A0A3Q7SSN2|A0A3Q7SSN2_VULVU, tr|A0A3Q7TL38|A0A3Q7TL38_VULVU
OG0000013	sp|Q7TSH9|ZN184_MOUSE	tr|A0A3Q7RJ57|A0A3Q7RJ57_VULVU
OG0000013	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A3Q7TL97|A0A3Q7TL97_VULVU
OG0000013	sp|Q60585|ZFP30_MOUSE	tr|A0A3Q7TLB0|A0A3Q7TLB0_VULVU
OG0000013	sp|P10755|ZFP14_MOUSE	tr|A0A3Q7R6X2|A0A3Q7R6X2_VULVU, tr|A0A3Q7TWX1|A0A3Q7TWX1_VULVU, tr|A0A3Q7TKJ9|A0A3Q7TKJ9_VULVU, tr|A0A3Q7T971|A0A3Q7T971_VULVU, tr|A0A3Q7U940|A0A3Q7U940_VULVU, tr|A0A3Q7SSG6|A0A3Q7SSG6_VULVU, tr|A0A3Q7T942|A0A3Q7T942_VULVU
OG0000013	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A3Q7RG64|A0A3Q7RG64_VULVU
OG0000013	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A3Q7UF36|A0A3Q7UF36_VULVU, tr|A0A3Q7UFB2|A0A3Q7UFB2_VULVU, tr|A0A3Q7SSM2|A0A3Q7SSM2_VULVU
OG0000013	tr|Q9D654|Q9D654_MOUSE	tr|A0A3Q7RP32|A0A3Q7RP32_VULVU
OG0000013	sp|Q3V080|ZN583_MOUSE	tr|A0A3Q7TXJ4|A0A3Q7TXJ4_VULVU, tr|A0A3Q7SSI8|A0A3Q7SSI8_VULVU, tr|A0A3Q7T950|A0A3Q7T950_VULVU, tr|A0A3Q7R6N5|A0A3Q7R6N5_VULVU, tr|A0A3Q7R4L2|A0A3Q7R4L2_VULVU
OG0000018	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A3Q7SF57|A0A3Q7SF57_VULVU
OG0000018	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A3Q7T9C5|A0A3Q7T9C5_VULVU, tr|A0A3Q7SCL2|A0A3Q7SCL2_VULVU, tr|A0A3Q7RSF9|A0A3Q7RSF9_VULVU, tr|A0A3Q7SF39|A0A3Q7SF39_VULVU, tr|A0A3Q7RGP1|A0A3Q7RGP1_VULVU, tr|A0A3Q7RRT5|A0A3Q7RRT5_VULVU, tr|A0A3Q7T992|A0A3Q7T992_VULVU, tr|A0A3Q7RE03|A0A3Q7RE03_VULVU, tr|A0A3Q7RHF9|A0A3Q7RHF9_VULVU, tr|A0A3Q7RD81|A0A3Q7RD81_VULVU, tr|A0A3Q7RBH3|A0A3Q7RBH3_VULVU, tr|A0A3Q7SDC5|A0A3Q7SDC5_VULVU, tr|A0A3Q7RDZ9|A0A3Q7RDZ9_VULVU, tr|A0A3Q7RMR6|A0A3Q7RMR6_VULVU, tr|A0A3Q7RCD6|A0A3Q7RCD6_VULVU, tr|A0A3Q7RD92|A0A3Q7RD92_VULVU, tr|A0A3Q7TZH1|A0A3Q7TZH1_VULVU, tr|A0A3Q7RGP7|A0A3Q7RGP7_VULVU, tr|A0A3Q7SRP4|A0A3Q7SRP4_VULVU, tr|A0A3Q7SBL8|A0A3Q7SBL8_VULVU, tr|A0A3Q7T1R5|A0A3Q7T1R5_VULVU, tr|A0A3Q7RS89|A0A3Q7RS89_VULVU, tr|A0A3Q7TQJ7|A0A3Q7TQJ7_VULVU, tr|A0A3Q7SLS0|A0A3Q7SLS0_VULVU, tr|A0A3Q7SS18|A0A3Q7SS18_VULVU, tr|A0A3Q7SND1|A0A3Q7SND1_VULVU, tr|A0A3Q7QV66|A0A3Q7QV66_VULVU, tr|A0A3Q7THJ9|A0A3Q7THJ9_VULVU, tr|A0A3Q7T3N6|A0A3Q7T3N6_VULVU, tr|A0A3Q7SH15|A0A3Q7SH15_VULVU, tr|A0A3Q7THE2|A0A3Q7THE2_VULVU, tr|A0A3Q7SEG4|A0A3Q7SEG4_VULVU, tr|A0A3Q7SHU5|A0A3Q7SHU5_VULVU, tr|A0A3Q7SBM9|A0A3Q7SBM9_VULVU, tr|A0A3Q7TF43|A0A3Q7TF43_VULVU, tr|A0A3Q7RD85|A0A3Q7RD85_VULVU
OG0000022	sp|Q8HWB0|HMR1_MOUSE, tr|F8VQG4|F8VQG4_MOUSE, tr|Q9CWF0|Q9CWF0_MOUSE, sp|P14432|HA1T_MOUSE, tr|Q6W9L1|Q6W9L1_MOUSE, sp|P14427|HA14_MOUSE, sp|P01901|HA1B_MOUSE, sp|P01896|HA1Z_MOUSE, sp|P01897|HA1L_MOUSE, tr|Q4KN81|Q4KN81_MOUSE, tr|O19441|O19441_MOUSE, sp|P14429|HA17_MOUSE, tr|P79568|P79568_MOUSE, sp|P14430|HA18_MOUSE, tr|Q8HWB2|Q8HWB2_MOUSE, sp|P14431|HA19_MOUSE, tr|V9GXR0|V9GXR0_MOUSE, tr|G3UXE9|G3UXE9_MOUSE, sp|P01898|HA10_MOUSE, sp|P06339|HA15_MOUSE, tr|Q31093|Q31093_MOUSE, tr|F6T1I5|F6T1I5_MOUSE, tr|Q31615|Q31615_MOUSE, tr|Q0WXH6|Q0WXH6_MOUSE, tr|A7VMS2|A7VMS2_MOUSE, tr|A7VMS3|A7VMS3_MOUSE, tr|O19442|O19442_MOUSE, tr|F7CXU4|F7CXU4_MOUSE, tr|F6U8V3|F6U8V3_MOUSE, tr|O19443|O19443_MOUSE, tr|Q85ZW6|Q85ZW6_MOUSE, tr|Q85ZW7|Q85ZW7_MOUSE, tr|Q85ZW9|Q85ZW9_MOUSE, tr|Q85ZW5|Q85ZW5_MOUSE, tr|Q85ZW8|Q85ZW8_MOUSE	tr|A0A3Q7TNU4|A0A3Q7TNU4_VULVU
OG0000024	tr|G3UW88|G3UW88_MOUSE	tr|A0A3Q7SQ21|A0A3Q7SQ21_VULVU, tr|A0A3Q7SAV7|A0A3Q7SAV7_VULVU
OG0000024	tr|Q99PA7|Q99PA7_MOUSE	tr|A0A3Q7THF0|A0A3Q7THF0_VULVU
OG0000024	tr|Q9D4D2|Q9D4D2_MOUSE	tr|A0A3Q7THJ6|A0A3Q7THJ6_VULVU, tr|A0A3Q7THK1|A0A3Q7THK1_VULVU
OG0000024	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A3Q7SPC3|A0A3Q7SPC3_VULVU, tr|A0A3Q7SDE8|A0A3Q7SDE8_VULVU
OG0000024	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A3Q7TD36|A0A3Q7TD36_VULVU, tr|A0A3Q7SDH0|A0A3Q7SDH0_VULVU, tr|A0A3Q7S3H3|A0A3Q7S3H3_VULVU, tr|A0A3Q7S3G8|A0A3Q7S3G8_VULVU
OG0000025	tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE	tr|A0A3Q7RHC1|A0A3Q7RHC1_VULVU
OG0000029	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A3Q7T705|A0A3Q7T705_VULVU
OG0000029	sp|P07744|K2C4_MOUSE	tr|A0A3Q7TL30|A0A3Q7TL30_VULVU
OG0000029	tr|E9Q0F0|E9Q0F0_MOUSE	tr|A0A3Q7T6C7|A0A3Q7T6C7_VULVU
OG0000029	sp|Q3UV17|K22O_MOUSE	tr|A0A3Q7T779|A0A3Q7T779_VULVU, tr|A0A3Q7T6C3|A0A3Q7T6C3_VULVU, tr|A0A3Q7S8I1|A0A3Q7S8I1_VULVU, tr|A0A3Q7SHL9|A0A3Q7SHL9_VULVU
OG0000029	sp|Q9DCV7|K2C7_MOUSE	tr|A0A3Q7S8H0|A0A3Q7S8H0_VULVU, tr|A0A3Q7SHK8|A0A3Q7SHK8_VULVU, tr|A0A3Q7SK60|A0A3Q7SK60_VULVU, tr|A0A3Q7T6B8|A0A3Q7T6B8_VULVU, tr|A0A3Q7TL15|A0A3Q7TL15_VULVU, tr|A0A3Q7SL26|A0A3Q7SL26_VULVU
OG0000029	sp|Q8VED5|K2C79_MOUSE	tr|A0A3Q7SK76|A0A3Q7SK76_VULVU
OG0000029	sp|Q6IME9|K2C72_MOUSE	tr|A0A3Q7TMD6|A0A3Q7TMD6_VULVU
OG0000029	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A3Q7T6C0|A0A3Q7T6C0_VULVU
OG0000029	sp|Q9R0H5|K2C71_MOUSE	tr|A0A3Q7S8H3|A0A3Q7S8H3_VULVU
OG0000029	sp|Q6NXH9|K2C73_MOUSE	tr|A0A3Q7SHL3|A0A3Q7SHL3_VULVU
OG0000031	sp|C0HKE8|H2A1O_MOUSE	tr|A0A3Q7RAA0|A0A3Q7RAA0_VULVU
OG0000031	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A3Q7RWJ3|A0A3Q7RWJ3_VULVU
OG0000031	sp|Q64523|H2A2C_MOUSE	tr|A0A3Q7R0B6|A0A3Q7R0B6_VULVU
OG0000031	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A3Q7R8E0|A0A3Q7R8E0_VULVU
OG0000031	sp|Q8BFU2|H2A3_MOUSE	tr|A0A3Q7S6Y8|A0A3Q7S6Y8_VULVU, tr|A0A3Q7RFN3|A0A3Q7RFN3_VULVU
OG0000031	sp|C0HKE9|H2A1P_MOUSE	tr|A0A3Q7T4V9|A0A3Q7T4V9_VULVU
OG0000034	tr|Q8VF06|Q8VF06_MOUSE	tr|A0A3Q7RAM6|A0A3Q7RAM6_VULVU, tr|A0A3Q7SM03|A0A3Q7SM03_VULVU
OG0000034	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A3Q7RCG8|A0A3Q7RCG8_VULVU
OG0000034	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A3Q7RR17|A0A3Q7RR17_VULVU, tr|A0A3Q7RG25|A0A3Q7RG25_VULVU, tr|A0A3Q7RG33|A0A3Q7RG33_VULVU, tr|A0A3Q7RR21|A0A3Q7RR21_VULVU, tr|A0A3Q7RG38|A0A3Q7RG38_VULVU
OG0000034	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|A0A3Q7RAH4|A0A3Q7RAH4_VULVU, tr|A0A3Q7RL52|A0A3Q7RL52_VULVU, tr|A0A3Q7RAM1|A0A3Q7RAM1_VULVU, tr|A0A3Q7RCD7|A0A3Q7RCD7_VULVU
OG0000034	tr|Q8VG28|Q8VG28_MOUSE	tr|A0A3Q7RKZ5|A0A3Q7RKZ5_VULVU, tr|A0A3Q7RL97|A0A3Q7RL97_VULVU
OG0000040	tr|E9Q2S7|E9Q2S7_MOUSE	tr|A0A3Q7SIA3|A0A3Q7SIA3_VULVU
OG0000040	tr|E9Q1J0|E9Q1J0_MOUSE	tr|A0A3Q7R7Y3|A0A3Q7R7Y3_VULVU, tr|A0A3Q7SI75|A0A3Q7SI75_VULVU, tr|A0A3Q7R7H5|A0A3Q7R7H5_VULVU
OG0000040	tr|Q3UVL3|Q3UVL3_MOUSE, tr|Q497V9|Q497V9_MOUSE	tr|A0A3Q7T1G8|A0A3Q7T1G8_VULVU, tr|A0A3Q7UVZ2|A0A3Q7UVZ2_VULVU, tr|A0A3Q7SKD0|A0A3Q7SKD0_VULVU, tr|A0A3Q7R1P8|A0A3Q7R1P8_VULVU, tr|A0A3Q7RR40|A0A3Q7RR40_VULVU, tr|A0A3Q7RFF7|A0A3Q7RFF7_VULVU, tr|A0A3Q7RH60|A0A3Q7RH60_VULVU, tr|A0A3Q7UAW0|A0A3Q7UAW0_VULVU, tr|A0A3Q7UPD1|A0A3Q7UPD1_VULVU, tr|A0A3Q7UAX6|A0A3Q7UAX6_VULVU, tr|A0A3Q7R168|A0A3Q7R168_VULVU, tr|A0A3Q7QYM3|A0A3Q7QYM3_VULVU, tr|A0A3Q7R1Y3|A0A3Q7R1Y3_VULVU, tr|A0A3Q7SCW9|A0A3Q7SCW9_VULVU, tr|A0A3Q7QYU1|A0A3Q7QYU1_VULVU
OG0000043	tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE	tr|A0A3Q7S590|A0A3Q7S590_VULVU
OG0000047	tr|A0A0U1RP76|A0A0U1RP76_MOUSE	tr|A0A3Q7TMB1|A0A3Q7TMB1_VULVU
OG0000047	tr|Q8VGU2|Q8VGU2_MOUSE	tr|A0A3Q7TKZ0|A0A3Q7TKZ0_VULVU
OG0000047	tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE	tr|A0A3Q7S9A5|A0A3Q7S9A5_VULVU, tr|A0A3Q7T6A2|A0A3Q7T6A2_VULVU, tr|A0A3Q7S8F5|A0A3Q7S8F5_VULVU, tr|A0A3Q7SIR2|A0A3Q7SIR2_VULVU, tr|A0A3Q7SHI3|A0A3Q7SHI3_VULVU, tr|A0A3Q7TMB7|A0A3Q7TMB7_VULVU, tr|A0A3Q7T764|A0A3Q7T764_VULVU, tr|A0A3Q7TKZ4|A0A3Q7TKZ4_VULVU, tr|A0A3Q7T6A4|A0A3Q7T6A4_VULVU, tr|A0A3Q7SK48|A0A3Q7SK48_VULVU, tr|A0A3Q7T766|A0A3Q7T766_VULVU, tr|A0A3Q7SLB4|A0A3Q7SLB4_VULVU
OG0000047	tr|Q7TS17|Q7TS17_MOUSE	tr|A0A3Q7T760|A0A3Q7T760_VULVU, tr|A0A3Q7SIQ7|A0A3Q7SIQ7_VULVU, tr|A0A3Q7S9A1|A0A3Q7S9A1_VULVU
OG0000048	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE	tr|A0A3Q7U8Z8|A0A3Q7U8Z8_VULVU
OG0000049	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A3Q7T3Q5|A0A3Q7T3Q5_VULVU
