Orthogroup	Mus_musculus	Puma_concolor
OG0000013	tr|Q8VGW6|Q8VGW6_MOUSE	tr|A0A6P6HAL5|A0A6P6HAL5_PUMCO, tr|A0A6P6HAD8|A0A6P6HAD8_PUMCO, tr|A0A6P6HAP6|A0A6P6HAP6_PUMCO
OG0000013	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A6P6HYC6|A0A6P6HYC6_PUMCO, tr|A0A6P6HBS3|A0A6P6HBS3_PUMCO, tr|A0A6P6HCI1|A0A6P6HCI1_PUMCO, tr|A0A6P6HBJ9|A0A6P6HBJ9_PUMCO
OG0000013	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A6P6HB76|A0A6P6HB76_PUMCO, tr|A0A6P6HB99|A0A6P6HB99_PUMCO, tr|A0A6P6HCP8|A0A6P6HCP8_PUMCO
OG0000013	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A6P6HCQ2|A0A6P6HCQ2_PUMCO, tr|A0A6P6HB18|A0A6P6HB18_PUMCO, tr|A0A6P6HJM7|A0A6P6HJM7_PUMCO, tr|A0A6P6HB43|A0A6P6HB43_PUMCO, tr|A0A6P6HB84|A0A6P6HB84_PUMCO, tr|A0A6P6HKR9|A0A6P6HKR9_PUMCO, tr|A0A6P6HJK4|A0A6P6HJK4_PUMCO, tr|A0A6P6HBD2|A0A6P6HBD2_PUMCO
OG0000016	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A6P6HG15|A0A6P6HG15_PUMCO
OG0000016	tr|Q7TRM4|Q7TRM4_MOUSE	tr|A0A6P6HH70|A0A6P6HH70_PUMCO
OG0000016	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A6P6HGG6|A0A6P6HGG6_PUMCO
OG0000016	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A6P6HI88|A0A6P6HI88_PUMCO
OG0000016	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A6P6HHZ7|A0A6P6HHZ7_PUMCO, tr|A0A6P6HFM4|A0A6P6HFM4_PUMCO
OG0000016	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A6P6HH07|A0A6P6HH07_PUMCO, tr|A0A6P6HGP8|A0A6P6HGP8_PUMCO, tr|A0A6P6HG12|A0A6P6HG12_PUMCO, tr|A0A6P6HFE3|A0A6P6HFE3_PUMCO
OG0000016	tr|Q7TQY0|Q7TQY0_MOUSE	tr|A0A6P6HHP0|A0A6P6HHP0_PUMCO, tr|A0A6P6HFW2|A0A6P6HFW2_PUMCO, tr|A0A6P6HI74|A0A6P6HI74_PUMCO, tr|A0A6P6HIU5|A0A6P6HIU5_PUMCO, tr|A0A6P6HG26|A0A6P6HG26_PUMCO, tr|A0A6P6HG78|A0A6P6HG78_PUMCO
OG0000020	sp|A2A761|ZFP69_MOUSE	tr|A0A6P6ILH0|A0A6P6ILH0_PUMCO, tr|A0A6P6IQE7|A0A6P6IQE7_PUMCO
OG0000020	sp|P10078|ZFP28_MOUSE	tr|A0A6P6H4Y1|A0A6P6H4Y1_PUMCO
OG0000020	sp|Q3V080|ZN583_MOUSE	tr|A0A6P6H4M0|A0A6P6H4M0_PUMCO, tr|A0A6P6H4N9|A0A6P6H4N9_PUMCO, tr|A0A6P6H445|A0A6P6H445_PUMCO, tr|A0A6P6H4F7|A0A6P6H4F7_PUMCO
OG0000020	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A6P6H3R4|A0A6P6H3R4_PUMCO, tr|A0A6P6H3K1|A0A6P6H3K1_PUMCO, tr|A0A6P6H3J3|A0A6P6H3J3_PUMCO
OG0000020	sp|Q7TSH9|ZN184_MOUSE	tr|A0A6P6I4T6|A0A6P6I4T6_PUMCO, tr|A0A6P6HAC5|A0A6P6HAC5_PUMCO
OG0000023	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A6P6IAH5|A0A6P6IAH5_PUMCO
OG0000023	sp|Q60878|OL140_MOUSE	tr|A0A6P6IA07|A0A6P6IA07_PUMCO
OG0000023	tr|Q8VGP1|Q8VGP1_MOUSE	tr|A0A6P6I9B4|A0A6P6I9B4_PUMCO, tr|A0A6P6I9C5|A0A6P6I9C5_PUMCO, tr|A0A6P6I866|A0A6P6I866_PUMCO, tr|A0A6P6I755|A0A6P6I755_PUMCO, tr|A0A6P6I786|A0A6P6I786_PUMCO
OG0000023	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A6P6IBB5|A0A6P6IBB5_PUMCO, tr|A0A6P6IDB3|A0A6P6IDB3_PUMCO, tr|A0A6P6I6G9|A0A6P6I6G9_PUMCO
OG0000023	tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A6P6I839|A0A6P6I839_PUMCO, tr|A0A6P6I7E4|A0A6P6I7E4_PUMCO, tr|A0A6P6I989|A0A6P6I989_PUMCO
OG0000023	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A6P6I429|A0A6P6I429_PUMCO, tr|A0A6P6I1S2|A0A6P6I1S2_PUMCO, tr|A0A6P6I9R5|A0A6P6I9R5_PUMCO, tr|A0A6P6IAI4|A0A6P6IAI4_PUMCO, tr|A0A6P6I7N3|A0A6P6I7N3_PUMCO, tr|A0A6P6IAC3|A0A6P6IAC3_PUMCO
OG0000023	tr|Q7TQZ8|Q7TQZ8_MOUSE	tr|A0A6P6IAB9|A0A6P6IAB9_PUMCO, tr|A0A6P6I6C0|A0A6P6I6C0_PUMCO
OG0000024	tr|Q8R263|Q8R263_MOUSE, tr|Q8R264|Q8R264_MOUSE, tr|Q8K4C9|Q8K4C9_MOUSE, tr|I7HIK1|I7HIK1_MOUSE, tr|Q8R258|Q8R258_MOUSE, tr|Q5SSA0|Q5SSA0_MOUSE, tr|Q8R259|Q8R259_MOUSE, tr|Q5SVD6|Q5SVD6_MOUSE, tr|J3JS27|J3JS27_MOUSE, tr|Q8R261|Q8R261_MOUSE, tr|Q8R262|Q8R262_MOUSE, tr|Q8R269|Q8R269_MOUSE, tr|Q8K3N2|Q8K3N2_MOUSE, tr|Q8R266|Q8R266_MOUSE, tr|Q8R265|Q8R265_MOUSE, tr|Q5SVD5|Q5SVD5_MOUSE, tr|Q8R270|Q8R270_MOUSE, tr|Q8R272|Q8R272_MOUSE, tr|Q8R271|Q8R271_MOUSE, tr|Q8R268|Q8R268_MOUSE, tr|Q8K4D0|Q8K4D0_MOUSE, tr|Q8K3N3|Q8K3N3_MOUSE, tr|A0A494B935|A0A494B935_MOUSE, tr|A0A494BA14|A0A494BA14_MOUSE, tr|Q8R277|Q8R277_MOUSE, tr|Q5NC97|Q5NC97_MOUSE, tr|Q8R281|Q8R281_MOUSE, tr|Q8R280|Q8R280_MOUSE, tr|Q8R279|Q8R279_MOUSE, tr|Q8R278|Q8R278_MOUSE, tr|Q8R273|Q8R273_MOUSE, tr|Q8R276|Q8R276_MOUSE, tr|Q8R275|Q8R275_MOUSE, tr|Q8R274|Q8R274_MOUSE	tr|A0A6P6HBQ9|A0A6P6HBQ9_PUMCO
OG0000026	tr|Q8VGJ3|Q8VGJ3_MOUSE	tr|A0A6P6I2R6|A0A6P6I2R6_PUMCO, tr|A0A6P6I387|A0A6P6I387_PUMCO
OG0000026	tr|A0A1L1SV77|A0A1L1SV77_MOUSE	tr|A0A6P6I3D2|A0A6P6I3D2_PUMCO, tr|A0A6P6I4Q6|A0A6P6I4Q6_PUMCO, tr|A0A6P6I3M4|A0A6P6I3M4_PUMCO, tr|A0A6P6I382|A0A6P6I382_PUMCO, tr|A0A6P6I3T7|A0A6P6I3T7_PUMCO, tr|A0A6P6HCI4|A0A6P6HCI4_PUMCO
OG0000026	tr|Q8VFU5|Q8VFU5_MOUSE	tr|A0A6P6I3T1|A0A6P6I3T1_PUMCO, tr|A0A6P6I426|A0A6P6I426_PUMCO, tr|A0A6P6I3Y7|A0A6P6I3Y7_PUMCO, tr|A0A6P6I6D8|A0A6P6I6D8_PUMCO, tr|A0A6P6I364|A0A6P6I364_PUMCO, tr|A0A6P6I390|A0A6P6I390_PUMCO, tr|A0A6P6I470|A0A6P6I470_PUMCO, tr|A0A6P6I3K3|A0A6P6I3K3_PUMCO, tr|A0A6P6I3G7|A0A6P6I3G7_PUMCO, tr|A0A6P6I3M9|A0A6P6I3M9_PUMCO, tr|A0A6P6I9L0|A0A6P6I9L0_PUMCO, tr|A0A6P6ICQ6|A0A6P6ICQ6_PUMCO, tr|A0A6P6I8Z7|A0A6P6I8Z7_PUMCO, tr|A0A6P6IAC7|A0A6P6IAC7_PUMCO, tr|A0A6P6HKQ9|A0A6P6HKQ9_PUMCO, tr|A0A6P6IAC6|A0A6P6IAC6_PUMCO, tr|A0A6P6IA11|A0A6P6IA11_PUMCO, tr|A0A6P6I3H3|A0A6P6I3H3_PUMCO, tr|A0A6P6I6I0|A0A6P6I6I0_PUMCO, tr|A0A6P6I3M7|A0A6P6I3M7_PUMCO
OG0000027	sp|Q8VGI5|OL481_MOUSE	tr|A0A6P6I9I2|A0A6P6I9I2_PUMCO
OG0000027	tr|L7N455|L7N455_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VEZ0|OL480_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG07|OL494_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE	tr|A0A6P6I8U3|A0A6P6I8U3_PUMCO
OG0000031	sp|P20852|CP2A5_MOUSE, sp|P15392|CP2A4_MOUSE, sp|P56593|CP2AC_MOUSE, tr|B2RXZ2|B2RXZ2_MOUSE, tr|Q9WV19|Q9WV19_MOUSE, sp|Q91W64|CP270_MOUSE, sp|Q6XVG2|CP254_MOUSE, sp|P56654|CP237_MOUSE, sp|Q91X77|CY250_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, tr|Q569X9|Q569X9_MOUSE, sp|P56657|CP240_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56655|CP238_MOUSE, sp|P56656|CP239_MOUSE, sp|Q9D816|CP255_MOUSE, tr|Q148B1|Q148B1_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, sp|E9Q5K4|CP2CN_MOUSE, tr|E9PWV0|E9PWV0_MOUSE, sp|P33267|CP2F2_MOUSE, sp|O55071|CP2BJ_MOUSE, tr|E9Q593|E9Q593_MOUSE, sp|P12791|CP2BA_MOUSE, tr|A6H6J2|A6H6J2_MOUSE, sp|P12790|CP2B9_MOUSE	tr|A0A6P6H524|A0A6P6H524_PUMCO
OG0000032	sp|P01642|KV5A9_MOUSE, tr|A0A0B4J1J2|A0A0B4J1J2_MOUSE, tr|A0A0B4J1J1|A0A0B4J1J1_MOUSE, tr|A0A140T8N4|A0A140T8N4_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, sp|P84750|KVM5_MOUSE, tr|A0A075B5N7|A0A075B5N7_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, sp|P01633|KV5A1_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, tr|A0A075B5N3|A0A075B5N3_MOUSE, tr|A0A075B5N4|A0A075B5N4_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, sp|P01632|KV1A1_MOUSE, sp|P01634|KV5A2_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE	tr|A0A6P6I473|A0A6P6I473_PUMCO
OG0000034	sp|P06879|PRL_MOUSE, tr|F6R3P9|F6R3P9_MOUSE, tr|A0A0M6L0J6|A0A0M6L0J6_MOUSE, sp|P18121|PR3D1_MOUSE, sp|P09586|PR3B1_MOUSE, sp|Q9QUN5|PR3C1_MOUSE, tr|Q78Y73|Q78Y73_MOUSE, tr|Q9DAV8|Q9DAV8_MOUSE, tr|O54832|O54832_MOUSE, sp|Q9DAS4|PR8A8_MOUSE, sp|Q9DAY2|PR8A6_MOUSE, sp|Q9CQ58|PR8A9_MOUSE, sp|O54830|PR7A1_MOUSE, sp|O54831|PR7A2_MOUSE, sp|Q9CRB5|PR7C1_MOUSE, sp|Q8CGZ9|PR7B1_MOUSE, sp|P04769|PR7D1_MOUSE, sp|O35257|PR6A1_MOUSE, sp|O35256|PR4A1_MOUSE, sp|Q9JII2|PR5A1_MOUSE, sp|Q9DAZ2|PR2B1_MOUSE, sp|Q9JHK0|PR2A1_MOUSE, tr|Q5SVL9|Q5SVL9_MOUSE, sp|P04095|PR2C2_MOUSE, sp|P04768|PR2C3_MOUSE, sp|Q9JLV9|PR2C5_MOUSE	tr|A0A6P6HB21|A0A6P6HB21_PUMCO
OG0000035	sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE4|H2A1E_MOUSE	tr|A0A6P6HAP7|A0A6P6HAP7_PUMCO
OG0000035	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A6P6HBZ0|A0A6P6HBZ0_PUMCO
OG0000035	sp|Q64523|H2A2C_MOUSE	tr|A0A6P6IS68|A0A6P6IS68_PUMCO
OG0000035	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A6P6IEC5|A0A6P6IEC5_PUMCO
OG0000035	sp|P27661|H2AX_MOUSE	tr|A0A6P6ITF9|A0A6P6ITF9_PUMCO, tr|A0A6P6I778|A0A6P6I778_PUMCO, tr|A0A6P6I783|A0A6P6I783_PUMCO
OG0000035	sp|Q8BFU2|H2A3_MOUSE	tr|A0A6P6HAP3|A0A6P6HAP3_PUMCO, tr|A0A6P6HKP8|A0A6P6HKP8_PUMCO
OG0000037	sp|Q924P3|LCN8_MOUSE, sp|A2AJB7|LCN5_MOUSE, sp|Q810Z1|LCN10_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P02762|MUP6_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE	tr|A0A6P6H0E4|A0A6P6H0E4_PUMCO
OG0000039	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A6P6H9Z4|A0A6P6H9Z4_PUMCO, tr|A0A6P6HA91|A0A6P6HA91_PUMCO
OG0000039	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A6P6H7K9|A0A6P6H7K9_PUMCO
OG0000039	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|A0A6P6HKS0|A0A6P6HKS0_PUMCO, tr|A0A6P6HTF5|A0A6P6HTF5_PUMCO, tr|A0A6P6HBV4|A0A6P6HBV4_PUMCO
OG0000039	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A6P6GZA2|A0A6P6GZA2_PUMCO, tr|A0A6P6H356|A0A6P6H356_PUMCO, tr|A0A6P6GXC4|A0A6P6GXC4_PUMCO, tr|A0A6P6IRW5|A0A6P6IRW5_PUMCO, tr|A0A6P6HDV4|A0A6P6HDV4_PUMCO, tr|A0A6P6HC02|A0A6P6HC02_PUMCO, tr|A0A6P6HEL0|A0A6P6HEL0_PUMCO, tr|A0A6P6HDY6|A0A6P6HDY6_PUMCO, tr|A0A6P6ILS4|A0A6P6ILS4_PUMCO, tr|A0A6P6H3N6|A0A6P6H3N6_PUMCO, tr|A0A6P6H0V4|A0A6P6H0V4_PUMCO, tr|A0A6P6H0X7|A0A6P6H0X7_PUMCO, tr|A0A6P6H3P1|A0A6P6H3P1_PUMCO, tr|A0A6P6H037|A0A6P6H037_PUMCO, tr|A0A6P6H2R3|A0A6P6H2R3_PUMCO
OG0000041	sp|P08730|K1C13_MOUSE	tr|A0A6P6HBS2|A0A6P6HBS2_PUMCO
OG0000041	sp|Q8VCW2|K1C25_MOUSE	tr|A0A6P6HCV8|A0A6P6HCV8_PUMCO
OG0000041	sp|Q9Z320|K1C27_MOUSE	tr|A0A6P6HD61|A0A6P6HD61_PUMCO
OG0000041	sp|A6BLY7|K1C28_MOUSE	tr|A0A6P6HCL5|A0A6P6HCL5_PUMCO
OG0000041	sp|Q3TRJ4|K1C26_MOUSE	tr|A0A6P6HCB8|A0A6P6HCB8_PUMCO
OG0000041	sp|A1L317|K1C24_MOUSE	tr|A0A6P6HCE6|A0A6P6HCE6_PUMCO
OG0000041	sp|Q64291|K1C12_MOUSE	tr|A0A6P6HDU9|A0A6P6HDU9_PUMCO
OG0000041	sp|P02535|K1C10_MOUSE	tr|A0A6P6HBY8|A0A6P6HBY8_PUMCO
OG0000041	sp|Q61414|K1C15_MOUSE	tr|A0A6P6HD92|A0A6P6HD92_PUMCO
OG0000042	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A6P6I9V6|A0A6P6I9V6_PUMCO
OG0000042	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A6P6I9V1|A0A6P6I9V1_PUMCO, tr|A0A6P6I9V8|A0A6P6I9V8_PUMCO, tr|A0A6P6IBE5|A0A6P6IBE5_PUMCO, tr|A0A6P6ICH4|A0A6P6ICH4_PUMCO, tr|A0A6P6I9G1|A0A6P6I9G1_PUMCO, tr|A0A6P6I9X7|A0A6P6I9X7_PUMCO, tr|A0A6P6IAR5|A0A6P6IAR5_PUMCO, tr|A0A6P6I7U1|A0A6P6I7U1_PUMCO
OG0000042	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A6P6I9Z1|A0A6P6I9Z1_PUMCO, tr|A0A6P6I960|A0A6P6I960_PUMCO, tr|A0A6P6I8Y8|A0A6P6I8Y8_PUMCO, tr|A0A6P6I9J6|A0A6P6I9J6_PUMCO, tr|A0A6P6IC49|A0A6P6IC49_PUMCO, tr|A0A6P6I9M1|A0A6P6I9M1_PUMCO, tr|A0A6P6I6K5|A0A6P6I6K5_PUMCO, tr|A0A6P6I7N2|A0A6P6I7N2_PUMCO
OG0000042	tr|Q8VF62|Q8VF62_MOUSE	tr|A0A6P6I8I6|A0A6P6I8I6_PUMCO, tr|A0A6P6I6H7|A0A6P6I6H7_PUMCO, tr|A0A6P6I9R6|A0A6P6I9R6_PUMCO
OG0000043	sp|Q80YP6|ZIK1_MOUSE	tr|A0A6P6H2P6|A0A6P6H2P6_PUMCO, tr|A0A6P6H3L5|A0A6P6H3L5_PUMCO, tr|A0A6P6H563|A0A6P6H563_PUMCO, tr|A0A6P6H3C7|A0A6P6H3C7_PUMCO, tr|A0A6P6H413|A0A6P6H413_PUMCO, tr|A0A6P6H4U5|A0A6P6H4U5_PUMCO, tr|A0A6P6H3E6|A0A6P6H3E6_PUMCO, tr|A0A6P6H3H5|A0A6P6H3H5_PUMCO, tr|A0A6P6H5K7|A0A6P6H5K7_PUMCO, tr|A0A6P6H3C2|A0A6P6H3C2_PUMCO, tr|A0A6P6H5J5|A0A6P6H5J5_PUMCO, tr|A0A6P6H597|A0A6P6H597_PUMCO, tr|A0A6P6H489|A0A6P6H489_PUMCO, tr|A0A6P6H4V1|A0A6P6H4V1_PUMCO, tr|A0A6P6H4L7|A0A6P6H4L7_PUMCO, tr|A0A6P6H4M4|A0A6P6H4M4_PUMCO, tr|A0A6P6H3P8|A0A6P6H3P8_PUMCO, tr|A0A6P6H3L1|A0A6P6H3L1_PUMCO, tr|A0A6P6H3Y0|A0A6P6H3Y0_PUMCO, tr|A0A6P6H3T6|A0A6P6H3T6_PUMCO, tr|A0A6P6H418|A0A6P6H418_PUMCO, tr|A0A6P6H568|A0A6P6H568_PUMCO, tr|A0A6P6H4K9|A0A6P6H4K9_PUMCO
