Orthogroup	Mus_musculus	Myotis_lucifugus
OG0000016	sp|Q0VAW7|ZN112_MOUSE	tr|G1P4P0|G1P4P0_MYOLU, tr|G1NWC3|G1NWC3_MYOLU, tr|L7N1N8|L7N1N8_MYOLU, tr|G1PPM5|G1PPM5_MYOLU, tr|G1P0R6|G1P0R6_MYOLU, tr|G1PSU4|G1PSU4_MYOLU, tr|G1PNL1|G1PNL1_MYOLU, tr|G1PQH9|G1PQH9_MYOLU
OG0000020	tr|D3Z7A9|D3Z7A9_MOUSE	tr|G1PCV6|G1PCV6_MYOLU, tr|G1QCL2|G1QCL2_MYOLU, tr|G1PEQ1|G1PEQ1_MYOLU, tr|G1Q6Y6|G1Q6Y6_MYOLU, tr|G1PF29|G1PF29_MYOLU, tr|G1P9P2|G1P9P2_MYOLU, tr|L7N198|L7N198_MYOLU, tr|G1QDA6|G1QDA6_MYOLU, tr|G1P066|G1P066_MYOLU, tr|G1P4D0|G1P4D0_MYOLU, tr|L7N1F8|L7N1F8_MYOLU, tr|G1NVL4|G1NVL4_MYOLU, tr|G1PMH2|G1PMH2_MYOLU, tr|L7N1M2|L7N1M2_MYOLU, tr|L7N0Z2|L7N0Z2_MYOLU, tr|G1Q4C5|G1Q4C5_MYOLU, tr|G1NV15|G1NV15_MYOLU, tr|L7N1G4|L7N1G4_MYOLU, tr|G1P4A7|G1P4A7_MYOLU, tr|G1QE49|G1QE49_MYOLU, tr|G1NYL8|G1NYL8_MYOLU, tr|G1Q3U7|G1Q3U7_MYOLU, tr|L7N110|L7N110_MYOLU, tr|G1P0T2|G1P0T2_MYOLU, tr|G1PY92|G1PY92_MYOLU, tr|G1PH41|G1PH41_MYOLU, tr|L7N187|L7N187_MYOLU, tr|G1PCZ5|G1PCZ5_MYOLU, tr|G1Q8B8|G1Q8B8_MYOLU, tr|L7N1N5|L7N1N5_MYOLU, tr|G1QB67|G1QB67_MYOLU, tr|G1PZU9|G1PZU9_MYOLU, tr|G1PD20|G1PD20_MYOLU, tr|G1Q6G7|G1Q6G7_MYOLU, tr|G1PK03|G1PK03_MYOLU, tr|G1QBG9|G1QBG9_MYOLU, tr|G1PC71|G1PC71_MYOLU, tr|G1NVQ9|G1NVQ9_MYOLU, tr|G1PC87|G1PC87_MYOLU
OG0000023	tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE	tr|G1PY13|G1PY13_MYOLU
OG0000023	tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|A2AV11|A2AV11_MOUSE, tr|Q8VG58|Q8VG58_MOUSE, sp|Q60878|OL140_MOUSE, tr|Q8VF98|Q8VF98_MOUSE, tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VGN6|Q8VGN6_MOUSE, tr|Q8VGP0|Q8VGP0_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|A2AV10|A2AV10_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE	tr|G1Q4S6|G1Q4S6_MYOLU
OG0000031	sp|Q8BQR7|MAGBI_MOUSE	tr|G1Q018|G1Q018_MYOLU
OG0000031	sp|A2A9R3|MAGB4_MOUSE	tr|G1QAY7|G1QAY7_MYOLU, tr|G1Q1N8|G1Q1N8_MYOLU, tr|G1PFD9|G1PFD9_MYOLU, tr|G1PMC6|G1PMC6_MYOLU, tr|G1PMD2|G1PMD2_MYOLU, tr|G1Q3Z6|G1Q3Z6_MYOLU
OG0000031	sp|Q9CWV4|MAGBG_MOUSE	tr|G1Q162|G1Q162_MYOLU, tr|G1P0S7|G1P0S7_MYOLU, tr|G1Q7A3|G1Q7A3_MYOLU, tr|G1Q7M0|G1Q7M0_MYOLU, tr|G1NVB0|G1NVB0_MYOLU, tr|G1NST1|G1NST1_MYOLU, tr|G1P0D0|G1P0D0_MYOLU, tr|G1QEH7|G1QEH7_MYOLU, tr|G1PHE1|G1PHE1_MYOLU, tr|G1QB18|G1QB18_MYOLU, tr|G1QCR2|G1QCR2_MYOLU, tr|G1PZ61|G1PZ61_MYOLU, tr|L7N109|L7N109_MYOLU, tr|G1P564|G1P564_MYOLU, tr|G1Q0G4|G1Q0G4_MYOLU, tr|G1Q5R2|G1Q5R2_MYOLU, tr|G1QBP7|G1QBP7_MYOLU, tr|G1PFG0|G1PFG0_MYOLU
OG0000039	sp|Q920G3|SIGL5_MOUSE	tr|G1QAZ5|G1QAZ5_MYOLU, tr|G1NX23|G1NX23_MYOLU, tr|G1Q1G6|G1Q1G6_MYOLU, tr|G1Q6R6|G1Q6R6_MYOLU, tr|L7N168|L7N168_MYOLU, tr|G1Q5K4|G1Q5K4_MYOLU, tr|G1Q5L8|G1Q5L8_MYOLU, tr|G1QDF6|G1QDF6_MYOLU, tr|G1Q934|G1Q934_MYOLU, tr|G1PN73|G1PN73_MYOLU, tr|G1Q044|G1Q044_MYOLU, tr|G1NV42|G1NV42_MYOLU, tr|G1PGV3|G1PGV3_MYOLU, tr|G1PYI0|G1PYI0_MYOLU, tr|L7N1M1|L7N1M1_MYOLU, tr|G1QDC8|G1QDC8_MYOLU, tr|G1Q0U4|G1Q0U4_MYOLU, tr|G1PYN8|G1PYN8_MYOLU, tr|G1PN68|G1PN68_MYOLU, tr|G1PA01|G1PA01_MYOLU, tr|G1QB87|G1QB87_MYOLU, tr|G1Q5I1|G1Q5I1_MYOLU, tr|G1PF49|G1PF49_MYOLU, tr|L7N1P7|L7N1P7_MYOLU, tr|L7N146|L7N146_MYOLU, tr|L7N1J8|L7N1J8_MYOLU
OG0000043	tr|Q80UR4|Q80UR4_MOUSE	tr|G1QAQ2|G1QAQ2_MYOLU, tr|G1QEU1|G1QEU1_MYOLU, tr|G1Q7R6|G1Q7R6_MYOLU, tr|G1Q8F0|G1Q8F0_MYOLU, tr|G1QE15|G1QE15_MYOLU, tr|G1Q6S9|G1Q6S9_MYOLU, tr|G1PXV9|G1PXV9_MYOLU, tr|G1Q230|G1Q230_MYOLU, tr|G1Q3K2|G1Q3K2_MYOLU, tr|G1Q4X6|G1Q4X6_MYOLU, tr|G1QB50|G1QB50_MYOLU, tr|G1QFP2|G1QFP2_MYOLU, tr|G1QE61|G1QE61_MYOLU, tr|L7N1K6|L7N1K6_MYOLU, tr|G1Q5K8|G1Q5K8_MYOLU, tr|G1QAF7|G1QAF7_MYOLU, tr|G1PBU5|G1PBU5_MYOLU, tr|G1PSH4|G1PSH4_MYOLU, tr|L7N1R7|L7N1R7_MYOLU, tr|G1Q2M8|G1Q2M8_MYOLU, tr|G1Q6F8|G1Q6F8_MYOLU, tr|G1PZB7|G1PZB7_MYOLU, tr|G1Q0Z6|G1Q0Z6_MYOLU, tr|G1PZW5|G1PZW5_MYOLU, tr|G1QEW8|G1QEW8_MYOLU
OG0000045	sp|Q922U2|K2C5_MOUSE	tr|G1P830|G1P830_MYOLU
OG0000045	sp|P04104|K2C1_MOUSE	tr|G1P4P2|G1P4P2_MYOLU
OG0000045	sp|Q6IFZ6|K2C1B_MOUSE	tr|G1P4Q2|G1P4Q2_MYOLU
OG0000045	sp|Q3UV17|K22O_MOUSE	tr|G1P1W4|G1P1W4_MYOLU, tr|G1P1X0|G1P1X0_MYOLU
OG0000045	sp|P07744|K2C4_MOUSE	tr|G1P1Y3|G1P1Y3_MYOLU, tr|G1P1X2|G1P1X2_MYOLU
OG0000045	sp|Q8BGZ7|K2C75_MOUSE	tr|G1NUE2|G1NUE2_MYOLU
OG0000045	tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, sp|Q9Z331|K2C6B_MOUSE, sp|P50446|K2C6A_MOUSE	tr|G1PGT0|G1PGT0_MYOLU, tr|L7N0Z6|L7N0Z6_MYOLU, tr|G1PZ93|G1PZ93_MYOLU
OG0000047	tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE	tr|G1P870|G1P870_MYOLU
OG0000052	sp|P07758|A1AT1_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|P22599|A1AT2_MOUSE, sp|Q00898|A1AT5_MOUSE	tr|G1PM73|G1PM73_MYOLU
OG0000052	sp|Q8CIE0|SPA11_MOUSE	tr|G1Q2S0|G1Q2S0_MYOLU
OG0000052	sp|Q9D7D2|SPA9_MOUSE	tr|G1PJV9|G1PJV9_MYOLU
OG0000055	sp|P01806|HVM36_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE	tr|G1Q6G9|G1Q6G9_MYOLU, tr|G1QB51|G1QB51_MYOLU, tr|G1QCR1|G1QCR1_MYOLU, tr|G1QCU5|G1QCU5_MYOLU, tr|G1Q443|G1Q443_MYOLU, tr|G1Q390|G1Q390_MYOLU, tr|G1P3R4|G1P3R4_MYOLU, tr|G1PZN6|G1PZN6_MYOLU, tr|G1QDG9|G1QDG9_MYOLU, tr|G1Q5D6|G1Q5D6_MYOLU, tr|G1QFZ2|G1QFZ2_MYOLU, tr|G1QDB6|G1QDB6_MYOLU, tr|G1QD19|G1QD19_MYOLU, tr|G1PY56|G1PY56_MYOLU, tr|G1Q9A6|G1Q9A6_MYOLU, tr|G1QC34|G1QC34_MYOLU, tr|G1Q696|G1Q696_MYOLU, tr|G1Q1J1|G1Q1J1_MYOLU, tr|G1QE14|G1QE14_MYOLU, tr|G1Q3T5|G1Q3T5_MYOLU
OG0000059	sp|Q6AW46|EST5A_MOUSE, sp|Q63880|EST3A_MOUSE, sp|Q8VCU1|EST3B_MOUSE, tr|E9PV38|E9PV38_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, sp|Q8QZR3|EST2A_MOUSE, sp|Q8BK48|EST2E_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, sp|Q8R0W5|EST4A_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, sp|P23953|EST1C_MOUSE, sp|Q64176|EST1E_MOUSE, tr|D3Z298|D3Z298_MOUSE, sp|Q91WU0|EST1F_MOUSE, sp|Q8VCC2|EST1_MOUSE, tr|E9PYP1|E9PYP1_MOUSE, sp|Q8VCT4|EST1D_MOUSE	tr|G1PJM4|G1PJM4_MYOLU
OG0000060	tr|Q7TR09|Q7TR09_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|Q7TR04|Q7TR04_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE	tr|G1PZ80|G1PZ80_MYOLU
OG0000061	tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE	tr|G1QGB0|G1QGB0_MYOLU
OG0000061	tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE	tr|G1QAN4|G1QAN4_MYOLU
OG0000063	tr|Q8VGM8|Q8VGM8_MOUSE	tr|G1Q918|G1Q918_MYOLU
OG0000063	tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VG59|Q8VG59_MOUSE	tr|G1PZ01|G1PZ01_MYOLU
OG0000068	sp|P29758|OAT_MOUSE	tr|G1P8E0|G1P8E0_MYOLU, tr|G1Q331|G1Q331_MYOLU, tr|G1QCR6|G1QCR6_MYOLU, tr|G1QB63|G1QB63_MYOLU, tr|G1Q3J2|G1Q3J2_MYOLU, tr|G1QE06|G1QE06_MYOLU, tr|G1Q7S1|G1Q7S1_MYOLU, tr|G1QFJ7|G1QFJ7_MYOLU, tr|G1QFD5|G1QFD5_MYOLU, tr|G1QFF4|G1QFF4_MYOLU, tr|G1PZI3|G1PZI3_MYOLU, tr|G1Q4A3|G1Q4A3_MYOLU, tr|G1QDF0|G1QDF0_MYOLU, tr|G1PZG4|G1PZG4_MYOLU, tr|G1Q3N2|G1Q3N2_MYOLU, tr|G1Q117|G1Q117_MYOLU, tr|G1Q0L9|G1Q0L9_MYOLU, tr|G1QB13|G1QB13_MYOLU
OG0000072	tr|Q8VGP9|Q8VGP9_MOUSE, tr|E9Q8M0|E9Q8M0_MOUSE, tr|Q7TS37|Q7TS37_MOUSE, tr|L7N1X3|L7N1X3_MOUSE, tr|L7N1Y8|L7N1Y8_MOUSE, tr|L7N205|L7N205_MOUSE, sp|Q8VFB9|OL183_MOUSE, tr|Q7TS43|Q7TS43_MOUSE, tr|L7N1Z8|L7N1Z8_MOUSE, tr|E9PYP4|E9PYP4_MOUSE, sp|Q8VEX6|OL187_MOUSE, sp|Q8VEX5|OL186_MOUSE, tr|K7N5T5|K7N5T5_MOUSE, tr|Q7TS40|Q7TS40_MOUSE, tr|F6ZUS0|F6ZUS0_MOUSE, tr|Q7TS38|Q7TS38_MOUSE, tr|Q8VGQ3|Q8VGQ3_MOUSE	tr|G1Q4I2|G1Q4I2_MYOLU
OG0000076	tr|Q8CFE8|Q8CFE8_MOUSE	tr|G1Q3V4|G1Q3V4_MYOLU
OG0000076	tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|Q8BI38|Q8BI38_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, sp|L7N1X6|FBW15_MOUSE	tr|G1PPC3|G1PPC3_MYOLU
OG0000077	tr|Q7TQV4|Q7TQV4_MOUSE	tr|G1PXU6|G1PXU6_MYOLU
OG0000077	tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|K7N684|K7N684_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|E9PZS7|E9PZS7_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE	tr|G1QA79|G1QA79_MYOLU
