Orthogroup	Mus_musculus	Macaca_nemestrina
OG0000004	tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE	tr|A0A2K6BJL6|A0A2K6BJL6_MACNE
OG0000004	tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE	tr|A0A2K6AXM3|A0A2K6AXM3_MACNE
OG0000004	tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE	tr|A0A2K6CA97|A0A2K6CA97_MACNE
OG0000006	sp|B2RXC5|ZN382_MOUSE	tr|A0A2K6DA67|A0A2K6DA67_MACNE
OG0000006	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A2K6E602|A0A2K6E602_MACNE
OG0000006	sp|Q8BQC8|RBAK_MOUSE	tr|A0A2K6AMI9|A0A2K6AMI9_MACNE
OG0000006	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A2K6BS73|A0A2K6BS73_MACNE
OG0000006	tr|Q640N4|Q640N4_MOUSE	tr|A0A2K6C3A3|A0A2K6C3A3_MACNE, tr|A0A2K6BWF4|A0A2K6BWF4_MACNE, tr|A0A2K6AZP0|A0A2K6AZP0_MACNE, tr|A0A2K6DT86|A0A2K6DT86_MACNE, tr|A0A2K6DQD9|A0A2K6DQD9_MACNE, tr|A0A2K6DR67|A0A2K6DR67_MACNE, tr|A0A2K6C701|A0A2K6C701_MACNE
OG0000006	sp|Q80W31|ZN569_MOUSE	tr|A0A2K6D0J3|A0A2K6D0J3_MACNE, tr|A0A2K6CFR0|A0A2K6CFR0_MACNE
OG0000006	sp|E9PYI1|ZN568_MOUSE	tr|A0A2K6DUV4|A0A2K6DUV4_MACNE
OG0000006	sp|Q6P560|ZN182_MOUSE	tr|A0A2K6CRA2|A0A2K6CRA2_MACNE, tr|A0A2K6B8U9|A0A2K6B8U9_MACNE, tr|A0A2K6E2S4|A0A2K6E2S4_MACNE
OG0000007	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A2K6DJD1|A0A2K6DJD1_MACNE
OG0000007	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A2K6DIR8|A0A2K6DIR8_MACNE
OG0000007	tr|Q8VGV8|Q8VGV8_MOUSE, tr|Q7TRR4|Q7TRR4_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE, tr|F8VQ26|F8VQ26_MOUSE, tr|Q8VF06|Q8VF06_MOUSE, tr|Q7TRP3|Q7TRP3_MOUSE, tr|Q8VG28|Q8VG28_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE, tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|Q8VGZ9|Q8VGZ9_MOUSE, tr|Q8VG26|Q8VG26_MOUSE	tr|A0A2K6E5Y0|A0A2K6E5Y0_MACNE
OG0000007	tr|A0A2I3BR67|A0A2I3BR67_MOUSE, tr|E9PVA0|E9PVA0_MOUSE, tr|Q8VGA1|Q8VGA1_MOUSE, tr|A0A140T8L4|A0A140T8L4_MOUSE, tr|E9PV95|E9PV95_MOUSE, tr|K7N6B3|K7N6B3_MOUSE, tr|F8VPJ8|F8VPJ8_MOUSE, tr|Q8VGW5|Q8VGW5_MOUSE, tr|Q8VH18|Q8VH18_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|A0A2K6DY68|A0A2K6DY68_MACNE
OG0000009	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2K6EBM5|A0A2K6EBM5_MACNE
OG0000009	tr|Q5U406|Q5U406_MOUSE	tr|A0A2K6CU82|A0A2K6CU82_MACNE
OG0000009	sp|Q3V080|ZN583_MOUSE	tr|A0A2K6D1Z1|A0A2K6D1Z1_MACNE, tr|A0A2K6BPR5|A0A2K6BPR5_MACNE
OG0000009	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2K6D4B7|A0A2K6D4B7_MACNE
OG0000009	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K6DI82|A0A2K6DI82_MACNE, tr|A0A2K6CUG7|A0A2K6CUG7_MACNE
OG0000009	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K6CIH7|A0A2K6CIH7_MACNE, tr|A0A2K6CQR3|A0A2K6CQR3_MACNE, tr|A0A2K6B7J0|A0A2K6B7J0_MACNE
OG0000009	sp|P10755|ZFP14_MOUSE	tr|A0A2K6B2T5|A0A2K6B2T5_MACNE
OG0000009	sp|Q60585|ZFP30_MOUSE	tr|A0A2K6BFV4|A0A2K6BFV4_MACNE
OG0000009	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K6BS41|A0A2K6BS41_MACNE
OG0000009	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2K6DSW7|A0A2K6DSW7_MACNE
OG0000011	tr|A2RTN7|A2RTN7_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A2AVL6|A2AVL6_MOUSE	tr|A0A2K6BE02|A0A2K6BE02_MACNE
OG0000014	tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, sp|Q60882|OL145_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|K7N678|K7N678_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, sp|P34985|OL143_MOUSE, tr|L7N210|L7N210_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|L7N1X5|L7N1X5_MOUSE	tr|A0A2K6ATA8|A0A2K6ATA8_MACNE
OG0000019	tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE	tr|A0A2K6CHN0|A0A2K6CHN0_MACNE
OG0000019	tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q8VF74|Q8VF74_MOUSE, tr|Q8VF73|Q8VF73_MOUSE, tr|Q8VF75|Q8VF75_MOUSE, sp|Q8VFX2|O1444_MOUSE	tr|A0A2K6ANL7|A0A2K6ANL7_MACNE
OG0000024	sp|Q8VGI6|OL477_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VEZ0|OL480_MOUSE, tr|L7N455|L7N455_MOUSE, sp|Q8VGI5|OL481_MOUSE	tr|A0A2K6DCV0|A0A2K6DCV0_MACNE
OG0000024	tr|Q7TR58|Q7TR58_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VG04|OL478_MOUSE	tr|A0A2K6AP62|A0A2K6AP62_MACNE
OG0000025	tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE	tr|A0A2K6CWP2|A0A2K6CWP2_MACNE
OG0000030	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A2K6BD46|A0A2K6BD46_MACNE, tr|A0A2K6DQB2|A0A2K6DQB2_MACNE, tr|A0A2K6BQV0|A0A2K6BQV0_MACNE, tr|A0A2K6BLM3|A0A2K6BLM3_MACNE
OG0000030	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	tr|A0A2K6BWN0|A0A2K6BWN0_MACNE, tr|A0A2K6DIR7|A0A2K6DIR7_MACNE, tr|A0A2K6CWW4|A0A2K6CWW4_MACNE, tr|A0A2K6ATT2|A0A2K6ATT2_MACNE, tr|A0A2K6ATU1|A0A2K6ATU1_MACNE, tr|A0A2K6CXL8|A0A2K6CXL8_MACNE, tr|A0A2K6B353|A0A2K6B353_MACNE, tr|A0A2K6BVS3|A0A2K6BVS3_MACNE, tr|A0A2K6DHX7|A0A2K6DHX7_MACNE, tr|A0A2K6AW30|A0A2K6AW30_MACNE, tr|A0A2K6CXY6|A0A2K6CXY6_MACNE, tr|A0A2K6CWX3|A0A2K6CWX3_MACNE, tr|A0A2K6CYF2|A0A2K6CYF2_MACNE, tr|A0A2K6ANH9|A0A2K6ANH9_MACNE, tr|A0A2K6ALR0|A0A2K6ALR0_MACNE, tr|A0A2K6B468|A0A2K6B468_MACNE, tr|A0A2K6B344|A0A2K6B344_MACNE, tr|A0A2K6CXC6|A0A2K6CXC6_MACNE, tr|A0A2K6CX26|A0A2K6CX26_MACNE, tr|A0A2K6CXA9|A0A2K6CXA9_MACNE, tr|A0A2K6B7S7|A0A2K6B7S7_MACNE, tr|A0A2K6AX19|A0A2K6AX19_MACNE, tr|A0A2K6CX66|A0A2K6CX66_MACNE, tr|A0A2K6B0N5|A0A2K6B0N5_MACNE
OG0000031	sp|P18528|HVM57_MOUSE	tr|A0A2K6CXX2|A0A2K6CXX2_MACNE, tr|A0A2K6DIY9|A0A2K6DIY9_MACNE, tr|A0A2K6B2X8|A0A2K6B2X8_MACNE, tr|A0A2K6D1A9|A0A2K6D1A9_MACNE, tr|A0A2K6CYK4|A0A2K6CYK4_MACNE, tr|A0A2K6CWS7|A0A2K6CWS7_MACNE, tr|A0A2K6E9E1|A0A2K6E9E1_MACNE, tr|A0A2K6CZR0|A0A2K6CZR0_MACNE, tr|A0A2K6B0V5|A0A2K6B0V5_MACNE, tr|A0A2K6D0G6|A0A2K6D0G6_MACNE, tr|A0A2K6ASC8|A0A2K6ASC8_MACNE, tr|A0A2K6CXL1|A0A2K6CXL1_MACNE, tr|A0A2K6BGH0|A0A2K6BGH0_MACNE, tr|A0A2K6CAZ7|A0A2K6CAZ7_MACNE, tr|A0A2K6BN17|A0A2K6BN17_MACNE, tr|A0A2K6CHH3|A0A2K6CHH3_MACNE, tr|A0A2K6ASD6|A0A2K6ASD6_MACNE, tr|A0A2K6CPD1|A0A2K6CPD1_MACNE, tr|A0A2K6BTZ1|A0A2K6BTZ1_MACNE, tr|A0A2K6B5S2|A0A2K6B5S2_MACNE, tr|A0A2K6E8T9|A0A2K6E8T9_MACNE, tr|A0A2K6C968|A0A2K6C968_MACNE, tr|A0A2K6AQ54|A0A2K6AQ54_MACNE, tr|A0A2K6E8U0|A0A2K6E8U0_MACNE, tr|A0A2K6CX23|A0A2K6CX23_MACNE, tr|A0A2K6BDE2|A0A2K6BDE2_MACNE, tr|A0A2K6D5F4|A0A2K6D5F4_MACNE, tr|A0A2K6DVU1|A0A2K6DVU1_MACNE
OG0000034	tr|Q9CXH3|Q9CXH3_MOUSE	tr|A0A2K6BPR0|A0A2K6BPR0_MACNE, tr|A0A2K6E3G5|A0A2K6E3G5_MACNE, tr|A0A2K6CCF6|A0A2K6CCF6_MACNE, tr|A0A2K6BV39|A0A2K6BV39_MACNE, tr|A0A2K6D9I3|A0A2K6D9I3_MACNE, tr|A0A2K6E0G6|A0A2K6E0G6_MACNE, tr|A0A2K6E1C3|A0A2K6E1C3_MACNE, tr|A0A2K6DH55|A0A2K6DH55_MACNE, tr|A0A2K6AN60|A0A2K6AN60_MACNE, tr|A0A2K6CKS2|A0A2K6CKS2_MACNE, tr|A0A2K6BNB0|A0A2K6BNB0_MACNE, tr|A0A2K6EC83|A0A2K6EC83_MACNE, tr|A0A2K6BYQ0|A0A2K6BYQ0_MACNE, tr|A0A2K6CJZ2|A0A2K6CJZ2_MACNE, tr|A0A2K6DSL8|A0A2K6DSL8_MACNE, tr|A0A2K6BBP3|A0A2K6BBP3_MACNE, tr|A0A2K6CSS6|A0A2K6CSS6_MACNE, tr|A0A2K6CV10|A0A2K6CV10_MACNE, tr|A0A2K6CG41|A0A2K6CG41_MACNE, tr|A0A2K6EDD9|A0A2K6EDD9_MACNE, tr|A0A2K6BM61|A0A2K6BM61_MACNE, tr|A0A2K6AZC3|A0A2K6AZC3_MACNE, tr|A0A2K6EDE3|A0A2K6EDE3_MACNE, tr|A0A2K6EDE0|A0A2K6EDE0_MACNE, tr|A0A2K6C809|A0A2K6C809_MACNE, tr|A0A2K6BTP5|A0A2K6BTP5_MACNE
OG0000035	tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q7TQU0|Q7TQU0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q8VF69|Q8VF69_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE	tr|A0A2K6ARK3|A0A2K6ARK3_MACNE
