Orthogroup	Mus_musculus	Tursiops_truncatus
OG0000007	tr|Q640N4|Q640N4_MOUSE	tr|A0A6J3RK94|A0A6J3RK94_TURTR, tr|A0A6J3RI99|A0A6J3RI99_TURTR, tr|A0A2U4BF28|A0A2U4BF28_TURTR, tr|A0A2U4BE57|A0A2U4BE57_TURTR, tr|A0A6J3Q7D1|A0A6J3Q7D1_TURTR, tr|A0A2U4BE33|A0A2U4BE33_TURTR, tr|A0A2U4BRZ9|A0A2U4BRZ9_TURTR, tr|A0A2U4BE58|A0A2U4BE58_TURTR
OG0000007	sp|P08042|ZFP1_MOUSE	tr|A0A2U3V843|A0A2U3V843_TURTR
OG0000007	sp|B2RXC5|ZN382_MOUSE	tr|A0A2U4BU43|A0A2U4BU43_TURTR, tr|A0A2U4BU72|A0A2U4BU72_TURTR
OG0000007	sp|Q6P560|ZN182_MOUSE	tr|A0A2U4CC05|A0A2U4CC05_TURTR, tr|A0A2U4AHD1|A0A2U4AHD1_TURTR, tr|A0A2U4C0M9|A0A2U4C0M9_TURTR
OG0000007	sp|Q80W31|ZN569_MOUSE	tr|A0A2U4BUA4|A0A2U4BUA4_TURTR, tr|A0A2U4BUD3|A0A2U4BUD3_TURTR, tr|A0A2U4BTW0|A0A2U4BTW0_TURTR
OG0000007	sp|P10077|ZFP27_MOUSE	tr|A0A2U4BS46|A0A2U4BS46_TURTR, tr|A0A2U4C0L9|A0A2U4C0L9_TURTR, tr|A0A6J3QHE0|A0A6J3QHE0_TURTR, tr|A0A2U4C0V2|A0A2U4C0V2_TURTR, tr|A0A2U4AH50|A0A2U4AH50_TURTR, tr|A0A2U4AHL5|A0A2U4AHL5_TURTR, tr|A0A2U4BU86|A0A2U4BU86_TURTR
OG0000007	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2U3V546|A0A2U3V546_TURTR, tr|A0A6J3PRC9|A0A6J3PRC9_TURTR, tr|A0A2U4BY75|A0A2U4BY75_TURTR, tr|A0A2U4APK3|A0A2U4APK3_TURTR, tr|A0A2U4APH7|A0A2U4APH7_TURTR, tr|A0A2U4APK7|A0A2U4APK7_TURTR, tr|A0A6J3QGC3|A0A6J3QGC3_TURTR, tr|A0A2U4APZ0|A0A2U4APZ0_TURTR, tr|A0A6J3QGX6|A0A6J3QGX6_TURTR, tr|A0A2U4APH6|A0A2U4APH6_TURTR, tr|A0A2U4API6|A0A2U4API6_TURTR, tr|A0A2U4APK2|A0A2U4APK2_TURTR, tr|A0A2U4APJ7|A0A2U4APJ7_TURTR, tr|A0A2U4APJ5|A0A2U4APJ5_TURTR, tr|A0A2U3V8L6|A0A2U3V8L6_TURTR, tr|A0A2U4BYD8|A0A2U4BYD8_TURTR
OG0000008	tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01795|HVM26_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01794|HVM25_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01801|HVM32_MOUSE, sp|P01803|HVM34_MOUSE, sp|P01804|HVM35_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|J3QK03|J3QK03_MOUSE, sp|P18530|HVM59_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, sp|P18526|HVM55_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18527|HVM56_MOUSE, sp|P18528|HVM57_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, sp|P01806|HVM36_MOUSE, sp|P01811|HVM41_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01809|HVM39_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE	tr|A0A6J3R162|A0A6J3R162_TURTR
OG0000011	tr|Q8VFG2|Q8VFG2_MOUSE	tr|A0A2U4C4Q9|A0A2U4C4Q9_TURTR
OG0000011	sp|P23275|OLF15_MOUSE	tr|A0A6J3PY57|A0A6J3PY57_TURTR
OG0000011	tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|A0A140T8K7|A0A140T8K7_MOUSE, tr|Q7TQT8|Q7TQT8_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q6UAH0|Q6UAH0_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGC8|Q8VGC8_MOUSE	tr|A0A2U4C0R8|A0A2U4C0R8_TURTR
OG0000012	tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE	tr|A0A2U4CDA1|A0A2U4CDA1_TURTR
OG0000012	tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|A0A2U4CDA7|A0A2U4CDA7_TURTR
OG0000013	tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|Q7TR79|Q7TR79_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|A2AVB5|A2AVB5_MOUSE, tr|A2ATE0|A2ATE0_MOUSE, tr|Q7TR89|Q7TR89_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, tr|A2ATE5|A2ATE5_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, tr|Q7TR85|Q7TR85_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|L7MTT3|L7MTT3_MOUSE, tr|A2ASU6|A2ASU6_MOUSE, tr|A2ASU7|A2ASU7_MOUSE, tr|Q7TR90|Q7TR90_MOUSE, tr|A0A140T8K3|A0A140T8K3_MOUSE, sp|Q8VFL5|O1030_MOUSE, tr|Q8VFZ3|Q8VFZ3_MOUSE, tr|Q7TR84|Q7TR84_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, sp|Q8VGS1|O1038_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, sp|Q8VGR9|O1044_MOUSE	tr|A0A2U4C7Y8|A0A2U4C7Y8_TURTR
OG0000014	sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE	tr|A0A6J3RT03|A0A6J3RT03_TURTR
OG0000014	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A2U4BWK9|A0A2U4BWK9_TURTR
OG0000014	tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, sp|Q60882|OL145_MOUSE	tr|A0A6J3RSY6|A0A6J3RSY6_TURTR
OG0000021	tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q5NC45|Q5NC45_MOUSE	tr|A0A6J3R887|A0A6J3R887_TURTR
OG0000021	tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q7TRY2|Q7TRY2_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, sp|Q8VGD6|OLF56_MOUSE	tr|A0A6J3R4K3|A0A6J3R4K3_TURTR
OG0000023	tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|K7N608|K7N608_MOUSE	tr|A0A6J3QC26|A0A6J3QC26_TURTR
