Orthogroup	Mus_musculus	Myotis_brandtii
OG0000039	sp|P06879|PRL_MOUSE, sp|Q9JII2|PR5A1_MOUSE, sp|O35256|PR4A1_MOUSE, sp|Q9JHK0|PR2A1_MOUSE, sp|P04768|PR2C3_MOUSE, sp|P04095|PR2C2_MOUSE, sp|Q9JLV9|PR2C5_MOUSE, tr|Q5SVL9|Q5SVL9_MOUSE, sp|Q9DAZ2|PR2B1_MOUSE, sp|Q9DAS4|PR8A8_MOUSE, sp|Q9DAY2|PR8A6_MOUSE, sp|Q9CQ58|PR8A9_MOUSE, tr|O54832|O54832_MOUSE, tr|Q9DAV8|Q9DAV8_MOUSE, sp|Q8CGZ9|PR7B1_MOUSE, sp|Q9CRB5|PR7C1_MOUSE, sp|P04769|PR7D1_MOUSE, sp|O54830|PR7A1_MOUSE, sp|O54831|PR7A2_MOUSE, sp|O35257|PR6A1_MOUSE, sp|P09586|PR3B1_MOUSE, tr|F6R3P9|F6R3P9_MOUSE, tr|A0A0M6L0J6|A0A0M6L0J6_MOUSE, sp|P18121|PR3D1_MOUSE, tr|Q78Y73|Q78Y73_MOUSE, sp|Q9QUN5|PR3C1_MOUSE	tr|S7MZJ3|S7MZJ3_MYOBR
OG0000043	sp|P29621|SPA3C_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|P07759|SPA3K_MOUSE, sp|Q91WP6|SPA3N_MOUSE, sp|Q8BYY9|SPA3B_MOUSE, tr|D3Z451|D3Z451_MOUSE, sp|Q6P4P1|SPA3A_MOUSE, sp|Q5I2A0|SPA3G_MOUSE, sp|Q80X76|SPA3F_MOUSE, tr|D3Z450|D3Z450_MOUSE	tr|S7P1U3|S7P1U3_MYOBR
OG0000043	sp|Q9D7D2|SPA9_MOUSE, sp|P70458|IPSP_MOUSE	tr|S7MCW7|S7MCW7_MYOBR
OG0000043	sp|Q06770|CBG_MOUSE, sp|Q8R121|ZPI_MOUSE, sp|P49182|HEP2_MOUSE, tr|D3Z660|D3Z660_MOUSE, sp|Q9DCQ7|A1AT6_MOUSE, sp|Q00896|A1AT3_MOUSE, sp|Q00897|A1AT4_MOUSE, sp|P22599|A1AT2_MOUSE, sp|P07758|A1AT1_MOUSE, sp|Q00898|A1AT5_MOUSE	tr|S7MCW3|S7MCW3_MYOBR
OG0000048	sp|Q6IME9|K2C72_MOUSE	tr|S7PGA1|S7PGA1_MYOBR
OG0000048	sp|P07744|K2C4_MOUSE	tr|S7PMN7|S7PMN7_MYOBR
OG0000048	sp|Q8VED5|K2C79_MOUSE	tr|S7MY50|S7MY50_MYOBR
OG0000048	tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, sp|P50446|K2C6A_MOUSE, sp|Q9Z331|K2C6B_MOUSE, tr|Q6IFZ8|Q6IFZ8_MOUSE, sp|Q8BGZ7|K2C75_MOUSE, sp|Q922U2|K2C5_MOUSE	tr|S7MYF5|S7MYF5_MYOBR
OG0000048	tr|E9Q1Z0|E9Q1Z0_MOUSE, sp|Q9DCV7|K2C7_MOUSE	tr|S7PGA3|S7PGA3_MYOBR
OG0000050	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, tr|Q91VE5|Q91VE5_MOUSE	tr|S7Q7X2|S7Q7X2_MYOBR
OG0000051	tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11591|MUP5_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P02762|MUP6_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|A2CEK7|A2CEK7_MOUSE	tr|S7PE12|S7PE12_MYOBR
OG0000055	sp|Q60879|OLF3_MOUSE	tr|S7N784|S7N784_MYOBR
OG0000055	tr|Q7TRY6|Q7TRY6_MOUSE	tr|S7PQ24|S7PQ24_MYOBR, tr|S7NMI6|S7NMI6_MYOBR, tr|S7NJU1|S7NJU1_MYOBR, tr|S7Q9I3|S7Q9I3_MYOBR, tr|S7QGP3|S7QGP3_MYOBR, tr|S7P119|S7P119_MYOBR, tr|S7P7F6|S7P7F6_MYOBR, tr|S7MH05|S7MH05_MYOBR, tr|S7PKT7|S7PKT7_MYOBR, tr|S7N615|S7N615_MYOBR, tr|S7NGW3|S7NGW3_MYOBR, tr|S7MJQ5|S7MJQ5_MYOBR, tr|S7PM28|S7PM28_MYOBR, tr|S7MXX8|S7MXX8_MYOBR, tr|S7PW45|S7PW45_MYOBR, tr|S7PFX8|S7PFX8_MYOBR, tr|S7NFZ1|S7NFZ1_MYOBR, tr|S7N378|S7N378_MYOBR, tr|S7N9M8|S7N9M8_MYOBR
OG0000057	sp|P25444|RS2_MOUSE	tr|S7PBN7|S7PBN7_MYOBR, tr|S7PU63|S7PU63_MYOBR, tr|S7PE04|S7PE04_MYOBR, tr|S7PJ08|S7PJ08_MYOBR
OG0000057	sp|B2RXC5|ZN382_MOUSE	tr|S7NRF6|S7NRF6_MYOBR, tr|S7N7S0|S7N7S0_MYOBR, tr|S7N372|S7N372_MYOBR, tr|S7PAK7|S7PAK7_MYOBR, tr|S7PJG0|S7PJG0_MYOBR, tr|S7NHL5|S7NHL5_MYOBR, tr|S7MC62|S7MC62_MYOBR, tr|S7N4C3|S7N4C3_MYOBR, tr|S7NIX8|S7NIX8_MYOBR, tr|S7PQ73|S7PQ73_MYOBR, tr|S7P707|S7P707_MYOBR, tr|S7P0M9|S7P0M9_MYOBR, tr|S7MRK0|S7MRK0_MYOBR, tr|S7P8C1|S7P8C1_MYOBR, tr|S7NN87|S7NN87_MYOBR, tr|S7MUP3|S7MUP3_MYOBR
OG0000058	tr|A2RSL7|A2RSL7_MOUSE	tr|S7NBG1|S7NBG1_MYOBR
OG0000058	sp|Q80ZE3|SIG10_MOUSE	tr|S7NFH4|S7NFH4_MYOBR, tr|S7PS66|S7PS66_MYOBR
OG0000058	sp|Q920G3|SIGL5_MOUSE	tr|S7N934|S7N934_MYOBR
OG0000058	sp|Q91Y57|SIG12_MOUSE, tr|B7ZMQ6|B7ZMQ6_MOUSE	tr|S7PYS7|S7PYS7_MYOBR, tr|S7N9K6|S7N9K6_MYOBR, tr|S7PS57|S7PS57_MYOBR, tr|S7N923|S7N923_MYOBR, tr|S7NBE8|S7NBE8_MYOBR, tr|S7PLY9|S7PLY9_MYOBR, tr|S7NUK9|S7NUK9_MYOBR, tr|S7N9K1|S7N9K1_MYOBR
OG0000061	sp|P62631|EF1A2_MOUSE	tr|S7NSJ2|S7NSJ2_MYOBR
OG0000061	sp|P10126|EF1A1_MOUSE	tr|S7MR17|S7MR17_MYOBR, tr|S7PX76|S7PX76_MYOBR, tr|S7MZH2|S7MZH2_MYOBR, tr|S7Q0A0|S7Q0A0_MYOBR, tr|S7MNL8|S7MNL8_MYOBR, tr|S7P4A4|S7P4A4_MYOBR, tr|S7QG30|S7QG30_MYOBR, tr|S7PM60|S7PM60_MYOBR, tr|S7PTJ3|S7PTJ3_MYOBR, tr|S7N804|S7N804_MYOBR, tr|S7N3X6|S7N3X6_MYOBR, tr|S7PAL0|S7PAL0_MYOBR, tr|S7PTA2|S7PTA2_MYOBR, tr|S7Q3H9|S7Q3H9_MYOBR, tr|S7NNL6|S7NNL6_MYOBR, tr|S7N1X6|S7N1X6_MYOBR, tr|S7P3H5|S7P3H5_MYOBR, tr|S7MKQ5|S7MKQ5_MYOBR
OG0000062	sp|Q64467|G3PT_MOUSE	tr|S7MPS4|S7MPS4_MYOBR, tr|S7MHK1|S7MHK1_MYOBR, tr|S7N2D0|S7N2D0_MYOBR, tr|S7N0V1|S7N0V1_MYOBR, tr|S7MM37|S7MM37_MYOBR, tr|S7MIR9|S7MIR9_MYOBR, tr|S7MW05|S7MW05_MYOBR, tr|S7N946|S7N946_MYOBR, tr|S7P5J0|S7P5J0_MYOBR, tr|S7Q605|S7Q605_MYOBR, tr|S7N889|S7N889_MYOBR, tr|S7MVF7|S7MVF7_MYOBR, tr|S7MYG2|S7MYG2_MYOBR, tr|S7N9Y9|S7N9Y9_MYOBR, tr|S7NI56|S7NI56_MYOBR, tr|S7PUV2|S7PUV2_MYOBR, tr|S7MT53|S7MT53_MYOBR, tr|S7ML49|S7ML49_MYOBR, tr|S7NKG6|S7NKG6_MYOBR, tr|S7PTX1|S7PTX1_MYOBR
OG0000063	sp|Q6AW46|EST5A_MOUSE, sp|Q63880|EST3A_MOUSE, sp|Q8VCU1|EST3B_MOUSE, tr|E9PYP1|E9PYP1_MOUSE, sp|Q8VCC2|EST1_MOUSE, sp|Q8VCT4|EST1D_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE, sp|Q64176|EST1E_MOUSE, sp|P23953|EST1C_MOUSE, tr|D3Z5G7|D3Z5G7_MOUSE, sp|Q8R0W5|EST4A_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q8BK48|EST2E_MOUSE, sp|Q8QZR3|EST2A_MOUSE, tr|E9PV38|E9PV38_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE	tr|S7NK13|S7NK13_MYOBR
OG0000064	sp|Q61781|K1C14_MOUSE	tr|S7PB95|S7PB95_MYOBR
OG0000064	sp|P19001|K1C19_MOUSE	tr|S7P489|S7P489_MYOBR
OG0000064	sp|Q3TRJ4|K1C26_MOUSE, sp|Q8VCW2|K1C25_MOUSE, sp|Q9Z320|K1C27_MOUSE, sp|A6BLY7|K1C28_MOUSE, sp|A1L317|K1C24_MOUSE, sp|Q64291|K1C12_MOUSE, sp|P02535|K1C10_MOUSE, sp|Q6RHW0|K1C9_MOUSE, sp|Q9D312|K1C20_MOUSE, sp|Q61414|K1C15_MOUSE, sp|P08730|K1C13_MOUSE	tr|S7MLD9|S7MLD9_MYOBR
OG0000064	sp|Q9QWL7|K1C17_MOUSE	tr|S7MLH0|S7MLH0_MYOBR
