Orthogroup	Mus_musculus	Muntiacus_reevesi
OG0001616	sp|P49282|NRAM2_MOUSE	tr|A0A5N3XZG1|A0A5N3XZG1_MUNRE, tr|A0A5N3XXF0|A0A5N3XXF0_MUNRE, tr|A0A5N3Y0Y6|A0A5N3Y0Y6_MUNRE
OG0001617	sp|Q8JZQ2|AFG32_MOUSE	tr|A0A5N3XZ59|A0A5N3XZ59_MUNRE
OG0001617	sp|Q920A7|AFG31_MOUSE	tr|A0A5J5MQR6|A0A5J5MQR6_MUNRE
OG0001618	sp|Q91X34|BAAT_MOUSE, sp|Q8BGG9|ACNT2_MOUSE, sp|A2AKK5|ACNT1_MOUSE	tr|A0A5N3XGY6|A0A5N3XGY6_MUNRE
OG0001619	sp|Q5SYD0|MYO1D_MOUSE	tr|A0A5N3X469|A0A5N3X469_MUNRE
OG0001619	sp|Q5SUA5|MYO1G_MOUSE	tr|A0A5N3XNW4|A0A5N3XNW4_MUNRE
OG0001620	sp|P55249|LX12E_MOUSE	tr|A0A5N3X360|A0A5N3X360_MUNRE
OG0001620	sp|P39654|LOX15_MOUSE	tr|A0A5N3X0B3|A0A5N3X0B3_MUNRE
OG0001621	sp|Q8CIE0|SPA11_MOUSE	tr|A0A5N3X5R9|A0A5N3X5R9_MUNRE
OG0001621	sp|P61939|THBG_MOUSE	tr|A0A5N3X735|A0A5N3X735_MUNRE
OG0001622	sp|Q80TJ7|PHF8_MOUSE	tr|A0A5N3XHB2|A0A5N3XHB2_MUNRE
OG0001622	sp|Q9WTU0|PHF2_MOUSE	tr|A0A5N3XHB4|A0A5N3XHB4_MUNRE
OG0001623	sp|Q3UFS0|ZY11B_MOUSE	tr|A0A5J5N4B6|A0A5J5N4B6_MUNRE
OG0001623	sp|A2BFL2|ZY11A_MOUSE	tr|A0A5J5N6F3|A0A5J5N6F3_MUNRE
OG0001624	sp|Q925Q8|DACH2_MOUSE	tr|A0A5N3XEH7|A0A5N3XEH7_MUNRE
OG0001624	sp|Q9QYB2|DACH1_MOUSE	tr|A0A5N3VWY1|A0A5N3VWY1_MUNRE
OG0001625	sp|Q8BIV3|RNBP6_MOUSE	tr|A0A5N3X6R0|A0A5N3X6R0_MUNRE
OG0001625	sp|Q8BKC5|IPO5_MOUSE	tr|A0A5N3XI80|A0A5N3XI80_MUNRE
OG0001626	sp|Q80TS3|AGRL3_MOUSE	tr|A0A5N3W1L5|A0A5N3W1L5_MUNRE
OG0001626	sp|Q8JZZ7|AGRL2_MOUSE	tr|A0A5J5N1Z8|A0A5J5N1Z8_MUNRE
OG0001627	sp|Q8BHS3|RBM22_MOUSE	tr|A0A5J5N1K1|A0A5J5N1K1_MUNRE, tr|A0A5N3VWX5|A0A5N3VWX5_MUNRE, tr|A0A5N3VX93|A0A5N3VX93_MUNRE
OG0001628	tr|G5E8C2|G5E8C2_MOUSE, tr|E9PYD7|E9PYD7_MOUSE	tr|A0A5N3XFP2|A0A5N3XFP2_MUNRE, tr|A0A5N3XGD7|A0A5N3XGD7_MUNRE
OG0001629	sp|Q80TV8|CLAP1_MOUSE	tr|A0A5J5MKR8|A0A5J5MKR8_MUNRE
OG0001629	sp|Q8BRT1|CLAP2_MOUSE	tr|A0A5N3Y0E5|A0A5N3Y0E5_MUNRE
OG0001630	sp|Q91VZ6|SMAP1_MOUSE	tr|A0A5N3W275|A0A5N3W275_MUNRE
OG0001630	sp|Q7TN29|SMAP2_MOUSE	tr|A0A5J5N9W2|A0A5J5N9W2_MUNRE
OG0001631	tr|A2AHY8|A2AHY8_MOUSE	tr|A0A5N3XEA7|A0A5N3XEA7_MUNRE
OG0001631	sp|Q8N7N5|DCAF8_MOUSE	tr|A0A5J5N626|A0A5J5N626_MUNRE
OG0001632	sp|Q8C263|SKA3_MOUSE	tr|A0A5N3WZQ8|A0A5N3WZQ8_MUNRE, tr|A0A5N3XF13|A0A5N3XF13_MUNRE, tr|A0A5N3XHB1|A0A5N3XHB1_MUNRE
OG0001633	sp|Q8CBW7|CHIC1_MOUSE, sp|Q9D9G3|CHIC2_MOUSE	tr|A0A5N3VYB6|A0A5N3VYB6_MUNRE, tr|A0A5N3VV66|A0A5N3VV66_MUNRE
OG0001634	sp|Q64735|CR1L_MOUSE, sp|Q61475|DAF1_MOUSE, sp|Q61476|DAF2_MOUSE	tr|A0A5N3XUL7|A0A5N3XUL7_MUNRE
OG0001635	sp|Q60675|LAMA2_MOUSE	tr|A0A5J5MP27|A0A5J5MP27_MUNRE
OG0001635	sp|P19137|LAMA1_MOUSE	tr|A0A5N3XWL2|A0A5N3XWL2_MUNRE
OG0001636	sp|Q3U095|NXPE2_MOUSE	tr|A0A5N3XEB8|A0A5N3XEB8_MUNRE
OG0001636	sp|Q52KP5|NXPE4_MOUSE	tr|A0A5N3XAU6|A0A5N3XAU6_MUNRE
OG0001637	sp|O88643|PAK1_MOUSE	tr|A0A5N3XTB3|A0A5N3XTB3_MUNRE
OG0001637	sp|Q61036|PAK3_MOUSE	tr|A0A5N3XE89|A0A5N3XE89_MUNRE
OG0001638	sp|B8JK39|ITA9_MOUSE	tr|A0A5N3XW06|A0A5N3XW06_MUNRE
OG0001638	sp|Q00651|ITA4_MOUSE	tr|A0A5J5MIP3|A0A5J5MIP3_MUNRE
OG0001640	sp|Q3U285|LCORL_MOUSE, sp|Q6ZPI3|LCOR_MOUSE	tr|A0A5N3X252|A0A5N3X252_MUNRE, tr|A0A5J5MSQ1|A0A5J5MSQ1_MUNRE
OG0001641	sp|Q80SW1|SAHH2_MOUSE	tr|A0A5J5N4C0|A0A5J5N4C0_MUNRE
OG0001641	sp|Q68FL4|SAHH3_MOUSE	tr|A0A5N3XT16|A0A5N3XT16_MUNRE
OG0001642	tr|A0A1L1SQU7|A0A1L1SQU7_MOUSE	tr|A0A5N3XGM8|A0A5N3XGM8_MUNRE
OG0001642	sp|Q8BNA6|FAT3_MOUSE	tr|A0A5N3XW53|A0A5N3XW53_MUNRE
OG0001643	tr|Q810M4|Q810M4_MOUSE	tr|A0A5N3UP04|A0A5N3UP04_MUNRE
OG0001643	sp|Q8R173|ZDHC3_MOUSE	tr|A0A5N3XVV5|A0A5N3XVV5_MUNRE
OG0001644	sp|P16092|FGFR1_MOUSE	tr|A0A5N3XGF3|A0A5N3XGF3_MUNRE
OG0001644	sp|P21803|FGFR2_MOUSE	tr|A0A5J5MN99|A0A5J5MN99_MUNRE
OG0001645	sp|Q64338|PDE1C_MOUSE	tr|A0A5N3XRT8|A0A5N3XRT8_MUNRE
OG0001645	sp|Q61481|PDE1A_MOUSE	tr|A0A5J5MJ98|A0A5J5MJ98_MUNRE
OG0001646	sp|Q9Z2V9|CCNI_MOUSE	tr|A0A5J5MMF9|A0A5J5MMF9_MUNRE, tr|A0A5N3VY87|A0A5N3VY87_MUNRE, tr|A0A5J5N640|A0A5J5N640_MUNRE
OG0001647	sp|Q8R313|EXOC6_MOUSE	tr|A0A5J5MPB9|A0A5J5MPB9_MUNRE
OG0001647	sp|A6H5Z3|EXC6B_MOUSE	tr|A0A5J5MME6|A0A5J5MME6_MUNRE
OG0001648	sp|Q5SWU9|ACACA_MOUSE	tr|A0A5N3X3D7|A0A5N3X3D7_MUNRE
OG0001648	sp|E9Q4Z2|ACACB_MOUSE	tr|A0A5N3X8N2|A0A5N3X8N2_MUNRE
OG0001649	sp|Q8BLI0|ATL1_MOUSE	tr|A0A5N3X4R7|A0A5N3X4R7_MUNRE
OG0001649	tr|G3UXC7|G3UXC7_MOUSE	tr|A0A5N3X9J6|A0A5N3X9J6_MUNRE
OG0001650	sp|Q8BPP1|MB212_MOUSE	tr|A0A5N3XAA0|A0A5N3XAA0_MUNRE
OG0001650	sp|O70299|MB211_MOUSE	tr|A0A5N3XH90|A0A5N3XH90_MUNRE
OG0001651	sp|P70211|DCC_MOUSE	tr|A0A5N3XW80|A0A5N3XW80_MUNRE
OG0001651	sp|P97798|NEO1_MOUSE	tr|A0A5N3XMN4|A0A5N3XMN4_MUNRE
OG0001652	tr|E9PWA8|E9PWA8_MOUSE	tr|A0A5N3XCN3|A0A5N3XCN3_MUNRE
OG0001652	tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|A0A5N3XBA7|A0A5N3XBA7_MUNRE
OG0001653	sp|P12968|IAPP_MOUSE	tr|A0A5N3XDS0|A0A5N3XDS0_MUNRE
OG0001653	sp|Q99MP3|CALCB_MOUSE	tr|A0A5N3XDU1|A0A5N3XDU1_MUNRE
OG0001654	sp|P33173|KIF1A_MOUSE	tr|A0A5J5MYD8|A0A5J5MYD8_MUNRE
OG0001654	sp|Q60575|KIF1B_MOUSE	tr|A0A5N3XQP6|A0A5N3XQP6_MUNRE
OG0001655	tr|B1AXN3|B1AXN3_MOUSE, tr|Q8BVT7|Q8BVT7_MOUSE, sp|Q8VDJ3|VIGLN_MOUSE	tr|A0A5J5N654|A0A5J5N654_MUNRE
OG0001656	sp|Q9WVD5|ORNT1_MOUSE	tr|A0A5N3XFV0|A0A5N3XFV0_MUNRE
OG0001656	tr|Q99ML6|Q99ML6_MOUSE	tr|A0A5J5N6A2|A0A5J5N6A2_MUNRE
OG0001657	sp|Q6ZQ11|CHSS1_MOUSE	tr|A0A5N3X5E7|A0A5N3X5E7_MUNRE
OG0001657	sp|Q5DTK1|CHSS3_MOUSE	tr|A0A5J5N767|A0A5J5N767_MUNRE
OG0001658	tr|Q8VF15|Q8VF15_MOUSE	tr|A0A5N3XWL3|A0A5N3XWL3_MUNRE
OG0001658	tr|Q8VG91|Q8VG91_MOUSE	tr|A0A5N3UUE9|A0A5N3UUE9_MUNRE
OG0001659	sp|Q91VI7|RINI_MOUSE	tr|A0A5N3XWU7|A0A5N3XWU7_MUNRE
OG0001659	tr|A0A1B0GSW2|A0A1B0GSW2_MOUSE	tr|A0A5N3UNJ8|A0A5N3UNJ8_MUNRE
OG0001660	sp|P0DP27|CALM2_MOUSE, sp|P0DP26|CALM1_MOUSE, sp|P0DP28|CALM3_MOUSE	tr|A0A5N3XMS2|A0A5N3XMS2_MUNRE
OG0001661	sp|Q9CVI2|F133B_MOUSE	tr|A0A5N3VYT3|A0A5N3VYT3_MUNRE, tr|A0A5J5N2S3|A0A5J5N2S3_MUNRE, tr|A0A5N3XSB3|A0A5N3XSB3_MUNRE
OG0001662	sp|Q9CWU5|KHDC3_MOUSE	tr|A0A5N3W2K5|A0A5N3W2K5_MUNRE
OG0001662	sp|Q9CWE6|OOEP_MOUSE	tr|A0A5N3W1S4|A0A5N3W1S4_MUNRE
OG0001663	sp|Q62074|KPCI_MOUSE	tr|A0A5N3XLS7|A0A5N3XLS7_MUNRE
OG0001663	sp|Q02956|KPCZ_MOUSE	tr|A0A5N3XTK6|A0A5N3XTK6_MUNRE
OG0001664	sp|Q8R527|RHOQ_MOUSE	tr|A0A5J5MMT2|A0A5J5MMT2_MUNRE
OG0001664	sp|Q9ER71|RHOJ_MOUSE	tr|A0A5N3XPM8|A0A5N3XPM8_MUNRE
OG0001665	tr|G3X9G9|G3X9G9_MOUSE, tr|Q5I0W6|Q5I0W6_MOUSE, tr|Q8C6B0|Q8C6B0_MOUSE	tr|A0A5N3XY23|A0A5N3XY23_MUNRE
OG0001666	tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q8VF38|Q8VF38_MOUSE	tr|A0A5N3VA73|A0A5N3VA73_MUNRE
OG0001667	sp|Q9QZ73|DCNL1_MOUSE, tr|A0A1Y7VP24|A0A1Y7VP24_MOUSE, sp|Q8BZJ7|DCNL2_MOUSE	tr|A0A5N3XME0|A0A5N3XME0_MUNRE
OG0001668	sp|Q3TRM4|PLPL6_MOUSE	tr|A0A5J5N4B5|A0A5J5N4B5_MUNRE
OG0001668	sp|A2AJ88|PLPL7_MOUSE	tr|A0A5J5MGN5|A0A5J5MGN5_MUNRE
OG0001669	tr|E9PUS2|E9PUS2_MOUSE	tr|A0A5J5N186|A0A5J5N186_MUNRE
OG0001669	sp|P58544|BTBD1_MOUSE	tr|A0A5N3X452|A0A5N3X452_MUNRE
OG0001670	sp|P97785|GFRA1_MOUSE	tr|A0A5J5MR61|A0A5J5MR61_MUNRE
OG0001670	sp|O08842|GFRA2_MOUSE	tr|A0A5N3XJX6|A0A5N3XJX6_MUNRE
OG0001671	sp|P56565|S10A1_MOUSE, sp|P97347|RPTN_MOUSE, sp|Q8VHD8|HORN_MOUSE	tr|A0A5J5MZ32|A0A5J5MZ32_MUNRE
OG0001672	tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE	tr|A0A5N3UTM0|A0A5N3UTM0_MUNRE
OG0001673	sp|Q60590|A1AG1_MOUSE, sp|P07361|A1AG2_MOUSE, sp|Q63805|A1AG3_MOUSE	tr|A0A5N3XLL0|A0A5N3XLL0_MUNRE
OG0001674	sp|Q99KJ0|UBX2A_MOUSE	tr|A0A5J5N838|A0A5J5N838_MUNRE, tr|A0A5N3XWP2|A0A5N3XWP2_MUNRE, tr|A0A5J5MIB4|A0A5J5MIB4_MUNRE
OG0001675	tr|F6ZE64|F6ZE64_MOUSE	tr|A0A5J5MLS1|A0A5J5MLS1_MUNRE
OG0001675	sp|Q9D4H7|LONF3_MOUSE	tr|A0A5N3XJ13|A0A5N3XJ13_MUNRE
OG0001676	sp|Q8CAY6|THIC_MOUSE, tr|Q80X81|Q80X81_MOUSE	tr|A0A5N3XBK5|A0A5N3XBK5_MUNRE, tr|A0A5J5MJG8|A0A5J5MJG8_MUNRE
OG0001677	tr|Q8C5D3|Q8C5D3_MOUSE, tr|F6UWZ4|F6UWZ4_MOUSE, tr|E9Q048|E9Q048_MOUSE	tr|A0A5J5MN26|A0A5J5MN26_MUNRE
OG0001678	sp|Q641K1|CBPC1_MOUSE	tr|A0A5N3XHE3|A0A5N3XHE3_MUNRE
OG0001678	sp|Q09M05|CBPC4_MOUSE	tr|A0A5N3X7S3|A0A5N3X7S3_MUNRE
OG0001679	sp|Q68FE8|Z280D_MOUSE	tr|A0A5N3XMU9|A0A5N3XMU9_MUNRE
OG0001679	sp|Q6P3Y5|Z280C_MOUSE	tr|A0A5N3XGV7|A0A5N3XGV7_MUNRE
OG0001680	tr|E9Q287|E9Q287_MOUSE	tr|A0A5N3W289|A0A5N3W289_MUNRE
OG0001680	tr|E9PX39|E9PX39_MOUSE	tr|A0A5J5MPM1|A0A5J5MPM1_MUNRE
OG0001681	sp|Q8BGE7|TRIM6_MOUSE, sp|Q99PP6|TR34A_MOUSE, tr|J3QNR8|J3QNR8_MOUSE	tr|A0A5N3XBV9|A0A5N3XBV9_MUNRE
OG0001682	tr|Q7TRI6|Q7TRI6_MOUSE, tr|Q8VG33|Q8VG33_MOUSE, sp|Q9Z1V0|OLF49_MOUSE	tr|A0A5N3XVS0|A0A5N3XVS0_MUNRE
OG0001683	sp|Q9JI74|KLHL1_MOUSE, tr|B1AZR0|B1AZR0_MOUSE, tr|Q6PFE1|Q6PFE1_MOUSE	tr|A0A5N3X4U3|A0A5N3X4U3_MUNRE
OG0001684	sp|Q9CZV8|FXL20_MOUSE	tr|A0A5N3X0L6|A0A5N3X0L6_MUNRE
OG0001684	sp|Q8BH16|FBXL2_MOUSE	tr|A0A5N3Y0N6|A0A5N3Y0N6_MUNRE
OG0001685	sp|Q6P9K9|NRX3A_MOUSE, sp|Q9CS84|NRX1A_MOUSE, sp|E9Q7X7|NRX2A_MOUSE	tr|A0A5N3XSV8|A0A5N3XSV8_MUNRE
OG0001686	sp|O54829|RGS7_MOUSE	tr|A0A5N3XVB6|A0A5N3XVB6_MUNRE
OG0001686	sp|Q9Z2H2|RGS6_MOUSE	tr|A0A5N3XPS3|A0A5N3XPS3_MUNRE
OG0001687	tr|A0A075B658|A0A075B658_MOUSE, tr|Q5R1A4|Q5R1A4_MOUSE	tr|A0A5N3XKK8|A0A5N3XKK8_MUNRE, tr|A0A5N3XLL5|A0A5N3XLL5_MUNRE
OG0001688	tr|Q5RKV8|Q5RKV8_MOUSE	tr|A0A5N3XBL8|A0A5N3XBL8_MUNRE
OG0001688	sp|A1L314|MPEG1_MOUSE	tr|A0A5N3X9S0|A0A5N3X9S0_MUNRE
OG0001689	sp|Q9JL59|SCT1B_MOUSE, sp|Q921W8|SCT1A_MOUSE	tr|A0A5N3W023|A0A5N3W023_MUNRE, tr|A0A5N3X024|A0A5N3X024_MUNRE
OG0001690	tr|Q7TS13|Q7TS13_MOUSE, tr|Q8VF60|Q8VF60_MOUSE	tr|A0A5J5N6B3|A0A5J5N6B3_MUNRE, tr|A0A5J5N7X8|A0A5J5N7X8_MUNRE
OG0001691	tr|Q3UDN3|Q3UDN3_MOUSE	tr|A0A5J5MRS4|A0A5J5MRS4_MUNRE, tr|A0A5N3W2N3|A0A5N3W2N3_MUNRE, tr|A0A5N3UIP6|A0A5N3UIP6_MUNRE
OG0001692	tr|A2AB62|A2AB62_MOUSE, tr|A0A1D5RLM8|A0A1D5RLM8_MOUSE, sp|Q80X60|EFCB3_MOUSE	tr|A0A5N3X3H6|A0A5N3X3H6_MUNRE
OG0001693	sp|Q6ZWQ7|SPCS3_MOUSE, sp|C0HK80|ARXS2_MOUSE, sp|C0HK79|ARXS1_MOUSE	tr|A0A5N3XJ41|A0A5N3XJ41_MUNRE
OG0001694	sp|Q7TPD3|ROBO2_MOUSE	tr|A0A5N3W1W5|A0A5N3W1W5_MUNRE
OG0001694	sp|O89026|ROBO1_MOUSE	tr|A0A5N3W1V7|A0A5N3W1V7_MUNRE
OG0001695	sp|P47226|TES_MOUSE, tr|A2ALC6|A2ALC6_MOUSE, tr|B1AXB9|B1AXB9_MOUSE	tr|A0A5N3XNY2|A0A5N3XNY2_MUNRE
OG0001696	sp|Q60823|AKT2_MOUSE, sp|Q9WUA6|AKT3_MOUSE, sp|P31750|AKT1_MOUSE	tr|A0A5J5MWI2|A0A5J5MWI2_MUNRE
OG0001697	sp|P29341|PABP1_MOUSE, tr|Q62029|Q62029_MOUSE, tr|Q9D4E6|Q9D4E6_MOUSE	tr|A0A5N3XFI0|A0A5N3XFI0_MUNRE
OG0001698	sp|P18572|BASI_MOUSE	tr|A0A5N3X3E6|A0A5N3X3E6_MUNRE, tr|A0A5J5N5B3|A0A5J5N5B3_MUNRE, tr|A0A5N3XAX3|A0A5N3XAX3_MUNRE
OG0001699	tr|A0A140LJC7|A0A140LJC7_MOUSE, sp|Q9JI18|LRP1B_MOUSE, sp|Q91ZX7|LRP1_MOUSE	tr|A0A5N3XW31|A0A5N3XW31_MUNRE
OG0001729	sp|Q99JX4|EIF3M_MOUSE	tr|A0A5N3XAT4|A0A5N3XAT4_MUNRE, tr|A0A5J5MGS5|A0A5J5MGS5_MUNRE
OG0001730	sp|Q9Z1L3|DEDD_MOUSE	tr|A0A5N3XNG2|A0A5N3XNG2_MUNRE, tr|A0A5J5MXW7|A0A5J5MXW7_MUNRE
OG0001731	sp|Q8BFR2|FSTL5_MOUSE, sp|Q5STE3|FSTL4_MOUSE	tr|A0A5J5N093|A0A5J5N093_MUNRE
OG0001732	sp|Q8CFA7|KLF17_MOUSE	tr|A0A5J5MUE9|A0A5J5MUE9_MUNRE, tr|A0A5J5N1D9|A0A5J5N1D9_MUNRE
OG0001733	tr|Q9EPG2|Q9EPG2_MOUSE	tr|A0A5N3UNS4|A0A5N3UNS4_MUNRE, tr|A0A5N3VXT5|A0A5N3VXT5_MUNRE
OG0001734	sp|Q8R2L5|RT18C_MOUSE	tr|A0A5N3VYF1|A0A5N3VYF1_MUNRE, tr|A0A5N3XCC9|A0A5N3XCC9_MUNRE
OG0001735	sp|P43024|CX6A1_MOUSE	tr|A0A5J5MRJ3|A0A5J5MRJ3_MUNRE, tr|A0A5N3XAT9|A0A5N3XAT9_MUNRE
OG0001736	sp|P70352|NAR5_MOUSE	tr|A0A5N3XC04|A0A5N3XC04_MUNRE, tr|A0A5N3XAU1|A0A5N3XAU1_MUNRE
OG0001737	sp|Q8BMF4|ODP2_MOUSE	tr|A0A5N3XDP6|A0A5N3XDP6_MUNRE, tr|A0A5N3XQL1|A0A5N3XQL1_MUNRE
OG0001738	sp|Q6TYB5|FEZ2_MOUSE	tr|A0A5N3XEE3|A0A5N3XEE3_MUNRE, tr|A0A5J5MKG3|A0A5J5MKG3_MUNRE
OG0001739	sp|Q9D291|DESI2_MOUSE	tr|A0A5J5MKP9|A0A5J5MKP9_MUNRE, tr|A0A5N3XR90|A0A5N3XR90_MUNRE
OG0001740	sp|Q9D9E0|S22AH_MOUSE	tr|A0A5N3XNA2|A0A5N3XNA2_MUNRE, tr|A0A5J5MN31|A0A5J5MN31_MUNRE
OG0001741	tr|Q3U5A2|Q3U5A2_MOUSE	tr|A0A5J5MPA4|A0A5J5MPA4_MUNRE, tr|A0A5N3UPP2|A0A5N3UPP2_MUNRE
OG0001742	sp|Q8BR90|RIMC1_MOUSE	tr|A0A5N3X615|A0A5N3X615_MUNRE, tr|A0A5N3X5Y5|A0A5N3X5Y5_MUNRE
OG0001743	sp|E9Q7E2|ARID2_MOUSE	tr|A0A5N3XG50|A0A5N3XG50_MUNRE, tr|A0A5N3XZ98|A0A5N3XZ98_MUNRE
OG0001744	tr|Q7TS18|Q7TS18_MOUSE	tr|A0A5N3XIU2|A0A5N3XIU2_MUNRE, tr|A0A5N3VY72|A0A5N3VY72_MUNRE
OG0001745	sp|Q99JH1|RP25L_MOUSE	tr|A0A5N3XFS6|A0A5N3XFS6_MUNRE, tr|A0A5N3XMC6|A0A5N3XMC6_MUNRE
OG0001746	sp|Q60850|S23A3_MOUSE	tr|A0A5N3XMI4|A0A5N3XMI4_MUNRE, tr|A0A5N3URQ5|A0A5N3URQ5_MUNRE
OG0001747	sp|Q6DIB4|NOL4L_MOUSE	tr|A0A5N3XWQ8|A0A5N3XWQ8_MUNRE, tr|A0A5J5MU79|A0A5J5MU79_MUNRE
OG0001748	sp|Q8CI32|BAG5_MOUSE	tr|A0A5N3X418|A0A5N3X418_MUNRE, tr|A0A5N3XYD4|A0A5N3XYD4_MUNRE
OG0001749	sp|Q9WTX5|SKP1_MOUSE	tr|A0A5J5ML69|A0A5J5ML69_MUNRE, tr|A0A5J5MRI4|A0A5J5MRI4_MUNRE
OG0001751	sp|Q9D9W1|PIFO_MOUSE	tr|A0A5J5N8V2|A0A5J5N8V2_MUNRE, tr|A0A5J5N8A3|A0A5J5N8A3_MUNRE
OG0001753	sp|O35345|IMA7_MOUSE	tr|A0A5N3W319|A0A5N3W319_MUNRE, tr|A0A5J5MKT5|A0A5J5MKT5_MUNRE
OG0001754	sp|Q99PT9|KIF19_MOUSE, tr|A0A1B0GSG7|A0A1B0GSG7_MOUSE	tr|A0A5N3WYM3|A0A5N3WYM3_MUNRE
OG0001755	sp|Q80SU7|GVIN1_MOUSE	tr|A0A5N3XC73|A0A5N3XC73_MUNRE, tr|A0A5N3XBX7|A0A5N3XBX7_MUNRE
OG0001756	sp|Q91V12|BACH_MOUSE	tr|A0A5N3X5Z2|A0A5N3X5Z2_MUNRE, tr|A0A5N3XVK3|A0A5N3XVK3_MUNRE
OG0001757	sp|Q8R4I1|ATX7_MOUSE	tr|A0A5N3XW28|A0A5N3XW28_MUNRE, tr|A0A5N3XPT6|A0A5N3XPT6_MUNRE
OG0001758	sp|Q9D6H5|ZDHC4_MOUSE	tr|A0A5N3XW62|A0A5N3XW62_MUNRE, tr|A0A5J5MZJ6|A0A5J5MZJ6_MUNRE
OG0001759	sp|Q9D945|LLPH_MOUSE	tr|A0A5J5MZJ3|A0A5J5MZJ3_MUNRE, tr|A0A5N3XX42|A0A5N3XX42_MUNRE
OG0001760	sp|Q8K4J0|DCR1C_MOUSE	tr|A0A5J5ML59|A0A5J5ML59_MUNRE, tr|A0A5J5MVX5|A0A5J5MVX5_MUNRE
OG0001761	sp|Q60648|SAP3_MOUSE	tr|A0A5J5MQW7|A0A5J5MQW7_MUNRE, tr|A0A5J5MY36|A0A5J5MY36_MUNRE
OG0001762	tr|Q7TRV9|Q7TRV9_MOUSE, tr|E9Q8M2|E9Q8M2_MOUSE	tr|A0A5J5N127|A0A5J5N127_MUNRE
OG0001763	sp|Q8K337|I5P2_MOUSE, sp|Q6NVF0|OCRL_MOUSE	tr|A0A5J5N1V8|A0A5J5N1V8_MUNRE
OG0001764	sp|Q9D1L9|LTOR5_MOUSE	tr|A0A5N3VZY5|A0A5N3VZY5_MUNRE, tr|A0A5J5N414|A0A5J5N414_MUNRE
OG0001765	sp|Q62296|TEAD4_MOUSE, sp|P30051|TEAD1_MOUSE	tr|A0A5J5N4Y5|A0A5J5N4Y5_MUNRE
OG0001766	sp|Q5SSN7|SFT2A_MOUSE, sp|Q8VD57|SFT2B_MOUSE	tr|A0A5N3VYY4|A0A5N3VYY4_MUNRE
OG0001767	sp|Q80WC9|ACSF4_MOUSE	tr|A0A5J5MIV0|A0A5J5MIV0_MUNRE, tr|A0A5N3VZ18|A0A5N3VZ18_MUNRE
OG0001768	sp|Q66JT7|COQ2_MOUSE	tr|A0A5N3W1M5|A0A5N3W1M5_MUNRE, tr|A0A5N3UMY8|A0A5N3UMY8_MUNRE
OG0001769	sp|Q8BUH7|RNF26_MOUSE, tr|E9PVG0|E9PVG0_MOUSE	tr|A0A5N3XAD8|A0A5N3XAD8_MUNRE
OG0001770	sp|Q9DCZ4|MIC26_MOUSE	tr|A0A5J5N0Y6|A0A5J5N0Y6_MUNRE, tr|A0A5N3XF98|A0A5N3XF98_MUNRE
OG0001771	sp|Q8VHH5|AGAP3_MOUSE, sp|Q8BXK8|AGAP1_MOUSE	tr|A0A5N3XP30|A0A5N3XP30_MUNRE
OG0001772	sp|P47993|XCL1_MOUSE	tr|A0A5N3UW81|A0A5N3UW81_MUNRE, tr|A0A5N3XSY0|A0A5N3XSY0_MUNRE
OG0001773	sp|Q810U2|TDM1A_MOUSE, tr|Q8CC62|Q8CC62_MOUSE	tr|A0A5N3XTQ5|A0A5N3XTQ5_MUNRE
OG0001774	sp|Q8R4F1|NTNG2_MOUSE, sp|Q8R4G0|NTNG1_MOUSE	tr|A0A5J5MJN6|A0A5J5MJN6_MUNRE
OG0001775	sp|Q69ZB3|TSYL5_MOUSE	tr|A0A5J5MMS8|A0A5J5MMS8_MUNRE, tr|A0A5N3XDA0|A0A5N3XDA0_MUNRE
OG0001776	sp|Q8K419|LEG4_MOUSE, sp|O54891|LEG6_MOUSE	tr|A0A5J5MPV5|A0A5J5MPV5_MUNRE
OG0001777	sp|Q9D8S4|ORN_MOUSE	tr|A0A5N3UJY5|A0A5N3UJY5_MUNRE, tr|A0A5N3X9B8|A0A5N3X9B8_MUNRE
OG0001779	sp|P35737|DMB_MOUSE, tr|Q31099|Q31099_MOUSE	tr|A0A5N3W445|A0A5N3W445_MUNRE
OG0001780	sp|Q9CZU3|MTREX_MOUSE	tr|A0A5N3XBN4|A0A5N3XBN4_MUNRE, tr|A0A5J5MNM0|A0A5J5MNM0_MUNRE
OG0001781	sp|Q3U6B2|GP183_MOUSE	tr|A0A5N3XI81|A0A5N3XI81_MUNRE, tr|A0A5N3XGZ4|A0A5N3XGZ4_MUNRE
OG0001782	sp|Q8R2N1|AQP3_MOUSE	tr|A0A5N3XJN2|A0A5N3XJN2_MUNRE, tr|A0A5J5N3M3|A0A5J5N3M3_MUNRE
OG0001783	sp|P97358|TAF1B_MOUSE	tr|A0A5J5MIF8|A0A5J5MIF8_MUNRE, tr|A0A5J5N1Q4|A0A5J5N1Q4_MUNRE
OG0001784	sp|Q9QY01|ULK2_MOUSE	tr|A0A5J5N6E1|A0A5J5N6E1_MUNRE, tr|A0A5N3X045|A0A5N3X045_MUNRE
