Orthogroup	Mus_musculus	Phyllostomus_discolor
OG0000029	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A6J2LS34|A0A6J2LS34_9CHIR
OG0000029	sp|B2RXC5|ZN382_MOUSE	tr|A0A6J2N619|A0A6J2N619_9CHIR, tr|A0A7E6DUU7|A0A7E6DUU7_9CHIR, tr|A0A6J2MWN6|A0A6J2MWN6_9CHIR, tr|A0A7E6CPG4|A0A7E6CPG4_9CHIR, tr|A0A6J2N7M1|A0A6J2N7M1_9CHIR
OG0000031	tr|B7ZMQ6|B7ZMQ6_MOUSE, sp|Q63994|CD33_MOUSE	tr|A0A7E6CNW3|A0A7E6CNW3_9CHIR, tr|A0A7E6CPE0|A0A7E6CPE0_9CHIR, tr|A0A7E6CRN2|A0A7E6CRN2_9CHIR
OG0000031	sp|Q80ZE3|SIG10_MOUSE	tr|A0A6J2N6Y4|A0A6J2N6Y4_9CHIR, tr|A0A7E6CSN7|A0A7E6CSN7_9CHIR
OG0000031	sp|Q920G3|SIGL5_MOUSE	tr|A0A7E6CP97|A0A7E6CP97_9CHIR, tr|A0A6J2N4T5|A0A6J2N4T5_9CHIR, tr|A0A7E6CPG8|A0A7E6CPG8_9CHIR, tr|A0A7E6CPI2|A0A7E6CPI2_9CHIR, tr|A0A7E6CQN2|A0A7E6CQN2_9CHIR, tr|A0A6J2N167|A0A6J2N167_9CHIR, tr|A0A7E6CP36|A0A7E6CP36_9CHIR, tr|A0A7E6CQ82|A0A7E6CQ82_9CHIR, tr|A0A7E6CP29|A0A7E6CP29_9CHIR, tr|A0A7E6CQ68|A0A7E6CQ68_9CHIR
OG0000031	sp|Q91Y57|SIG12_MOUSE	tr|A0A7E6CPF9|A0A7E6CPF9_9CHIR, tr|A0A7E6CP81|A0A7E6CP81_9CHIR, tr|A0A7E6CPE4|A0A7E6CPE4_9CHIR, tr|A0A7E6CP67|A0A7E6CP67_9CHIR, tr|A0A6J2N402|A0A6J2N402_9CHIR, tr|A0A6J2N4S2|A0A6J2N4S2_9CHIR, tr|A0A7E6CQ91|A0A7E6CQ91_9CHIR, tr|A0A7E6CQ98|A0A7E6CQ98_9CHIR, tr|A0A7E6CP76|A0A7E6CP76_9CHIR, tr|A0A6J2N570|A0A6J2N570_9CHIR, tr|A0A7E6CQL9|A0A7E6CQL9_9CHIR
OG0000032	sp|Q62556|BT1A1_MOUSE	tr|A0A6J2KX97|A0A6J2KX97_9CHIR
OG0000032	sp|Q9JK39|BTNLA_MOUSE	tr|A0A6J2KYW5|A0A6J2KYW5_9CHIR, tr|A0A6J2KV38|A0A6J2KV38_9CHIR, tr|A0A7E6CXB2|A0A7E6CXB2_9CHIR, tr|A0A7E6CW32|A0A7E6CW32_9CHIR, tr|A0A7E6CY48|A0A7E6CY48_9CHIR, tr|A0A6J2L0Y1|A0A6J2L0Y1_9CHIR, tr|A0A7E6CYC6|A0A7E6CYC6_9CHIR, tr|A0A6J2KYV6|A0A6J2KYV6_9CHIR, tr|A0A7E6CZW4|A0A7E6CZW4_9CHIR, tr|A0A7E6CXZ6|A0A7E6CXZ6_9CHIR, tr|A0A7E6CX73|A0A7E6CX73_9CHIR, tr|A0A7E6CX24|A0A7E6CX24_9CHIR, tr|A0A7E6CVR2|A0A7E6CVR2_9CHIR, tr|A0A7E6CXA3|A0A7E6CXA3_9CHIR, tr|A0A7E6CVM1|A0A7E6CVM1_9CHIR, tr|A0A7E6CX71|A0A7E6CX71_9CHIR, tr|A0A7E6DW88|A0A7E6DW88_9CHIR, tr|A0A7E6E2Z9|A0A7E6E2Z9_9CHIR, tr|A0A7E6E385|A0A7E6E385_9CHIR, tr|A0A7E6E2Z5|A0A7E6E2Z5_9CHIR, tr|A0A7E6E3M9|A0A7E6E3M9_9CHIR, tr|A0A7E6CYD5|A0A7E6CYD5_9CHIR, tr|A0A7E6CZW9|A0A7E6CZW9_9CHIR, tr|A0A7E6E3X7|A0A7E6E3X7_9CHIR, tr|A0A7E6E3Y5|A0A7E6E3Y5_9CHIR, tr|A0A7E6E2G3|A0A7E6E2G3_9CHIR, tr|A0A7E6E4F5|A0A7E6E4F5_9CHIR, tr|A0A7E6DX77|A0A7E6DX77_9CHIR
OG0000034	sp|Q96EQ9|PRDM9_MOUSE	tr|A0A7E6D1N3|A0A7E6D1N3_9CHIR, tr|A0A7E6CRA4|A0A7E6CRA4_9CHIR, tr|A0A7E6E391|A0A7E6E391_9CHIR, tr|A0A7E6CTC5|A0A7E6CTC5_9CHIR, tr|A0A7E6DHE6|A0A7E6DHE6_9CHIR, tr|A0A7E6DXG6|A0A7E6DXG6_9CHIR, tr|A0A7E6CGS8|A0A7E6CGS8_9CHIR, tr|A0A7E6D916|A0A7E6D916_9CHIR, tr|A0A7E6CQY5|A0A7E6CQY5_9CHIR, tr|A0A7E6E559|A0A7E6E559_9CHIR, tr|A0A7E6CGL9|A0A7E6CGL9_9CHIR, tr|A0A7E6D5M8|A0A7E6D5M8_9CHIR, tr|A0A7E6CXT1|A0A7E6CXT1_9CHIR, tr|A0A7E6E493|A0A7E6E493_9CHIR, tr|A0A6J2L0L4|A0A6J2L0L4_9CHIR, tr|A0A7E6DHP3|A0A7E6DHP3_9CHIR, tr|A0A7E6DHJ6|A0A7E6DHJ6_9CHIR, tr|A0A7E6DAB5|A0A7E6DAB5_9CHIR, tr|A0A7E6DPS2|A0A7E6DPS2_9CHIR, tr|A0A7E6D1L8|A0A7E6D1L8_9CHIR, tr|A0A7E6DWU1|A0A7E6DWU1_9CHIR, tr|A0A7E6DW95|A0A7E6DW95_9CHIR, tr|A0A7E6E890|A0A7E6E890_9CHIR, tr|A0A7E6DWM4|A0A7E6DWM4_9CHIR, tr|A0A7E6D1X2|A0A7E6D1X2_9CHIR, tr|A0A7E6DXP1|A0A7E6DXP1_9CHIR, tr|A0A7E6D1M2|A0A7E6D1M2_9CHIR, tr|A0A7E6D3N7|A0A7E6D3N7_9CHIR
OG0000035	tr|Q8VF22|Q8VF22_MOUSE	tr|A0A6J2NAH3|A0A6J2NAH3_9CHIR
OG0000035	tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|Q7TR58|Q7TR58_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, sp|Q8VGS3|O1019_MOUSE	tr|A0A6J2M4W5|A0A6J2M4W5_9CHIR
OG0000036	sp|P09528|FRIH_MOUSE	tr|A0A7E6CTJ5|A0A7E6CTJ5_9CHIR, tr|A0A7E6D235|A0A7E6D235_9CHIR, tr|A0A6J2M3T0|A0A6J2M3T0_9CHIR, tr|A0A7E6CMS8|A0A7E6CMS8_9CHIR, tr|A0A7E6CHR3|A0A7E6CHR3_9CHIR, tr|A0A7E6D0P2|A0A7E6D0P2_9CHIR, tr|A0A7E6D1G9|A0A7E6D1G9_9CHIR, tr|A0A7E6CZV8|A0A7E6CZV8_9CHIR, tr|A0A7E6D0G7|A0A7E6D0G7_9CHIR, tr|A0A6J2MKI9|A0A6J2MKI9_9CHIR, tr|A0A7E6CZS1|A0A7E6CZS1_9CHIR, tr|A0A7E6CZW1|A0A7E6CZW1_9CHIR, tr|A0A7E6CZF7|A0A7E6CZF7_9CHIR, tr|A0A7E6CYT1|A0A7E6CYT1_9CHIR, tr|A0A7E6D0D9|A0A7E6D0D9_9CHIR, tr|A0A7E6CZA5|A0A7E6CZA5_9CHIR, tr|A0A7E6CZT7|A0A7E6CZT7_9CHIR, tr|A0A7E6D2A6|A0A7E6D2A6_9CHIR, tr|A0A7E6CZK4|A0A7E6CZK4_9CHIR, tr|A0A7E6D3B8|A0A7E6D3B8_9CHIR, tr|A0A7E6D0H0|A0A7E6D0H0_9CHIR, tr|A0A7E6D0G5|A0A7E6D0G5_9CHIR, tr|A0A7E6D3A1|A0A7E6D3A1_9CHIR, tr|A0A7E6D3A6|A0A7E6D3A6_9CHIR, tr|A0A7E6D0Q0|A0A7E6D0Q0_9CHIR, tr|A0A7E6D1E1|A0A7E6D1E1_9CHIR, tr|A0A7E6D0H8|A0A7E6D0H8_9CHIR, tr|A0A7E6D0H7|A0A7E6D0H7_9CHIR
OG0000040	tr|D3Z7A9|D3Z7A9_MOUSE	tr|A0A7E6CRB8|A0A7E6CRB8_9CHIR, tr|A0A7E6CTL5|A0A7E6CTL5_9CHIR, tr|A0A7E6CNX6|A0A7E6CNX6_9CHIR, tr|A0A7E6CP98|A0A7E6CP98_9CHIR, tr|A0A6J2N4W8|A0A6J2N4W8_9CHIR, tr|A0A7E6CNW4|A0A7E6CNW4_9CHIR, tr|A0A7E6CNU3|A0A7E6CNU3_9CHIR, tr|A0A7E6CRR9|A0A7E6CRR9_9CHIR, tr|A0A7E6CNM9|A0A7E6CNM9_9CHIR, tr|A0A6J2N0F6|A0A6J2N0F6_9CHIR, tr|A0A7E6CPK9|A0A7E6CPK9_9CHIR, tr|A0A7E6D1S3|A0A7E6D1S3_9CHIR, tr|A0A7E6CR43|A0A7E6CR43_9CHIR, tr|A0A7E6CNU8|A0A7E6CNU8_9CHIR, tr|A0A7E6CPB1|A0A7E6CPB1_9CHIR, tr|A0A7E6CNM3|A0A7E6CNM3_9CHIR, tr|A0A7E6CRR2|A0A7E6CRR2_9CHIR, tr|A0A7E6CPH7|A0A7E6CPH7_9CHIR, tr|A0A6J2N5K0|A0A6J2N5K0_9CHIR, tr|A0A7E6CNR2|A0A7E6CNR2_9CHIR, tr|A0A7E6CNL2|A0A7E6CNL2_9CHIR, tr|A0A7E6CNW6|A0A7E6CNW6_9CHIR, tr|A0A7E6CPK4|A0A7E6CPK4_9CHIR, tr|A0A7E6CNQ0|A0A7E6CNQ0_9CHIR, tr|A0A7E6CNQ3|A0A7E6CNQ3_9CHIR, tr|A0A7E6CPA7|A0A7E6CPA7_9CHIR
OG0000042	tr|A0A075B5I8|A0A075B5I8_MOUSE	tr|A0A7E6CGV3|A0A7E6CGV3_9CHIR
OG0000042	sp|P01734|TVB1_MOUSE, tr|A0A075B5J0|A0A075B5J0_MOUSE, tr|A0A075B5I9|A0A075B5I9_MOUSE, tr|A0A0B4J1H1|A0A0B4J1H1_MOUSE, tr|A0A0B4J1H0|A0A0B4J1H0_MOUSE, tr|A0A0B4J1H3|A0A0B4J1H3_MOUSE, sp|P06320|TVB7_MOUSE, tr|A0A0A6YYE3|A0A0A6YYE3_MOUSE, tr|A0A140T8L9|A0A140T8L9_MOUSE, tr|A0A0A6YYE2|A0A0A6YYE2_MOUSE, tr|A0A0B4J1H2|A0A0B4J1H2_MOUSE, tr|A0A140T8N6|A0A140T8N6_MOUSE, tr|A0A075B5I3|A0A075B5I3_MOUSE, sp|P04213|TVB5_MOUSE, sp|P01736|TVB3_MOUSE, tr|A0A0G2LB96|A0A0G2LB96_MOUSE, tr|A0A0B4J1H4|A0A0B4J1H4_MOUSE, sp|P04212|TVB4_MOUSE, tr|A0A140T8P8|A0A140T8P8_MOUSE, tr|A0A0B4J1G8|A0A0B4J1G8_MOUSE, tr|A0A0B4J1G9|A0A0B4J1G9_MOUSE, sp|P06321|TVB8_MOUSE, sp|P01735|TVB86_MOUSE, tr|A0A075B5I2|A0A075B5I2_MOUSE	tr|A0A7E6CJ22|A0A7E6CJ22_9CHIR
OG0000043	tr|Q0VB29|Q0VB29_MOUSE	tr|A0A6J2LY84|A0A6J2LY84_9CHIR
OG0000043	tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|A2ATW2|A2ATW2_MOUSE	tr|A0A7E6E2N6|A0A7E6E2N6_9CHIR
OG0000043	tr|Q8VGP3|Q8VGP3_MOUSE, tr|Q8VG62|Q8VG62_MOUSE, sp|Q60881|OL142_MOUSE, tr|Q8VGN8|Q8VGN8_MOUSE, tr|Q7TQZ0|Q7TQZ0_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE	tr|A0A6J2M4M9|A0A6J2M4M9_9CHIR
