Orthogroup	Mus_musculus	Cervus_elaphus_hippelaphus
OG0000000	tr|A0A087WRR7|A0A087WRR7_MOUSE, tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A212DCY8|A0A212DCY8_CEREH
OG0000000	sp|Q2TL60|ZN667_MOUSE	tr|A0A212DC09|A0A212DC09_CEREH
OG0000000	sp|Q3V080|ZN583_MOUSE	tr|A0A212DE18|A0A212DE18_CEREH, tr|A0A212DBJ0|A0A212DBJ0_CEREH, tr|A0A212DC18|A0A212DC18_CEREH, tr|A0A212DEH8|A0A212DEH8_CEREH
OG0000000	tr|Q6NZI9|Q6NZI9_MOUSE	tr|A0A212D933|A0A212D933_CEREH, tr|A0A212DCD6|A0A212DCD6_CEREH
OG0000000	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A212C1X1|A0A212C1X1_CEREH, tr|A0A212CSH2|A0A212CSH2_CEREH
OG0000000	tr|Q3TFZ4|Q3TFZ4_MOUSE	tr|A0A212CEE0|A0A212CEE0_CEREH
OG0000000	tr|A0A087WS64|A0A087WS64_MOUSE	tr|A0A212DCD9|A0A212DCD9_CEREH, tr|A0A212DBX3|A0A212DBX3_CEREH, tr|A0A212DDW4|A0A212DDW4_CEREH
OG0000000	sp|Q61751|Z354A_MOUSE	tr|A0A212D0Z8|A0A212D0Z8_CEREH
OG0000000	sp|Q571J5|Z354C_MOUSE	tr|A0A212D134|A0A212D134_CEREH
OG0000000	sp|A2A761|ZFP69_MOUSE	tr|A0A212CFK9|A0A212CFK9_CEREH
OG0000000	sp|Q7TNU6|ZN250_MOUSE	tr|A0A212BZ72|A0A212BZ72_CEREH, tr|A0A212CEN7|A0A212CEN7_CEREH, tr|A0A212D0U6|A0A212D0U6_CEREH
OG0000000	tr|E9Q6Y4|E9Q6Y4_MOUSE	tr|A0A212DDN6|A0A212DDN6_CEREH, tr|A0A212DBH2|A0A212DBH2_CEREH, tr|A0A212DCN1|A0A212DCN1_CEREH
OG0000000	tr|E9Q3R6|E9Q3R6_MOUSE	tr|A0A212DHM3|A0A212DHM3_CEREH, tr|A0A212DBR1|A0A212DBR1_CEREH, tr|A0A212CM67|A0A212CM67_CEREH
OG0000000	sp|Q8R1D1|ZN426_MOUSE, tr|G3X996|G3X996_MOUSE	tr|A0A212D109|A0A212D109_CEREH, tr|A0A212D0J0|A0A212D0J0_CEREH
OG0000000	tr|Q8C0Q5|Q8C0Q5_MOUSE	tr|A0A212D1A6|A0A212D1A6_CEREH
OG0000000	tr|E9Q1J0|E9Q1J0_MOUSE	tr|A0A212D2U8|A0A212D2U8_CEREH, tr|A0A212D2C7|A0A212D2C7_CEREH, tr|A0A212D1N0|A0A212D1N0_CEREH, tr|A0A212D2A8|A0A212D2A8_CEREH, tr|A0A212D0Z0|A0A212D0Z0_CEREH, tr|A0A212D2S9|A0A212D2S9_CEREH, tr|A0A212D4H4|A0A212D4H4_CEREH, tr|A0A212D092|A0A212D092_CEREH, tr|A0A212D114|A0A212D114_CEREH
OG0000000	tr|A0A1D5RMC2|A0A1D5RMC2_MOUSE	tr|A0A212C8Y1|A0A212C8Y1_CEREH, tr|A0A212DD86|A0A212DD86_CEREH, tr|A0A212DCF8|A0A212DCF8_CEREH
OG0000000	tr|Q8C689|Q8C689_MOUSE	tr|A0A212D4W1|A0A212D4W1_CEREH, tr|A0A212CX84|A0A212CX84_CEREH, tr|A0A212CXB5|A0A212CXB5_CEREH, tr|A0A212D002|A0A212D002_CEREH, tr|A0A212CZW7|A0A212CZW7_CEREH
OG0000000	tr|Q7TSV0|Q7TSV0_MOUSE	tr|A0A212DCF2|A0A212DCF2_CEREH
OG0000000	sp|Q8BGV5|ZNF8_MOUSE	tr|A0A212DBQ9|A0A212DBQ9_CEREH, tr|A0A212DE00|A0A212DE00_CEREH
OG0000000	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A212D9I3|A0A212D9I3_CEREH, tr|A0A212D8M4|A0A212D8M4_CEREH, tr|A0A212DC56|A0A212DC56_CEREH, tr|A0A212DDP6|A0A212DDP6_CEREH, tr|A0A212DCJ4|A0A212DCJ4_CEREH, tr|A0A212DD09|A0A212DD09_CEREH, tr|A0A212DBD8|A0A212DBD8_CEREH
OG0000002	tr|A0A0U1RP76|A0A0U1RP76_MOUSE, tr|Q8VGU2|Q8VGU2_MOUSE, tr|Q7TS17|Q7TS17_MOUSE, tr|A1L1B4|A1L1B4_MOUSE, tr|Q8VET6|Q8VET6_MOUSE, tr|A0A286YDM5|A0A286YDM5_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q8VFU4|Q8VFU4_MOUSE, tr|Q7TRH2|Q7TRH2_MOUSE, tr|Q8VFU6|Q8VFU6_MOUSE, tr|Q8VFU7|Q8VFU7_MOUSE, tr|Q8VEV5|Q8VEV5_MOUSE, tr|Q8VGU3|Q8VGU3_MOUSE, tr|E9PYK6|E9PYK6_MOUSE, tr|Q8VET3|Q8VET3_MOUSE, sp|Q60894|OLF12_MOUSE, tr|Q8VFC4|Q8VFC4_MOUSE, tr|E9Q2B9|E9Q2B9_MOUSE, tr|Q8VFQ4|Q8VFQ4_MOUSE, tr|Q8VFQ3|Q8VFQ3_MOUSE, tr|Q8VG65|Q8VG65_MOUSE, tr|Q7TQQ2|Q7TQQ2_MOUSE, tr|Q8VG66|Q8VG66_MOUSE, tr|Q8VG11|Q8VG11_MOUSE, tr|Q7TQQ3|Q7TQQ3_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VF13|O1094_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|A2AVB0|A2AVB0_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, sp|Q8VFK1|O1009_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q5NC55|Q5NC55_MOUSE, tr|Q7TRZ9|Q7TRZ9_MOUSE, tr|Q8VFX6|Q8VFX6_MOUSE, tr|Q8VFX7|Q8VFX7_MOUSE, tr|Q8VFX8|Q8VFX8_MOUSE, tr|Q7TRX3|Q7TRX3_MOUSE, sp|Q60891|OL139_MOUSE, tr|Q7TRW8|Q7TRW8_MOUSE, tr|Q7TRK1|Q7TRK1_MOUSE, tr|A2RT31|A2RT31_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|A0A140LHS7|A0A140LHS7_MOUSE, tr|A0A140LHT7|A0A140LHT7_MOUSE, tr|Q7TQR9|Q7TQR9_MOUSE, tr|A0PK57|A0PK57_MOUSE, tr|Q7TQR7|Q7TQR7_MOUSE, tr|Q8VF59|Q8VF59_MOUSE, tr|E9Q9Z6|E9Q9Z6_MOUSE, tr|Q8VFV8|Q8VFV8_MOUSE, sp|Q8VFV4|O1440_MOUSE, tr|Q8VFV3|Q8VFV3_MOUSE, tr|A0A2I3BR00|A0A2I3BR00_MOUSE, tr|A0A140LHS9|A0A140LHS9_MOUSE, tr|A2ASV2|A2ASV2_MOUSE, tr|Q7TR95|Q7TR95_MOUSE, sp|Q7TR96|O1013_MOUSE, tr|Q8VFJ7|Q8VFJ7_MOUSE, tr|Q7TR94|Q7TR94_MOUSE, tr|A2ALD2|A2ALD2_MOUSE	tr|A0A212DEP1|A0A212DEP1_CEREH
OG0000008	tr|A0A075B5Q4|A0A075B5Q4_MOUSE, sp|P18530|HVM59_MOUSE, sp|P18527|HVM56_MOUSE, sp|P18528|HVM57_MOUSE, tr|A0A075B5P9|A0A075B5P9_MOUSE, sp|P18529|HVM58_MOUSE, tr|A0A075B5Q0|A0A075B5Q0_MOUSE, tr|A0A075B5Q2|A0A075B5Q2_MOUSE, tr|A0A075B5P7|A0A075B5P7_MOUSE, sp|P18524|HVM53_MOUSE, tr|A0A075B5Q6|A0A075B5Q6_MOUSE, sp|P18526|HVM55_MOUSE, tr|A0A0A6YWG4|A0A0A6YWG4_MOUSE, sp|P18525|HVM54_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5R0|A0A075B5R0_MOUSE, tr|A0A075B5R5|A0A075B5R5_MOUSE, sp|P01811|HVM41_MOUSE, sp|P01807|HVM37_MOUSE, sp|P01810|HVM40_MOUSE, sp|P01812|HVM42_MOUSE, sp|P01808|HVM38_MOUSE, sp|P01809|HVM39_MOUSE, tr|A0A075B5R8|A0A075B5R8_MOUSE, tr|A0A075B5R6|A0A075B5R6_MOUSE, sp|P01806|HVM36_MOUSE, tr|A0A075B5S0|A0A075B5S0_MOUSE, tr|A0A0A6YVQ4|A0A0A6YVQ4_MOUSE, tr|A0A0A6YXC7|A0A0A6YXC7_MOUSE, tr|A0A087WPN7|A0A087WPN7_MOUSE, sp|P01793|HVM24_MOUSE, sp|P01794|HVM25_MOUSE, tr|A0A075B5R3|A0A075B5R3_MOUSE, sp|P84751|HVM63_MOUSE, sp|P01786|HVM17_MOUSE, tr|A0A075B5S5|A0A075B5S5_MOUSE, tr|A0A075B5R2|A0A075B5R2_MOUSE, tr|A0A075B5S2|A0A075B5S2_MOUSE, sp|P01795|HVM26_MOUSE, sp|P01789|HVM20_MOUSE, sp|P01792|HVM23_MOUSE, sp|P01787|HVM18_MOUSE, sp|P01788|HVM19_MOUSE, sp|P01791|HVM22_MOUSE, sp|P01790|HVM21_MOUSE, sp|P01800|HVM31_MOUSE, sp|P01796|HVM27_MOUSE, sp|P01801|HVM32_MOUSE, tr|A0A075B5T2|A0A075B5T2_MOUSE, tr|A0A075B5T3|A0A075B5T3_MOUSE, tr|A0A0A6YWU3|A0A0A6YWU3_MOUSE, tr|A0A075B5T6|A0A075B5T6_MOUSE, tr|A0A0B4J1J6|A0A0B4J1J6_MOUSE, tr|J3QNN6|J3QNN6_MOUSE, tr|J3QK03|J3QK03_MOUSE, sp|P01804|HVM35_MOUSE, sp|P01802|HVM33_MOUSE, sp|P01798|HVM29_MOUSE, sp|P01797|HVM28_MOUSE, sp|P01799|HVM30_MOUSE, sp|P01803|HVM34_MOUSE	tr|A0A212CS35|A0A212CS35_CEREH
OG0000010	tr|E9QAW0|E9QAW0_MOUSE	tr|A0A212CYD1|A0A212CYD1_CEREH
OG0000010	sp|Q9Z1D9|ZN394_MOUSE	tr|A0A212CYG8|A0A212CYG8_CEREH
OG0000010	sp|Q07231|ZSC21_MOUSE	tr|A0A212CYE6|A0A212CYE6_CEREH, tr|A0A212CT34|A0A212CT34_CEREH
OG0000010	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A212C6Q9|A0A212C6Q9_CEREH
OG0000010	sp|Q9Z1D8|ZKSC5_MOUSE	tr|A0A212CY96|A0A212CY96_CEREH
OG0000010	sp|Q8BGS3|ZKSC1_MOUSE	tr|A0A212CZ47|A0A212CZ47_CEREH
OG0000010	tr|Q8BSL0|Q8BSL0_MOUSE	tr|A0A212D589|A0A212D589_CEREH
OG0000010	sp|Q8CF60|ZN263_MOUSE	tr|A0A212CZ74|A0A212CZ74_CEREH
OG0000010	sp|Q91VN1|ZNF24_MOUSE	tr|A0A212D564|A0A212D564_CEREH, tr|A0A212C765|A0A212C765_CEREH
OG0000010	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A212D4U5|A0A212D4U5_CEREH, tr|A0A212D4H8|A0A212D4H8_CEREH, tr|A0A212D4H6|A0A212D4H6_CEREH, tr|A0A212D4F7|A0A212D4F7_CEREH, tr|A0A212D551|A0A212D551_CEREH
OG0000010	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A212D500|A0A212D500_CEREH
OG0000010	tr|E9PVW1|E9PVW1_MOUSE	tr|A0A212CA28|A0A212CA28_CEREH
OG0000010	sp|Q8R2V3|ZN445_MOUSE	tr|A0A212C9R6|A0A212C9R6_CEREH, tr|A0A212C9K7|A0A212C9K7_CEREH
OG0000010	sp|Q3URU2|PEG3_MOUSE	tr|A0A212DBJ4|A0A212DBJ4_CEREH, tr|A0A212DDP8|A0A212DDP8_CEREH
OG0000010	tr|A2ALW2|A2ALW2_MOUSE	tr|A0A212DDN7|A0A212DDN7_CEREH, tr|A0A212DI71|A0A212DI71_CEREH, tr|A0A212CMN6|A0A212CMN6_CEREH
OG0000010	tr|B2RTN3|B2RTN3_MOUSE	tr|A0A212CHL8|A0A212CHL8_CEREH, tr|A0A212DD07|A0A212DD07_CEREH, tr|A0A212CAD1|A0A212CAD1_CEREH
OG0000010	tr|S4R1L6|S4R1L6_MOUSE	tr|A0A212DDZ4|A0A212DDZ4_CEREH
OG0000010	tr|B9EJW5|B9EJW5_MOUSE	tr|A0A212CZ63|A0A212CZ63_CEREH
OG0000011	tr|Q9EPN9|Q9EPN9_MOUSE, tr|F8VPZ8|F8VPZ8_MOUSE, tr|F8VQ01|F8VQ01_MOUSE, tr|E9Q382|E9Q382_MOUSE, tr|A0A1B0GSF4|A0A1B0GSF4_MOUSE, tr|E9PZ66|E9PZ66_MOUSE, tr|F8VQI7|F8VQI7_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|F8VQ18|F8VQ18_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, sp|Q8VBV9|O51E2_MOUSE, tr|Q8VGZ7|Q8VGZ7_MOUSE, tr|E9Q550|E9Q550_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|Q8VH16|Q8VH16_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|Q8VH13|Q8VH13_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE	tr|A0A212DI79|A0A212DI79_CEREH
OG0000012	tr|Q8VFZ8|Q8VFZ8_MOUSE, tr|Q8VGI7|Q8VGI7_MOUSE, tr|Q8VGC2|Q8VGC2_MOUSE, tr|Q8VFH7|Q8VFH7_MOUSE, tr|Q8VFH3|Q8VFH3_MOUSE, tr|Q8VFH6|Q8VFH6_MOUSE, tr|F6VS78|F6VS78_MOUSE, tr|Q8VGC5|Q8VGC5_MOUSE, tr|Q8VF26|Q8VF26_MOUSE, tr|Q8VEU0|Q8VEU0_MOUSE, tr|Q8VGC4|Q8VGC4_MOUSE, tr|Q8VGJ0|Q8VGJ0_MOUSE, tr|Q8K501|Q8K501_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE, tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VFP2|Q8VFP2_MOUSE, tr|A0A2I3BQH9|A0A2I3BQH9_MOUSE, tr|A0A2I3BQ22|A0A2I3BQ22_MOUSE, tr|Q7TRI6|Q7TRI6_MOUSE, tr|Q8VG33|Q8VG33_MOUSE, tr|Q8VFU5|Q8VFU5_MOUSE, sp|Q9Z1V0|OLF49_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE	tr|A0A212DFF3|A0A212DFF3_CEREH
OG0000014	tr|A2ASU6|A2ASU6_MOUSE, tr|L7MTT3|L7MTT3_MOUSE, tr|A2ASU7|A2ASU7_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|Q7TR85|Q7TR85_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, tr|A2ATE5|A2ATE5_MOUSE, tr|Q7TR90|Q7TR90_MOUSE, tr|A0A140T8K3|A0A140T8K3_MOUSE, sp|Q8VFL5|O1030_MOUSE, tr|Q7TR89|Q7TR89_MOUSE, tr|A2ATE0|A2ATE0_MOUSE, tr|A2AVB5|A2AVB5_MOUSE, tr|Q8VFZ3|Q8VFZ3_MOUSE, tr|Q7TR84|Q7TR84_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, sp|Q8VGR9|O1044_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE, sp|Q8VGS1|O1038_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|Q7TR79|Q7TR79_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR74|Q7TR74_MOUSE	tr|A0A212DHP6|A0A212DHP6_CEREH
OG0000016	tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|E9Q8M3|E9Q8M3_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE	tr|A0A212CU91|A0A212CU91_CEREH
OG0000033	sp|Q9D7R7|PEPC_MOUSE	tr|A0A212D5I0|A0A212D5I0_CEREH
