Orthogroup	Mus_musculus	Theropithecus_gelada
OG0000012	tr|Q8VGR5|Q8VGR5_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, tr|Q8VEZ6|Q8VEZ6_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q7TRY6|Q7TRY6_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, sp|Q60879|OLF3_MOUSE	tr|A0A8D2G9T5|A0A8D2G9T5_THEGE
OG0000012	tr|Q8VGK1|Q8VGK1_MOUSE, tr|Q8VGK0|Q8VGK0_MOUSE, tr|Q8VEU7|Q8VEU7_MOUSE, tr|A0A1W2P740|A0A1W2P740_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE, tr|Q7TRY0|Q7TRY0_MOUSE, tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8D2K8R9|A0A8D2K8R9_THEGE
OG0000016	sp|P52927|HMGA2_MOUSE	tr|A0A8D2JTM1|A0A8D2JTM1_THEGE, tr|A0A8D2F8A5|A0A8D2F8A5_THEGE, tr|A0A8D2JXC8|A0A8D2JXC8_THEGE, tr|A0A8D2E7M5|A0A8D2E7M5_THEGE, tr|A0A8D2ELH5|A0A8D2ELH5_THEGE, tr|A0A8D2E4Y4|A0A8D2E4Y4_THEGE, tr|A0A8D2GCJ5|A0A8D2GCJ5_THEGE, tr|A0A8D2FVL6|A0A8D2FVL6_THEGE, tr|A0A8D2FW83|A0A8D2FW83_THEGE, tr|A0A8D2G673|A0A8D2G673_THEGE, tr|A0A8D2E8P2|A0A8D2E8P2_THEGE, tr|A0A8D2E9B1|A0A8D2E9B1_THEGE, tr|A0A8D2F415|A0A8D2F415_THEGE, tr|A0A8D2FEY9|A0A8D2FEY9_THEGE, tr|A0A8D2FXB7|A0A8D2FXB7_THEGE, tr|A0A8D2F6H7|A0A8D2F6H7_THEGE, tr|A0A8D2G576|A0A8D2G576_THEGE, tr|A0A8D2GLK3|A0A8D2GLK3_THEGE, tr|A0A8D2FI71|A0A8D2FI71_THEGE, tr|A0A8D2F7T0|A0A8D2F7T0_THEGE, tr|A0A8D2E5I8|A0A8D2E5I8_THEGE, tr|A0A8D2GHT6|A0A8D2GHT6_THEGE, tr|A0A8D2K7U2|A0A8D2K7U2_THEGE, tr|A0A8D2E666|A0A8D2E666_THEGE, tr|A0A8D2GIV0|A0A8D2GIV0_THEGE, tr|A0A8D2EL81|A0A8D2EL81_THEGE, tr|A0A8D2GN77|A0A8D2GN77_THEGE, tr|A0A8D2K1Z2|A0A8D2K1Z2_THEGE, tr|A0A8D2GKP5|A0A8D2GKP5_THEGE, tr|A0A8D2EJ51|A0A8D2EJ51_THEGE, tr|A0A8D2EY98|A0A8D2EY98_THEGE, tr|A0A8D2E8B0|A0A8D2E8B0_THEGE, tr|A0A8D2EVW2|A0A8D2EVW2_THEGE, tr|A0A8D2FY70|A0A8D2FY70_THEGE, tr|A0A8D2GBZ3|A0A8D2GBZ3_THEGE, tr|A0A8D2FQL1|A0A8D2FQL1_THEGE, tr|A0A8D2F7I0|A0A8D2F7I0_THEGE, tr|A0A8D2FTU2|A0A8D2FTU2_THEGE, tr|A0A8D2FIN0|A0A8D2FIN0_THEGE
OG0000017	tr|Q8VGX6|Q8VGX6_MOUSE	tr|A0A8D2FQ97|A0A8D2FQ97_THEGE
OG0000017	tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|A0A8D2G324|A0A8D2G324_THEGE
OG0000017	tr|E9Q554|E9Q554_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|E9PXW4|E9PXW4_MOUSE	tr|A0A8D2FUR6|A0A8D2FUR6_THEGE
OG0000017	tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|Q8VGZ8|Q8VGZ8_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|Q9EPN9|Q9EPN9_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|Q8VH17|Q8VH17_MOUSE, tr|Q8VH11|Q8VH11_MOUSE	tr|A0A8D2FYK2|A0A8D2FYK2_THEGE
OG0000021	tr|A2ANU7|A2ANU7_MOUSE, tr|Q9CXH3|Q9CXH3_MOUSE	tr|A0A8D2FMG7|A0A8D2FMG7_THEGE, tr|A0A8D2F3K6|A0A8D2F3K6_THEGE, tr|A0A8D2FHX8|A0A8D2FHX8_THEGE, tr|A0A8D2G8V0|A0A8D2G8V0_THEGE, tr|A0A8D2FMM9|A0A8D2FMM9_THEGE, tr|A0A8D2EXS2|A0A8D2EXS2_THEGE, tr|A0A8D2E5S1|A0A8D2E5S1_THEGE, tr|A0A8D2G7L4|A0A8D2G7L4_THEGE, tr|A0A8D2K1K5|A0A8D2K1K5_THEGE, tr|A0A8D2K182|A0A8D2K182_THEGE, tr|A0A8D2GDG8|A0A8D2GDG8_THEGE, tr|A0A8D2FAQ9|A0A8D2FAQ9_THEGE, tr|A0A8D2E6R8|A0A8D2E6R8_THEGE, tr|A0A8D2E6C0|A0A8D2E6C0_THEGE, tr|A0A8D2E068|A0A8D2E068_THEGE, tr|A0A8D2FIQ4|A0A8D2FIQ4_THEGE, tr|A0A8D2JU25|A0A8D2JU25_THEGE, tr|A0A8D2FLS1|A0A8D2FLS1_THEGE, tr|A0A8D2FPB9|A0A8D2FPB9_THEGE, tr|A0A8D2FIL4|A0A8D2FIL4_THEGE, tr|A0A8D2FLH3|A0A8D2FLH3_THEGE, tr|A0A8D2GGS8|A0A8D2GGS8_THEGE, tr|A0A8D2GI26|A0A8D2GI26_THEGE, tr|A0A8D2GF87|A0A8D2GF87_THEGE, tr|A0A8D2GDN8|A0A8D2GDN8_THEGE, tr|A0A8D2JTZ6|A0A8D2JTZ6_THEGE, tr|A0A8D2GG69|A0A8D2GG69_THEGE, tr|A0A8D2GHX2|A0A8D2GHX2_THEGE, tr|A0A8D2E4A2|A0A8D2E4A2_THEGE, tr|A0A8D2E491|A0A8D2E491_THEGE, tr|A0A8D2JTZ2|A0A8D2JTZ2_THEGE, tr|A0A8D2K9N4|A0A8D2K9N4_THEGE, tr|A0A8D2GGE6|A0A8D2GGE6_THEGE, tr|A0A8D2GGN3|A0A8D2GGN3_THEGE, tr|A0A8D2GI53|A0A8D2GI53_THEGE
OG0000023	tr|A0A075B5L2|A0A075B5L2_MOUSE, tr|A0A075B5M3|A0A075B5M3_MOUSE, sp|P01680|KV4A1_MOUSE, tr|A0N8I8|A0N8I8_MOUSE, tr|A0A075B677|A0A075B677_MOUSE, tr|A0A075B5L6|A0A075B5L6_MOUSE, tr|A0A075B5M4|A0A075B5M4_MOUSE, tr|A0A0A6YYE5|A0A0A6YYE5_MOUSE, tr|A0A075B5L8|A0A075B5L8_MOUSE, tr|A0A0B4J1I3|A0A0B4J1I3_MOUSE, tr|A0A0B4J1J0|A0A0B4J1J0_MOUSE, tr|A0A075B5L7|A0A075B5L7_MOUSE, tr|A0A0B4J1I8|A0A0B4J1I8_MOUSE, tr|A0A0B4J1I4|A0A0B4J1I4_MOUSE, tr|A0A0B4J1I7|A0A0B4J1I7_MOUSE, tr|A0A0B4J1I6|A0A0B4J1I6_MOUSE, tr|A0A0B4J1I5|A0A0B4J1I5_MOUSE, tr|J3QNZ9|J3QNZ9_MOUSE, tr|A0A075B5M1|A0A075B5M1_MOUSE, tr|A0A075B5M2|A0A075B5M2_MOUSE, tr|J3QMZ0|J3QMZ0_MOUSE, sp|P01676|KV6A2_MOUSE, sp|P01678|KV6A4_MOUSE, sp|P01675|KV6A1_MOUSE, tr|A0A075B5L5|A0A075B5L5_MOUSE, sp|P01677|KV6A3_MOUSE, sp|P01679|KV6A5_MOUSE, sp|P04940|KV6A6_MOUSE, sp|P04943|KV6A9_MOUSE, sp|P04944|KV6AA_MOUSE, sp|P04941|KV6A7_MOUSE, sp|P04945|KV6AB_MOUSE, tr|L7N239|L7N239_MOUSE, tr|A0A075B5L3|A0A075B5L3_MOUSE, tr|A0A0A6YYE7|A0A0A6YYE7_MOUSE	tr|A0A8D2GI52|A0A8D2GI52_THEGE
OG0000028	sp|P17742|PPIA_MOUSE	tr|A0A8D2G1T2|A0A8D2G1T2_THEGE, tr|A0A8D2F5Z2|A0A8D2F5Z2_THEGE, tr|A0A8D2FLH2|A0A8D2FLH2_THEGE, tr|A0A8D2GBK8|A0A8D2GBK8_THEGE, tr|A0A8D2ELM8|A0A8D2ELM8_THEGE, tr|A0A8D2EVZ3|A0A8D2EVZ3_THEGE, tr|A0A8D2G2W0|A0A8D2G2W0_THEGE, tr|A0A8D2JXU3|A0A8D2JXU3_THEGE, tr|A0A8D2JU01|A0A8D2JU01_THEGE, tr|A0A8D2K745|A0A8D2K745_THEGE, tr|A0A8D2K3N2|A0A8D2K3N2_THEGE, tr|A0A8D2EBC9|A0A8D2EBC9_THEGE, tr|A0A8D2ES87|A0A8D2ES87_THEGE, tr|A0A8D2GKE0|A0A8D2GKE0_THEGE, tr|A0A8D2EW76|A0A8D2EW76_THEGE, tr|A0A8D2E6D1|A0A8D2E6D1_THEGE, tr|A0A8D2FWY7|A0A8D2FWY7_THEGE, tr|A0A8D2K1E0|A0A8D2K1E0_THEGE, tr|A0A8D2GDL5|A0A8D2GDL5_THEGE, tr|A0A8D2G7G8|A0A8D2G7G8_THEGE, tr|A0A8D2EBH8|A0A8D2EBH8_THEGE, tr|A0A8D2FFY6|A0A8D2FFY6_THEGE, tr|A0A8D2K4X5|A0A8D2K4X5_THEGE, tr|A0A8D2F849|A0A8D2F849_THEGE, tr|A0A8D2FBW4|A0A8D2FBW4_THEGE, tr|A0A8D2EAN7|A0A8D2EAN7_THEGE, tr|A0A8D2JWE6|A0A8D2JWE6_THEGE, tr|A0A8D2FIM8|A0A8D2FIM8_THEGE, tr|A0A8D2FSX9|A0A8D2FSX9_THEGE, tr|A0A8D2G1K9|A0A8D2G1K9_THEGE, tr|A0A8D2G7V5|A0A8D2G7V5_THEGE
OG0000033	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	tr|A0A8D2GHR2|A0A8D2GHR2_THEGE
OG0000033	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|A0A8D2GHU0|A0A8D2GHU0_THEGE, tr|A0A8D2GAE4|A0A8D2GAE4_THEGE, tr|A0A8D2KAB2|A0A8D2KAB2_THEGE, tr|A0A8D2GIR7|A0A8D2GIR7_THEGE, tr|A0A8D2GH99|A0A8D2GH99_THEGE, tr|A0A8D2KA11|A0A8D2KA11_THEGE, tr|A0A8D2GAD7|A0A8D2GAD7_THEGE, tr|A0A8D2GIF4|A0A8D2GIF4_THEGE, tr|A0A8D2GAH0|A0A8D2GAH0_THEGE, tr|A0A8D2GDI4|A0A8D2GDI4_THEGE, tr|A0A8D2GGN6|A0A8D2GGN6_THEGE, tr|A0A8D2GI17|A0A8D2GI17_THEGE, tr|A0A8D2GIH3|A0A8D2GIH3_THEGE, tr|A0A8D2GIA2|A0A8D2GIA2_THEGE, tr|A0A8D2F9Z3|A0A8D2F9Z3_THEGE, tr|A0A8D2FLR0|A0A8D2FLR0_THEGE, tr|A0A8D2GHY5|A0A8D2GHY5_THEGE, tr|A0A8D2GFJ6|A0A8D2GFJ6_THEGE, tr|A0A8D2GJ40|A0A8D2GJ40_THEGE, tr|A0A8D2GAQ4|A0A8D2GAQ4_THEGE, tr|A0A8D2GA81|A0A8D2GA81_THEGE, tr|A0A8D2GJF6|A0A8D2GJF6_THEGE, tr|A0A8D2GIW2|A0A8D2GIW2_THEGE, tr|A0A8D2GIQ5|A0A8D2GIQ5_THEGE, tr|A0A8D2GEF9|A0A8D2GEF9_THEGE, tr|A0A8D2GG56|A0A8D2GG56_THEGE
OG0000038	tr|Q7TRM9|Q7TRM9_MOUSE, tr|Q920G5|Q920G5_MOUSE, tr|Q7TRN0|Q7TRN0_MOUSE, tr|Q7TQV1|Q7TQV1_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|Q7TQW4|Q7TQW4_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE	tr|A0A8D2FPV5|A0A8D2FPV5_THEGE
OG0000039	sp|Q80YP6|ZIK1_MOUSE	tr|A0A8D2FBU1|A0A8D2FBU1_THEGE, tr|A0A8D2FCB6|A0A8D2FCB6_THEGE, tr|A0A8D2FET1|A0A8D2FET1_THEGE, tr|A0A8D2FCJ4|A0A8D2FCJ4_THEGE, tr|A0A8D2FCJ1|A0A8D2FCJ1_THEGE, tr|A0A8D2FJ71|A0A8D2FJ71_THEGE, tr|A0A8D2F7X1|A0A8D2F7X1_THEGE, tr|A0A8D2K283|A0A8D2K283_THEGE, tr|A0A8D2FCY6|A0A8D2FCY6_THEGE, tr|A0A8D2K2G5|A0A8D2K2G5_THEGE, tr|A0A8D2FDI2|A0A8D2FDI2_THEGE, tr|A0A8D2F6A7|A0A8D2F6A7_THEGE, tr|A0A8D2FGG1|A0A8D2FGG1_THEGE, tr|A0A8D2K2M8|A0A8D2K2M8_THEGE, tr|A0A8D2F6C5|A0A8D2F6C5_THEGE, tr|A0A8D2FE65|A0A8D2FE65_THEGE, tr|A0A8D2FGH8|A0A8D2FGH8_THEGE, tr|A0A8D2F8P6|A0A8D2F8P6_THEGE, tr|A0A8D2FBJ1|A0A8D2FBJ1_THEGE, tr|A0A8D2K2E8|A0A8D2K2E8_THEGE, tr|A0A8D2FG37|A0A8D2FG37_THEGE, tr|A0A8D2K2S3|A0A8D2K2S3_THEGE, tr|A0A8D2K2B4|A0A8D2K2B4_THEGE, tr|A0A8D2FB89|A0A8D2FB89_THEGE, tr|A0A8D2FAY5|A0A8D2FAY5_THEGE, tr|A0A8D2FCB7|A0A8D2FCB7_THEGE
