Orthogroup	Mus_musculus	Rhinopithecus_roxellana
OG0000005	sp|P17141|ZFP37_MOUSE	tr|A0A2K6NMF6|A0A2K6NMF6_RHIRO, tr|A0A2K6PTD0|A0A2K6PTD0_RHIRO, tr|A0A2K6R3K4|A0A2K6R3K4_RHIRO, tr|A0A2K6R061|A0A2K6R061_RHIRO, tr|A0A2K6Q2N3|A0A2K6Q2N3_RHIRO, tr|A0A2K6RRM8|A0A2K6RRM8_RHIRO, tr|A0A2K6RTB0|A0A2K6RTB0_RHIRO
OG0000005	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A2K6PTR3|A0A2K6PTR3_RHIRO, tr|A0A2K6RM37|A0A2K6RM37_RHIRO, tr|A0A2K6PEA3|A0A2K6PEA3_RHIRO, tr|A0A2K6NY93|A0A2K6NY93_RHIRO, tr|A0A2K6PSM1|A0A2K6PSM1_RHIRO, tr|A0A2K6PVW1|A0A2K6PVW1_RHIRO, tr|A0A2K6QXX3|A0A2K6QXX3_RHIRO, tr|A0A2K6PRN3|A0A2K6PRN3_RHIRO, tr|A0A2K6RDD5|A0A2K6RDD5_RHIRO, tr|A0A2K6NQ33|A0A2K6NQ33_RHIRO, tr|A0A2K6PEB8|A0A2K6PEB8_RHIRO
OG0000005	sp|Q7TSH9|ZN184_MOUSE	tr|A0A2K6PGT0|A0A2K6PGT0_RHIRO, tr|A0A2K6RLU8|A0A2K6RLU8_RHIRO, tr|A0A2K6PGV2|A0A2K6PGV2_RHIRO
OG0000006	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A2K6NZU3|A0A2K6NZU3_RHIRO
OG0000006	tr|Q8VGW5|Q8VGW5_MOUSE	tr|A0A2K6QND1|A0A2K6QND1_RHIRO
OG0000006	tr|Q8VH18|Q8VH18_MOUSE, tr|E9Q542|E9Q542_MOUSE, tr|E9PXN3|E9PXN3_MOUSE, tr|A0A1B0GSG0|A0A1B0GSG0_MOUSE	tr|A0A2K6QBU8|A0A2K6QBU8_RHIRO
OG0000006	tr|B9EHE6|B9EHE6_MOUSE, tr|Q8VG78|Q8VG78_MOUSE, tr|Q8VGW1|Q8VGW1_MOUSE, tr|Q8VG19|Q8VG19_MOUSE	tr|A0A2K6NMB3|A0A2K6NMB3_RHIRO
OG0000006	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A2K6PL40|A0A2K6PL40_RHIRO
OG0000006	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A2K6NEA1|A0A2K6NEA1_RHIRO
OG0000006	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A2K6NBJ9|A0A2K6NBJ9_RHIRO
OG0000009	tr|Q7TR79|Q7TR79_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|Q7TR89|Q7TR89_MOUSE, tr|A2ATE0|A2ATE0_MOUSE, tr|A2ASU7|A2ASU7_MOUSE, tr|Q7TR90|Q7TR90_MOUSE, tr|A0A140T8K3|A0A140T8K3_MOUSE, tr|A2ASU6|A2ASU6_MOUSE, tr|L7MTT3|L7MTT3_MOUSE, tr|A2ATE5|A2ATE5_MOUSE, tr|Q8VFK5|Q8VFK5_MOUSE, tr|Q7TR85|Q7TR85_MOUSE, tr|A0A1L1ST14|A0A1L1ST14_MOUSE, tr|Q7TR87|Q7TR87_MOUSE, sp|Q8VFL5|O1030_MOUSE, tr|A2AVB5|A2AVB5_MOUSE, tr|Q7TR80|Q7TR80_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, sp|Q8VGS1|O1038_MOUSE, sp|Q8VGR9|O1044_MOUSE, tr|Q8VFL0|Q8VFL0_MOUSE, tr|Q7TR84|Q7TR84_MOUSE, tr|A2ARY0|A2ARY0_MOUSE, tr|A2ARY1|A2ARY1_MOUSE, tr|Q7TR81|Q7TR81_MOUSE, tr|Q8VFK4|Q8VFK4_MOUSE	tr|A0A2K6QCI5|A0A2K6QCI5_RHIRO
OG0000010	tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|A2RTN7|A2RTN7_MOUSE	tr|A0A2K6R4N9|A0A2K6R4N9_RHIRO
OG0000010	tr|Q8VET4|Q8VET4_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|F8VQB9|F8VQB9_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q8VF83|Q8VF83_MOUSE	tr|A0A2K6NCY0|A0A2K6NCY0_RHIRO
OG0000012	tr|Q8VFI8|Q8VFI8_MOUSE, tr|Q8VFI7|Q8VFI7_MOUSE, tr|E9PVW2|E9PVW2_MOUSE, tr|A0A2I3BRV7|A0A2I3BRV7_MOUSE, tr|E9PX82|E9PX82_MOUSE, sp|Q0VAX9|OLF18_MOUSE	tr|A0A2K6R9M1|A0A2K6R9M1_RHIRO
OG0000012	tr|Q7TRF5|Q7TRF5_MOUSE, tr|Q7TRF6|Q7TRF6_MOUSE, tr|A0A1L1SUS1|A0A1L1SUS1_MOUSE, tr|Q8VFF7|Q8VFF7_MOUSE, tr|Q8VFJ1|Q8VFJ1_MOUSE, tr|Q7TRF0|Q7TRF0_MOUSE, tr|Q8VGG4|Q8VGG4_MOUSE, tr|Q7TQU9|Q7TQU9_MOUSE, sp|Q60892|OLF8_MOUSE, tr|E9Q5G9|E9Q5G9_MOUSE, tr|Q8VGU8|Q8VGU8_MOUSE, tr|Q8VGX5|Q8VGX5_MOUSE, tr|Q8VGU7|Q8VGU7_MOUSE, tr|Q8VGU6|Q8VGU6_MOUSE, sp|Q9JHB2|OLF19_MOUSE, tr|Q8VGB8|Q8VGB8_MOUSE, tr|Q7TQU8|Q7TQU8_MOUSE, tr|Q8VGX1|Q8VGX1_MOUSE, tr|Q8VFF1|Q8VFF1_MOUSE, tr|Q8VFF2|Q8VFF2_MOUSE, tr|A0A1D5RMH6|A0A1D5RMH6_MOUSE, tr|Q8VFJ3|Q8VFJ3_MOUSE, tr|Q8VFJ4|Q8VFJ4_MOUSE, tr|Q8VFJ5|Q8VFJ5_MOUSE, tr|Q7TRF8|Q7TRF8_MOUSE, tr|Q8VFF4|Q8VFF4_MOUSE, tr|Q8VET8|Q8VET8_MOUSE, tr|Q7TRG7|Q7TRG7_MOUSE, tr|Q8VFM8|Q8VFM8_MOUSE, tr|Q7TRG0|Q7TRG0_MOUSE, tr|Q7TRG4|Q7TRG4_MOUSE, tr|Q8VFF6|Q8VFF6_MOUSE, tr|Q7TRG2|Q7TRG2_MOUSE, tr|A0A2I3BPT4|A0A2I3BPT4_MOUSE, tr|Q8VGG6|Q8VGG6_MOUSE, tr|Q7TRG9|Q7TRG9_MOUSE, tr|Q7TRG8|Q7TRG8_MOUSE, sp|Q7TRF3|OL867_MOUSE, tr|Q8VEY9|Q8VEY9_MOUSE, tr|E9PVX1|E9PVX1_MOUSE	tr|A0A2K6R9Q9|A0A2K6R9Q9_RHIRO
OG0000017	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2K6Q9V6|A0A2K6Q9V6_RHIRO
OG0000017	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A2K6Q5L5|A0A2K6Q5L5_RHIRO
OG0000017	sp|Q60585|ZFP30_MOUSE	tr|A0A2K6QR32|A0A2K6QR32_RHIRO
OG0000017	sp|P10755|ZFP14_MOUSE	tr|A0A2K6QKI0|A0A2K6QKI0_RHIRO, tr|A0A2K6R3R4|A0A2K6R3R4_RHIRO, tr|A0A2K6Q4L9|A0A2K6Q4L9_RHIRO, tr|A0A2K6NA42|A0A2K6NA42_RHIRO, tr|A0A2K6QRD5|A0A2K6QRD5_RHIRO, tr|A0A2K6Q7B1|A0A2K6Q7B1_RHIRO
OG0000017	sp|Q3V080|ZN583_MOUSE	tr|A0A2K6PAS6|A0A2K6PAS6_RHIRO, tr|A0A2K6PMH7|A0A2K6PMH7_RHIRO, tr|A0A2K6P6Y4|A0A2K6P6Y4_RHIRO, tr|A0A2K6QPF4|A0A2K6QPF4_RHIRO, tr|A0A2K6NP26|A0A2K6NP26_RHIRO, tr|A0A2K6RW77|A0A2K6RW77_RHIRO, tr|A0A2K6RF23|A0A2K6RF23_RHIRO, tr|A0A2K6RV42|A0A2K6RV42_RHIRO, tr|A0A2K6PCW6|A0A2K6PCW6_RHIRO, tr|A0A2K6R1Z4|A0A2K6R1Z4_RHIRO
OG0000017	tr|Q9D654|Q9D654_MOUSE	tr|A0A2K6PK01|A0A2K6PK01_RHIRO, tr|A0A2K6RNM0|A0A2K6RNM0_RHIRO, tr|A0A2K6P1Q1|A0A2K6P1Q1_RHIRO, tr|A0A2K6RF15|A0A2K6RF15_RHIRO, tr|A0A2K6R012|A0A2K6R012_RHIRO
OG0000017	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A2K6RQV0|A0A2K6RQV0_RHIRO, tr|A0A2K6RS65|A0A2K6RS65_RHIRO, tr|A0A2K6NBZ8|A0A2K6NBZ8_RHIRO
OG0000017	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A2K6P4V5|A0A2K6P4V5_RHIRO, tr|A0A2K6RWF6|A0A2K6RWF6_RHIRO
OG0000018	tr|Q5ERI8|Q5ERI8_MOUSE, tr|D3YX03|D3YX03_MOUSE, tr|Q5ERJ0|Q5ERJ0_MOUSE, tr|Q9D848|Q9D848_MOUSE, sp|P17533|DFA29_MOUSE, sp|P50715|DFA31_MOUSE, sp|P17534|DFAR2_MOUSE, sp|P50716|DAR12_MOUSE, sp|Q64263|DAR10_MOUSE, tr|E9QLQ1|E9QLQ1_MOUSE, tr|K9J724|K9J724_MOUSE, tr|D3YX02|D3YX02_MOUSE, sp|P28312|DEFA5_MOUSE, tr|D3Z0J0|D3Z0J0_MOUSE, sp|P28311|DEFA4_MOUSE, sp|Q8C1P2|DFA21_MOUSE, sp|Q8C1N8|DFA22_MOUSE, sp|Q45VN2|DFA20_MOUSE, sp|P50708|DFA10_MOUSE, sp|P28310|DEFA3_MOUSE, tr|L7N231|L7N231_MOUSE, sp|Q3L180|DFA26_MOUSE, sp|P50713|DFA15_MOUSE, sp|P50707|DEFA9_MOUSE, sp|P50711|DFA13_MOUSE, sp|P50712|DFA14_MOUSE, sp|Q64016|DFA17_MOUSE, sp|P50706|DEFA8_MOUSE, sp|P50705|DEFA7_MOUSE, tr|D3Z1V9|D3Z1V9_MOUSE, sp|Q5G864|DFA25_MOUSE, tr|F2Z403|F2Z403_MOUSE, sp|Q5G866|DFA23_MOUSE, sp|P28309|DEFA2_MOUSE, sp|P50714|DFA16_MOUSE, sp|P50709|DFA11_MOUSE, sp|P11477|DEFA1_MOUSE, sp|P50704|DEFA6_MOUSE, sp|Q5G865|DFA24_MOUSE, tr|E9QPZ2|E9QPZ2_MOUSE	tr|A0A2K6QUT6|A0A2K6QUT6_RHIRO
OG0000023	tr|Q924X8|Q924X8_MOUSE	tr|A0A2K6QFM5|A0A2K6QFM5_RHIRO
OG0000023	tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|E9Q554|E9Q554_MOUSE	tr|A0A2K6Q177|A0A2K6Q177_RHIRO
OG0000023	tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE, tr|F8VPJ9|F8VPJ9_MOUSE, tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE	tr|A0A2K6PAG1|A0A2K6PAG1_RHIRO
OG0000024	tr|Q7TRN0|Q7TRN0_MOUSE, tr|Q920G5|Q920G5_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE	tr|A0A2K6NGB9|A0A2K6NGB9_RHIRO
OG0000024	tr|Q7TQV1|Q7TQV1_MOUSE, tr|Q8VFE3|Q8VFE3_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q8VF34|Q8VF34_MOUSE, tr|A0A0B4J1M2|A0A0B4J1M2_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE	tr|A0A2K6Q8W5|A0A2K6Q8W5_RHIRO
OG0000034	sp|Q8VG04|OL478_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VG09|OL502_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, tr|Q7TR58|Q7TR58_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VG44|OL473_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VEZ0|OL480_MOUSE, tr|L7N455|L7N455_MOUSE, sp|Q8VGI5|OL481_MOUSE	tr|A0A2K6NIR2|A0A2K6NIR2_RHIRO
OG0000036	tr|E9Q848|E9Q848_MOUSE	tr|A0A2K6RQ09|A0A2K6RQ09_RHIRO
OG0000036	tr|A0A2I3BRV4|A0A2I3BRV4_MOUSE, tr|E9Q0Y7|E9Q0Y7_MOUSE, tr|E9Q8X1|E9Q8X1_MOUSE, tr|Q8VG32|Q8VG32_MOUSE, tr|Q8VGE1|Q8VGE1_MOUSE, tr|E9PWV2|E9PWV2_MOUSE, sp|Q62007|OLF16_MOUSE, tr|A0A140T8J6|A0A140T8J6_MOUSE	tr|A0A2K6NL90|A0A2K6NL90_RHIRO
