Orthogroup	Mus_musculus	Bison_bison_bison
OG0000012	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A6P3HA91|A0A6P3HA91_BISBI, tr|A0A6P3GYI8|A0A6P3GYI8_BISBI, tr|A0A6P3GVH4|A0A6P3GVH4_BISBI
OG0000019	tr|Q5U406|Q5U406_MOUSE	tr|A0A6P3IX37|A0A6P3IX37_BISBI
OG0000019	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A6P3I863|A0A6P3I863_BISBI, tr|A0A6P3INZ7|A0A6P3INZ7_BISBI, tr|A0A6P3I917|A0A6P3I917_BISBI, tr|A0A6P3I961|A0A6P3I961_BISBI, tr|A0A6P3I992|A0A6P3I992_BISBI, tr|A0A6P3HXQ3|A0A6P3HXQ3_BISBI
OG0000019	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A6P3HXU9|A0A6P3HXU9_BISBI, tr|A0A6P3HY80|A0A6P3HY80_BISBI
OG0000019	sp|P10755|ZFP14_MOUSE	tr|A0A6P3HY40|A0A6P3HY40_BISBI, tr|A0A6P3I6W2|A0A6P3I6W2_BISBI, tr|A0A6P3HY75|A0A6P3HY75_BISBI, tr|A0A6P3HXZ9|A0A6P3HXZ9_BISBI, tr|A0A6P3I8D7|A0A6P3I8D7_BISBI, tr|A0A6P3IG61|A0A6P3IG61_BISBI, tr|A0A6P3I6D9|A0A6P3I6D9_BISBI
OG0000019	sp|E9PYI1|ZN568_MOUSE	tr|A0A6P3I6E5|A0A6P3I6E5_BISBI
OG0000019	sp|Q3V080|ZN583_MOUSE	tr|A0A6P3IPX9|A0A6P3IPX9_BISBI, tr|A0A6P3I6K2|A0A6P3I6K2_BISBI, tr|A0A6P3IP19|A0A6P3IP19_BISBI
OG0000020	sp|Q9D106|PEPA5_MOUSE	tr|A0A6P3HEX2|A0A6P3HEX2_BISBI, tr|A0A6P3H314|A0A6P3H314_BISBI, tr|A0A6P3HFL4|A0A6P3HFL4_BISBI, tr|A0A6P3H8V8|A0A6P3H8V8_BISBI, tr|A0A6P3GX36|A0A6P3GX36_BISBI, tr|A0A6P3GNA0|A0A6P3GNA0_BISBI, tr|A0A6P3GJK7|A0A6P3GJK7_BISBI, tr|A0A6P3HIZ7|A0A6P3HIZ7_BISBI, tr|A0A6P3H500|A0A6P3H500_BISBI, tr|A0A6P3IK40|A0A6P3IK40_BISBI, tr|A0A6P3GH44|A0A6P3GH44_BISBI, tr|A0A6P3GVN8|A0A6P3GVN8_BISBI, tr|A0A6P3HH27|A0A6P3HH27_BISBI, tr|A0A6P3H8V5|A0A6P3H8V5_BISBI, tr|A0A6P3HIZ5|A0A6P3HIZ5_BISBI, tr|A0A6P3GFU6|A0A6P3GFU6_BISBI, tr|A0A6P3HGR7|A0A6P3HGR7_BISBI, tr|A0A6P3H6A1|A0A6P3H6A1_BISBI, tr|A0A6P3HEW9|A0A6P3HEW9_BISBI, tr|A0A6P3HHD0|A0A6P3HHD0_BISBI, tr|A0A6P3HJ01|A0A6P3HJ01_BISBI, tr|A0A6P3GM14|A0A6P3GM14_BISBI, tr|A0A6P3H505|A0A6P3H505_BISBI, tr|A0A6P3HGR2|A0A6P3HGR2_BISBI, tr|A0A6P3HFJ0|A0A6P3HFJ0_BISBI, tr|A0A6P3HH32|A0A6P3HH32_BISBI, tr|A0A6P3H311|A0A6P3H311_BISBI, tr|A0A6P3GY14|A0A6P3GY14_BISBI, tr|A0A6P3HFJ6|A0A6P3HFJ6_BISBI, tr|A0A6P3HH37|A0A6P3HH37_BISBI, tr|A0A6P3GQI5|A0A6P3GQI5_BISBI, tr|A0A6P3GXN3|A0A6P3GXN3_BISBI, tr|A0A6P3IJU8|A0A6P3IJU8_BISBI, tr|A0A6P3GKH0|A0A6P3GKH0_BISBI, tr|A0A6P3GYH3|A0A6P3GYH3_BISBI
OG0000022	tr|A2AE21|A2AE21_MOUSE	tr|A0A6P3IPW9|A0A6P3IPW9_BISBI
OG0000022	sp|B2RXC5|ZN382_MOUSE	tr|A0A6P3I938|A0A6P3I938_BISBI
OG0000022	tr|A2A4U6|A2A4U6_MOUSE	tr|A0A6P3I6M5|A0A6P3I6M5_BISBI
OG0000022	sp|Q8BQC8|RBAK_MOUSE	tr|A0A6P3HNM6|A0A6P3HNM6_BISBI
OG0000022	sp|Q7TSI0|ZNF12_MOUSE	tr|A0A6P3HZY5|A0A6P3HZY5_BISBI
OG0000022	tr|Q640N4|Q640N4_MOUSE	tr|A0A6P3I6S1|A0A6P3I6S1_BISBI
OG0000022	sp|P10077|ZFP27_MOUSE	tr|A0A6P3HM86|A0A6P3HM86_BISBI, tr|A0A6P3H657|A0A6P3H657_BISBI, tr|A0A6P3J185|A0A6P3J185_BISBI, tr|A0A6P3GJB4|A0A6P3GJB4_BISBI, tr|A0A6P3GX81|A0A6P3GX81_BISBI, tr|A0A6P3I6U6|A0A6P3I6U6_BISBI
OG0000025	sp|P18581|CTR2_MOUSE	tr|A0A6P3IQU0|A0A6P3IQU0_BISBI
OG0000025	sp|Q09143|CTR1_MOUSE	tr|A0A6P3H525|A0A6P3H525_BISBI
OG0000025	sp|P70423|CTR3_MOUSE	tr|A0A6P3GVG2|A0A6P3GVG2_BISBI
OG0000025	tr|E9PWS4|E9PWS4_MOUSE	tr|A0A6P3GSV3|A0A6P3GSV3_BISBI, tr|A0A6P3IY75|A0A6P3IY75_BISBI, tr|A0A6P3HWS4|A0A6P3HWS4_BISBI, tr|A0A6P3HU15|A0A6P3HU15_BISBI, tr|A0A6P3HDS4|A0A6P3HDS4_BISBI, tr|A0A6P3HKA8|A0A6P3HKA8_BISBI, tr|A0A6P3GKM1|A0A6P3GKM1_BISBI, tr|A0A6P3IRS2|A0A6P3IRS2_BISBI, tr|A0A6P3GZ19|A0A6P3GZ19_BISBI, tr|A0A6P3GRH8|A0A6P3GRH8_BISBI, tr|A0A6P3GNA4|A0A6P3GNA4_BISBI, tr|A0A6P3GIM0|A0A6P3GIM0_BISBI, tr|A0A6P3GZF5|A0A6P3GZF5_BISBI, tr|A0A6P3HC46|A0A6P3HC46_BISBI, tr|A0A6P3IQK4|A0A6P3IQK4_BISBI, tr|A0A6P3HMN2|A0A6P3HMN2_BISBI, tr|A0A6P3GZD9|A0A6P3GZD9_BISBI, tr|A0A6P3ID75|A0A6P3ID75_BISBI, tr|A0A6P3IAI1|A0A6P3IAI1_BISBI, tr|A0A6P3GWC4|A0A6P3GWC4_BISBI, tr|A0A6P3IDS8|A0A6P3IDS8_BISBI, tr|A0A6P3GM49|A0A6P3GM49_BISBI, tr|A0A6P3HJQ2|A0A6P3HJQ2_BISBI, tr|A0A6P3HBS9|A0A6P3HBS9_BISBI, tr|A0A6P3HR80|A0A6P3HR80_BISBI
OG0000029	sp|Q8VED5|K2C79_MOUSE	tr|A0A6P3IPG6|A0A6P3IPG6_BISBI
OG0000029	sp|Q9DCV7|K2C7_MOUSE	tr|A0A6P3IYK4|A0A6P3IYK4_BISBI
OG0000029	sp|P11679|K2C8_MOUSE	tr|A0A6P3IVH9|A0A6P3IVH9_BISBI
OG0000029	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|A0A6P3IPG2|A0A6P3IPG2_BISBI, tr|A0A6P3IVY1|A0A6P3IVY1_BISBI, tr|A0A6P3IZ96|A0A6P3IZ96_BISBI, tr|A0A6P3IVG9|A0A6P3IVG9_BISBI, tr|A0A6P3IQ11|A0A6P3IQ11_BISBI, tr|A0A6P3IXJ0|A0A6P3IXJ0_BISBI
OG0000029	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A6P3IY19|A0A6P3IY19_BISBI
OG0000029	sp|Q6IME9|K2C72_MOUSE	tr|A0A6P3IYL3|A0A6P3IYL3_BISBI
OG0000029	sp|Q9R0H5|K2C71_MOUSE	tr|A0A6P3IQ09|A0A6P3IQ09_BISBI
OG0000029	sp|Q6NXH9|K2C73_MOUSE	tr|A0A6P3IXJ3|A0A6P3IXJ3_BISBI
OG0000029	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A6P3IPG5|A0A6P3IPG5_BISBI, tr|A0A6P3IQ16|A0A6P3IQ16_BISBI, tr|A0A6P3IVH5|A0A6P3IVH5_BISBI
OG0000030	tr|Q8VG50|Q8VG50_MOUSE	tr|A0A6P3GM67|A0A6P3GM67_BISBI
OG0000030	tr|Q9EQA9|Q9EQA9_MOUSE	tr|A0A6P3IWZ2|A0A6P3IWZ2_BISBI, tr|A0A6P3GLX6|A0A6P3GLX6_BISBI, tr|A0A6P3IX19|A0A6P3IX19_BISBI, tr|A0A6P3GMM0|A0A6P3GMM0_BISBI, tr|A0A6P3GLQ2|A0A6P3GLQ2_BISBI, tr|A0A6P3GMU7|A0A6P3GMU7_BISBI, tr|A0A6P3GE44|A0A6P3GE44_BISBI, tr|A0A6P3G7T6|A0A6P3G7T6_BISBI, tr|A0A6P3G7S6|A0A6P3G7S6_BISBI, tr|A0A6P3GM11|A0A6P3GM11_BISBI, tr|A0A6P3GMW2|A0A6P3GMW2_BISBI, tr|A0A6P3GE66|A0A6P3GE66_BISBI, tr|A0A6P3J0A1|A0A6P3J0A1_BISBI, tr|A0A6P3G7I2|A0A6P3G7I2_BISBI, tr|A0A6P3G7U0|A0A6P3G7U0_BISBI, tr|A0A6P3G7T2|A0A6P3G7T2_BISBI, tr|A0A6P3GDU0|A0A6P3GDU0_BISBI, tr|A0A6P3GLW1|A0A6P3GLW1_BISBI, tr|A0A6P3GM62|A0A6P3GM62_BISBI, tr|A0A6P3IR41|A0A6P3IR41_BISBI, tr|A0A6P3GM56|A0A6P3GM56_BISBI, tr|A0A6P3GM79|A0A6P3GM79_BISBI, tr|A0A6P3G7K1|A0A6P3G7K1_BISBI, tr|A0A6P3GM06|A0A6P3GM06_BISBI, tr|A0A6P3GLQ6|A0A6P3GLQ6_BISBI, tr|A0A6P3G7U6|A0A6P3G7U6_BISBI, tr|A0A6P3GLR8|A0A6P3GLR8_BISBI
OG0000032	sp|O35682|MYADM_MOUSE	tr|A0A6P3HW41|A0A6P3HW41_BISBI, tr|A0A6P3HJV3|A0A6P3HJV3_BISBI, tr|A0A6P3H824|A0A6P3H824_BISBI, tr|A0A6P3HB54|A0A6P3HB54_BISBI, tr|A0A6P3HJT4|A0A6P3HJT4_BISBI, tr|A0A6P3IUY6|A0A6P3IUY6_BISBI, tr|A0A6P3HIS6|A0A6P3HIS6_BISBI, tr|A0A6P3HLN5|A0A6P3HLN5_BISBI, tr|A0A6P3H832|A0A6P3H832_BISBI, tr|A0A6P3HLN1|A0A6P3HLN1_BISBI, tr|A0A6P3HB62|A0A6P3HB62_BISBI, tr|A0A6P3HLC6|A0A6P3HLC6_BISBI, tr|A0A6P3HJ25|A0A6P3HJ25_BISBI, tr|A0A6P3HJT8|A0A6P3HJT8_BISBI, tr|A0A6P3HAX1|A0A6P3HAX1_BISBI, tr|A0A6P3HJU3|A0A6P3HJU3_BISBI, tr|A0A6P3HB59|A0A6P3HB59_BISBI, tr|A0A6P3H837|A0A6P3H837_BISBI, tr|A0A6P3HIT1|A0A6P3HIT1_BISBI, tr|A0A6P3IKX5|A0A6P3IKX5_BISBI, tr|A0A6P3HJ36|A0A6P3HJ36_BISBI, tr|A0A6P3HJU9|A0A6P3HJU9_BISBI, tr|A0A6P3GHL0|A0A6P3GHL0_BISBI, tr|A0A6P3ITG3|A0A6P3ITG3_BISBI, tr|A0A6P3H816|A0A6P3H816_BISBI, tr|A0A6P3HJJ4|A0A6P3HJJ4_BISBI, tr|A0A6P3HLN8|A0A6P3HLN8_BISBI, tr|A0A6P3HB51|A0A6P3HB51_BISBI
OG0000033	sp|P68433|H31_MOUSE	tr|A0A6P3IRS0|A0A6P3IRS0_BISBI, tr|A0A6P3J414|A0A6P3J414_BISBI, tr|A0A6P3IV47|A0A6P3IV47_BISBI, tr|A0A6P3GFH0|A0A6P3GFH0_BISBI, tr|A0A6P3GRU7|A0A6P3GRU7_BISBI, tr|A0A6P3HL58|A0A6P3HL58_BISBI, tr|A0A6P3IYF5|A0A6P3IYF5_BISBI, tr|A0A6P3IMC3|A0A6P3IMC3_BISBI, tr|A0A6P3J8H6|A0A6P3J8H6_BISBI, tr|A0A6P3IUR2|A0A6P3IUR2_BISBI, tr|A0A6P3H695|A0A6P3H695_BISBI, tr|A0A6P3GZQ8|A0A6P3GZQ8_BISBI, tr|A0A6P3HJW3|A0A6P3HJW3_BISBI, tr|A0A6P3HFN2|A0A6P3HFN2_BISBI, tr|A0A6P3GVB0|A0A6P3GVB0_BISBI, tr|A0A6P3HTF0|A0A6P3HTF0_BISBI, tr|A0A6P3IA70|A0A6P3IA70_BISBI, tr|A0A6P3I1H4|A0A6P3I1H4_BISBI
OG0000033	sp|P84228|H32_MOUSE	tr|A0A6P3HQV3|A0A6P3HQV3_BISBI, tr|A0A6P3IPV8|A0A6P3IPV8_BISBI, tr|A0A6P3GKI7|A0A6P3GKI7_BISBI, tr|A0A6P3IJE0|A0A6P3IJE0_BISBI, tr|A0A6P3HF78|A0A6P3HF78_BISBI, tr|A0A6P3HFQ6|A0A6P3HFQ6_BISBI, tr|A0A6P3GI19|A0A6P3GI19_BISBI, tr|A0A6P3H4X9|A0A6P3H4X9_BISBI, tr|A0A6P3HD36|A0A6P3HD36_BISBI
OG0000034	sp|Q8BZE1|DMBTL_MOUSE	tr|A0A6P3J3F6|A0A6P3J3F6_BISBI
OG0000034	sp|Q60997|DMBT1_MOUSE	tr|A0A6P3IYR3|A0A6P3IYR3_BISBI
OG0000034	sp|P70412|CUZD1_MOUSE	tr|A0A6P3GRZ3|A0A6P3GRZ3_BISBI, tr|A0A6P3IT43|A0A6P3IT43_BISBI, tr|A0A6P3I9X4|A0A6P3I9X4_BISBI, tr|A0A6P3HPF7|A0A6P3HPF7_BISBI, tr|A0A6P3I2S8|A0A6P3I2S8_BISBI, tr|A0A6P3HNR9|A0A6P3HNR9_BISBI, tr|A0A6P3I0G2|A0A6P3I0G2_BISBI, tr|A0A6P3HYW2|A0A6P3HYW2_BISBI, tr|A0A6P3HTK0|A0A6P3HTK0_BISBI, tr|A0A6P3HYL2|A0A6P3HYL2_BISBI, tr|A0A6P3HME9|A0A6P3HME9_BISBI, tr|A0A6P3I9X9|A0A6P3I9X9_BISBI, tr|A0A6P3I7H6|A0A6P3I7H6_BISBI, tr|A0A6P3I9Y3|A0A6P3I9Y3_BISBI, tr|A0A6P3I690|A0A6P3I690_BISBI, tr|A0A6P3HEK4|A0A6P3HEK4_BISBI, tr|A0A6P3HBN3|A0A6P3HBN3_BISBI, tr|A0A6P3GMR2|A0A6P3GMR2_BISBI, tr|A0A6P3GKW2|A0A6P3GKW2_BISBI, tr|A0A6P3HD79|A0A6P3HD79_BISBI, tr|A0A6P3IA42|A0A6P3IA42_BISBI, tr|A0A6P3HBB6|A0A6P3HBB6_BISBI, tr|A0A6P3HKM7|A0A6P3HKM7_BISBI, tr|A0A6P3HC21|A0A6P3HC21_BISBI
OG0000037	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A6P3GYC0|A0A6P3GYC0_BISBI
OG0000037	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A6P3J081|A0A6P3J081_BISBI
OG0000037	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A6P3HNM2|A0A6P3HNM2_BISBI
OG0000037	tr|Q8VF41|Q8VF41_MOUSE	tr|A0A6P3I4B4|A0A6P3I4B4_BISBI, tr|A0A6P3HQF7|A0A6P3HQF7_BISBI, tr|A0A6P3I505|A0A6P3I505_BISBI, tr|A0A6P3HEP6|A0A6P3HEP6_BISBI, tr|A0A6P3GMY8|A0A6P3GMY8_BISBI, tr|A0A6P3GN44|A0A6P3GN44_BISBI, tr|A0A6P3G913|A0A6P3G913_BISBI, tr|A0A6P3GZE7|A0A6P3GZE7_BISBI, tr|A0A6P3IF19|A0A6P3IF19_BISBI, tr|A0A6P3GFV2|A0A6P3GFV2_BISBI, tr|A0A6P3GM20|A0A6P3GM20_BISBI, tr|A0A6P3GAH0|A0A6P3GAH0_BISBI, tr|A0A6P3IEW1|A0A6P3IEW1_BISBI
OG0000037	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A6P3I1J1|A0A6P3I1J1_BISBI, tr|A0A6P3GQB1|A0A6P3GQB1_BISBI
OG0000043	tr|Q8VFH9|Q8VFH9_MOUSE, tr|Q8VFU2|Q8VFU2_MOUSE, tr|Q8VFU1|Q8VFU1_MOUSE	tr|A0A6P3H7V9|A0A6P3H7V9_BISBI
OG0000043	tr|Q8VG45|Q8VG45_MOUSE, tr|Q8VGI9|Q8VGI9_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE	tr|A0A6P3GY58|A0A6P3GY58_BISBI
OG0000046	tr|Q8VF83|Q8VF83_MOUSE	tr|A0A6P3IP40|A0A6P3IP40_BISBI
OG0000046	tr|A2AVW3|A2AVW3_MOUSE	tr|A0A6P3IGW3|A0A6P3IGW3_BISBI
OG0000046	tr|A2AVW1|A2AVW1_MOUSE	tr|A0A6P3J8Y1|A0A6P3J8Y1_BISBI, tr|A0A6P3HV56|A0A6P3HV56_BISBI, tr|A0A6P3HI16|A0A6P3HI16_BISBI, tr|A0A6P3IP54|A0A6P3IP54_BISBI, tr|A0A6P3IGU2|A0A6P3IGU2_BISBI, tr|A0A6P3HVA7|A0A6P3HVA7_BISBI, tr|A0A6P3HTE5|A0A6P3HTE5_BISBI, tr|A0A6P3HTA2|A0A6P3HTA2_BISBI, tr|A0A6P3IGP8|A0A6P3IGP8_BISBI, tr|A0A6P3GVY4|A0A6P3GVY4_BISBI, tr|A0A6P3HJH9|A0A6P3HJH9_BISBI, tr|A0A6P3I4R0|A0A6P3I4R0_BISBI, tr|A0A6P3I474|A0A6P3I474_BISBI, tr|A0A6P3GVX9|A0A6P3GVX9_BISBI, tr|A0A6P3ICK0|A0A6P3ICK0_BISBI, tr|A0A6P3HT65|A0A6P3HT65_BISBI, tr|A0A6P3HTE9|A0A6P3HTE9_BISBI, tr|A0A6P3GVN4|A0A6P3GVN4_BISBI, tr|A0A6P3GF02|A0A6P3GF02_BISBI
