Orthogroup	Mus_musculus	Nomascus_leucogenys
OG0000010	tr|Q8VGZ6|Q8VGZ6_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|E9Q554|E9Q554_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|E9PXW4|E9PXW4_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE	tr|A0A2I3HFK0|A0A2I3HFK0_NOMLE
OG0000010	tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9Q407|E9Q407_MOUSE, tr|Q8VH11|Q8VH11_MOUSE	tr|G1S976|G1S976_NOMLE
OG0000014	tr|Q8VF62|Q8VF62_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, sp|Q60882|OL145_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|L7N210|L7N210_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|K7N678|K7N678_MOUSE, tr|Q9EQA9|Q9EQA9_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, sp|Q60886|OL147_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE	tr|G1SC39|G1SC39_NOMLE
OG0000015	tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|Q8R296|Q8R296_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|K7N608|K7N608_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|L7N213|L7N213_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|Q8R255|Q8R255_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE	tr|A0A2I3HWF8|A0A2I3HWF8_NOMLE
OG0000016	tr|Q8VFS5|Q8VFS5_MOUSE, tr|Q8VFS6|Q8VFS6_MOUSE, tr|K9J725|K9J725_MOUSE, tr|Q8VF17|Q8VF17_MOUSE, tr|Q8VF18|Q8VF18_MOUSE, tr|Q8VFS3|Q8VFS3_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q5NCC7|Q5NCC7_MOUSE, tr|A2ASV3|A2ASV3_MOUSE, tr|Q8VG49|Q8VG49_MOUSE, tr|E9Q725|E9Q725_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|Q9EPG6|Q9EPG6_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|Q8VF80|Q8VF80_MOUSE, tr|B2RT27|B2RT27_MOUSE, tr|Q8VGP5|Q8VGP5_MOUSE, tr|Q8VF81|Q8VF81_MOUSE, tr|Q8VGP4|Q8VGP4_MOUSE, tr|Q7TRV8|Q7TRV8_MOUSE, tr|Q7TRV7|Q7TRV7_MOUSE, tr|Q7TQV3|Q7TQV3_MOUSE, tr|Q8VEV1|Q8VEV1_MOUSE, tr|Q8VEV0|Q8VEV0_MOUSE, tr|Q8VES9|Q8VES9_MOUSE	tr|A0A2I3FV17|A0A2I3FV17_NOMLE
OG0000017	sp|Q8VGS3|O1019_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|Q8VF22|Q8VF22_MOUSE, tr|Q8VET1|Q8VET1_MOUSE, tr|Q5NC59|Q5NC59_MOUSE, tr|Q8VF35|Q8VF35_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|A2BHP7|A2BHP7_MOUSE, tr|A2AVT0|A2AVT0_MOUSE, tr|L7MU57|L7MU57_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, sp|Q8VFL9|O1086_MOUSE, sp|Q8VF13|O1094_MOUSE, sp|Q8VES2|O1102_MOUSE, tr|Q8VF14|Q8VF14_MOUSE, sp|Q60880|OL141_MOUSE, tr|A3KPP7|A3KPP7_MOUSE, tr|Q7TR59|Q7TR59_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE	tr|G1SCB6|G1SCB6_NOMLE
OG0000018	tr|Q5U406|Q5U406_MOUSE	tr|A0A2I3GIT9|A0A2I3GIT9_NOMLE
OG0000018	sp|Q6P9Y7|ZFP82_MOUSE	tr|G1QRX5|G1QRX5_NOMLE
OG0000018	sp|Q60585|ZFP30_MOUSE	tr|A0A2I3HSI4|A0A2I3HSI4_NOMLE
OG0000018	sp|P10755|ZFP14_MOUSE	tr|G1QRY6|G1QRY6_NOMLE, tr|G1QMI3|G1QMI3_NOMLE, tr|A0A2I3H958|A0A2I3H958_NOMLE, tr|G1S547|G1S547_NOMLE, tr|A0A2I3G2F1|A0A2I3G2F1_NOMLE
OG0000018	tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|G1RM69|G1RM69_NOMLE, tr|M3ZBU7|M3ZBU7_NOMLE, tr|A0A2I3H1I7|A0A2I3H1I7_NOMLE
OG0000018	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|G1RIT1|G1RIT1_NOMLE
OG0000018	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A2I3H3U5|A0A2I3H3U5_NOMLE
OG0000018	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|G1S548|G1S548_NOMLE, tr|G1QRY0|G1QRY0_NOMLE
OG0000018	tr|Q9D654|Q9D654_MOUSE	tr|G1S523|G1S523_NOMLE, tr|A0A2I3GAV9|A0A2I3GAV9_NOMLE, tr|G1RIX3|G1RIX3_NOMLE
OG0000025	tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8I3|G5E8I3_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE	tr|A0A2I3HA59|A0A2I3HA59_NOMLE
OG0000029	tr|Q8VFW9|Q8VFW9_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE	tr|G1SCC6|G1SCC6_NOMLE
OG0000029	tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|B2RVX8|B2RVX8_MOUSE, tr|Q8VF60|Q8VF60_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, sp|Q8VFX2|O1444_MOUSE	tr|A0A2I3FXG1|A0A2I3FXG1_NOMLE
OG0000033	tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|Q8VFE2|Q8VFE2_MOUSE, tr|Q8VFE3|Q8VFE3_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q7TQW4|Q7TQW4_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|Q8VF34|Q8VF34_MOUSE, tr|Q8VGJ1|Q8VGJ1_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE	tr|G1SCA0|G1SCA0_NOMLE
OG0000034	sp|P01655|KV3A2_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, sp|P01659|KV3A7_MOUSE	tr|G1R8D8|G1R8D8_NOMLE
OG0000035	tr|Q78F42|Q78F42_MOUSE	tr|G1RJZ3|G1RJZ3_NOMLE
OG0000035	sp|Q80YP6|ZIK1_MOUSE	tr|A0A2I3GIT0|A0A2I3GIT0_NOMLE, tr|A0A2I3HY52|A0A2I3HY52_NOMLE, tr|G1RJA8|G1RJA8_NOMLE, tr|A0A2I3FPW6|A0A2I3FPW6_NOMLE, tr|G1RJG2|G1RJG2_NOMLE, tr|G1RJY4|G1RJY4_NOMLE, tr|A0A2I3HDQ9|A0A2I3HDQ9_NOMLE, tr|A0A2I3HH50|A0A2I3HH50_NOMLE, tr|G1RJK4|G1RJK4_NOMLE, tr|A0A2I3GJT9|A0A2I3GJT9_NOMLE, tr|G1RJJ6|G1RJJ6_NOMLE, tr|A0A2I3H371|A0A2I3H371_NOMLE, tr|G1RJH0|G1RJH0_NOMLE, tr|A0A2I3GCU0|A0A2I3GCU0_NOMLE, tr|G1RJH8|G1RJH8_NOMLE, tr|G1RJI9|G1RJI9_NOMLE, tr|A0A2I3HJV6|A0A2I3HJV6_NOMLE, tr|G1RIY4|G1RIY4_NOMLE, tr|G1RJF3|G1RJF3_NOMLE, tr|A0A2I3GET8|A0A2I3GET8_NOMLE, tr|G1RJ81|G1RJ81_NOMLE, tr|G1RJ87|G1RJ87_NOMLE, tr|G1RJ85|G1RJ85_NOMLE, tr|G1RJB6|G1RJB6_NOMLE, tr|G1RJD8|G1RJD8_NOMLE, tr|G1RJB4|G1RJB4_NOMLE, tr|G1RJC7|G1RJC7_NOMLE, tr|G1RJB2|G1RJB2_NOMLE, tr|A0A2I3G3C1|A0A2I3G3C1_NOMLE
OG0000037	tr|Q8VGS0|Q8VGS0_MOUSE	tr|G1SCA7|G1SCA7_NOMLE
OG0000037	tr|Q7TR63|Q7TR63_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|Q7TR79|Q7TR79_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q8VGC7|Q8VGC7_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, sp|Q8VGS1|O1038_MOUSE, tr|Q7TR71|Q7TR71_MOUSE, tr|Q7TR75|Q7TR75_MOUSE, tr|Q7TR80|Q7TR80_MOUSE	tr|A0A2I3HA35|A0A2I3HA35_NOMLE
