Orthogroup	Mus_musculus	Vombatus_ursinus
OG0000032	tr|A2AV41|A2AV41_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE	tr|A0A4X2KGR6|A0A4X2KGR6_VOMUR
OG0000033	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A4X2JT84|A0A4X2JT84_VOMUR
OG0000033	tr|A0A1W2P740|A0A1W2P740_MOUSE	tr|A0A4X2LX39|A0A4X2LX39_VOMUR
OG0000033	tr|Q8VGJ8|Q8VGJ8_MOUSE	tr|A0A4X2KR20|A0A4X2KR20_VOMUR
OG0000033	tr|B9EHG2|B9EHG2_MOUSE	tr|A0A4X2K831|A0A4X2K831_VOMUR
OG0000033	tr|Q7TQU7|Q7TQU7_MOUSE	tr|A0A4X2MEQ1|A0A4X2MEQ1_VOMUR
OG0000033	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A4X2KVH0|A0A4X2KVH0_VOMUR, tr|A0A4X2M8P9|A0A4X2M8P9_VOMUR, tr|A0A4X2MDC9|A0A4X2MDC9_VOMUR, tr|A0A4X2MFK2|A0A4X2MFK2_VOMUR, tr|A0A4X2L5L0|A0A4X2L5L0_VOMUR, tr|A0A4X2MD49|A0A4X2MD49_VOMUR, tr|A0A4X2M474|A0A4X2M474_VOMUR, tr|A0A4X2JLF0|A0A4X2JLF0_VOMUR, tr|A0A4X2MEP0|A0A4X2MEP0_VOMUR, tr|A0A4X2KYV7|A0A4X2KYV7_VOMUR, tr|A0A4X2KVZ6|A0A4X2KVZ6_VOMUR
OG0000034	sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, sp|Q61400|CEAMA_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE	tr|A0A4X2LQH3|A0A4X2LQH3_VOMUR
OG0000038	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A4X2LDN2|A0A4X2LDN2_VOMUR, tr|A0A4X2LWQ4|A0A4X2LWQ4_VOMUR, tr|A0A4X2M4U2|A0A4X2M4U2_VOMUR, tr|A0A4X2LWP6|A0A4X2LWP6_VOMUR, tr|A0A4X2M5A1|A0A4X2M5A1_VOMUR, tr|A0A4X2L503|A0A4X2L503_VOMUR, tr|A0A4X2KE39|A0A4X2KE39_VOMUR, tr|A0A4X2LHV1|A0A4X2LHV1_VOMUR, tr|A0A4X2KE58|A0A4X2KE58_VOMUR, tr|A0A4X2LIM7|A0A4X2LIM7_VOMUR, tr|A0A4X2LQK3|A0A4X2LQK3_VOMUR
OG0000038	tr|Q8VFH0|Q8VFH0_MOUSE	tr|A0A4X2LQ91|A0A4X2LQ91_VOMUR
OG0000038	tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE	tr|A0A4X2KVH6|A0A4X2KVH6_VOMUR
OG0000038	tr|Q5SZS9|Q5SZS9_MOUSE	tr|A0A4X2LQA4|A0A4X2LQA4_VOMUR, tr|A0A4X2M574|A0A4X2M574_VOMUR
OG0000038	tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A4X2KMD2|A0A4X2KMD2_VOMUR, tr|A0A4X2LWM9|A0A4X2LWM9_VOMUR
OG0000039	tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|Q9D267|LCN9_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11591|MUP5_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE	tr|A0A4X2KK79|A0A4X2KK79_VOMUR
OG0000047	tr|E9PVC2|E9PVC2_MOUSE	tr|A0A4X2LGP8|A0A4X2LGP8_VOMUR
OG0000047	tr|Q8BV16|Q8BV16_MOUSE	tr|A0A4X2LBE4|A0A4X2LBE4_VOMUR
OG0000047	sp|Q3U133|ZN746_MOUSE	tr|A0A4X2KBX7|A0A4X2KBX7_VOMUR
OG0000047	tr|B9EKF4|B9EKF4_MOUSE	tr|A0A4X2LJX6|A0A4X2LJX6_VOMUR, tr|A0A4X2L8S8|A0A4X2L8S8_VOMUR, tr|A0A4X2LK35|A0A4X2LK35_VOMUR, tr|A0A4X2L8W0|A0A4X2L8W0_VOMUR, tr|A0A4X2LK29|A0A4X2LK29_VOMUR, tr|A0A4X2L0I4|A0A4X2L0I4_VOMUR, tr|A0A4X2KN62|A0A4X2KN62_VOMUR, tr|A0A4X2L5K2|A0A4X2L5K2_VOMUR, tr|A0A4X2L5J8|A0A4X2L5J8_VOMUR, tr|A0A4X2KC07|A0A4X2KC07_VOMUR, tr|A0A4X2LGT8|A0A4X2LGT8_VOMUR, tr|A0A4X2LC05|A0A4X2LC05_VOMUR, tr|A0A4X2KED5|A0A4X2KED5_VOMUR
OG0000051	sp|P68134|ACTS_MOUSE	tr|A0A4X2JWN6|A0A4X2JWN6_VOMUR
OG0000051	sp|P68033|ACTC_MOUSE	tr|A0A4X2KHH8|A0A4X2KHH8_VOMUR
OG0000051	sp|P62737|ACTA_MOUSE	tr|A0A4X2M6Q9|A0A4X2M6Q9_VOMUR
OG0000051	sp|P63268|ACTH_MOUSE	tr|A0A4X2MBQ8|A0A4X2MBQ8_VOMUR
OG0000051	sp|P63260|ACTG_MOUSE	tr|A0A4X2KIC0|A0A4X2KIC0_VOMUR
OG0000051	sp|P60710|ACTB_MOUSE	tr|A0A4X2LSI7|A0A4X2LSI7_VOMUR
OG0000051	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A4X2LQB1|A0A4X2LQB1_VOMUR
OG0000051	tr|Q9D5V1|Q9D5V1_MOUSE	tr|A0A4X2LC87|A0A4X2LC87_VOMUR
OG0000051	tr|D3YYH9|D3YYH9_MOUSE	tr|A0A4X2MBR1|A0A4X2MBR1_VOMUR
OG0000055	sp|Q8K349|GIMA6_MOUSE	tr|A0A4X2KJ73|A0A4X2KJ73_VOMUR, tr|A0A4X2KJI8|A0A4X2KJI8_VOMUR
OG0000055	sp|P70224|GIMA1_MOUSE	tr|A0A4X2LC32|A0A4X2LC32_VOMUR, tr|A0A4X2M4P5|A0A4X2M4P5_VOMUR
OG0000055	sp|Q99JY3|GIMA4_MOUSE	tr|A0A4X2KJJ4|A0A4X2KJJ4_VOMUR, tr|A0A4X2KJ91|A0A4X2KJ91_VOMUR, tr|A0A4X2MFV0|A0A4X2MFV0_VOMUR, tr|A0A4X2KH39|A0A4X2KH39_VOMUR, tr|A0A4X2KBL5|A0A4X2KBL5_VOMUR, tr|A0A4X2KBP8|A0A4X2KBP8_VOMUR, tr|A0A4X2KJ63|A0A4X2KJ63_VOMUR, tr|A0A4X2KJC7|A0A4X2KJC7_VOMUR, tr|A0A4X2KJG7|A0A4X2KJG7_VOMUR, tr|A0A4X2KBU6|A0A4X2KBU6_VOMUR, tr|A0A4X2KJL0|A0A4X2KJL0_VOMUR, tr|A0A4X2KJI0|A0A4X2KJI0_VOMUR
OG0000056	tr|Q8VGB4|Q8VGB4_MOUSE	tr|A0A4X2K0B9|A0A4X2K0B9_VOMUR, tr|A0A4X2JVN9|A0A4X2JVN9_VOMUR, tr|A0A4X2JNS4|A0A4X2JNS4_VOMUR, tr|A0A4X2JPJ6|A0A4X2JPJ6_VOMUR, tr|A0A4X2JVQ8|A0A4X2JVQ8_VOMUR, tr|A0A4X2LXS3|A0A4X2LXS3_VOMUR, tr|A0A4X2M6S9|A0A4X2M6S9_VOMUR, tr|A0A4X2M6S4|A0A4X2M6S4_VOMUR, tr|A0A4X2M5Q0|A0A4X2M5Q0_VOMUR, tr|A0A4X2M5T3|A0A4X2M5T3_VOMUR, tr|A0A4X2M5G8|A0A4X2M5G8_VOMUR, tr|A0A4X2LX79|A0A4X2LX79_VOMUR, tr|A0A4X2M5C5|A0A4X2M5C5_VOMUR, tr|A0A4X2M5A5|A0A4X2M5A5_VOMUR, tr|A0A4X2M5R7|A0A4X2M5R7_VOMUR, tr|A0A4X2LTD9|A0A4X2LTD9_VOMUR, tr|A0A4X2LXB7|A0A4X2LXB7_VOMUR, tr|A0A4X2LTD6|A0A4X2LTD6_VOMUR
OG0000057	sp|Q8VFX2|O1444_MOUSE	tr|A0A4X2LCH1|A0A4X2LCH1_VOMUR, tr|A0A4X2JLE6|A0A4X2JLE6_VOMUR, tr|A0A4X2L449|A0A4X2L449_VOMUR, tr|A0A4X2JN37|A0A4X2JN37_VOMUR, tr|A0A4X2JMZ0|A0A4X2JMZ0_VOMUR, tr|A0A4X2JUS9|A0A4X2JUS9_VOMUR, tr|A0A4X2JS47|A0A4X2JS47_VOMUR, tr|A0A4X2K8L7|A0A4X2K8L7_VOMUR, tr|A0A4X2K8J7|A0A4X2K8J7_VOMUR, tr|A0A4X2KG35|A0A4X2KG35_VOMUR, tr|A0A4X2LAI6|A0A4X2LAI6_VOMUR, tr|A0A4X2LCL1|A0A4X2LCL1_VOMUR, tr|A0A4X2L240|A0A4X2L240_VOMUR, tr|A0A4X2JUT7|A0A4X2JUT7_VOMUR, tr|A0A4X2LCJ7|A0A4X2LCJ7_VOMUR, tr|A0A4X2LT56|A0A4X2LT56_VOMUR, tr|A0A4X2LCN1|A0A4X2LCN1_VOMUR, tr|A0A4X2LCN6|A0A4X2LCN6_VOMUR
OG0000065	sp|P06151|LDHA_MOUSE	tr|A0A4X2KQ41|A0A4X2KQ41_VOMUR, tr|A0A4X2M8J0|A0A4X2M8J0_VOMUR, tr|A0A4X2JMD9|A0A4X2JMD9_VOMUR, tr|A0A4X2JT06|A0A4X2JT06_VOMUR, tr|A0A4X2L1M3|A0A4X2L1M3_VOMUR, tr|A0A4X2KQM8|A0A4X2KQM8_VOMUR, tr|A0A4X2LAL5|A0A4X2LAL5_VOMUR, tr|A0A4X2LJE0|A0A4X2LJE0_VOMUR, tr|A0A4X2M238|A0A4X2M238_VOMUR, tr|A0A4X2K2N0|A0A4X2K2N0_VOMUR, tr|A0A4X2L087|A0A4X2L087_VOMUR, tr|A0A4X2JM69|A0A4X2JM69_VOMUR
OG0000065	sp|P16125|LDHB_MOUSE	tr|A0A4X2LH48|A0A4X2LH48_VOMUR
OG0000065	sp|P00342|LDHC_MOUSE, tr|Q8BVP2|Q8BVP2_MOUSE	tr|A0A4X2JT63|A0A4X2JT63_VOMUR
OG0000066	tr|A0A140T8J6|A0A140T8J6_MOUSE	tr|A0A4X2JZH9|A0A4X2JZH9_VOMUR
OG0000066	tr|E9Q848|E9Q848_MOUSE	tr|A0A4X2L9K4|A0A4X2L9K4_VOMUR, tr|A0A4X2KZE5|A0A4X2KZE5_VOMUR, tr|A0A4X2L6J3|A0A4X2L6J3_VOMUR
OG0000066	tr|A0A140T8J7|A0A140T8J7_MOUSE	tr|A0A4X2L174|A0A4X2L174_VOMUR, tr|A0A4X2L6J9|A0A4X2L6J9_VOMUR, tr|A0A4X2L156|A0A4X2L156_VOMUR, tr|A0A4X2KZC4|A0A4X2KZC4_VOMUR, tr|A0A4X2L7N5|A0A4X2L7N5_VOMUR
OG0000069	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|A0A4X2JS02|A0A4X2JS02_VOMUR
OG0000069	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A4X2JSC9|A0A4X2JSC9_VOMUR
OG0000069	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A4X2KB23|A0A4X2KB23_VOMUR, tr|A0A4X2LK45|A0A4X2LK45_VOMUR
OG0000069	tr|Q7TRR4|Q7TRR4_MOUSE, tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A4X2LH46|A0A4X2LH46_VOMUR, tr|A0A4X2LR58|A0A4X2LR58_VOMUR, tr|A0A4X2LRL6|A0A4X2LRL6_VOMUR, tr|A0A4X2LK31|A0A4X2LK31_VOMUR
