Orthogroup	Mus_musculus	Nyctereutes_procyonoides
OG0000006	sp|B2RXC5|ZN382_MOUSE	tr|A0A811ZU81|A0A811ZU81_NYCPR, tr|A0A811ZWC4|A0A811ZWC4_NYCPR
OG0000006	tr|Q640N4|Q640N4_MOUSE	tr|A0A811ZRM8|A0A811ZRM8_NYCPR, tr|A0A811ZS48|A0A811ZS48_NYCPR, tr|A0A811ZQ81|A0A811ZQ81_NYCPR, tr|A0A811Z572|A0A811Z572_NYCPR, tr|A0A811ZTB3|A0A811ZTB3_NYCPR, tr|A0A811ZRJ6|A0A811ZRJ6_NYCPR, tr|A0A811ZRA3|A0A811ZRA3_NYCPR, tr|A0A811YPV5|A0A811YPV5_NYCPR, tr|A0A811YUJ7|A0A811YUJ7_NYCPR, tr|A0A811XV84|A0A811XV84_NYCPR, tr|A0A811ZRP0|A0A811ZRP0_NYCPR
OG0000006	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A811ZU39|A0A811ZU39_NYCPR, tr|A0A811YGU0|A0A811YGU0_NYCPR, tr|A0A811YJF6|A0A811YJF6_NYCPR, tr|A0A811ZUZ0|A0A811ZUZ0_NYCPR, tr|A0A811ZUJ0|A0A811ZUJ0_NYCPR, tr|A0A811ZUG7|A0A811ZUG7_NYCPR, tr|A0A811ZTN6|A0A811ZTN6_NYCPR, tr|A0A811ZUV0|A0A811ZUV0_NYCPR, tr|A0A811ZVT7|A0A811ZVT7_NYCPR, tr|A0A811ZSX4|A0A811ZSX4_NYCPR, tr|A0A811YCD7|A0A811YCD7_NYCPR, tr|A0A811YBT1|A0A811YBT1_NYCPR
OG0000013	sp|P10126|EF1A1_MOUSE	tr|A0A811YA02|A0A811YA02_NYCPR, tr|A0A811XYQ0|A0A811XYQ0_NYCPR, tr|A0A811Y1H0|A0A811Y1H0_NYCPR, tr|A0A811Y5R0|A0A811Y5R0_NYCPR, tr|A0A811Z6E6|A0A811Z6E6_NYCPR, tr|A0A811Y4G3|A0A811Y4G3_NYCPR, tr|A0A811YFB4|A0A811YFB4_NYCPR, tr|A0A811YGW5|A0A811YGW5_NYCPR, tr|A0A811ZWA2|A0A811ZWA2_NYCPR, tr|A0A811YYB0|A0A811YYB0_NYCPR, tr|A0A811ZU53|A0A811ZU53_NYCPR, tr|A0A811Y017|A0A811Y017_NYCPR, tr|A0A811ZF95|A0A811ZF95_NYCPR, tr|A0A811ZSP2|A0A811ZSP2_NYCPR, tr|A0A811ZIX3|A0A811ZIX3_NYCPR, tr|A0A811YCA3|A0A811YCA3_NYCPR, tr|A0A811Z6V6|A0A811Z6V6_NYCPR, tr|A0A811YPU7|A0A811YPU7_NYCPR, tr|A0A811YPW6|A0A811YPW6_NYCPR, tr|A0A811YAH8|A0A811YAH8_NYCPR, tr|A0A811ZNS8|A0A811ZNS8_NYCPR, tr|A0A811ZML8|A0A811ZML8_NYCPR, tr|A0A811Z1V9|A0A811Z1V9_NYCPR, tr|A0A811YYS9|A0A811YYS9_NYCPR, tr|A0A811ZNT1|A0A811ZNT1_NYCPR, tr|A0A811ZC02|A0A811ZC02_NYCPR
OG0000013	sp|P62631|EF1A2_MOUSE	tr|A0A811ZH47|A0A811ZH47_NYCPR, tr|A0A811YU57|A0A811YU57_NYCPR, tr|A0A811ZJM1|A0A811ZJM1_NYCPR, tr|A0A811ZE75|A0A811ZE75_NYCPR, tr|A0A811Y917|A0A811Y917_NYCPR, tr|A0A811Y775|A0A811Y775_NYCPR, tr|A0A811ZKH0|A0A811ZKH0_NYCPR, tr|A0A811Y9Y1|A0A811Y9Y1_NYCPR, tr|A0A811XS33|A0A811XS33_NYCPR, tr|A0A811YUN4|A0A811YUN4_NYCPR, tr|A0A811ZRG2|A0A811ZRG2_NYCPR, tr|A0A811ZLS9|A0A811ZLS9_NYCPR, tr|A0A811Z5Q2|A0A811Z5Q2_NYCPR, tr|A0A811YCI9|A0A811YCI9_NYCPR, tr|A0A811ZL27|A0A811ZL27_NYCPR, tr|A0A811ZR79|A0A811ZR79_NYCPR, tr|A0A811YLP1|A0A811YLP1_NYCPR, tr|A0A811Y0U5|A0A811Y0U5_NYCPR
OG0000015	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A811ZW57|A0A811ZW57_NYCPR
OG0000015	sp|Q3V080|ZN583_MOUSE	tr|A0A811ZU14|A0A811ZU14_NYCPR
OG0000015	tr|Q5U406|Q5U406_MOUSE	tr|A0A811ZU22|A0A811ZU22_NYCPR
OG0000015	sp|Q7TNU6|ZN250_MOUSE	tr|A0A811ZKT3|A0A811ZKT3_NYCPR, tr|A0A811ZUZ1|A0A811ZUZ1_NYCPR, tr|A0A811ZN04|A0A811ZN04_NYCPR, tr|A0A811ZU55|A0A811ZU55_NYCPR, tr|A0A811YLS5|A0A811YLS5_NYCPR, tr|A0A811YAR1|A0A811YAR1_NYCPR, tr|A0A811ZTA2|A0A811ZTA2_NYCPR, tr|A0A811ZUY2|A0A811ZUY2_NYCPR, tr|A0A811XWE8|A0A811XWE8_NYCPR, tr|A0A811ZST5|A0A811ZST5_NYCPR, tr|A0A811ZT83|A0A811ZT83_NYCPR, tr|A0A811XXH9|A0A811XXH9_NYCPR, tr|A0A811ZZW7|A0A811ZZW7_NYCPR, tr|A0A811ZY16|A0A811ZY16_NYCPR, tr|A0A812A027|A0A812A027_NYCPR
OG0000015	sp|P10755|ZFP14_MOUSE	tr|A0A811ZVP1|A0A811ZVP1_NYCPR, tr|A0A811ZWB4|A0A811ZWB4_NYCPR, tr|A0A811ZVL7|A0A811ZVL7_NYCPR, tr|A0A811ZUC0|A0A811ZUC0_NYCPR, tr|A0A811ZVU5|A0A811ZVU5_NYCPR, tr|A0A811ZUF1|A0A811ZUF1_NYCPR, tr|A0A811ZVX3|A0A811ZVX3_NYCPR
