Orthogroup	Mus_musculus	Mustela_putorius_furo
OG0000006	sp|P17141|ZFP37_MOUSE	tr|A0A8U0NMV6|A0A8U0NMV6_MUSPF, tr|M3YQL3|M3YQL3_MUSPF, tr|A0A8U0TAG5|A0A8U0TAG5_MUSPF, tr|A0A8U0RHS2|A0A8U0RHS2_MUSPF, tr|A0A8U0NLS6|A0A8U0NLS6_MUSPF, tr|A0A8U0N2Y8|A0A8U0N2Y8_MUSPF, tr|M3YPI5|M3YPI5_MUSPF, tr|M3YPR4|M3YPR4_MUSPF, tr|M3XQJ7|M3XQJ7_MUSPF, tr|M3YXS0|M3YXS0_MUSPF, tr|M3XUD9|M3XUD9_MUSPF, tr|M3YPH8|M3YPH8_MUSPF, tr|A0A8U0S716|A0A8U0S716_MUSPF
OG0000019	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A8U0UYV2|A0A8U0UYV2_MUSPF
OG0000019	sp|Q3V080|ZN583_MOUSE	tr|A0A8U0NM60|A0A8U0NM60_MUSPF
OG0000019	tr|Q5U406|Q5U406_MOUSE	tr|M3Y5I1|M3Y5I1_MUSPF, tr|A0A8U0T6B3|A0A8U0T6B3_MUSPF
OG0000019	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|A0A8U0RWY4|A0A8U0RWY4_MUSPF
OG0000019	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A8U0ND28|A0A8U0ND28_MUSPF
OG0000020	sp|Q3UV17|K22O_MOUSE	tr|A0A8U0RQY1|A0A8U0RQY1_MUSPF, tr|A0A8U0RRJ9|A0A8U0RRJ9_MUSPF
OG0000020	tr|Q6IFZ8|Q6IFZ8_MOUSE, sp|Q9Z331|K2C6B_MOUSE, sp|P50446|K2C6A_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE	tr|A0A8U0NAB1|A0A8U0NAB1_MUSPF, tr|A0A8U0UWM2|A0A8U0UWM2_MUSPF, tr|A0A8U0RUB9|A0A8U0RUB9_MUSPF
OG0000020	sp|Q8BGZ7|K2C75_MOUSE	tr|A0A8U0NBB1|A0A8U0NBB1_MUSPF
OG0000020	sp|Q922U2|K2C5_MOUSE	tr|A0A8U0NAC8|A0A8U0NAC8_MUSPF
OG0000020	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|A0A8U0T5P7|A0A8U0T5P7_MUSPF
OG0000020	sp|P07744|K2C4_MOUSE	tr|M3Y5M4|M3Y5M4_MUSPF
OG0000020	sp|Q8VED5|K2C79_MOUSE	tr|A0A8U0T5B9|A0A8U0T5B9_MUSPF
OG0000020	sp|Q3TTY5|K22E_MOUSE	tr|A0A8U0NBN7|A0A8U0NBN7_MUSPF
OG0000020	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A8U0UWJ1|A0A8U0UWJ1_MUSPF
OG0000020	sp|P04104|K2C1_MOUSE	tr|A0A8U0NB30|A0A8U0NB30_MUSPF
OG0000020	sp|Q6IME9|K2C72_MOUSE	tr|A0A8U0NBB2|A0A8U0NBB2_MUSPF
OG0000020	sp|Q6IFZ9|K2C74_MOUSE	tr|A0A8U0NBD6|A0A8U0NBD6_MUSPF
OG0000020	sp|Q6NXH9|K2C73_MOUSE	tr|A0A8U0T4M4|A0A8U0T4M4_MUSPF
OG0000020	sp|Q9R0H5|K2C71_MOUSE	tr|A0A8U0UUJ5|A0A8U0UUJ5_MUSPF
OG0000022	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A8U0NMU7|A0A8U0NMU7_MUSPF, tr|A0A8U0RT84|A0A8U0RT84_MUSPF, tr|A0A8U0UVK0|A0A8U0UVK0_MUSPF, tr|A0A8U0NQ11|A0A8U0NQ11_MUSPF, tr|A0A8U0RJQ6|A0A8U0RJQ6_MUSPF, tr|A0A8U0NGZ8|A0A8U0NGZ8_MUSPF, tr|A0A8U0T723|A0A8U0T723_MUSPF, tr|A0A8U0T7F3|A0A8U0T7F3_MUSPF, tr|A0A8U0NEC5|A0A8U0NEC5_MUSPF, tr|A0A8U0T1W1|A0A8U0T1W1_MUSPF, tr|A0A8U0NHC3|A0A8U0NHC3_MUSPF, tr|M3Z8K6|M3Z8K6_MUSPF, tr|A0A8U0NFA8|A0A8U0NFA8_MUSPF, tr|A0A8U0NFM2|A0A8U0NFM2_MUSPF, tr|A0A8U0T7H7|A0A8U0T7H7_MUSPF, tr|A0A8U0T7I9|A0A8U0T7I9_MUSPF, tr|A0A8U0NGT9|A0A8U0NGT9_MUSPF, tr|M3Z6F8|M3Z6F8_MUSPF, tr|A0A8U0T7P1|A0A8U0T7P1_MUSPF, tr|A0A8U0NHF0|A0A8U0NHF0_MUSPF, tr|A0A8U0TB79|A0A8U0TB79_MUSPF, tr|A0A8U0NFM1|A0A8U0NFM1_MUSPF, tr|A0A8U0NGS0|A0A8U0NGS0_MUSPF, tr|A0A8U0NHH0|A0A8U0NHH0_MUSPF, tr|A0A8U0T851|A0A8U0T851_MUSPF, tr|A0A8U0NH25|A0A8U0NH25_MUSPF, tr|M3Z6G4|M3Z6G4_MUSPF, tr|A0A8U0NGK2|A0A8U0NGK2_MUSPF, tr|A0A8U0NFU6|A0A8U0NFU6_MUSPF, tr|A0A8U0NG77|A0A8U0NG77_MUSPF, tr|A0A8U0RVP7|A0A8U0RVP7_MUSPF, tr|A0A8U0NER0|A0A8U0NER0_MUSPF, tr|A0A8U0T839|A0A8U0T839_MUSPF, tr|A0A8U0NHV0|A0A8U0NHV0_MUSPF
OG0000027	sp|Q60879|OLF3_MOUSE	tr|A0A8U0NNX2|A0A8U0NNX2_MUSPF
OG0000027	tr|Q7TRY0|Q7TRY0_MOUSE	tr|A0A8U0SYV7|A0A8U0SYV7_MUSPF, tr|A0A8U0MZQ5|A0A8U0MZQ5_MUSPF
OG0000027	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A8U0MQT0|A0A8U0MQT0_MUSPF, tr|A0A8U0MRC5|A0A8U0MRC5_MUSPF, tr|A0A8U0SUX1|A0A8U0SUX1_MUSPF
OG0000027	tr|Q7TRY6|Q7TRY6_MOUSE	tr|A0A8U0SBA7|A0A8U0SBA7_MUSPF, tr|A0A8U0V3W5|A0A8U0V3W5_MUSPF, tr|A0A8U0NHN4|A0A8U0NHN4_MUSPF
OG0000031	tr|Q8VET4|Q8VET4_MOUSE	tr|A0A8U0NMD1|A0A8U0NMD1_MUSPF, tr|A0A8U0UP30|A0A8U0UP30_MUSPF
OG0000031	tr|F8VQB9|F8VQB9_MOUSE	tr|A0A8U0NI36|A0A8U0NI36_MUSPF
OG0000031	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A8U0NHC7|A0A8U0NHC7_MUSPF
OG0000031	tr|Q7TRM6|Q7TRM6_MOUSE	tr|A0A8U0NHT3|A0A8U0NHT3_MUSPF, tr|A0A8U0NIA3|A0A8U0NIA3_MUSPF, tr|A0A8U0RTL2|A0A8U0RTL2_MUSPF, tr|A0A8U0NGD9|A0A8U0NGD9_MUSPF, tr|A0A8U0T8G6|A0A8U0T8G6_MUSPF, tr|M3Z4Q3|M3Z4Q3_MUSPF, tr|A0A8U0UUH8|A0A8U0UUH8_MUSPF, tr|M3Z6S2|M3Z6S2_MUSPF, tr|A0A8U0NHE0|A0A8U0NHE0_MUSPF, tr|A0A8U0NG81|A0A8U0NG81_MUSPF, tr|A0A8U0T8G2|A0A8U0T8G2_MUSPF
OG0000032	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A8U0NGQ3|A0A8U0NGQ3_MUSPF
OG0000032	sp|Q8BQR7|MAGBI_MOUSE	tr|M3Z5G2|M3Z5G2_MUSPF, tr|A0A8U0NX09|A0A8U0NX09_MUSPF, tr|A0A8U0V9T7|A0A8U0V9T7_MUSPF, tr|M3Z6U9|M3Z6U9_MUSPF
OG0000032	tr|G3UW88|G3UW88_MOUSE	tr|M3Z5E3|M3Z5E3_MUSPF, tr|M3Z5E7|M3Z5E7_MUSPF, tr|A0A8U0NWS3|A0A8U0NWS3_MUSPF, tr|A0A8U0SP18|A0A8U0SP18_MUSPF, tr|A0A8U0THY7|A0A8U0THY7_MUSPF, tr|A0A8U0SP12|A0A8U0SP12_MUSPF, tr|A0A8U0NZS9|A0A8U0NZS9_MUSPF, tr|A0A8U0P0H5|A0A8U0P0H5_MUSPF
OG0000037	tr|A0A087WRM1|A0A087WRM1_MOUSE	tr|A0A8U0S149|A0A8U0S149_MUSPF, tr|A0A8U0UQA4|A0A8U0UQA4_MUSPF, tr|A0A8U0V8F5|A0A8U0V8F5_MUSPF, tr|A0A8U0RA87|A0A8U0RA87_MUSPF, tr|A0A8U0SJB0|A0A8U0SJB0_MUSPF, tr|A0A8U0S9U1|A0A8U0S9U1_MUSPF, tr|A0A8U0SPM9|A0A8U0SPM9_MUSPF, tr|A0A8U0UWF0|A0A8U0UWF0_MUSPF, tr|A0A8U0UTV7|A0A8U0UTV7_MUSPF
OG0000037	sp|P10400|POL1_MOUSE	tr|A0A8U0V9T6|A0A8U0V9T6_MUSPF, tr|A0A8U0VA84|A0A8U0VA84_MUSPF, tr|A0A8U0NWB9|A0A8U0NWB9_MUSPF, tr|A0A8U0V9T8|A0A8U0V9T8_MUSPF, tr|A0A8U0SMI4|A0A8U0SMI4_MUSPF, tr|A0A8U0UYZ9|A0A8U0UYZ9_MUSPF, tr|A0A8U0S5F2|A0A8U0S5F2_MUSPF, tr|A0A8U0SIH3|A0A8U0SIH3_MUSPF, tr|A0A8U0RRH3|A0A8U0RRH3_MUSPF, tr|A0A8U0VAK0|A0A8U0VAK0_MUSPF, tr|A0A8U0SMP5|A0A8U0SMP5_MUSPF, tr|A0A8U0NMJ6|A0A8U0NMJ6_MUSPF, tr|A0A8U0SJF3|A0A8U0SJF3_MUSPF
OG0000041	tr|Q7TRL9|Q7TRL9_MOUSE	tr|A0A8U0TBM4|A0A8U0TBM4_MUSPF
OG0000041	tr|Q8VFT6|Q8VFT6_MOUSE	tr|A0A8U0NH93|A0A8U0NH93_MUSPF, tr|A0A8U0REV6|A0A8U0REV6_MUSPF, tr|A0A8U0SD13|A0A8U0SD13_MUSPF, tr|A0A8U0NHS0|A0A8U0NHS0_MUSPF, tr|A0A8U0T8K7|A0A8U0T8K7_MUSPF, tr|A0A8U0NHU9|A0A8U0NHU9_MUSPF, tr|A0A8U0NPU5|A0A8U0NPU5_MUSPF, tr|A0A8U0T8P3|A0A8U0T8P3_MUSPF, tr|A0A8U0NH72|A0A8U0NH72_MUSPF, tr|A0A8U0NG82|A0A8U0NG82_MUSPF, tr|A0A8U0NH11|A0A8U0NH11_MUSPF, tr|A0A8U0NGU1|A0A8U0NGU1_MUSPF, tr|A0A8U0NNH0|A0A8U0NNH0_MUSPF, tr|A0A8U0NPX8|A0A8U0NPX8_MUSPF, tr|A0A8U0RF98|A0A8U0RF98_MUSPF, tr|A0A8U0NGN0|A0A8U0NGN0_MUSPF, tr|A0A8U0NHM5|A0A8U0NHM5_MUSPF, tr|A0A8U0RE95|A0A8U0RE95_MUSPF, tr|A0A8U0NGN1|A0A8U0NGN1_MUSPF, tr|A0A8U0T8X6|A0A8U0T8X6_MUSPF
OG0000046	tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE	tr|A0A8U0UXR0|A0A8U0UXR0_MUSPF
OG0000048	sp|Q8VG04|OL478_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VG13|OL507_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VG07|OL494_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VFD0|OL486_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE	tr|A0A8U0NFY6|A0A8U0NFY6_MUSPF
OG0000050	sp|P49312|ROA1_MOUSE	tr|A0A8U0VAZ9|A0A8U0VAZ9_MUSPF, tr|A0A8U0V1F3|A0A8U0V1F3_MUSPF, tr|A0A8U0NRX7|A0A8U0NRX7_MUSPF, tr|A0A8U0SC09|A0A8U0SC09_MUSPF, tr|A0A8U0URS4|A0A8U0URS4_MUSPF, tr|A0A8U0V9U9|A0A8U0V9U9_MUSPF, tr|A0A8U0RQB3|A0A8U0RQB3_MUSPF, tr|A0A8U0NKH9|A0A8U0NKH9_MUSPF, tr|A0A8U0SEN8|A0A8U0SEN8_MUSPF, tr|A0A8U0UT92|A0A8U0UT92_MUSPF, tr|A0A8U0UN44|A0A8U0UN44_MUSPF, tr|A0A8U0RB24|A0A8U0RB24_MUSPF, tr|A0A8U0S504|A0A8U0S504_MUSPF, tr|A0A8U0TCS6|A0A8U0TCS6_MUSPF, tr|A0A8U0SKQ2|A0A8U0SKQ2_MUSPF, tr|A0A8U0R9A8|A0A8U0R9A8_MUSPF, tr|M3Z567|M3Z567_MUSPF, tr|A0A8U0RAS0|A0A8U0RAS0_MUSPF, tr|A0A8U0V9J0|A0A8U0V9J0_MUSPF, tr|A0A8U0NNB5|A0A8U0NNB5_MUSPF
OG0000051	tr|Q7TR04|Q7TR04_MOUSE, tr|Q8VGG1|Q8VGG1_MOUSE, tr|L7MU54|L7MU54_MOUSE, tr|Q7TR05|Q7TR05_MOUSE, tr|Q7TR02|Q7TR02_MOUSE, tr|Q8VGM9|Q8VGM9_MOUSE, tr|Q8VGM5|Q8VGM5_MOUSE, tr|Q7TR01|Q7TR01_MOUSE, tr|F7BL62|F7BL62_MOUSE, tr|L7MU53|L7MU53_MOUSE, tr|A3KGY4|A3KGY4_MOUSE, tr|A0A1L1SU13|A0A1L1SU13_MOUSE, tr|A3KGY3|A3KGY3_MOUSE, tr|A2ATG3|A2ATG3_MOUSE, tr|A2ATG2|A2ATG2_MOUSE, tr|Q7TR08|Q7TR08_MOUSE, tr|Q8VEX7|Q8VEX7_MOUSE, tr|Q7TQZ9|Q7TQZ9_MOUSE, tr|Q7TR09|Q7TR09_MOUSE	tr|M3Z6T1|M3Z6T1_MUSPF
OG0000054	sp|Q91WW5|MRGA1_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZB7|MRGRE_MOUSE	tr|A0A8U0SVA6|A0A8U0SVA6_MUSPF
OG0000055	sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11591|MUP5_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P02762|MUP6_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE	tr|M3Y8P3|M3Y8P3_MUSPF
OG0000059	sp|E9Q5R7|NAL12_MOUSE	tr|M3YF28|M3YF28_MUSPF
OG0000059	sp|Q8R4B8|NLRP3_MOUSE	tr|A0A8U0RHC0|A0A8U0RHC0_MUSPF
OG0000059	sp|Q9R1M5|NALP5_MOUSE	tr|A0A8U0T695|A0A8U0T695_MUSPF
OG0000059	sp|Q6B966|NAL14_MOUSE	tr|A0A8U0UPL4|A0A8U0UPL4_MUSPF
OG0000060	tr|Q8VGL2|Q8VGL2_MOUSE, tr|Q7TRT9|Q7TRT9_MOUSE, tr|Q8VFE9|Q8VFE9_MOUSE, tr|Q8VFE8|Q8VFE8_MOUSE, tr|Q7TRT7|Q7TRT7_MOUSE, tr|Q8VGL5|Q8VGL5_MOUSE, tr|Q8VGT4|Q8VGT4_MOUSE, tr|Q8VGH2|Q8VGH2_MOUSE, tr|Q8VGM0|Q8VGM0_MOUSE, tr|Q8VGM1|Q8VGM1_MOUSE, tr|Q8VGL9|Q8VGL9_MOUSE, tr|Q8VGL8|Q8VGL8_MOUSE, tr|Q8VGL4|Q8VGL4_MOUSE, tr|Q8VGM2|Q8VGM2_MOUSE, tr|Q8VGL3|Q8VGL3_MOUSE, tr|Q8VGJ4|Q8VGJ4_MOUSE, tr|Q7TRT5|Q7TRT5_MOUSE	tr|A0A8U0RHE9|A0A8U0RHE9_MUSPF
OG0000062	tr|Q7TRI8|Q7TRI8_MOUSE	tr|A0A8U0NGC1|A0A8U0NGC1_MUSPF
OG0000062	tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q8VFG3|Q8VFG3_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q5NCC8|Q5NCC8_MOUSE, tr|Q5NCD6|Q5NCD6_MOUSE, tr|Q5SZS9|Q5SZS9_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE	tr|A0A8U0NH16|A0A8U0NH16_MUSPF
OG0000065	sp|P68033|ACTC_MOUSE	tr|M3Y9U3|M3Y9U3_MUSPF
