Orthogroup	Mus_musculus	Bos_taurus
OG0000035	tr|G3UW88|G3UW88_MOUSE	tr|A0A3Q1LW60|A0A3Q1LW60_BOVIN, tr|F1MYD1|F1MYD1_BOVIN
OG0000035	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A3Q1LQ38|A0A3Q1LQ38_BOVIN, tr|A0A3Q1NAE9|A0A3Q1NAE9_BOVIN
OG0000035	tr|Q99PA7|Q99PA7_MOUSE	tr|G3X6J6|G3X6J6_BOVIN, tr|Q0II42|Q0II42_BOVIN, tr|G3MYS0|G3MYS0_BOVIN
OG0000036	sp|Q8BGZ7|K2C75_MOUSE	sp|Q08D91|K2C75_BOVIN
OG0000036	sp|Q6NXH9|K2C73_MOUSE	sp|A7YWK3|K2C73_BOVIN
OG0000036	sp|Q9R0H5|K2C71_MOUSE	sp|Q148H5|K2C71_BOVIN
OG0000036	sp|Q6IFZ9|K2C74_MOUSE	sp|A3KN27|K2C74_BOVIN
OG0000036	sp|Q6IME9|K2C72_MOUSE	sp|Q148H8|K2C72_BOVIN
OG0000036	sp|P04104|K2C1_MOUSE, sp|Q3TTY5|K22E_MOUSE	tr|G3MZ71|G3MZ71_BOVIN
OG0000036	sp|Q3UV17|K22O_MOUSE	tr|A0A3Q1M958|A0A3Q1M958_BOVIN, tr|A0A3Q1MYR8|A0A3Q1MYR8_BOVIN, tr|A0A3Q1LGW7|A0A3Q1LGW7_BOVIN
OG0000038	tr|Q91XY3|Q91XY3_MOUSE	tr|A0A3Q1ML27|A0A3Q1ML27_BOVIN, tr|F1N3M3|F1N3M3_BOVIN, tr|G3MXC4|G3MXC4_BOVIN
OG0000038	tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX1|Q91XX1_MOUSE	tr|A5D7F4|A5D7F4_BOVIN
OG0000039	tr|Q7TRJ8|Q7TRJ8_MOUSE, tr|Q923Q8|Q923Q8_MOUSE, tr|Q8VEU4|Q8VEU4_MOUSE, tr|Q923Q6|Q923Q6_MOUSE, tr|Q8C0S2|Q8C0S2_MOUSE, tr|Q7TRJ0|Q7TRJ0_MOUSE, tr|Q8VF25|Q8VF25_MOUSE, tr|Q7TRJ1|Q7TRJ1_MOUSE, tr|Q8VGF0|Q8VGF0_MOUSE	tr|F1MK16|F1MK16_BOVIN
OG0000039	tr|Q7TS03|Q7TS03_MOUSE, tr|Q7TS06|Q7TS06_MOUSE, tr|F7CWV4|F7CWV4_MOUSE, tr|Q8VFN8|Q8VFN8_MOUSE, tr|Q7TS02|Q7TS02_MOUSE, tr|Q7TS08|Q7TS08_MOUSE, tr|F8VQ84|F8VQ84_MOUSE, tr|Q7TS07|Q7TS07_MOUSE, tr|B2RVZ1|B2RVZ1_MOUSE, tr|Q7TS10|Q7TS10_MOUSE, tr|Q7TS05|Q7TS05_MOUSE, tr|Q7TS04|Q7TS04_MOUSE, tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE	tr|G3N366|G3N366_BOVIN
OG0000042	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, sp|Q91XZ2|PCDB8_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE	tr|F1MLJ1|F1MLJ1_BOVIN
OG0000046	tr|Q8HWA3|Q8HWA3_MOUSE	tr|A0A3Q1M7M5|A0A3Q1M7M5_BOVIN, tr|F1MQX6|F1MQX6_BOVIN, tr|G3N2K2|G3N2K2_BOVIN, tr|Q09YM2|Q09YM2_BOVIN, tr|A0A3Q1NCA5|A0A3Q1NCA5_BOVIN, tr|G5E5F5|G5E5F5_BOVIN, tr|F1MRK8|F1MRK8_BOVIN, tr|A6QQ36|A6QQ36_BOVIN, tr|F1MZE6|F1MZE6_BOVIN, tr|G5E5X5|G5E5X5_BOVIN, tr|Q09YM5|Q09YM5_BOVIN, tr|G5E5L3|G5E5L3_BOVIN, tr|G3X7K3|G3X7K3_BOVIN, tr|F1MFU4|F1MFU4_BOVIN, tr|A0A3Q1MBS9|A0A3Q1MBS9_BOVIN, tr|A0A3Q1MLA9|A0A3Q1MLA9_BOVIN, tr|A0A3Q1MHP0|A0A3Q1MHP0_BOVIN, tr|A0A3Q1NAG4|A0A3Q1NAG4_BOVIN, tr|G3MXJ6|G3MXJ6_BOVIN, tr|G3X6N1|G3X6N1_BOVIN
OG0000049	tr|Q8VEZ6|Q8VEZ6_MOUSE, tr|A0A0U1RNF5|A0A0U1RNF5_MOUSE, tr|Q8VEZ7|Q8VEZ7_MOUSE, tr|Q7TRX4|Q7TRX4_MOUSE, sp|Q8VGI1|OLF1_MOUSE, tr|Q8VGT2|Q8VGT2_MOUSE, tr|Q7TRX9|Q7TRX9_MOUSE, tr|E9Q4M1|E9Q4M1_MOUSE, tr|Q7TRX6|Q7TRX6_MOUSE, tr|Q8VGR3|Q8VGR3_MOUSE, tr|Q7TRX7|Q7TRX7_MOUSE, tr|Q8VGR6|Q8VGR6_MOUSE, tr|Q8VGR5|Q8VGR5_MOUSE, tr|A0A0U1RNJ4|A0A0U1RNJ4_MOUSE, tr|Q5SSP0|Q5SSP0_MOUSE, tr|Q8VGT3|Q8VGT3_MOUSE, tr|Q8VF79|Q8VF79_MOUSE, tr|Q8VGT1|Q8VGT1_MOUSE, tr|Q7TRX8|Q7TRX8_MOUSE	tr|A0A3Q1MFI6|A0A3Q1MFI6_BOVIN
OG0000050	sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZB7|MRGRE_MOUSE	tr|F1N4T7|F1N4T7_BOVIN
OG0000055	sp|P06879|PRL_MOUSE	sp|P01239|PRL_BOVIN, sp|P09611|CSH1_BOVIN, tr|F1MYF0|F1MYF0_BOVIN, sp|P12402|PLRP3_BOVIN, tr|F1N6S6|F1N6S6_BOVIN, tr|Q2WGK0|Q2WGK0_BOVIN, tr|Q2PEE7|Q2PEE7_BOVIN, tr|A0A0M6L0P8|A0A0M6L0P8_BOVIN, tr|E1BC34|E1BC34_BOVIN, sp|P05402|PLRP1_BOVIN, sp|P12401|PLRP2_BOVIN, tr|A0A3Q1M6B7|A0A3Q1M6B7_BOVIN, sp|P19159|CSH2_BOVIN, tr|A4PBQ6|A4PBQ6_BOVIN, tr|Q2WG99|Q2WG99_BOVIN, tr|A0A0M6L0Q6|A0A0M6L0Q6_BOVIN, sp|P18917|PLRP4_BOVIN, tr|Q2WFM8|Q2WFM8_BOVIN
OG0000058	tr|Q3UW09|Q3UW09_MOUSE	tr|A0A3Q1MEU2|A0A3Q1MEU2_BOVIN, tr|E1B9A5|E1B9A5_BOVIN, sp|Q28201|TKDP1_BOVIN, tr|G3MZM4|G3MZM4_BOVIN, tr|Q9N0X7|Q9N0X7_BOVIN, tr|F1MNL9|F1MNL9_BOVIN, tr|G3MYT1|G3MYT1_BOVIN, tr|A0A3Q1LPM0|A0A3Q1LPM0_BOVIN, tr|A0A3Q1M0F4|A0A3Q1M0F4_BOVIN, sp|P04815|BPT2_BOVIN, sp|P00974|BPT1_BOVIN, tr|A0A3Q1N4Y4|A0A3Q1N4Y4_BOVIN, tr|F1MNL7|F1MNL7_BOVIN, sp|P00975|IBPS_BOVIN, tr|A0A3Q1M7A0|A0A3Q1M7A0_BOVIN, tr|A0A3Q1N1B0|A0A3Q1N1B0_BOVIN, sp|P00976|IBPC_BOVIN
OG0000059	sp|Q9D6F9|TBB4A_MOUSE	sp|Q3ZBU7|TBB4A_BOVIN
OG0000059	sp|P68372|TBB4B_MOUSE	sp|Q3MHM5|TBB4B_BOVIN
OG0000059	sp|P99024|TBB5_MOUSE	sp|Q2KJD0|TBB5_BOVIN
OG0000059	sp|Q7TMM9|TBB2A_MOUSE	tr|E1BJB1|E1BJB1_BOVIN
OG0000059	sp|Q9CWF2|TBB2B_MOUSE	sp|Q6B856|TBB2B_BOVIN
OG0000059	sp|Q922F4|TBB6_MOUSE	sp|Q2HJ81|TBB6_BOVIN
OG0000059	sp|Q9ERD7|TBB3_MOUSE	sp|Q2T9S0|TBB3_BOVIN
OG0000059	sp|A2AQ07|TBB1_MOUSE	tr|A0A3Q1LNI7|A0A3Q1LNI7_BOVIN, tr|A0A3Q1M442|A0A3Q1M442_BOVIN
OG0000060	sp|Q9WTU3|SCN8A_MOUSE	tr|A0A3Q1NE86|A0A3Q1NE86_BOVIN
OG0000060	sp|Q9ER60|SCN4A_MOUSE	tr|E1B9X0|E1B9X0_BOVIN
OG0000060	sp|Q9JJV9|SCN5A_MOUSE	tr|F1MHP0|F1MHP0_BOVIN
OG0000060	sp|Q9R053|SCNBA_MOUSE	tr|E1BHM6|E1BHM6_BOVIN
OG0000060	sp|Q6QIY3|SCNAA_MOUSE	tr|G3MYM1|G3MYM1_BOVIN
OG0000060	sp|Q62205|SCN9A_MOUSE	tr|M0QVY7|M0QVY7_BOVIN
OG0000060	sp|A2APX8|SCN1A_MOUSE	tr|M0QW12|M0QW12_BOVIN
OG0000060	sp|B1AWN6|SCN2A_MOUSE	tr|E1BHR8|E1BHR8_BOVIN
OG0000060	sp|A2ASI5|SCN3A_MOUSE	tr|E1B9G2|E1B9G2_BOVIN
OG0000061	tr|Q8VGK4|Q8VGK4_MOUSE, tr|Q8VGL0|Q8VGL0_MOUSE, tr|Q8VFP9|Q8VFP9_MOUSE, tr|Q8VGJ7|Q8VGJ7_MOUSE, tr|Q8VGK8|Q8VGK8_MOUSE, tr|Q8VGK6|Q8VGK6_MOUSE, tr|Q8VGK2|Q8VGK2_MOUSE, tr|Q8VGK7|Q8VGK7_MOUSE, tr|Q8VGK9|Q8VGK9_MOUSE, sp|Q8VGK5|OLF50_MOUSE, tr|Q8VGK3|Q8VGK3_MOUSE, tr|Q8VGJ9|Q8VGJ9_MOUSE, tr|Q8VFP8|Q8VFP8_MOUSE, sp|Q60879|OLF3_MOUSE, tr|Q8VGG9|Q8VGG9_MOUSE, tr|Q8VGH1|Q8VGH1_MOUSE, tr|Q8VGH0|Q8VGH0_MOUSE	tr|E1BLN9|E1BLN9_BOVIN
OG0000062	tr|Q7TQT2|Q7TQT2_MOUSE, tr|Q8VFA8|Q8VFA8_MOUSE, tr|Q7TQT3|Q7TQT3_MOUSE, tr|Q7TQT5|Q7TQT5_MOUSE, tr|Q7TQT7|Q7TQT7_MOUSE, tr|Q7TQT6|Q7TQT6_MOUSE, tr|Q7TQT4|Q7TQT4_MOUSE, tr|Q8VFA3|Q8VFA3_MOUSE, tr|Q8VFA9|Q8VFA9_MOUSE, tr|Q8VGX0|Q8VGX0_MOUSE, tr|Q8VGW9|Q8VGW9_MOUSE, tr|Q8VFA4|Q8VFA4_MOUSE, tr|Q7TQT1|Q7TQT1_MOUSE, tr|Q7TQT0|Q7TQT0_MOUSE, tr|Q8VFA6|Q8VFA6_MOUSE, tr|Q8VFA7|Q8VFA7_MOUSE, sp|Q60883|OLF10_MOUSE	tr|E1BH57|E1BH57_BOVIN
OG0000066	sp|P63268|ACTH_MOUSE	sp|Q5E9B5|ACTH_BOVIN
OG0000066	sp|P62737|ACTA_MOUSE	sp|P62739|ACTA_BOVIN
OG0000066	sp|P68134|ACTS_MOUSE	sp|P68138|ACTS_BOVIN
OG0000066	sp|P68033|ACTC_MOUSE	sp|Q3ZC07|ACTC_BOVIN
OG0000066	sp|P63260|ACTG_MOUSE	sp|P63258|ACTG_BOVIN
OG0000066	sp|P60710|ACTB_MOUSE	sp|P60712|ACTB_BOVIN
OG0000066	sp|Q8BFZ3|ACTBL_MOUSE	tr|A0A3Q1NKP5|A0A3Q1NKP5_BOVIN
OG0000066	tr|D3YYH9|D3YYH9_MOUSE, sp|A2AKE7|ACL10_MOUSE	tr|E1BJF5|E1BJF5_BOVIN
OG0000068	tr|Q7TR20|Q7TR20_MOUSE	tr|F1MSZ3|F1MSZ3_BOVIN
OG0000068	tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR17|Q7TR17_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2AV13|A2AV13_MOUSE	tr|F1MWN9|F1MWN9_BOVIN
OG0000068	tr|Q0VB29|Q0VB29_MOUSE, tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|A2AUS6|A2AUS6_MOUSE	tr|A0A3Q1LWQ8|A0A3Q1LWQ8_BOVIN
OG0000072	sp|E9Q5K4|CP2CN_MOUSE, sp|Q91W64|CP270_MOUSE, tr|Q5GLZ0|Q5GLZ0_MOUSE, tr|Q148B1|Q148B1_MOUSE, sp|Q9D816|CP255_MOUSE, sp|P56656|CP239_MOUSE, sp|P56655|CP238_MOUSE, sp|Q64458|CP2CT_MOUSE, sp|P56654|CP237_MOUSE, sp|Q91X77|CY250_MOUSE, sp|Q6XVG2|CP254_MOUSE, tr|E9PXC3|E9PXC3_MOUSE, tr|Q569X9|Q569X9_MOUSE, tr|K7N6C2|K7N6C2_MOUSE, sp|P56657|CP240_MOUSE	tr|F1MLV5|F1MLV5_BOVIN
OG0000074	tr|A0A075B5J9|A0A075B5J9_MOUSE, tr|A0A075B5K3|A0A075B5K3_MOUSE, tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE, tr|A0A140T8P9|A0A140T8P9_MOUSE, sp|P01637|KV5A5_MOUSE, sp|P01638|KV5A6_MOUSE, tr|A0A140T8N8|A0A140T8N8_MOUSE, sp|P01641|KV5A8_MOUSE, tr|A0A075B5J7|A0A075B5J7_MOUSE, tr|A0A075B5K7|A0A075B5K7_MOUSE, tr|A0A075B683|A0A075B683_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE, tr|A0A0G2JET4|A0A0G2JET4_MOUSE, tr|A0A075B6D5|A0A075B6D5_MOUSE	tr|A0A3Q1LZD5|A0A3Q1LZD5_BOVIN, tr|G3N033|G3N033_BOVIN
