Orthogroup	Mus_musculus	Capra_hircus
OG0000034	tr|Q8C0S2|Q8C0S2_MOUSE, tr|Q923Q8|Q923Q8_MOUSE, tr|Q8VEU4|Q8VEU4_MOUSE, tr|Q923Q6|Q923Q6_MOUSE, tr|Q7TRJ8|Q7TRJ8_MOUSE, tr|Q8VGF0|Q8VGF0_MOUSE, tr|Q7TRJ1|Q7TRJ1_MOUSE, tr|Q8VF25|Q8VF25_MOUSE, tr|Q7TRJ0|Q7TRJ0_MOUSE	tr|A0A452DLU7|A0A452DLU7_CAPHI
OG0000034	tr|A0A0U1RPZ4|A0A0U1RPZ4_MOUSE, tr|Q7TS06|Q7TS06_MOUSE, tr|F7CWV4|F7CWV4_MOUSE, tr|Q7TS03|Q7TS03_MOUSE, tr|Q8VFN8|Q8VFN8_MOUSE, tr|Q7TS02|Q7TS02_MOUSE, tr|Q7TS07|Q7TS07_MOUSE, tr|F8VQ84|F8VQ84_MOUSE, tr|Q7TS08|Q7TS08_MOUSE, tr|Q7TS04|Q7TS04_MOUSE, tr|Q7TS05|Q7TS05_MOUSE, tr|B2RVZ1|B2RVZ1_MOUSE, tr|Q7TS10|Q7TS10_MOUSE, tr|Q14AJ9|Q14AJ9_MOUSE	tr|A0A452E8H0|A0A452E8H0_CAPHI
OG0000039	sp|Q09143|CTR1_MOUSE	tr|A0A452EYM5|A0A452EYM5_CAPHI
OG0000039	sp|P70423|CTR3_MOUSE	tr|A0A452EEP2|A0A452EEP2_CAPHI
OG0000039	tr|E9PWS4|E9PWS4_MOUSE	tr|A0A452E1L9|A0A452E1L9_CAPHI, tr|A0A452FTM1|A0A452FTM1_CAPHI, tr|A0A452DM13|A0A452DM13_CAPHI, tr|A0A452FAX5|A0A452FAX5_CAPHI, tr|A0A452EMK2|A0A452EMK2_CAPHI, tr|A0A452ECQ8|A0A452ECQ8_CAPHI, tr|A0A452DL12|A0A452DL12_CAPHI, tr|A0A452EQ34|A0A452EQ34_CAPHI, tr|A0A452EHE0|A0A452EHE0_CAPHI, tr|A0A452G892|A0A452G892_CAPHI, tr|A0A452F3R0|A0A452F3R0_CAPHI, tr|A0A452DMG5|A0A452DMG5_CAPHI, tr|A0A452GA26|A0A452GA26_CAPHI, tr|A0A452E539|A0A452E539_CAPHI, tr|A0A452E2D6|A0A452E2D6_CAPHI, tr|A0A452EAZ2|A0A452EAZ2_CAPHI, tr|A0A452DKD4|A0A452DKD4_CAPHI, tr|A0A452G966|A0A452G966_CAPHI
OG0000040	tr|Q8R296|Q8R296_MOUSE	tr|A0A452F6D9|A0A452F6D9_CAPHI
OG0000040	tr|A0A494B9T5|A0A494B9T5_MOUSE, tr|Q05A06|Q05A06_MOUSE, tr|Q8R294|Q8R294_MOUSE, tr|Q8R298|Q8R298_MOUSE, tr|Q8VIC0|Q8VIC0_MOUSE, tr|Q8R299|Q8R299_MOUSE, tr|E9Q2N4|E9Q2N4_MOUSE, tr|Q8K4I0|Q8K4I0_MOUSE, tr|E9Q0V3|E9Q0V3_MOUSE, tr|Q8VIC1|Q8VIC1_MOUSE, tr|G5E8C1|G5E8C1_MOUSE, tr|Q8R2A2|Q8R2A2_MOUSE, tr|E9PWK2|E9PWK2_MOUSE, tr|Q8R2A3|Q8R2A3_MOUSE, tr|Q8R2A5|Q8R2A5_MOUSE, tr|Q8R2A9|Q8R2A9_MOUSE, tr|A2RTT5|A2RTT5_MOUSE, tr|Q8R2A8|Q8R2A8_MOUSE, tr|Q8R2A7|Q8R2A7_MOUSE, tr|A0A3B2W3R4|A0A3B2W3R4_MOUSE	tr|A0A452FM40|A0A452FM40_CAPHI
OG0000045	sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|P02762|MUP6_MOUSE, sp|P11588|MUP1_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|Q5FW60|MUP20_MOUSE, sp|P04939|MUP3_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P11591|MUP5_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, tr|A2BHR2|A2BHR2_MOUSE	tr|A0A452EHR9|A0A452EHR9_CAPHI
OG0000046	sp|P70412|CUZD1_MOUSE, sp|Q60997|DMBT1_MOUSE	tr|A0A452E6T8|A0A452E6T8_CAPHI, tr|A0A452ERU6|A0A452ERU6_CAPHI, tr|A0A452EC83|A0A452EC83_CAPHI, tr|A0A452EQA3|A0A452EQA3_CAPHI, tr|A0A452G5K4|A0A452G5K4_CAPHI, tr|A0A452EFI5|A0A452EFI5_CAPHI, tr|A0A452EGB6|A0A452EGB6_CAPHI, tr|A0A452DWG7|A0A452DWG7_CAPHI, tr|A0A452EIZ8|A0A452EIZ8_CAPHI, tr|A0A452F725|A0A452F725_CAPHI, tr|A0A452ED16|A0A452ED16_CAPHI, tr|A0A452EIM9|A0A452EIM9_CAPHI, tr|A0A452FV05|A0A452FV05_CAPHI, tr|A0A452EKI1|A0A452EKI1_CAPHI, tr|A0A452E769|A0A452E769_CAPHI, tr|A0A452ETI2|A0A452ETI2_CAPHI, tr|A0A452FMF6|A0A452FMF6_CAPHI, tr|A0A452EDE6|A0A452EDE6_CAPHI, tr|A0A452EEH9|A0A452EEH9_CAPHI, tr|A0A452EDT6|A0A452EDT6_CAPHI
OG0000050	tr|F8VQG4|F8VQG4_MOUSE	tr|A0A452FZ18|A0A452FZ18_CAPHI, tr|A0A452EXT6|A0A452EXT6_CAPHI, tr|A0A452F7P4|A0A452F7P4_CAPHI, tr|A0A452FFT1|A0A452FFT1_CAPHI, tr|A0A452F814|A0A452F814_CAPHI, tr|A0A452DVT7|A0A452DVT7_CAPHI, tr|A0A452F9S2|A0A452F9S2_CAPHI, tr|A0A452FX60|A0A452FX60_CAPHI, tr|A0A452FL66|A0A452FL66_CAPHI, tr|A0A452FXH5|A0A452FXH5_CAPHI, tr|A0A452ECT8|A0A452ECT8_CAPHI, tr|A0A452F6Y2|A0A452F6Y2_CAPHI, tr|A0A452E9L2|A0A452E9L2_CAPHI, tr|A0A452E2Q2|A0A452E2Q2_CAPHI, tr|A0A452E5B3|A0A452E5B3_CAPHI, tr|A0A452DLH6|A0A452DLH6_CAPHI, tr|A0A452FKQ5|A0A452FKQ5_CAPHI, tr|A0A452F3G0|A0A452F3G0_CAPHI, tr|A0A452E047|A0A452E047_CAPHI, tr|A0A452F9T0|A0A452F9T0_CAPHI
OG0000051	sp|Q91ZB7|MRGRE_MOUSE, sp|Q91ZB5|MRGRG_MOUSE, sp|Q91ZC0|MRGB4_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91WW5|MRGA1_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW2|MRGA4_MOUSE	tr|A0A452FE44|A0A452FE44_CAPHI
OG0000052	tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE	tr|A0A452G484|A0A452G484_CAPHI
OG0000055	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A452F020|A0A452F020_CAPHI
OG0000055	tr|G3UW88|G3UW88_MOUSE	tr|A0A452DXE9|A0A452DXE9_CAPHI, tr|A0A452F5B4|A0A452F5B4_CAPHI, tr|A0A452DYU1|A0A452DYU1_CAPHI, tr|A0A452DPK7|A0A452DPK7_CAPHI, tr|A0A452F7J7|A0A452F7J7_CAPHI, tr|A0A452DMW7|A0A452DMW7_CAPHI, tr|A0A452EKI8|A0A452EKI8_CAPHI, tr|A0A452FTF2|A0A452FTF2_CAPHI, tr|A0A452E8F1|A0A452E8F1_CAPHI, tr|A0A452F4H5|A0A452F4H5_CAPHI, tr|A0A452E8T7|A0A452E8T7_CAPHI, tr|A0A452DK80|A0A452DK80_CAPHI
OG0000055	sp|Q9CWV4|MAGBG_MOUSE	tr|A0A452ENA6|A0A452ENA6_CAPHI, tr|A0A452DP81|A0A452DP81_CAPHI, tr|A0A452DPZ1|A0A452DPZ1_CAPHI, tr|A0A452FJ18|A0A452FJ18_CAPHI
OG0000056	sp|Q8VED5|K2C79_MOUSE	tr|A0A452ENV4|A0A452ENV4_CAPHI
OG0000056	sp|Q6NXH9|K2C73_MOUSE	tr|A0A452FQ73|A0A452FQ73_CAPHI
OG0000056	sp|Q9R0H5|K2C71_MOUSE	tr|A0A452EP69|A0A452EP69_CAPHI
OG0000056	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A452GA47|A0A452GA47_CAPHI, tr|A0A452ELA7|A0A452ELA7_CAPHI
OG0000058	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A452F699|A0A452F699_CAPHI
OG0000058	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A452DTG2|A0A452DTG2_CAPHI, tr|A0A452DYK4|A0A452DYK4_CAPHI, tr|A0A452DU71|A0A452DU71_CAPHI
OG0000058	tr|Q8VFQ1|Q8VFQ1_MOUSE	tr|A0A452E2T4|A0A452E2T4_CAPHI, tr|A0A452EES7|A0A452EES7_CAPHI, tr|A0A452EXQ9|A0A452EXQ9_CAPHI
