Orthogroup	Mus_musculus	Mesocricetus_auratus
OG0000021	tr|Q7TRB9|Q7TRB9_MOUSE	tr|A0A1U7QMS7|A0A1U7QMS7_MESAU
OG0000021	tr|E9PVZ7|E9PVZ7_MOUSE	tr|A0A1U7QMS1|A0A1U7QMS1_MESAU, tr|A0A3Q0CNV3|A0A3Q0CNV3_MESAU
OG0000021	sp|Q60886|OL147_MOUSE	tr|A0A3Q0CP72|A0A3Q0CP72_MESAU
OG0000023	sp|P05531|XLR_MOUSE, tr|Q9D6C3|Q9D6C3_MOUSE, tr|Q9DAC5|Q9DAC5_MOUSE, tr|A0A087WNW4|A0A087WNW4_MOUSE, tr|A0A087WP35|A0A087WP35_MOUSE, tr|A0A087WP28|A0A087WP28_MOUSE, tr|A0A087WRK3|A0A087WRK3_MOUSE, tr|A0A087WP44|A0A087WP44_MOUSE, tr|A0A087WR14|A0A087WR14_MOUSE, tr|A0A087WSS9|A0A087WSS9_MOUSE, tr|A0A087WNW5|A0A087WNW5_MOUSE, tr|A0A087WRF5|A0A087WRF5_MOUSE, tr|A0A087WRT9|A0A087WRT9_MOUSE, tr|A0A087WRL2|A0A087WRL2_MOUSE, tr|Q810R0|Q810R0_MOUSE, tr|A0A087WQC7|A0A087WQC7_MOUSE, tr|A0A087WPJ9|A0A087WPJ9_MOUSE, tr|A0A087WQA3|A0A087WQA3_MOUSE, tr|A0A087WRP6|A0A087WRP6_MOUSE, tr|A0A087WS79|A0A087WS79_MOUSE, tr|A0A0A6YX04|A0A0A6YX04_MOUSE, tr|A0A087WR99|A0A087WR99_MOUSE, tr|A0A087WSS0|A0A087WSS0_MOUSE, tr|A0A087WPP3|A0A087WPP3_MOUSE, tr|A0A087WS97|A0A087WS97_MOUSE, tr|A0A087WQL3|A0A087WQL3_MOUSE, tr|A0A0A6YW38|A0A0A6YW38_MOUSE, tr|A0A087WQ24|A0A087WQ24_MOUSE, tr|A0A087WPA5|A0A087WPA5_MOUSE	tr|A0A3Q0CBA9|A0A3Q0CBA9_MESAU
OG0000024	tr|A0A075B5N4|A0A075B5N4_MOUSE, tr|A0A140T8M4|A0A140T8M4_MOUSE, tr|A0A075B5N3|A0A075B5N3_MOUSE, tr|A0A075B5N6|A0A075B5N6_MOUSE, tr|A0A0G2JGT0|A0A0G2JGT0_MOUSE, tr|A0A0G2JDU0|A0A0G2JDU0_MOUSE, tr|A0A0B4J1J3|A0A0B4J1J3_MOUSE, tr|A0A075B5N5|A0A075B5N5_MOUSE, tr|A0A140T8P7|A0A140T8P7_MOUSE, tr|A0A140T8M3|A0A140T8M3_MOUSE, tr|A0A140T8P5|A0A140T8P5_MOUSE, sp|P01634|KV5A2_MOUSE, tr|A0A075B5N2|A0A075B5N2_MOUSE, tr|A0A140T8P2|A0A140T8P2_MOUSE, sp|P01632|KV1A1_MOUSE, tr|A0A0B4J1J2|A0A0B4J1J2_MOUSE, tr|A0A140T8N4|A0A140T8N4_MOUSE, tr|A0A0B4J1J1|A0A0B4J1J1_MOUSE, sp|P01642|KV5A9_MOUSE, tr|A0A140T8M5|A0A140T8M5_MOUSE, tr|A0A140T8N5|A0A140T8N5_MOUSE, tr|A0A075B5N7|A0A075B5N7_MOUSE, sp|P84750|KVM5_MOUSE, tr|A0A140T8P1|A0A140T8P1_MOUSE, sp|P01633|KV5A1_MOUSE, tr|A0A140T8N7|A0A140T8N7_MOUSE, tr|A0A140T8N9|A0A140T8N9_MOUSE	tr|A0A1U7QWF3|A0A1U7QWF3_MESAU
OG0000025	tr|E9Q0F0|E9Q0F0_MOUSE	tr|A0A3Q0CMK5|A0A3Q0CMK5_MESAU
OG0000025	sp|Q3TTY5|K22E_MOUSE	tr|A0A3Q0CKH2|A0A3Q0CKH2_MESAU
OG0000025	sp|P04104|K2C1_MOUSE	tr|A0A1U7QJF3|A0A1U7QJF3_MESAU
OG0000025	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A1U7Q9U3|A0A1U7Q9U3_MESAU
OG0000025	sp|Q8VED5|K2C79_MOUSE	tr|A0A1U7Q852|A0A1U7Q852_MESAU
OG0000025	tr|Q6IFZ8|Q6IFZ8_MOUSE	tr|A0A3Q0CJR9|A0A3Q0CJR9_MESAU
OG0000025	sp|Q9Z331|K2C6B_MOUSE, sp|P50446|K2C6A_MOUSE	tr|A0A3Q0CFL1|A0A3Q0CFL1_MESAU
OG0000025	sp|Q922U2|K2C5_MOUSE	tr|A0A1U7Q9T8|A0A1U7Q9T8_MESAU
OG0000025	sp|Q8BGZ7|K2C75_MOUSE	tr|A0A1U8BGE9|A0A1U8BGE9_MESAU
OG0000025	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|A0A1U7Q843|A0A1U7Q843_MESAU
OG0000025	sp|P07744|K2C4_MOUSE	tr|A0A3Q0CK07|A0A3Q0CK07_MESAU
OG0000025	sp|Q3UV17|K22O_MOUSE	tr|A0A3Q0CLX4|A0A3Q0CLX4_MESAU, tr|A0A1U7Q424|A0A1U7Q424_MESAU
OG0000026	tr|Q7TRG0|Q7TRG0_MOUSE	tr|A0A1U7RHK2|A0A1U7RHK2_MESAU
OG0000026	tr|Q8VFF6|Q8VFF6_MOUSE, tr|Q7TRG7|Q7TRG7_MOUSE, tr|Q8VFM8|Q8VFM8_MOUSE, tr|Q8VFF4|Q8VFF4_MOUSE, tr|Q8VET8|Q8VET8_MOUSE, tr|Q7TRG2|Q7TRG2_MOUSE, tr|Q8VFJ4|Q8VFJ4_MOUSE, tr|Q8VFJ3|Q8VFJ3_MOUSE, tr|Q8VFJ5|Q8VFJ5_MOUSE, tr|A0A1D5RMH6|A0A1D5RMH6_MOUSE, tr|Q7TRF8|Q7TRF8_MOUSE, tr|Q8VFF1|Q8VFF1_MOUSE, tr|Q8VFF2|Q8VFF2_MOUSE, tr|Q8VGX1|Q8VGX1_MOUSE, tr|Q7TRG8|Q7TRG8_MOUSE, tr|Q7TRG9|Q7TRG9_MOUSE, tr|Q8VEY9|Q8VEY9_MOUSE, sp|Q7TRF3|OL867_MOUSE, tr|E9PVX1|E9PVX1_MOUSE, tr|Q8VGB8|Q8VGB8_MOUSE, tr|Q8VGG6|Q8VGG6_MOUSE, tr|A0A2I3BPT4|A0A2I3BPT4_MOUSE, tr|Q7TRG4|Q7TRG4_MOUSE	tr|A0A1U8CRL0|A0A1U8CRL0_MESAU
OG0000032	tr|Q7TR10|Q7TR10_MOUSE, tr|Q8VF98|Q8VF98_MOUSE	tr|A0A1U7Q7D8|A0A1U7Q7D8_MESAU, tr|A0A1U7Q5Q5|A0A1U7Q5Q5_MESAU, tr|A0A1U8CKF2|A0A1U8CKF2_MESAU
OG0000032	tr|Q8VGN6|Q8VGN6_MOUSE	tr|A0A1U8C6Z9|A0A1U8C6Z9_MESAU
OG0000032	tr|Q8VGP0|Q8VGP0_MOUSE	tr|A0A1U8C791|A0A1U8C791_MESAU
OG0000032	tr|Q8VGN4|Q8VGN4_MOUSE	tr|A0A1U7Q5N9|A0A1U7Q5N9_MESAU
OG0000032	tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE	tr|A0A1U7Q373|A0A1U7Q373_MESAU, tr|A0A1U7Q320|A0A1U7Q320_MESAU
OG0000032	tr|Q8VGN9|Q8VGN9_MOUSE	tr|A0A1U8CHR1|A0A1U8CHR1_MESAU
OG0000032	sp|Q60878|OL140_MOUSE	tr|A0A1U7QCW7|A0A1U7QCW7_MESAU
OG0000032	tr|Q9R0K2|Q9R0K2_MOUSE	tr|A0A1U7QFF2|A0A1U7QFF2_MESAU
OG0000033	tr|Q8VGM8|Q8VGM8_MOUSE	tr|A0A1U8CHQ5|A0A1U8CHQ5_MESAU
OG0000033	tr|A2AVK5|A2AVK5_MOUSE	tr|A0A1U7QFG2|A0A1U7QFG2_MESAU
OG0000033	tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE	tr|A0A1U7QC78|A0A1U7QC78_MESAU, tr|A0A1U7QER0|A0A1U7QER0_MESAU, tr|A0A1U7QFG7|A0A1U7QFG7_MESAU, tr|A0A1U7Q5P2|A0A1U7Q5P2_MESAU, tr|A0A1U7Q374|A0A1U7Q374_MESAU, tr|A0A1U7QCX2|A0A1U7QCX2_MESAU, tr|A0A1U7Q5B9|A0A1U7Q5B9_MESAU, tr|A0A1U7QC82|A0A1U7QC82_MESAU, tr|A0A1U7Q321|A0A1U7Q321_MESAU, tr|A0A1U8CIY5|A0A1U8CIY5_MESAU, tr|A0A1U7Q323|A0A1U7Q323_MESAU, tr|A0A1U8C7Q5|A0A1U8C7Q5_MESAU, tr|A0A1U7QFF7|A0A1U7QFF7_MESAU, tr|A0A1U7Q7C6|A0A1U7Q7C6_MESAU, tr|A0A1U7Q5B7|A0A1U7Q5B7_MESAU, tr|A0A1U7QCY2|A0A1U7QCY2_MESAU, tr|A0A1U7QCX7|A0A1U7QCX7_MESAU, tr|A0A1U8CIL9|A0A1U8CIL9_MESAU
OG0000034	tr|Q7TRR4|Q7TRR4_MOUSE	tr|A0A3Q0CWS2|A0A3Q0CWS2_MESAU
OG0000034	tr|Q8VGV8|Q8VGV8_MOUSE	tr|A0A1U7QHL6|A0A1U7QHL6_MESAU
OG0000034	tr|F8VQ26|F8VQ26_MOUSE, tr|L7N1Y4|L7N1Y4_MOUSE	tr|A0A1U7QKH2|A0A1U7QKH2_MESAU
OG0000034	tr|A0A1B0GSN5|A0A1B0GSN5_MOUSE, tr|A0A1B0GSE1|A0A1B0GSE1_MOUSE	tr|A0A1U7QWR2|A0A1U7QWR2_MESAU
OG0000034	tr|Q8VGZ9|Q8VGZ9_MOUSE	tr|A0A1U7RHP6|A0A1U7RHP6_MESAU
OG0000034	tr|Q8VF06|Q8VF06_MOUSE	tr|A0A1U8D258|A0A1U8D258_MESAU
OG0000034	tr|Q8VG26|Q8VG26_MOUSE	tr|A0A1U7R7A1|A0A1U7R7A1_MESAU, tr|A0A1U8CQG6|A0A1U8CQG6_MESAU
OG0000034	tr|A0A2I3BPE8|A0A2I3BPE8_MOUSE	tr|A0A3Q0CFU6|A0A3Q0CFU6_MESAU, tr|A0A3Q0CH25|A0A3Q0CH25_MESAU, tr|A0A1U7QKL0|A0A1U7QKL0_MESAU
OG0000035	tr|Q8VGC4|Q8VGC4_MOUSE	tr|A0A1U7QIM0|A0A1U7QIM0_MESAU, tr|A0A1U7QV12|A0A1U7QV12_MESAU, tr|A0A1U7QV07|A0A1U7QV07_MESAU, tr|A0A1U7R2J0|A0A1U7R2J0_MESAU, tr|A0A1U8CBF5|A0A1U8CBF5_MESAU, tr|A0A1U7QIU5|A0A1U7QIU5_MESAU, tr|A0A1U7R2J4|A0A1U7R2J4_MESAU, tr|A0A1U7R5C0|A0A1U7R5C0_MESAU, tr|A0A1U7QSE3|A0A1U7QSE3_MESAU, tr|A0A1U7QV03|A0A1U7QV03_MESAU, tr|A0A1U7R2T4|A0A1U7R2T4_MESAU, tr|A0A1U7QS52|A0A1U7QS52_MESAU, tr|A0A1U7R2S9|A0A1U7R2S9_MESAU, tr|A0A1U7R5B5|A0A1U7R5B5_MESAU, tr|A0A1U7QS57|A0A1U7QS57_MESAU, tr|A0A3Q0D776|A0A3Q0D776_MESAU, tr|A0A3Q0D667|A0A3Q0D667_MESAU, tr|A0A1U7QIL5|A0A1U7QIL5_MESAU, tr|A0A1U7R2J8|A0A1U7R2J8_MESAU, tr|A0A3Q0D276|A0A3Q0D276_MESAU, tr|A0A1U7R5C5|A0A1U7R5C5_MESAU, tr|A0A1U7QS62|A0A1U7QS62_MESAU, tr|A0A1U8C8J2|A0A1U8C8J2_MESAU
OG0000036	tr|A2ANE1|A2ANE1_MOUSE, tr|L7MU37|L7MU37_MOUSE, tr|A2AWM0|A2AWM0_MOUSE, tr|Q4TU90|Q4TU90_MOUSE, tr|B9EJQ9|B9EJQ9_MOUSE, tr|Q9D3I8|Q9D3I8_MOUSE, tr|Q2MDG1|Q2MDG1_MOUSE, tr|Q504P9|Q504P9_MOUSE, tr|Q2MDG0|Q2MDG0_MOUSE, tr|Q9JI43|Q9JI43_MOUSE, tr|Q2MDF7|Q2MDF7_MOUSE, tr|Q2MDF8|Q2MDF8_MOUSE, tr|K7N6P1|K7N6P1_MOUSE, tr|W4VSN9|W4VSN9_MOUSE, tr|L7MUB9|L7MUB9_MOUSE, tr|Q9D4Y3|Q9D4Y3_MOUSE, tr|A2AWL9|A2AWL9_MOUSE, tr|A2A447|A2A447_MOUSE, tr|A2ANE0|A2ANE0_MOUSE, tr|B1APN4|B1APN4_MOUSE, tr|A2A4F1|A2A4F1_MOUSE, tr|A6PW38|A6PW38_MOUSE	tr|A0A1U8CFQ9|A0A1U8CFQ9_MESAU
OG0000038	tr|D3Z7A9|D3Z7A9_MOUSE	tr|A0A3Q0DDW7|A0A3Q0DDW7_MESAU, tr|A0A3Q0DDX4|A0A3Q0DDX4_MESAU, tr|A0A1U8CI44|A0A1U8CI44_MESAU, tr|A0A3Q0DF31|A0A3Q0DF31_MESAU, tr|A0A3Q0DDX9|A0A3Q0DDX9_MESAU, tr|A0A3Q0DE63|A0A3Q0DE63_MESAU, tr|A0A1U8D3K2|A0A1U8D3K2_MESAU, tr|A0A3Q0CHH4|A0A3Q0CHH4_MESAU, tr|A0A3Q0DE08|A0A3Q0DE08_MESAU, tr|A0A3Q0CBL5|A0A3Q0CBL5_MESAU, tr|A0A3Q0DD78|A0A3Q0DD78_MESAU, tr|A0A1U8CKY5|A0A1U8CKY5_MESAU, tr|A0A3Q0DF52|A0A3Q0DF52_MESAU, tr|A0A3Q0DE40|A0A3Q0DE40_MESAU, tr|A0A3Q0DF29|A0A3Q0DF29_MESAU, tr|A0A3Q0DEY7|A0A3Q0DEY7_MESAU, tr|A0A3Q0DF36|A0A3Q0DF36_MESAU, tr|A0A3Q0DD14|A0A3Q0DD14_MESAU, tr|A0A3Q0DE24|A0A3Q0DE24_MESAU, tr|A0A3Q0D9K3|A0A3Q0D9K3_MESAU, tr|A0A1U8CI63|A0A1U8CI63_MESAU
OG0000039	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE	tr|A0A1U8BPX7|A0A1U8BPX7_MESAU
OG0000045	tr|E9PVR6|E9PVR6_MOUSE	tr|A0A1U8BQJ3|A0A1U8BQJ3_MESAU
OG0000045	sp|Q8VIC7|V1R45_MOUSE, sp|Q8R2E6|V1A11_MOUSE, sp|Q8VIC9|V1R43_MOUSE, sp|Q8VBS7|V1R42_MOUSE, sp|Q8VIC6|V1R51_MOUSE, sp|Q9EQ52|V1R48_MOUSE, sp|Q9EQ51|V1R47_MOUSE, sp|Q9EQ48|VN1A8_MOUSE, sp|Q9EP79|V1R52_MOUSE, sp|Q9EPB8|V1R54_MOUSE, sp|Q9EQ45|V1R46_MOUSE, tr|A0A494BA90|A0A494BA90_MOUSE, sp|Q9EQ44|V1R41_MOUSE, sp|Q9EQ46|V1R40_MOUSE, sp|Q9WUF1|V1R49_MOUSE, sp|Q9EP51|V1R50_MOUSE, sp|Q9EQ47|V1R44_MOUSE, sp|Q9EP93|V1R53_MOUSE	tr|A0A1U8C1F8|A0A1U8C1F8_MESAU
OG0000049	sp|Q9JI81|CAT8_MOUSE	tr|A0A1U8CGK8|A0A1U8CGK8_MESAU, tr|A0A1U7R0G3|A0A1U7R0G3_MESAU
OG0000049	tr|Q9ET52|Q9ET52_MOUSE	tr|A0A1U7QGH5|A0A1U7QGH5_MESAU
OG0000049	sp|Q9JIA9|CATR_MOUSE	tr|A0A1U8C5Q9|A0A1U8C5Q9_MESAU
OG0000049	sp|Q9R014|CATJ_MOUSE	tr|A0A1U7QSX9|A0A1U7QSX9_MESAU
OG0000049	sp|P06797|CATL1_MOUSE	tr|Q812A7|Q812A7_MESAU
OG0000049	sp|Q80UB0|TEST2_MOUSE, tr|Q3ULP7|Q3ULP7_MOUSE, tr|E9Q623|E9Q623_MOUSE	tr|A0A1U7QQ15|A0A1U7QQ15_MESAU, tr|A0A1U7R0F9|A0A1U7R0F9_MESAU
OG0000050	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A3Q0CL86|A0A3Q0CL86_MESAU
