Orthogroup	Mus_musculus	Pan_troglodytes
OG0000012	tr|Q9EQA9|Q9EQA9_MOUSE, tr|E9Q843|E9Q843_MOUSE, tr|K7N678|K7N678_MOUSE, sp|P34985|OL143_MOUSE, tr|Q9EQB2|Q9EQB2_MOUSE, tr|L7N210|L7N210_MOUSE, tr|A0A1L1SRZ8|A0A1L1SRZ8_MOUSE, tr|Q7TRD6|Q7TRD6_MOUSE, tr|E9Q891|E9Q891_MOUSE, tr|L7N1Z5|L7N1Z5_MOUSE, tr|E9PV37|E9PV37_MOUSE, tr|E9PW59|E9PW59_MOUSE, tr|E9Q413|E9Q413_MOUSE, tr|Q7TRC0|Q7TRC0_MOUSE, tr|Q8VG76|Q8VG76_MOUSE, tr|A0A1L1SSS5|A0A1L1SSS5_MOUSE, tr|Q7TRC7|Q7TRC7_MOUSE, tr|A0A140T8K0|A0A140T8K0_MOUSE, tr|E9Q716|E9Q716_MOUSE, tr|K7N5P3|K7N5P3_MOUSE, tr|E9Q6Z7|E9Q6Z7_MOUSE, tr|Q8VG53|Q8VG53_MOUSE, tr|Q7TRC3|Q7TRC3_MOUSE, tr|Q7TRC9|Q7TRC9_MOUSE, tr|L7N1X5|L7N1X5_MOUSE, tr|E9PVZ7|E9PVZ7_MOUSE, tr|Q7TRB9|Q7TRB9_MOUSE, tr|Q8VG50|Q8VG50_MOUSE, tr|Q7TRE5|Q7TRE5_MOUSE, tr|Q7TRE6|Q7TRE6_MOUSE, tr|Q7TRE4|Q7TRE4_MOUSE, sp|Q60882|OL145_MOUSE, tr|Q8VF62|Q8VF62_MOUSE, tr|Q9EQA6|Q9EQA6_MOUSE, tr|Q9EQA5|Q9EQA5_MOUSE, tr|Q7TRD9|Q7TRD9_MOUSE, tr|Q8VG90|Q8VG90_MOUSE, tr|Q7TRD1|Q7TRD1_MOUSE, tr|Q7TRE1|Q7TRE1_MOUSE, tr|Q7TRE0|Q7TRE0_MOUSE, tr|Q8VF64|Q8VF64_MOUSE, tr|Q8VF63|Q8VF63_MOUSE, tr|L7N1Y6|L7N1Y6_MOUSE	tr|A0A2I3T2S8|A0A2I3T2S8_PANTR
OG0000013	sp|Q6P9Y7|ZFP82_MOUSE	tr|H2QG63|H2QG63_PANTR
OG0000013	sp|Q60585|ZFP30_MOUSE	tr|A0A2J8QIH1|A0A2J8QIH1_PANTR
OG0000013	sp|Q3V080|ZN583_MOUSE	tr|H2R0B8|H2R0B8_PANTR, tr|H2R670|H2R670_PANTR, tr|A0A2I3T4X6|A0A2I3T4X6_PANTR, tr|A0A2I3T5Y1|A0A2I3T5Y1_PANTR, tr|H2QG71|H2QG71_PANTR, tr|H2QG72|H2QG72_PANTR, tr|A0A2J8JLI9|A0A2J8JLI9_PANTR, tr|H2QFW7|H2QFW7_PANTR, tr|A0A2J8JLI6|A0A2J8JLI6_PANTR
OG0000013	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|H2QG70|H2QG70_PANTR, tr|H2R2T4|H2R2T4_PANTR
OG0000013	tr|A0A1B0GSS6|A0A1B0GSS6_MOUSE	tr|A0A2J8JLK3|A0A2J8JLK3_PANTR
OG0000013	tr|Q8VCI1|Q8VCI1_MOUSE	tr|H2QG64|H2QG64_PANTR, sp|Q6J6I6|ZN566_PANTR
OG0000013	tr|Q80ZX2|Q80ZX2_MOUSE, tr|Q8R2Q3|Q8R2Q3_MOUSE	tr|H2QG11|H2QG11_PANTR
OG0000018	tr|Q8VGX6|Q8VGX6_MOUSE	tr|A0A2J8P6Q3|A0A2J8P6Q3_PANTR
OG0000018	tr|E9Q554|E9Q554_MOUSE	tr|H2R5M2|H2R5M2_PANTR
OG0000018	tr|E9PXW4|E9PXW4_MOUSE, tr|Q8VG25|Q8VG25_MOUSE, tr|A0A1B0GST0|A0A1B0GST0_MOUSE	tr|H2R5M3|H2R5M3_PANTR
OG0000018	tr|Q8VF02|Q8VF02_MOUSE, tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|E9PYB4|E9PYB4_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|L7N462|L7N462_MOUSE, tr|K7N609|K7N609_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE, tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|Q8VH11|Q8VH11_MOUSE, tr|Q9EQQ7|Q9EQQ7_MOUSE, tr|K7N6B1|K7N6B1_MOUSE, tr|Q8VH20|Q8VH20_MOUSE	tr|H2Q2Z8|H2Q2Z8_PANTR
OG0000019	tr|Q8VG45|Q8VG45_MOUSE	tr|H2Q654|H2Q654_PANTR
OG0000019	tr|Q8VEX8|Q8VEX8_MOUSE, tr|Q7TRH5|Q7TRH5_MOUSE, tr|Q8VGI8|Q8VGI8_MOUSE, tr|Q7TRH8|Q7TRH8_MOUSE, tr|Q7TRH9|Q7TRH9_MOUSE, tr|Q8VGJ3|Q8VGJ3_MOUSE, tr|Q8VFI0|Q8VFI0_MOUSE, tr|A0A0N4SVC3|A0A0N4SVC3_MOUSE, tr|Q7TRI5|Q7TRI5_MOUSE, tr|Q7TRI4|Q7TRI4_MOUSE, tr|Q7TRI3|Q7TRI3_MOUSE, tr|Q7TRI1|Q7TRI1_MOUSE, tr|Q8VFI3|Q8VFI3_MOUSE, tr|A0A1L1SV77|A0A1L1SV77_MOUSE, tr|Q8VGJ2|Q8VGJ2_MOUSE, tr|Q8VFH8|Q8VFH8_MOUSE	tr|H2R7F6|H2R7F6_PANTR
OG0000019	tr|Q8VFU0|Q8VFU0_MOUSE, tr|Q7TRH4|Q7TRH4_MOUSE, tr|Q8VG64|Q8VG64_MOUSE, tr|Q8VFZ9|Q8VFZ9_MOUSE, tr|Q8VEU1|Q8VEU1_MOUSE, tr|Q8VFI4|Q8VFI4_MOUSE, tr|Q8VFI2|Q8VFI2_MOUSE, tr|Q8VG46|Q8VG46_MOUSE, tr|Q8VFI1|Q8VFI1_MOUSE, tr|E9PUS9|E9PUS9_MOUSE, tr|Q7TRI2|Q7TRI2_MOUSE, tr|Q7TRH7|Q7TRH7_MOUSE	tr|H2R7F5|H2R7F5_PANTR
OG0000022	tr|Q8VGN9|Q8VGN9_MOUSE, tr|Q8VGN4|Q8VGN4_MOUSE, tr|Q8VG63|Q8VG63_MOUSE, tr|Q8VFB0|Q8VFB0_MOUSE, tr|Q8VGN2|Q8VGN2_MOUSE, tr|Q7TQZ8|Q7TQZ8_MOUSE, tr|Q8VGN0|Q8VGN0_MOUSE, tr|Q8VEZ1|Q8VEZ1_MOUSE, tr|A2AUA4|A2AUA4_MOUSE, tr|Q7TQZ3|Q7TQZ3_MOUSE, tr|L7MU51|L7MU51_MOUSE, tr|A2AUA2|A2AUA2_MOUSE, tr|Q8VF91|Q8VF91_MOUSE, tr|A2AT78|A2AT78_MOUSE, tr|Q7TQZ2|Q7TQZ2_MOUSE, tr|Q8VGM3|Q8VGM3_MOUSE, tr|A0A1L1SSZ5|A0A1L1SSZ5_MOUSE, tr|Q8VFB1|Q8VFB1_MOUSE, tr|Q8VG59|Q8VG59_MOUSE, tr|Q8VG73|Q8VG73_MOUSE, tr|Q8VGM6|Q8VGM6_MOUSE, tr|Q8VGM7|Q8VGM7_MOUSE, tr|Q7TQZ6|Q7TQZ6_MOUSE, tr|A0A1L1SQJ6|A0A1L1SQJ6_MOUSE, tr|Q8VGP1|Q8VGP1_MOUSE, tr|Q8VGM8|Q8VGM8_MOUSE, tr|A2AVK5|A2AVK5_MOUSE, tr|Q8VG21|Q8VG21_MOUSE, tr|Q8VF94|Q8VF94_MOUSE, tr|Q3SXJ3|Q3SXJ3_MOUSE, tr|Q8VGF5|Q8VGF5_MOUSE, tr|A2ATJ7|A2ATJ7_MOUSE, tr|A2ATJ9|A2ATJ9_MOUSE	tr|H2R5F3|H2R5F3_PANTR
OG0000025	sp|Q8VFX2|O1444_MOUSE, tr|Q8VEV6|Q8VEV6_MOUSE, tr|Q7TQQ9|Q7TQQ9_MOUSE, tr|F6QVZ8|F6QVZ8_MOUSE, tr|Q7TQQ8|Q7TQQ8_MOUSE, tr|A0A140LIR8|A0A140LIR8_MOUSE, tr|Q8VFQ6|Q8VFQ6_MOUSE, tr|Q8VEU6|Q8VEU6_MOUSE, tr|Q7TQQ7|Q7TQQ7_MOUSE, tr|Q8VFQ5|Q8VFQ5_MOUSE, tr|Q8VF19|Q8VF19_MOUSE, tr|Q8VEV8|Q8VEV8_MOUSE, tr|Q7TQR2|Q7TQR2_MOUSE, tr|Q8VFK3|Q8VFK3_MOUSE, tr|Q8VFW5|Q8VFW5_MOUSE, tr|Q8VFX3|Q8VFX3_MOUSE, tr|Q8VFX4|Q8VFX4_MOUSE, tr|Q8VFW1|Q8VFW1_MOUSE, tr|Q7TQR3|Q7TQR3_MOUSE, tr|Q8VFW4|Q8VFW4_MOUSE, tr|Q8VEV7|Q8VEV7_MOUSE, tr|Q8VFW3|Q8VFW3_MOUSE, tr|Q8VFW2|Q8VFW2_MOUSE, tr|Q8VFX0|Q8VFX0_MOUSE, tr|Q8VFV9|Q8VFV9_MOUSE, tr|A0A1L1SSD5|A0A1L1SSD5_MOUSE, tr|Q8VFW8|Q8VFW8_MOUSE, tr|Q0VEV7|Q0VEV7_MOUSE, tr|Q8VFX5|Q8VFX5_MOUSE, tr|Q8VFX1|Q8VFX1_MOUSE, tr|Q8VFW9|Q8VFW9_MOUSE	tr|A0A2I3S719|A0A2I3S719_PANTR
OG0000026	sp|P01654|KV3A1_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01661|KV3A9_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8P4|A0A140T8P4_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE	tr|A0A2I3SDE3|A0A2I3SDE3_PANTR
OG0000027	tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|A0A0B4J1M2|A0A0B4J1M2_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|Q7TQW4|Q7TQW4_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|A2AHM8|A2AHM8_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE, tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|K7N727|K7N727_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE	tr|A0A2I3RXH1|A0A2I3RXH1_PANTR
OG0000030	sp|Q80YP6|ZIK1_MOUSE	tr|H2QHA3|H2QHA3_PANTR, tr|H2QHA2|H2QHA2_PANTR, tr|H2QHA7|H2QHA7_PANTR, tr|H2QHA4|H2QHA4_PANTR, tr|H2R5T8|H2R5T8_PANTR, tr|A0A2I3SEB4|A0A2I3SEB4_PANTR, tr|H2R013|H2R013_PANTR, tr|A0A2I3RWQ5|A0A2I3RWQ5_PANTR, tr|H2QHA9|H2QHA9_PANTR, tr|H2RFY7|H2RFY7_PANTR, tr|H2R5T5|H2R5T5_PANTR, tr|H2RGJ7|H2RGJ7_PANTR, tr|H2QZD4|H2QZD4_PANTR, tr|A0A2I3REM8|A0A2I3REM8_PANTR, tr|A0A2J8JLV6|A0A2J8JLV6_PANTR, tr|H2QHB1|H2QHB1_PANTR, tr|H2QED3|H2QED3_PANTR, tr|K7A9G1|K7A9G1_PANTR, tr|H2R5T7|H2R5T7_PANTR, tr|A0A2I3SRP6|A0A2I3SRP6_PANTR, tr|H2QG14|H2QG14_PANTR, tr|A0A2I3RTZ1|A0A2I3RTZ1_PANTR, tr|A0A2I3SQZ8|A0A2I3SQZ8_PANTR, tr|H2QHC1|H2QHC1_PANTR, tr|A0A2I3T8K0|A0A2I3T8K0_PANTR, tr|A0A2I3S176|A0A2I3S176_PANTR, tr|H2R668|H2R668_PANTR, tr|A0A2J8JLS1|A0A2J8JLS1_PANTR
OG0000039	sp|P18528|HVM57_MOUSE, sp|P18527|HVM56_MOUSE	tr|H2RIL7|H2RIL7_PANTR, tr|A0A2I3RMP7|A0A2I3RMP7_PANTR, tr|A0A2I3TSA5|A0A2I3TSA5_PANTR
OG0000039	tr|A0A075B5R3|A0A075B5R3_MOUSE	tr|A0A2I3SLP9|A0A2I3SLP9_PANTR, tr|A0A2I3RMJ6|A0A2I3RMJ6_PANTR, tr|H2RG02|H2RG02_PANTR, tr|A0A2I3TSX6|A0A2I3TSX6_PANTR, tr|A0A2I3SCH7|A0A2I3SCH7_PANTR, tr|A0A2I3S6Q0|A0A2I3S6Q0_PANTR, tr|A0A2I3TC16|A0A2I3TC16_PANTR, tr|A0A2I3RH91|A0A2I3RH91_PANTR, tr|A0A2I3TKW9|A0A2I3TKW9_PANTR, tr|A0A2I3SPL6|A0A2I3SPL6_PANTR, tr|H2RF11|H2RF11_PANTR, tr|A0A2I3RT04|A0A2I3RT04_PANTR, tr|A0A2I3REZ9|A0A2I3REZ9_PANTR, tr|A0A2I3TTC1|A0A2I3TTC1_PANTR, tr|A0A2I3RLU3|A0A2I3RLU3_PANTR, tr|A0A2I3T255|A0A2I3T255_PANTR, tr|A0A2I3SCG7|A0A2I3SCG7_PANTR, tr|A0A2I3S4R0|A0A2I3S4R0_PANTR, tr|A0A2I3TR85|A0A2I3TR85_PANTR
OG0000040	tr|Q8R255|Q8R255_MOUSE, tr|E9Q235|E9Q235_MOUSE, tr|L7N213|L7N213_MOUSE, tr|Q8R256|Q8R256_MOUSE, tr|Q8VIB8|Q8VIB8_MOUSE, tr|F8VQ63|F8VQ63_MOUSE, tr|Q8R290|Q8R290_MOUSE, tr|L7N1Z3|L7N1Z3_MOUSE, tr|Q8K3N7|Q8K3N7_MOUSE, tr|Q8R293|Q8R293_MOUSE, tr|Q8R289|Q8R289_MOUSE, tr|K7N608|K7N608_MOUSE, tr|Q8R287|Q8R287_MOUSE, tr|A0A2I3BPG7|A0A2I3BPG7_MOUSE, tr|A2AMT7|A2AMT7_MOUSE, tr|A2AMT6|A2AMT6_MOUSE, tr|E9Q373|E9Q373_MOUSE, tr|Q8R285|Q8R285_MOUSE, tr|E9PY60|E9PY60_MOUSE, tr|Q8R284|Q8R284_MOUSE, tr|A0A087WRV1|A0A087WRV1_MOUSE, tr|Q8R254|Q8R254_MOUSE, tr|A0A5F8MPF7|A0A5F8MPF7_MOUSE	tr|A0A2I3T4Z4|A0A2I3T4Z4_PANTR
OG0000041	tr|Q8VGC7|Q8VGC7_MOUSE, tr|L7MU59|L7MU59_MOUSE, tr|Q7TR76|Q7TR76_MOUSE, tr|A2ARZ0|A2ARZ0_MOUSE, tr|Q8VGS2|Q8VGS2_MOUSE, tr|A2AVY0|A2AVY0_MOUSE, tr|A2AVX9|A2AVX9_MOUSE, tr|Q8VF52|Q8VF52_MOUSE, tr|A0A1L1SR98|A0A1L1SR98_MOUSE, tr|A2AK60|A2AK60_MOUSE, tr|Q7TR74|Q7TR74_MOUSE, tr|Q7TR70|Q7TR70_MOUSE, tr|A2AK62|A2AK62_MOUSE, tr|Q7TR72|Q7TR72_MOUSE, tr|Q8VGS7|Q8VGS7_MOUSE, tr|Q7TR64|Q7TR64_MOUSE, tr|A0A1L1SRK6|A0A1L1SRK6_MOUSE, tr|Q8VGS0|Q8VGS0_MOUSE, tr|Q7TR63|Q7TR63_MOUSE, tr|A0A1L1STZ9|A0A1L1STZ9_MOUSE, tr|A0A1L1SUC9|A0A1L1SUC9_MOUSE, tr|Q7TR67|Q7TR67_MOUSE, tr|Q8VGA6|Q8VGA6_MOUSE	tr|A0A2J8LC19|A0A2J8LC19_PANTR
OG0000042	tr|A2ARC0|A2ARC0_MOUSE	tr|A0A2I3S1Q5|A0A2I3S1Q5_PANTR, tr|A0A2I3SSL6|A0A2I3SSL6_PANTR, tr|A0A2I3T6S5|A0A2I3T6S5_PANTR, tr|A0A2I3TN77|A0A2I3TN77_PANTR, tr|H2R7S5|H2R7S5_PANTR
OG0000042	sp|Q921M4|GOGA2_MOUSE	tr|A0A2I3T757|A0A2I3T757_PANTR, tr|H2RHX1|H2RHX1_PANTR, tr|H2R7X2|H2R7X2_PANTR, tr|A0A2I3T9J8|A0A2I3T9J8_PANTR, tr|H2R246|H2R246_PANTR, tr|A0A2I3S3U0|A0A2I3S3U0_PANTR, tr|H2RCL2|H2RCL2_PANTR, tr|H2R0S4|H2R0S4_PANTR, tr|H2R8A4|H2R8A4_PANTR, tr|H2QZN1|H2QZN1_PANTR, tr|A0A2I3S6D3|A0A2I3S6D3_PANTR, tr|H2R8I0|H2R8I0_PANTR, tr|H2Q924|H2Q924_PANTR, tr|H2RES8|H2RES8_PANTR, tr|A0A2I3TME2|A0A2I3TME2_PANTR, tr|G2HGE3|G2HGE3_PANTR, tr|A0A2I3SXA8|A0A2I3SXA8_PANTR
OG0000044	tr|Q9EPG6|Q9EPG6_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|Q9EP55|Q9EP55_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|E9Q725|E9Q725_MOUSE, tr|Q8VG49|Q8VG49_MOUSE, tr|A2ASV3|A2ASV3_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|B2RVY8|B2RVY8_MOUSE	tr|H2Q332|H2Q332_PANTR
OG0000045	tr|A0A140T8P3|A0A140T8P3_MOUSE	tr|H2RAG8|H2RAG8_PANTR, tr|A0A2I3SSL8|A0A2I3SSL8_PANTR, tr|A0A2I3RHK7|A0A2I3RHK7_PANTR, tr|A0A2I3RCL1|A0A2I3RCL1_PANTR, tr|A0A2I3SNS7|A0A2I3SNS7_PANTR, tr|A0A2I3TAX1|A0A2I3TAX1_PANTR, tr|A0A2I3RUH8|A0A2I3RUH8_PANTR, tr|A0A2I3S6V5|A0A2I3S6V5_PANTR, tr|A0A2I3RCD4|A0A2I3RCD4_PANTR, tr|A0A2I3RR90|A0A2I3RR90_PANTR, tr|A0A2I3SWP4|A0A2I3SWP4_PANTR, tr|A0A2I3T1D5|A0A2I3T1D5_PANTR, tr|A0A2I3TTK2|A0A2I3TTK2_PANTR, tr|A0A2I3RDU9|A0A2I3RDU9_PANTR, tr|A0A2I3RDN4|A0A2I3RDN4_PANTR, tr|A0A2I3TXJ9|A0A2I3TXJ9_PANTR, tr|A0A2I3SRZ5|A0A2I3SRZ5_PANTR, tr|A0A2I3SFS0|A0A2I3SFS0_PANTR, tr|H2REY2|H2REY2_PANTR, tr|A0A2I3RYP8|A0A2I3RYP8_PANTR, tr|A0A2I3STK4|A0A2I3STK4_PANTR, tr|A0A2I3SY06|A0A2I3SY06_PANTR
OG0000048	sp|Q9CWV4|MAGBG_MOUSE	tr|H2QYG1|H2QYG1_PANTR, tr|A0A2J8L3C9|A0A2J8L3C9_PANTR, tr|G2HHF1|G2HHF1_PANTR, tr|H2QYF7|H2QYF7_PANTR, tr|A0A2J8KU74|A0A2J8KU74_PANTR, tr|H2RFB4|H2RFB4_PANTR, tr|A0A2J8L3B6|A0A2J8L3B6_PANTR, tr|H2QYF3|H2QYF3_PANTR, tr|A0A2J8ILL3|A0A2J8ILL3_PANTR, tr|A0A2I3RS23|A0A2I3RS23_PANTR, tr|H2QZ93|H2QZ93_PANTR, tr|A0A2I3SX08|A0A2I3SX08_PANTR, tr|A0A2J8JLA7|A0A2J8JLA7_PANTR, tr|A0A2I3SFT0|A0A2I3SFT0_PANTR, tr|A0A2I3SCA6|A0A2I3SCA6_PANTR, tr|A0A2I3RMC3|A0A2I3RMC3_PANTR, tr|A0A2I3S6I4|A0A2I3S6I4_PANTR, tr|A0A2I3SRR0|A0A2I3SRR0_PANTR, tr|H2QZ87|H2QZ87_PANTR, tr|H2R4I3|H2R4I3_PANTR, tr|A0A2I3TSX5|A0A2I3TSX5_PANTR
