Orthogroup	Mus_musculus	Eschrichtius_robustus
OG0000030	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A2F0B9X7|A0A2F0B9X7_ESCRO
OG0000030	sp|Q62513|ZN260_MOUSE	tr|A0A2F0BLG0|A0A2F0BLG0_ESCRO
OG0000030	tr|B9EKF4|B9EKF4_MOUSE	tr|A0A2F0B5E4|A0A2F0B5E4_ESCRO, tr|A0A2F0BAK1|A0A2F0BAK1_ESCRO, tr|A0A2F0AXX9|A0A2F0AXX9_ESCRO, tr|A0A2F0BP21|A0A2F0BP21_ESCRO, tr|A0A2F0B0Z5|A0A2F0B0Z5_ESCRO, tr|A0A2F0AW45|A0A2F0AW45_ESCRO, tr|A0A2F0BBN1|A0A2F0BBN1_ESCRO, tr|A0A2F0B9Q3|A0A2F0B9Q3_ESCRO, tr|A0A2F0BJ02|A0A2F0BJ02_ESCRO, tr|A0A2F0BQ99|A0A2F0BQ99_ESCRO
OG0000030	sp|A2A761|ZFP69_MOUSE	tr|A0A2F0B5Z0|A0A2F0B5Z0_ESCRO, tr|A0A2F0B4F5|A0A2F0B4F5_ESCRO, tr|A0A2F0BLF2|A0A2F0BLF2_ESCRO, tr|A0A2F0BA19|A0A2F0BA19_ESCRO, tr|A0A2F0AYW7|A0A2F0AYW7_ESCRO
OG0000030	sp|P08042|ZFP1_MOUSE	tr|A0A2F0BC89|A0A2F0BC89_ESCRO, tr|A0A2F0BN74|A0A2F0BN74_ESCRO, tr|A0A2F0B7J5|A0A2F0B7J5_ESCRO, tr|A0A2F0AW40|A0A2F0AW40_ESCRO
OG0000033	tr|A0A1B0GSM6|A0A1B0GSM6_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, sp|P11589|MUP2_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|A2BIM8|MUP18_MOUSE, sp|P04938|MUP11_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE, sp|P02762|MUP6_MOUSE, tr|L7N222|L7N222_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|E9QA79|E9QA79_MOUSE, sp|B5X0G2|MUP17_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|P11591|MUP5_MOUSE, sp|P11590|MUP4_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|Q9D267|LCN9_MOUSE, tr|A2BHR2|A2BHR2_MOUSE, sp|O08976|PBAS_MOUSE, tr|B1AVU4|B1AVU4_MOUSE, tr|Q9D3N5|Q9D3N5_MOUSE, sp|Q9D3H2|OBP1A_MOUSE, tr|A2AEN9|A2AEN9_MOUSE, sp|A2AEP0|OBP1B_MOUSE, tr|A2BHD2|A2BHD2_MOUSE	tr|A0A2F0BBE4|A0A2F0BBE4_ESCRO
OG0000043	tr|Q91XX0|Q91XX0_MOUSE	tr|A0A2F0AUP9|A0A2F0AUP9_ESCRO
OG0000043	tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX1|Q91XX1_MOUSE	tr|A0A2F0B928|A0A2F0B928_ESCRO
OG0000046	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A2F0BIN7|A0A2F0BIN7_ESCRO
OG0000046	sp|Q8BFU2|H2A3_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|A0A2F0B5V8|A0A2F0B5V8_ESCRO
OG0000046	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A2F0AZJ9|A0A2F0AZJ9_ESCRO
OG0000046	sp|Q64522|H2A2B_MOUSE	tr|A0A2F0B1A4|A0A2F0B1A4_ESCRO, tr|A0A2F0BBW0|A0A2F0BBW0_ESCRO, tr|A0A2F0BLG5|A0A2F0BLG5_ESCRO, tr|A0A2F0BAR1|A0A2F0BAR1_ESCRO
OG0000047	sp|Q9EP75|CP4FE_MOUSE, tr|G3UW81|G3UW81_MOUSE, tr|Q99N18|Q99N18_MOUSE	tr|A0A2F0B0F0|A0A2F0B0F0_ESCRO
OG0000047	sp|Q99N16|CP4F3_MOUSE, tr|Q3V1F1|Q3V1F1_MOUSE, tr|Q99N17|Q99N17_MOUSE, tr|Q99N19|Q99N19_MOUSE, tr|G3UW78|G3UW78_MOUSE, sp|Q91WL5|CP4CA_MOUSE, sp|A2A974|CP4CB_MOUSE, sp|O88833|CP4AA_MOUSE, tr|A2A8T1|A2A8T1_MOUSE, tr|F8WGU9|F8WGU9_MOUSE, sp|O35728|CP4AE_MOUSE, tr|A0A087WS15|A0A087WS15_MOUSE, tr|A0A087WPC3|A0A087WPC3_MOUSE, sp|Q6A152|CP4X1_MOUSE, sp|Q64462|CP4B1_MOUSE, tr|Q8BGU0|Q8BGU0_MOUSE	tr|A0A2F0B114|A0A2F0B114_ESCRO
OG0000048	tr|Q8K154|Q8K154_MOUSE, sp|P70691|UD12_MOUSE, tr|B2RT14|B2RT14_MOUSE, sp|Q63886|UD11_MOUSE, sp|Q64435|UD16_MOUSE, tr|K9J7B2|K9J7B2_MOUSE, sp|Q62452|UD19_MOUSE, tr|D3Z748|D3Z748_MOUSE, sp|Q6ZQM8|UD17_MOUSE, sp|Q8JZZ0|UD3A2_MOUSE, sp|Q3UP75|UD3A1_MOUSE, sp|Q6PDD0|UD2A2_MOUSE, sp|Q80X89|UD2A1_MOUSE, sp|Q8BWQ1|UD2A3_MOUSE, tr|Q8R084|Q8R084_MOUSE, tr|Q3UEP4|Q3UEP4_MOUSE, tr|Q8BJL9|Q8BJL9_MOUSE, tr|Q8VCN3|Q8VCN3_MOUSE, tr|Q91WH2|Q91WH2_MOUSE, sp|P17717|UDB17_MOUSE	tr|A0A2F0BJ00|A0A2F0BJ00_ESCRO
OG0000049	tr|Q8VF22|Q8VF22_MOUSE, sp|Q8VFK7|O1020_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, sp|Q8VGS3|O1019_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q8VFQ7|Q8VFQ7_MOUSE	tr|A0A2F0BH62|A0A2F0BH62_ESCRO
OG0000050	sp|Q91ZB5|MRGRG_MOUSE, sp|Q91ZB7|MRGRE_MOUSE, sp|Q91WW2|MRGA4_MOUSE, sp|Q91ZC4|MRGA8_MOUSE, sp|Q91WW3|MRGA3_MOUSE, sp|Q91ZC5|MRGA7_MOUSE, tr|A0A0R4J1Z0|A0A0R4J1Z0_MOUSE, sp|Q91WW4|MRGA2_MOUSE, sp|Q91WW5|MRGA1_MOUSE, sp|Q91ZC7|MRGA5_MOUSE, tr|A0A140T8U8|A0A140T8U8_MOUSE, sp|Q91ZC6|MRGA6_MOUSE, sp|Q8CIP3|MRGX1_MOUSE, sp|Q7TN51|MRGB8_MOUSE, sp|Q91ZC1|MRGB3_MOUSE, sp|Q3KNA1|MRGB2_MOUSE, sp|Q3UG50|MRGX2_MOUSE, sp|Q3UG61|MRGB1_MOUSE, sp|Q91ZB9|MRGB5_MOUSE, sp|Q91ZC0|MRGB4_MOUSE	tr|A0A2F0B6I9|A0A2F0B6I9_ESCRO
OG0000052	sp|Q6IFX2|K1C42_MOUSE	tr|A0A2F0BD69|A0A2F0BD69_ESCRO
OG0000052	sp|Q9QWL7|K1C17_MOUSE	tr|A0A2F0BD58|A0A2F0BD58_ESCRO
OG0000052	sp|Q9Z2K1|K1C16_MOUSE, sp|Q61781|K1C14_MOUSE	tr|A0A2F0BAV1|A0A2F0BAV1_ESCRO
OG0000052	sp|Q64291|K1C12_MOUSE	tr|A0A2F0B466|A0A2F0B466_ESCRO
OG0000052	sp|B1AQ75|KRT36_MOUSE	tr|A0A2F0BGP3|A0A2F0BGP3_ESCRO, tr|A0A2F0B9E2|A0A2F0B9E2_ESCRO, tr|A0A2F0BJW6|A0A2F0BJW6_ESCRO, tr|A0A2F0AXE1|A0A2F0AXE1_ESCRO, tr|A0A2F0BCY0|A0A2F0BCY0_ESCRO, tr|A0A2F0BQ63|A0A2F0BQ63_ESCRO, tr|A0A2F0BL12|A0A2F0BL12_ESCRO, tr|A0A2F0AX52|A0A2F0AX52_ESCRO
OG0000052	sp|P08730|K1C13_MOUSE	tr|A0A2F0B3U5|A0A2F0B3U5_ESCRO
OG0000053	sp|O35256|PR4A1_MOUSE, sp|Q9JII2|PR5A1_MOUSE, sp|O54830|PR7A1_MOUSE, sp|O54831|PR7A2_MOUSE, sp|Q8CGZ9|PR7B1_MOUSE, sp|Q9CRB5|PR7C1_MOUSE, sp|P04769|PR7D1_MOUSE, sp|Q9DAY2|PR8A6_MOUSE, sp|Q9DAS4|PR8A8_MOUSE, sp|Q9CQ58|PR8A9_MOUSE, tr|O54832|O54832_MOUSE, tr|Q9DAV8|Q9DAV8_MOUSE, sp|O35257|PR6A1_MOUSE, tr|Q78Y73|Q78Y73_MOUSE, sp|Q9QUN5|PR3C1_MOUSE, sp|P09586|PR3B1_MOUSE, tr|F6R3P9|F6R3P9_MOUSE, tr|A0A0M6L0J6|A0A0M6L0J6_MOUSE, sp|P18121|PR3D1_MOUSE	tr|A0A2F0B5U2|A0A2F0B5U2_ESCRO
OG0000055	sp|Q9JHU4|DYHC1_MOUSE	tr|A0A2F0BAD2|A0A2F0BAD2_ESCRO
OG0000055	sp|Q45VK7|DYHC2_MOUSE, sp|Q69Z23|DYH17_MOUSE, tr|B1AR51|B1AR51_MOUSE, tr|E9Q7N9|E9Q7N9_MOUSE, sp|Q91XQ0|DYH8_MOUSE, sp|Q8VHE6|DYH5_MOUSE, tr|D3YYQ8|D3YYQ8_MOUSE, sp|P0C6F1|DYH2_MOUSE, tr|E9Q0B6|E9Q0B6_MOUSE, tr|A0A571BGC3|A0A571BGC3_MOUSE, tr|A0A087WR13|A0A087WR13_MOUSE, tr|L7N1Y0|L7N1Y0_MOUSE, tr|E9Q0T8|E9Q0T8_MOUSE, sp|Q3V0Q1|DYH12_MOUSE, sp|Q8BW94|DYH3_MOUSE, sp|E9Q8T7|DYH1_MOUSE	tr|A0A2F0B5Y9|A0A2F0B5Y9_ESCRO
OG0000059	tr|Q5SW50|Q5SW50_MOUSE, tr|Q5SW49|Q5SW49_MOUSE	tr|A0A2F0B7A1|A0A2F0B7A1_ESCRO
OG0000059	sp|Q7TQQ0|O1509_MOUSE	tr|A0A2F0B9V8|A0A2F0B9V8_ESCRO
OG0000059	tr|Q8VGP3|Q8VGP3_MOUSE	tr|A0A2F0BN18|A0A2F0BN18_ESCRO, tr|A0A2F0BFB0|A0A2F0BFB0_ESCRO
OG0000059	tr|E9Q8M3|E9Q8M3_MOUSE	tr|A0A2F0BPC3|A0A2F0BPC3_ESCRO, tr|A0A2F0AV68|A0A2F0AV68_ESCRO
OG0000059	tr|Q8VFC8|Q8VFC8_MOUSE	tr|A0A2F0BMF4|A0A2F0BMF4_ESCRO
OG0000059	tr|Q8VFV0|Q8VFV0_MOUSE	tr|A0A2F0BPX5|A0A2F0BPX5_ESCRO, tr|A0A2F0B9E5|A0A2F0B9E5_ESCRO
OG0000060	sp|Q8K078|SO4A1_MOUSE	tr|A0A2F0BDJ3|A0A2F0BDJ3_ESCRO
OG0000060	tr|E9PVD9|E9PVD9_MOUSE	tr|A0A2F0BN59|A0A2F0BN59_ESCRO
OG0000060	sp|Q9EPT5|SO2A1_MOUSE	tr|A0A2F0AVC7|A0A2F0AVC7_ESCRO
OG0000060	sp|Q8BXB6|SO2B1_MOUSE	tr|A0A2F0B8J6|A0A2F0B8J6_ESCRO
OG0000066	tr|Q8VGG6|Q8VGG6_MOUSE	tr|A0A2F0BN63|A0A2F0BN63_ESCRO
OG0000066	tr|Q7TQU8|Q7TQU8_MOUSE	tr|A0A2F0AZF4|A0A2F0AZF4_ESCRO
OG0000066	sp|Q8VFM9|OLF24_MOUSE	tr|A0A2F0BKK8|A0A2F0BKK8_ESCRO
OG0000066	tr|Q8VGB9|Q8VGB9_MOUSE	tr|A0A2F0BNY8|A0A2F0BNY8_ESCRO
OG0000078	tr|E9Q0F0|E9Q0F0_MOUSE	tr|A0A2F0AX40|A0A2F0AX40_ESCRO
OG0000078	sp|P07744|K2C4_MOUSE	tr|A0A2F0AVL6|A0A2F0AVL6_ESCRO
OG0000078	sp|P11679|K2C8_MOUSE	tr|A0A2F0BHY7|A0A2F0BHY7_ESCRO
OG0000078	sp|Q9DCV7|K2C7_MOUSE	tr|A0A2F0BLA7|A0A2F0BLA7_ESCRO
OG0000078	sp|Q99M73|KRT84_MOUSE	tr|A0A2F0AZ29|A0A2F0AZ29_ESCRO, tr|A0A2F0AZ56|A0A2F0AZ56_ESCRO
OG0000078	sp|Q922U2|K2C5_MOUSE	tr|A0A2F0AX39|A0A2F0AX39_ESCRO, tr|A0A2F0B3C5|A0A2F0B3C5_ESCRO
