Orthogroup	Mus_musculus	Rousettus_aegyptiacus
OG0000016	tr|Q7TRY2|Q7TRY2_MOUSE, tr|E9Q4J3|E9Q4J3_MOUSE, tr|Q8VGD8|Q8VGD8_MOUSE, tr|Q8VFM4|Q8VFM4_MOUSE, tr|Q9EPF5|Q9EPF5_MOUSE, tr|Q7TRN3|Q7TRN3_MOUSE, tr|Q9EPF7|Q9EPF7_MOUSE, tr|Q8VF89|Q8VF89_MOUSE, tr|Q8VFM5|Q8VFM5_MOUSE, tr|K7N641|K7N641_MOUSE, tr|Q9EPF6|Q9EPF6_MOUSE, tr|Q8VFM3|Q8VFM3_MOUSE, tr|Q7TRN4|Q7TRN4_MOUSE, tr|Q9D3U9|Q9D3U9_MOUSE, tr|Q9EPF8|Q9EPF8_MOUSE, tr|Q5NC45|Q5NC45_MOUSE, tr|L7MTY4|L7MTY4_MOUSE, tr|A0A0N4SVP2|A0A0N4SVP2_MOUSE, tr|Q7TRZ4|Q7TRZ4_MOUSE, tr|Q5NCD7|Q5NCD7_MOUSE, tr|Q8VGX2|Q8VGX2_MOUSE, tr|Q8VF05|Q8VF05_MOUSE, tr|Q8VGJ5|Q8VGJ5_MOUSE, tr|Q8VGL6|Q8VGL6_MOUSE, tr|G5E8J1|G5E8J1_MOUSE, tr|Q7TS53|Q7TS53_MOUSE, tr|Q8VFG7|Q8VFG7_MOUSE, tr|Q7TRZ7|Q7TRZ7_MOUSE, tr|Q8VF87|Q8VF87_MOUSE, tr|Q8VFA2|Q8VFA2_MOUSE, tr|Q8VET2|Q8VET2_MOUSE, sp|Q8VGD6|OLF56_MOUSE, tr|Q7TQS8|Q7TQS8_MOUSE, tr|Q8VGD7|Q8VGD7_MOUSE, tr|M9MMK4|M9MMK4_MOUSE, tr|M9MMJ7|M9MMJ7_MOUSE, tr|Q5NCD3|Q5NCD3_MOUSE, tr|Q5NC44|Q5NC44_MOUSE, tr|Q8VGD9|Q8VGD9_MOUSE, tr|Q5NCD2|Q5NCD2_MOUSE, tr|Q8VF37|Q8VF37_MOUSE, tr|E9Q3K2|E9Q3K2_MOUSE, tr|A0A0U1RQ01|A0A0U1RQ01_MOUSE	tr|A0A7J8BTV6|A0A7J8BTV6_ROUAE
OG0000018	tr|Q640N4|Q640N4_MOUSE	tr|A0A7J8GJZ9|A0A7J8GJZ9_ROUAE
OG0000018	sp|B2RXC5|ZN382_MOUSE	tr|A0A7J8CNH6|A0A7J8CNH6_ROUAE
OG0000018	tr|Q8BIS1|Q8BIS1_MOUSE	tr|A0A7J8GIT4|A0A7J8GIT4_ROUAE
OG0000018	sp|Q80W31|ZN569_MOUSE	tr|A0A7J8CNP3|A0A7J8CNP3_ROUAE
OG0000018	sp|Q6P560|ZN182_MOUSE	tr|A0A7J8FJP2|A0A7J8FJP2_ROUAE, tr|A0A7J8EMQ0|A0A7J8EMQ0_ROUAE
OG0000018	sp|P17141|ZFP37_MOUSE	tr|A0A7J8ENL2|A0A7J8ENL2_ROUAE, tr|A0A7J8IW67|A0A7J8IW67_ROUAE
OG0000018	tr|E9QAH2|E9QAH2_MOUSE	tr|A0A7J8CNS9|A0A7J8CNS9_ROUAE, tr|A0A7J8CND0|A0A7J8CND0_ROUAE, tr|A0A7J8CNL1|A0A7J8CNL1_ROUAE, tr|A0A7J8CNP6|A0A7J8CNP6_ROUAE, tr|A0A7J8HA04|A0A7J8HA04_ROUAE, tr|A0A7J8H936|A0A7J8H936_ROUAE, tr|A0A7J8HAP1|A0A7J8HAP1_ROUAE, tr|A0A7J8CP84|A0A7J8CP84_ROUAE, tr|A0A7J8H935|A0A7J8H935_ROUAE, tr|A0A7J8H923|A0A7J8H923_ROUAE
OG0000025	tr|Q8VGB4|Q8VGB4_MOUSE, tr|Q8VGE3|Q8VGE3_MOUSE, sp|Q60893|OL151_MOUSE, tr|Q9EQA0|Q9EQA0_MOUSE, tr|Q7TRB7|Q7TRB7_MOUSE, tr|Q9EQ99|Q9EQ99_MOUSE, tr|Q7TRB8|Q7TRB8_MOUSE, tr|Q9EQ98|Q9EQ98_MOUSE, tr|Q8VH09|Q8VH09_MOUSE, tr|Q9EQ96|Q9EQ96_MOUSE, tr|Q8VFN5|Q8VFN5_MOUSE, tr|J3KMV2|J3KMV2_MOUSE, sp|Q60884|OL146_MOUSE, tr|Q8VG16|Q8VG16_MOUSE, tr|Q9EQ92|Q9EQ92_MOUSE, tr|Q9EQ94|Q9EQ94_MOUSE, tr|Q9EQB6|Q9EQB6_MOUSE, sp|P34983|O1537_MOUSE, tr|Q9EQ91|Q9EQ91_MOUSE, tr|Q9EQ90|Q9EQ90_MOUSE, tr|Q9EQ95|Q9EQ95_MOUSE, tr|Q9EQB5|Q9EQB5_MOUSE, tr|Q9EQB8|Q9EQB8_MOUSE, tr|Q9EQB4|Q9EQB4_MOUSE, sp|Q60895|OL150_MOUSE, tr|Q8VF78|Q8VF78_MOUSE, tr|Q7TRA7|Q7TRA7_MOUSE, tr|Q8VFN4|Q8VFN4_MOUSE, tr|Q9EQA2|Q9EQA2_MOUSE, tr|Q8VFN3|Q8VFN3_MOUSE, tr|Q8VG89|Q8VG89_MOUSE, tr|Q7TRA6|Q7TRA6_MOUSE, tr|Q9EQ97|Q9EQ97_MOUSE, tr|Q8VFD7|Q8VFD7_MOUSE, tr|Q9EQ93|Q9EQ93_MOUSE, tr|Q9EQB7|Q9EQB7_MOUSE	tr|A0A7J8H3T2|A0A7J8H3T2_ROUAE
OG0000028	tr|F8VQG4|F8VQG4_MOUSE, sp|P01896|HA1Z_MOUSE	tr|A0A7J8KB08|A0A7J8KB08_ROUAE
OG0000028	tr|O19442|O19442_MOUSE, tr|F7CXU4|F7CXU4_MOUSE, tr|F6U8V3|F6U8V3_MOUSE, tr|Q85ZW9|Q85ZW9_MOUSE, tr|Q85ZW5|Q85ZW5_MOUSE, tr|Q85ZW8|Q85ZW8_MOUSE, tr|Q85ZW7|Q85ZW7_MOUSE, tr|Q85ZW6|Q85ZW6_MOUSE, tr|O19443|O19443_MOUSE, tr|A7VMS3|A7VMS3_MOUSE, tr|Q6W9L1|Q6W9L1_MOUSE, sp|P14432|HA1T_MOUSE, tr|Q0WXH6|Q0WXH6_MOUSE, tr|A7VMS2|A7VMS2_MOUSE, tr|Q31093|Q31093_MOUSE, tr|F6T1I5|F6T1I5_MOUSE, tr|Q31615|Q31615_MOUSE, sp|P06339|HA15_MOUSE, tr|P79568|P79568_MOUSE, sp|P14430|HA18_MOUSE, sp|P14429|HA17_MOUSE, tr|Q8HWB2|Q8HWB2_MOUSE, sp|P14431|HA19_MOUSE, tr|V9GXR0|V9GXR0_MOUSE, tr|G3UXE9|G3UXE9_MOUSE, sp|P01898|HA10_MOUSE, sp|P01901|HA1B_MOUSE, sp|P14427|HA14_MOUSE, sp|P01897|HA1L_MOUSE, tr|O19441|O19441_MOUSE, tr|Q4KN81|Q4KN81_MOUSE	tr|A0A7J8H224|A0A7J8H224_ROUAE
OG0000032	sp|Q587J6|LITD1_MOUSE	tr|A0A7J8KAE4|A0A7J8KAE4_ROUAE
OG0000032	sp|P11260|LORF1_MOUSE	tr|A0A7J8H0L2|A0A7J8H0L2_ROUAE, tr|A0A7J8DX99|A0A7J8DX99_ROUAE, tr|A0A7J8EAL5|A0A7J8EAL5_ROUAE, tr|A0A7J8KB32|A0A7J8KB32_ROUAE, tr|A0A7J8EK44|A0A7J8EK44_ROUAE, tr|A0A7J8GA72|A0A7J8GA72_ROUAE, tr|A0A7J8HR76|A0A7J8HR76_ROUAE, tr|A0A7J8DIL6|A0A7J8DIL6_ROUAE, tr|A0A7J8GAS5|A0A7J8GAS5_ROUAE, tr|A0A7J8ILA4|A0A7J8ILA4_ROUAE, tr|A0A7J8EJW5|A0A7J8EJW5_ROUAE, tr|A0A7J8DXK6|A0A7J8DXK6_ROUAE, tr|A0A7J8E8J8|A0A7J8E8J8_ROUAE, tr|A0A7J8KB09|A0A7J8KB09_ROUAE, tr|A0A7J8EJX0|A0A7J8EJX0_ROUAE, tr|A0A7J8DIU2|A0A7J8DIU2_ROUAE, tr|A0A7J8F0Q3|A0A7J8F0Q3_ROUAE, tr|A0A7J8D702|A0A7J8D702_ROUAE, tr|A0A7J8JHQ2|A0A7J8JHQ2_ROUAE, tr|A0A7J8DXS4|A0A7J8DXS4_ROUAE, tr|A0A7J8C2G8|A0A7J8C2G8_ROUAE, tr|A0A7J8F0R7|A0A7J8F0R7_ROUAE, tr|A0A7J8F0N7|A0A7J8F0N7_ROUAE, tr|A0A7J8D687|A0A7J8D687_ROUAE, tr|A0A7J8H1J4|A0A7J8H1J4_ROUAE, tr|A0A7J8ILL3|A0A7J8ILL3_ROUAE, tr|A0A7J8FIN5|A0A7J8FIN5_ROUAE, tr|A0A7J8H1E0|A0A7J8H1E0_ROUAE, tr|A0A7J8BFI5|A0A7J8BFI5_ROUAE, tr|A0A7J8EJQ7|A0A7J8EJQ7_ROUAE, tr|A0A7J8H213|A0A7J8H213_ROUAE
OG0000033	tr|A0A075B6D6|A0A075B6D6_MOUSE, tr|A0A075B6D2|A0A075B6D2_MOUSE, tr|A0A075B5Z9|A0A075B5Z9_MOUSE, tr|A0A075B5Z8|A0A075B5Z8_MOUSE, tr|A0A075B6D0|A0A075B6D0_MOUSE, tr|A0A075B6D3|A0A075B6D3_MOUSE, tr|A0A075B639|A0A075B639_MOUSE, tr|A0A075B6B0|A0A075B6B0_MOUSE, tr|A0A075B6A6|A0A075B6A6_MOUSE, tr|A0A075B623|A0A075B623_MOUSE, tr|A0A075B603|A0A075B603_MOUSE, tr|A0A075B6B9|A0A075B6B9_MOUSE, tr|A0A075B621|A0A075B621_MOUSE, tr|A0A075B6D4|A0A075B6D4_MOUSE, tr|A0N8N6|A0N8N6_MOUSE, sp|P06323|TVA3_MOUSE, tr|A0A075B626|A0A075B626_MOUSE, tr|A0A075B648|A0A075B648_MOUSE, tr|A0A075B6A4|A0A075B6A4_MOUSE, tr|A0A075B643|A0A075B643_MOUSE, tr|A0A075B605|A0A075B605_MOUSE, tr|A0A0G2JDX5|A0A0G2JDX5_MOUSE, tr|A0A087WQ87|A0A087WQ87_MOUSE, tr|A0A075B601|A0A075B601_MOUSE, tr|A0A075B699|A0A075B699_MOUSE, tr|A0A075B631|A0A075B631_MOUSE, tr|A0A0B4J1K2|A0A0B4J1K2_MOUSE, tr|A0A075B695|A0A075B695_MOUSE, tr|A0A075B647|A0A075B647_MOUSE, sp|P01738|TVA1_MOUSE, tr|A0A075B685|A0A075B685_MOUSE, tr|A0A075B6A9|A0A075B6A9_MOUSE	tr|A0A7J8IVZ0|A0A7J8IVZ0_ROUAE
OG0000035	sp|P18531|HVM60_MOUSE, tr|A0A075B5T1|A0A075B5T1_MOUSE, sp|P01823|HVM47_MOUSE, tr|A0A075B5T0|A0A075B5T0_MOUSE, tr|A0A075B5S6|A0A075B5S6_MOUSE, sp|P18532|HVM61_MOUSE, sp|P18533|HVM62_MOUSE, tr|A0A0A6YXF1|A0A0A6YXF1_MOUSE, sp|P01822|HVM46_MOUSE, tr|A0A075B5S4|A0A075B5S4_MOUSE, sp|P01819|HVM43_MOUSE, tr|A0A075B696|A0A075B696_MOUSE, tr|A0A075B5Q5|A0A075B5Q5_MOUSE, tr|A0A075B5Q7|A0A075B5Q7_MOUSE, tr|A0A075B5P8|A0A075B5P8_MOUSE, sp|P01821|HVM45_MOUSE, tr|A0A075B5Q3|A0A075B5Q3_MOUSE, tr|A0A075B5Q8|A0A075B5Q8_MOUSE, tr|A0A075B6A7|A0A075B6A7_MOUSE, tr|A0A075B697|A0A075B697_MOUSE, sp|P01820|HVM44_MOUSE, tr|A0A075B5X8|A0A075B5X8_MOUSE, tr|A0A075B5W4|A0A075B5W4_MOUSE, tr|A0A075B5Y0|A0A075B5Y0_MOUSE, tr|A0A075B5X1|A0A075B5X1_MOUSE, tr|A0A075B693|A0A075B693_MOUSE, tr|A0A0A6YXQ0|A0A0A6YXQ0_MOUSE, tr|A0A0A6YY60|A0A0A6YY60_MOUSE, tr|A0A075B5X4|A0A075B5X4_MOUSE, tr|A0A0A6YW58|A0A0A6YW58_MOUSE, tr|Q5R1A3|Q5R1A3_MOUSE	tr|A0A7J8IV34|A0A7J8IV34_ROUAE
OG0000036	tr|E9Q725|E9Q725_MOUSE, tr|Q8VG49|Q8VG49_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|E9PZS7|E9PZS7_MOUSE, tr|Q8VF80|Q8VF80_MOUSE, tr|B2RT27|B2RT27_MOUSE, tr|Q8VGP5|Q8VGP5_MOUSE, tr|Q8VF81|Q8VF81_MOUSE, tr|Q7TRV8|Q7TRV8_MOUSE, tr|Q8VGP4|Q8VGP4_MOUSE, tr|Q7TRV7|Q7TRV7_MOUSE, tr|Q9EPG6|Q9EPG6_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|Q9EP55|Q9EP55_MOUSE	tr|A0A7J8H3D7|A0A7J8H3D7_ROUAE
OG0000042	tr|E9Q0Y7|E9Q0Y7_MOUSE	tr|A0A7J8BG88|A0A7J8BG88_ROUAE
OG0000042	tr|A0A2I3BRV4|A0A2I3BRV4_MOUSE, tr|Q8VGE1|Q8VGE1_MOUSE, tr|E9PWV2|E9PWV2_MOUSE, tr|A0A140T8J6|A0A140T8J6_MOUSE, sp|Q62007|OLF16_MOUSE, tr|E9Q8X1|E9Q8X1_MOUSE, tr|Q8VG32|Q8VG32_MOUSE, tr|Q8VF20|Q8VF20_MOUSE, tr|Q7TRV1|Q7TRV1_MOUSE, tr|K7N6V7|K7N6V7_MOUSE, tr|A0A2I3BPU7|A0A2I3BPU7_MOUSE, tr|A0A2I3BQR4|A0A2I3BQR4_MOUSE, sp|Q8VBW9|OLF63_MOUSE, tr|F8VQB1|F8VQB1_MOUSE, tr|E9Q1L6|E9Q1L6_MOUSE, tr|A0A140LHU2|A0A140LHU2_MOUSE, tr|Q7TQS2|Q7TQS2_MOUSE, tr|Q8VF55|Q8VF55_MOUSE, tr|Q8VGJ6|Q8VGJ6_MOUSE, tr|Q7TQS3|Q7TQS3_MOUSE, tr|Q8VGP8|Q8VGP8_MOUSE, tr|Q8VEZ5|Q8VEZ5_MOUSE, tr|Q8VEZ4|Q8VEZ4_MOUSE, tr|E9Q848|E9Q848_MOUSE	tr|A0A7J8BFH9|A0A7J8BFH9_ROUAE
OG0000050	tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VET0|Q8VET0_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE	tr|A0A7J8INW0|A0A7J8INW0_ROUAE
OG0000052	tr|Q8VGW2|Q8VGW2_MOUSE	tr|A0A7J8H3F8|A0A7J8H3F8_ROUAE
OG0000052	tr|E9PVA0|E9PVA0_MOUSE, tr|Q7TRR7|Q7TRR7_MOUSE, tr|Q8VF28|Q8VF28_MOUSE, tr|A2RS33|A2RS33_MOUSE, tr|E9Q838|E9Q838_MOUSE, tr|Q8VF03|Q8VF03_MOUSE, tr|Q8VF27|Q8VF27_MOUSE, tr|E9Q545|E9Q545_MOUSE, tr|E9Q549|E9Q549_MOUSE, tr|E9PYY2|E9PYY2_MOUSE, tr|E9Q7C5|E9Q7C5_MOUSE, tr|E9PV96|E9PV96_MOUSE, tr|K7N6B2|K7N6B2_MOUSE, tr|Q7TRR2|Q7TRR2_MOUSE, tr|L7N224|L7N224_MOUSE, tr|Q8VG01|Q8VG01_MOUSE, tr|A0A1L1SVG7|A0A1L1SVG7_MOUSE, tr|Q8VGZ2|Q8VGZ2_MOUSE, tr|Q8VGV9|Q8VGV9_MOUSE, tr|Q8VGW0|Q8VGW0_MOUSE	tr|A0A7J8H3S2|A0A7J8H3S2_ROUAE
OG0000053	tr|Q7TS30|Q7TS30_MOUSE, tr|Q8VFG4|Q8VFG4_MOUSE, tr|Q8VG72|Q8VG72_MOUSE, tr|Q7TRI7|Q7TRI7_MOUSE, tr|Q8VG95|Q8VG95_MOUSE, tr|Q8VEY4|Q8VEY4_MOUSE, tr|Q8VG94|Q8VG94_MOUSE, tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE, sp|Q60890|OLF11_MOUSE, tr|Q8VGW6|Q8VGW6_MOUSE, tr|Q8VFC2|Q8VFC2_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|L7N475|L7N475_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q8VFG2|Q8VFG2_MOUSE, tr|Q8VF69|Q8VF69_MOUSE	tr|A0A7J8FKW7|A0A7J8FKW7_ROUAE
OG0000054	tr|Q91XW9|Q91XW9_MOUSE	tr|A0A7J8FKQ0|A0A7J8FKQ0_ROUAE
OG0000054	tr|Q91XX0|Q91XX0_MOUSE, tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE	tr|A0A7J8FL56|A0A7J8FL56_ROUAE
OG0000058	tr|D3Z5G7|D3Z5G7_MOUSE, sp|P23953|EST1C_MOUSE, sp|Q8VCC2|EST1_MOUSE, tr|E9PYP1|E9PYP1_MOUSE, sp|Q8VCT4|EST1D_MOUSE, sp|Q64176|EST1E_MOUSE, sp|Q91WU0|EST1F_MOUSE, tr|D3Z298|D3Z298_MOUSE	tr|A0A7J8CEP8|A0A7J8CEP8_ROUAE
OG0000058	sp|Q8R0W5|EST4A_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, tr|Q08ED5|Q08ED5_MOUSE, sp|Q8QZR3|EST2A_MOUSE, sp|Q8BK48|EST2E_MOUSE, tr|E9PV38|E9PV38_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE, sp|Q91WG0|EST2C_MOUSE, sp|Q8VCU1|EST3B_MOUSE, sp|Q63880|EST3A_MOUSE, sp|Q6AW46|EST5A_MOUSE	tr|A0A7J8CEY1|A0A7J8CEY1_ROUAE
OG0000059	sp|Q61414|K1C15_MOUSE	tr|A0A7J8GB54|A0A7J8GB54_ROUAE
OG0000059	sp|P08730|K1C13_MOUSE	tr|A0A7J8G9R2|A0A7J8G9R2_ROUAE
OG0000059	sp|Q64291|K1C12_MOUSE	tr|A0A7J8GA38|A0A7J8GA38_ROUAE
