Orthogroup	Mus_musculus	Chlorocebus_sabaeus
OG0000010	tr|Q9D654|Q9D654_MOUSE	tr|A0A0D9QW50|A0A0D9QW50_CHLSB, tr|A0A0D9QW16|A0A0D9QW16_CHLSB
OG0000010	tr|Q8VCI1|Q8VCI1_MOUSE	tr|A0A0D9QW27|A0A0D9QW27_CHLSB
OG0000010	tr|A0A087WRR7|A0A087WRR7_MOUSE	tr|A0A0D9QVY6|A0A0D9QVY6_CHLSB, tr|A0A0D9QW02|A0A0D9QW02_CHLSB
OG0000010	sp|Q6P9Y7|ZFP82_MOUSE	tr|A0A0D9QW32|A0A0D9QW32_CHLSB
OG0000010	sp|Q60585|ZFP30_MOUSE	tr|A0A0D9QVW9|A0A0D9QVW9_CHLSB
OG0000010	sp|P10755|ZFP14_MOUSE	tr|A0A0D9S5G7|A0A0D9S5G7_CHLSB, tr|A0A0D9QVX4|A0A0D9QVX4_CHLSB, tr|A0A0D9S1F8|A0A0D9S1F8_CHLSB, tr|A0A0D9QW19|A0A0D9QW19_CHLSB, tr|A0A0D9QW35|A0A0D9QW35_CHLSB
OG0000010	tr|Q8C393|Q8C393_MOUSE	tr|A0A0D9SCK5|A0A0D9SCK5_CHLSB, tr|A0A0D9QVW5|A0A0D9QVW5_CHLSB, tr|A0A0D9RXV0|A0A0D9RXV0_CHLSB, tr|A0A0D9QVY4|A0A0D9QVY4_CHLSB, tr|A0A0D9QVX8|A0A0D9QVX8_CHLSB, tr|A0A0D9R753|A0A0D9R753_CHLSB
OG0000017	tr|F8VQI7|F8VQI7_MOUSE, tr|E9PZ66|E9PZ66_MOUSE	tr|A0A0D9SDB9|A0A0D9SDB9_CHLSB
OG0000017	tr|Q8VGX7|Q8VGX7_MOUSE, tr|Q8VH14|Q8VH14_MOUSE, tr|E9PWA8|E9PWA8_MOUSE, tr|A0A1B0GSU5|A0A1B0GSU5_MOUSE	tr|A0A0D9SDC9|A0A0D9SDC9_CHLSB
OG0000017	tr|A0A1B0GRN7|A0A1B0GRN7_MOUSE, tr|Q8VF02|Q8VF02_MOUSE, tr|Q8VGY8|Q8VGY8_MOUSE, tr|Q3KPB0|Q3KPB0_MOUSE, tr|Q8VGY4|Q8VGY4_MOUSE, tr|E9Q7P5|E9Q7P5_MOUSE, tr|Q8VGY1|Q8VGY1_MOUSE, tr|Q8VH21|Q8VH21_MOUSE, tr|Q924X8|Q924X8_MOUSE, tr|Q7TRQ1|Q7TRQ1_MOUSE, tr|Q8VGX6|Q8VGX6_MOUSE	tr|A0A0D9SDB3|A0A0D9SDB3_CHLSB
OG0000017	tr|Q8VGZ3|Q8VGZ3_MOUSE, tr|E9Q547|E9Q547_MOUSE, tr|A0A1B0GRU2|A0A1B0GRU2_MOUSE, tr|A0A1B0GSS1|A0A1B0GSS1_MOUSE, tr|E9Q544|E9Q544_MOUSE, tr|K7N609|K7N609_MOUSE, tr|L7N462|L7N462_MOUSE, tr|E9Q598|E9Q598_MOUSE, tr|E9Q4X7|E9Q4X7_MOUSE, tr|A0A0G2JFH3|A0A0G2JFH3_MOUSE, tr|Q8VH12|Q8VH12_MOUSE, tr|A0A1B0GSZ2|A0A1B0GSZ2_MOUSE	tr|A0A0D9SDC2|A0A0D9SDC2_CHLSB
OG0000021	tr|G5E8I3|G5E8I3_MOUSE, tr|Q8R2D2|Q8R2D2_MOUSE, tr|H3BLP0|H3BLP0_MOUSE, tr|Q8R2D0|Q8R2D0_MOUSE, tr|Q8R2D1|Q8R2D1_MOUSE, tr|Q14C10|Q14C10_MOUSE, tr|H3BJ46|H3BJ46_MOUSE, tr|G5E8G1|G5E8G1_MOUSE, tr|Q8R2D3|Q8R2D3_MOUSE, tr|Q8R2D6|Q8R2D6_MOUSE, tr|Q8R2D7|Q8R2D7_MOUSE, tr|Q8R2E0|Q8R2E0_MOUSE, tr|G3UWE6|G3UWE6_MOUSE, tr|Q8R2E1|Q8R2E1_MOUSE, tr|Q8R2E3|Q8R2E3_MOUSE, tr|Q8R2E4|Q8R2E4_MOUSE, tr|Q8R2E2|Q8R2E2_MOUSE, tr|G3XA52|G3XA52_MOUSE, tr|Q8R2D9|Q8R2D9_MOUSE, tr|Q3SXA2|Q3SXA2_MOUSE, tr|Q8R2D4|Q8R2D4_MOUSE, tr|B2RQT2|B2RQT2_MOUSE, tr|K7N775|K7N775_MOUSE, tr|Q9EQ41|Q9EQ41_MOUSE, tr|Q8R2D8|Q8R2D8_MOUSE, tr|K7N778|K7N778_MOUSE, tr|K7N688|K7N688_MOUSE, tr|H3BKW5|H3BKW5_MOUSE, tr|W4VSP8|W4VSP8_MOUSE, tr|A2RST7|A2RST7_MOUSE, tr|Q8R2C2|Q8R2C2_MOUSE, tr|E9Q8T0|E9Q8T0_MOUSE, tr|Q8R2C7|Q8R2C7_MOUSE, tr|Q8R2C8|Q8R2C8_MOUSE, tr|Q8R2C9|Q8R2C9_MOUSE, tr|Q8R2C6|Q8R2C6_MOUSE	tr|A0A0D9RPX6|A0A0D9RPX6_CHLSB
OG0000023	tr|Q8VF22|Q8VF22_MOUSE	tr|A0A0D9S9I4|A0A0D9S9I4_CHLSB
OG0000023	tr|Q8VFQ7|Q8VFQ7_MOUSE, tr|Q7TR39|Q7TR39_MOUSE, tr|Q7TR42|Q7TR42_MOUSE, tr|Q7TR40|Q7TR40_MOUSE, tr|Q0VBI4|Q0VBI4_MOUSE, tr|Q8VFQ9|Q8VFQ9_MOUSE, tr|A2AVC0|A2AVC0_MOUSE, tr|Q7TR34|Q7TR34_MOUSE, tr|Q8VG97|Q8VG97_MOUSE, tr|Q8VFQ8|Q8VFQ8_MOUSE, tr|Q7TR45|Q7TR45_MOUSE, tr|Q7TR48|Q7TR48_MOUSE, tr|Q8VEU8|Q8VEU8_MOUSE, tr|Q7TR44|Q7TR44_MOUSE, tr|Q7TR47|Q7TR47_MOUSE, tr|Q7TR43|Q7TR43_MOUSE, tr|Q7TR55|Q7TR55_MOUSE, tr|G3X9L8|G3X9L8_MOUSE, tr|A2AT96|A2AT96_MOUSE, tr|A2AVB8|A2AVB8_MOUSE, tr|Q7TS20|Q7TS20_MOUSE, tr|Q8VG38|Q8VG38_MOUSE, sp|Q8VGR8|O1052_MOUSE, tr|Q7TR57|Q7TR57_MOUSE, sp|Q8VFK1|O1009_MOUSE, sp|Q9QY00|OL154_MOUSE, sp|Q8VFK2|O1002_MOUSE, sp|Q8VF76|OL998_MOUSE, tr|Q7TRA0|Q7TRA0_MOUSE, tr|Q7TR99|Q7TR99_MOUSE, sp|Q8VGS3|O1019_MOUSE	tr|A0A0D9R0T6|A0A0D9R0T6_CHLSB
OG0000026	sp|Q8VG44|OL473_MOUSE, sp|Q8VFC9|OL474_MOUSE, sp|Q8VG43|OL472_MOUSE, sp|Q8VGI6|OL477_MOUSE, sp|Q8VGI4|OL476_MOUSE, sp|Q8VG06|OL491_MOUSE, sp|Q8VG42|OL508_MOUSE, sp|Q8VEZ0|OL480_MOUSE, tr|L7N455|L7N455_MOUSE, sp|Q8VGI5|OL481_MOUSE, tr|Q7TR58|Q7TR58_MOUSE, sp|Q8VEW5|OL493_MOUSE, sp|Q8VFD1|OL492_MOUSE, sp|Q8VG03|OL482_MOUSE, sp|Q8VFD3|OL484_MOUSE, sp|Q8VEW2|OL498_MOUSE, sp|Q8VF12|OL495_MOUSE, tr|A0A140LJF5|A0A140LJF5_MOUSE, sp|Q8VFD0|OL486_MOUSE, tr|Q7TRU9|Q7TRU9_MOUSE, sp|Q8VG02|OL488_MOUSE, sp|Q8VFD2|OL490_MOUSE, sp|Q8VG05|OL483_MOUSE, sp|Q8VG08|OL497_MOUSE, sp|Q8VG07|OL494_MOUSE, tr|Q7TRU6|Q7TRU6_MOUSE, sp|Q8VG13|OL507_MOUSE, sp|Q8VEW6|OL510_MOUSE, sp|Q8VF65|OL470_MOUSE, sp|Q8VF66|OL469_MOUSE, sp|Q8VG09|OL502_MOUSE, sp|Q8VG04|OL478_MOUSE	tr|A0A0D9SDA2|A0A0D9SDA2_CHLSB
OG0000027	tr|Q8VFE2|Q8VFE2_MOUSE	tr|A0A0D9SD84|A0A0D9SD84_CHLSB
OG0000027	tr|Q7TRJ6|Q7TRJ6_MOUSE, tr|Q8VFQ2|Q8VFQ2_MOUSE, tr|Q8VEY1|Q8VEY1_MOUSE, tr|Q7TRJ5|Q7TRJ5_MOUSE, tr|Q5CZY0|Q5CZY0_MOUSE, tr|W4VSP0|W4VSP0_MOUSE, tr|E9PVJ7|E9PVJ7_MOUSE, tr|K7N727|K7N727_MOUSE, tr|A0A140T8J7|A0A140T8J7_MOUSE, tr|Q7TQV1|Q7TQV1_MOUSE, tr|Q7TQW3|Q7TQW3_MOUSE, tr|L7MTT1|L7MTT1_MOUSE, tr|Q8VGT7|Q8VGT7_MOUSE, tr|A0A1L1SQT2|A0A1L1SQT2_MOUSE, tr|A2AV41|A2AV41_MOUSE, tr|Q7TR49|Q7TR49_MOUSE, tr|A0A1L1STL1|A0A1L1STL1_MOUSE, tr|Q7TR35|Q7TR35_MOUSE, tr|A2AVC7|A2AVC7_MOUSE, tr|A2ATA0|A2ATA0_MOUSE, tr|A2AT86|A2AT86_MOUSE, tr|Q8VGT9|Q8VGT9_MOUSE, tr|A2AT85|A2AT85_MOUSE, tr|A0A1L1STN9|A0A1L1STN9_MOUSE, tr|A0A1L1SRZ5|A0A1L1SRZ5_MOUSE, tr|Q7TR54|Q7TR54_MOUSE, tr|Q7TR53|Q7TR53_MOUSE, tr|Q920G5|Q920G5_MOUSE, tr|Q7TRN0|Q7TRN0_MOUSE, tr|Q7TRM9|Q7TRM9_MOUSE	tr|A0A0D9SDA6|A0A0D9SDA6_CHLSB
OG0000029	tr|A0A140T8N8|A0A140T8N8_MOUSE, tr|A0A075B5K0|A0A075B5K0_MOUSE	tr|A0A0D9RVD5|A0A0D9RVD5_CHLSB, tr|A0A0D9RVJ3|A0A0D9RVJ3_CHLSB, tr|A0A0D9RVI8|A0A0D9RVI8_CHLSB, tr|A0A0D9RVN7|A0A0D9RVN7_CHLSB, tr|A0A0D9RVL7|A0A0D9RVL7_CHLSB, tr|A0A0D9RVE9|A0A0D9RVE9_CHLSB, tr|A0A0D9RVK2|A0A0D9RVK2_CHLSB, tr|A0A0D9RVK5|A0A0D9RVK5_CHLSB, tr|A0A0D9RVB9|A0A0D9RVB9_CHLSB, tr|A0A0D9RVA9|A0A0D9RVA9_CHLSB, tr|A0A0D9RVC2|A0A0D9RVC2_CHLSB, tr|A0A0D9RVC9|A0A0D9RVC9_CHLSB, tr|A0A0D9RVD3|A0A0D9RVD3_CHLSB, tr|A0A0D9RVB7|A0A0D9RVB7_CHLSB, tr|A0A0D9RVC6|A0A0D9RVC6_CHLSB, tr|A0A0D9RVH2|A0A0D9RVH2_CHLSB, tr|A0A0D9RVH9|A0A0D9RVH9_CHLSB, tr|A0A0D9RVM4|A0A0D9RVM4_CHLSB, tr|A0A0D9RVK0|A0A0D9RVK0_CHLSB, tr|A0A0D9RVD1|A0A0D9RVD1_CHLSB, tr|A0A0D9RZW0|A0A0D9RZW0_CHLSB
OG0000029	tr|A0A0B4J1I1|A0A0B4J1I1_MOUSE	tr|A0A0D9RVA6|A0A0D9RVA6_CHLSB, tr|A0A0D9RVD0|A0A0D9RVD0_CHLSB, tr|A0A0D9RVC0|A0A0D9RVC0_CHLSB, tr|A0A0D9RVB1|A0A0D9RVB1_CHLSB, tr|A0A0D9RV90|A0A0D9RV90_CHLSB, tr|A0A0D9RZW3|A0A0D9RZW3_CHLSB, tr|A0A0D9RVC4|A0A0D9RVC4_CHLSB, tr|A0A0D9RVD9|A0A0D9RVD9_CHLSB
OG0000030	tr|A0A075B5P0|A0A075B5P0_MOUSE, tr|A0A075B5P1|A0A075B5P1_MOUSE, tr|A0A140T8P0|A0A140T8P0_MOUSE, tr|A0A140T8Q0|A0A140T8Q0_MOUSE, tr|A0A140T8Q4|A0A140T8Q4_MOUSE, tr|A0A140T8M6|A0A140T8M6_MOUSE, tr|A0A075B5N8|A0A075B5N8_MOUSE, sp|P01661|KV3A9_MOUSE, sp|P01658|KV3A6_MOUSE, sp|P01659|KV3A7_MOUSE, sp|P01660|KV3A8_MOUSE, sp|P01662|KV3AA_MOUSE, sp|P01663|KV3AB_MOUSE, sp|P01667|KV3AF_MOUSE, sp|P01669|KV3AH_MOUSE, sp|P01668|KV3AG_MOUSE, sp|P01665|KV3AD_MOUSE, sp|P01666|KV3AE_MOUSE, sp|P01664|KV3AC_MOUSE, sp|P01657|KV3A5_MOUSE, sp|P01654|KV3A1_MOUSE, sp|P01656|KV3A3_MOUSE, sp|P01655|KV3A2_MOUSE, sp|P03977|KV3A4_MOUSE, sp|P01672|KV3AK_MOUSE, sp|P01670|KV3AI_MOUSE, sp|P01673|KV3AL_MOUSE, sp|P01671|KV3AJ_MOUSE, sp|P01674|KV3AM_MOUSE, tr|A0A075B5N9|A0A075B5N9_MOUSE	tr|A0A0D9RVA3|A0A0D9RVA3_CHLSB
OG0000033	tr|E9Q459|E9Q459_MOUSE	tr|A0A0D9S5B1|A0A0D9S5B1_CHLSB, tr|A0A0D9S5B3|A0A0D9S5B3_CHLSB, tr|A0A0D9S5B5|A0A0D9S5B5_CHLSB, tr|A0A0D9S5B9|A0A0D9S5B9_CHLSB, tr|A0A0D9S5E1|A0A0D9S5E1_CHLSB, tr|A0A0D9S5F7|A0A0D9S5F7_CHLSB, tr|A0A0D9S5G2|A0A0D9S5G2_CHLSB, tr|A0A0D9S5F9|A0A0D9S5F9_CHLSB, tr|A0A0D9S5G0|A0A0D9S5G0_CHLSB, tr|A0A0D9SE57|A0A0D9SE57_CHLSB, tr|A0A0D9S5C1|A0A0D9S5C1_CHLSB, tr|A0A0D9S5C4|A0A0D9S5C4_CHLSB, tr|A0A0D9S5F6|A0A0D9S5F6_CHLSB, tr|A0A0D9S5D8|A0A0D9S5D8_CHLSB, tr|A0A0D9S5C7|A0A0D9S5C7_CHLSB, tr|A0A0D9S5E0|A0A0D9S5E0_CHLSB, tr|A0A0D9S5G3|A0A0D9S5G3_CHLSB, tr|A0A0D9S5G5|A0A0D9S5G5_CHLSB, tr|A0A0D9S5F1|A0A0D9S5F1_CHLSB, tr|A0A0D9S5E6|A0A0D9S5E6_CHLSB, tr|A0A0D9S5E2|A0A0D9S5E2_CHLSB, tr|A0A0D9S5E3|A0A0D9S5E3_CHLSB, tr|A0A0D9S5C3|A0A0D9S5C3_CHLSB, tr|A0A0D9S5A0|A0A0D9S5A0_CHLSB, tr|A0A0D9S5A2|A0A0D9S5A2_CHLSB, tr|A0A0D9S5A1|A0A0D9S5A1_CHLSB, tr|A0A0D9S5E9|A0A0D9S5E9_CHLSB, tr|A0A0D9S5F3|A0A0D9S5F3_CHLSB
OG0000036	tr|Q8BFS8|Q8BFS8_MOUSE	tr|A0A0D9S6B4|A0A0D9S6B4_CHLSB
OG0000036	sp|Q80YP6|ZIK1_MOUSE	tr|A0A0D9S6B8|A0A0D9S6B8_CHLSB, tr|A0A0D9S6E0|A0A0D9S6E0_CHLSB, tr|A0A0D9S0D1|A0A0D9S0D1_CHLSB, tr|A0A0D9RYT1|A0A0D9RYT1_CHLSB, tr|A0A0D9RYS9|A0A0D9RYS9_CHLSB, tr|A0A0D9S697|A0A0D9S697_CHLSB, tr|A0A0D9S695|A0A0D9S695_CHLSB, tr|A0A0D9S6A2|A0A0D9S6A2_CHLSB, tr|A0A0D9S6A3|A0A0D9S6A3_CHLSB, tr|A0A0D9S694|A0A0D9S694_CHLSB, tr|A0A0D9S6A6|A0A0D9S6A6_CHLSB, tr|A0A0D9S6E1|A0A0D9S6E1_CHLSB, tr|A0A0D9S6B1|A0A0D9S6B1_CHLSB, tr|A0A0D9QX25|A0A0D9QX25_CHLSB, tr|A0A0D9S6B7|A0A0D9S6B7_CHLSB, tr|A0A0D9S6B0|A0A0D9S6B0_CHLSB, tr|A0A0D9SE69|A0A0D9SE69_CHLSB, tr|A0A0D9S6B6|A0A0D9S6B6_CHLSB, tr|A0A0D9S6C1|A0A0D9S6C1_CHLSB, tr|A0A0D9S6B9|A0A0D9S6B9_CHLSB, tr|A0A0D9SE68|A0A0D9SE68_CHLSB, tr|A0A0D9S6C0|A0A0D9S6C0_CHLSB, tr|A0A0D9S6B2|A0A0D9S6B2_CHLSB, tr|A0A0D9S6A9|A0A0D9S6A9_CHLSB, tr|A0A0D9S6A8|A0A0D9S6A8_CHLSB
OG0000039	tr|A0A075B5R1|A0A075B5R1_MOUSE	tr|A0A0D9R9L0|A0A0D9R9L0_CHLSB, tr|A0A0D9R9W5|A0A0D9R9W5_CHLSB, tr|A0A0D9R9Z5|A0A0D9R9Z5_CHLSB, tr|A0A0D9R9L5|A0A0D9R9L5_CHLSB, tr|A0A0D9RYR4|A0A0D9RYR4_CHLSB, tr|A0A0D9R9P8|A0A0D9R9P8_CHLSB, tr|A0A0D9R9S8|A0A0D9R9S8_CHLSB, tr|A0A0D9R9R2|A0A0D9R9R2_CHLSB, tr|A0A0D9RA84|A0A0D9RA84_CHLSB, tr|A0A0D9R9K3|A0A0D9R9K3_CHLSB, tr|A0A0D9R9B5|A0A0D9R9B5_CHLSB, tr|A0A0D9R9Q3|A0A0D9R9Q3_CHLSB, tr|A0A0D9RA96|A0A0D9RA96_CHLSB, tr|A0A0D9RA79|A0A0D9RA79_CHLSB, tr|A0A0D9R9B2|A0A0D9R9B2_CHLSB, tr|A0A0D9R9E1|A0A0D9R9E1_CHLSB, tr|A0A0D9RA51|A0A0D9RA51_CHLSB, tr|A0A0D9RA70|A0A0D9RA70_CHLSB, tr|A0A0D9RA74|A0A0D9RA74_CHLSB, tr|A0A0D9S0D0|A0A0D9S0D0_CHLSB, tr|A0A0D9R9L6|A0A0D9R9L6_CHLSB, tr|A0A0D9R9U3|A0A0D9R9U3_CHLSB, tr|A0A0D9RA60|A0A0D9RA60_CHLSB, tr|A0A0D9R9D8|A0A0D9R9D8_CHLSB, tr|A0A0D9RA45|A0A0D9RA45_CHLSB
OG0000040	tr|Q8VGE8|Q8VGE8_MOUSE, tr|Q8VGE6|Q8VGE6_MOUSE, tr|Q8VGE5|Q8VGE5_MOUSE, tr|Q8VF48|Q8VF48_MOUSE, tr|Q7TQX8|Q7TQX8_MOUSE, tr|Q8VGE9|Q8VGE9_MOUSE, tr|Q7TQX5|Q7TQX5_MOUSE, tr|Q8VGE7|Q8VGE7_MOUSE, tr|Q7TQY4|Q7TQY4_MOUSE, tr|Q7TQY1|Q7TQY1_MOUSE, tr|Q8VGG8|Q8VGG8_MOUSE, tr|Q7TQY2|Q7TQY2_MOUSE, tr|Q7TQY5|Q7TQY5_MOUSE, tr|Q7TQY6|Q7TQY6_MOUSE, tr|Q8VF41|Q8VF41_MOUSE, tr|Q05A45|Q05A45_MOUSE, tr|E9Q8X3|E9Q8X3_MOUSE, tr|A2RTN7|A2RTN7_MOUSE, tr|Q8VET4|Q8VET4_MOUSE, tr|E9PZU2|E9PZU2_MOUSE, tr|K7N5X7|K7N5X7_MOUSE, tr|Q7TRM6|Q7TRM6_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE	tr|A0A0D9RW80|A0A0D9RW80_CHLSB
OG0000042	tr|Q7TNK4|Q7TNK4_MOUSE	tr|A0A0D9RZ85|A0A0D9RZ85_CHLSB
OG0000042	sp|Q91VN1|ZNF24_MOUSE	tr|A0A0D9R6I7|A0A0D9R6I7_CHLSB, tr|A0A0D9R6N5|A0A0D9R6N5_CHLSB, tr|A0A0D9R6R5|A0A0D9R6R5_CHLSB, tr|A0A0D9RZ89|A0A0D9RZ89_CHLSB
OG0000042	sp|Q9Z1D7|ZSC12_MOUSE	tr|A0A0D9RDI9|A0A0D9RDI9_CHLSB, tr|A0A0D9R6S7|A0A0D9R6S7_CHLSB, tr|A0A0D9R6R0|A0A0D9R6R0_CHLSB
OG0000042	sp|Q5RJ54|ZSC26_MOUSE	tr|A0A0D9RCD4|A0A0D9RCD4_CHLSB, tr|A0A0D9R9E8|A0A0D9R9E8_CHLSB, tr|A0A0D9QWH6|A0A0D9QWH6_CHLSB, tr|A0A0D9RVM8|A0A0D9RVM8_CHLSB, tr|A0A0D9R757|A0A0D9R757_CHLSB, tr|A0A0D9R5S1|A0A0D9R5S1_CHLSB, tr|A0A0D9RCE6|A0A0D9RCE6_CHLSB, tr|A0A0D9SE46|A0A0D9SE46_CHLSB
OG0000042	sp|Q07231|ZSC21_MOUSE	tr|A0A0D9RK95|A0A0D9RK95_CHLSB, tr|A0A0D9RZ14|A0A0D9RZ14_CHLSB
OG0000043	sp|Q64523|H2A2C_MOUSE	tr|A0A0D9SA89|A0A0D9SA89_CHLSB
OG0000043	sp|Q8R1M2|H2AJ_MOUSE	tr|A0A0D9SD10|A0A0D9SD10_CHLSB
OG0000043	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A0D9SAA0|A0A0D9SAA0_CHLSB
OG0000043	sp|Q8BFU2|H2A3_MOUSE	tr|A0A0D9SCL4|A0A0D9SCL4_CHLSB, tr|A0A0D9SA36|A0A0D9SA36_CHLSB
OG0000043	sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE9|H2A1P_MOUSE	tr|A0A0D9SCL9|A0A0D9SCL9_CHLSB
OG0000043	sp|Q64522|H2A2B_MOUSE	tr|A0A0D9SCM3|A0A0D9SCM3_CHLSB, tr|A0A0D9SA92|A0A0D9SA92_CHLSB
OG0000044	tr|Q9EPG6|Q9EPG6_MOUSE, tr|A0A0R4J8U2|A0A0R4J8U2_MOUSE, tr|K7N662|K7N662_MOUSE, tr|A0A140T8J9|A0A140T8J9_MOUSE, tr|A0A1L1SSB4|A0A1L1SSB4_MOUSE, tr|Q8VEY6|Q8VEY6_MOUSE, tr|A2ACY8|A2ACY8_MOUSE, tr|A0A1L1SQF6|A0A1L1SQF6_MOUSE, tr|L7MTV4|L7MTV4_MOUSE, tr|B2RVY8|B2RVY8_MOUSE, tr|K7N684|K7N684_MOUSE, tr|Q7TQV7|Q7TQV7_MOUSE, tr|Q3KPC7|Q3KPC7_MOUSE, tr|Q7TQV4|Q7TQV4_MOUSE, tr|Q8VGB1|Q8VGB1_MOUSE, tr|L7MU75|L7MU75_MOUSE, tr|Q8VFY3|Q8VFY3_MOUSE, tr|E9PZS7|E9PZS7_MOUSE, tr|A0A2I3BRI6|A0A2I3BRI6_MOUSE, tr|A2ASV3|A2ASV3_MOUSE, tr|E9Q725|E9Q725_MOUSE, tr|Q8VG49|Q8VG49_MOUSE, tr|Q920Z2|Q920Z2_MOUSE, tr|Q9EP55|Q9EP55_MOUSE	tr|A0A0D9SDA5|A0A0D9SDA5_CHLSB
OG0000049	sp|Q8BQR7|MAGBI_MOUSE	tr|A0A0D9SDV1|A0A0D9SDV1_CHLSB
