Orthogroup	Mus_musculus	Octodon_degus
OG0000030	tr|A2AVW3|A2AVW3_MOUSE	tr|A0A6P3FMM2|A0A6P3FMM2_OCTDE
OG0000030	tr|Q8VET0|Q8VET0_MOUSE	tr|A0A6P3G0L0|A0A6P3G0L0_OCTDE
OG0000030	tr|A2AVW1|A2AVW1_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|Q8VF38|Q8VF38_MOUSE, tr|Q8VF29|Q8VF29_MOUSE, tr|Q7TQY0|Q7TQY0_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE	tr|A0A6P3G0F2|A0A6P3G0F2_OCTDE
OG0000038	sp|P28293|CATG_MOUSE	tr|A0A6P3FV14|A0A6P3FV14_OCTDE, tr|A0A6P3FHY2|A0A6P3FHY2_OCTDE, tr|A0A6P6DN20|A0A6P6DN20_OCTDE, tr|A0A6P3VE45|A0A6P3VE45_OCTDE, tr|A0A6P3FFY4|A0A6P3FFY4_OCTDE, tr|A0A6P6DWJ2|A0A6P6DWJ2_OCTDE, tr|A0A6P6DUV5|A0A6P6DUV5_OCTDE, tr|A0A6P3FME6|A0A6P3FME6_OCTDE, tr|A0A6P3V9M5|A0A6P3V9M5_OCTDE, tr|A0A6P6DU18|A0A6P6DU18_OCTDE, tr|A0A6P3G084|A0A6P3G084_OCTDE, tr|A0A6P3FWJ7|A0A6P3FWJ7_OCTDE, tr|A0A6P3V947|A0A6P3V947_OCTDE, tr|A0A6P3FZ36|A0A6P3FZ36_OCTDE, tr|A0A6P6DU19|A0A6P6DU19_OCTDE, tr|A0A6P6DTS1|A0A6P6DTS1_OCTDE, tr|A0A6P3V920|A0A6P3V920_OCTDE, tr|A0A6P3FYH3|A0A6P3FYH3_OCTDE, tr|A0A6P6DU56|A0A6P6DU56_OCTDE, tr|A0A6P3FJH3|A0A6P3FJH3_OCTDE, tr|A0A6P6DXG0|A0A6P6DXG0_OCTDE, tr|A0A6P3VEN2|A0A6P3VEN2_OCTDE, tr|A0A6P3FEB2|A0A6P3FEB2_OCTDE
OG0000039	tr|Q91Y08|Q91Y08_MOUSE, tr|Q91V48|Q91V48_MOUSE, tr|Q91Y04|Q91Y04_MOUSE, tr|Q91XZ9|Q91XZ9_MOUSE, sp|Q91Y02|PCDBI_MOUSE, tr|Q91Y00|Q91Y00_MOUSE, tr|Q91Y01|Q91Y01_MOUSE, tr|Q91XZ8|Q91XZ8_MOUSE, tr|Q91VD8|Q91VD8_MOUSE, tr|Q91Y03|Q91Y03_MOUSE, tr|Q91XZ7|Q91XZ7_MOUSE, tr|Q91XZ5|Q91XZ5_MOUSE, tr|Q8CDY9|Q8CDY9_MOUSE, tr|E9Q5G2|E9Q5G2_MOUSE, sp|Q6PB90|PCDBE_MOUSE, tr|Q91Y06|Q91Y06_MOUSE, tr|Q91UZ8|Q91UZ8_MOUSE, tr|Q91Y07|Q91Y07_MOUSE, tr|Q91VE5|Q91VE5_MOUSE, tr|Q91XZ6|Q91XZ6_MOUSE, sp|Q91XZ4|PCDB6_MOUSE, sp|Q91XZ2|PCDB8_MOUSE	tr|A0A6P3FSQ6|A0A6P3FSQ6_OCTDE
OG0000041	tr|Q8VFC2|Q8VFC2_MOUSE	tr|A0A6P3EY99|A0A6P3EY99_OCTDE, tr|A0A6P3F8Q2|A0A6P3F8Q2_OCTDE
OG0000041	tr|Q8VFG3|Q8VFG3_MOUSE	tr|A0A6P3FL06|A0A6P3FL06_OCTDE, tr|A0A6P3FIE9|A0A6P3FIE9_OCTDE, tr|A0A6P3FXY5|A0A6P3FXY5_OCTDE, tr|A0A6P3FVG8|A0A6P3FVG8_OCTDE, tr|A0A6P3F4T3|A0A6P3F4T3_OCTDE, tr|A0A6P3FJP0|A0A6P3FJP0_OCTDE, tr|A0A6P3FKJ0|A0A6P3FKJ0_OCTDE, tr|A0A6P3FMF3|A0A6P3FMF3_OCTDE, tr|A0A6P3V9A8|A0A6P3V9A8_OCTDE, tr|A0A6P3FYJ0|A0A6P3FYJ0_OCTDE, tr|A0A6P3F214|A0A6P3F214_OCTDE, tr|A0A6P3FV28|A0A6P3FV28_OCTDE, tr|A0A6P3FXX8|A0A6P3FXX8_OCTDE, tr|A0A6P3F1T7|A0A6P3F1T7_OCTDE, tr|A0A6P3V9U3|A0A6P3V9U3_OCTDE, tr|A0A6P3FXY8|A0A6P3FXY8_OCTDE, tr|A0A6P3V8S0|A0A6P3V8S0_OCTDE, tr|A0A6P3FIF5|A0A6P3FIF5_OCTDE, tr|A0A6P3FL22|A0A6P3FL22_OCTDE
OG0000045	tr|A2BHR2|A2BHR2_MOUSE, tr|Q80YX8|Q80YX8_MOUSE, sp|P04939|MUP3_MOUSE, sp|Q5FW60|MUP20_MOUSE, tr|A2AV72|A2AV72_MOUSE, sp|P11590|MUP4_MOUSE, sp|P11591|MUP5_MOUSE, tr|E9QA79|E9QA79_MOUSE, tr|E9PVW0|E9PVW0_MOUSE, tr|L7N222|L7N222_MOUSE, sp|B5X0G2|MUP17_MOUSE, tr|A2CEK7|A2CEK7_MOUSE, sp|P02762|MUP6_MOUSE, tr|A9R9W0|A9R9W0_MOUSE, sp|P11588|MUP1_MOUSE, tr|A2BIN1|A2BIN1_MOUSE, sp|P11589|MUP2_MOUSE, sp|P04938|MUP11_MOUSE, sp|A2BIM8|MUP18_MOUSE, tr|Q4FZE8|Q4FZE8_MOUSE	tr|A0A6P3V8L3|A0A6P3V8L3_OCTDE
OG0000049	tr|Q7TR29|Q7TR29_MOUSE, tr|A2BHP6|A2BHP6_MOUSE	tr|A0A6P3FMR1|A0A6P3FMR1_OCTDE
OG0000049	tr|A0A2I3BPX0|A0A2I3BPX0_MOUSE, tr|A0A2I3BPQ2|A0A2I3BPQ2_MOUSE, tr|A0A2I3BRN4|A0A2I3BRN4_MOUSE	tr|A0A6P3FJV8|A0A6P3FJV8_OCTDE
OG0000049	tr|A2AVT5|A2AVT5_MOUSE, tr|Q8VG40|Q8VG40_MOUSE, sp|Q8VFR8|O1165_MOUSE, tr|Q7TR24|Q7TR24_MOUSE, tr|Q7TR25|Q7TR25_MOUSE, tr|Q7TR26|Q7TR26_MOUSE, tr|Q8VFG1|Q8VFG1_MOUSE, tr|Q7TR27|Q7TR27_MOUSE	tr|A0A6P3FJE8|A0A6P3FJE8_OCTDE
OG0000050	sp|P35979|RL12_MOUSE	tr|A0A6P3VD52|A0A6P3VD52_OCTDE, tr|A0A6P3FFK6|A0A6P3FFK6_OCTDE, tr|A0A6P3V8B7|A0A6P3V8B7_OCTDE, tr|A0A6P3VDH7|A0A6P3VDH7_OCTDE, tr|A0A6P3VC85|A0A6P3VC85_OCTDE, tr|A0A6P3VCG1|A0A6P3VCG1_OCTDE, tr|A0A6P3V9C6|A0A6P3V9C6_OCTDE, tr|A0A6P3EUR8|A0A6P3EUR8_OCTDE, tr|A0A6P3EZ04|A0A6P3EZ04_OCTDE, tr|A0A6P3V9T1|A0A6P3V9T1_OCTDE, tr|A0A6P3F4F9|A0A6P3F4F9_OCTDE, tr|A0A6P3VE08|A0A6P3VE08_OCTDE, tr|A0A6P3VDL7|A0A6P3VDL7_OCTDE, tr|A0A6P3VC82|A0A6P3VC82_OCTDE, tr|A0A6P6E947|A0A6P6E947_OCTDE, tr|A0A6P3V9D4|A0A6P3V9D4_OCTDE, tr|A0A6P3EP86|A0A6P3EP86_OCTDE, tr|A0A6P3VDV8|A0A6P3VDV8_OCTDE, tr|A0A6P3VEA3|A0A6P3VEA3_OCTDE
OG0000051	sp|Q64467|G3PT_MOUSE	tr|A0A6P3F1R0|A0A6P3F1R0_OCTDE, tr|A0A6P3V8E5|A0A6P3V8E5_OCTDE, tr|A0A6P3EWN6|A0A6P3EWN6_OCTDE, tr|A0A6P3F8L6|A0A6P3F8L6_OCTDE, tr|A0A6P6DVQ5|A0A6P6DVQ5_OCTDE, tr|A0A6P3V9F3|A0A6P3V9F3_OCTDE, tr|A0A6P6EPP2|A0A6P6EPP2_OCTDE, tr|A0A6P3VA85|A0A6P3VA85_OCTDE, tr|A0A6P3FD80|A0A6P3FD80_OCTDE, tr|A0A6P3VCN4|A0A6P3VCN4_OCTDE, tr|A0A6P3VDP9|A0A6P3VDP9_OCTDE, tr|A0A6P3VAT7|A0A6P3VAT7_OCTDE, tr|A0A6P3EYG9|A0A6P3EYG9_OCTDE, tr|A0A6P6DLF3|A0A6P6DLF3_OCTDE, tr|A0A6P3FCR7|A0A6P3FCR7_OCTDE, tr|A0A6P6DRZ4|A0A6P6DRZ4_OCTDE, tr|A0A6P6DYX1|A0A6P6DYX1_OCTDE, tr|A0A6P6D4D0|A0A6P6D4D0_OCTDE, tr|A0A6P6DLS9|A0A6P6DLS9_OCTDE
OG0000055	tr|D3Z7A9|D3Z7A9_MOUSE	tr|A0A6P6DW59|A0A6P6DW59_OCTDE, tr|A0A6P6DWZ6|A0A6P6DWZ6_OCTDE, tr|A0A6P6DX20|A0A6P6DX20_OCTDE, tr|A0A6P6DX61|A0A6P6DX61_OCTDE, tr|A0A6P6DUT8|A0A6P6DUT8_OCTDE, tr|A0A6P6DUF0|A0A6P6DUF0_OCTDE, tr|A0A6P3V974|A0A6P3V974_OCTDE, tr|A0A6P6DXL2|A0A6P6DXL2_OCTDE, tr|A0A6P6DVG2|A0A6P6DVG2_OCTDE, tr|A0A6P6DVI6|A0A6P6DVI6_OCTDE, tr|A0A6P6DUU8|A0A6P6DUU8_OCTDE, tr|A0A6P6DUQ3|A0A6P6DUQ3_OCTDE, tr|A0A6P6DX93|A0A6P6DX93_OCTDE, tr|A0A6P6DUI4|A0A6P6DUI4_OCTDE, tr|A0A6P6DW51|A0A6P6DW51_OCTDE, tr|A0A6P6DW96|A0A6P6DW96_OCTDE, tr|A0A6P6DUQ8|A0A6P6DUQ8_OCTDE, tr|A0A6P6DUM4|A0A6P6DUM4_OCTDE
OG0000056	tr|A0A1L1SRD7|A0A1L1SRD7_MOUSE, tr|Q0VB29|Q0VB29_MOUSE, tr|A2AUS6|A2AUS6_MOUSE, tr|Q7TR20|Q7TR20_MOUSE, tr|Q7TR14|Q7TR14_MOUSE, tr|Q7TR13|Q7TR13_MOUSE, tr|A2ATJ4|A2ATJ4_MOUSE, tr|A2AV13|A2AV13_MOUSE, tr|A0A1L1STD5|A0A1L1STD5_MOUSE, tr|A2ATW2|A2ATW2_MOUSE, tr|A0A1L1SQ02|A0A1L1SQ02_MOUSE, tr|Q8VEZ3|Q8VEZ3_MOUSE, tr|Q8VEZ2|Q8VEZ2_MOUSE, tr|Q7TR12|Q7TR12_MOUSE, tr|Q8VG47|Q8VG47_MOUSE, tr|Q8VG86|Q8VG86_MOUSE, tr|Q7TR18|Q7TR18_MOUSE, tr|Q7TR17|Q7TR17_MOUSE	tr|A0A6P3V9D9|A0A6P3V9D9_OCTDE
OG0000058	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A6P3F5Q5|A0A6P3F5Q5_OCTDE
OG0000058	sp|Q8CGP6|H2A1H_MOUSE	tr|A0A6P3V8Q3|A0A6P3V8Q3_OCTDE
OG0000058	sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE3|H2A1D_MOUSE	tr|A0A6P3FL89|A0A6P3FL89_OCTDE, tr|A0A6P3F1Q2|A0A6P3F1Q2_OCTDE, tr|A0A6P3EZ06|A0A6P3EZ06_OCTDE
OG0000059	sp|Q6B966|NAL14_MOUSE	tr|A0A6P6DUZ4|A0A6P6DUZ4_OCTDE
OG0000059	sp|E9Q5R7|NAL12_MOUSE	tr|A0A6P6DW67|A0A6P6DW67_OCTDE
OG0000059	sp|Q8R4B8|NLRP3_MOUSE	tr|A0A6P6DU58|A0A6P6DU58_OCTDE
OG0000059	sp|Q66X01|NLR9C_MOUSE, sp|Q66X03|NLR9A_MOUSE, sp|Q66X22|NLR9B_MOUSE, sp|Q66X05|NAL4F_MOUSE, sp|Q8C6J9|NAL4B_MOUSE, sp|Q8BU40|NAL4A_MOUSE, sp|Q3TKR3|NAL4C_MOUSE, sp|Q66X19|NAL4E_MOUSE	tr|A0A6P3V969|A0A6P3V969_OCTDE
OG0000064	tr|Q7TQU5|Q7TQU5_MOUSE, tr|K9J6X0|K9J6X0_MOUSE	tr|A0A6P3EZ35|A0A6P3EZ35_OCTDE
OG0000064	sp|Q60890|OLF11_MOUSE, tr|Q8VFC1|Q8VFC1_MOUSE, tr|L7N1Z1|L7N1Z1_MOUSE, tr|Q8VFQ1|Q8VFQ1_MOUSE, tr|L7N475|L7N475_MOUSE, tr|Q6UAH1|Q6UAH1_MOUSE, tr|Q7TRL3|Q7TRL3_MOUSE, tr|Q0VEL5|Q0VEL5_MOUSE, tr|A0A140LHN3|A0A140LHN3_MOUSE, tr|Q7TRI8|Q7TRI8_MOUSE, sp|P23275|OLF15_MOUSE, tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|Q8VFH0|Q8VFH0_MOUSE, tr|Q7TS30|Q7TS30_MOUSE	tr|A0A6P3FI04|A0A6P3FI04_OCTDE
OG0000068	sp|Q91Y57|SIG12_MOUSE	tr|A0A6P6DKU1|A0A6P6DKU1_OCTDE, tr|A0A6P6DKZ0|A0A6P6DKZ0_OCTDE
OG0000068	tr|B7ZMQ6|B7ZMQ6_MOUSE	tr|A0A6P6DKS2|A0A6P6DKS2_OCTDE
OG0000068	sp|Q63994|CD33_MOUSE	tr|A0A6P6DKT6|A0A6P6DKT6_OCTDE, tr|A0A6P6DKQ4|A0A6P6DKQ4_OCTDE, tr|A0A6P3FFC5|A0A6P3FFC5_OCTDE, tr|A0A6P6DKQ3|A0A6P6DKQ3_OCTDE, tr|A0A6P6DLX5|A0A6P6DLX5_OCTDE
OG0000068	sp|Q920G3|SIGL5_MOUSE	tr|A0A6P6DL17|A0A6P6DL17_OCTDE, tr|A0A6P6DKS1|A0A6P6DKS1_OCTDE
OG0000069	sp|P84228|H32_MOUSE	tr|A0A6P6EJI0|A0A6P6EJI0_OCTDE
OG0000069	sp|P84244|H33_MOUSE	tr|A0A6P6D6T6|A0A6P6D6T6_OCTDE, tr|A0A6P3FV23|A0A6P3FV23_OCTDE, tr|A0A6P3VBE9|A0A6P3VBE9_OCTDE, tr|A0A6P6DGX6|A0A6P6DGX6_OCTDE, tr|A0A6P3EKC6|A0A6P3EKC6_OCTDE, tr|A0A6P6DA40|A0A6P6DA40_OCTDE, tr|A0A6P6F5B0|A0A6P6F5B0_OCTDE, tr|A0A6P3VCD1|A0A6P3VCD1_OCTDE, tr|A0A6P6DZT0|A0A6P6DZT0_OCTDE, tr|A0A6P3EU58|A0A6P3EU58_OCTDE, tr|A0A6P3VDL5|A0A6P3VDL5_OCTDE, tr|A0A6P3VCB1|A0A6P3VCB1_OCTDE, tr|A0A6P3FE26|A0A6P3FE26_OCTDE, tr|A0A6P3VBQ8|A0A6P3VBQ8_OCTDE, tr|A0A6P6D698|A0A6P6D698_OCTDE
OG0000070	sp|Q3UV17|K22O_MOUSE	tr|A0A6P3F3F5|A0A6P3F3F5_OCTDE
OG0000070	sp|Q8VED5|K2C79_MOUSE	tr|A0A6P3F389|A0A6P3F389_OCTDE
OG0000070	tr|E9Q1Z0|E9Q1Z0_MOUSE	tr|A0A6P3VCQ8|A0A6P3VCQ8_OCTDE, tr|A0A6P3FEE2|A0A6P3FEE2_OCTDE, tr|A0A6P6F2B0|A0A6P6F2B0_OCTDE, tr|A0A6P3F383|A0A6P3F383_OCTDE, tr|A0A6P3FHS8|A0A6P3FHS8_OCTDE, tr|A0A6P3FHV4|A0A6P3FHV4_OCTDE
OG0000070	sp|Q6IFZ6|K2C1B_MOUSE	tr|A0A6P3FEE7|A0A6P3FEE7_OCTDE, tr|A0A6P3FEM9|A0A6P3FEM9_OCTDE, tr|A0A6P3FHT3|A0A6P3FHT3_OCTDE
OG0000071	sp|P06797|CATL1_MOUSE, tr|E9Q623|E9Q623_MOUSE, tr|Q3ULP7|Q3ULP7_MOUSE, sp|Q80UB0|TEST2_MOUSE, tr|Q9ET52|Q9ET52_MOUSE, sp|Q9JIA9|CATR_MOUSE, tr|Q91ZF4|Q91ZF4_MOUSE, sp|Q9R014|CATJ_MOUSE, sp|Q91ZF2|CAT7_MOUSE, tr|Q91ZD5|Q91ZD5_MOUSE, sp|Q9JL96|CATM_MOUSE, sp|Q9JI81|CAT8_MOUSE, sp|P12399|CTL2A_MOUSE, sp|P12400|CTL2B_MOUSE, sp|P13438|TSP_MOUSE, tr|Q9CQC0|Q9CQC0_MOUSE	tr|A0A6P3FSM8|A0A6P3FSM8_OCTDE
