Orthogroup	Mus_musculus	Ornithorhynchus_anatinus
OG0000026	tr|Q8C879|Q8C879_MOUSE	tr|A0A6I8P6C8|A0A6I8P6C8_ORNAN
OG0000026	sp|Q91VN1|ZNF24_MOUSE	tr|A0A6I8P9B1|A0A6I8P9B1_ORNAN, tr|A0A6I8NG47|A0A6I8NG47_ORNAN
OG0000026	sp|Q8CF60|ZN263_MOUSE	tr|A0A6I8N856|A0A6I8N856_ORNAN, tr|A0A6I8PP53|A0A6I8PP53_ORNAN, tr|F7AMF4|F7AMF4_ORNAN, tr|A0A6I8N601|A0A6I8N601_ORNAN
OG0000031	sp|Q9QZ04|MAGL2_MOUSE, sp|Q9CPR8|NSE3_MOUSE, tr|Q99PB1|Q99PB1_MOUSE, tr|Q52KG3|Q52KG3_MOUSE, sp|Q6PCZ4|MAGE1_MOUSE, tr|A2AHM1|A2AHM1_MOUSE, tr|Q9D2H4|Q9D2H4_MOUSE, tr|A2AHM0|A2AHM0_MOUSE, sp|A2A9R3|MAGB4_MOUSE, tr|Q14AN0|Q14AN0_MOUSE, tr|A2A9Q9|A2A9Q9_MOUSE, tr|G3UW88|G3UW88_MOUSE, sp|Q8BQR7|MAGBI_MOUSE, sp|Q9CWV4|MAGBG_MOUSE, tr|A2AMW4|A2AMW4_MOUSE, tr|Q8BQJ2|Q8BQJ2_MOUSE, tr|Q9D9G4|Q9D9G4_MOUSE, tr|Q6T340|Q6T340_MOUSE, tr|O89006|O89006_MOUSE, tr|Q9R2A2|Q9R2A2_MOUSE, tr|O89010|O89010_MOUSE, tr|O89012|O89012_MOUSE, tr|O89009|O89009_MOUSE, tr|F2Z493|F2Z493_MOUSE, tr|Q99PA7|Q99PA7_MOUSE, tr|Q9D4D2|Q9D4D2_MOUSE	tr|F7CAS5|F7CAS5_ORNAN
OG0000033	tr|Q9D0Z8|Q9D0Z8_MOUSE, tr|Q78Y72|Q78Y72_MOUSE, tr|Q9DAT7|Q9DAT7_MOUSE, tr|Q3UKP4|Q3UKP4_MOUSE, sp|Q61400|CEAMA_MOUSE, sp|P31809|CEAM1_MOUSE, sp|Q925P2|CEAM2_MOUSE, sp|A0A0B4J1L0|CEA15_MOUSE, tr|Q78T27|Q78T27_MOUSE, sp|Q3UKK2|CEAM5_MOUSE, tr|A0A3Q4EGJ1|A0A3Q4EGJ1_MOUSE, tr|E9Q6J4|E9Q6J4_MOUSE, tr|Q3URN6|Q3URN6_MOUSE, tr|Q8K0U8|Q8K0U8_MOUSE, tr|Q497W2|Q497W2_MOUSE, tr|Q9DAV5|Q9DAV5_MOUSE, tr|Q9D2U0|Q9D2U0_MOUSE, tr|E9Q9B4|E9Q9B4_MOUSE, tr|Q497W1|Q497W1_MOUSE, tr|Q4KL31|Q4KL31_MOUSE, sp|Q810J1|PSG22_MOUSE, tr|Q62056|Q62056_MOUSE, tr|Q4KL66|Q4KL66_MOUSE, tr|Q4KL65|Q4KL65_MOUSE, tr|B2RSG7|B2RSG7_MOUSE	tr|A0A6I8N4E9|A0A6I8N4E9_ORNAN
OG0000035	tr|Q8VEU7|Q8VEU7_MOUSE	tr|A0A6I8N3Z7|A0A6I8N3Z7_ORNAN, tr|F6VJE7|F6VJE7_ORNAN, tr|A0A6I8NQR9|A0A6I8NQR9_ORNAN, tr|F7BIR9|F7BIR9_ORNAN, tr|F7DFA9|F7DFA9_ORNAN, tr|F7DFB6|F7DFB6_ORNAN, tr|F7AS70|F7AS70_ORNAN, tr|A0A6I8N3K1|A0A6I8N3K1_ORNAN, tr|A0A6I8PF74|A0A6I8PF74_ORNAN, tr|A0A6I8PJG3|A0A6I8PJG3_ORNAN, tr|A0A6I8N567|A0A6I8N567_ORNAN, tr|F6XC68|F6XC68_ORNAN, tr|F6ST51|F6ST51_ORNAN, tr|F7CMM8|F7CMM8_ORNAN, tr|A0A6I8NSE9|A0A6I8NSE9_ORNAN, tr|F7BNN6|F7BNN6_ORNAN, tr|F6TVB3|F6TVB3_ORNAN, tr|A0A6I8N505|A0A6I8N505_ORNAN, tr|F6UM42|F6UM42_ORNAN, tr|A0A6I8N6K0|A0A6I8N6K0_ORNAN, tr|A0A6I8NV63|A0A6I8NV63_ORNAN, tr|A0A6I8PD47|A0A6I8PD47_ORNAN, tr|A0A6I8N244|A0A6I8N244_ORNAN, tr|F6QAR0|F6QAR0_ORNAN, tr|F7FNU0|F7FNU0_ORNAN
OG0000040	tr|A0A075B5R1|A0A075B5R1_MOUSE, tr|A0A075B5Q9|A0A075B5Q9_MOUSE, sp|P18527|HVM56_MOUSE	tr|F6ZNU9|F6ZNU9_ORNAN
OG0000040	sp|P06336|IGHE_MOUSE	tr|F6QU84|F6QU84_ORNAN, tr|F6QU73|F6QU73_ORNAN, tr|F6QUF6|F6QUF6_ORNAN, tr|F6QUJ4|F6QUJ4_ORNAN, tr|F7EQ33|F7EQ33_ORNAN, tr|A0A6I8PH35|A0A6I8PH35_ORNAN, tr|A0A6I8P2K6|A0A6I8P2K6_ORNAN, tr|F6UMA5|F6UMA5_ORNAN, tr|F6XBZ3|F6XBZ3_ORNAN, tr|F6WX17|F6WX17_ORNAN, tr|F6QUI5|F6QUI5_ORNAN, tr|F7EPX5|F7EPX5_ORNAN, tr|F6Y509|F6Y509_ORNAN, tr|A0A6I8P0F2|A0A6I8P0F2_ORNAN, tr|F6UYK4|F6UYK4_ORNAN, tr|A0A6I8MX49|A0A6I8MX49_ORNAN, tr|F6Z607|F6Z607_ORNAN, tr|A0A6I8P5G5|A0A6I8P5G5_ORNAN, tr|F6TMA3|F6TMA3_ORNAN, tr|A0A6I8PT78|A0A6I8PT78_ORNAN
OG0000043	sp|P10755|ZFP14_MOUSE	tr|A0A6I8PI20|A0A6I8PI20_ORNAN
OG0000043	sp|Q7TNU6|ZN250_MOUSE	tr|F7AAL0|F7AAL0_ORNAN, tr|A0A6I8PC53|A0A6I8PC53_ORNAN, tr|A0A6I8P1S0|A0A6I8P1S0_ORNAN, tr|A0A6I8PEY7|A0A6I8PEY7_ORNAN, tr|A0A6I8P5R5|A0A6I8P5R5_ORNAN, tr|A0A6I8PD40|A0A6I8PD40_ORNAN, tr|A0A6I8NMT6|A0A6I8NMT6_ORNAN, tr|A0A6I8NZD4|A0A6I8NZD4_ORNAN, tr|A0A6I8NC46|A0A6I8NC46_ORNAN, tr|A0A6I8NQW3|A0A6I8NQW3_ORNAN, tr|F6XAN0|F6XAN0_ORNAN, tr|A0A6I8NG11|A0A6I8NG11_ORNAN, tr|A0A6I8NAM5|A0A6I8NAM5_ORNAN, tr|A0A6I8P8M6|A0A6I8P8M6_ORNAN, tr|F7F318|F7F318_ORNAN, tr|A0A6I8NBQ0|A0A6I8NBQ0_ORNAN, tr|A0A6I8P054|A0A6I8P054_ORNAN, tr|F7EY44|F7EY44_ORNAN, tr|A0A6I8PJC9|A0A6I8PJC9_ORNAN, tr|A0A6I8NYX9|A0A6I8NYX9_ORNAN
OG0000047	tr|Q91XX1|Q91XX1_MOUSE, tr|Q91XX9|Q91XX9_MOUSE, tr|Q91XY0|Q91XY0_MOUSE, tr|Q91XY9|Q91XY9_MOUSE, tr|Q91XY5|Q91XY5_MOUSE, sp|Q91XY4|PCDG4_MOUSE, tr|Q91XY6|Q91XY6_MOUSE, tr|Q91XZ0|Q91XZ0_MOUSE, tr|Q91XY3|Q91XY3_MOUSE, tr|Q91XY2|Q91XY2_MOUSE, tr|Q6DD96|Q6DD96_MOUSE, tr|Q91XY7|Q91XY7_MOUSE, tr|Q91XY8|Q91XY8_MOUSE, tr|Q91XX8|Q91XX8_MOUSE, tr|Q91XX7|Q91XX7_MOUSE, tr|Q91XX5|Q91XX5_MOUSE, tr|Q91XX6|Q91XX6_MOUSE, tr|Q91XX4|Q91XX4_MOUSE, tr|Q91XX3|Q91XX3_MOUSE, tr|Q91XW9|Q91XW9_MOUSE, tr|Q91XX0|Q91XX0_MOUSE	tr|A0A6I8P804|A0A6I8P804_ORNAN
OG0000048	tr|Q7TQY8|Q7TQY8_MOUSE, tr|Q8VF39|Q8VF39_MOUSE, tr|Q8VF40|Q8VF40_MOUSE, tr|Q7TQW6|Q7TQW6_MOUSE, tr|Q8VF84|Q8VF84_MOUSE, tr|A0A1L1SVB5|A0A1L1SVB5_MOUSE, tr|A0A286YE47|A0A286YE47_MOUSE, tr|A0A288CFY5|A0A288CFY5_MOUSE, tr|A2AVW3|A2AVW3_MOUSE, tr|A2BFL7|A2BFL7_MOUSE, tr|Q7TQX1|Q7TQX1_MOUSE, tr|A2AVL6|A2AVL6_MOUSE, tr|A0A140LI66|A0A140LI66_MOUSE, tr|Q8VG12|Q8VG12_MOUSE, tr|Q7TQX0|Q7TQX0_MOUSE, tr|Q8VF10|Q8VF10_MOUSE, tr|Q7TQW8|Q7TQW8_MOUSE, tr|A2AVW1|A2AVW1_MOUSE, tr|Q8VF83|Q8VF83_MOUSE, tr|Q8VF85|Q8VF85_MOUSE, tr|Q8VET0|Q8VET0_MOUSE	tr|F7D7I1|F7D7I1_ORNAN
OG0000052	sp|P68134|ACTS_MOUSE	tr|F7E1F2|F7E1F2_ORNAN
OG0000052	sp|P68033|ACTC_MOUSE	tr|A0A6I8PFY6|A0A6I8PFY6_ORNAN
OG0000052	sp|P62737|ACTA_MOUSE	tr|F7F4W9|F7F4W9_ORNAN
OG0000052	sp|P63268|ACTH_MOUSE	tr|F7E7I5|F7E7I5_ORNAN
OG0000052	sp|P60710|ACTB_MOUSE	tr|F6UDX9|F6UDX9_ORNAN
OG0000052	sp|P63260|ACTG_MOUSE	tr|A0A6I8PD44|A0A6I8PD44_ORNAN
OG0000052	sp|Q8BXF8|ACTT3_MOUSE	tr|F7EG46|F7EG46_ORNAN, tr|F7D0M4|F7D0M4_ORNAN, tr|A0A6I8NB69|A0A6I8NB69_ORNAN, tr|A0A6I8NCA1|A0A6I8NCA1_ORNAN, tr|A0A6I8NK49|A0A6I8NK49_ORNAN
OG0000053	sp|Q3UV17|K22O_MOUSE	tr|F7E9U0|F7E9U0_ORNAN, tr|F7G3T5|F7G3T5_ORNAN, tr|F7E9U5|F7E9U5_ORNAN, tr|A0A6I8N5Q8|A0A6I8N5Q8_ORNAN, tr|F7G4Z2|F7G4Z2_ORNAN, tr|A0A6I8NTJ8|A0A6I8NTJ8_ORNAN, tr|A0A6I8NKI3|A0A6I8NKI3_ORNAN, tr|F7G575|F7G575_ORNAN, tr|F7G551|F7G551_ORNAN, tr|F7G559|F7G559_ORNAN, tr|F7G572|F7G572_ORNAN, tr|F7G561|F7G561_ORNAN, tr|A0A6I8NTD7|A0A6I8NTD7_ORNAN, tr|A0A6I8NK60|A0A6I8NK60_ORNAN, tr|F7G4Y0|F7G4Y0_ORNAN, tr|A0A6I8N4S8|A0A6I8N4S8_ORNAN, tr|A0A6I8N5W6|A0A6I8N5W6_ORNAN, tr|F7B342|F7B342_ORNAN, tr|A0A6I8NM76|A0A6I8NM76_ORNAN, tr|F7FZH4|F7FZH4_ORNAN
OG0000059	sp|Q64291|K1C12_MOUSE	tr|F7EGJ2|F7EGJ2_ORNAN
OG0000059	sp|Q9Z2K1|K1C16_MOUSE, sp|Q61781|K1C14_MOUSE	tr|F7FXN8|F7FXN8_ORNAN
OG0000059	sp|P08730|K1C13_MOUSE	tr|F7FXM9|F7FXM9_ORNAN, tr|F7B309|F7B309_ORNAN
OG0000059	sp|P02535|K1C10_MOUSE	tr|F7BV15|F7BV15_ORNAN
OG0000059	sp|A1L317|K1C24_MOUSE	tr|A0A6I8NDI2|A0A6I8NDI2_ORNAN, tr|A0A6I8NV22|A0A6I8NV22_ORNAN, tr|F6SGE2|F6SGE2_ORNAN, tr|A0A6I8NIA8|A0A6I8NIA8_ORNAN
OG0000059	sp|Q8VCW2|K1C25_MOUSE	tr|A0A6I8PEY8|A0A6I8PEY8_ORNAN, tr|F6SGC6|F6SGC6_ORNAN, tr|F6SGD5|F6SGD5_ORNAN
OG0000060	sp|C0HKE9|H2A1P_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE1|H2A1B_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE6|H2A1I_MOUSE	tr|A0A6I8N7N1|A0A6I8N7N1_ORNAN
OG0000060	sp|Q6GSS7|H2A2A_MOUSE	tr|A0A6I8P814|A0A6I8P814_ORNAN, tr|A0A6I8N241|A0A6I8N241_ORNAN, tr|A0A6I8ND84|A0A6I8ND84_ORNAN, tr|A0A6I8PFX6|A0A6I8PFX6_ORNAN, tr|A0A6I8PD60|A0A6I8PD60_ORNAN, tr|A0A6I8MZ90|A0A6I8MZ90_ORNAN, tr|A0A6I8NE74|A0A6I8NE74_ORNAN, tr|A0A6I8PF82|A0A6I8PF82_ORNAN
OG0000065	tr|Q8VFN6|Q8VFN6_MOUSE	tr|A0A6I8NEY2|A0A6I8NEY2_ORNAN
OG0000065	tr|Q8VFU5|Q8VFU5_MOUSE	tr|F6ZWD7|F6ZWD7_ORNAN, tr|A0A6I8PKD8|A0A6I8PKD8_ORNAN, tr|F7AZZ4|F7AZZ4_ORNAN, tr|A0A6I8MZQ5|A0A6I8MZQ5_ORNAN, tr|A0A6I8P1K1|A0A6I8P1K1_ORNAN, tr|A0A6I8PD87|A0A6I8PD87_ORNAN, tr|A0A6I8NC99|A0A6I8NC99_ORNAN, tr|A0A6I8PG74|A0A6I8PG74_ORNAN, tr|A0A6I8P6G8|A0A6I8P6G8_ORNAN, tr|A0A6I8NM90|A0A6I8NM90_ORNAN, tr|F7DXW7|F7DXW7_ORNAN, tr|A0A6I8PQ80|A0A6I8PQ80_ORNAN, tr|A0A6I8PFJ1|A0A6I8PFJ1_ORNAN, tr|A0A6I8NSN7|A0A6I8NSN7_ORNAN, tr|F6YPK0|F6YPK0_ORNAN
OG0000068	sp|Q8BMJ3|IF1AX_MOUSE, sp|Q60872|IF1A_MOUSE, tr|J3QMW5|J3QMW5_MOUSE, tr|J3QPI8|J3QPI8_MOUSE, tr|Q3UT53|Q3UT53_MOUSE, tr|A0A1Y7VLT7|A0A1Y7VLT7_MOUSE, tr|A0A1Y7VNG9|A0A1Y7VNG9_MOUSE, tr|Q8BX20|Q8BX20_MOUSE, tr|Q3TQZ4|Q3TQZ4_MOUSE, tr|A0A1Y7VJE9|A0A1Y7VJE9_MOUSE, tr|A0A1Y7VK80|A0A1Y7VK80_MOUSE, tr|J3QQ02|J3QQ02_MOUSE, tr|Q3UTA4|Q3UTA4_MOUSE, tr|J3QNT6|J3QNT6_MOUSE, tr|J3QP87|J3QP87_MOUSE, tr|F6YNI8|F6YNI8_MOUSE	tr|A0A6I8P1V2|A0A6I8P1V2_ORNAN
OG0000070	tr|Q5SZS9|Q5SZS9_MOUSE	tr|F6YN49|F6YN49_ORNAN
OG0000070	tr|Q8VFH0|Q8VFH0_MOUSE	tr|A0A6I8PQS8|A0A6I8PQS8_ORNAN
OG0000070	tr|Q5SZZ8|Q5SZZ8_MOUSE, tr|E9PWF9|E9PWF9_MOUSE	tr|A0A6I8P6X5|A0A6I8P6X5_ORNAN, tr|F7FK14|F7FK14_ORNAN, tr|A0A6I8NSX4|A0A6I8NSX4_ORNAN, tr|A0A6I8P7U8|A0A6I8P7U8_ORNAN, tr|A0A6I8N9G3|A0A6I8N9G3_ORNAN, tr|F6S392|F6S392_ORNAN, tr|A0A6I8NBX6|A0A6I8NBX6_ORNAN, tr|F6YN04|F6YN04_ORNAN, tr|A0A6I8N6H6|A0A6I8N6H6_ORNAN, tr|F6VLC6|F6VLC6_ORNAN, tr|F7G768|F7G768_ORNAN
OG0000075	tr|Q8CFE8|Q8CFE8_MOUSE, tr|Q8BI57|Q8BI57_MOUSE, tr|F7C9P2|F7C9P2_MOUSE, sp|L7N1X6|FBW15_MOUSE, tr|A0A1D5RLF0|A0A1D5RLF0_MOUSE, tr|E9PXM9|E9PXM9_MOUSE, tr|Q8C2Y5|Q8C2Y5_MOUSE, tr|E9Q8A4|E9Q8A4_MOUSE, tr|Q5XG67|Q5XG67_MOUSE, tr|Q8C2W8|Q8C2W8_MOUSE, tr|Q8BI58|Q8BI58_MOUSE, tr|Q497Z0|Q497Z0_MOUSE, tr|Q5U467|Q5U467_MOUSE, tr|Q3TSA9|Q3TSA9_MOUSE, tr|Q8BI38|Q8BI38_MOUSE	tr|F6R527|F6R527_ORNAN
OG0000076	sp|P00757|K1KB4_MOUSE, sp|P15945|K1KB5_MOUSE, sp|P15947|KLK1_MOUSE, sp|P15949|K1KB9_MOUSE, sp|P00755|K1KB1_MOUSE, sp|P00756|K1KB3_MOUSE, sp|P15946|K1B11_MOUSE, sp|Q61759|K1B21_MOUSE, sp|Q61754|K1B24_MOUSE, sp|Q9JM71|K1B27_MOUSE, sp|P07628|K1KB8_MOUSE, sp|P04071|K1B16_MOUSE, sp|P36368|EGFB2_MOUSE, sp|P36369|K1B26_MOUSE, sp|P15948|K1B22_MOUSE	tr|A0A6I8NN48|A0A6I8NN48_ORNAN
